state,district,year,jute_kharif_yield_tonne_per_hectare
,Balaghat,2006 - 2007,1.96
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.4
,Barwani,2006 - 2007,0.92
,,2018 - 2019,0.5
,Betul,2006 - 2007,2.13
,,2018 - 2019,0.41
,Bhind,2006 - 2007,3.0
,,2018 - 2019,0.0
,Bhopal,2006 - 2007,1.89
,Burhanpur,2006 - 2007,2.21
,Chhatarpur,2006 - 2007,1.23
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2018 - 2019,0.5
,Chhindwara,2006 - 2007,3.22
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2018 - 2019,0.34
,Datia,2006 - 2007,2.2
,,2018 - 2019,0.62
,Dewas,2006 - 2007,2.44
,,2018 - 2019,0.0
,Dhar,2006 - 2007,1.97
,,2018 - 2019,0.6
,Dindori,2006 - 2007,0.96
,Gwalior,2006 - 2007,3.0
,Harda,2006 - 2007,0.0
,,2018 - 2019,0.25
,Hoshangabad,2006 - 2007,3.0
,,2017 - 2018,1.46
,Indore,2018 - 2019,0.33
,Jabalpur,2006 - 2007,2.79
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2018 - 2019,0.44
,Jhabua,2006 - 2007,1.98
,,2018 - 2019,0.5
,Katni,2006 - 2007,0.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,Khandwa,2006 - 2007,2.36
,,2018 - 2019,0.0
,Khargone,2006 - 2007,2.03
,,2018 - 2019,0.33
,Mandla,2006 - 2007,1.6
,,2017 - 2018,1.43
,,2018 - 2019,0.56
,Mandsaur,2006 - 2007,2.5
,Morena,2013 - 2014,0.0
,,2018 - 2019,0.0
,,2019 - 2020,2.0
,Narsinghpur,2006 - 2007,3.0
,,2018 - 2019,0.67
,Neemuch,2006 - 2007,2.43
,Panna,2006 - 2007,1.19
,,2018 - 2019,0.75
,Raisen,2006 - 2007,1.86
,,2018 - 2019,0.0
,Rajgarh,2006 - 2007,2.29
,Ratlam,2006 - 2007,2.43
,,2018 - 2019,0.0
,Rewa,2006 - 2007,1.97
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.5
,,2018 - 2019,0.5
,,2019 - 2020,3.0
,Sagar,2006 - 2007,1.88
,,2018 - 2019,0.5
,Satna,2006 - 2007,1.69
,,2018 - 2019,0.5
,Sehore,2006 - 2007,2.77
,,2018 - 2019,1.0
,Seoni,2006 - 2007,2.11
,,2018 - 2019,0.44
,,2019 - 2020,11.0
,Shahdol,2006 - 2007,1.87
,Shajapur,2006 - 2007,1.53
,,2018 - 2019,0.25
,Sheopur,2018 - 2019,0.28
,Shivpuri,2006 - 2007,1.79
,Sidhi,2006 - 2007,2.15
,,2017 - 2018,1.0
,Singrauli,2018 - 2019,0.61
,,2019 - 2020,2.0
,Tikamgarh,2006 - 2007,1.56
,Ujjain,2006 - 2007,1.83
,,2018 - 2019,0.43
,Umaria,2006 - 2007,1.38
,Vidisha,2006 - 2007,2.0
,,2018 - 2019,0.0
Meghalaya,East garo hills,2000 - 2001,8.82
,,2001 - 2002,8.87
,,2002 - 2003,8.22
,,2003 - 2004,8.06
,,2004 - 2005,6.38
,,2005 - 2006,8.37
,,2006 - 2007,
,,2007 - 2008,6.38
,,2008 - 2009,4.92
,,2009 - 2010,6.37
,,2010 - 2011,6.37
,,2011 - 2012,6.38
,,2012 - 2013,11.12
,,2013 - 2014,11.29
,,2014 - 2015,11.51
,,2015 - 2016,11.62
,,2016 - 2017,11.67
,,2017 - 2018,11.69
,,2018 - 2019,11.69
,,2019 - 2020,11.72
,,2020 - 2021,11.72
,,2021 - 2022,11.76
,,2022 - 2023,10.0
,North garo hills,2013 - 2014,11.21
,,2014 - 2015,11.32
,,2015 - 2016,11.39
,,2016 - 2017,11.4
,,2017 - 2018,11.41
,,2018 - 2019,11.42
,,2019 - 2020,11.42
,,2020 - 2021,11.42
,,2021 - 2022,11.42
,,2022 - 2023,6.16
,South garo hills,2000 - 2001,3.62
,,2001 - 2002,3.66
,,2002 - 2003,3.63
,,2003 - 2004,3.62
,,2004 - 2005,2.9
,,2005 - 2006,3.59
,,2006 - 2007,
,,2007 - 2008,3.59
,,2008 - 2009,4.65
,,2009 - 2010,4.65
,,2010 - 2011,4.39
,,2011 - 2012,4.82
,,2012 - 2013,5.03
,,2013 - 2014,5.07
,,2014 - 2015,5.13
,,2015 - 2016,5.24
,,2016 - 2017,5.25
,,2017 - 2018,5.25
,,2018 - 2019,5.26
,,2019 - 2020,5.27
,,2020 - 2021,5.27
,,2021 - 2022,5.27
,,2022 - 2023,6.24
,South west garo hills,2013 - 2014,10.57
,,2014 - 2015,10.66
,,2015 - 2016,10.75
,,2016 - 2017,10.75
,,2017 - 2018,10.76
,,2018 - 2019,10.76
,,2019 - 2020,10.76
,,2020 - 2021,10.76
,,2021 - 2022,10.76
,,2022 - 2023,9.63
,West garo hills,2000 - 2001,8.96
,,2001 - 2002,6.18
,,2002 - 2003,9.37
,,2003 - 2004,9.4
,,2004 - 2005,5.12
,,2005 - 2006,9.37
,,2006 - 2007,
,,2007 - 2008,9.37
,,2008 - 2009,9.36
,,2009 - 2010,9.39
,,2010 - 2011,9.4
,,2011 - 2012,9.41
,,2012 - 2013,10.35
,,2013 - 2014,10.39
,,2014 - 2015,10.28
,,2015 - 2016,10.55
,,2016 - 2017,10.55
,,2017 - 2018,10.56
,,2018 - 2019,10.56
,,2019 - 2020,10.56
,,2020 - 2021,10.56
,,2021 - 2022,10.56
,,2022 - 2023,9.14
Nagaland,Chumoukedima,2022 - 2023,0.0
,Dimapur,2000 - 2001,1.53
,,2001 - 2002,1.07
,,2002 - 2003,3.86
,,2003 - 2004,5.15
,,2004 - 2005,4.49
,,2005 - 2006,3.64
,,2006 - 2007,3.38
,,2007 - 2008,1.38
,,2008 - 2009,1.38
,,2009 - 2010,1.62
,,2010 - 2011,1.81
,,2011 - 2012,1.81
,,2012 - 2013,1.92
,,2013 - 2014,1.93
,,2014 - 2015,1.93
,,2015 - 2016,1.94
,,2016 - 2017,1.9
,,2017 - 2018,1.91
,,2018 - 2019,1.91
,,2019 - 2020,1.91
,,2020 - 2021,1.92
,,2022 - 2023,0.0
,Kohima,2002 - 2003,5.13
,,2003 - 2004,11.8
,,2004 - 2005,8.16
,,2005 - 2006,6.92
,,2006 - 2007,4.97
,,2007 - 2008,0.62
,,2008 - 2009,1.69
,,2009 - 2010,1.62
,,2010 - 2011,1.82
,,2011 - 2012,1.81
,,2012 - 2013,1.91
,,2013 - 2014,1.89
,,2014 - 2015,1.89
,Mokokchung,2004 - 2005,13.57
,,2005 - 2006,11.33
,,2006 - 2007,7.77
,,2007 - 2008,1.31
,,2008 - 2009,2.33
,,2009 - 2010,1.6
,,2010 - 2011,1.76
,,2011 - 2012,1.8
,,2012 - 2013,1.89
,,2013 - 2014,1.89
,,2014 - 2015,1.89
,,2015 - 2016,1.9
,,2016 - 2017,1.9
,,2017 - 2018,1.9
,,2018 - 2019,1.9
,,2019 - 2020,1.9
,,2020 - 2021,1.91
,,2022 - 2023,0.0
,Mon,2000 - 2001,1.25
,,2001 - 2002,0.89
,,2002 - 2003,3.33
,,2003 - 2004,2.46
,,2008 - 2009,2.15
,,2009 - 2010,1.61
,,2010 - 2011,1.81
,,2011 - 2012,1.79
,,2012 - 2013,1.9
,,2013 - 2014,1.9
,,2014 - 2015,1.9
,,2015 - 2016,19.0
,,2016 - 2017,1.92
,,2017 - 2018,1.9
,,2018 - 2019,1.9
,,2019 - 2020,1.9
,,2020 - 2021,1.89
,,2021 - 2022,0.0
,,2022 - 2023,0.0
,Nuiland,2022 - 2023,0.0
,Peren,2021 - 2022,0.0
,,2022 - 2023,0.0
,Wokha,2000 - 2001,1.25
,,2001 - 2002,1.0
,,2002 - 2003,3.13
,,2003 - 2004,7.62
,,2004 - 2005,7.14
,,2005 - 2006,5.95
,,2006 - 2007,4.71
,,2007 - 2008,1.35
,,2008 - 2009,2.03
,,2009 - 2010,1.32
,,2010 - 2011,1.8
,,2011 - 2012,1.8
,,2012 - 2013,1.89
,,2013 - 2014,1.9
,,2014 - 2015,1.9
,,2015 - 2016,1.85
,,2016 - 2017,1.9
,,2017 - 2018,1.9
,,2018 - 2019,1.9
,,2019 - 2020,1.9
,,2020 - 2021,1.9
,,2021 - 2022,0.0
,,2022 - 2023,0.0
Odisha,Baleshwar,2000 - 2001,6.47
,,2001 - 2002,6.93
,,2002 - 2003,8.11
,,2003 - 2004,6.26
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bhadrak,2000 - 2001,4.45
,,2001 - 2002,6.95
,,2002 - 2003,7.67
,,2003 - 2004,6.28
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Cuttack,2000 - 2001,6.93
,,2001 - 2002,11.64
,,2002 - 2003,11.12
,,2003 - 2004,8.09
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dhenkanal,2022 - 2023,
,Jagatsinghapur,2000 - 2001,5.88
,,2001 - 2002,11.0
,,2002 - 2003,8.38
,,2003 - 2004,9.5
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2020 - 2021,
,Jajapur,2000 - 2001,7.59
,,2001 - 2002,4.41
,,2002 - 2003,7.72
,,2003 - 2004,5.44
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kendrapara,2000 - 2001,8.45
,,2001 - 2002,8.3
,,2002 - 2003,10.1
,,2003 - 2004,7.04
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kendujhar,2000 - 2001,11.09
,,2001 - 2002,5.6
,,2002 - 2003,6.25
,,2003 - 2004,7.77
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khordha,2000 - 2001,4.0
,,2001 - 2002,11.0
,,2002 - 2003,12.0
,Mayurbhanj,2000 - 2001,4.52
,,2001 - 2002,7.0
,,2003 - 2004,8.31
,,2007 - 2008,
,Nabarangpur,2000 - 2001,4.5
,Nayagarh,2000 - 2001,4.0
,Nuapada,2022 - 2023,
,Puri,2000 - 2001,2.71
,,2003 - 2004,5.0
,,2004 - 2005,
,,2007 - 2008,
Tamil Nadu,Erode,2011 - 2012,0.0
,Vellore,2011 - 2012,0.0
Tripura,Dhalai,2004 - 2005,7.58
,,2005 - 2006,7.85
,,2006 - 2007,8.58
,,2007 - 2008,7.72
,,2008 - 2009,7.62
,,2009 - 2010,8.27
,,2010 - 2011,8.71
,,2011 - 2012,8.54
,,2012 - 2013,8.24
,,2013 - 2014,8.96
,,2014 - 2015,8.77
,,2015 - 2016,8.43
,,2016 - 2017,9.41
,,2017 - 2018,9.98
,,2018 - 2019,10.96
,,2019 - 2020,11.12
,,2020 - 2021,10.18
,,2021 - 2022,10.5
,,2022 - 2023,10.98
,Gomati,2012 - 2013,8.61
,,2013 - 2014,8.76
,,2014 - 2015,8.89
,,2015 - 2016,8.35
,,2016 - 2017,9.0
,,2017 - 2018,10.07
,,2018 - 2019,8.55
,,2019 - 2020,8.31
,,2020 - 2021,8.59
,,2021 - 2022,8.57
,,2022 - 2023,8.57
,Khowai,2012 - 2013,8.32
,,2013 - 2014,8.95
,,2014 - 2015,8.88
,,2015 - 2016,8.72
,,2016 - 2017,9.47
,,2017 - 2018,9.08
,,2018 - 2019,8.91
,,2019 - 2020,9.68
,,2020 - 2021,9.38
,,2021 - 2022,9.17
,,2022 - 2023,9.32
,North tripura,2004 - 2005,8.73
,,2005 - 2006,7.6
,,2006 - 2007,8.18
,,2007 - 2008,8.55
,,2008 - 2009,7.67
,,2009 - 2010,8.08
,,2010 - 2011,8.51
,,2011 - 2012,8.55
,,2012 - 2013,8.23
,,2013 - 2014,8.86
,,2014 - 2015,8.86
,,2015 - 2016,8.49
,,2016 - 2017,9.28
,,2017 - 2018,8.86
,,2018 - 2019,8.87
,,2019 - 2020,8.79
,,2020 - 2021,8.55
,,2021 - 2022,8.73
,,2022 - 2023,8.76
,Sepahijala,2012 - 2013,8.48
,,2013 - 2014,8.9
,,2014 - 2015,8.9
,,2015 - 2016,8.81
,,2016 - 2017,9.5
,,2017 - 2018,8.89
,,2018 - 2019,8.81
,,2019 - 2020,7.67
,,2020 - 2021,8.78
,,2021 - 2022,8.28
,,2022 - 2023,8.83
,South tripura,2004 - 2005,8.53
,,2005 - 2006,8.05
,,2006 - 2007,8.03
,,2007 - 2008,7.94
,,2008 - 2009,8.51
,,2009 - 2010,8.05
,,2010 - 2011,8.51
,,2011 - 2012,8.6
,,2012 - 2013,7.9
,,2013 - 2014,8.35
,,2014 - 2015,8.08
,,2015 - 2016,8.2
,,2016 - 2017,8.49
,,2017 - 2018,8.07
,,2018 - 2019,8.11
,,2019 - 2020,8.0
,,2020 - 2021,8.0
,,2021 - 2022,8.11
,,2022 - 2023,8.15
,Unakoti,2012 - 2013,8.09
,,2013 - 2014,6.61
,,2014 - 2015,7.53
,,2015 - 2016,7.86
,,2016 - 2017,9.05
,,2017 - 2018,8.44
,,2018 - 2019,8.58
,,2019 - 2020,8.0
,,2020 - 2021,8.0
,,2021 - 2022,8.31
,,2022 - 2023,8.38
,West tripura,2004 - 2005,6.68
,,2005 - 2006,7.83
,,2006 - 2007,9.11
,,2007 - 2008,8.37
,,2008 - 2009,8.45
,,2009 - 2010,7.9
,,2010 - 2011,8.45
,,2011 - 2012,8.59
,,2012 - 2013,7.3
,,2013 - 2014,7.35
,,2014 - 2015,7.74
,,2015 - 2016,7.5
,,2016 - 2017,8.69
,,2017 - 2018,8.35
,,2018 - 2019,9.33
,,2019 - 2020,11.13
,,2020 - 2021,9.83
,,2021 - 2022,10.08
,,2022 - 2023,10.57
Uttar Pradesh,Kannauj,2000 - 2001,0.86
,Kheri,2000 - 2001,0.83
,Shravasti,2000 - 2001,0.81
,Unnao,2000 - 2001,1.0
West Bengal,paraganas north,2000 - 2001,13.92
,,2001 - 2002,14.44
,,2002 - 2003,16.06
,,2003 - 2004,17.62
,,2004 - 2005,17.46
,,2005 - 2006,17.05
,,2006 - 2007,18.53
,,2007 - 2008,17.73
,,2008 - 2009,16.96
,,2009 - 2010,20.41
,,2010 - 2011,19.04
,,2011 - 2012,17.97
,,2012 - 2013,15.9
,,2013 - 2014,18.64
,,2014 - 2015,17.42
,,2015 - 2016,16.62
,,2016 - 2017,15.78
,,2017 - 2018,16.71
,,2018 - 2019,0.15
,,2019 - 2020,17.42
,,2020 - 2021,17.28
,,2021 - 2022,19.63
,,2022 - 2023,20.15
,paraganas south,2000 - 2001,10.35
,,2001 - 2002,14.28
,,2002 - 2003,12.34
,,2003 - 2004,15.89
,,2004 - 2005,14.89
,,2005 - 2006,13.8
,,2006 - 2007,12.39
,,2007 - 2008,11.45
,,2008 - 2009,12.41
,,2009 - 2010,12.24
,,2010 - 2011,11.55
,,2011 - 2012,12.81
,,2012 - 2013,19.34
,,2013 - 2014,21.15
,,2014 - 2015,20.87
,,2015 - 2016,14.64
,,2016 - 2017,17.57
,,2017 - 2018,21.38
,,2018 - 2019,180.29
,,2019 - 2020,27.21
,,2020 - 2021,27.6
,,2021 - 2022,26.28
,,2022 - 2023,31.1
,Alipurduar,2016 - 2017,14.36
,,2017 - 2018,14.55
,,2018 - 2019,12.58
,,2019 - 2020,13.82
,,2020 - 2021,13.19
,,2021 - 2022,11.79
,,2022 - 2023,12.44
,Bankura,2000 - 2001,18.8
,,2001 - 2002,20.82
,,2002 - 2003,18.44
,,2003 - 2004,18.0
,,2004 - 2005,17.8
,,2005 - 2006,18.0
,,2006 - 2007,17.77
,,2007 - 2008,16.71
,,2008 - 2009,16.5
,,2010 - 2011,19.5
,,2011 - 2012,18.75
,,2013 - 2014,19.5
,,2014 - 2015,20.75
,,2015 - 2016,18.07
,,2016 - 2017,17.67
,,2017 - 2018,13.71
,,2018 - 2019,17.0
,,2019 - 2020,16.15
,,2020 - 2021,16.21
,,2021 - 2022,17.75
,,2022 - 2023,17.76
,Birbhum,2000 - 2001,18.77
,,2001 - 2002,20.83
,,2002 - 2003,18.42
,,2003 - 2004,18.03
,,2004 - 2005,17.8
,,2005 - 2006,18.16
,,2006 - 2007,17.76
,,2007 - 2008,16.71
,,2008 - 2009,16.52
,,2009 - 2010,17.56
,,2010 - 2011,19.5
,,2011 - 2012,18.73
,,2012 - 2013,18.93
,,2013 - 2014,19.55
,,2014 - 2015,20.75
,,2015 - 2016,18.1
,,2016 - 2017,19.6
,,2017 - 2018,18.3
,,2018 - 2019,2.27
,,2019 - 2020,21.01
,,2020 - 2021,20.08
,,2021 - 2022,21.19
,,2022 - 2023,21.09
,Coochbehar,2000 - 2001,9.31
,,2001 - 2002,10.56
,,2002 - 2003,10.31
,,2003 - 2004,10.43
,,2004 - 2005,9.46
,,2005 - 2006,10.92
,,2006 - 2007,10.42
,,2007 - 2008,11.23
,,2008 - 2009,11.48
,,2009 - 2010,12.43
,,2010 - 2011,9.49
,,2011 - 2012,12.96
,,2012 - 2013,13.0
,,2013 - 2014,12.03
,,2014 - 2015,13.79
,,2015 - 2016,11.61
,,2016 - 2017,13.52
,,2017 - 2018,13.25
,,2018 - 2019,12.95
,,2019 - 2020,13.62
,,2020 - 2021,12.1
,,2021 - 2022,16.33
,,2022 - 2023,11.21
,Darjeeling,2000 - 2001,8.13
,,2001 - 2002,10.79
,,2002 - 2003,9.59
,,2003 - 2004,10.57
,,2004 - 2005,11.29
,,2005 - 2006,12.18
,,2006 - 2007,12.67
,,2007 - 2008,10.69
,,2008 - 2009,11.59
,,2009 - 2010,12.37
,,2010 - 2011,9.9
,,2011 - 2012,11.09
,,2012 - 2013,12.15
,,2013 - 2014,12.88
,,2014 - 2015,13.95
,,2015 - 2016,11.58
,,2016 - 2017,11.31
,,2017 - 2018,11.35
,,2018 - 2019,11.18
,,2019 - 2020,13.77
,,2020 - 2021,12.72
,,2021 - 2022,14.25
,,2022 - 2023,12.01
,Dinajpur dakshin,2000 - 2001,9.68
,,2001 - 2002,10.64
,,2002 - 2003,10.69
,,2003 - 2004,11.71
,,2004 - 2005,11.42
,,2005 - 2006,11.36
,,2006 - 2007,11.61
,,2007 - 2008,12.72
,,2008 - 2009,12.81
,,2009 - 2010,13.01
,,2010 - 2011,13.63
,,2011 - 2012,13.94
,,2012 - 2013,14.93
,,2013 - 2014,15.24
,,2014 - 2015,14.06
,,2015 - 2016,13.14
,,2016 - 2017,14.17
,,2017 - 2018,14.49
,,2018 - 2019,16.44
,,2019 - 2020,14.82
,,2020 - 2021,15.38
,,2021 - 2022,18.15
,,2022 - 2023,15.01
,Dinajpur uttar,2000 - 2001,7.75
,,2001 - 2002,9.69
,,2002 - 2003,9.35
,,2003 - 2004,10.27
,,2004 - 2005,9.96
,,2005 - 2006,11.97
,,2006 - 2007,12.21
,,2007 - 2008,12.03
,,2008 - 2009,12.39
,,2009 - 2010,12.5
,,2010 - 2011,12.95
,,2011 - 2012,13.43
,,2012 - 2013,12.99
,,2013 - 2014,13.38
,,2014 - 2015,16.44
,,2015 - 2016,12.52
,,2016 - 2017,13.58
,,2017 - 2018,13.36
,,2018 - 2019,13.43
,,2019 - 2020,14.44
,,2020 - 2021,13.78
,,2021 - 2022,15.98
,,2022 - 2023,14.67
,Hooghly,2000 - 2001,17.79
,,2001 - 2002,19.05
,,2002 - 2003,19.06
,,2003 - 2004,18.71
,,2004 - 2005,20.2
,,2005 - 2006,19.48
,,2006 - 2007,18.53
,,2007 - 2008,18.04
,,2008 - 2009,18.1
,,2009 - 2010,17.58
,,2010 - 2011,21.34
,,2011 - 2012,16.53
,,2012 - 2013,19.74
,,2013 - 2014,21.14
,,2014 - 2015,22.76
,,2015 - 2016,19.11
,,2016 - 2017,19.03
,,2017 - 2018,18.38
,,2018 - 2019,10.28
,,2019 - 2020,21.25
,,2020 - 2021,20.8
,,2021 - 2022,21.43
,,2022 - 2023,22.01
,Howrah,2000 - 2001,14.97
,,2001 - 2002,17.28
,,2002 - 2003,17.18
,,2003 - 2004,18.56
,,2004 - 2005,17.38
,,2005 - 2006,18.48
,,2006 - 2007,18.27
,,2007 - 2008,17.67
,,2008 - 2009,15.12
,,2009 - 2010,18.23
,,2010 - 2011,20.25
,,2011 - 2012,17.18
,,2012 - 2013,18.23
,,2013 - 2014,21.75
,,2014 - 2015,17.6
,,2015 - 2016,23.17
,,2016 - 2017,25.83
,,2017 - 2018,3.35
,,2018 - 2019,82.99
,,2019 - 2020,21.83
,,2020 - 2021,20.99
,,2021 - 2022,19.12
,,2022 - 2023,25.66
,Jalpaiguri,2000 - 2001,9.06
,,2001 - 2002,11.02
,,2002 - 2003,11.32
,,2003 - 2004,10.01
,,2004 - 2005,9.96
,,2005 - 2006,12.58
,,2006 - 2007,10.55
,,2007 - 2008,12.6
,,2008 - 2009,13.07
,,2009 - 2010,13.12
,,2010 - 2011,12.06
,,2011 - 2012,12.53
,,2012 - 2013,12.47
,,2013 - 2014,12.02
,,2014 - 2015,13.44
,,2015 - 2016,13.0
,,2016 - 2017,12.55
,,2017 - 2018,13.68
,,2018 - 2019,15.74
,,2019 - 2020,15.57
,,2020 - 2021,14.17
,,2021 - 2022,16.78
,,2022 - 2023,12.41
,Maldah,2000 - 2001,10.35
,,2001 - 2002,13.37
,,2002 - 2003,13.34
,,2003 - 2004,12.29
,,2004 - 2005,13.68
,,2005 - 2006,13.46
,,2006 - 2007,14.71
,,2007 - 2008,12.86
,,2008 - 2009,12.87
,,2009 - 2010,16.89
,,2010 - 2011,14.18
,,2011 - 2012,14.56
,,2012 - 2013,16.6
,,2013 - 2014,16.08
,,2014 - 2015,17.23
,,2015 - 2016,16.63
,,2016 - 2017,15.7
,,2017 - 2018,15.59
,,2018 - 2019,16.25
,,2019 - 2020,16.42
,,2020 - 2021,15.5
,,2021 - 2022,15.84
,,2022 - 2023,15.57
,Medinipur east,2000 - 2001,19.1
,,2001 - 2002,22.13
,,2002 - 2003,15.6
,,2003 - 2004,14.73
,,2004 - 2005,13.24
,,2005 - 2006,14.46
,,2006 - 2007,17.76
,,2007 - 2008,16.71
,,2008 - 2009,16.52
,,2009 - 2010,13.8
,,2010 - 2011,17.49
,,2011 - 2012,18.73
,,2012 - 2013,15.66
,,2013 - 2014,13.54
,,2014 - 2015,12.75
,,2015 - 2016,15.33
,,2016 - 2017,16.47
,,2017 - 2018,16.1
,,2018 - 2019,20.43
,,2019 - 2020,18.53
,,2020 - 2021,8.21
,,2021 - 2022,16.06
,,2022 - 2023,17.76
,Medinipur west,2000 - 2001,17.25
,,2001 - 2002,17.27
,,2002 - 2003,16.25
,,2003 - 2004,13.23
,,2004 - 2005,13.24
,,2005 - 2006,14.38
,,2006 - 2007,13.68
,,2007 - 2008,11.16
,,2008 - 2009,9.9
,,2009 - 2010,11.48
,,2010 - 2011,15.19
,,2011 - 2012,10.91
,,2012 - 2013,15.81
,,2013 - 2014,15.6
,,2014 - 2015,16.31
,,2015 - 2016,13.23
,,2016 - 2017,18.02
,,2017 - 2018,13.9
,,2018 - 2019,16.5
,,2019 - 2020,17.99
,,2020 - 2021,15.66
,,2021 - 2022,16.56
,,2022 - 2023,19.73
,Murshidabad,2000 - 2001,13.49
,,2001 - 2002,14.06
,,2002 - 2003,13.88
,,2003 - 2004,13.45
,,2004 - 2005,14.92
,,2005 - 2006,14.62
,,2006 - 2007,14.61
,,2007 - 2008,12.93
,,2008 - 2009,12.13
,,2009 - 2010,15.06
,,2010 - 2011,14.86
,,2011 - 2012,13.93
,,2012 - 2013,13.65
,,2013 - 2014,14.79
,,2014 - 2015,14.38
,,2015 - 2016,13.84
,,2016 - 2017,16.62
,,2017 - 2018,13.52
,,2018 - 2019,13.17
,,2019 - 2020,15.11
,,2020 - 2021,13.41
,,2021 - 2022,13.2
,,2022 - 2023,13.92
,Nadia,2000 - 2001,13.07
,,2001 - 2002,14.64
,,2002 - 2003,13.78
,,2003 - 2004,14.31
,,2004 - 2005,14.89
,,2005 - 2006,15.03
,,2006 - 2007,14.45
,,2007 - 2008,13.82
,,2008 - 2009,14.74
,,2009 - 2010,16.05
,,2010 - 2011,13.66
,,2011 - 2012,13.9
,,2012 - 2013,14.19
,,2013 - 2014,17.38
,,2014 - 2015,15.54
,,2015 - 2016,14.18
,,2016 - 2017,16.1
,,2017 - 2018,15.66
,,2018 - 2019,16.08
,,2019 - 2020,15.51
,,2020 - 2021,15.37
,,2021 - 2022,17.2
,,2022 - 2023,14.91
,Paschim bardhaman,2016 - 2017,20.0
,,2021 - 2022,21.14
,Purba bardhaman,2000 - 2001,18.12
,,2001 - 2002,21.39
,,2002 - 2003,18.38
,,2003 - 2004,18.31
,,2004 - 2005,17.88
,,2005 - 2006,18.37
,,2006 - 2007,16.64
,,2007 - 2008,14.19
,,2008 - 2009,15.48
,,2009 - 2010,17.22
,,2010 - 2011,21.05
,,2011 - 2012,18.32
,,2012 - 2013,15.5
,,2013 - 2014,21.2
,,2014 - 2015,20.6
,,2015 - 2016,16.62
,,2016 - 2017,20.52
,,2017 - 2018,20.51
,,2018 - 2019,0.02
,,2019 - 2020,20.24
,,2020 - 2021,18.65
,,2021 - 2022,19.93
,,2022 - 2023,20.37
,Purulia,2013 - 2014,19.55
