state,district,year,tapioca_whole_year_yield_tonne_per_hectare
,,2005 - 2006,7.84
,,2006 - 2007,7.85
,,2007 - 2008,7.85
,,2008 - 2009,9.7
,,2009 - 2010,9.27
,,2010 - 2011,11.06
,,2011 - 2012,10.55
,,2012 - 2013,10.56
,,2013 - 2014,8.75
,,2014 - 2015,8.97
,,2015 - 2016,7.5
,,2016 - 2017,6.06
,,2017 - 2018,8.38
,,2018 - 2019,13.5
,,2019 - 2020,12.67
,,2020 - 2021,12.8
,Uttar kannad,2020 - 2021,13.0
,Yadgir,2018 - 2019,13.5
,,2019 - 2020,12.68
,,2020 - 2021,12.86
,,2021 - 2022,12.67
Kerala,Alappuzha,2000 - 2001,16.79
,,2001 - 2002,16.65
,,2002 - 2003,17.22
,,2003 - 2004,23.69
,,2004 - 2005,23.73
,,2005 - 2006,23.35
,,2006 - 2007,25.07
,,2007 - 2008,28.19
,,2008 - 2009,29.21
,,2009 - 2010,27.35
,,2010 - 2011,27.61
,,2011 - 2012,24.92
,,2012 - 2013,28.65
,,2013 - 2014,24.78
,,2014 - 2015,32.9
,,2015 - 2016,32.34
,,2016 - 2017,39.62
,,2017 - 2018,34.45
,,2018 - 2019,31.75
,,2019 - 2020,41.6
,,2020 - 2021,50.72
,,2021 - 2022,42.77
,,2022 - 2023,41.47
,Ernakulam,2000 - 2001,29.68
,,2001 - 2002,24.83
,,2002 - 2003,30.07
,,2003 - 2004,29.03
,,2004 - 2005,29.45
,,2005 - 2006,32.4
,,2006 - 2007,36.53
,,2007 - 2008,34.7
,,2008 - 2009,36.96
,,2009 - 2010,43.37
,,2010 - 2011,40.34
,,2011 - 2012,39.36
,,2012 - 2013,38.87
,,2013 - 2014,41.3
,,2014 - 2015,42.58
,,2015 - 2016,46.43
,,2016 - 2017,42.45
,,2017 - 2018,46.69
,,2018 - 2019,40.1
,,2019 - 2020,53.08
,,2020 - 2021,56.08
,,2021 - 2022,53.14
,,2022 - 2023,50.03
,Idukki,2000 - 2001,34.27
,,2001 - 2002,31.8
,,2002 - 2003,32.0
,,2003 - 2004,37.33
,,2004 - 2005,34.89
,,2005 - 2006,31.07
,,2006 - 2007,32.33
,,2007 - 2008,33.21
,,2008 - 2009,33.13
,,2009 - 2010,35.36
,,2010 - 2011,38.62
,,2011 - 2012,41.32
,,2012 - 2013,48.63
,,2013 - 2014,49.51
,,2014 - 2015,45.21
,,2015 - 2016,46.15
,,2016 - 2017,42.57
,,2017 - 2018,43.05
,,2018 - 2019,40.65
,,2019 - 2020,46.71
,,2020 - 2021,53.91
,,2021 - 2022,55.1
,,2022 - 2023,49.81
,Kannur,2000 - 2001,22.99
,,2001 - 2002,21.35
,,2002 - 2003,26.55
,,2003 - 2004,28.61
,,2004 - 2005,25.69
,,2005 - 2006,26.16
,,2006 - 2007,28.63
,,2007 - 2008,28.6
,,2008 - 2009,32.69
,,2009 - 2010,37.32
,,2010 - 2011,35.63
,,2011 - 2012,38.43
,,2012 - 2013,36.68
,,2013 - 2014,38.66
,,2014 - 2015,40.38
,,2015 - 2016,39.18
,,2016 - 2017,40.37
,,2017 - 2018,41.61
,,2018 - 2019,35.79
,,2019 - 2020,37.96
,,2020 - 2021,47.91
,,2021 - 2022,44.99
,,2022 - 2023,41.19
,Kasaragod,2000 - 2001,20.21
,,2001 - 2002,22.73
,,2002 - 2003,23.88
,,2003 - 2004,24.61
,,2004 - 2005,26.07
,,2005 - 2006,23.88
,,2006 - 2007,24.41
,,2007 - 2008,21.71
,,2008 - 2009,23.15
,,2009 - 2010,22.75
,,2010 - 2011,24.04
,,2011 - 2012,24.84
,,2012 - 2013,22.07
,,2013 - 2014,29.69
,,2014 - 2015,31.3
,,2015 - 2016,39.64
,,2016 - 2017,30.86
,,2017 - 2018,31.93
,,2018 - 2019,30.21
,,2019 - 2020,31.49
,,2020 - 2021,38.34
,,2021 - 2022,43.37
,,2022 - 2023,41.16
,Kollam,2000 - 2001,21.38
,,2001 - 2002,21.44
,,2002 - 2003,23.11
,,2003 - 2004,26.12
,,2004 - 2005,26.47
,,2005 - 2006,29.18
,,2006 - 2007,27.29
,,2007 - 2008,30.57
,,2008 - 2009,28.43
,,2009 - 2010,29.71
,,2010 - 2011,28.13
,,2011 - 2012,31.17
,,2012 - 2013,32.41
,,2013 - 2014,34.43
,,2014 - 2015,38.85
,,2015 - 2016,35.04
,,2016 - 2017,30.57
,,2017 - 2018,34.12
,,2018 - 2019,34.92
,,2019 - 2020,37.88
,,2020 - 2021,45.48
,,2021 - 2022,43.37
,,2022 - 2023,38.05
,Kottayam,2000 - 2001,29.36
,,2001 - 2002,25.96
,,2002 - 2003,30.18
,,2003 - 2004,31.05
,,2004 - 2005,28.35
,,2005 - 2006,31.83
,,2006 - 2007,32.52
,,2007 - 2008,28.25
,,2008 - 2009,35.39
,,2009 - 2010,38.67
,,2010 - 2011,37.88
,,2011 - 2012,35.48
,,2012 - 2013,35.41
,,2013 - 2014,39.37
,,2014 - 2015,38.9
,,2015 - 2016,39.15
,,2016 - 2017,40.1
,,2017 - 2018,42.83
,,2018 - 2019,43.54
,,2019 - 2020,47.44
,,2020 - 2021,53.73
,,2021 - 2022,49.98
,,2022 - 2023,50.68
,Kozhikode,2000 - 2001,21.89
,,2001 - 2002,16.59
,,2002 - 2003,19.43
,,2003 - 2004,27.38
,,2004 - 2005,25.17
,,2005 - 2006,24.76
,,2006 - 2007,23.06
,,2007 - 2008,23.06
,,2008 - 2009,26.12
,,2009 - 2010,28.07
,,2010 - 2011,26.46
,,2011 - 2012,21.73
,,2012 - 2013,23.69
,,2013 - 2014,24.25
,,2014 - 2015,29.45
,,2015 - 2016,24.87
,,2016 - 2017,28.52
,,2017 - 2018,29.93
,,2018 - 2019,26.66
,,2019 - 2020,35.2
,,2020 - 2021,39.57
,,2021 - 2022,43.93
,,2022 - 2023,32.23
,Malappuram,2000 - 2001,24.66
,,2001 - 2002,23.17
,,2002 - 2003,25.38
,,2003 - 2004,32.09
,,2004 - 2005,30.8
,,2005 - 2006,30.68
,,2006 - 2007,31.67
,,2007 - 2008,40.51
,,2008 - 2009,38.88
,,2009 - 2010,38.83
,,2010 - 2011,35.85
,,2011 - 2012,35.15
,,2012 - 2013,37.02
,,2013 - 2014,34.75
,,2014 - 2015,35.4
,,2015 - 2016,38.73
,,2016 - 2017,35.18
,,2017 - 2018,37.1
,,2018 - 2019,35.72
,,2019 - 2020,33.78
,,2020 - 2021,41.32
,,2021 - 2022,46.36
,,2022 - 2023,42.4
,Palakkad,2000 - 2001,20.51
,,2001 - 2002,23.6
,,2002 - 2003,21.17
,,2003 - 2004,23.36
,,2004 - 2005,24.34
,,2005 - 2006,26.37
,,2006 - 2007,26.68
,,2007 - 2008,22.49
,,2008 - 2009,23.58
,,2009 - 2010,31.81
,,2010 - 2011,27.62
,,2011 - 2012,30.19
,,2012 - 2013,29.17
,,2013 - 2014,28.96
,,2014 - 2015,29.89
,,2015 - 2016,31.83
,,2016 - 2017,29.09
,,2017 - 2018,30.9
,,2018 - 2019,32.1
,,2019 - 2020,47.7
,,2020 - 2021,56.54
,,2021 - 2022,43.45
,,2022 - 2023,44.97
,Pathanamthitta,2000 - 2001,21.85
,,2001 - 2002,22.56
,,2002 - 2003,24.46
,,2003 - 2004,24.55
,,2004 - 2005,28.41
,,2005 - 2006,32.41
,,2006 - 2007,35.28
,,2007 - 2008,37.36
,,2008 - 2009,36.48
,,2009 - 2010,45.6
,,2010 - 2011,38.41
,,2011 - 2012,38.78
,,2012 - 2013,39.64
,,2013 - 2014,42.15
,,2014 - 2015,43.58
,,2015 - 2016,40.22
,,2016 - 2017,45.28
,,2017 - 2018,43.86
,,2018 - 2019,44.75
,,2019 - 2020,49.36
,,2020 - 2021,50.55
,,2021 - 2022,48.84
,,2022 - 2023,50.41
,Thiruvananthapuram,2000 - 2001,17.29
,,2001 - 2002,18.16
,,2002 - 2003,16.41
,,2003 - 2004,20.49
,,2004 - 2005,23.55
,,2005 - 2006,23.64
,,2006 - 2007,23.08
,,2007 - 2008,24.98
,,2008 - 2009,25.92
,,2009 - 2010,26.28
,,2010 - 2011,28.7
,,2011 - 2012,30.62
,,2012 - 2013,30.41
,,2013 - 2014,32.9
,,2014 - 2015,37.22
,,2015 - 2016,36.77
,,2016 - 2017,35.56
,,2017 - 2018,36.04
,,2018 - 2019,36.47
,,2019 - 2020,36.06
,,2020 - 2021,37.2
,,2021 - 2022,34.61
,,2022 - 2023,35.76
,Thrissur,2000 - 2001,25.37
,,2001 - 2002,19.8
,,2002 - 2003,18.79
,,2003 - 2004,20.24
,,2004 - 2005,23.59
,,2005 - 2006,19.94
,,2006 - 2007,29.64
,,2007 - 2008,26.99
,,2008 - 2009,31.72
,,2009 - 2010,30.56
,,2010 - 2011,37.57
,,2011 - 2012,36.78
,,2012 - 2013,46.51
,,2013 - 2014,41.72
,,2014 - 2015,44.93
,,2015 - 2016,42.35
,,2016 - 2017,40.53
,,2017 - 2018,45.01
,,2018 - 2019,42.42
,,2019 - 2020,46.72
,,2020 - 2021,59.2
,,2021 - 2022,53.63
,,2022 - 2023,48.17
,Wayanad,2000 - 2001,33.9
,,2001 - 2002,34.71
,,2002 - 2003,34.04
,,2003 - 2004,52.24
,,2004 - 2005,42.97
,,2005 - 2006,36.46
,,2006 - 2007,36.28
,,2007 - 2008,31.14
,,2008 - 2009,41.32
,,2009 - 2010,47.48
,,2010 - 2011,52.5
,,2011 - 2012,49.42
,,2012 - 2013,44.96
,,2013 - 2014,41.7
,,2014 - 2015,42.88
,,2015 - 2016,41.24
,,2016 - 2017,35.75
,,2017 - 2018,36.18
,,2018 - 2019,33.15
,,2019 - 2020,42.34
,,2020 - 2021,48.4
,,2021 - 2022,42.67
,,2022 - 2023,44.62
Manipur,Bishnupur,2002 - 2003,3.17
,,2003 - 2004,5.6
,Chandel,2002 - 2003,5.75
,,2003 - 2004,5.6
,Churachandpur,2002 - 2003,10.0
,,2003 - 2004,5.6
,Imphal east,2003 - 2004,5.58
,Imphal west,2002 - 2003,2.8
,,2003 - 2004,5.6
,Senapati,2002 - 2003,3.17
,,2003 - 2004,5.6
,Tamenglong,2002 - 2003,3.2
,,2003 - 2004,5.6
,Thoubal,2003 - 2004,5.6
,Ukhrul,2002 - 2003,9.0
,,2003 - 2004,5.56
Meghalaya,East garo hills,2000 - 2001,5.05
,,2001 - 2002,5.07
,,2002 - 2003,5.1
,,2003 - 2004,5.07
,,2004 - 2005,5.1
,,2005 - 2006,5.1
,,2006 - 2007,
,,2008 - 2009,5.1
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,East jaintia hills,2000 - 2001,10.21
,,2001 - 2002,13.66
,,2002 - 2003,13.66
,,2003 - 2004,13.63
,,2004 - 2005,13.67
,,2005 - 2006,13.58
,,2006 - 2007,
,,2008 - 2009,11.7
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,East khasi hills,2000 - 2001,5.5
,,2001 - 2002,5.53
,,2002 - 2003,5.54
,,2003 - 2004,5.52
,,2004 - 2005,5.26
,,2005 - 2006,5.25
,,2006 - 2007,
,,2008 - 2009,5.29
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,North garo hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ri bhoi,2000 - 2001,4.87
,,2001 - 2002,4.87
,,2002 - 2003,4.87
,,2003 - 2004,4.88
,,2004 - 2005,4.88
,,2005 - 2006,4.94
,,2006 - 2007,
,,2008 - 2009,5.9
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South garo hills,2000 - 2001,5.58
,,2001 - 2002,5.58
,,2002 - 2003,6.77
,,2003 - 2004,5.42
,,2004 - 2005,5.49
,,2005 - 2006,5.56
,,2006 - 2007,
,,2008 - 2009,5.56
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South west garo hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South west khasi hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West garo hills,2000 - 2001,5.53
,,2001 - 2002,4.97
,,2002 - 2003,4.97
,,2003 - 2004,4.98
,,2004 - 2005,4.99
,,2005 - 2006,5.02
,,2006 - 2007,
,,2008 - 2009,5.03
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West jaintia hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West khasi hills,2000 - 2001,5.12
,,2001 - 2002,5.13
,,2002 - 2003,5.08
,,2003 - 2004,5.07
,,2004 - 2005,5.18
,,2005 - 2006,5.3
,,2006 - 2007,
,,2008 - 2009,5.29
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Mizoram,Aizawl,2001 - 2002,4.56
,,2002 - 2003,6.5
,,2003 - 2004,12.94
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2020 - 2021,
,Champhai,2001 - 2002,1.22
,,2002 - 2003,1.51
,,2005 - 2006,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Hnahthial,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khawzawl,2020 - 2021,
,Kolasib,2001 - 2002,8.0
,,2002 - 2003,11.2
,,2003 - 2004,11.17
,,2004 - 2005,
,,2005 - 2006,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Lawngtlai,2005 - 2006,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lunglei,2001 - 2002,9.17
,,2002 - 2003,9.06
,,2003 - 2004,4.89
,,2004 - 2005,
,,2005 - 2006,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mamit,2003 - 2004,1.83
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,Saiha,2005 - 2006,
,Saitual,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Nagaland,Chumoukedima,2022 - 2023,
,Dimapur,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kiphire,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kohima,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Longleng,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mokokchung,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mon,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Noklak,2021 - 2022,
,,2022 - 2023,
,Nuiland,2022 - 2023,
,Peren,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Phek,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Shamator,2022 - 2023,
,Tseminyu,2022 - 2023,
,Tuensang,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Wokha,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Zunheboto,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Puducherry,Mahe,2000 - 2001,8.0
,,2001 - 2002,8.5
,,2002 - 2003,8.13
,,2003 - 2004,10.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pondicherry,2000 - 2001,29.38
,,2001 - 2002,34.5
,,2002 - 2003,31.75
,,2003 - 2004,30.01
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Tamil Nadu,Ariyalur,2008 - 2009,0.0
,,2009 - 2010,34.47
,,2011 - 2012,37.66
,,2013 - 2014,29.92
,,2014 - 2015,32.44
,,2015 - 2016,32.37
,,2016 - 2017,41.03
,,2017 - 2018,31.37
,,2018 - 2019,34.7
,,2019 - 2020,37.85
,,2020 - 2021,42.49
,,2021 - 2022,32.16
,,2022 - 2023,37.72
,Chengalpattu,2020 - 2021,42.92
,,2021 - 2022,29.83
,,2022 - 2023,37.6
,Coimbatore,2000 - 2001,35.49
,,2002 - 2003,30.07
,,2003 - 2004,30.99
,,2004 - 2005,41.27
,,2005 - 2006,38.21
,,2006 - 2007,40.36
,,2007 - 2008,42.2
,,2008 - 2009,55.05
,,2009 - 2010,35.1
,,2011 - 2012,37.66
,,2013 - 2014,29.92
,,2014 - 2015,32.44
,,2015 - 2016,33.27
,,2016 - 2017,17.87
,,2017 - 2018,42.56
,,2018 - 2019,41.74
,,2019 - 2020,39.65
,,2020 - 2021,42.52
,,2021 - 2022,32.16
,,2022 - 2023,52.83
,Cuddalore,2000 - 2001,36.42
,,2002 - 2003,41.72
,,2003 - 2004,34.36
,,2004 - 2005,39.83
,,2005 - 2006,28.82
,,2006 - 2007,70.52
,,2007 - 2008,31.19
,,2008 - 2009,46.65
,,2009 - 2010,33.35
,,2011 - 2012,29.79
,,2013 - 2014,38.35
,,2014 - 2015,16.99
,,2015 - 2016,9.25
,,2016 - 2017,28.51
,,2017 - 2018,30.79
,,2018 - 2019,32.71
,,2019 - 2020,34.35
,,2020 - 2021,31.85
,,2021 - 2022,26.98
,,2022 - 2023,25.51
,Dharmapuri,2000 - 2001,36.37
,,2002 - 2003,20.79
,,2003 - 2004,20.34
,,2004 - 2005,49.72
,,2005 - 2006,39.99
,,2006 - 2007,32.07
,,2007 - 2008,45.71
,,2008 - 2009,28.84
,,2009 - 2010,29.05
,,2011 - 2012,32.6
,,2013 - 2014,23.21
,,2014 - 2015,29.06
,,2015 - 2016,26.56
,,2016 - 2017,29.98
,,2017 - 2018,30.38
,,2018 - 2019,23.36
,,2019 - 2020,32.18
,,2020 - 2021,42.95
,,2021 - 2022,31.8
,,2022 - 2023,29.22
,Dindigul,2000 - 2001,35.49
,,2002 - 2003,31.59
,,2003 - 2004,33.69
,,2004 - 2005,41.27
,,2005 - 2006,38.21
,,2006 - 2007,40.36
,,2007 - 2008,42.2
,,2008 - 2009,36.47
,,2009 - 2010,34.47
,,2011 - 2012,37.66
,,2013 - 2014,29.92
,,2014 - 2015,32.44
,,2015 - 2016,30.53
,,2016 - 2017,24.17
,,2017 - 2018,34.22
,,2018 - 2019,34.92
,,2019 - 2020,37.79
,,2020 - 2021,42.46
,,2021 - 2022,32.1
,,2022 - 2023,37.55
,Erode,2000 - 2001,43.4
,,2002 - 2003,20.49
,,2003 - 2004,35.52
,,2004 - 2005,37.98
,,2005 - 2006,49.68
,,2006 - 2007,52.31
,,2007 - 2008,45.01
,,2008 - 2009,49.29
,,2009 - 2010,35.56
,,2011 - 2012,40.25
,,2013 - 2014,37.72
,,2014 - 2015,32.44
,,2015 - 2016,27.28
,,2016 - 2017,30.88
,,2017 - 2018,47.73
,,2018 - 2019,31.63
,,2019 - 2020,35.37
,,2020 - 2021,37.18
,,2021 - 2022,27.55
,,2022 - 2023,31.61
,Kallakurichi,2020 - 2021,42.55
,,2021 - 2022,38.44
,,2022 - 2023,49.97
,Kanchipuram,2000 - 2001,35.46
,,2002 - 2003,31.57
,,2003 - 2004,33.75
,,2004 - 2005,41.33
,,2006 - 2007,40.4
,,2007 - 2008,42.17
,,2008 - 2009,36.5
,,2009 - 2010,34.44
,,2011 - 2012,37.66
,,2013 - 2014,29.92
,,2014 - 2015,32.43
,,2015 - 2016,27.45
,,2016 - 2017,26.27
,,2017 - 2018,34.0
,,2019 - 2020,37.76
,,2021 - 2022,20.0
,Kanniyakumari,2000 - 2001,25.76
,,2002 - 2003,28.55
,,2003 - 2004,22.02
,,2004 - 2005,28.89
,,2005 - 2006,34.05
,,2006 - 2007,34.75
,,2007 - 2008,41.84
,,2008 - 2009,25.51
,,2009 - 2010,30.57
,,2011 - 2012,42.55
,,2013 - 2014,34.97
,,2014 - 2015,31.73
,,2015 - 2016,56.78
,,2016 - 2017,31.73
,,2017 - 2018,21.75
,,2018 - 2019,27.34
,,2019 - 2020,38.99
,,2020 - 2021,42.53
,,2021 - 2022,32.11
,,2022 - 2023,34.14
,Karur,2000 - 2001,38.52
,,2002 - 2003,31.59
,,2003 - 2004,33.69
,,2004 - 2005,41.27
,,2005 - 2006,38.21
,,2006 - 2007,40.36
,,2007 - 2008,42.2
,,2008 - 2009,36.47
,,2009 - 2010,34.75
,,2011 - 2012,42.73
,,2013 - 2014,29.94
,,2014 - 2015,42.63
,,2015 - 2016,42.79
,,2016 - 2017,15.3
,,2017 - 2018,26.96
,,2018 - 2019,58.14
,,2019 - 2020,50.68
,,2020 - 2021,35.95
,,2021 - 2022,22.38
,,2022 - 2023,22.72
,Krishnagiri,2003 - 2004,20.34
,,2004 - 2005,49.72
,,2005 - 2006,38.21
,,2006 - 2007,40.36
,,2007 - 2008,20.73
,,2008 - 2009,36.47
,,2009 - 2010,34.47
,,2011 - 2012,37.66
,,2013 - 2014,21.19
,,2014 - 2015,67.75
,,2015 - 2016,35.48
,,2016 - 2017,22.51
,,2017 - 2018,28.26
,,2018 - 2019,34.9
,,2019 - 2020,37.73
,,2020 - 2021,42.55
,,2021 - 2022,32.13
