state,district,year,tapioca_whole_year_yield_tonne_per_hectare
,Krishna,2000 - 2001,7.75
,,2001 - 2002,8.29
,,2002 - 2003,6.0
,,2021 - 2022,
,Kurnool,2021 - 2022,
,Palnadu,2022 - 2023,
,Parvathipuram manyam,2022 - 2023,
,Spsr nellore,2000 - 2001,7.64
,,2001 - 2002,8.28
,,2008 - 2009,12.41
,,2010 - 2011,6.5
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,Srikakulam,2000 - 2001,7.65
,,2001 - 2002,8.27
,,2002 - 2003,6.06
,,2003 - 2004,6.28
,,2004 - 2005,7.29
,,2005 - 2006,8.25
,,2006 - 2007,10.61
,,2008 - 2009,3.22
,,2009 - 2010,3.13
,,2010 - 2011,2.91
,,2011 - 2012,5.75
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Tirupati,2022 - 2023,
,Visakhapatanam,2000 - 2001,5.42
,,2001 - 2002,5.52
,,2002 - 2003,5.04
,,2003 - 2004,6.28
,,2004 - 2005,4.6
,,2005 - 2006,3.98
,,2006 - 2007,3.88
,,2008 - 2009,3.65
,,2009 - 2010,3.8
,,2010 - 2011,6.58
,,2011 - 2012,12.79
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Vizianagaram,2000 - 2001,7.72
,,2001 - 2002,8.27
,,2002 - 2003,6.05
,,2003 - 2004,6.28
,,2004 - 2005,7.29
,,2005 - 2006,8.25
,,2006 - 2007,10.61
,,2008 - 2009,12.41
,,2009 - 2010,13.0
,,2010 - 2011,6.56
,,2011 - 2012,10.0
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West godavari,2000 - 2001,7.66
,,2002 - 2003,6.0
,,2008 - 2009,12.42
,,2009 - 2010,13.06
,,2010 - 2011,6.59
,,2011 - 2012,10.0
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
Assam,Baksa,2005 - 2006,7.05
,,2006 - 2007,7.05
,,2007 - 2008,7.05
,,2008 - 2009,7.05
,,2009 - 2010,7.05
,,2010 - 2011,7.05
,,2011 - 2012,8.88
,,2012 - 2013,8.98
,,2013 - 2014,8.98
,,2014 - 2015,8.98
,,2015 - 2016,8.99
,,2016 - 2017,9.0
,,2017 - 2018,10.47
,,2018 - 2019,12.74
,,2019 - 2020,12.78
,,2020 - 2021,12.78
,,2021 - 2022,12.78
,,2022 - 2023,12.82
,Barpeta,2000 - 2001,5.0
,,2001 - 2002,5.0
,,2002 - 2003,5.0
,,2003 - 2004,5.0
,,2005 - 2006,5.0
,,2006 - 2007,5.0
,,2007 - 2008,5.0
,,2008 - 2009,5.0
,,2009 - 2010,5.0
,,2010 - 2011,5.0
,,2011 - 2012,8.21
,,2012 - 2013,8.32
,,2013 - 2014,8.32
,,2014 - 2015,8.45
,,2015 - 2016,8.39
,,2016 - 2017,8.44
,,2017 - 2018,8.57
,,2018 - 2019,9.07
,,2019 - 2020,9.43
,,2020 - 2021,9.36
,,2021 - 2022,9.36
,,2022 - 2023,10.6
,Biswanath,2020 - 2021,11.67
,,2021 - 2022,11.67
,,2022 - 2023,16.66
,Bongaigaon,2000 - 2001,4.25
,,2001 - 2002,4.26
,,2002 - 2003,4.26
,,2003 - 2004,4.27
,,2005 - 2006,4.27
,,2006 - 2007,4.25
,,2007 - 2008,4.24
,,2008 - 2009,4.27
,,2009 - 2010,4.22
,,2010 - 2011,4.23
,,2011 - 2012,9.37
,,2012 - 2013,9.68
,,2013 - 2014,9.67
,,2014 - 2015,9.58
,,2015 - 2016,9.57
,,2016 - 2017,9.63
,,2017 - 2018,9.63
,,2018 - 2019,9.45
