state,district,year,onion_rabi_yield_tonne_per_hectare
,,2017 - 2018,14.15
,,2018 - 2019,13.14
,,2019 - 2020,13.34
,,2020 - 2021,14.94
,,2021 - 2022,13.94
,,2022 - 2023,14.63
,Begusarai,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2016 - 2017,11.13
,,2017 - 2018,12.28
,,2019 - 2020,5.96
,,2021 - 2022,14.99
,,2022 - 2023,14.6
,Bhagalpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2016 - 2017,11.86
,,2017 - 2018,14.15
,,2018 - 2019,13.13
,,2019 - 2020,13.35
,,2020 - 2021,14.95
,,2021 - 2022,13.93
,,2022 - 2023,14.64
,Bhojpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2016 - 2017,14.41
,,2017 - 2018,16.42
,,2018 - 2019,16.87
,,2019 - 2020,9.19
,,2020 - 2021,14.73
,,2021 - 2022,12.97
,,2022 - 2023,17.57
,Buxar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2016 - 2017,12.06
,,2017 - 2018,26.13
,,2018 - 2019,15.15
,,2019 - 2020,13.34
,,2020 - 2021,12.34
,,2021 - 2022,9.66
,,2022 - 2023,12.0
,Darbhanga,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2016 - 2017,6.3
,,2017 - 2018,20.0
,,2018 - 2019,6.87
,,2019 - 2020,28.01
,,2020 - 2021,34.42
,,2021 - 2022,18.0
,,2022 - 2023,8.71
,Gaya,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2016 - 2017,7.42
,,2017 - 2018,9.47
,,2018 - 2019,6.34
,,2019 - 2020,11.41
,,2020 - 2021,10.62
,,2021 - 2022,15.11
,,2022 - 2023,15.32
,Gopalganj,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2016 - 2017,5.0
,,2017 - 2018,13.6
,,2018 - 2019,11.06
