state,district,year,onion_rabi_yield_tonne_per_hectare
,,2015 - 2016,26.93
,,2016 - 2017,26.05
,,2017 - 2018,28.68
,,2018 - 2019,28.22
,,2019 - 2020,29.27
,,2020 - 2021,29.56
,,2021 - 2022,27.76
,,2022 - 2023,27.55
,Rajkot,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,27.79
,,2009 - 2010,30.87
,,2010 - 2011,
,,2011 - 2012,29.87
,,2012 - 2013,26.89
,,2013 - 2014,30.61
,,2014 - 2015,30.5
,,2015 - 2016,31.48
,,2016 - 2017,29.22
,,2017 - 2018,30.24
,,2018 - 2019,29.82
,,2019 - 2020,23.95
,,2020 - 2021,28.92
,,2021 - 2022,29.0
,,2022 - 2023,27.95
,Sabar kantha,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,29.0
,,2011 - 2012,8.0
,,2012 - 2013,13.0
,,2013 - 2014,30.51
,,2014 - 2015,27.88
,,2015 - 2016,26.93
,,2016 - 2017,26.05
,,2017 - 2018,28.68
,,2018 - 2019,28.22
,,2019 - 2020,29.27
,,2020 - 2021,29.56
,,2021 - 2022,27.76
,,2022 - 2023,27.55
,Surat,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,31.33
,,2009 - 2010,26.43
,,2010 - 2011,
,,2011 - 2012,31.0
,,2012 - 2013,19.0
,,2013 - 2014,30.51
,,2014 - 2015,27.88
,,2015 - 2016,26.93
,,2016 - 2017,26.05
,,2017 - 2018,28.68
,,2018 - 2019,28.22
,,2019 - 2020,29.27
,,2020 - 2021,29.56
,,2021 - 2022,27.76
,,2022 - 2023,27.55
,Surendranagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,26.8
,,2009 - 2010,26.13
,,2010 - 2011,
,,2011 - 2012,29.92
,,2012 - 2013,23.58
,,2013 - 2014,30.51
,,2014 - 2015,27.88
,,2015 - 2016,26.93
,,2016 - 2017,26.05
,,2017 - 2018,33.42
,,2018 - 2019,28.22
,,2019 - 2020,29.28
,,2020 - 2021,29.56
,,2021 - 2022,27.76
,,2022 - 2023,27.55
,Tapi,2010 - 2011,
,,2011 - 2012,20.0
,,2012 - 2013,
,,2013 - 2014,30.51
,,2014 - 2015,27.89
,,2017 - 2018,28.75
,,2018 - 2019,28.2
,,2020 - 2021,29.55
,,2021 - 2022,
,,2022 - 2023,27.55
,Vadodara,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,28.67
,,2009 - 2010,28.0
,,2010 - 2011,
,,2011 - 2012,33.0
,,2012 - 2013,27.0
,,2013 - 2014,30.51
,,2014 - 2015,27.88
,,2015 - 2016,26.93
,,2016 - 2017,26.05
,,2017 - 2018,28.68
,,2018 - 2019,28.22
,,2019 - 2020,29.26
,,2020 - 2021,29.56
,,2021 - 2022,27.76
,,2022 - 2023,27.55
,Valsad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2010 - 2011,
,,2011 - 2012,4.0
,,2014 - 2015,27.86
,,2017 - 2018,28.68
,,2018 - 2019,28.22
,,2019 - 2020,29.27
,,2020 - 2021,29.56
,,2021 - 2022,27.76
,,2022 - 2023,27.55
Haryana,Ambala,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Bhiwani,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2007 - 2008,
,,2008 - 2009,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Charki dadri,2018 - 2019,
,,2019 - 2020,
,Faridabad,2001 - 2002,
,,2005 - 2006,
,,2006 - 2007,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Fatehabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,,2006 - 2007,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Gurgaon,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Hisar,2006 - 2007,
,,2010 - 2011,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Jhajjar,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Jind,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Kaithal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Karnal,2000 - 2001,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Kurukshetra,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Mahendragarh,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Mewat,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Palwal,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Panchkula,2000 - 2001,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Panipat,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Rewari,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Rohtak,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Sirsa,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Sonipat,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Yamunanagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
Himachal Pradesh,Bilaspur,2002 - 2003,
,,2005 - 2006,4.28
,,2006 - 2007,4.94
,,2007 - 2008,7.17
,,2008 - 2009,7.15
,,2009 - 2010,6.31
,,2011 - 2012,7.17
,,2012 - 2013,7.18
,,2013 - 2014,7.43
,,2014 - 2015,7.16
,,2015 - 2016,5.62
,,2017 - 2018,7.22
,,2018 - 2019,7.21
,,2019 - 2020,7.29
,,2020 - 2021,5.31
,,2021 - 2022,5.32
,Chamba,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,2.0
,,2006 - 2007,6.52
,,2007 - 2008,5.59
,,2008 - 2009,8.13
,,2009 - 2010,2.63
,,2011 - 2012,10.16
,,2012 - 2013,10.18
,,2013 - 2014,10.19
,,2014 - 2015,10.18
,,2015 - 2016,10.15
,,2017 - 2018,7.78
,,2018 - 2019,7.77
,,2019 - 2020,7.58
,,2020 - 2021,5.45
,,2021 - 2022,5.52
,Hamirpur,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,6.41
,,2006 - 2007,10.16
,,2007 - 2008,6.61
,,2008 - 2009,1.83
,,2009 - 2010,5.49
,,2011 - 2012,8.61
,,2012 - 2013,10.23
,,2013 - 2014,10.18
,,2014 - 2015,10.21
,,2015 - 2016,10.22
,,2017 - 2018,2.38
,,2018 - 2019,2.36
,,2019 - 2020,6.39
,,2020 - 2021,4.98
,,2021 - 2022,4.96
,Kangra,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,4.56
,,2006 - 2007,8.13
,,2007 - 2008,8.44
,,2008 - 2009,8.31
,,2009 - 2010,4.3
,,2011 - 2012,5.38
,,2012 - 2013,8.19
,,2013 - 2014,8.22
,,2014 - 2015,8.21
,,2015 - 2016,10.14
,,2017 - 2018,10.38
,,2018 - 2019,11.35
,,2019 - 2020,9.98
,,2020 - 2021,4.13
,,2021 - 2022,4.13
,Kullu,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,2.42
,,2006 - 2007,8.34
,,2007 - 2008,8.85
,,2008 - 2009,6.2
,,2009 - 2010,5.95
,,2011 - 2012,7.4
,,2012 - 2013,8.06
,,2013 - 2014,8.22
,,2014 - 2015,7.94
,,2015 - 2016,10.19
,,2017 - 2018,9.03
,,2018 - 2019,9.03
,,2019 - 2020,9.33
,,2020 - 2021,4.5
,,2021 - 2022,4.43
,Mandi,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,5.84
,,2006 - 2007,10.17
,,2007 - 2008,10.17
,,2008 - 2009,2.03
,,2009 - 2010,5.12
,,2011 - 2012,10.18
,,2012 - 2013,8.13
,,2013 - 2014,8.13
,,2014 - 2015,8.11
,,2015 - 2016,10.16
,,2017 - 2018,2.85
,,2018 - 2019,1.77
,,2019 - 2020,5.75
,,2020 - 2021,4.64
,,2021 - 2022,4.62
,Shimla,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,4.0
,,2006 - 2007,10.2
,,2007 - 2008,10.18
,,2008 - 2009,4.08
,,2009 - 2010,5.67
,,2011 - 2012,10.17
,,2012 - 2013,10.17
,,2014 - 2015,10.18
,,2015 - 2016,10.18
,,2017 - 2018,3.89
,,2018 - 2019,3.86
,,2019 - 2020,5.91
,,2020 - 2021,5.69
,,2021 - 2022,5.76
,Sirmaur,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,2.87
,,2006 - 2007,7.13
,,2007 - 2008,6.83
,,2008 - 2009,2.24
,,2009 - 2010,7.08
,,2011 - 2012,10.1
,,2012 - 2013,10.11
,,2013 - 2014,9.98
,,2014 - 2015,9.91
,,2015 - 2016,9.95
,,2017 - 2018,2.17
,,2018 - 2019,1.76
,,2019 - 2020,4.77
,,2020 - 2021,7.4
,,2021 - 2022,9.81
,Solan,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,6.64
,,2006 - 2007,8.44
,,2007 - 2008,8.45
,,2008 - 2009,6.88
,,2009 - 2010,6.0
,,2011 - 2012,10.14
,,2012 - 2013,10.12
,,2013 - 2014,10.12
,,2014 - 2015,10.11
,,2015 - 2016,10.12
,,2017 - 2018,5.16
,,2018 - 2019,5.16
,,2019 - 2020,7.16
,,2020 - 2021,5.62
,,2021 - 2022,5.63
,Una,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,10.92
,,2006 - 2007,11.43
,,2007 - 2008,11.79
,,2008 - 2009,11.1
,,2009 - 2010,8.89
,,2011 - 2012,12.67
,,2012 - 2013,12.45
,,2013 - 2014,12.73
,,2014 - 2015,12.7
,,2015 - 2016,12.81
,,2017 - 2018,9.74
,,2018 - 2019,9.74
,,2019 - 2020,8.74
,,2020 - 2021,8.93
,,2021 - 2022,8.93
Jammu and Kashmir,Anantnag,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,2.35
,,2007 - 2008,2.35
,,2008 - 2009,2.35
,,2009 - 2010,2.35
,,2010 - 2011,2.35
,,2011 - 2012,2.35
,,2012 - 2013,2.35
,,2013 - 2014,2.35
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,2.37
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Badgam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2006 - 2007,2.49
,,2007 - 2008,2.49
,,2008 - 2009,2.49
,,2009 - 2010,2.49
,,2010 - 2011,2.49
,,2011 - 2012,2.49
,,2012 - 2013,2.49
,,2013 - 2014,2.49
,,2014 - 2015,
,,2015 - 2016,2.49
,,2016 - 2017,2.48
,,2017 - 2018,2.48
,,2018 - 2019,2.49
,,2019 - 2020,2.49
,,2020 - 2021,2.49
,,2021 - 2022,2.49
,,2022 - 2023,2.49
,Baramulla,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,Doda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2006 - 2007,2.57
,,2007 - 2008,2.57
,,2008 - 2009,2.57
,,2009 - 2010,2.56
,,2010 - 2011,2.56
,,2011 - 2012,2.56
,,2012 - 2013,2.56
,,2013 - 2014,2.56
,,2016 - 2017,2.41
,,2017 - 2018,2.41
,,2018 - 2019,2.41
,,2019 - 2020,2.41
,,2020 - 2021,2.5
,,2021 - 2022,2.5
,,2022 - 2023,2.5
,Ganderbal,2015 - 2016,2.36
,,2016 - 2017,2.36
,,2017 - 2018,2.36
,,2018 - 2019,2.36
,,2019 - 2020,2.36
,,2020 - 2021,2.36
,,2021 - 2022,2.36
,,2022 - 2023,2.36
,Jammu,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2010 - 2011,
,,2015 - 2016,2.5
,,2016 - 2017,2.5
,,2021 - 2022,0.23
,,2022 - 2023,0.23
,Kargil,2011 - 2012,
,,2012 - 2013,
,Kathua,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2009 - 2010,
,,2015 - 2016,
,,2016 - 2017,2.5
,,2019 - 2020,2.5
,,2020 - 2021,
,,2022 - 2023,0.2
,Kishtwar,2007 - 2008,2.55
,,2008 - 2009,2.55
,,2016 - 2017,2.5
,,2017 - 2018,2.5
,,2019 - 2020,2.5
,Kulgam,2007 - 2008,2.35
,,2008 - 2009,2.35
,,2009 - 2010,2.35
,,2010 - 2011,2.36
,,2011 - 2012,2.36
,,2012 - 2013,2.36
,,2013 - 2014,2.36
,,2015 - 2016,2.36
,,2016 - 2017,2.36
,,2017 - 2018,2.36
,,2018 - 2019,2.36
,,2019 - 2020,2.36
,,2020 - 2021,2.36
,,2021 - 2022,2.36
,,2022 - 2023,2.36
,Kupwara,2017 - 2018,
,Leh ladakh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2006 - 2007,0.66
,,2007 - 2008,0.66
,,2008 - 2009,0.66
,,2010 - 2011,2.9
,,2018 - 2019,0.9
,Poonch,2019 - 2020,
,,2020 - 2021,
,Pulwama,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2006 - 2007,2.35
,,2007 - 2008,2.35
,,2008 - 2009,2.35
,,2009 - 2010,2.35
,,2010 - 2011,2.35
,,2011 - 2012,2.35
,,2012 - 2013,2.35
,,2013 - 2014,2.35
,,2015 - 2016,2.35
,,2016 - 2017,2.35
,,2017 - 2018,2.35
,,2018 - 2019,2.35
,,2019 - 2020,2.35
,,2020 - 2021,2.35
,,2021 - 2022,2.35
,,2022 - 2023,2.35
,Ramban,2019 - 2020,2.5
,Reasi,2008 - 2009,2.57
,,2010 - 2011,0.96
,,2011 - 2012,0.95
,Samba,2009 - 2010,
,,2018 - 2019,0.7
,,2021 - 2022,0.34
,Shopian,2007 - 2008,2.35
,,2008 - 2009,2.35
,,2009 - 2010,2.38
,,2010 - 2011,2.38
,,2011 - 2012,2.38
,,2012 - 2013,2.38
,,2013 - 2014,2.38
,Srinagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,2.36
,,2007 - 2008,2.36
,,2009 - 2010,
,,2010 - 2011,
,,2015 - 2016,2.37
,,2016 - 2017,2.37
,,2017 - 2018,2.37
,,2018 - 2019,2.37
,,2019 - 2020,2.37
,,2020 - 2021,2.37
,,2021 - 2022,2.37
,,2022 - 2023,2.37
,Udhampur,2001 - 2002,
,,2003 - 2004,
,,2007 - 2008,
,,2012 - 2013,2.25
,,2013 - 2014,2.25
,,2014 - 2015,
,,2015 - 2016,
Jharkhand,Bokaro,2006 - 2007,6.18
,,2007 - 2008,6.6
,,2008 - 2009,4.97
,,2009 - 2010,6.31
,,2010 - 2011,6.57
,,2011 - 2012,6.32
,,2012 - 2013,6.44
,,2013 - 2014,5.19
,,2014 - 2015,6.09
,,2015 - 2016,10.26
,,2016 - 2017,4.41
,,2020 - 2021,6.57
,Chatra,2006 - 2007,5.51
,,2007 - 2008,5.7
,,2008 - 2009,5.06
,,2009 - 2010,6.31
,,2010 - 2011,6.43
,,2011 - 2012,8.0
,,2012 - 2013,5.54
,,2013 - 2014,5.2
,,2014 - 2015,6.08
,,2015 - 2016,16.04
,,2016 - 2017,4.41
,,2020 - 2021,9.21
,Deoghar,2006 - 2007,4.35
,,2008 - 2009,4.21
,,2010 - 2011,10.26
,,2011 - 2012,3.67
,,2012 - 2013,7.29
,,2013 - 2014,4.86
,,2014 - 2015,2.5
,Dhanbad,2006 - 2007,6.65
,,2007 - 2008,6.63
,,2008 - 2009,5.0
,,2009 - 2010,6.27
,,2010 - 2011,6.4
,,2011 - 2012,6.33
,,2012 - 2013,6.44
,,2013 - 2014,362.0
,,2014 - 2015,3.0
,,2015 - 2016,7.63
,,2016 - 2017,4.33
,,2020 - 2021,6.67
,Dumka,2006 - 2007,4.36
,,2007 - 2008,5.05
,,2008 - 2009,3.86
,,2009 - 2010,3.26
,,2010 - 2011,10.28
,,2011 - 2012,9.12
,,2012 - 2013,4.28
,,2013 - 2014,10.94
,,2014 - 2015,6.11
,,2015 - 2016,11.71
,,2016 - 2017,4.33
,,2020 - 2021,6.0
,East singhbum,2006 - 2007,5.72
,,2007 - 2008,6.31
,,2008 - 2009,5.07
,,2009 - 2010,5.0
,,2010 - 2011,5.67
,,2012 - 2013,4.25
,,2013 - 2014,5.48
,,2014 - 2015,6.08
,,2015 - 2016,6.0
,,2016 - 2017,8.0
,,2020 - 2021,6.53
,Garhwa,2003 - 2004,
,,2004 - 2005,7.71
,,2005 - 2006,6.72
,,2006 - 2007,6.95
,,2007 - 2008,7.38
,,2008 - 2009,6.67
,,2009 - 2010,6.3
,,2010 - 2011,5.57
,,2011 - 2012,6.49
,,2012 - 2013,6.21
,,2013 - 2014,6.21
,,2014 - 2015,5.84
,,2015 - 2016,6.29
,,2016 - 2017,6.83
,,2020 - 2021,7.49
,Giridih,2003 - 2004,
,,2004 - 2005,14.72
,,2005 - 2006,13.25
,,2006 - 2007,13.64
,,2007 - 2008,9.64
,,2008 - 2009,5.08
,,2009 - 2010,9.63
,,2010 - 2011,7.98
,,2011 - 2012,7.0
,,2012 - 2013,7.58
,,2013 - 2014,5.19
,,2014 - 2015,7.67
,,2015 - 2016,8.02
,,2016 - 2017,4.41
,,2020 - 2021,5.89
,Godda,2006 - 2007,4.36
,,2007 - 2008,5.06
,,2008 - 2009,4.89
,,2009 - 2010,3.25
,,2010 - 2011,4.94
,,2011 - 2012,4.31
,,2012 - 2013,4.92
,,2013 - 2014,10.93
,,2014 - 2015,6.1
,,2015 - 2016,11.77
,,2016 - 2017,11.38
,,2020 - 2021,6.42
,Gumla,2006 - 2007,5.13
,,2007 - 2008,4.93
,,2008 - 2009,6.99
,,2009 - 2010,2.88
,,2010 - 2011,5.58
,,2011 - 2012,9.54
,,2012 - 2013,4.67
,,2013 - 2014,4.55
,,2014 - 2015,6.09
,,2015 - 2016,3.27
,,2016 - 2017,9.6
,,2020 - 2021,6.78
,Hazaribagh,2003 - 2004,
,,2004 - 2005,7.53
,,2005 - 2006,5.65
,,2006 - 2007,5.65
,,2007 - 2008,5.79
,,2008 - 2009,4.84
,,2009 - 2010,5.19
,,2010 - 2011,5.74
,,2011 - 2012,5.87
,,2012 - 2013,6.29
,,2013 - 2014,5.73
,,2014 - 2015,5.47
,,2015 - 2016,10.26
,,2016 - 2017,4.41
,,2020 - 2021,7.24
,Jamtara,2006 - 2007,4.35
,,2007 - 2008,5.04
,,2008 - 2009,4.12
,,2009 - 2010,3.27
,,2010 - 2011,12.73
,,2011 - 2012,13.19
,,2012 - 2013,13.67
,,2013 - 2014,12.21
,,2014 - 2015,11.86
,,2015 - 2016,16.1
,,2016 - 2017,15.74
,,2020 - 2021,5.8
,Khunti,2008 - 2009,3.85
,,2009 - 2010,3.19
,,2010 - 2011,6.21
,,2011 - 2012,6.33
,,2012 - 2013,6.18
,,2013 - 2014,5.87
,,2014 - 2015,6.09
,,2015 - 2016,3.27
,,2016 - 2017,9.6
,,2020 - 2021,5.08
,Koderma,2006 - 2007,6.63
,,2007 - 2008,6.61
,,2008 - 2009,5.31
,,2009 - 2010,4.81
,,2010 - 2011,6.42
,,2011 - 2012,4.82
,,2012 - 2013,9.52
,,2013 - 2014,3.54
,,2014 - 2015,6.08
,,2015 - 2016,5.47
,,2016 - 2017,4.39
,,2020 - 2021,4.22
,Latehar,2006 - 2007,7.35
,,2007 - 2008,6.98
,,2008 - 2009,5.85
,,2009 - 2010,5.46
,,2010 - 2011,3.43
,,2011 - 2012,9.01
,,2012 - 2013,6.62
,,2013 - 2014,6.21
,,2014 - 2015,6.91
,,2015 - 2016,6.3
,,2016 - 2017,6.84
,,2020 - 2021,6.4
,Lohardaga,2005 - 2006,25.68
,,2006 - 2007,3.22
,,2007 - 2008,3.69
,,2008 - 2009,2.8
,,2009 - 2010,2.43
,,2010 - 2011,2.72
,,2011 - 2012,3.85
,,2012 - 2013,3.96
,,2013 - 2014,4.14
,,2014 - 2015,4.25
,,2015 - 2016,3.27
,,2016 - 2017,9.65
,,2020 - 2021,6.29
,Pakur,2006 - 2007,4.37
,,2007 - 2008,5.04
,,2008 - 2009,4.15
,,2009 - 2010,3.26
,,2014 - 2015,6.1
,,2015 - 2016,9.51
,,2016 - 2017,10.69
,,2020 - 2021,6.88
,Palamu,2004 - 2005,7.16
,,2005 - 2006,9.12
,,2006 - 2007,6.06
,,2007 - 2008,7.56
,,2008 - 2009,4.77
,,2009 - 2010,6.43
,,2010 - 2011,6.03
,,2011 - 2012,5.57
,,2012 - 2013,5.81
,,2013 - 2014,6.21
,,2014 - 2015,7.47
,,2015 - 2016,6.29
,,2016 - 2017,6.84
,,2020 - 2021,6.06
,Ramgarh,2008 - 2009,4.77
,,2009 - 2010,6.32
,,2010 - 2011,6.43
,,2011 - 2012,5.72
,,2012 - 2013,4.28
,,2013 - 2014,5.19
,,2014 - 2015,6.09
,,2015 - 2016,10.27
,Ranchi,2003 - 2004,
,,2004 - 2005,5.54
,,2005 - 2006,9.18
,,2006 - 2007,7.02
,,2007 - 2008,7.73
,,2008 - 2009,3.79
,,2009 - 2010,3.09
,,2010 - 2011,4.88
,,2011 - 2012,6.15
,,2012 - 2013,4.67
