state,district,year,sugarcane_whole_year_yield_tonne_per_hectare
,,2020 - 2021,68.0
,,2021 - 2022,65.65
,,2022 - 2023,65.6
,Gir somnath,2017 - 2018,62.0
,,2018 - 2019,71.5
,,2020 - 2021,69.0
,,2021 - 2022,83.86
,,2022 - 2023,94.93
,Jamnagar,2000 - 2001,73.33
,,2001 - 2002,55.0
,,2002 - 2003,50.0
,,2003 - 2004,73.33
,,2004 - 2005,70.0
,,2005 - 2006,93.33
,,2006 - 2007,85.0
,,2007 - 2008,74.29
,,2008 - 2009,66.0
,,2009 - 2010,70.0
,,2010 - 2011,72.0
,,2013 - 2014,69.98
,,2014 - 2015,70.36
,,2017 - 2018,62.0
,Junagadh,2000 - 2001,63.75
,,2001 - 2002,78.75
,,2002 - 2003,92.46
,,2003 - 2004,94.09
,,2004 - 2005,99.64
,,2005 - 2006,94.44
,,2006 - 2007,103.04
,,2007 - 2008,89.83
,,2008 - 2009,66.92
,,2009 - 2010,68.32
,,2010 - 2011,77.16
,,2011 - 2012,72.11
,,2012 - 2013,7.43
,,2013 - 2014,69.98
,,2015 - 2016,69.0
,,2017 - 2018,62.06
,,2018 - 2019,72.37
,,2019 - 2020,71.8
,,2020 - 2021,77.0
,,2021 - 2022,72.5
,,2022 - 2023,72.14
,Kachchh,2001 - 2002,55.0
,,2002 - 2003,76.67
,,2003 - 2004,70.0
,,2005 - 2006,50.0
,,2006 - 2007,74.0
,,2007 - 2008,90.0
,,2008 - 2009,80.0
,,2009 - 2010,60.0
,,2010 - 2011,70.0
,,2012 - 2013,5.0
,,2014 - 2015,70.36
,Kheda,2000 - 2001,80.0
,,2001 - 2002,30.0
,,2012 - 2013,7.33
,,2013 - 2014,0.0
,,2014 - 2015,70.5
,,2015 - 2016,69.0
,Mahisagar,2015 - 2016,68.9
,,2017 - 2018,62.05
,Morbi,2014 - 2015,70.36
,,2015 - 2016,78.8
,,2016 - 2017,78.5
,,2017 - 2018,62.05
,,2018 - 2019,74.0
,,2019 - 2020,85.0
,,2020 - 2021,77.73
,,2021 - 2022,78.0
,Narmada,2003 - 2004,71.79
,,2004 - 2005,73.56
,,2005 - 2006,73.95
,,2006 - 2007,71.86
,,2007 - 2008,70.67
,,2008 - 2009,68.09
,,2009 - 2010,70.51
,,2010 - 2011,76.84
,,2011 - 2012,70.4
,,2012 - 2013,7.65
,,2013 - 2014,67.92
,,2014 - 2015,76.6
,,2015 - 2016,75.0
,,2016 - 2017,70.0
,,2017 - 2018,67.0
,,2018 - 2019,75.8
,,2019 - 2020,70.0
,,2020 - 2021,71.5
,,2021 - 2022,72.6
,,2022 - 2023,79.84
,Navsari,2003 - 2004,67.67
,,2004 - 2005,64.19
,,2005 - 2006,68.8
,,2006 - 2007,73.38
,,2007 - 2008,66.55
,,2008 - 2009,67.24
,,2009 - 2010,70.31
,,2010 - 2011,72.0
,,2011 - 2012,63.19
,,2012 - 2013,7.23
,,2013 - 2014,58.17
,,2014 - 2015,68.89
,,2015 - 2016,68.1
,,2016 - 2017,67.15
,,2017 - 2018,68.6
,,2018 - 2019,63.77
,,2019 - 2020,63.77
,,2020 - 2021,63.77
,,2021 - 2022,74.69
,,2022 - 2023,68.1
,Panch mahals,2002 - 2003,40.0
,,2005 - 2006,50.0
,,2006 - 2007,40.0
,,2007 - 2008,90.0
,,2008 - 2009,40.0
,,2009 - 2010,60.0
,,2010 - 2011,70.0
,,2020 - 2021,68.0
,,2021 - 2022,65.45
,,2022 - 2023,68.0
,Rajkot,2000 - 2001,100.0
,,2001 - 2002,40.0
,,2002 - 2003,60.0
,,2005 - 2006,100.0
,,2006 - 2007,90.0
,,2007 - 2008,90.0
,,2008 - 2009,85.0
,,2009 - 2010,70.0
,,2010 - 2011,70.0
,,2011 - 2012,50.0
,,2013 - 2014,69.98
,,2014 - 2015,70.35
,,2015 - 2016,68.91
,,2016 - 2017,71.88
,,2017 - 2018,62.05
,,2018 - 2019,67.56
,,2019 - 2020,71.91
,,2020 - 2021,75.0
,,2021 - 2022,78.0
,,2022 - 2023,90.0
,Sabar kantha,2000 - 2001,70.0
,,2001 - 2002,85.0
,,2002 - 2003,70.0
,Surat,2000 - 2001,74.68
,,2001 - 2002,75.01
,,2002 - 2003,70.19
,,2003 - 2004,75.14
,,2004 - 2005,77.86
,,2005 - 2006,90.0
,,2006 - 2007,76.48
,,2007 - 2008,71.64
,,2008 - 2009,70.94
,,2009 - 2010,69.1
,,2010 - 2011,74.93
,,2011 - 2012,65.55
,,2012 - 2013,7.24
,,2013 - 2014,71.09
,,2014 - 2015,72.05
,,2015 - 2016,76.99
,,2016 - 2017,74.17
,,2017 - 2018,68.0
,,2018 - 2019,75.0
,,2019 - 2020,73.5
,,2020 - 2021,85.0
,,2021 - 2022,86.56
,,2022 - 2023,74.42
,Surendranagar,2000 - 2001,72.5
,,2001 - 2002,50.0
,,2002 - 2003,65.0
,,2004 - 2005,70.0
,,2005 - 2006,50.0
,,2006 - 2007,70.0
,,2007 - 2008,73.33
,,2008 - 2009,60.0
,,2009 - 2010,70.0
,,2010 - 2011,70.0
,,2011 - 2012,60.0
,,2013 - 2014,69.98
,,2016 - 2017,71.85
,,2021 - 2022,70.0
,Tapi,2008 - 2009,72.82
,,2009 - 2010,71.01
,,2010 - 2011,51.09
,,2011 - 2012,44.36
,,2012 - 2013,7.47
,,2013 - 2014,56.0
,,2014 - 2015,58.83
,,2015 - 2016,55.34
,,2016 - 2017,55.0
,,2017 - 2018,52.0
,,2018 - 2019,78.0
,,2019 - 2020,76.0
,,2020 - 2021,80.0
,,2021 - 2022,84.2
,,2022 - 2023,85.23
,Vadodara,2000 - 2001,76.0
,,2001 - 2002,71.67
,,2002 - 2003,71.11
,,2003 - 2004,71.85
,,2004 - 2005,73.04
,,2005 - 2006,64.58
,,2006 - 2007,69.69
,,2007 - 2008,71.54
,,2008 - 2009,69.85
,,2009 - 2010,72.14
,,2010 - 2011,61.04
,,2011 - 2012,45.29
,,2012 - 2013,6.11
,,2013 - 2014,61.0
,,2014 - 2015,61.0
,,2015 - 2016,67.5
,,2016 - 2017,65.0
,,2017 - 2018,63.0
,,2018 - 2019,6.5
,,2019 - 2020,63.9
,,2020 - 2021,66.0
,,2021 - 2022,65.7
,,2022 - 2023,63.43
,Valsad,2000 - 2001,58.48
,,2001 - 2002,57.92
,,2002 - 2003,69.54
,,2003 - 2004,56.96
,,2004 - 2005,59.64
,,2005 - 2006,65.66
,,2006 - 2007,69.57
,,2007 - 2008,66.36
,,2008 - 2009,67.71
,,2009 - 2010,71.51
,,2010 - 2011,67.95
,,2011 - 2012,70.0
,,2012 - 2013,7.62
,,2013 - 2014,43.7
,,2014 - 2015,74.0
,,2015 - 2016,60.0
,,2016 - 2017,60.0
,,2017 - 2018,52.0
,,2018 - 2019,67.0
,,2019 - 2020,67.1
,,2020 - 2021,67.5
,,2021 - 2022,67.8
,,2022 - 2023,67.6
Haryana,Ambala,2000 - 2001,58.5
,,2001 - 2002,57.25
,,2002 - 2003,60.79
,,2003 - 2004,61.31
,,2004 - 2005,64.72
,,2005 - 2006,64.33
,,2006 - 2007,63.44
,,2007 - 2008,67.68
,,2008 - 2009,55.49
,,2009 - 2010,74.07
,,2010 - 2011,6.97
,,2011 - 2012,7.47
,,2012 - 2013,78.83
,,2013 - 2014,71.2
,,2014 - 2015,70.6
,,2015 - 2016,67.5
,,2016 - 2017,78.16
,,2017 - 2018,81.2
,,2018 - 2019,72.14
,,2019 - 2020,79.79
,,2020 - 2021,77.64
,,2021 - 2022,81.18
,Bhiwani,2000 - 2001,46.77
,,2001 - 2002,32.2
,,2002 - 2003,50.86
,,2003 - 2004,61.99
,,2004 - 2005,35.09
,,2005 - 2006,71.94
,,2006 - 2007,59.36
,,2007 - 2008,64.55
,,2008 - 2009,50.12
,,2009 - 2010,91.31
,,2010 - 2011,8.6
,,2011 - 2012,6.5
,,2012 - 2013,51.97
,,2013 - 2014,75.5
,,2014 - 2015,76.0
,,2015 - 2016,72.0
,,2016 - 2017,62.5
,,2017 - 2018,76.75
,,2018 - 2019,73.96
,,2019 - 2020,79.17
,,2020 - 2021,73.19
,,2021 - 2022,65.51
,Charki dadri,2017 - 2018,76.54
,,2018 - 2019,92.31
,,2019 - 2020,80.27
,,2020 - 2021,86.18
,,2021 - 2022,94.92
,Faridabad,2000 - 2001,48.53
,,2001 - 2002,56.09
,,2002 - 2003,51.59
,,2003 - 2004,47.39
,,2004 - 2005,49.72
,,2005 - 2006,46.3
,,2006 - 2007,49.22
,,2007 - 2008,60.17
,,2008 - 2009,59.6
,,2009 - 2010,67.42
,,2010 - 2011,6.18
,,2011 - 2012,13.82
,,2012 - 2013,110.78
,,2015 - 2016,72.0
,,2016 - 2017,80.67
,,2017 - 2018,92.0
,,2018 - 2019,55.0
,,2019 - 2020,67.5
,,2020 - 2021,60.79
,,2021 - 2022,81.93
,Fatehabad,2000 - 2001,57.42
,,2001 - 2002,59.29
,,2002 - 2003,55.64
,,2003 - 2004,49.31
,,2004 - 2005,91.53
,,2005 - 2006,0.0
,,2006 - 2007,100.93
,,2007 - 2008,55.83
,,2008 - 2009,86.39
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2016 - 2017,62.0
,,2017 - 2018,85.0
,,2018 - 2019,78.27
,,2019 - 2020,87.36
,,2020 - 2021,71.72
,,2021 - 2022,77.02
,Gurgaon,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2018 - 2019,78.0
,,2021 - 2022,0.0
,Hisar,2000 - 2001,52.57
,,2001 - 2002,50.19
,,2002 - 2003,57.27
,,2003 - 2004,54.41
,,2004 - 2005,35.49
,,2005 - 2006,62.48
,,2006 - 2007,56.99
,,2007 - 2008,63.69
,,2008 - 2009,37.29
,,2009 - 2010,72.66
,,2010 - 2011,6.25
,,2011 - 2012,5.87
,,2012 - 2013,57.97
,,2013 - 2014,88.0
,,2014 - 2015,70.0
,,2015 - 2016,64.0
,,2016 - 2017,67.06
,,2017 - 2018,75.17
,,2018 - 2019,77.67
,,2019 - 2020,73.15
,,2020 - 2021,76.75
,,2021 - 2022,83.55
,Jhajjar,2000 - 2001,44.89
,,2001 - 2002,58.21
,,2002 - 2003,44.39
,,2003 - 2004,54.11
,,2004 - 2005,37.93
,,2005 - 2006,64.62
,,2006 - 2007,75.03
,,2007 - 2008,72.76
,,2008 - 2009,31.07
,,2009 - 2010,88.5
,,2010 - 2011,7.1
,,2011 - 2012,7.64
,,2012 - 2013,64.31
,,2013 - 2014,82.0
,,2014 - 2015,71.33
,,2015 - 2016,76.33
,,2016 - 2017,75.67
,,2017 - 2018,66.59
,,2018 - 2019,79.68
,,2019 - 2020,75.63
,,2020 - 2021,80.87
,,2021 - 2022,67.51
,Jind,2000 - 2001,53.72
,,2001 - 2002,56.81
,,2002 - 2003,51.2
,,2003 - 2004,56.7
,,2004 - 2005,64.82
,,2005 - 2006,74.83
,,2006 - 2007,87.58
,,2007 - 2008,60.07
,,2008 - 2009,55.56
,,2009 - 2010,51.62
,,2010 - 2011,6.78
,,2011 - 2012,7.46
,,2012 - 2013,57.57
,,2013 - 2014,79.5
,,2014 - 2015,67.75
,,2015 - 2016,71.33
,,2016 - 2017,75.43
,,2017 - 2018,79.92
,,2018 - 2019,78.53
,,2019 - 2020,80.15
,,2020 - 2021,91.8
,,2021 - 2022,73.09
,Kaithal,2000 - 2001,61.93
,,2001 - 2002,56.02
,,2002 - 2003,58.52
,,2003 - 2004,46.81
,,2004 - 2005,51.84
,,2005 - 2006,44.09
,,2006 - 2007,52.25
,,2007 - 2008,56.15
,,2008 - 2009,81.47
,,2009 - 2010,76.9
,,2010 - 2011,7.57
,,2011 - 2012,6.11
,,2012 - 2013,99.4
,,2013 - 2014,84.0
,,2014 - 2015,71.33
,,2015 - 2016,91.67
,,2016 - 2017,95.0
,,2017 - 2018,90.46
,,2018 - 2019,96.22
,,2019 - 2020,93.76
,,2020 - 2021,106.65
,,2021 - 2022,91.7
,Karnal,2000 - 2001,64.51
,,2001 - 2002,65.12
,,2002 - 2003,64.28
,,2003 - 2004,63.48
,,2004 - 2005,69.6
,,2005 - 2006,68.47
,,2006 - 2007,70.37
,,2007 - 2008,67.32
,,2008 - 2009,66.38
,,2009 - 2010,79.63
,,2010 - 2011,7.85
,,2011 - 2012,8.2
,,2012 - 2013,81.25
,,2013 - 2014,78.83
,,2014 - 2015,85.0
,,2015 - 2016,85.82
,,2016 - 2017,93.56
,,2017 - 2018,93.13
,,2018 - 2019,83.98
,,2019 - 2020,84.23
,,2020 - 2021,104.88
,,2021 - 2022,91.76
,Kurukshetra,2000 - 2001,65.22
,,2001 - 2002,65.62
,,2002 - 2003,66.42
,,2003 - 2004,68.7
,,2004 - 2005,77.17
,,2005 - 2006,73.61
,,2006 - 2007,68.08
,,2007 - 2008,69.21
,,2008 - 2009,60.71
,,2009 - 2010,75.04
,,2010 - 2011,7.45
,,2011 - 2012,7.76
,,2012 - 2013,80.64
,,2013 - 2014,75.5
,,2014 - 2015,81.64
,,2015 - 2016,80.9
,,2016 - 2017,85.6
,,2017 - 2018,92.43
,,2018 - 2019,81.09
,,2019 - 2020,84.6
,,2020 - 2021,87.64
,,2021 - 2022,87.25
,Mahendragarh,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2011 - 2012,0.0
,Mewat,2005 - 2006,74.52
,,2006 - 2007,56.72
,,2007 - 2008,70.67
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,9.86
,,2012 - 2013,86.12
,,2013 - 2014,73.0
,,2016 - 2017,80.0
,,2017 - 2018,84.0
,,2018 - 2019,78.25
,,2019 - 2020,80.25
,,2020 - 2021,86.19
,,2021 - 2022,81.91
,Palwal,2008 - 2009,69.3
,,2009 - 2010,48.69
,,2010 - 2011,5.64
,,2011 - 2012,5.25
,,2012 - 2013,52.05
,,2013 - 2014,52.5
,,2014 - 2015,43.5
,,2015 - 2016,68.0
,,2016 - 2017,50.45
,,2017 - 2018,58.91
,,2018 - 2019,50.83
,,2019 - 2020,56.08
,,2020 - 2021,63.52
,,2021 - 2022,79.7
,Panchkula,2000 - 2001,72.29
,,2001 - 2002,54.25
,,2002 - 2003,50.13
,,2003 - 2004,66.01
,,2004 - 2005,70.84
,,2005 - 2006,52.68
,,2006 - 2007,92.39
,,2007 - 2008,45.45
,,2008 - 2009,106.54
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,113.68
,,2015 - 2016,64.0
,,2016 - 2017,90.0
,,2017 - 2018,84.4
,,2018 - 2019,78.2
,,2019 - 2020,84.6
,,2020 - 2021,86.19
,,2021 - 2022,81.66
,Panipat,2000 - 2001,65.99
,,2001 - 2002,62.09
,,2002 - 2003,51.71
,,2003 - 2004,61.37
,,2004 - 2005,68.94
,,2005 - 2006,62.77
,,2006 - 2007,77.37
,,2007 - 2008,70.08
,,2008 - 2009,59.01
,,2009 - 2010,78.54
,,2010 - 2011,7.89
,,2011 - 2012,8.5
,,2012 - 2013,91.55
,,2013 - 2014,76.86
,,2014 - 2015,83.5
,,2015 - 2016,82.0
,,2016 - 2017,83.38
,,2017 - 2018,85.09
,,2018 - 2019,95.46
,,2019 - 2020,85.13
,,2020 - 2021,89.77
,,2021 - 2022,93.58
,Rewari,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2020 - 2021,86.0
,,2021 - 2022,0.0
,Rohtak,2000 - 2001,50.25
,,2001 - 2002,53.86
,,2002 - 2003,48.87
,,2003 - 2004,54.11
,,2004 - 2005,41.34
,,2005 - 2006,52.2
,,2006 - 2007,66.03
,,2007 - 2008,68.88
,,2008 - 2009,53.74
,,2009 - 2010,55.46
,,2010 - 2011,6.71
,,2011 - 2012,7.02
,,2012 - 2013,60.06
,,2013 - 2014,62.63
,,2014 - 2015,68.0
,,2015 - 2016,67.11
,,2016 - 2017,70.9
,,2017 - 2018,76.27
,,2018 - 2019,69.1
,,2019 - 2020,72.88
,,2020 - 2021,72.82
,,2021 - 2022,68.57
,Sirsa,2000 - 2001,85.11
,,2001 - 2002,68.97
,,2002 - 2003,55.32
,,2003 - 2004,44.51
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2016 - 2017,80.0
,,2017 - 2018,84.5
,,2018 - 2019,78.0
,,2020 - 2021,86.09
,,2021 - 2022,0.0
,Sonipat,2000 - 2001,55.63
,,2001 - 2002,52.4
,,2002 - 2003,46.89
,,2003 - 2004,53.25
,,2004 - 2005,59.66
,,2005 - 2006,67.29
,,2006 - 2007,76.36
,,2007 - 2008,68.44
,,2008 - 2009,68.29
,,2009 - 2010,81.5
,,2010 - 2011,8.72
,,2011 - 2012,8.13
,,2012 - 2013,68.69
,,2013 - 2014,81.63
,,2014 - 2015,79.43
,,2015 - 2016,86.0
,,2016 - 2017,87.5
,,2017 - 2018,94.48
,,2018 - 2019,94.98
,,2019 - 2020,78.05
,,2020 - 2021,92.98
,,2021 - 2022,77.28
,Yamunanagar,2000 - 2001,55.84
,,2001 - 2002,56.45
,,2002 - 2003,59.64
,,2003 - 2004,58.39
,,2004 - 2005,67.79
,,2005 - 2006,66.36
,,2006 - 2007,68.59
,,2007 - 2008,54.45
,,2008 - 2009,51.46
,,2009 - 2010,7.13
,,2010 - 2011,6.73
,,2011 - 2012,6.64
,,2012 - 2013,73.56
,,2013 - 2014,68.67
,,2014 - 2015,69.89
,,2015 - 2016,70.0
,,2016 - 2017,79.65
,,2017 - 2018,83.53
,,2018 - 2019,67.69
,,2019 - 2020,78.4
,,2020 - 2021,82.79
,,2021 - 2022,83.67
Himachal Pradesh,Bilaspur,2000 - 2001,4.78
,,2001 - 2002,5.57
,,2002 - 2003,1.5
,,2005 - 2006,8.0
,,2006 - 2007,8.0
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,9.67
,,2010 - 2011,9.67
,,2011 - 2012,9.67
,,2012 - 2013,9.33
,,2013 - 2014,4.67
,,2014 - 2015,27.78
,,2015 - 2016,9.0
,,2016 - 2017,9.0
,,2017 - 2018,10.33
,,2018 - 2019,9.0
,,2019 - 2020,9.0
,,2020 - 2021,12.33
,,2021 - 2022,12.0
,,2022 - 2023,12.33
,Hamirpur,2000 - 2001,0.89
,,2001 - 2002,1.04
,,2002 - 2003,1.3
,,2005 - 2006,4.79
,,2006 - 2007,1.38
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,9.26
,,2010 - 2011,9.17
,,2011 - 2012,5.18
,,2012 - 2013,9.24
,,2013 - 2014,4.97
,,2014 - 2015,27.52
,,2015 - 2016,9.24
,,2016 - 2017,9.12
,,2017 - 2018,11.09
,,2018 - 2019,9.11
,,2019 - 2020,12.12
,,2020 - 2021,1.54
,,2021 - 2022,1.54
,,2022 - 2023,1.57
,Kangra,2000 - 2001,1.14
,,2001 - 2002,1.63
,,2002 - 2003,1.4
,,2005 - 2006,1.38
,,2006 - 2007,1.19
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,13.57
,,2010 - 2011,14.46
,,2011 - 2012,8.02
,,2012 - 2013,11.94
,,2013 - 2014,2.68
,,2014 - 2015,25.33
,,2015 - 2016,15.03
,,2016 - 2017,15.04
,,2017 - 2018,15.26
,,2018 - 2019,15.04
,,2019 - 2020,15.04
,,2020 - 2021,12.17
,,2021 - 2022,12.17
,,2022 - 2023,12.17
,Mandi,2000 - 2001,0.1
,,2001 - 2002,4.0
,,2002 - 2003,1.0
,,2005 - 2006,1.0
,,2007 - 2008,
,Shimla,2008 - 2009,
,,2009 - 2010,18.0
,,2010 - 2011,18.0
,,2011 - 2012,7.0
,,2012 - 2013,17.0
,,2013 - 2014,0.94
,,2014 - 2015,28.04
,,2015 - 2016,17.0
,,2016 - 2017,17.0
,,2017 - 2018,21.0
,Sirmaur,2000 - 2001,1.62
,,2001 - 2002,2.81
,,2002 - 2003,0.64
,,2005 - 2006,12.79
,,2006 - 2007,27.93
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,25.64
,,2010 - 2011,29.33
,,2011 - 2012,18.3
,,2012 - 2013,27.2
,,2013 - 2014,2.07
,,2014 - 2015,19.52
,,2015 - 2016,23.45
,,2016 - 2017,31.11
,,2017 - 2018,22.48
,,2018 - 2019,31.11
,,2019 - 2020,28.11
,,2020 - 2021,22.79
,,2021 - 2022,22.79
,,2022 - 2023,22.79
,Solan,2000 - 2001,0.9
,,2001 - 2002,1.16
,,2002 - 2003,0.55
,,2005 - 2006,1.35
,,2006 - 2007,25.8
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,17.41
,,2010 - 2011,19.89
,,2011 - 2012,13.96
,,2012 - 2013,19.85
,,2013 - 2014,3.78
,,2014 - 2015,25.64
,,2015 - 2016,19.6
,,2016 - 2017,19.77
,,2017 - 2018,19.6
,,2018 - 2019,19.75
,,2019 - 2020,18.08
,,2020 - 2021,12.15
,,2021 - 2022,12.15
,,2022 - 2023,12.15
,Una,2000 - 2001,9.23
,,2001 - 2002,14.67
,,2002 - 2003,6.82
,,2005 - 2006,16.49
,,2006 - 2007,16.49
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,19.28
,,2010 - 2011,20.02
,,2011 - 2012,12.62
,,2012 - 2013,20.07
,,2013 - 2014,2.38
,,2014 - 2015,29.51
,,2015 - 2016,20.06
,,2016 - 2017,20.0
,,2017 - 2018,20.06
,,2018 - 2019,20.0
,,2019 - 2020,19.12
,,2020 - 2021,12.17
,,2021 - 2022,12.17
,,2022 - 2023,12.17
Jammu and Kashmir,Jammu,2000 - 2001,6.04
,,2001 - 2002,6.0
,,2002 - 2003,6.0
,,2003 - 2004,5.94
,,2005 - 2006,
,,2006 - 2007,
,,2011 - 2012,
,,2019 - 2020,2.33
,,2020 - 2021,2.33
,,2021 - 2022,2.33
,Kathua,2000 - 2001,1.27
,,2001 - 2002,1.29
,,2002 - 2003,1.3
,,2003 - 2004,1.29
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2016 - 2017,
,Kishtwar,2019 - 2020,1.5
,,2020 - 2021,1.5
,Rajauri,2000 - 2001,1.33
,,2001 - 2002,1.25
,,2002 - 2003,1.5
,,2016 - 2017,
,Samba,2007 - 2008,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2020 - 2021,1.5
,Udhampur,2000 - 2001,1.87
,,2001 - 2002,1.79
,,2002 - 2003,1.8
,,2003 - 2004,1.84
,,2005 - 2006,
,,2006 - 2007,
,,2012 - 2013,
,,2014 - 2015,
Jharkhand,Chatra,2006 - 2007,44.72
,,2007 - 2008,42.01
,,2008 - 2009,22.01
,,2009 - 2010,22.89
,,2011 - 2012,9.23
,,2012 - 2013,25.4
,,2013 - 2014,49.61
,,2014 - 2015,42.03
,East singhbum,2013 - 2014,49.67
,,2014 - 2015,4.0
,Garhwa,2007 - 2008,41.98
,,2008 - 2009,30.25
,,2009 - 2010,74.16
,,2011 - 2012,68.85
,,2012 - 2013,86.43
,,2013 - 2014,83.26
,,2014 - 2015,85.55
,Godda,2006 - 2007,44.76
,,2007 - 2008,42.02
,,2008 - 2009,28.29
,,2009 - 2010,32.04
,,2011 - 2012,47.19
,,2012 - 2013,48.88
,,2013 - 2014,48.94
,,2014 - 2015,42.05
,Gumla,2011 - 2012,3.25
,,2012 - 2013,45.0
,,2013 - 2014,49.6
,,2014 - 2015,42.0
,Hazaribagh,2003 - 2004,2.85
,,2004 - 2005,25.71
,,2005 - 2006,4.12
,,2006 - 2007,44.78
,,2007 - 2008,42.0
,,2008 - 2009,22.01
,,2009 - 2010,22.88
,,2011 - 2012,25.2
,,2012 - 2013,24.5
,,2013 - 2014,30.93
,,2014 - 2015,34.08
,Koderma,2006 - 2007,44.72
,,2007 - 2008,41.99
,,2009 - 2010,22.89
,,2011 - 2012,25.68
,,2012 - 2013,26.18
,,2013 - 2014,14.76
,,2014 - 2015,18.96
,Latehar,2008 - 2009,29.41
,,2014 - 2015,42.0
,Lohardaga,2006 - 2007,44.79
,,2009 - 2010,51.29
,,2011 - 2012,3.16
,,2012 - 2013,45.07
,,2013 - 2014,46.53
,,2014 - 2015,47.93
,Pakur,2007 - 2008,43.24
,,2008 - 2009,28.27
,,2009 - 2010,40.75
,Palamu,2007 - 2008,42.0
,,2008 - 2009,30.52
,,2009 - 2010,67.36
,,2011 - 2012,68.37
,,2012 - 2013,67.52
,,2013 - 2014,72.04
,,2014 - 2015,65.61
,Sahebganj,2011 - 2012,51.37
,,2012 - 2013,48.87
,,2013 - 2014,49.61
,Saraikela kharsawan,2012 - 2013,49.43
,Simdega,2006 - 2007,4.52
Karnataka,Bagalkot,2000 - 2001,113.05
,,2001 - 2002,92.15
,,2002 - 2003,89.3
,,2003 - 2004,73.15
,,2005 - 2006,91.2
,,2006 - 2007,87.4
,,2007 - 2008,88.35
,,2008 - 2009,103.55
,,2009 - 2010,102.6
,,2010 - 2011,98.8
,,2011 - 2012,90.25
,,2012 - 2013,87.4
,,2013 - 2014,103.55
,,2014 - 2015,109.25
,,2015 - 2016,95.95
,,2016 - 2017,72.2
,,2017 - 2018,80.75
,,2018 - 2019,76.95
,,2019 - 2020,70.2
,,2020 - 2021,92.0
,,2021 - 2022,86.0
,,2022 - 2023,74.0
,Bangalore rural,2000 - 2001,102.6
,,2001 - 2002,80.75
,,2002 - 2003,92.15
,,2003 - 2004,67.45
,,2005 - 2006,88.35
,,2006 - 2007,96.9
,,2007 - 2008,84.5
,,2008 - 2009,86.45
,,2010 - 2011,96.88
,,2012 - 2013,83.67
,,2013 - 2014,89.0
,,2015 - 2016,80.67
,,2018 - 2019,85.49
,,2019 - 2020,83.96
,,2020 - 2021,96.0
,,2021 - 2022,95.69
,,2022 - 2023,89.84
,Belgaum,2000 - 2001,102.6
,,2001 - 2002,70.3
,,2002 - 2003,75.05
,,2003 - 2004,46.55
,,2005 - 2006,88.35
,,2006 - 2007,84.55
,,2007 - 2008,90.25
,,2008 - 2009,84.55
,,2009 - 2010,101.65
,,2010 - 2011,95.95
,,2011 - 2012,95.0
,,2012 - 2013,82.65
,,2013 - 2014,90.25
,,2014 - 2015,90.25
,,2015 - 2016,82.65
,,2016 - 2017,65.55
,,2017 - 2018,98.8
,,2018 - 2019,92.15
,,2019 - 2020,93.38
,,2020 - 2021,101.0
,,2021 - 2022,96.0
,,2022 - 2023,96.0
,Bellary,2000 - 2001,109.25
,,2001 - 2002,97.85
,,2002 - 2003,72.2
,,2003 - 2004,66.5
,,2005 - 2006,95.95
,,2006 - 2007,90.25
,,2007 - 2008,84.55
,,2008 - 2009,129.2
,,2009 - 2010,96.9
,,2010 - 2011,95.95
,,2011 - 2012,83.6
,,2012 - 2013,85.5
,,2013 - 2014,80.75
,,2014 - 2015,102.6
