state,district,year,sugarcane_whole_year_yield_tonne_per_hectare
,,2021 - 2022,38.42
,,2022 - 2023,38.43
,Kamle,2018 - 2019,29.69
,,2019 - 2020,29.53
,,2020 - 2021,29.72
,,2021 - 2022,29.72
,,2022 - 2023,29.72
,Kra daadi,2015 - 2016,9.76
,,2016 - 2017,11.52
,,2017 - 2018,12.05
,,2018 - 2019,12.5
,,2019 - 2020,12.58
,,2020 - 2021,12.67
,,2021 - 2022,12.67
,,2022 - 2023,12.68
,Kurung kumey,2002 - 2003,13.2
,,2003 - 2004,12.9
,,2004 - 2005,16.63
,,2012 - 2013,29.56
,,2015 - 2016,9.03
,,2016 - 2017,11.91
,,2017 - 2018,12.74
,,2018 - 2019,13.35
,,2019 - 2020,13.46
,,2020 - 2021,13.46
,,2021 - 2022,13.46
,,2022 - 2023,13.46
,Leparada,2019 - 2020,28.16
,,2020 - 2021,28.16
,,2021 - 2022,28.16
,,2022 - 2023,28.16
,Lohit,2000 - 2001,6.88
,,2001 - 2002,10.0
,,2002 - 2003,10.0
,,2003 - 2004,10.0
,,2004 - 2005,20.0
,,2005 - 2006,11.0
,,2006 - 2007,6.65
,,2007 - 2008,6.5
,,2008 - 2009,6.38
,,2009 - 2010,6.33
,,2010 - 2011,6.52
,,2011 - 2012,6.74
,,2013 - 2014,6.59
,,2014 - 2015,13.37
,,2015 - 2016,21.43
,,2016 - 2017,24.33
,,2017 - 2018,24.33
,,2018 - 2019,25.73
,,2019 - 2020,25.58
,,2020 - 2021,25.58
,,2021 - 2022,25.58
,,2022 - 2023,25.59
,Lower dibang valley,2002 - 2003,20.43
,,2003 - 2004,20.0
,,2004 - 2005,6.67
,,2005 - 2006,20.0
,,2006 - 2007,10.0
,,2007 - 2008,10.0
,,2008 - 2009,10.0
,,2009 - 2010,10.0
,,2010 - 2011,10.0
,,2011 - 2012,10.3
,,2013 - 2014,7.0
,,2014 - 2015,9.74
,,2015 - 2016,17.18
,,2016 - 2017,18.11
,,2017 - 2018,18.91
,,2018 - 2019,19.22
