state,district,year,sugarcane_kharif_yield_tonne_per_hectare
,Jangoan,2017 - 2018,74.4
,,2021 - 2022,100.0
,,2022 - 2023,95.0
,Jayashankar,2016 - 2017,84.0
,Jogulamba,2016 - 2017,40.45
,,2017 - 2018,82.03
,,2018 - 2019,79.99
,,2019 - 2020,76.55
,,2020 - 2021,90.5
,,2021 - 2022,103.02
,,2022 - 2023,95.63
,Kamareddy,2016 - 2017,83.88
,,2017 - 2018,77.98
,,2018 - 2019,86.09
,,2019 - 2020,86.34
,,2020 - 2021,84.74
,,2021 - 2022,93.74
,,2022 - 2023,92.57
,Karimnagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,81.85
,,2014 - 2015,81.0
,,2015 - 2016,78.69
,Khammam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,95.33
,,2014 - 2015,83.15
,,2015 - 2016,81.99
,,2016 - 2017,57.76
,,2017 - 2018,74.99
,,2018 - 2019,81.11
,,2019 - 2020,56.84
,,2020 - 2021,112.6
,,2021 - 2022,103.17
,,2022 - 2023,92.09
,Komaram bheem asifabad,2016 - 2017,81.5
,,2020 - 2021,98.0
,,2021 - 2022,104.0
,,2022 - 2023,95.0
,Mahabubabad,2016 - 2017,57.76
,,2017 - 2018,87.12
,,2018 - 2019,80.16
,,2019 - 2020,88.14
,,2020 - 2021,98.0
,,2021 - 2022,102.55
,,2022 - 2023,95.0
,Mahbubnagar,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,71.61
,,2014 - 2015,82.7
,,2015 - 2016,60.59
,,2016 - 2017,40.45
,,2017 - 2018,81.97
,,2018 - 2019,80.64
,,2019 - 2020,84.03
,,2020 - 2021,91.44
,,2021 - 2022,101.96
,,2022 - 2023,91.03
,Mancherial,2021 - 2022,104.0
,Medak,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,86.7
,,2014 - 2015,90.48
,,2015 - 2016,68.09
,,2016 - 2017,83.94
,,2017 - 2018,78.04
,,2018 - 2019,82.67
,,2019 - 2020,96.7
,,2020 - 2021,63.93
,,2021 - 2022,76.52
,,2022 - 2023,90.04
,Medchal,2019 - 2020,94.0
,Nagarkurnool,2017 - 2018,81.6
,,2018 - 2019,80.46
,,2019 - 2020,94.0
,,2020 - 2021,93.97
,,2021 - 2022,102.38
,,2022 - 2023,87.88
,Nalgonda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,95.6
,,2014 - 2015,83.23
,,2015 - 2016,88.25
,,2016 - 2017,75.75
,,2017 - 2018,74.41
,,2018 - 2019,78.9
,,2019 - 2020,82.85
,,2020 - 2021,83.25
,,2021 - 2022,101.16
,,2022 - 2023,95.0
,Narayanapet,2018 - 2019,80.65
,,2019 - 2020,84.34
,,2020 - 2021,89.96
,,2021 - 2022,102.72
,,2022 - 2023,90.54
,Nirmal,2016 - 2017,81.33
,,2020 - 2021,98.0
,Nizamabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,82.91
,,2014 - 2015,87.23
,,2015 - 2016,60.46
,,2016 - 2017,83.88
,,2017 - 2018,78.0
,,2018 - 2019,80.7
,,2019 - 2020,88.05
,,2020 - 2021,86.37
,,2021 - 2022,102.65
,,2022 - 2023,89.48
,Rajanna,2017 - 2018,74.33
,,2018 - 2019,80.69
,,2019 - 2020,94.0
,,2020 - 2021,89.69
,,2021 - 2022,103.24
,,2022 - 2023,91.38
,Rangareddi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,65.27
,,2014 - 2015,75.4
,,2015 - 2016,55.47
,,2016 - 2017,48.67
,,2017 - 2018,62.0
,,2018 - 2019,83.0
,,2019 - 2020,76.13
,,2020 - 2021,98.0
,,2021 - 2022,104.0
,,2022 - 2023,95.0
,Sangareddy,2016 - 2017,83.94
,,2017 - 2018,69.0
,,2018 - 2019,76.79
,,2019 - 2020,75.82
,,2020 - 2021,75.83
,,2021 - 2022,105.0
,,2022 - 2023,79.93
,Siddipet,2017 - 2018,78.0
,,2018 - 2019,80.78
,,2019 - 2020,94.0
,,2020 - 2021,82.96
,,2021 - 2022,101.96
,,2022 - 2023,90.43
,Suryapet,2016 - 2017,75.76
,,2017 - 2018,82.0
,,2018 - 2019,79.11
,,2019 - 2020,94.01
,,2020 - 2021,89.48
,,2021 - 2022,101.39
,,2022 - 2023,90.61
,Vikarabad,2016 - 2017,48.82
,,2017 - 2018,78.03
,,2018 - 2019,79.47
,,2019 - 2020,77.02
,,2020 - 2021,91.7
,,2021 - 2022,101.73
,,2022 - 2023,81.88
,Wanaparthy,2016 - 2017,40.45
,,2017 - 2018,81.05
,,2018 - 2019,79.27
,,2019 - 2020,78.84
,,2020 - 2021,99.12
,,2021 - 2022,109.75
,,2022 - 2023,98.74
,Warangal,2013 - 2014,88.0
,,2015 - 2016,70.0
,,2017 - 2018,74.5
,,2019 - 2020,94.0
,Yadadri,2016 - 2017,75.75
,,2017 - 2018,74.38
,,2018 - 2019,77.0
,,2019 - 2020,74.0
,,2020 - 2021,98.0
,,2021 - 2022,104.0
,,2022 - 2023,94.42
Tripura,Dhalai,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gomati,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khowai,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,North tripura,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sepahijala,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South tripura,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Unakoti,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West tripura,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Uttar Pradesh,Agra,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,49.67
,,2005 - 2006,50.38
,,2006 - 2007,53.85
,,2007 - 2008,52.53
,,2008 - 2009,51.15
,,2009 - 2010,43.2
,,2010 - 2011,50.9
,,2011 - 2012,47.48
,,2012 - 2013,45.35
,,2013 - 2014,47.99
,,2014 - 2015,42.11
,,2015 - 2016,46.71
,,2016 - 2017,53.6
,,2017 - 2018,56.68
,,2018 - 2019,54.86
,,2019 - 2020,65.8
,Aligarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,50.9
,,2005 - 2006,53.8
,,2006 - 2007,59.7
,,2007 - 2008,55.6
,,2008 - 2009,57.21
,,2009 - 2010,55.79
,,2010 - 2011,59.09
,,2011 - 2012,60.5
,,2012 - 2013,61.57
,,2013 - 2014,60.93
,,2014 - 2015,59.88
,,2015 - 2016,61.64
,,2016 - 2017,67.22
,,2017 - 2018,74.38
,,2018 - 2019,79.43
,,2019 - 2020,80.76
,,2020 - 2021,81.8
,,2021 - 2022,80.2
,,2022 - 2023,82.94
,Allahabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,54.59
,,2005 - 2006,33.97
,,2006 - 2007,45.16
,,2007 - 2008,44.6
,,2008 - 2009,55.28
,,2009 - 2010,43.55
,,2010 - 2011,58.34
,,2011 - 2012,55.88
,,2012 - 2013,61.14
,,2013 - 2014,68.23
,,2014 - 2015,65.78
,,2015 - 2016,67.03
,,2016 - 2017,72.67
,,2017 - 2018,36.73
,,2018 - 2019,38.4
,,2019 - 2020,81.31
,Ambedkar nagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,54.82
,,2005 - 2006,54.69
,,2006 - 2007,41.6
,,2007 - 2008,53.22
,,2008 - 2009,46.91
,,2009 - 2010,52.91
,,2010 - 2011,51.38
,,2011 - 2012,58.4
,,2012 - 2013,62.29
,,2013 - 2014,61.83
,,2014 - 2015,62.45
,,2015 - 2016,61.34
,,2016 - 2017,68.63
,,2017 - 2018,74.26
,,2018 - 2019,76.68
,,2019 - 2020,74.5
,,2020 - 2021,74.8
,,2021 - 2022,94.22
,,2022 - 2023,80.1
,Amethi,2011 - 2012,58.4
,,2012 - 2013,62.29
,,2013 - 2014,61.83
,,2014 - 2015,62.45
,,2015 - 2016,61.34
,,2016 - 2017,68.63
,,2017 - 2018,74.26
,,2018 - 2019,76.68
,,2019 - 2020,75.31
,Amroha,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,62.04
,,2005 - 2006,62.42
,,2006 - 2007,63.23
,,2007 - 2008,54.89
,,2008 - 2009,55.6
,,2009 - 2010,60.73
,,2010 - 2011,63.0
,,2011 - 2012,60.94
,,2012 - 2013,64.25
,,2013 - 2014,69.68
,,2014 - 2015,70.54
,,2015 - 2016,71.03
,,2016 - 2017,74.02
,,2017 - 2018,85.26
,,2018 - 2019,84.25
,,2019 - 2020,82.34
,,2020 - 2021,82.88
,,2021 - 2022,83.82
,,2022 - 2023,83.11
,Auraiya,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,53.46
,,2005 - 2006,46.5
,,2006 - 2007,56.77
,,2007 - 2008,50.64
,,2008 - 2009,44.72
,,2009 - 2010,51.36
,,2010 - 2011,53.45
,,2011 - 2012,57.97
,,2012 - 2013,60.7
,,2013 - 2014,59.59
,,2014 - 2015,57.61
,,2015 - 2016,57.84
,,2016 - 2017,60.37
,,2017 - 2018,64.7
,,2018 - 2019,65.51
,,2019 - 2020,64.56
,Azamgarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,39.12
,,2005 - 2006,38.66
,,2006 - 2007,40.68
,,2007 - 2008,41.41
,,2008 - 2009,42.63
,,2009 - 2010,43.15
,,2010 - 2011,44.51
,,2011 - 2012,48.93
,,2012 - 2013,58.1
,,2013 - 2014,57.53
,,2014 - 2015,61.61
,,2015 - 2016,59.46
,,2016 - 2017,60.68
,,2017 - 2018,60.96
,,2018 - 2019,62.76
,,2019 - 2020,63.0
,,2020 - 2021,61.43
,,2021 - 2022,62.28
,,2022 - 2023,66.1
,Baghpat,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,70.13
,,2005 - 2006,65.6
,,2006 - 2007,72.12
,,2007 - 2008,71.32
,,2008 - 2009,65.12
,,2009 - 2010,71.72
,,2010 - 2011,66.22
,,2011 - 2012,67.72
,,2012 - 2013,73.46
,,2013 - 2014,77.3
,,2014 - 2015,73.56
,,2015 - 2016,77.03
,,2016 - 2017,77.13
,,2017 - 2018,84.89
,,2018 - 2019,86.64
,,2019 - 2020,85.35
,,2020 - 2021,87.25
,,2021 - 2022,87.42
,,2022 - 2023,89.4
,Bahraich,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,51.75
,,2005 - 2006,50.07
,,2006 - 2007,59.12
,,2007 - 2008,54.46
,,2008 - 2009,45.07
,,2009 - 2010,47.17
,,2010 - 2011,52.02
,,2011 - 2012,62.58
,,2012 - 2013,53.94
,,2013 - 2014,55.97
,,2014 - 2015,57.69
,,2015 - 2016,58.86
,,2016 - 2017,65.56
,,2017 - 2018,71.32
,,2018 - 2019,74.03
,,2019 - 2020,76.02
,,2020 - 2021,76.28
,,2021 - 2022,76.51
,,2022 - 2023,78.27
,Ballia,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,36.68
,,2005 - 2006,48.81
,,2006 - 2007,31.7
,,2007 - 2008,34.22
,,2008 - 2009,33.36
,,2009 - 2010,39.39
,,2010 - 2011,38.39
,,2011 - 2012,39.9
,,2012 - 2013,48.03
,,2013 - 2014,52.01
,,2014 - 2015,52.06
,,2015 - 2016,57.84
,,2016 - 2017,65.81
,,2017 - 2018,54.97
,,2018 - 2019,53.53
,,2019 - 2020,53.13
,,2020 - 2021,60.71
,,2021 - 2022,62.21
,,2022 - 2023,65.02
,Balrampur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,51.26
,,2005 - 2006,53.62
,,2006 - 2007,54.72
,,2007 - 2008,49.02
,,2008 - 2009,40.28
,,2009 - 2010,47.1
,,2010 - 2011,49.26
,,2011 - 2012,50.73
,,2012 - 2013,50.44
,,2013 - 2014,48.28
,,2014 - 2015,51.17
,,2015 - 2016,53.77
,,2016 - 2017,54.17
,,2017 - 2018,65.86
,,2018 - 2019,67.4
,,2019 - 2020,67.92
,,2020 - 2021,65.34
,,2021 - 2022,65.45
,,2022 - 2023,65.94
,Banda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,38.69
,,2005 - 2006,31.47
,,2006 - 2007,42.66
,,2007 - 2008,26.42
,,2008 - 2009,40.74
,,2009 - 2010,40.09
,,2010 - 2011,49.27
,,2011 - 2012,48.1
,,2012 - 2013,37.15
,,2013 - 2014,44.67
,,2014 - 2015,40.44
,,2015 - 2016,36.68
,,2016 - 2017,42.95
,,2017 - 2018,38.33
,,2018 - 2019,39.0
,,2019 - 2020,39.77
,Barabanki,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,54.12
,,2005 - 2006,49.44
,,2006 - 2007,56.59
,,2007 - 2008,54.07
,,2008 - 2009,50.72
,,2009 - 2010,53.26
,,2010 - 2011,55.37
,,2011 - 2012,55.91
,,2012 - 2013,60.31
,,2013 - 2014,61.24
,,2014 - 2015,57.94
,,2015 - 2016,60.2
,,2016 - 2017,70.37
,,2017 - 2018,79.48
,,2018 - 2019,81.99
,,2019 - 2020,82.12
,,2020 - 2021,82.43
,,2021 - 2022,80.69
,,2022 - 2023,81.98
,Bareilly,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,62.58
,,2005 - 2006,56.56
,,2006 - 2007,55.1
,,2007 - 2008,56.0
,,2008 - 2009,50.5
,,2009 - 2010,59.72
,,2010 - 2011,56.9
,,2011 - 2012,57.64
,,2012 - 2013,62.65
,,2013 - 2014,61.56
,,2014 - 2015,61.69
,,2015 - 2016,62.58
,,2016 - 2017,69.15
,,2017 - 2018,80.09
,,2018 - 2019,74.74
,,2019 - 2020,76.89
,,2020 - 2021,77.18
,,2021 - 2022,77.99
,,2022 - 2023,80.11
,Basti,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,55.51
,,2005 - 2006,57.81
,,2006 - 2007,53.12
,,2007 - 2008,51.69
,,2008 - 2009,46.34
,,2009 - 2010,50.97
,,2010 - 2011,52.51
,,2011 - 2012,56.08
,,2012 - 2013,60.34
,,2013 - 2014,61.56
,,2014 - 2015,62.72
,,2015 - 2016,61.26
,,2016 - 2017,65.35
,,2017 - 2018,66.07
,,2018 - 2019,69.17
,,2019 - 2020,62.06
,,2020 - 2021,64.49
,,2021 - 2022,64.96
,,2022 - 2023,69.06
,Bijnor,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,64.23
,,2005 - 2006,60.42
,,2006 - 2007,62.19
,,2007 - 2008,57.85
,,2008 - 2009,53.84
,,2009 - 2010,59.23
,,2010 - 2011,55.55
,,2011 - 2012,57.69
,,2012 - 2013,58.47
,,2013 - 2014,59.93
,,2014 - 2015,65.74
,,2015 - 2016,68.66
,,2016 - 2017,78.4
,,2017 - 2018,83.4
,,2018 - 2019,85.95
,,2019 - 2020,86.49
,,2020 - 2021,87.53
,,2021 - 2022,88.55
,,2022 - 2023,90.03
,Budaun,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,63.25
,,2005 - 2006,63.32
,,2006 - 2007,63.31
,,2007 - 2008,58.14
,,2008 - 2009,59.84
,,2009 - 2010,63.09
,,2010 - 2011,55.11
,,2011 - 2012,62.84
,,2012 - 2013,58.02
,,2013 - 2014,61.3
,,2014 - 2015,59.0
,,2015 - 2016,66.36
,,2016 - 2017,69.39
,,2017 - 2018,73.04
,,2018 - 2019,72.43
,,2019 - 2020,69.75
,,2020 - 2021,77.74
,,2021 - 2022,78.25
,,2022 - 2023,82.0
,Bulandshahr,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,60.21
,,2005 - 2006,56.84
,,2006 - 2007,59.49
,,2007 - 2008,60.64
,,2008 - 2009,56.14
,,2009 - 2010,56.18
,,2010 - 2011,57.56
,,2011 - 2012,59.32
,,2012 - 2013,60.96
,,2013 - 2014,65.37
,,2014 - 2015,63.05
,,2015 - 2016,66.17
,,2016 - 2017,77.05
,,2017 - 2018,83.65
,,2018 - 2019,89.63
,,2019 - 2020,87.67
,,2020 - 2021,88.23
,,2021 - 2022,88.47
,,2022 - 2023,90.19
,Chandauli,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,36.25
,,2005 - 2006,44.07
,,2006 - 2007,41.47
,,2007 - 2008,50.4
,,2008 - 2009,46.89
,,2009 - 2010,47.22
,,2010 - 2011,43.91
,,2011 - 2012,49.77
,,2012 - 2013,51.54
,,2013 - 2014,55.08
,,2014 - 2015,57.52
,,2015 - 2016,58.5
,,2016 - 2017,61.45
,,2017 - 2018,64.52
,,2018 - 2019,65.98
,,2019 - 2020,57.01
,Chitrakoot,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,38.68
,,2005 - 2006,31.47
,,2006 - 2007,42.67
,,2007 - 2008,26.42
,,2008 - 2009,40.73
,,2009 - 2010,40.09
,,2010 - 2011,49.27
,,2011 - 2012,48.1
,,2012 - 2013,37.15
,,2013 - 2014,44.67
,,2014 - 2015,40.44
,,2015 - 2016,36.69
,,2016 - 2017,42.95
,,2017 - 2018,38.33
,,2018 - 2019,39.0
,,2019 - 2020,39.77
,Deoria,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,49.27
,,2005 - 2006,54.78
,,2006 - 2007,48.4
,,2007 - 2008,50.21
,,2008 - 2009,44.43
,,2009 - 2010,44.73
,,2010 - 2011,46.49
,,2011 - 2012,50.57
,,2012 - 2013,59.28
,,2013 - 2014,56.58
,,2014 - 2015,63.12
,,2015 - 2016,60.9
,,2016 - 2017,62.6
,,2017 - 2018,64.62
,,2018 - 2019,73.67
,,2019 - 2020,74.88
,,2020 - 2021,65.07
,,2021 - 2022,66.2
,,2022 - 2023,67.54
,Etah,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,49.82
,,2005 - 2006,50.4
,,2006 - 2007,52.17
,,2007 - 2008,52.37
,,2008 - 2009,47.05
,,2009 - 2010,54.83
,,2010 - 2011,55.13
,,2011 - 2012,58.48
,,2012 - 2013,60.4
,,2013 - 2014,61.47
,,2014 - 2015,57.4
,,2015 - 2016,61.29
,,2016 - 2017,65.17
,,2017 - 2018,70.76
,,2018 - 2019,71.94
,,2019 - 2020,72.54
,,2020 - 2021,75.55
,,2021 - 2022,79.39
,Etawah,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,53.46
,,2005 - 2006,46.5
,,2006 - 2007,56.77
,,2007 - 2008,50.64
,,2008 - 2009,44.72
,,2009 - 2010,51.36
,,2010 - 2011,53.45
,,2011 - 2012,57.97
,,2012 - 2013,60.7
,,2013 - 2014,59.59
,,2014 - 2015,57.61
,,2015 - 2016,57.84
,,2016 - 2017,60.37
,,2017 - 2018,64.7
,,2018 - 2019,65.51
,,2019 - 2020,64.56
,Faizabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,54.82
,,2005 - 2006,54.69
,,2006 - 2007,41.6
,,2007 - 2008,54.1
,,2008 - 2009,44.76
,,2009 - 2010,53.96
,,2010 - 2011,53.4
,,2011 - 2012,58.93
,,2012 - 2013,63.91
,,2013 - 2014,65.98
,,2014 - 2015,66.4
,,2015 - 2016,65.91
,,2016 - 2017,70.26
,,2017 - 2018,76.96
,,2018 - 2019,76.33
,,2019 - 2020,76.53
,,2020 - 2021,77.43
,,2021 - 2022,77.51
,,2022 - 2023,77.54
,Farrukhabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,57.16
,,2005 - 2006,54.33
,,2006 - 2007,61.94
,,2007 - 2008,57.16
,,2008 - 2009,49.0
,,2009 - 2010,54.52
,,2010 - 2011,57.2
,,2011 - 2012,62.49
,,2012 - 2013,62.73
,,2013 - 2014,61.72
,,2014 - 2015,60.69
,,2015 - 2016,60.51
,,2016 - 2017,62.22
,,2017 - 2018,65.37
,,2018 - 2019,66.39
,,2019 - 2020,64.82
,,2020 - 2021,65.65
,,2021 - 2022,68.77
,,2022 - 2023,70.34
,Fatehpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,51.76
,,2005 - 2006,32.7
,,2006 - 2007,47.55
,,2007 - 2008,44.6
,,2008 - 2009,55.27
,,2009 - 2010,43.55
,,2010 - 2011,58.34
,,2011 - 2012,55.88
,,2012 - 2013,61.14
,,2013 - 2014,68.23
,,2014 - 2015,65.78
,,2015 - 2016,67.03
,,2016 - 2017,72.67
,,2017 - 2018,36.73
,,2018 - 2019,38.4
,,2019 - 2020,81.31
,Firozabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,49.67
,,2005 - 2006,50.38
,,2006 - 2007,53.84
,,2007 - 2008,52.53
,,2008 - 2009,51.15
,,2009 - 2010,43.21
,,2010 - 2011,50.9
,,2011 - 2012,47.48
,,2012 - 2013,45.35
,,2013 - 2014,47.99
,,2014 - 2015,42.11
,,2015 - 2016,46.71
,,2016 - 2017,53.59
,,2017 - 2018,56.68
,,2018 - 2019,54.86
,,2019 - 2020,65.8
,Gautam buddha nagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,63.19
,,2005 - 2006,62.19
,,2006 - 2007,66.07
,,2007 - 2008,66.65
,,2008 - 2009,60.6
,,2009 - 2010,64.29
,,2010 - 2011,62.47
,,2011 - 2012,63.11
,,2012 - 2013,67.19
,,2013 - 2014,70.68
,,2014 - 2015,73.2
,,2015 - 2016,75.14
,,2016 - 2017,79.93
,,2017 - 2018,89.1
,,2018 - 2019,89.2
,,2019 - 2020,88.08
,Ghaziabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,63.19
,,2005 - 2006,52.55
,,2006 - 2007,59.24
,,2007 - 2008,60.52
,,2008 - 2009,53.59
,,2009 - 2010,58.26
,,2010 - 2011,53.83
,,2011 - 2012,61.29
,,2012 - 2013,64.24
,,2013 - 2014,69.14
,,2014 - 2015,67.36
,,2015 - 2016,75.88
,,2016 - 2017,78.45
,,2017 - 2018,88.82
,,2018 - 2019,85.21
,,2019 - 2020,85.42
,,2020 - 2021,87.88
,,2021 - 2022,88.33
,,2022 - 2023,90.56
,Ghazipur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,40.56
,,2005 - 2006,46.66
,,2006 - 2007,52.8
,,2007 - 2008,50.4
,,2008 - 2009,36.75
,,2009 - 2010,35.66
,,2010 - 2011,29.64
,,2011 - 2012,45.92
,,2012 - 2013,46.12
,,2013 - 2014,48.58
,,2014 - 2015,54.72
,,2015 - 2016,56.92
,,2016 - 2017,57.08
,,2017 - 2018,61.92
,,2018 - 2019,61.43
