state,district,year,urad_kharif_yield_tonne_per_hectare
,,2018 - 2019,0.58
,,2019 - 2020,0.6
,,2020 - 2021,0.67
,,2021 - 2022,0.59
,,2022 - 2023,0.61
,Morbi,2014 - 2015,0.7
,,2015 - 2016,0.6
,,2016 - 2017,0.61
,,2017 - 2018,0.64
,,2018 - 2019,0.58
,,2019 - 2020,0.82
,,2020 - 2021,0.68
,,2021 - 2022,0.59
,,2022 - 2023,0.36
,Narmada,2003 - 2004,0.5
,,2004 - 2005,0.64
,,2005 - 2006,0.78
,,2006 - 2007,0.43
,,2007 - 2008,0.8
,,2008 - 2009,0.57
,,2009 - 2010,0.67
,,2010 - 2011,0.5
,,2011 - 2012,0.8
,,2012 - 2013,0.33
,,2013 - 2014,0.6
,,2014 - 2015,0.83
,,2015 - 2016,1.01
,,2016 - 2017,0.74
,,2017 - 2018,0.64
,,2018 - 2019,0.87
,,2019 - 2020,0.89
,,2020 - 2021,0.67
,,2021 - 2022,0.88
,,2022 - 2023,0.87
,Navsari,2003 - 2004,0.71
,,2004 - 2005,0.58
,,2005 - 2006,0.78
,,2006 - 2007,0.47
,,2007 - 2008,0.64
,,2008 - 2009,0.61
,,2009 - 2010,0.58
,,2010 - 2011,0.62
,,2011 - 2012,0.78
,,2012 - 2013,0.33
,,2013 - 2014,0.6
,,2014 - 2015,0.62
,,2015 - 2016,0.42
,,2016 - 2017,0.56
,,2017 - 2018,0.59
,,2018 - 2019,0.68
,,2019 - 2020,0.62
,,2020 - 2021,0.66
,,2021 - 2022,0.6
,,2022 - 2023,0.61
,Panch mahals,2000 - 2001,0.19
,,2001 - 2002,0.34
,,2002 - 2003,0.36
,,2003 - 2004,0.52
,,2004 - 2005,0.6
,,2005 - 2006,0.67
,,2006 - 2007,0.32
,,2007 - 2008,0.67
,,2008 - 2009,0.79
,,2009 - 2010,0.41
,,2010 - 2011,1.32
,,2011 - 2012,0.52
,,2012 - 2013,0.83
,,2013 - 2014,0.94
,,2014 - 2015,0.89
,,2015 - 2016,0.42
,,2016 - 2017,0.83
,,2017 - 2018,0.97
,,2018 - 2019,0.81
,,2019 - 2020,0.64
,,2020 - 2021,0.61
,,2021 - 2022,0.61
,,2022 - 2023,0.61
,Patan,2003 - 2004,0.45
,,2004 - 2005,0.19
,,2005 - 2006,0.42
,,2006 - 2007,0.18
,,2007 - 2008,0.64
,,2008 - 2009,0.6
,,2009 - 2010,0.29
,,2010 - 2011,0.53
,,2011 - 2012,0.68
,,2012 - 2013,0.48
,,2013 - 2014,0.52
,,2014 - 2015,0.57
,,2015 - 2016,0.47
,,2016 - 2017,0.54
,,2017 - 2018,0.54
,,2018 - 2019,0.27
,,2019 - 2020,0.45
,,2020 - 2021,0.3
,,2021 - 2022,0.32
,,2022 - 2023,0.45
,Porbandar,2003 - 2004,0.71
,,2004 - 2005,0.6
,,2005 - 2006,0.86
,,2006 - 2007,0.5
,,2007 - 2008,0.6
,,2008 - 2009,0.5
,,2009 - 2010,0.5
,,2010 - 2011,0.57
,,2011 - 2012,0.77
,,2012 - 2013,0.5
,,2013 - 2014,0.6
,,2014 - 2015,1.22
,,2015 - 2016,1.17
,,2016 - 2017,0.75
,,2017 - 2018,0.63
,,2018 - 2019,0.59
,,2019 - 2020,0.6
,,2020 - 2021,
,,2021 - 2022,0.59
,,2022 - 2023,
,Rajkot,2000 - 2001,0.6
,,2001 - 2002,0.94
,,2002 - 2003,0.07
,,2003 - 2004,1.05
,,2004 - 2005,0.69
,,2005 - 2006,0.78
,,2006 - 2007,0.44
,,2007 - 2008,0.64
,,2008 - 2009,0.61
,,2009 - 2010,0.57
,,2010 - 2011,0.62
,,2011 - 2012,0.79
,,2012 - 2013,0.36
,,2013 - 2014,0.6
,,2014 - 2015,0.7
,,2015 - 2016,0.6
,,2016 - 2017,0.61
,,2017 - 2018,0.64
,,2018 - 2019,0.58
,,2019 - 2020,0.6
,,2020 - 2021,0.67
,,2021 - 2022,0.59
,,2022 - 2023,0.61
,Sabar kantha,2000 - 2001,0.2
,,2001 - 2002,0.42
,,2002 - 2003,0.33
,,2003 - 2004,0.63
,,2004 - 2005,0.43
,,2005 - 2006,0.56
,,2006 - 2007,0.26
,,2007 - 2008,0.58
,,2008 - 2009,0.56
,,2009 - 2010,0.44
,,2010 - 2011,0.64
,,2011 - 2012,0.63
,,2012 - 2013,0.64
,,2013 - 2014,0.64
,,2014 - 2015,0.64
,,2015 - 2016,0.75
,,2016 - 2017,0.56
,,2017 - 2018,0.8
,,2018 - 2019,1.02
,,2019 - 2020,0.67
,,2020 - 2021,1.03
,,2021 - 2022,0.75
,,2022 - 2023,0.63
,Surat,2000 - 2001,0.26
,,2001 - 2002,0.41
,,2002 - 2003,0.65
,,2003 - 2004,0.66
,,2004 - 2005,0.47
,,2005 - 2006,0.59
,,2006 - 2007,0.51
,,2007 - 2008,0.44
,,2008 - 2009,0.63
,,2009 - 2010,0.63
,,2010 - 2011,0.62
,,2011 - 2012,0.8
,,2012 - 2013,0.38
,,2013 - 2014,0.6
,,2014 - 2015,0.96
,,2015 - 2016,1.14
,,2016 - 2017,0.99
,,2017 - 2018,0.9
,,2018 - 2019,1.08
,,2019 - 2020,1.27
,,2020 - 2021,0.52
,,2021 - 2022,0.99
,,2022 - 2023,1.01
,Surendranagar,2001 - 2002,0.5
,,2002 - 2003,0.33
,,2003 - 2004,0.5
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,0.75
,,2011 - 2012,0.75
,,2013 - 2014,0.6
,,2014 - 2015,0.7
,,2015 - 2016,0.6
,,2016 - 2017,0.61
,,2017 - 2018,0.64
,,2018 - 2019,0.21
,,2019 - 2020,0.25
,,2020 - 2021,0.67
,,2021 - 2022,1.09
,,2022 - 2023,0.56
,Tapi,2008 - 2009,0.54
,,2009 - 2010,0.45
,,2010 - 2011,0.71
,,2011 - 2012,0.86
,,2012 - 2013,0.77
,,2013 - 2014,0.63
,,2014 - 2015,0.84
,,2015 - 2016,0.59
,,2016 - 2017,0.71
,,2017 - 2018,0.78
,,2018 - 2019,0.51
,,2019 - 2020,0.72
,,2020 - 2021,0.86
,,2021 - 2022,0.77
,,2022 - 2023,0.61
,Vadodara,2000 - 2001,0.17
,,2001 - 2002,0.69
,,2002 - 2003,0.65
,,2003 - 2004,0.82
,,2004 - 2005,0.64
,,2005 - 2006,0.96
,,2006 - 2007,0.82
,,2007 - 2008,0.92
,,2008 - 2009,0.81
,,2009 - 2010,0.63
,,2010 - 2011,0.93
,,2011 - 2012,0.82
,,2012 - 2013,0.84
,,2013 - 2014,0.78
,,2014 - 2015,0.7
,,2015 - 2016,0.6
,,2016 - 2017,0.61
,,2017 - 2018,0.62
,,2018 - 2019,0.57
,,2019 - 2020,0.61
,,2020 - 2021,0.66
,,2021 - 2022,0.6
,Valsad,2000 - 2001,0.28
,,2001 - 2002,0.57
,,2002 - 2003,0.57
,,2003 - 2004,0.67
,,2004 - 2005,0.64
,,2005 - 2006,0.59
,,2006 - 2007,0.6
,,2007 - 2008,0.57
,,2008 - 2009,0.6
,,2009 - 2010,0.5
,,2010 - 2011,0.53
,,2011 - 2012,0.62
,,2012 - 2013,0.64
,,2013 - 2014,0.6
,,2014 - 2015,0.61
,,2015 - 2016,0.57
,,2016 - 2017,0.63
,,2017 - 2018,0.63
,,2018 - 2019,0.66
,,2019 - 2020,0.56
,,2020 - 2021,0.55
,,2021 - 2022,0.55
,,2022 - 2023,0.56
Haryana,Ambala,2000 - 2001,0.24
,,2001 - 2002,0.16
,,2002 - 2003,0.15
,,2003 - 2004,0.26
,,2004 - 2005,0.23
,,2005 - 2006,0.29
,,2006 - 2007,0.34
,,2007 - 2008,0.27
,,2008 - 2009,0.33
,,2009 - 2010,0.27
,,2010 - 2011,0.3
,,2011 - 2012,0.26
,,2012 - 2013,0.3
,,2013 - 2014,0.25
,,2014 - 2015,0.29
,,2015 - 2016,0.33
,,2016 - 2017,0.33
,,2017 - 2018,0.3
,,2018 - 2019,0.6
,,2019 - 2020,0.58
,,2020 - 2021,0.61
,Bhiwani,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2020 - 2021,0.6
,Faridabad,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,Fatehabad,2000 - 2001,0.0
,,2006 - 2007,0.0
,Gurgaon,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2018 - 2019,0.67
,Hisar,2000 - 2001,0.93
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.43
,,2006 - 2007,0.5
,,2007 - 2008,0.63
,,2008 - 2009,0.55
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,Jind,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2008 - 2009,0.0
,Kaithal,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.2
,Karnal,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.61
,,2007 - 2008,0.33
,,2008 - 2009,0.0
,,2009 - 2010,0.36
,,2010 - 2011,0.51
,,2011 - 2012,0.7
,,2012 - 2013,0.5
,,2013 - 2014,0.0
,,2014 - 2015,0.0
,,2017 - 2018,0.0
,,2018 - 2019,0.6
,,2019 - 2020,0.5
,Kurukshetra,2000 - 2001,0.0
,,2001 - 2002,0.44
,,2003 - 2004,0.0
,,2004 - 2005,0.68
,,2005 - 2006,0.39
,,2006 - 2007,0.26
,,2007 - 2008,0.58
,,2008 - 2009,1.12
,,2009 - 2010,0.56
,,2010 - 2011,2.25
,,2011 - 2012,0.45
,,2012 - 2013,0.45
,,2013 - 2014,1.0
,,2014 - 2015,0.0
,,2015 - 2016,0.5
,,2016 - 2017,0.5
,,2017 - 2018,0.47
,,2018 - 2019,0.45
,,2019 - 2020,0.45
,,2020 - 2021,0.45
,Mahendragarh,2002 - 2003,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,Mewat,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2011 - 2012,0.0
,,2018 - 2019,1.0
,Palwal,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.36
,Panchkula,2000 - 2001,0.22
,,2001 - 2002,0.43
,,2002 - 2003,0.15
,,2003 - 2004,0.17
,,2004 - 2005,0.52
,,2005 - 2006,0.34
,,2006 - 2007,0.23
,,2007 - 2008,0.41
,,2008 - 2009,0.39
,,2009 - 2010,0.42
,,2010 - 2011,0.45
,,2011 - 2012,0.33
,,2012 - 2013,0.3
,,2013 - 2014,0.5
,,2014 - 2015,0.5
,,2015 - 2016,0.3
,,2016 - 2017,0.5
,,2017 - 2018,0.33
,,2018 - 2019,0.5
,,2020 - 2021,0.5
,Panipat,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2018 - 2019,0.5
,,2019 - 2020,0.6
,Rewari,2001 - 2002,0.0
,,2010 - 2011,0.0
,,2019 - 2020,0.5
,Rohtak,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,Sirsa,2002 - 2003,0.0
,,2011 - 2012,0.0
,Sonipat,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.65
,,2006 - 2007,0.88
,,2007 - 2008,0.78
,,2008 - 2009,0.0
,Yamunanagar,2000 - 2001,0.0
,,2001 - 2002,0.19
,,2002 - 2003,0.3
,,2003 - 2004,0.17
,,2004 - 2005,0.46
,,2005 - 2006,0.42
,,2006 - 2007,0.46
,,2007 - 2008,0.46
,,2008 - 2009,0.45
,,2009 - 2010,0.46
,,2011 - 2012,0.37
,,2012 - 2013,0.47
,,2013 - 2014,0.5
,,2014 - 2015,1.0
,,2015 - 2016,0.33
,,2016 - 2017,5.0
,,2017 - 2018,0.5
,,2018 - 2019,0.6
,,2019 - 2020,0.6
,,2020 - 2021,0.6
Himachal Pradesh,Bilaspur,2000 - 2001,0.31
,,2001 - 2002,0.08
,,2002 - 2003,0.38
,,2005 - 2006,0.56
,,2006 - 2007,0.64
,,2007 - 2008,0.64
,,2008 - 2009,0.58
,,2009 - 2010,0.3
,,2010 - 2011,0.69
,,2011 - 2012,0.58
,,2012 - 2013,0.59
,,2013 - 2014,0.59
,,2014 - 2015,0.72
,,2015 - 2016,0.59
,,2016 - 2017,0.59
,,2017 - 2018,0.64
,,2018 - 2019,0.82
,,2019 - 2020,0.91
,,2020 - 2021,0.7
,,2021 - 2022,0.6
,,2022 - 2023,0.71
,Chamba,2000 - 2001,0.28
,,2001 - 2002,0.42
,,2002 - 2003,0.28
,,2005 - 2006,0.22
,,2006 - 2007,0.44
,,2007 - 2008,0.44
,,2008 - 2009,0.35
,,2009 - 2010,0.14
,,2010 - 2011,0.33
,,2011 - 2012,0.45
,,2012 - 2013,0.29
,,2013 - 2014,0.37
,,2014 - 2015,0.36
,,2015 - 2016,0.42
,,2016 - 2017,0.29
,,2017 - 2018,0.54
,,2018 - 2019,0.78
,,2019 - 2020,0.71
,,2020 - 2021,0.66
,,2021 - 2022,0.66
,,2022 - 2023,0.67
,Hamirpur,2000 - 2001,0.37
,,2001 - 2002,0.47
,,2002 - 2003,0.18
,,2005 - 2006,0.26
,,2006 - 2007,0.39
,,2007 - 2008,0.38
,,2008 - 2009,0.32
,,2009 - 2010,0.15
,,2010 - 2011,0.3
,,2011 - 2012,0.25
,,2012 - 2013,0.26
,,2013 - 2014,0.26
,,2014 - 2015,0.2
,,2015 - 2016,0.26
,,2016 - 2017,0.26
,,2017 - 2018,0.37
,,2018 - 2019,0.74
,,2019 - 2020,0.72
,Kangra,2000 - 2001,0.31
,,2001 - 2002,0.52
,,2002 - 2003,0.29
,,2005 - 2006,0.41
,,2006 - 2007,0.55
,,2007 - 2008,0.48
,,2008 - 2009,0.49
,,2009 - 2010,0.22
,,2010 - 2011,0.51
,,2011 - 2012,0.58
,,2012 - 2013,0.45
,,2013 - 2014,0.58
,,2014 - 2015,0.56
,,2015 - 2016,0.68
,,2016 - 2017,0.45
,,2017 - 2018,0.87
,,2018 - 2019,0.74
,,2019 - 2020,0.78
,,2020 - 2021,0.62
,,2021 - 2022,0.62
,,2022 - 2023,0.62
,Kinnaur,2000 - 2001,1.54
,,2001 - 2002,1.54
,,2002 - 2003,1.33
,,2005 - 2006,0.88
,,2006 - 2007,1.57
,,2008 - 2009,1.5
,,2009 - 2010,1.0
,,2010 - 2011,1.5
,,2011 - 2012,1.5
,,2012 - 2013,1.5
,,2013 - 2014,1.5
,,2014 - 2015,0.33
,,2015 - 2016,1.5
,,2016 - 2017,1.5
,,2017 - 2018,1.5
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,0.75
,Kullu,2000 - 2001,0.14
,,2001 - 2002,0.21
,,2002 - 2003,0.05
,,2005 - 2006,0.4
,,2006 - 2007,0.2
,,2007 - 2008,0.24
,,2008 - 2009,0.22
,,2009 - 2010,0.09
,,2010 - 2011,0.21
,,2011 - 2012,0.18
,,2012 - 2013,0.18
,,2013 - 2014,0.36
,,2014 - 2015,0.22
,,2015 - 2016,0.18
,,2016 - 2017,0.18
,,2017 - 2018,0.57
,,2018 - 2019,0.63
,,2019 - 2020,0.73
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Mandi,2000 - 2001,0.62
,,2001 - 2002,0.66
,,2002 - 2003,0.76
,,2005 - 2006,0.71
,,2006 - 2007,0.98
,,2007 - 2008,0.96
,,2008 - 2009,0.96
,,2009 - 2010,0.47
,,2010 - 2011,1.11
,,2011 - 2012,1.51
,,2012 - 2013,0.96
,,2013 - 2014,0.49
,,2014 - 2015,0.77
,,2015 - 2016,0.58
,,2016 - 2017,0.97
,,2017 - 2018,0.68
,,2018 - 2019,0.62
,,2019 - 2020,0.74
,,2020 - 2021,0.88
,,2021 - 2022,0.88
,,2022 - 2023,0.88
,Shimla,2000 - 2001,0.26
,,2001 - 2002,0.22
,,2002 - 2003,0.06
,,2005 - 2006,0.36
,,2006 - 2007,0.4
,,2007 - 2008,0.4
,,2008 - 2009,0.38
,,2009 - 2010,0.17
,,2010 - 2011,0.41
,,2011 - 2012,0.61
,,2012 - 2013,0.35
,,2013 - 2014,0.48
,,2014 - 2015,0.44
,,2015 - 2016,0.41
,,2016 - 2017,0.36
,,2017 - 2018,0.56
,,2018 - 2019,0.56
,,2019 - 2020,0.69
,,2020 - 2021,0.84
,,2021 - 2022,0.84
,,2022 - 2023,0.84
,Sirmaur,2000 - 2001,0.25
,,2001 - 2002,0.64
,,2002 - 2003,0.05
,,2005 - 2006,0.33
,,2006 - 2007,0.38
,,2007 - 2008,0.41
,,2008 - 2009,0.4
,,2009 - 2010,0.17
,,2010 - 2011,0.41
,,2011 - 2012,0.66
,,2012 - 2013,0.35
,,2013 - 2014,0.45
,,2014 - 2015,0.44
,,2015 - 2016,0.49
,,2016 - 2017,0.35
,,2017 - 2018,0.77
,,2018 - 2019,0.67
,,2019 - 2020,0.75
,,2020 - 2021,0.47
,,2021 - 2022,0.44
,,2022 - 2023,0.45
,Solan,2000 - 2001,0.11
,,2001 - 2002,0.14
,,2002 - 2003,0.06
,,2005 - 2006,0.21
,,2006 - 2007,0.19
,,2007 - 2008,0.21
,,2008 - 2009,0.13
,,2009 - 2010,0.06
,,2010 - 2011,0.02
,,2011 - 2012,0.48
,,2012 - 2013,0.13
,,2013 - 2014,0.13
,,2014 - 2015,0.22
,,2015 - 2016,0.52
,,2016 - 2017,0.13
,,2017 - 2018,0.59
,,2018 - 2019,0.71
,,2019 - 2020,0.73
,,2020 - 2021,0.4
,,2021 - 2022,0.39
,,2022 - 2023,0.39
,Una,2000 - 2001,0.23
,,2001 - 2002,0.34
,,2002 - 2003,0.15
,,2005 - 2006,0.37
,,2006 - 2007,0.39
,,2007 - 2008,0.39
,,2008 - 2009,0.36
,,2009 - 2010,0.36
,,2010 - 2011,0.84
,,2011 - 2012,0.8
,,2012 - 2013,0.74
,,2013 - 2014,0.73
,,2014 - 2015,0.73
,,2015 - 2016,0.74
,,2016 - 2017,0.73
,,2017 - 2018,0.93
,,2018 - 2019,0.79
,,2019 - 2020,0.79
,,2020 - 2021,0.98
,,2021 - 2022,0.98
,,2022 - 2023,0.98
Jammu and Kashmir,Anantnag,2001 - 2002,0.46
,,2002 - 2003,0.46
,,2003 - 2004,0.46
,,2004 - 2005,0.46
,,2005 - 2006,0.49
,,2006 - 2007,0.49
,,2007 - 2008,0.34
,,2009 - 2010,0.34
,,2010 - 2011,0.34
,,2011 - 2012,0.34
,,2012 - 2013,0.34
,,2014 - 2015,0.03
,,2015 - 2016,0.34
,,2016 - 2017,0.34
,,2017 - 2018,0.34
,,2018 - 2019,0.34
,,2019 - 2020,0.34
,,2020 - 2021,0.34
,Badgam,2001 - 2002,0.55
,,2005 - 2006,0.55
,,2007 - 2008,0.69
,,2009 - 2010,0.7
,,2010 - 2011,0.7
,,2012 - 2013,0.35
,Bandipora,2007 - 2008,0.68
,,2010 - 2011,0.68
,,2011 - 2012,0.68
,Baramulla,2007 - 2008,0.68
,,2009 - 2010,0.68
,,2010 - 2011,0.68
,,2011 - 2012,0.68
,,2012 - 2013,0.68
,,2017 - 2018,0.34
,,2018 - 2019,0.34
,,2019 - 2020,0.34
,,2020 - 2021,0.34
,Doda,2001 - 2002,0.42
,,2002 - 2003,0.42
,,2003 - 2004,0.42
,,2004 - 2005,0.43
,,2005 - 2006,0.42
,,2006 - 2007,0.42
,,2007 - 2008,0.42
,,2008 - 2009,
,,2009 - 2010,0.42
,,2010 - 2011,0.42
,,2011 - 2012,0.42
,,2012 - 2013,0.42
,,2014 - 2015,0.13
,,2015 - 2016,0.42
,,2016 - 2017,0.42
,,2017 - 2018,0.42
,,2018 - 2019,0.42
,,2019 - 2020,0.42
,,2020 - 2021,0.42
,Jammu,2001 - 2002,0.44
,,2002 - 2003,0.44
,,2003 - 2004,0.44
,,2004 - 2005,0.46
,,2005 - 2006,0.44
,,2006 - 2007,0.44
,,2007 - 2008,0.44
,,2009 - 2010,0.44
,,2010 - 2011,0.44
,,2011 - 2012,0.44
,,2012 - 2013,0.44
,,2014 - 2015,0.44
,,2016 - 2017,0.34
,,2017 - 2018,0.34
,,2018 - 2019,0.34
,,2019 - 2020,0.34
,,2020 - 2021,0.34
,,2021 - 2022,
,,2022 - 2023,
,Kathua,2001 - 2002,0.3
,,2002 - 2003,0.3
,,2003 - 2004,0.3
,,2004 - 2005,0.3
,,2005 - 2006,0.3
,,2006 - 2007,0.3
,,2007 - 2008,0.3
,,2009 - 2010,0.3
,,2010 - 2011,0.3
,,2011 - 2012,0.3
,,2012 - 2013,0.3
,,2014 - 2015,0.3
,,2015 - 2016,0.3
,,2016 - 2017,0.3
,,2017 - 2018,0.3
,,2018 - 2019,0.3
,,2019 - 2020,0.3
,,2020 - 2021,0.3
,Kishtwar,2007 - 2008,0.42
,,2009 - 2010,0.42
,,2010 - 2011,0.42
,,2011 - 2012,0.42
,,2012 - 2013,0.42
,,2014 - 2015,0.43
,,2015 - 2016,0.43
,,2016 - 2017,0.43
,,2017 - 2018,0.43
,,2018 - 2019,0.42
,,2019 - 2020,0.42
,,2020 - 2021,0.42
,Kulgam,2014 - 2015,0.03
,Poonch,2001 - 2002,0.53
,,2002 - 2003,0.53
,,2003 - 2004,0.5
,,2004 - 2005,0.6
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2012 - 2013,0.51
,,2016 - 2017,0.33
,,2017 - 2018,0.33
,,2018 - 2019,0.33
,,2019 - 2020,0.33
,,2020 - 2021,0.33
,Pulwama,2001 - 2002,0.54
,,2002 - 2003,0.53
,,2003 - 2004,0.55
,,2004 - 2005,0.53
,,2006 - 2007,0.53
,,2007 - 2008,0.53
,,2009 - 2010,0.54
,,2010 - 2011,0.54
,,2011 - 2012,0.54
,,2012 - 2013,0.54
,,2015 - 2016,0.55
,,2018 - 2019,0.34
,Rajauri,2001 - 2002,0.49
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.45
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.4
,Reasi,2007 - 2008,0.51
,,2009 - 2010,0.51
,,2010 - 2011,0.51
,,2011 - 2012,0.51
,,2012 - 2013,0.51
,,2014 - 2015,0.51
,,2015 - 2016,0.42
,,2016 - 2017,0.42
,,2017 - 2018,0.42
,,2018 - 2019,0.42
,,2019 - 2020,0.42
,,2020 - 2021,0.42
,Samba,2007 - 2008,0.44
,,2009 - 2010,0.04
,,2010 - 2011,0.04
,,2011 - 2012,0.04
,,2012 - 2013,0.3
,,2014 - 2015,0.3
,,2015 - 2016,0.3
,,2016 - 2017,0.3
,,2017 - 2018,0.3
,,2018 - 2019,0.3
,,2019 - 2020,0.3
,,2020 - 2021,0.3
,Srinagar,2001 - 2002,0.68
,,2002 - 2003,0.68
,,2003 - 2004,0.68
,,2004 - 2005,0.68
,,2005 - 2006,0.68
,Udhampur,2001 - 2002,0.51
,,2002 - 2003,0.51
,,2003 - 2004,0.51
,,2004 - 2005,0.45
,,2005 - 2006,0.51
,,2006 - 2007,0.51
,,2007 - 2008,0.51
,,2009 - 2010,0.51
,,2010 - 2011,0.51
,,2011 - 2012,0.51
,,2012 - 2013,0.51
,,2014 - 2015,0.37
,,2015 - 2016,0.37
,,2016 - 2017,0.37
,,2017 - 2018,0.37
,,2018 - 2019,0.37
,,2019 - 2020,0.37
,,2020 - 2021,0.37
Jharkhand,Bokaro,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.47
,,2018 - 2019,0.83
,,2019 - 2020,1.6
,,2021 - 2022,1.75
,,2022 - 2023,0.82
,Chatra,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.07
,,2018 - 2019,1.1
,,2019 - 2020,1.12
,,2020 - 2021,1.13
,,2021 - 2022,1.13
,,2022 - 2023,1.13
,Deoghar,2017 - 2018,0.65
,,2018 - 2019,0.65
,,2019 - 2020,0.83
,,2020 - 2021,0.83
,,2021 - 2022,0.85
,,2022 - 2023,0.85
,Dhanbad,2017 - 2018,0.7
,,2018 - 2019,0.7
,,2019 - 2020,0.7
,,2020 - 2021,0.7
,,2021 - 2022,0.7
,,2022 - 2023,0.7
,Dumka,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.62
,,2018 - 2019,0.72
,,2019 - 2020,0.95
,,2020 - 2021,0.8
,,2021 - 2022,0.94
,,2022 - 2023,0.81
,East singhbum,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.9
,,2018 - 2019,0.6
,,2019 - 2020,0.6
,,2020 - 2021,0.67
,,2021 - 2022,0.68
,,2022 - 2023,0.69
,Garhwa,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.53
,,2018 - 2019,0.28
,,2019 - 2020,0.8
,,2020 - 2021,0.82
,,2021 - 2022,0.82
,,2022 - 2023,0.72
,Giridih,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.01
,,2018 - 2019,1.01
,,2019 - 2020,1.01
,,2020 - 2021,0.92
,,2021 - 2022,0.99
,,2022 - 2023,1.07
,Godda,2017 - 2018,0.76
,,2018 - 2019,0.76
,,2019 - 2020,0.78
,,2020 - 2021,0.76
,,2021 - 2022,0.62
,,2022 - 2023,0.6
,Gumla,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.01
,,2018 - 2019,1.04
,,2019 - 2020,1.02
,,2020 - 2021,1.02
,,2021 - 2022,1.2
,,2022 - 2023,1.42
,Hazaribagh,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.76
,,2018 - 2019,0.76
,,2019 - 2020,0.75
,,2020 - 2021,0.76
,,2021 - 2022,0.65
,,2022 - 2023,0.65
,Jamtara,2017 - 2018,1.23
,,2018 - 2019,0.9
,,2019 - 2020,0.73
,,2020 - 2021,0.95
,,2021 - 2022,0.95
,,2022 - 2023,1.0
,Khunti,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.05
,,2018 - 2019,0.96
