state,district,year,jowar_rabi_yield_tonne_per_hectare
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,1.0
,,2016 - 2017,
,,2018 - 2019,1.2
,Gandhinagar,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2021 - 2022,
,Gir somnath,2021 - 2022,1.18
,,2022 - 2023,2.4
,Jamnagar,2000 - 2001,0.67
,,2001 - 2002,0.81
,,2002 - 2003,0.7
,,2003 - 2004,0.79
,,2004 - 2005,0.75
,,2005 - 2006,0.92
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,0.67
,,2009 - 2010,1.0
,,2014 - 2015,1.44
,,2017 - 2018,
,,2018 - 2019,
,Junagadh,2000 - 2001,0.86
,,2001 - 2002,0.71
,,2002 - 2003,0.31
,,2003 - 2004,1.11
,,2004 - 2005,1.05
,,2005 - 2006,1.18
,,2006 - 2007,1.89
,,2007 - 2008,1.47
,,2008 - 2009,1.53
,,2009 - 2010,1.8
,,2010 - 2011,2.0
,,2011 - 2012,1.5
,,2012 - 2013,1.5
,,2013 - 2014,1.4
,,2014 - 2015,1.64
,,2015 - 2016,1.63
,,2016 - 2017,1.51
,,2017 - 2018,1.32
,,2018 - 2019,1.44
,,2019 - 2020,1.16
,,2020 - 2021,1.24
,,2021 - 2022,1.18
,,2022 - 2023,1.58
,Kachchh,2005 - 2006,
,,2008 - 2009,1.0
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Kheda,2000 - 2001,0.5
,,2001 - 2002,0.86
,,2002 - 2003,0.63
,,2003 - 2004,1.0
,,2004 - 2005,0.67
,,2005 - 2006,1.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,0.67
,,2009 - 2010,
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.1
,,2013 - 2014,1.12
,,2014 - 2015,1.42
,,2015 - 2016,1.2
,,2016 - 2017,1.55
,,2019 - 2020,1.16
,,2021 - 2022,1.17
,,2022 - 2023,
,Mahesana,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,1.0
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2017 - 2018,
,,2022 - 2023,
,Mahisagar,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.32
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Morbi,2014 - 2015,1.43
,,2017 - 2018,1.32
,,2018 - 2019,1.32
,,2020 - 2021,1.24
,,2021 - 2022,
,Narmada,2003 - 2004,0.78
,,2004 - 2005,0.78
,,2005 - 2006,0.82
,,2006 - 2007,0.83
,,2007 - 2008,1.08
,,2008 - 2009,0.88
,,2009 - 2010,1.0
,,2010 - 2011,0.92
,,2011 - 2012,0.96
,,2012 - 2013,1.07
,,2013 - 2014,1.22
,,2014 - 2015,0.73
,,2015 - 2016,1.0
,,2016 - 2017,1.24
,,2017 - 2018,0.45
,,2018 - 2019,0.84
,,2019 - 2020,1.16
,,2020 - 2021,1.24
,,2021 - 2022,1.18
,,2022 - 2023,1.58
,Navsari,2003 - 2004,0.6
,,2004 - 2005,0.75
,,2005 - 2006,1.0
,,2006 - 2007,0.8
,,2007 - 2008,0.83
,,2008 - 2009,1.0
,,2009 - 2010,1.1
,,2010 - 2011,1.17
,,2011 - 2012,1.1
,,2012 - 2013,1.08
,,2013 - 2014,1.13
,,2014 - 2015,1.42
,,2015 - 2016,1.01
,,2016 - 2017,2.76
,,2017 - 2018,1.31
,,2018 - 2019,1.03
,,2019 - 2020,1.17
,,2020 - 2021,1.23
,,2021 - 2022,1.17
,,2022 - 2023,1.58
,Panch mahals,2000 - 2001,0.38
,,2001 - 2002,0.55
,,2002 - 2003,0.38
,,2003 - 2004,0.33
,,2004 - 2005,0.71
,,2005 - 2006,0.5
,,2006 - 2007,0.8
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.17
,,2011 - 2012,1.14
,,2012 - 2013,1.0
,,2013 - 2014,1.13
,,2014 - 2015,
,,2015 - 2016,1.2
,,2017 - 2018,
,,2018 - 2019,1.18
,,2019 - 2020,
,,2020 - 2021,
,Patan,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.09
,,2013 - 2014,1.13
,,2014 - 2015,1.43
,,2015 - 2016,1.2
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2021 - 2022,
,Porbandar,2003 - 2004,0.45
,,2004 - 2005,0.9
,,2005 - 2006,1.23
,,2006 - 2007,0.9
,,2007 - 2008,1.05
,,2008 - 2009,0.63
,,2009 - 2010,0.81
,,2010 - 2011,1.27
,,2011 - 2012,0.86
,,2012 - 2013,0.89
,,2013 - 2014,2.17
,,2014 - 2015,1.93
,,2015 - 2016,1.73
,,2016 - 2017,1.76
,,2017 - 2018,1.59
,,2018 - 2019,1.16
,,2019 - 2020,1.25
,,2020 - 2021,1.34
,,2021 - 2022,1.32
,,2022 - 2023,1.81
,Rajkot,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.98
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,1.31
,,2018 - 2019,1.32
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Sabar kantha,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2014 - 2015,1.42
,,2015 - 2016,1.19
,,2017 - 2018,
,,2018 - 2019,
,Surat,2000 - 2001,0.92
,,2001 - 2002,1.65
,,2002 - 2003,0.8
,,2003 - 2004,0.93
,,2004 - 2005,0.95
,,2005 - 2006,1.22
,,2006 - 2007,1.09
,,2007 - 2008,1.35
,,2008 - 2009,1.36
,,2009 - 2010,1.16
,,2010 - 2011,1.13
,,2011 - 2012,1.06
,,2012 - 2013,1.07
,,2013 - 2014,1.13
,,2014 - 2015,1.1
,,2015 - 2016,1.04
,,2016 - 2017,0.9
,,2017 - 2018,0.89
,,2018 - 2019,1.83
,,2019 - 2020,0.82
,,2020 - 2021,0.78
,,2021 - 2022,0.91
,,2022 - 2023,1.24
,Surendranagar,2002 - 2003,0.67
,,2003 - 2004,0.5
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,0.86
,,2009 - 2010,
,,2010 - 2011,1.13
,,2011 - 2012,1.08
,,2012 - 2013,1.0
,,2013 - 2014,1.13
,,2015 - 2016,1.19
,,2017 - 2018,
,Tapi,2008 - 2009,0.93
,,2009 - 2010,1.2
,,2010 - 2011,1.08
,,2011 - 2012,1.29
,,2012 - 2013,1.17
,,2013 - 2014,1.01
,,2014 - 2015,1.1
,,2015 - 2016,0.98
,,2016 - 2017,1.14
,,2017 - 2018,0.72
,,2018 - 2019,1.8
,,2019 - 2020,0.86
,,2020 - 2021,1.3
,,2021 - 2022,1.07
,,2022 - 2023,1.22
,Vadodara,2000 - 2001,0.27
,,2001 - 2002,0.7
,,2002 - 2003,0.9
,,2003 - 2004,0.89
,,2004 - 2005,0.88
,,2005 - 2006,1.07
,,2006 - 2007,0.86
,,2007 - 2008,1.02
,,2008 - 2009,1.03
,,2009 - 2010,1.09
,,2010 - 2011,1.0
,,2011 - 2012,1.49
,,2012 - 2013,1.14
,,2013 - 2014,0.97
,,2014 - 2015,0.98
,,2015 - 2016,0.98
,,2017 - 2018,1.32
,,2018 - 2019,0.98
,,2019 - 2020,1.17
,,2020 - 2021,1.24
,,2021 - 2022,1.18
,,2022 - 2023,1.58
,Valsad,2000 - 2001,0.5
,,2001 - 2002,0.67
,,2002 - 2003,0.5
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,1.0
,,2009 - 2010,
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,
,,2013 - 2014,1.14
,,2014 - 2015,1.43
,,2015 - 2016,1.19
,,2016 - 2017,1.52
,,2017 - 2018,1.32
,,2018 - 2019,0.8
,,2019 - 2020,1.17
,,2020 - 2021,1.23
Haryana,Ambala,2019 - 2020,
,,2021 - 2022,
,Bhiwani,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Charki dadri,2017 - 2018,
,,2018 - 2019,
,,2021 - 2022,
,,2022 - 2023,
,Faridabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Fatehabad,2020 - 2021,
,,2022 - 2023,
,Gurgaon,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Hisar,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2020 - 2021,
,,2022 - 2023,
,Jhajjar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jind,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2016 - 2017,
,Kaithal,2000 - 2001,
,,2001 - 2002,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Karnal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Kurukshetra,2012 - 2013,
,,2015 - 2016,
,,2016 - 2017,
,Mahendragarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mewat,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Palwal,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Panchkula,2006 - 2007,
,,2008 - 2009,
,,2010 - 2011,
,,2021 - 2022,
,Panipat,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2009 - 2010,
,,2010 - 2011,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rewari,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rohtak,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Sirsa,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2011 - 2012,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sonipat,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Yamunanagar,2006 - 2007,
,,2007 - 2008,
Himachal Pradesh,Bilaspur,2000 - 2001,
,,2020 - 2021,
,,2021 - 2022,
,Chamba,2000 - 2001,
,Kangra,2000 - 2001,
,Solan,2020 - 2021,
,,2021 - 2022,
Jammu and Kashmir,Jammu,2001 - 2002,
,,2004 - 2005,
,,2005 - 2006,
,Kathua,2002 - 2003,
,,2005 - 2006,
,Rajauri,2001 - 2002,
,,2005 - 2006,
,Samba,2010 - 2011,
,,2017 - 2018,
Jharkhand,Bokaro,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chatra,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Deoghar,2021 - 2022,
,,2022 - 2023,
,Dhanbad,2017 - 2018,
,,2018 - 2019,
,,2021 - 2022,
,Dumka,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,East singhbum,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Garhwa,2017 - 2018,
,,2021 - 2022,
,Giridih,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Godda,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gumla,2017 - 2018,
,Hazaribagh,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jamtara,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Khunti,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Koderma,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Latehar,2017 - 2018,
,,2018 - 2019,
,,2021 - 2022,
,Lohardaga,2017 - 2018,
,,2018 - 2019,
,,2021 - 2022,
,Pakur,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Palamu,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ramgarh,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ranchi,2017 - 2018,
,Sahebganj,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Saraikela kharsawan,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Simdega,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,West singhbhum,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Karnataka,Bagalkot,2000 - 2001,0.71
,,2001 - 2002,0.73
,,2002 - 2003,0.63
,,2003 - 2004,0.08
,,2004 - 2005,0.69
,,2005 - 2006,1.09
,,2006 - 2007,0.51
,,2007 - 2008,1.44
,,2008 - 2009,1.21
,,2009 - 2010,1.06
,,2010 - 2011,1.14
,,2011 - 2012,0.92
,,2012 - 2013,1.28
,,2013 - 2014,0.97
,,2014 - 2015,0.98
,,2015 - 2016,0.85
,,2016 - 2017,0.48
,,2017 - 2018,1.16
,,2018 - 2019,0.69
,,2019 - 2020,1.33
,,2020 - 2021,1.4
,,2021 - 2022,1.27
,,2022 - 2023,1.18
,Bangalore rural,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,1.09
,,2020 - 2021,1.08
,,2021 - 2022,1.13
,,2022 - 2023,1.2
,Belgaum,2000 - 2001,0.69
,,2001 - 2002,0.52
,,2002 - 2003,0.43
,,2003 - 2004,0.12
,,2004 - 2005,0.66
,,2005 - 2006,0.68
,,2006 - 2007,0.74
,,2007 - 2008,0.82
,,2008 - 2009,0.93
,,2009 - 2010,1.08
,,2010 - 2011,0.98
,,2011 - 2012,0.84
,,2012 - 2013,0.78
,,2013 - 2014,0.92
,,2014 - 2015,1.1
,,2015 - 2016,0.57
,,2016 - 2017,0.75
,,2017 - 2018,1.16
,,2018 - 2019,1.18
,,2019 - 2020,1.03
,,2020 - 2021,1.21
,,2021 - 2022,1.25
,,2022 - 2023,1.22
,Bellary,2000 - 2001,0.85
,,2001 - 2002,1.2
,,2002 - 2003,0.5
,,2003 - 2004,1.07
,,2004 - 2005,0.65
,,2005 - 2006,1.05
,,2006 - 2007,1.0
,,2007 - 2008,1.66
,,2008 - 2009,1.27
,,2009 - 2010,1.11
,,2010 - 2011,1.4
,,2011 - 2012,1.96
,,2012 - 2013,1.21
,,2013 - 2014,1.21
,,2014 - 2015,1.47
,,2015 - 2016,1.71
,,2016 - 2017,0.59
,,2017 - 2018,2.08
,,2018 - 2019,2.02
,,2019 - 2020,2.24
,,2020 - 2021,2.38
,,2021 - 2022,2.54
,,2022 - 2023,2.7
,Bengaluru urban,2003 - 2004,
,,2012 - 2013,1.0
,,2013 - 2014,1.1
,,2014 - 2015,1.1
,,2018 - 2019,
,,2019 - 2020,1.1
,,2020 - 2021,1.09
,,2021 - 2022,1.14
,,2022 - 2023,1.23
,Bidar,2000 - 2001,0.42
,,2001 - 2002,0.49
,,2002 - 2003,0.43
,,2003 - 2004,0.29
,,2004 - 2005,0.38
,,2005 - 2006,0.34
,,2006 - 2007,0.49
,,2007 - 2008,0.48
,,2008 - 2009,0.55
,,2009 - 2010,0.52
,,2010 - 2011,0.37
,,2011 - 2012,0.71
,,2012 - 2013,0.82
,,2013 - 2014,0.81
,,2014 - 2015,0.69
,,2015 - 2016,0.32
,,2016 - 2017,0.94
,,2017 - 2018,0.98
,,2018 - 2019,0.65
,,2019 - 2020,0.83
,,2020 - 2021,0.95
,,2021 - 2022,0.92
,,2022 - 2023,1.06
,Bijapur,2000 - 2001,0.66
,,2001 - 2002,0.74
,,2002 - 2003,0.67
,,2003 - 2004,0.46
,,2004 - 2005,0.6
,,2005 - 2006,0.85
,,2006 - 2007,0.87
,,2007 - 2008,1.14
,,2008 - 2009,1.03
,,2009 - 2010,0.81
,,2010 - 2011,1.0
,,2011 - 2012,0.6
,,2012 - 2013,1.1
,,2013 - 2014,1.2
,,2014 - 2015,0.93
,,2015 - 2016,0.55
,,2016 - 2017,0.96
,,2017 - 2018,0.96
,,2018 - 2019,0.65
,,2019 - 2020,0.69
,,2020 - 2021,0.73
,,2021 - 2022,0.76
,,2022 - 2023,0.95
,Chamarajanagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.7
,,2003 - 2004,0.62
,,2004 - 2005,
,,2005 - 2006,0.61
,,2006 - 2007,
,,2007 - 2008,2.04
,,2008 - 2009,1.24
,,2009 - 2010,1.59
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.13
,,2018 - 2019,
,,2019 - 2020,1.1
,,2020 - 2021,1.07
,,2021 - 2022,1.13
,,2022 - 2023,1.21
,Chikballapur,2010 - 2011,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,1.1
,,2020 - 2021,1.08
,,2021 - 2022,1.13
,,2022 - 2023,1.21
,Chikmagalur,2000 - 2001,0.92
,,2001 - 2002,0.87
,,2002 - 2003,0.65
,,2003 - 2004,0.4
,,2004 - 2005,0.63
,,2005 - 2006,0.79
,,2006 - 2007,0.72
,,2007 - 2008,1.19
,,2008 - 2009,0.75
,,2009 - 2010,0.71
,,2010 - 2011,0.91
,,2011 - 2012,0.88
,,2012 - 2013,0.56
,,2013 - 2014,0.73
,,2014 - 2015,0.85
,,2015 - 2016,0.96
,,2016 - 2017,0.58
,,2017 - 2018,0.88
,,2018 - 2019,0.86
,,2019 - 2020,0.82
,,2020 - 2021,1.09
,,2021 - 2022,1.08
,,2022 - 2023,1.13
,Chitradurga,2000 - 2001,0.65
,,2001 - 2002,0.4
,,2002 - 2003,0.45
,,2003 - 2004,0.24
,,2004 - 2005,0.14
,,2005 - 2006,0.6
,,2006 - 2007,0.33
,,2007 - 2008,0.83
,,2008 - 2009,0.65
,,2009 - 2010,0.64
,,2010 - 2011,0.88
,,2011 - 2012,0.55
,,2012 - 2013,0.7
,,2013 - 2014,0.51
,,2014 - 2015,0.74
,,2015 - 2016,0.7
,,2016 - 2017,0.1
,,2017 - 2018,0.6
,,2018 - 2019,0.42
,,2019 - 2020,0.61
,,2020 - 2021,0.54
,,2021 - 2022,0.58
,,2022 - 2023,0.73
,Dakshin kannad,2019 - 2020,1.0
,Davangere,2000 - 2001,0.59
,,2001 - 2002,0.51
,,2002 - 2003,0.53
,,2003 - 2004,0.82
,,2004 - 2005,0.61
,,2005 - 2006,0.8
,,2006 - 2007,0.67
,,2007 - 2008,1.22
,,2008 - 2009,1.36
,,2009 - 2010,1.18
,,2010 - 2011,1.13
,,2011 - 2012,1.62
,,2012 - 2013,1.09
,,2013 - 2014,1.13
,,2014 - 2015,1.35
,,2015 - 2016,1.23
,,2016 - 2017,1.39
,,2017 - 2018,1.15
,,2018 - 2019,1.22
,,2019 - 2020,1.35
,,2020 - 2021,1.41
,,2021 - 2022,1.26
,,2022 - 2023,1.67
,Dharwad,2000 - 2001,0.67
,,2001 - 2002,0.33
,,2002 - 2003,0.33
,,2003 - 2004,0.04
,,2004 - 2005,0.74
,,2005 - 2006,0.67
,,2006 - 2007,0.65
,,2007 - 2008,0.75
,,2008 - 2009,0.79
,,2009 - 2010,0.63
,,2010 - 2011,0.64
,,2011 - 2012,0.57
,,2012 - 2013,0.43
,,2013 - 2014,0.75
,,2014 - 2015,1.01
,,2015 - 2016,0.37
,,2016 - 2017,0.27
,,2017 - 2018,0.73
,,2018 - 2019,0.6
,,2019 - 2020,0.87
,,2020 - 2021,0.8
,,2021 - 2022,0.98
,,2022 - 2023,1.06
,Gadag,2000 - 2001,0.48
,,2001 - 2002,0.43
,,2002 - 2003,0.28
,,2003 - 2004,0.08
,,2004 - 2005,0.59
,,2005 - 2006,0.61
,,2006 - 2007,0.34
,,2007 - 2008,0.93
,,2008 - 2009,0.96
,,2009 - 2010,0.67
,,2010 - 2011,0.69
,,2011 - 2012,0.48
,,2012 - 2013,0.62
,,2013 - 2014,0.76
,,2014 - 2015,0.95
,,2015 - 2016,0.48
,,2016 - 2017,0.26
,,2017 - 2018,0.67
,,2018 - 2019,0.37
,,2019 - 2020,0.81
,,2020 - 2021,0.73
,,2021 - 2022,0.87
,,2022 - 2023,0.85
,Gulbarga,2000 - 2001,0.71
,,2001 - 2002,0.76
,,2002 - 2003,0.78
,,2003 - 2004,0.58
,,2004 - 2005,0.72
,,2005 - 2006,0.91
,,2006 - 2007,0.79
,,2007 - 2008,1.0
,,2008 - 2009,1.01
,,2009 - 2010,0.99
,,2010 - 2011,0.83
,,2011 - 2012,0.93
,,2012 - 2013,1.1
,,2013 - 2014,1.27
,,2014 - 2015,1.14
,,2015 - 2016,0.6
,,2016 - 2017,1.52
,,2017 - 2018,1.31
,,2018 - 2019,0.93
,,2019 - 2020,1.35
,,2020 - 2021,1.26
,,2021 - 2022,1.19
,,2022 - 2023,1.3
,Hassan,2000 - 2001,0.93
,,2001 - 2002,0.62
,,2002 - 2003,0.65
,,2003 - 2004,0.39
,,2004 - 2005,0.59
,,2005 - 2006,0.55
,,2006 - 2007,0.47
,,2007 - 2008,0.62
,,2008 - 2009,0.96
,,2009 - 2010,0.86
,,2010 - 2011,1.19
,,2011 - 2012,0.68
,,2012 - 2013,0.48
,,2013 - 2014,0.67
,,2014 - 2015,
,,2015 - 2016,0.68
,,2016 - 2017,0.86
,,2017 - 2018,0.98
,,2018 - 2019,0.38
,,2019 - 2020,0.93
,,2020 - 2021,0.46
,,2021 - 2022,0.53
,,2022 - 2023,0.4
,Haveri,2000 - 2001,0.61
,,2001 - 2002,0.23
,,2002 - 2003,0.15
,,2003 - 2004,0.18
,,2004 - 2005,0.74
,,2005 - 2006,0.74
