state,district,year,jowar_kharif_yield_tonne_per_hectare
,,2018 - 2019,1.31
,,2019 - 2020,1.5
,Aravalli,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,1.34
,,2019 - 2020,1.52
,,2022 - 2023,1.38
,Banas kantha,2000 - 2001,0.14
,,2001 - 2002,0.75
,,2002 - 2003,0.25
,,2003 - 2004,0.87
,,2004 - 2005,1.0
,,2005 - 2006,0.49
,,2006 - 2007,0.32
,,2008 - 2009,0.97
,,2009 - 2010,0.34
,,2010 - 2011,0.43
,,2011 - 2012,1.0
,,2012 - 2013,1.22
,,2013 - 2014,1.2
,,2014 - 2015,0.98
,,2015 - 2016,1.1
,,2016 - 2017,0.96
,,2017 - 2018,0.81
,,2018 - 2019,0.82
,,2019 - 2020,0.95
,,2020 - 2021,1.02
,,2021 - 2022,1.0
,,2022 - 2023,1.02
,Bharuch,2000 - 2001,0.85
,,2001 - 2002,1.46
,,2002 - 2003,1.66
,,2003 - 2004,1.79
,,2004 - 2005,1.11
,,2005 - 2006,1.19
,,2006 - 2007,1.24
,,2007 - 2008,1.19
,,2008 - 2009,1.63
,,2009 - 2010,1.12
,,2010 - 2011,1.29
,,2011 - 2012,1.21
,,2012 - 2013,1.54
,,2013 - 2014,0.99
,,2014 - 2015,1.24
,,2015 - 2016,0.99
,,2016 - 2017,1.36
,,2017 - 2018,1.61
,,2018 - 2019,1.03
,,2019 - 2020,1.02
,,2020 - 2021,1.49
,,2021 - 2022,1.43
,,2022 - 2023,1.37
,Bhavnagar,2000 - 2001,0.01
,,2001 - 2002,0.76
,,2002 - 2003,0.22
,,2006 - 2007,1.15
,,2007 - 2008,1.35
,,2008 - 2009,1.26
,,2009 - 2010,1.0
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,1.33
,,2013 - 2014,1.44
,,2014 - 2015,1.23
,,2015 - 2016,1.41
,,2016 - 2017,1.54
,,2018 - 2019,
,,2020 - 2021,1.49
,,2021 - 2022,1.43
,,2022 - 2023,1.43
,Botad,2014 - 2015,1.22
,,2015 - 2016,1.41
,,2016 - 2017,1.54
,,2018 - 2019,1.34
,,2019 - 2020,
,Chhotaudepur,2014 - 2015,1.59
,,2015 - 2016,0.86
,,2016 - 2017,1.32
,,2017 - 2018,1.3
,,2018 - 2019,1.11
,,2019 - 2020,1.15
,,2020 - 2021,1.49
,,2021 - 2022,1.43
,,2022 - 2023,1.35
,Dang,2000 - 2001,1.05
,,2001 - 2002,1.35
,,2002 - 2003,1.13
,,2003 - 2004,1.33
,,2004 - 2005,1.89
,,2005 - 2006,1.95
,,2006 - 2007,1.67
,,2007 - 2008,1.37
,,2008 - 2009,1.39
,,2009 - 2010,1.39
,,2010 - 2011,1.04
,,2011 - 2012,1.36
,,2012 - 2013,1.25
,,2013 - 2014,1.31
,,2014 - 2015,1.09
,,2015 - 2016,1.41
,,2016 - 2017,3.43
,,2017 - 2018,1.39
,,2020 - 2021,1.48
,,2021 - 2022,1.43
,,2022 - 2023,1.37
,Devbhumi dwarka,2017 - 2018,1.41
,Dohad,2003 - 2004,0.88
,,2004 - 2005,0.75
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.33
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.08
,,2011 - 2012,1.0
,,2012 - 2013,1.33
,,2014 - 2015,1.22
,,2015 - 2016,
,,2016 - 2017,1.54
,,2018 - 2019,
,Gandhinagar,2000 - 2001,0.64
,,2001 - 2002,0.74
,,2003 - 2004,0.93
,,2005 - 2006,1.2
,,2006 - 2007,1.12
,,2007 - 2008,1.36
,,2009 - 2010,1.0
,,2010 - 2011,1.05
,,2011 - 2012,0.99
,,2012 - 2013,0.8
,,2013 - 2014,0.82
,,2014 - 2015,0.75
,,2015 - 2016,0.77
,,2017 - 2018,1.39
,,2021 - 2022,1.44
,Gir somnath,2021 - 2022,
,,2022 - 2023,
,Jamnagar,2000 - 2001,0.64
,,2001 - 2002,0.74
,,2002 - 2003,0.24
,,2003 - 2004,0.86
,,2004 - 2005,0.95
,,2005 - 2006,1.18
,,2006 - 2007,1.13
,,2007 - 2008,1.38
,,2008 - 2009,
,,2009 - 2010,1.0
,,2014 - 2015,
,,2017 - 2018,1.4
,,2018 - 2019,1.34
,Junagadh,2000 - 2001,0.64
,,2001 - 2002,0.33
,,2002 - 2003,0.0
,,2003 - 2004,0.8
,,2004 - 2005,1.0
,,2005 - 2006,2.0
,,2006 - 2007,1.0
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.4
,,2014 - 2015,
,,2015 - 2016,1.41
,,2016 - 2017,1.53
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.6
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kachchh,2005 - 2006,1.33
,,2008 - 2009,
,,2013 - 2014,1.44
,,2015 - 2016,1.42
,,2016 - 2017,1.54
,,2017 - 2018,1.39
,,2018 - 2019,1.34
,Kheda,2000 - 2001,0.75
,,2001 - 2002,0.7
,,2002 - 2003,0.23
,,2003 - 2004,0.75
,,2004 - 2005,1.0
,,2005 - 2006,1.22
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.22
,,2009 - 2010,1.0
,,2010 - 2011,1.06
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.44
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2019 - 2020,
,,2021 - 2022,1.43
,,2022 - 2023,1.38
,Mahesana,2000 - 2001,0.63
,,2001 - 2002,0.83
,,2002 - 2003,0.21
,,2003 - 2004,0.87
,,2004 - 2005,1.0
,,2005 - 2006,1.13
,,2006 - 2007,1.11
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.07
,,2011 - 2012,1.0
,,2012 - 2013,1.4
,,2013 - 2014,1.44
,,2017 - 2018,1.39
,,2022 - 2023,1.37
,Mahisagar,2015 - 2016,1.43
,,2016 - 2017,1.54
,,2017 - 2018,1.38
,,2018 - 2019,1.32
,,2019 - 2020,1.52
,,2020 - 2021,1.49
,Morbi,2014 - 2015,
,,2017 - 2018,
,,2018 - 2019,1.34
,,2020 - 2021,1.48
,,2021 - 2022,1.43
,Narmada,2003 - 2004,1.41
,,2004 - 2005,1.52
,,2005 - 2006,1.51
,,2006 - 2007,1.15
,,2007 - 2008,1.75
,,2008 - 2009,2.08
,,2009 - 2010,1.32
,,2010 - 2011,1.43
,,2011 - 2012,1.32
,,2012 - 2013,1.47
,,2013 - 2014,1.04
,,2014 - 2015,1.02
,,2015 - 2016,0.97
,,2016 - 2017,1.14
,,2017 - 2018,1.31
,,2018 - 2019,1.34
,,2019 - 2020,1.42
,,2020 - 2021,1.34
,,2021 - 2022,1.45
,,2022 - 2023,1.44
,Navsari,2003 - 2004,0.85
,,2004 - 2005,1.78
,,2005 - 2006,1.42
,,2006 - 2007,1.27
,,2007 - 2008,1.4
,,2008 - 2009,1.2
,,2009 - 2010,1.0
,,2010 - 2011,1.1
,,2011 - 2012,1.0
,,2012 - 2013,1.43
,,2013 - 2014,1.44
,,2014 - 2015,1.22
,,2015 - 2016,1.41
,,2016 - 2017,1.5
,,2017 - 2018,1.41
,,2018 - 2019,1.33
,,2019 - 2020,1.5
,,2020 - 2021,1.49
,,2021 - 2022,1.44
,,2022 - 2023,1.36
,Panch mahals,2000 - 2001,0.6
,,2001 - 2002,0.76
,,2002 - 2003,0.2
,,2003 - 2004,0.88
,,2004 - 2005,0.36
,,2005 - 2006,1.14
,,2006 - 2007,1.14
,,2007 - 2008,1.33
,,2008 - 2009,1.22
,,2009 - 2010,0.9
,,2010 - 2011,1.07
,,2011 - 2012,
,,2012 - 2013,1.0
,,2013 - 2014,1.45
,,2014 - 2015,1.22
,,2015 - 2016,1.41
,,2017 - 2018,1.37
,,2018 - 2019,1.33
,,2019 - 2020,1.53
,,2020 - 2021,1.49
,Patan,2003 - 2004,0.89
,,2005 - 2006,1.0
,,2006 - 2007,1.12
,,2008 - 2009,1.27
,,2009 - 2010,0.4
,,2010 - 2011,1.0
,,2013 - 2014,1.44
,,2014 - 2015,1.22
,,2015 - 2016,1.41
,,2016 - 2017,1.54
,,2017 - 2018,1.39
,,2018 - 2019,1.34
,,2021 - 2022,1.43
,Porbandar,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.17
,,2007 - 2008,1.25
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.44
,,2014 - 2015,1.22
,,2015 - 2016,1.41
,,2016 - 2017,1.54
,,2017 - 2018,
,,2018 - 2019,1.34
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,1.43
,,2022 - 2023,
,Rajkot,2000 - 2001,0.62
,,2001 - 2002,0.75
,,2002 - 2003,0.3
,,2003 - 2004,0.63
,,2004 - 2005,0.96
,,2005 - 2006,0.5
,,2006 - 2007,0.57
,,2007 - 2008,1.33
,,2008 - 2009,1.25
,,2009 - 2010,1.0
,,2010 - 2011,1.05
,,2011 - 2012,1.0
,,2013 - 2014,1.44
,,2014 - 2015,1.22
,,2016 - 2017,1.54
,,2017 - 2018,
,,2018 - 2019,1.34
,,2019 - 2020,1.52
,,2020 - 2021,1.49
,,2021 - 2022,1.44
,Sabar kantha,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.11
,,2006 - 2007,1.17
,,2007 - 2008,1.31
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,1.5
,,2018 - 2019,1.25
,Surat,2000 - 2001,1.15
,,2001 - 2002,1.1
,,2002 - 2003,1.6
,,2003 - 2004,1.41
,,2004 - 2005,1.58
,,2005 - 2006,1.39
,,2006 - 2007,1.24
,,2007 - 2008,1.4
,,2008 - 2009,1.15
,,2009 - 2010,1.37
,,2010 - 2011,1.19
,,2011 - 2012,1.13
,,2012 - 2013,1.8
,,2013 - 2014,1.77
,,2014 - 2015,1.36
,,2015 - 2016,1.58
,,2016 - 2017,1.74
,,2017 - 2018,1.38
,,2018 - 2019,1.13
,,2019 - 2020,1.3
,,2020 - 2021,1.05
,,2021 - 2022,1.27
,,2022 - 2023,1.18
,Surendranagar,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.12
,,2007 - 2008,1.34
,,2008 - 2009,1.26
,,2009 - 2010,0.99
,,2010 - 2011,1.07
,,2011 - 2012,0.98
,,2012 - 2013,
,,2013 - 2014,1.44
,,2015 - 2016,1.41
,,2017 - 2018,1.4
,Tapi,2008 - 2009,1.5
,,2009 - 2010,1.3
,,2010 - 2011,1.3
,,2011 - 2012,1.39
,,2012 - 2013,1.79
,,2013 - 2014,1.6
,,2014 - 2015,1.35
,,2015 - 2016,1.47
,,2016 - 2017,2.28
,,2017 - 2018,2.29
,,2018 - 2019,1.79
,,2019 - 2020,2.15
,,2020 - 2021,2.39
,,2021 - 2022,2.04
,,2022 - 2023,1.76
,Vadodara,2000 - 2001,0.47
,,2001 - 2002,1.33
,,2002 - 2003,1.56
,,2003 - 2004,1.93
,,2004 - 2005,1.6
,,2005 - 2006,1.75
,,2006 - 2007,1.55
,,2007 - 2008,0.95
,,2008 - 2009,1.24
,,2009 - 2010,0.8
,,2010 - 2011,1.06
,,2011 - 2012,1.13
,,2012 - 2013,1.31
,,2013 - 2014,1.44
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.53
,,2020 - 2021,1.49
,,2021 - 2022,1.5
,,2022 - 2023,
,Valsad,2000 - 2001,0.64
,,2001 - 2002,1.21
,,2002 - 2003,1.04
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,2.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.5
,,2013 - 2014,1.44
,,2014 - 2015,1.22
,,2015 - 2016,1.41
,,2016 - 2017,1.55
,,2017 - 2018,1.4
,,2018 - 2019,1.32
,,2019 - 2020,
,,2020 - 2021,
Haryana,Ambala,2019 - 2020,1.0
,,2021 - 2022,0.71
,Bhiwani,2000 - 2001,0.44
,,2001 - 2002,0.34
,,2002 - 2003,0.13
,,2003 - 2004,0.27
,,2004 - 2005,0.21
,,2005 - 2006,0.32
,,2006 - 2007,0.37
,,2007 - 2008,0.51
,,2008 - 2009,0.5
,,2009 - 2010,0.01
,,2013 - 2014,0.5
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.53
,,2017 - 2018,0.0
,,2019 - 2020,0.52
,,2020 - 2021,0.53
,,2022 - 2023,0.5
,Charki dadri,2017 - 2018,0.5
,,2018 - 2019,0.53
,,2021 - 2022,0.52
,,2022 - 2023,0.52
,Faridabad,2000 - 2001,0.27
,,2001 - 2002,0.23
,,2002 - 2003,0.2
,,2003 - 2004,0.23
,,2004 - 2005,0.27
,,2005 - 2006,0.23
,,2006 - 2007,0.33
,,2007 - 2008,0.5
,,2008 - 2009,0.49
,,2009 - 2010,0.01
,,2010 - 2011,0.52
,,2011 - 2012,1.16
,,2012 - 2013,0.81
,,2013 - 2014,0.5
,,2014 - 2015,0.5
,,2015 - 2016,1.0
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.52
,,2020 - 2021,0.53
,,2021 - 2022,0.53
,,2022 - 2023,0.52
,Fatehabad,2020 - 2021,1.0
,,2022 - 2023,1.0
,Gurgaon,2000 - 2001,0.22
,,2001 - 2002,0.2
,,2002 - 2003,0.22
,,2003 - 2004,0.23
,,2004 - 2005,0.28
,,2005 - 2006,0.61
,,2006 - 2007,0.67
,,2007 - 2008,0.45
,,2008 - 2009,0.8
,,2009 - 2010,0.01
,,2010 - 2011,1.36
,,2011 - 2012,0.87
,,2012 - 2013,0.73
,,2013 - 2014,1.0
,,2014 - 2015,0.0
,,2015 - 2016,1.0
,,2016 - 2017,0.5
,,2017 - 2018,0.67
,,2018 - 2019,0.5
,,2019 - 2020,0.52
,,2020 - 2021,0.52
,,2022 - 2023,0.53
,Hisar,2000 - 2001,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2020 - 2021,0.53
,,2022 - 2023,0.53
,Jhajjar,2000 - 2001,0.21
,,2001 - 2002,0.23
,,2002 - 2003,0.2
,,2003 - 2004,0.28
,,2004 - 2005,0.27
,,2005 - 2006,0.28
,,2006 - 2007,0.27
,,2007 - 2008,0.46
,,2008 - 2009,0.47
,,2009 - 2010,0.0
,,2010 - 2011,0.52
,,2011 - 2012,0.45
,,2012 - 2013,0.51
,,2013 - 2014,0.57
,,2014 - 2015,0.55
,,2015 - 2016,0.5
,,2016 - 2017,0.53
,,2017 - 2018,0.52
,,2018 - 2019,0.53
,,2019 - 2020,0.54
,,2020 - 2021,0.53
,,2021 - 2022,0.0
,,2022 - 2023,0.53
,Jind,2000 - 2001,0.44
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2016 - 2017,0.67
,Kaithal,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2019 - 2020,0.67
,,2020 - 2021,0.67
,,2021 - 2022,0.0
,Karnal,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2019 - 2020,1.0
,,2021 - 2022,0.0
,,2022 - 2023,0.53
,Kurukshetra,2012 - 2013,0.0
,,2015 - 2016,0.5
,,2016 - 2017,0.55
,Mahendragarh,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2012 - 2013,0.0
,,2016 - 2017,1.0
,,2017 - 2018,0.5
,,2018 - 2019,1.0
,,2019 - 2020,0.67
,,2020 - 2021,0.5
,,2021 - 2022,0.47
,,2022 - 2023,1.0
,Mewat,2005 - 2006,0.26
,,2006 - 2007,0.31
,,2007 - 2008,0.43
,,2008 - 2009,0.53
,,2009 - 2010,0.01
,,2010 - 2011,0.48
,,2011 - 2012,0.47
,,2012 - 2013,0.5
,,2013 - 2014,0.5
,,2014 - 2015,0.57
,,2015 - 2016,0.57
,,2016 - 2017,0.54
,,2017 - 2018,0.52
,,2018 - 2019,0.53
,,2019 - 2020,0.53
,,2020 - 2021,0.53
,,2021 - 2022,0.53
,,2022 - 2023,0.53
,Palwal,2008 - 2009,0.44
,,2009 - 2010,0.01
,,2010 - 2011,0.54
,,2011 - 2012,0.49
,,2012 - 2013,0.5
,,2013 - 2014,0.5
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.53
,,2017 - 2018,0.52
,,2018 - 2019,0.53
,,2019 - 2020,0.53
,,2020 - 2021,0.52
,,2021 - 2022,0.53
,,2022 - 2023,0.53
,Panchkula,2006 - 2007,0.0
,,2008 - 2009,0.65
,,2010 - 2011,1.52
,,2021 - 2022,0.0
,Panipat,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2006 - 2007,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2019 - 2020,1.0
,,2020 - 2021,0.57
,,2021 - 2022,0.43
,,2022 - 2023,0.53
,Rewari,2000 - 2001,0.51
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.5
,,2004 - 2005,0.0
,,2005 - 2006,0.6
,,2006 - 2007,0.5
,,2007 - 2008,0.65
,,2008 - 2009,2.07
,,2009 - 2010,0.0
,,2010 - 2011,1.02
,,2011 - 2012,1.09
,,2012 - 2013,0.0
,,2013 - 2014,1.0
,,2014 - 2015,0.0
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.67
,,2019 - 2020,0.53
,,2020 - 2021,0.52
,,2021 - 2022,0.54
,,2022 - 2023,0.53
,Rohtak,2000 - 2001,0.23
,,2001 - 2002,0.19
,,2002 - 2003,0.21
,,2003 - 2004,0.24
,,2004 - 2005,0.29
,,2005 - 2006,0.3
,,2006 - 2007,0.3
,,2007 - 2008,0.43
,,2008 - 2009,0.48
,,2009 - 2010,0.0
,,2010 - 2011,0.5
,,2011 - 2012,0.51
,,2012 - 2013,0.48
,,2013 - 2014,0.53
,,2014 - 2015,0.53
,,2015 - 2016,0.53
,,2016 - 2017,0.53
,,2017 - 2018,0.52
,,2018 - 2019,0.52
,,2019 - 2020,0.53
,,2020 - 2021,0.52
,,2021 - 2022,0.53
,Sirsa,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2011 - 2012,0.0
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,,2021 - 2022,0.48
,,2022 - 2023,0.57
,Sonipat,2000 - 2001,0.37
,,2001 - 2002,0.25
,,2002 - 2003,0.21
,,2003 - 2004,0.3
,,2004 - 2005,0.3
,,2005 - 2006,0.3
,,2006 - 2007,0.26
,,2007 - 2008,0.44
,,2008 - 2009,0.54
,,2009 - 2010,0.0
,,2010 - 2011,0.53
,,2011 - 2012,0.53
,,2012 - 2013,0.52
,,2013 - 2014,0.56
,,2014 - 2015,0.5
,,2015 - 2016,0.56
,,2016 - 2017,0.54
,,2017 - 2018,0.51
,,2018 - 2019,0.53
,,2019 - 2020,0.53
,,2020 - 2021,0.53
,,2021 - 2022,0.53
,,2022 - 2023,0.53
,Yamunanagar,2006 - 2007,0.0
,,2007 - 2008,0.0
Himachal Pradesh,Bilaspur,2000 - 2001,0.03
,,2020 - 2021,5.0
,,2021 - 2022,0.67
,Chamba,2000 - 2001,0.1
,Kangra,2000 - 2001,0.32
,Solan,2020 - 2021,5.79
,,2021 - 2022,0.57
Jammu and Kashmir,Jammu,2001 - 2002,0.6
,,2004 - 2005,0.6
,,2005 - 2006,0.6
,Kathua,2002 - 2003,0.25
,,2005 - 2006,0.25
,Rajauri,2001 - 2002,0.5
,,2005 - 2006,0.6
,Samba,2010 - 2011,0.6
,,2017 - 2018,0.6
Jharkhand,Bokaro,2017 - 2018,0.72
,,2018 - 2019,0.71
,,2019 - 2020,3.5
,,2020 - 2021,0.35
,,2021 - 2022,3.5
,,2022 - 2023,3.51
,Chatra,2017 - 2018,0.48
,,2018 - 2019,0.49
,,2019 - 2020,0.47
,,2020 - 2021,0.46
,,2021 - 2022,0.38
,,2022 - 2023,0.43
,Deoghar,2021 - 2022,0.71
,,2022 - 2023,0.65
,Dhanbad,2017 - 2018,0.6
,,2018 - 2019,0.56
,,2021 - 2022,0.75
,Dumka,2017 - 2018,0.67
,,2018 - 2019,0.67
,,2019 - 2020,0.68
,,2020 - 2021,0.69
,,2021 - 2022,0.69
,,2022 - 2023,0.55
,East singhbum,2017 - 2018,0.54
,,2018 - 2019,0.58
,,2019 - 2020,0.56
,,2020 - 2021,0.68
,,2021 - 2022,0.7
,,2022 - 2023,0.7
,Garhwa,2017 - 2018,0.5
,,2021 - 2022,0.7
,Giridih,2017 - 2018,1.21
,,2018 - 2019,1.18
,,2019 - 2020,1.18
,,2020 - 2021,1.19
,,2021 - 2022,1.19
,,2022 - 2023,1.19
,Godda,2019 - 2020,0.52
,,2020 - 2021,0.55
,,2021 - 2022,0.66
,,2022 - 2023,0.57
,Gumla,2017 - 2018,0.6
,Hazaribagh,2017 - 2018,0.7
,,2018 - 2019,0.69
,,2019 - 2020,0.68
,,2020 - 2021,0.69
,,2021 - 2022,0.67
,,2022 - 2023,0.67
,Jamtara,2017 - 2018,1.67
,,2018 - 2019,0.8
,,2019 - 2020,1.2
,,2021 - 2022,2.0
,Khunti,2017 - 2018,1.17
,,2018 - 2019,0.69
,,2019 - 2020,0.35
,,2020 - 2021,0.35
,,2021 - 2022,0.36
,Koderma,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.52
,,2020 - 2021,0.52
,,2021 - 2022,0.51
,Latehar,2017 - 2018,0.34
,,2018 - 2019,0.35
,,2021 - 2022,0.59
,Lohardaga,2017 - 2018,0.6
,,2018 - 2019,0.57
,,2021 - 2022,0.4
,Pakur,2017 - 2018,0.75
,,2018 - 2019,0.62
,,2019 - 2020,0.75
,,2020 - 2021,0.75
,,2021 - 2022,0.75
,Palamu,2019 - 2020,0.7
,,2020 - 2021,0.57
,,2021 - 2022,0.64
,,2022 - 2023,0.57
,Ramgarh,2017 - 2018,0.69
,,2018 - 2019,0.68
,,2019 - 2020,0.68
,,2020 - 2021,0.67
,,2021 - 2022,0.6
,,2022 - 2023,0.46
,Ranchi,2017 - 2018,0.51
,Sahebganj,2017 - 2018,0.64
,,2018 - 2019,0.67
,,2019 - 2020,0.66
,,2020 - 2021,0.65
,,2021 - 2022,0.65
,,2022 - 2023,0.65
,Saraikela kharsawan,2017 - 2018,0.8
,,2018 - 2019,0.4
,,2019 - 2020,0.38
,,2020 - 2021,0.41
,,2021 - 2022,0.4
,Simdega,2017 - 2018,0.6
,,2018 - 2019,0.6
,,2019 - 2020,0.6
,,2020 - 2021,0.66
,,2021 - 2022,0.64
,West singhbhum,2017 - 2018,0.47
,,2018 - 2019,0.45
,,2019 - 2020,0.45
,,2020 - 2021,0.46
,,2021 - 2022,0.45
,,2022 - 2023,0.45
Karnataka,Bagalkot,2000 - 2001,1.97
,,2001 - 2002,1.78
,,2002 - 2003,1.62
,,2003 - 2004,2.15
,,2004 - 2005,1.87
,,2005 - 2006,2.62
,,2006 - 2007,0.9
,,2007 - 2008,1.65
,,2008 - 2009,1.74
,,2009 - 2010,0.73
,,2010 - 2011,2.86
,,2011 - 2012,2.32
,,2012 - 2013,1.84
,,2013 - 2014,1.76
,,2014 - 2015,1.55
,,2015 - 2016,1.17
,,2016 - 2017,1.72
,,2017 - 2018,3.05
,,2018 - 2019,2.43
,,2019 - 2020,2.55
,,2020 - 2021,3.09
,,2021 - 2022,2.08
,,2022 - 2023,1.81
,Bangalore rural,2016 - 2017,1.0
,,2018 - 2019,1.37
,,2019 - 2020,1.32
,,2020 - 2021,2.01
,,2021 - 2022,1.62
,,2022 - 2023,1.6
,Belgaum,2000 - 2001,1.31
,,2001 - 2002,1.2
,,2002 - 2003,1.37
,,2003 - 2004,0.91
,,2004 - 2005,1.52
,,2005 - 2006,1.33
,,2006 - 2007,1.34
,,2007 - 2008,1.98
,,2008 - 2009,1.59
,,2009 - 2010,1.25
,,2010 - 2011,1.98
,,2011 - 2012,1.59
,,2012 - 2013,1.12
,,2013 - 2014,1.19
,,2014 - 2015,1.37
,,2015 - 2016,0.76
,,2016 - 2017,1.46
,,2017 - 2018,2.34
,,2018 - 2019,2.1
,,2019 - 2020,1.63
,,2020 - 2021,2.28
,,2021 - 2022,1.95
,,2022 - 2023,1.83
,Bellary,2000 - 2001,1.87
,,2001 - 2002,1.47
,,2002 - 2003,1.0
,,2003 - 2004,1.41
,,2004 - 2005,1.76
,,2005 - 2006,2.13
,,2006 - 2007,1.14
,,2007 - 2008,1.63
,,2008 - 2009,1.1
,,2009 - 2010,0.93
,,2010 - 2011,1.42
,,2011 - 2012,1.18
,,2012 - 2013,1.28
,,2013 - 2014,1.77
,,2014 - 2015,1.89
,,2015 - 2016,1.64
,,2016 - 2017,2.04
,,2017 - 2018,2.52
,,2018 - 2019,2.17
,,2019 - 2020,2.61
,,2020 - 2021,3.2
,,2021 - 2022,2.94
,,2022 - 2023,3.08
,Bengaluru urban,2003 - 2004,1.06
,,2012 - 2013,1.22
,,2013 - 2014,1.42
,,2014 - 2015,1.38
,,2018 - 2019,1.37
,,2019 - 2020,1.32
,,2020 - 2021,2.01
,,2021 - 2022,1.62
,,2022 - 2023,1.61
,Bidar,2000 - 2001,1.47
,,2001 - 2002,1.41
,,2002 - 2003,1.57
,,2003 - 2004,1.43
,,2004 - 2005,1.24
,,2005 - 2006,1.16
,,2006 - 2007,1.43
,,2007 - 2008,1.91
,,2008 - 2009,1.56
,,2009 - 2010,0.82
,,2010 - 2011,1.38
,,2011 - 2012,1.68
,,2012 - 2013,1.87
,,2013 - 2014,1.4
,,2014 - 2015,1.21
,,2015 - 2016,1.16
,,2016 - 2017,0.65
,,2017 - 2018,1.98
,,2018 - 2019,1.06
,,2019 - 2020,1.3
,,2020 - 2021,1.33
,,2021 - 2022,1.0
,,2022 - 2023,0.9
,Bijapur,2000 - 2001,2.45
,,2001 - 2002,1.28
,,2002 - 2003,1.92
,,2003 - 2004,1.78
,,2004 - 2005,2.01
,,2005 - 2006,1.81
,,2006 - 2007,2.31
,,2007 - 2008,2.04
,,2008 - 2009,2.08
,,2009 - 2010,1.05
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
