state,district,year,tobacco_whole_year_yield_tonne_per_hectare
,,2005 - 2006,0.63
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,0.5
,,2009 - 2010,0.67
,,2010 - 2011,0.67
,,2011 - 2012,0.67
,,2012 - 2013,0.5
,,2013 - 2014,0.57
,,2014 - 2015,0.57
,,2017 - 2018,0.67
,,2018 - 2019,0.0
,,2019 - 2020,0.0
,,2020 - 2021,0.52
,,2021 - 2022,0.58
,,2022 - 2023,0.6
,Dantewada,2000 - 2001,0.5
,,2001 - 2002,0.71
,,2002 - 2003,0.63
,,2003 - 2004,0.63
,,2004 - 2005,0.33
,,2005 - 2006,0.5
,,2006 - 2007,1.0
,Durg,2000 - 2001,0.0
,Gariyaband,2022 - 2023,1.0
,Jashpur,2000 - 2001,0.5
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,0.5
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,0.5
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,Korea,2000 - 2001,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.5
,,2004 - 2005,1.0
,,2019 - 2020,1.0
,Raigarh,2001 - 2002,0.67
,Surajpur,2011 - 2012,0.4
,,2012 - 2013,0.13
,,2013 - 2014,0.5
,,2014 - 2015,0.43
,,2016 - 2017,0.6
,,2017 - 2018,0.33
,,2018 - 2019,0.58
,,2019 - 2020,0.6
,,2020 - 2021,1.0
,Surguja,2000 - 2001,0.45
,,2001 - 2002,0.45
,,2002 - 2003,0.3
,,2003 - 2004,0.48
,,2004 - 2005,0.5
,,2005 - 2006,0.47
,,2006 - 2007,1.0
,,2007 - 2008,0.47
,,2008 - 2009,0.52
,,2009 - 2010,0.5
,,2010 - 2011,0.53
,,2011 - 2012,0.4
,,2012 - 2013,0.2
,,2013 - 2014,1.0
,,2014 - 2015,0.5
,,2017 - 2018,0.67
,,2018 - 2019,0.5
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
Gujarat,Ahmadabad,2000 - 2001,1.7
,,2001 - 2002,1.8
,,2002 - 2003,1.8
,,2003 - 2004,1.8
,,2004 - 2005,1.6
,,2005 - 2006,1.43
,,2008 - 2009,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Amreli,2010 - 2011,
,,2018 - 2019,
,Anand,2004 - 2005,2.06
,,2005 - 2006,1.87
,,2006 - 2007,1.77
,,2007 - 2008,1.84
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Aravalli,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Banas kantha,2000 - 2001,1.7
,,2001 - 2002,1.72
,,2002 - 2003,2.64
,,2003 - 2004,2.11
,,2006 - 2007,2.0
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bharuch,2000 - 2001,1.0
,,2002 - 2003,1.0
,Bhavnagar,2005 - 2006,1.0
,,2021 - 2022,
,Dohad,2019 - 2020,
,Gandhinagar,2006 - 2007,2.0
,,2008 - 2009,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jamnagar,2015 - 2016,
,,2021 - 2022,
,Junagadh,2015 - 2016,
,Kachchh,2014 - 2015,
,Kheda,2000 - 2001,1.81
,,2001 - 2002,1.91
,,2002 - 2003,1.84
,,2003 - 2004,1.77
,,2004 - 2005,1.58
,,2005 - 2006,1.48
,,2006 - 2007,1.98
,,2007 - 2008,1.91
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahesana,2000 - 2001,1.71
,,2001 - 2002,1.69
,,2002 - 2003,1.69
,,2003 - 2004,1.86
,,2004 - 2005,1.44
,,2005 - 2006,1.67
,,2006 - 2007,1.5
,,2007 - 2008,2.0
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahisagar,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Panch mahals,2000 - 2001,2.0
,,2001 - 2002,2.0
,,2002 - 2003,1.0
,,2003 - 2004,2.0
,,2004 - 2005,1.67
,,2005 - 2006,1.6
,,2006 - 2007,1.64
,,2007 - 2008,1.67
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Patan,2004 - 2005,2.0
,,2005 - 2006,1.0
,,2007 - 2008,1.0
,,2008 - 2009,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rajkot,2021 - 2022,
,Sabar kantha,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2006 - 2007,1.71
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Surat,2013 - 2014,
,Surendranagar,2017 - 2018,
,Vadodara,2000 - 2001,1.19
,,2001 - 2002,0.7
,,2002 - 2003,1.3
,,2003 - 2004,1.2
,,2004 - 2005,1.03
,,2005 - 2006,1.23
,,2006 - 2007,1.18
,,2007 - 2008,1.26
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Haryana,Kaithal,2011 - 2012,0.0
,Panchkula,2012 - 2013,0.0
,Rewari,2011 - 2012,0.0
Himachal Pradesh,Bilaspur,2001 - 2002,1.0
,,2002 - 2003,2.0
,Chamba,2001 - 2002,1.15
,,2002 - 2003,1.16
,Hamirpur,2014 - 2015,
,Kangra,2012 - 2013,
,Sirmaur,2001 - 2002,1.0
,,2014 - 2015,
,Solan,2012 - 2013,
Jammu and Kashmir,Jammu,2000 - 2001,0.15
,,2001 - 2002,0.33
,,2002 - 2003,0.33
,Kathua,2000 - 2001,0.09
,,2001 - 2002,0.67
,,2002 - 2003,0.05
,,2003 - 2004,0.05
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2017 - 2018,
,Rajauri,2003 - 2004,0.1
,Udhampur,2001 - 2002,0.25
,,2002 - 2003,0.25
,,2003 - 2004,0.25
,,2005 - 2006,
,,2007 - 2008,
Karnataka,Bagalkot,2009 - 2010,1.0
,,2018 - 2019,1.0
,,2019 - 2020,0.86
,,2020 - 2021,1.0
,,2021 - 2022,0.75
,,2022 - 2023,0.5
,Bangalore rural,2013 - 2014,0.81
,,2018 - 2019,0.67
,,2019 - 2020,1.0
,,2020 - 2021,0.67
,Belgaum,2000 - 2001,1.04
,,2002 - 2003,1.03
,,2003 - 2004,0.69
,,2004 - 2005,0.95
,,2005 - 2006,1.08
,,2006 - 2007,0.61
,,2007 - 2008,0.69
,,2008 - 2009,1.11
,,2009 - 2010,0.95
,,2010 - 2011,1.39
,,2011 - 2012,1.06
,,2012 - 2013,1.05
,,2013 - 2014,1.64
,,2014 - 2015,1.33
,,2016 - 2017,1.52
,,2017 - 2018,1.68
,,2018 - 2019,1.22
,,2019 - 2020,1.28
,,2020 - 2021,1.11
,,2021 - 2022,1.22
,,2022 - 2023,0.83
,Bellary,2000 - 2001,0.74
,,2002 - 2003,0.36
,,2003 - 2004,0.56
,,2004 - 2005,0.74
,,2005 - 2006,0.63
,,2006 - 2007,0.45
,,2007 - 2008,0.42
,,2008 - 2009,0.51
,,2009 - 2010,0.77
,,2010 - 2011,1.09
,,2011 - 2012,0.92
,,2012 - 2013,0.6
,,2013 - 2014,0.78
,,2014 - 2015,0.72
,,2016 - 2017,0.74
,,2017 - 2018,0.92
,,2018 - 2019,0.83
,,2019 - 2020,0.87
,,2020 - 2021,0.83
,,2021 - 2022,0.79
,,2022 - 2023,0.75
,Bengaluru urban,2018 - 2019,1.0
,,2019 - 2020,0.86
,,2020 - 2021,1.0
,,2022 - 2023,0.67
,Bidar,2018 - 2019,1.0
,,2020 - 2021,0.67
,,2021 - 2022,0.67
,Bijapur,2018 - 2019,1.0
,,2019 - 2020,0.75
,,2020 - 2021,0.78
,,2021 - 2022,0.67
,,2022 - 2023,0.7
,Chamarajanagar,2000 - 2001,0.74
,,2002 - 2003,0.72
,,2003 - 2004,0.57
,,2004 - 2005,0.74
,,2005 - 2006,0.63
,,2006 - 2007,0.44
,,2007 - 2008,0.43
,,2008 - 2009,0.51
,,2009 - 2010,0.77
,,2010 - 2011,1.09
,,2011 - 2012,0.91
,,2012 - 2013,0.6
,,2013 - 2014,0.82
,,2014 - 2015,0.72
,,2016 - 2017,0.73
,,2017 - 2018,0.92
,,2018 - 2019,0.82
,,2019 - 2020,0.87
,,2020 - 2021,0.83
,,2021 - 2022,0.8
,,2022 - 2023,0.75
,Chikballapur,2018 - 2019,1.0
,,2019 - 2020,0.83
,,2020 - 2021,0.8
,,2021 - 2022,0.75
,,2022 - 2023,0.75
,Chikmagalur,2000 - 2001,0.74
,,2002 - 2003,0.72
,,2003 - 2004,0.56
,,2004 - 2005,0.74
,,2005 - 2006,0.63
,,2006 - 2007,0.45
,,2007 - 2008,0.42
,,2008 - 2009,0.5
,,2009 - 2010,0.77
,,2010 - 2011,1.11
,,2011 - 2012,0.93
,,2012 - 2013,0.63
,,2013 - 2014,0.8
,,2014 - 2015,0.72
,,2016 - 2017,0.71
,,2018 - 2019,0.67
,,2019 - 2020,0.85
,,2020 - 2021,0.78
,,2021 - 2022,1.0
,,2022 - 2023,0.67
,Chitradurga,2000 - 2001,0.74
,,2002 - 2003,0.72
,,2003 - 2004,0.56
,,2004 - 2005,0.74
,,2005 - 2006,0.63
,,2006 - 2007,0.45
,,2007 - 2008,0.42
,,2008 - 2009,0.51
,,2009 - 2010,0.77
,,2010 - 2011,1.09
,,2011 - 2012,0.92
,,2012 - 2013,0.62
,,2013 - 2014,0.82
,,2018 - 2019,0.86
,,2019 - 2020,0.86
,,2020 - 2021,0.83
,,2021 - 2022,0.8
,,2022 - 2023,0.77
,Dakshin kannad,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,0.84
,,2021 - 2022,1.0
,Davangere,2000 - 2001,0.74
,,2002 - 2003,0.36
,,2003 - 2004,0.5
,,2004 - 2005,0.74
,,2005 - 2006,0.63
,,2006 - 2007,0.43
,,2007 - 2008,0.53
,,2008 - 2009,0.51
,,2009 - 2010,0.77
,,2010 - 2011,0.86
,,2011 - 2012,0.92
,,2012 - 2013,0.63
,,2013 - 2014,0.82
,,2014 - 2015,0.72
,,2016 - 2017,0.73
,,2017 - 2018,0.94
,,2018 - 2019,0.83
,,2019 - 2020,0.87
,,2020 - 2021,0.82
,,2021 - 2022,0.79
,,2022 - 2023,0.74
,Dharwad,2000 - 2001,0.5
,,2002 - 2003,0.71
,,2006 - 2007,0.44
,,2007 - 2008,0.41
,,2008 - 2009,0.51
,,2009 - 2010,0.71
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2019 - 2020,1.0
,Gadag,2000 - 2001,0.74
,,2002 - 2003,0.72
,,2003 - 2004,0.56
,,2004 - 2005,0.73
,,2005 - 2006,0.61
,,2006 - 2007,0.44
,,2008 - 2009,1.0
,,2009 - 2010,0.77
,,2010 - 2011,1.09
,,2013 - 2014,0.8
,,2014 - 2015,0.8
,,2016 - 2017,0.5
,,2017 - 2018,1.0
,,2018 - 2019,0.8
,,2019 - 2020,1.0
,,2020 - 2021,0.86
,,2021 - 2022,0.75
,,2022 - 2023,0.5
,Gulbarga,2002 - 2003,0.75
,,2018 - 2019,0.88
,,2020 - 2021,0.83
,Hassan,2000 - 2001,0.68
,,2002 - 2003,0.68
,,2003 - 2004,0.69
,,2004 - 2005,0.82
,,2005 - 2006,0.53
,,2006 - 2007,0.8
,,2007 - 2008,0.7
,,2008 - 2009,0.82
,,2009 - 2010,0.9
,,2010 - 2011,0.96
,,2011 - 2012,0.99
,,2012 - 2013,0.96
,,2013 - 2014,0.86
,,2014 - 2015,0.88
,,2016 - 2017,0.83
,,2017 - 2018,0.88
,,2018 - 2019,0.66
,,2019 - 2020,0.65
,,2020 - 2021,0.64
,,2021 - 2022,0.54
,,2022 - 2023,0.54
,Haveri,2000 - 2001,0.73
,,2002 - 2003,0.67
,,2003 - 2004,0.6
,,2004 - 2005,0.71
,,2005 - 2006,0.64
,,2006 - 2007,0.44
,,2007 - 2008,0.43
,,2008 - 2009,0.51
,,2009 - 2010,0.8
,,2016 - 2017,1.0
,,2018 - 2019,0.75
,,2019 - 2020,0.83
,,2020 - 2021,0.75
,,2021 - 2022,0.67
,,2022 - 2023,0.5
,Kodagu,2000 - 2001,0.74
,,2002 - 2003,0.72
,,2003 - 2004,0.56
,,2004 - 2005,0.74
,,2005 - 2006,0.63
,,2006 - 2007,0.45
,,2007 - 2008,0.42
,,2008 - 2009,0.51
,,2009 - 2010,0.77
,,2010 - 2011,1.09
,,2011 - 2012,0.92
,,2012 - 2013,0.63
,,2013 - 2014,0.82
,,2014 - 2015,0.72
,,2016 - 2017,0.71
,,2017 - 2018,0.93
,,2019 - 2020,0.8
,,2021 - 2022,1.0
,Kolar,2019 - 2020,0.83
,,2020 - 2021,1.0
,Koppal,2018 - 2019,0.86
,,2019 - 2020,0.75
,,2020 - 2021,0.85
,,2021 - 2022,0.8
,,2022 - 2023,0.75
,Mandya,2012 - 2013,0.5
,,2013 - 2014,0.83
,,2016 - 2017,0.5
,,2018 - 2019,0.78
,,2019 - 2020,0.85
,,2020 - 2021,0.8
,,2021 - 2022,0.78
,Mysore,2000 - 2001,0.51
,,2002 - 2003,0.59
,,2003 - 2004,0.5
,,2004 - 2005,0.65
,,2005 - 2006,0.52
,,2006 - 2007,0.36
,,2007 - 2008,0.33
,,2008 - 2009,0.29
,,2009 - 2010,0.71
,,2010 - 2011,1.06
,,2011 - 2012,0.88
,,2012 - 2013,0.47
,,2013 - 2014,0.72
,,2014 - 2015,0.62
,,2016 - 2017,0.59
,,2017 - 2018,0.82
,,2018 - 2019,0.79
,,2019 - 2020,0.86
,,2020 - 2021,0.82
,,2021 - 2022,0.79
,,2022 - 2023,0.76
,Raichur,2002 - 2003,0.67
,,2003 - 2004,0.56
,,2004 - 2005,0.73
,,2005 - 2006,0.63
,,2006 - 2007,0.45
,,2007 - 2008,0.42
,,2008 - 2009,0.51
,,2009 - 2010,0.77
,,2018 - 2019,0.83
,,2019 - 2020,0.87
,,2020 - 2021,0.83
,,2021 - 2022,0.79
,,2022 - 2023,0.74
,Ramanagara,2011 - 2012,0.89
,,2018 - 2019,1.0
,,2019 - 2020,0.75
,,2020 - 2021,1.0
,,2022 - 2023,1.0
,Shimoga,2000 - 2001,0.74
,,2002 - 2003,0.72
,,2003 - 2004,0.56
,,2004 - 2005,0.74
,,2005 - 2006,0.64
,,2006 - 2007,0.45
,,2007 - 2008,0.42
,,2008 - 2009,0.51
,,2009 - 2010,0.76
,,2010 - 2011,1.08
,,2011 - 2012,0.92
,,2012 - 2013,0.6
,,2013 - 2014,1.0
,,2014 - 2015,0.67
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,0.67
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,Tumkur,2000 - 2001,0.74
,,2002 - 2003,0.72
,,2003 - 2004,0.57
,,2004 - 2005,0.73
,,2005 - 2006,0.63
,,2006 - 2007,0.44
,,2007 - 2008,0.43
,,2008 - 2009,0.53
,,2009 - 2010,0.8
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2014 - 2015,0.71
,,2016 - 2017,0.5
,,2018 - 2019,0.84
,,2019 - 2020,0.87
,,2020 - 2021,0.8
,,2021 - 2022,0.78
,,2022 - 2023,0.67
,Udupi,2018 - 2019,0.75
,,2020 - 2021,1.0
,,2022 - 2023,1.0
,Uttar kannad,2005 - 2006,0.63
,,2006 - 2007,0.45
,,2007 - 2008,0.43
,,2008 - 2009,0.51
,,2009 - 2010,0.8
,,2019 - 2020,1.0
,Vijayanagar,2022 - 2023,0.74
,Yadgir,2018 - 2019,0.67
Kerala,Kasaragod,2000 - 2001,5.57
,,2001 - 2002,5.56
,,2002 - 2003,5.57
,,2003 - 2004,5.57
,,2004 - 2005,5.58
,,2005 - 2006,1.6
,,2006 - 2007,1.61
,,2007 - 2008,1.6
,,2008 - 2009,1.62
,,2009 - 2010,1.17
,,2011 - 2012,1.6
,,2012 - 2013,1.77
,,2013 - 2014,1.89
,,2014 - 2015,1.62
,,2015 - 2016,1.67
,,2016 - 2017,1.5
,,2017 - 2018,1.6
,,2018 - 2019,1.6
,,2019 - 2020,1.8
,,2020 - 2021,1.83
,,2021 - 2022,1.67
,,2022 - 2023,1.43
Madhya Pradesh,Anuppur,2011 - 2012,0.0
,,2013 - 2014,0.5
,Balaghat,2001 - 2002,0.67
,,2002 - 2003,1.0
,Barwani,2001 - 2002,0.6
,,2002 - 2003,0.52
,,2006 - 2007,0.43
,,2007 - 2008,0.48
,,2008 - 2009,0.48
,,2009 - 2010,0.41
,,2010 - 2011,0.62
,,2011 - 2012,0.0
,Chhatarpur,2001 - 2002,0.44
,,2002 - 2003,0.39
,,2006 - 2007,0.35
,,2007 - 2008,0.3
,,2008 - 2009,0.36
,,2009 - 2010,0.36
,,2010 - 2011,0.37
,,2011 - 2012,0.23
,,2012 - 2013,0.43
,,2013 - 2014,0.42
,Datia,2009 - 2010,0.45
,Dhar,2001 - 2002,0.3
,,2002 - 2003,0.5
,,2006 - 2007,0.5
,,2009 - 2010,0.0
,,2010 - 2011,0.5
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,Khargone,2001 - 2002,0.5
,,2002 - 2003,1.0
,,2012 - 2013,0.5
,Mandsaur,2006 - 2007,0.0
,,2007 - 2008,0.5
,,2009 - 2010,0.5
,,2010 - 2011,0.56
,,2011 - 2012,0.0
,,2012 - 2013,0.33
,,2013 - 2014,0.67
,Panna,2001 - 2002,1.0
,,2002 - 2003,0.01
,Rewa,2001 - 2002,0.75
,,2002 - 2003,0.6
,,2006 - 2007,0.75
,,2007 - 2008,0.6
,,2008 - 2009,1.0
,,2009 - 2010,0.86
,,2010 - 2011,1.0
,,2011 - 2012,0.56
,,2012 - 2013,0.83
,,2013 - 2014,0.67
,Sagar,2011 - 2012,0.27
,Satna,2001 - 2002,0.4
,,2002 - 2003,0.31
,,2006 - 2007,0.31
,,2007 - 2008,0.32
,,2008 - 2009,0.33
,,2009 - 2010,0.44
,,2010 - 2011,0.38
,,2011 - 2012,0.3
,,2012 - 2013,0.27
,,2013 - 2014,0.22
,Shahdol,2001 - 2002,0.58
,,2002 - 2003,0.58
,,2006 - 2007,0.45
,,2007 - 2008,0.46
,,2008 - 2009,0.45
,,2009 - 2010,0.44
,,2010 - 2011,0.5
,,2011 - 2012,0.2
,,2012 - 2013,0.5
,,2013 - 2014,0.67
,Shajapur,2001 - 2002,0.01
,,2002 - 2003,0.5
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2010 - 2011,0.0
,,2012 - 2013,0.38
,Sidhi,2001 - 2002,0.43
,,2002 - 2003,0.57
,,2006 - 2007,0.5
,,2007 - 2008,0.67
,,2008 - 2009,0.5
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2012 - 2013,1.0
,Singrauli,2009 - 2010,1.0
,Ujjain,2001 - 2002,0.3
,,2002 - 2003,0.29
,,2006 - 2007,0.54
,,2007 - 2008,0.53
,,2008 - 2009,0.52
,,2009 - 2010,0.52
,,2010 - 2011,0.51
,,2012 - 2013,0.52
,,2013 - 2014,0.67
Maharashtra,Kolhapur,2013 - 2014,1.2
,,2014 - 2015,1.62
,,2015 - 2016,1.75
,,2016 - 2017,1.38
,,2017 - 2018,1.28
,,2018 - 2019,1.75
,,2019 - 2020,1.82
,,2020 - 2021,2.01
,,2021 - 2022,1.5
,,2022 - 2023,2.64
,Sangli,2015 - 2016,0.5
Meghalaya,East garo hills,2000 - 2001,0.65
,,2001 - 2002,0.64
,,2002 - 2003,0.64
,,2003 - 2004,0.64
,,2004 - 2005,0.65
,,2005 - 2006,0.65
,,2006 - 2007,
,,2007 - 2008,0.65
,,2008 - 2009,0.65
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,East jaintia hills,2000 - 2001,0.33
,,2001 - 2002,0.25
,,2002 - 2003,0.43
,,2003 - 2004,0.25
,,2004 - 2005,0.25
,,2005 - 2006,0.25
,,2006 - 2007,
,North garo hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,South garo hills,2000 - 2001,0.63
,,2001 - 2002,0.61
,,2002 - 2003,0.56
,,2003 - 2004,0.56
,,2004 - 2005,0.58
,,2005 - 2006,0.56
,,2006 - 2007,
,,2007 - 2008,0.55
,,2008 - 2009,0.53
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,South west garo hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,West garo hills,2000 - 2001,0.69
,,2001 - 2002,0.7
,,2002 - 2003,0.7
,,2003 - 2004,0.7
,,2004 - 2005,0.7
,,2005 - 2006,0.71
,,2006 - 2007,
,,2007 - 2008,0.7
,,2008 - 2009,0.66
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,West khasi hills,2000 - 2001,0.9
,,2001 - 2002,0.61
,,2002 - 2003,0.59
,,2003 - 2004,0.6
,,2004 - 2005,0.57
,,2005 - 2006,0.64
,,2006 - 2007,
,,2007 - 2008,0.76
,,2008 - 2009,1.07
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
Mizoram,Aizawl,2000 - 2001,0.78
,,2001 - 2002,0.82
,,2002 - 2003,0.95
,,2003 - 2004,0.53
,,2004 - 2005,0.65
,,2005 - 2006,0.67
,,2006 - 2007,0.86
,,2007 - 2008,0.35
,,2008 - 2009,0.35
,,2009 - 2010,0.51
,,2010 - 2011,0.4
,,2015 - 2016,0.57
,,2016 - 2017,0.4
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Champhai,2000 - 2001,0.28
,,2001 - 2002,0.77
,,2002 - 2003,0.89
,,2003 - 2004,1.2
,,2004 - 2005,0.74
,,2005 - 2006,0.72
,,2006 - 2007,0.82
,,2008 - 2009,0.74
,,2009 - 2010,0.75
,,2010 - 2011,0.8
,,2011 - 2012,1.12
,,2012 - 2013,0.98
,,2013 - 2014,1.15
,,2014 - 2015,1.06
,,2015 - 2016,0.3
,,2016 - 2017,1.09
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Hnahthial,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khawzawl,2020 - 2021,
,Kolasib,2002 - 2003,0.65
,,2003 - 2004,0.5
,,2004 - 2005,0.6
,,2005 - 2006,0.44
,,2006 - 2007,0.57
,,2008 - 2009,0.36
,,2009 - 2010,0.44
,,2010 - 2011,0.54
,,2011 - 2012,0.75
,Lawngtlai,2004 - 2005,0.93
,,2005 - 2006,0.93
,,2008 - 2009,0.31
,,2009 - 2010,0.55
,,2011 - 2012,1.35
,,2013 - 2014,0.57
,,2014 - 2015,0.52
,,2015 - 2016,0.55
,,2016 - 2017,0.54
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lunglei,2000 - 2001,0.62
,,2001 - 2002,0.69
,,2002 - 2003,0.7
,,2003 - 2004,0.69
,,2004 - 2005,0.6
,,2005 - 2006,0.6
,,2006 - 2007,0.56
,,2008 - 2009,0.68
,,2009 - 2010,0.66
,,2010 - 2011,0.52
,,2011 - 2012,0.43
,,2012 - 2013,0.45
,,2013 - 2014,2.9
,,2014 - 2015,0.81
,,2015 - 2016,0.39
,,2016 - 2017,0.73
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mamit,2003 - 2004,1.5
,,2004 - 2005,0.61
,,2005 - 2006,1.27
,,2006 - 2007,0.21
,,2007 - 2008,0.45
,,2008 - 2009,0.5
,,2014 - 2015,0.33
,Saiha,2003 - 2004,0.78
,,2004 - 2005,0.69
,,2005 - 2006,0.85
,,2006 - 2007,1.04
