state,district,year,tobacco_whole_year_yield_tonne_per_hectare
,,2001 - 2002,1.62
,,2002 - 2003,2.25
,,2003 - 2004,2.13
,,2004 - 2005,2.13
,,2005 - 2006,2.26
,,2006 - 2007,2.17
,,2007 - 2008,2.0
,,2008 - 2009,2.51
,,2009 - 2010,2.21
,,2010 - 2011,2.96
,,2011 - 2012,1.83
,,2012 - 2013,3.0
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,West godavari,2000 - 2001,2.18
,,2001 - 2002,1.42
,,2002 - 2003,1.64
,,2003 - 2004,1.4
,,2004 - 2005,1.43
,,2005 - 2006,1.99
,,2006 - 2007,1.82
,,2007 - 2008,2.14
,,2008 - 2009,1.92
,,2009 - 2010,1.93
,,2010 - 2011,1.86
,,2011 - 2012,1.82
,,2012 - 2013,1.74
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
Assam,Baksa,2005 - 2006,0.4
,,2006 - 2007,0.44
,,2007 - 2008,0.38
,,2008 - 2009,0.48
,,2009 - 2010,0.43
,,2010 - 2011,0.44
,,2011 - 2012,0.4
,,2012 - 2013,0.43
,,2013 - 2014,0.43
,,2014 - 2015,0.5
,,2015 - 2016,0.4
,,2016 - 2017,0.43
,,2017 - 2018,0.2
,,2018 - 2019,0.14
,,2019 - 2020,0.14
,,2020 - 2021,0.17
,,2021 - 2022,0.4
,,2022 - 2023,0.33
,Barpeta,2000 - 2001,0.72
,,2001 - 2002,0.69
,,2002 - 2003,0.71
,,2003 - 2004,0.71
,,2004 - 2005,0.69
,,2005 - 2006,0.71
,,2006 - 2007,0.68
,,2007 - 2008,0.68
,,2008 - 2009,0.69
,,2009 - 2010,0.71
,,2010 - 2011,0.65
,,2011 - 2012,0.59
,,2012 - 2013,0.69
,,2013 - 2014,0.78
,,2014 - 2015,0.8
,,2015 - 2016,0.5
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,Biswanath,2020 - 2021,0.5
,,2021 - 2022,0.44
,Bongaigaon,2000 - 2001,0.51
,,2001 - 2002,0.53
,,2002 - 2003,0.53
,,2003 - 2004,0.53
,,2004 - 2005,0.56
,,2005 - 2006,0.5
,,2006 - 2007,0.48
,,2007 - 2008,0.48
,,2008 - 2009,0.48
,,2009 - 2010,0.52
,,2010 - 2011,0.53
,,2011 - 2012,0.57
,,2012 - 2013,0.5
,,2015 - 2016,1.0
,Cachar,2000 - 2001,0.67
,,2001 - 2002,1.0
,,2002 - 2003,0.67
,,2003 - 2004,0.67
,,2004 - 2005,0.7
,,2005 - 2006,0.6
,,2006 - 2007,0.7
,,2007 - 2008,0.7
,,2008 - 2009,0.71
,,2009 - 2010,0.71
,,2010 - 2011,0.67
,,2011 - 2012,0.5
,,2012 - 2013,0.57
,,2013 - 2014,0.6
,,2014 - 2015,0.57
,,2015 - 2016,0.67
,,2016 - 2017,0.63
,,2017 - 2018,0.71
,,2018 - 2019,0.71
,,2019 - 2020,0.67
,,2020 - 2021,0.67
,,2021 - 2022,0.71
,,2022 - 2023,0.43
,Chirang,2005 - 2006,0.51
,,2006 - 2007,0.5
,,2007 - 2008,0.49
,,2008 - 2009,0.53
,,2009 - 2010,0.5
,,2010 - 2011,0.52
,,2011 - 2012,0.51
,,2012 - 2013,0.51
,,2013 - 2014,0.51
,,2014 - 2015,0.52
,,2015 - 2016,0.46
,,2016 - 2017,0.49
