state,district,year,moth_kharif_yield_tonne_per_hectare
,,2012 - 2013,0.27
,,2013 - 2014,0.29
,,2014 - 2015,0.39
,,2015 - 2016,0.27
,,2016 - 2017,0.31
,,2017 - 2018,0.31
,,2018 - 2019,0.23
,,2019 - 2020,0.33
,,2020 - 2021,0.33
,,2021 - 2022,0.21
,,2022 - 2023,0.48
,Jaisalmer,2000 - 2001,0.15
,,2001 - 2002,0.24
,,2002 - 2003,0.04
,,2003 - 2004,0.53
,,2004 - 2005,0.13
,,2005 - 2006,0.12
,,2006 - 2007,0.17
,,2007 - 2008,0.31
,,2008 - 2009,0.27
,,2009 - 2010,0.03
,,2010 - 2011,0.49
,,2011 - 2012,0.34
,,2012 - 2013,0.27
,,2013 - 2014,0.29
,,2014 - 2015,0.17
,,2015 - 2016,0.16
,,2016 - 2017,0.37
,,2017 - 2018,0.17
,,2018 - 2019,0.25
,,2019 - 2020,0.38
,,2020 - 2021,0.36
,,2021 - 2022,0.36
,,2022 - 2023,0.38
,Jalore,2000 - 2001,0.06
,,2001 - 2002,0.11
,,2002 - 2003,0.0
,,2003 - 2004,0.55
,,2004 - 2005,0.02
,,2005 - 2006,0.73
,,2006 - 2007,0.75
,,2007 - 2008,0.47
,,2008 - 2009,0.38
,,2009 - 2010,0.03
,,2010 - 2011,0.71
,,2011 - 2012,0.83
,,2012 - 2013,0.83
,,2013 - 2014,0.34
,,2014 - 2015,0.38
,,2015 - 2016,0.02
,,2016 - 2017,0.09
,,2017 - 2018,0.18
,,2018 - 2019,0.0
,,2019 - 2020,0.57
,,2020 - 2021,0.62
,,2021 - 2022,0.13
,,2022 - 2023,0.86
,Jhalawar,2003 - 2004,0.53
,Jhunjhunu,2000 - 2001,0.07
,,2001 - 2002,0.14
,,2002 - 2003,0.0
,,2003 - 2004,0.53
,,2004 - 2005,0.13
,,2005 - 2006,0.12
,,2006 - 2007,0.09
,,2007 - 2008,0.18
,,2008 - 2009,0.28
,,2009 - 2010,0.01
,,2010 - 2011,0.49
,,2011 - 2012,0.29
,,2012 - 2013,0.2
,,2013 - 2014,0.33
,,2014 - 2015,0.39
,,2015 - 2016,0.27
,,2016 - 2017,0.31
,,2017 - 2018,0.1
,,2018 - 2019,0.25
,,2019 - 2020,0.33
,,2020 - 2021,0.33
,,2021 - 2022,0.2
,,2022 - 2023,0.49
,Jodhpur,2000 - 2001,0.06
,,2001 - 2002,0.22
,,2002 - 2003,0.02
,,2003 - 2004,0.28
,,2004 - 2005,0.28
,,2005 - 2006,0.07
,,2006 - 2007,0.06
,,2007 - 2008,0.25
,,2008 - 2009,0.25
,,2009 - 2010,0.01
,,2010 - 2011,0.53
,,2011 - 2012,0.5
,,2012 - 2013,0.21
,,2013 - 2014,0.43
,,2014 - 2015,0.59
,,2015 - 2016,0.38
,,2016 - 2017,0.37
,,2017 - 2018,0.48
,,2018 - 2019,0.31
,,2019 - 2020,0.58
,,2020 - 2021,0.53
,,2021 - 2022,0.36
,,2022 - 2023,0.46
,Karauli,2000 - 2001,0.15
,,2001 - 2002,0.24
,,2002 - 2003,0.06
,,2003 - 2004,0.52
,,2004 - 2005,0.13
,,2005 - 2006,0.12
,,2006 - 2007,0.17
,,2007 - 2008,0.31
,,2008 - 2009,0.27
,,2009 - 2010,0.04
,,2010 - 2011,0.48
,,2011 - 2012,0.33
,,2012 - 2013,0.28
,,2013 - 2014,0.28
,,2014 - 2015,0.39
,,2015 - 2016,0.27
,,2016 - 2017,0.5
,,2017 - 2018,0.33
,,2021 - 2022,0.2
,Kota,2000 - 2001,0.14
,,2003 - 2004,0.5
,,2015 - 2016,0.0
,,2016 - 2017,0.0
,,2018 - 2019,0.0
,Nagaur,2000 - 2001,0.15
,,2001 - 2002,0.21
,,2002 - 2003,0.15
,,2003 - 2004,0.5
,,2004 - 2005,0.14
,,2005 - 2006,0.27
,,2006 - 2007,0.21
,,2007 - 2008,0.32
,,2008 - 2009,0.37
,,2009 - 2010,0.05
,,2010 - 2011,0.42
,,2011 - 2012,0.31
,,2012 - 2013,0.07
,,2013 - 2014,0.17
,,2014 - 2015,0.35
,,2015 - 2016,0.31
,,2016 - 2017,0.39
,,2017 - 2018,0.3
,,2018 - 2019,0.43
,,2019 - 2020,0.41
,,2020 - 2021,0.39
,,2021 - 2022,0.3
,,2022 - 2023,0.31
,Pali,2000 - 2001,0.08
,,2001 - 2002,0.18
,,2002 - 2003,0.0
,,2003 - 2004,0.25
,,2004 - 2005,0.17
,,2005 - 2006,0.1
,,2006 - 2007,0.26
,,2007 - 2008,0.24
,,2008 - 2009,0.1
,,2009 - 2010,0.02
,,2010 - 2011,0.26
,,2011 - 2012,0.23
,,2012 - 2013,0.18
,,2013 - 2014,0.04
,,2014 - 2015,0.36
,,2015 - 2016,0.29
,,2016 - 2017,0.31
,,2017 - 2018,0.31
,,2018 - 2019,0.23
,,2019 - 2020,0.33
,,2020 - 2021,0.33
,,2021 - 2022,0.2
,,2022 - 2023,0.5
,Pratapgarh,2013 - 2014,0.0
,,2015 - 2016,0.27
,Rajsamand,2000 - 2001,0.12
,,2001 - 2002,0.23
,,2002 - 2003,0.0
,,2003 - 2004,0.53
,,2004 - 2005,0.0
,,2005 - 2006,0.1
,,2006 - 2007,0.14
,,2007 - 2008,0.32
,,2008 - 2009,0.33
,,2009 - 2010,0.0
,,2010 - 2011,0.5
,,2011 - 2012,0.25
,,2012 - 2013,0.25
,,2013 - 2014,0.27
,,2014 - 2015,0.4
,,2015 - 2016,0.28
,,2016 - 2017,0.29
,,2017 - 2018,0.33
,,2018 - 2019,0.17
,,2019 - 2020,0.31
,,2020 - 2021,0.0
,,2022 - 2023,1.0
,Sawai madhopur,2000 - 2001,0.15
,,2001 - 2002,0.24
,,2002 - 2003,0.04
,,2003 - 2004,0.53
,,2004 - 2005,0.13
,,2005 - 2006,0.13
,,2006 - 2007,0.17
,,2007 - 2008,0.31
,,2008 - 2009,0.27
,,2009 - 2010,0.03
,,2010 - 2011,0.49
,,2011 - 2012,0.34
,,2012 - 2013,0.27
,,2013 - 2014,0.28
,,2014 - 2015,0.39
,,2015 - 2016,0.27
,,2016 - 2017,0.3
,,2017 - 2018,0.5
,,2018 - 2019,0.2
,,2019 - 2020,0.0
,,2020 - 2021,0.33
,,2021 - 2022,0.2
,,2022 - 2023,1.0
,Sikar,2000 - 2001,0.09
,,2001 - 2002,0.18
,,2002 - 2003,0.0
,,2003 - 2004,0.36
,,2004 - 2005,0.19
,,2005 - 2006,0.09
,,2006 - 2007,0.2
,,2007 - 2008,0.29
,,2008 - 2009,0.24
,,2009 - 2010,0.01
,,2010 - 2011,0.28
,,2011 - 2012,0.35
,,2012 - 2013,0.2
,,2013 - 2014,0.22
,,2014 - 2015,0.42
,,2015 - 2016,0.18
,,2016 - 2017,0.53
,,2017 - 2018,0.27
,,2018 - 2019,0.39
,,2019 - 2020,0.43
,,2020 - 2021,0.38
,,2021 - 2022,0.12
,,2022 - 2023,0.11
,Sirohi,2000 - 2001,0.15
,,2001 - 2002,0.24
,,2002 - 2003,0.0
,,2003 - 2004,0.53
,,2004 - 2005,0.0
,,2005 - 2006,0.11
,,2006 - 2007,0.14
,,2007 - 2008,0.31
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.48
,,2011 - 2012,0.0
,,2012 - 2013,0.33
,,2014 - 2015,0.0
,,2016 - 2017,0.32
,,2019 - 2020,0.32
,,2020 - 2021,0.31
,,2022 - 2023,0.0
,Tonk,2000 - 2001,0.15
,,2001 - 2002,0.24
,,2002 - 2003,0.04
,,2003 - 2004,0.52
,,2004 - 2005,0.13
,,2005 - 2006,0.12
,,2006 - 2007,0.16
,,2007 - 2008,0.32
,,2008 - 2009,0.27
,,2009 - 2010,0.04
,,2010 - 2011,0.49
,,2011 - 2012,0.34
,,2012 - 2013,0.28
,,2013 - 2014,0.46
,,2014 - 2015,0.39
,,2015 - 2016,0.26
,,2016 - 2017,0.31
,,2017 - 2018,0.38
,,2018 - 2019,0.25
,,2021 - 2022,0.2
,Udaipur,2000 - 2001,0.0
,,2001 - 2002,0.05
,,2002 - 2003,0.0
,,2003 - 2004,0.6
,,2004 - 2005,0.17
,,2008 - 2009,0.27
,,2010 - 2011,0.33
,,2015 - 2016,0.29
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.33
,,2020 - 2021,0.5
Uttar Pradesh,Agra,2000 - 2001,0.4
,,2001 - 2002,0.38
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,Aligarh,2000 - 2001,0.33
,,2001 - 2002,0.35
,,2002 - 2003,0.5
,,2003 - 2004,0.29
,Amroha,2001 - 2002,0.5
,,2003 - 2004,0.4
,Balrampur,2000 - 2001,0.5
,,2001 - 2002,0.33
,Banda,2003 - 2004,1.0
,Barabanki,2000 - 2001,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.4
,Bareilly,2003 - 2004,0.33
,Bijnor,2003 - 2004,0.5
,Budaun,2000 - 2001,0.3
,,2001 - 2002,0.38
,,2002 - 2003,0.41
,,2003 - 2004,0.39
,Bulandshahr,2001 - 2002,0.1
,Chandauli,2000 - 2001,0.33
,,2001 - 2002,1.0
,Deoria,2002 - 2003,0.38
,Etah,2000 - 2001,0.29
,,2001 - 2002,0.4
,,2002 - 2003,0.38
,,2003 - 2004,0.39
,Etawah,2001 - 2002,0.1
,Farrukhabad,2001 - 2002,1.0
,Firozabad,2000 - 2001,0.29
,,2001 - 2002,1.0
,,2002 - 2003,0.33
,,2003 - 2004,0.5
,Ghazipur,2001 - 2002,0.1
,Gonda,2001 - 2002,1.0
,,2003 - 2004,0.0
,Hardoi,2000 - 2001,0.25
,,2001 - 2002,0.25
,,2003 - 2004,0.33
,Hathras,2001 - 2002,0.33
,Jalaun,2000 - 2001,0.29
,,2001 - 2002,0.1
,Jhansi,2003 - 2004,0.5
,Kannauj,2001 - 2002,0.1
,,2003 - 2004,0.5
,Kushi nagar,2001 - 2002,0.5
,,2003 - 2004,0.33
,Mahoba,2000 - 2001,0.28
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.33
,Mainpuri,2001 - 2002,1.0
,Mathura,2003 - 2004,0.33
,Mirzapur,2000 - 2001,0.2
,,2001 - 2002,0.5
,Moradabad,2002 - 2003,0.5
,,2003 - 2004,0.37
,Pratapgarh,2002 - 2003,0.33
,Rae bareli,2000 - 2001,0.33
,,2001 - 2002,0.43
,Shahjahanpur,2000 - 2001,0.5
,Shravasti,2001 - 2002,0.36
,Unnao,2000 - 2001,0.3
,,2001 - 2002,0.42
,Varanasi,2001 - 2002,0.39
,,2002 - 2003,0.5
,,2003 - 2004,0.0
Uttarakhand,Champawat,2001 - 2002,0.25
,Dehradun,2000 - 2001,0.33
,,2008 - 2009,0.35
,,2010 - 2011,0.4
,,2011 - 2012,1.0
,,2012 - 2013,0.33
,,2013 - 2014,0.33
,,2016 - 2017,0.0
,,2017 - 2018,0.5
,,2018 - 2019,1.0
,Nainital,2000 - 2001,0.39
,,2001 - 2002,0.43
,,2003 - 2004,0.5
,,2004 - 2005,0.25
,,2005 - 2006,0.33
,,2006 - 2007,0.3
,,2007 - 2008,0.38
,,2008 - 2009,0.35
,,2009 - 2010,0.39
,,2010 - 2011,0.41
,,2011 - 2012,1.0
,,2012 - 2013,0.41
,,2013 - 2014,0.45
,,2014 - 2015,0.43
,,2015 - 2016,0.53
,,2016 - 2017,0.43
,,2017 - 2018,0.57
,,2018 - 2019,0.44
,,2019 - 2020,0.56
,,2020 - 2021,0.57
,,2021 - 2022,0.56
,Udam singh nagar,2013 - 2014,0.0
,,2018 - 2019,0.0
West Bengal,Purulia,2013 - 2014,
,,2014 - 2015,0.88
,,2015 - 2016,
,,2016 - 2017,
