feature,H_Cluster,State,District
Assam_Udalguri,1,Assam,Udalguri
Assam_West Karbi Anglong,10,Assam,West Karbi Anglong
Bihar_Araria,4,Bihar,Araria
Bihar_Arwal,2,Bihar,Arwal
Bihar_Aurangabad,2,Bihar,Aurangabad
Bihar_Banka,4,Bihar,Banka
Bihar_Begusarai,4,Bihar,Begusarai
Bihar_Bhagalpur,4,Bihar,Bhagalpur
Bihar_Bhojpur,2,Bihar,Bhojpur
Bihar_Buxar,2,Bihar,Buxar
Bihar_Darbhanga,4,Bihar,Darbhanga
Bihar_Gaya,2,Bihar,Gaya
Bihar_Gopalganj,2,Bihar,Gopalganj
Bihar_Jamui,2,Bihar,Jamui
Bihar_Jehanabad,2,Bihar,Jehanabad
Bihar_Kaimur (Bhabua),2,Bihar,Kaimur (Bhabua)
Bihar_Katihar,4,Bihar,Katihar
Bihar_Khagaria,4,Bihar,Khagaria
Bihar_Kishanganj,4,Bihar,Kishanganj
Bihar_Lakhisarai,2,Bihar,Lakhisarai
Bihar_Madhepura,4,Bihar,Madhepura
Bihar_Madhubani,4,Bihar,Madhubani
Bihar_Munger,4,Bihar,Munger
Bihar_Muzaffarpur,4,Bihar,Muzaffarpur
Bihar_Nalanda,2,Bihar,Nalanda
Bihar_Nawada,2,Bihar,Nawada
Bihar_Pashchim Champaran,2,Bihar,Pashchim Champaran
Bihar_Patna,2,Bihar,Patna
Bihar_Purbi Champaran,4,Bihar,Purbi Champaran
Bihar_Purnia,4,Bihar,Purnia
Bihar_Rohtas,2,Bihar,Rohtas
Bihar_Saharsa,4,Bihar,Saharsa
Bihar_Samastipur,4,Bihar,Samastipur
Bihar_Saran,2,Bihar,Saran
Bihar_Sheikhpura,2,Bihar,Sheikhpura
Bihar_Sheohar,4,Bihar,Sheohar
Bihar_Sitamarhi,4,Bihar,Sitamarhi
Bihar_Siwan,2,Bihar,Siwan
Bihar_Supaul,4,Bihar,Supaul
Bihar_Vaishali,2,Bihar,Vaishali
Chandigarh_Chandigarh,14,Chandigarh,Chandigarh
Chhattisgarh_Balod,4,Chhattisgarh,Balod
Chhattisgarh_Baloda Bazar,4,Chhattisgarh,Baloda Bazar
Chhattisgarh_Balrampur,4,Chhattisgarh,Balrampur
Chhattisgarh_Bastar,4,Chhattisgarh,Bastar
Chhattisgarh_Bemetara,4,Chhattisgarh,Bemetara
Chhattisgarh_Bijapur,4,Chhattisgarh,Bijapur
Chhattisgarh_Bilaspur,4,Chhattisgarh,Bilaspur
Chhattisgarh_Dantewada,4,Chhattisgarh,Dantewada
Chhattisgarh_Dhamtari,4,Chhattisgarh,Dhamtari
Chhattisgarh_Durg,4,Chhattisgarh,Durg
Chhattisgarh_Gariyaband,4,Chhattisgarh,Gariyaband
Chhattisgarh_Gaurella Pendra Marwahi,4,Chhattisgarh,Gaurella Pendra Marwahi
Chhattisgarh_Janjgir-Champa,4,Chhattisgarh,Janjgir-Champa
Chhattisgarh_Jashpur,4,Chhattisgarh,Jashpur
Chhattisgarh_Kabirdham,4,Chhattisgarh,Kabirdham
Chhattisgarh_Kanker,4,Chhattisgarh,Kanker
Chhattisgarh_Khairgarh Chhuikhadan Gandai,4,Chhattisgarh,Khairgarh Chhuikhadan Gandai
Chhattisgarh_Kondagaon,4,Chhattisgarh,Kondagaon
Chhattisgarh_Korba,4,Chhattisgarh,Korba
Chhattisgarh_Korea,4,Chhattisgarh,Korea
Chhattisgarh_Mahasamund,4,Chhattisgarh,Mahasamund
Chhattisgarh_Manendragarh Chirimiri Bharatpur,4,Chhattisgarh,Manendragarh Chirimiri Bharatpur
Chhattisgarh_Mohla Manpur Ambagarh Chouki,4,Chhattisgarh,Mohla Manpur Ambagarh Chouki
Chhattisgarh_Mungeli,4,Chhattisgarh,Mungeli
Chhattisgarh_Narayanpur,4,Chhattisgarh,Narayanpur
Chhattisgarh_Raigarh,4,Chhattisgarh,Raigarh
Chhattisgarh_Raipur,4,Chhattisgarh,Raipur
Chhattisgarh_Rajnandgaon,4,Chhattisgarh,Rajnandgaon
Chhattisgarh_Sakti,4,Chhattisgarh,Sakti
Chhattisgarh_Sarangarh Bilaigarh,4,Chhattisgarh,Sarangarh Bilaigarh
Chhattisgarh_Sukma,4,Chhattisgarh,Sukma
