State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
Bihar,Sheohar,1.09,,,,,0.5,1.0,1.0,1.14,1.33,,2.05,1.67,1.5,,,,1.5,,,,,
Bihar,Sitamarhi,1.13,1.8,1.2,1.35,1.28,0.74,1.01,1.04,1.09,1.25,1.51,2.07,1.53,1.45,1.67,1.33,1.44,1.56,0.89,0.44,1.88,1.75,1.71
Bihar,Siwan,1.68,1.07,1.22,1.69,1.5,1.37,1.07,1.47,1.1,1.13,1.33,1.54,1.46,1.4,1.11,1.3,1.5,1.59,1.99,1.37,1.91,1.78,1.73
Bihar,Supaul,1.17,1.26,1.15,1.11,1.0,1.03,1.0,1.22,1.0,,,,,,,,,,,,,,
Bihar,Vaishali,1.13,1.8,1.2,1.35,1.28,0.74,1.0,1.04,1.09,1.23,1.5,2.06,1.54,1.47,1.7,1.31,1.48,1.58,0.92,0.46,1.9,1.77,1.71
Chhattisgarh,Balod,,,,,,,,,,,,1.0,,,,,,,,,,2.0,
Chhattisgarh,Baloda Bazar,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
Chhattisgarh,Balrampur,,,,,,,,,,,,0.75,0.26,0.92,1.12,,0.9,1.06,0.8,0.52,0.7,0.55,1.06
Chhattisgarh,Bemetara,,,,,,,,,,,,0.88,0.55,0.39,0.58,0.64,,,,0.57,0.82,1.5,1.0
Chhattisgarh,Bilaspur,0.82,0.86,0.38,0.83,,0.82,1.22,1.22,1.0,1.0,0.5,0.67,0.67,1.0,1.0,1.0,1.0,0.56,1.0,,1.0,1.42,
Chhattisgarh,Durg,0.5,0.58,0.57,1.0,1.0,1.0,0.51,1.14,1.0,0.25,0.61,0.85,0.55,2.69,1.4,,,,,0.44,0.66,1.57,1.0
Chhattisgarh,Gariyaband,,,,,,,,,,,,,,,,,,,,,,2.0,1.5
Chhattisgarh,Jashpur,0.94,0.94,0.74,0.83,0.8,0.94,0.63,1.05,1.0,1.0,0.5,0.89,0.64,1.0,1.27,0.63,,,,,,,
Chhattisgarh,Korba,0.83,0.86,0.7,0.84,0.65,0.82,0.64,1.0,0.91,0.79,0.53,0.7,0.46,0.85,1.26,0.54,0.92,1.03,0.77,0.49,0.56,2.0,1.0
Chhattisgarh,Korea,0.87,0.83,0.42,0.96,0.76,0.72,0.67,0.91,0.9,0.69,0.49,0.7,0.4,0.8,1.09,0.47,0.66,0.76,0.61,0.48,0.46,1.46,0.88
Chhattisgarh,Mahasamund,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,2.0,1.5
Chhattisgarh,Manendragarh Chirimiri Bharatpur,,,,,,,,,,,,,,,,,,,,,,,0.84
Chhattisgarh,Mungeli,,,,,,,,,,,,,,,,,,,,,,,2.0
Chhattisgarh,Raigarh,,,,,,,,,,,,,,,,,,,,,0.67,,
Chhattisgarh,Raipur,,,,,,,,,,,,,,,,,,,,1.0,,,2.0
Chhattisgarh,Rajnandgaon,0.6,1.0,,0.8,0.75,1.0,1.0,1.0,1.0,,0.91,1.27,0.89,1.5,2.22,1.0,1.33,1.0,1.25,1.0,1.5,2.75,1.75
Chhattisgarh,Sukma,,,,,,,,,,,,,,,,,,,,0.83,,,
Chhattisgarh,Surajpur,,,,,,,,,,,,0.75,0.92,1.01,1.03,0.69,0.96,1.12,0.85,0.64,0.72,1.28,1.19
