State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
Chhattisgarh,Mohla Manpur Ambagarh Chouki,,,,,,,,,,,,,,,,,,,,,,,0.43
Chhattisgarh,Mungeli,,,,,,,,,,,,0.38,0.38,0.42,0.4,0.42,0.41,0.3,0.6,1,,,
Chhattisgarh,Raigarh,,0.21,0.18,0.18,0.18,0.17,0.19,0.18,0.2,0.2,0.23,0.23,0.19,0.23,0.25,0.29,0.22,0.25,0.14,,0.33,,
Chhattisgarh,Raipur,0.23,0.24,0.21,0.22,0.2,0.21,0.21,0.2,0.4,0.23,0.24,0.25,0.29,0.24,0.29,0.35,0.41,0.38,0.38,0.3,0.33,0.38,0.35
Chhattisgarh,Rajnandgaon,0.5,0.33,0.5,0.36,0.38,0.3,0.33,0.31,0.41,0.37,0.43,0.5,0.5,0.4,0.33,0.34,0.43,0.48,0.44,0.47,0.67,0.78,0.46
Chhattisgarh,Surguja,,,,,,0.14,,,,,,,,,,,,,,,,,
Jharkhand,Bokaro,,,,,,,,,,,,,,,,,,,,,,,1.64
Jharkhand,Chatra,,,,,,,,,,,,,,,,,,,,,,0.3,
Jharkhand,Deoghar,,,,,,,,,,,,,,,,,,0.56,,,,,
Jharkhand,Dumka,,,,,,,,,,,,,,,,,,0.58,0.52,0.5,0.5,,
Jharkhand,East Singhbum,,,,,,,,,,,,,,,,,,0.5,0.51,0.46,0.45,0.45,0.4
Jharkhand,Giridih,,,,,,,,,,,,,,,,,,0.38,0.5,0.4,0.5,0.33,0.5
Jharkhand,Godda,,,,,,,,,,,,,,,,,,0.68,0.63,,,,
Jharkhand,Gumla,,,,,,,,,,,,,,,,,,,,0.4,0.37,0.3,0.4
Jharkhand,Hazaribagh,,,,,,,,,,,,,,,,,,0.48,,,,0.36,
Jharkhand,Khunti,,,,,,,,,,,,,,,,,,0.5,0.41,0.5,0.7,,
Jharkhand,Koderma,,,,,,,,,,,,,,,,,,0.7,,,,,
Jharkhand,Pakur,,,,,,,,,,,,,,,,,,0.5,0.5,,,,
Jharkhand,Palamu,,,,,,,,,,,,,,,,,,,,0.5,0.5,1.25,
Jharkhand,Ramgarh,,,,,,,,,,,,,,,,,,0.46,,,,,
Jharkhand,Ranchi,,,,,,,,,,,,,,,,,,0.5,,,,0.31,
Jharkhand,Saraikela Kharsawan,,,,,,,,,,,,,,,,,,,0.58,,,0.31,
Jharkhand,Simdega,,,,,,,,,,,,,,,,,,1.15,1.2,0.63,,0.27,
Karnataka,Bagalkote,0.92,0.59,0.69,0.12,0.33,0.45,0.35,0.87,0.63,0.67,0.72,0.89,0.62,0.3,0.39,0.24,0.07,0.54,0.27,0.73,0.59,0.71,0.55
Karnataka,Ballari,0.53,0.39,0.26,0.25,0.33,0.33,0.43,0.62,0.37,0.31,0.37,0.23,0.45,1.67,0.29,0.39,0.29,1,0.36,0.55,1.02,0.81,0.89
Karnataka,Belagavi,0.53,0.57,0.55,0.26,0.48,0.72,0.57,0.55,0.75,0.52,1.32,0.43,0.32,0.56,0.77,0.27,0.57,1.08,0.77,0.72,0.56,0.68,0.56
Karnataka,Bengaluru Rural,,,,,,,,,,,,,,,,,,,1,1,0.63,1,1
Karnataka,Bengaluru Urban,,,,,,,,,,,,,,,,,,,,0.9,0.67,0.67,1
Karnataka,Bidar,1.06,1.45,1.3,1.31,0.81,1.25,1.36,1.46,1.24,1.35,1.28,1.23,0.98,1.02,1.01,0.91,0.96,1.3,0.95,1.31,0.89,1.04,1.19
Karnataka,Chamarajanagara,,,,,,,,,,,,,,,,,,,0.62,0.92,0.67,0.8,0.85
Karnataka,Chikkaballapura,,,,,,,,,,,,,,,,,,,0.62,1,0.6,0.86,0.88
Karnataka,Chikkamagaluru,0.77,0.78,0.66,0.5,0.5,0.77,0.74,0.85,0.81,0.77,0.88,0.6,,,,,,,1,1,0.5,1,1
Karnataka,Chitradurga,0.56,0.39,0.65,0.36,0.33,0.18,0.86,0.52,0.55,0.3,0.57,0.28,0.37,0.49,0.47,0.51,,0.55,0.53,0.64,0.46,0.2,0.59
Karnataka,Davangere,0.77,0.78,0.65,0.42,0.24,0.75,0.73,0.84,0.8,1,0.9,0.61,,,1,0.4,,,0.61,0.92,0.69,0.81,0.89
Karnataka,Dharwad,0.94,0.55,0.49,0.15,0.66,1.06,1.15,1.14,1.55,0.96,1.18,0.48,0.34,0.56,0.65,0.27,0.13,0.62,0.4,0.99,0.55,0.73,0.79
Karnataka,Gadag,0.81,0.78,0.32,0.36,0.57,0.75,0.46,1.06,0.98,0.94,0.78,0.54,0.75,0.64,0.96,0.37,0.13,0.49,0.26,0.6,0.54,0.58,0.54
Karnataka,Hassan,,,,,,,,,,,,,,,,,,,0.5,1,0.75,1,1
