State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
Arunachal Pradesh,Lower Siang,,,,,,,,,,,,,,,,,,,36.39,36.42,36.5,36.5,36.5
Arunachal Pradesh,Lower Subansiri,10.0,10.0,13.38,13.49,7.1,14.52,14.5,14.5,14.5,14.55,30.1,30.56,30.56,30.56,28.41,28.37,28.56,28.56,29.1,29.0,29.12,29.12,29.13
Arunachal Pradesh,Namsai,,,,,,,,,,,,,,,,22.58,24.5,24.5,25.55,25.44,25.68,25.68,25.69
Arunachal Pradesh,Papum Pare,14.78,15.58,14.54,15.36,39.59,16.7,,16.5,16.0,17.0,16.8,17.0,18.9,19.2,18.57,20.3,20.71,20.95,21.12,21.12,21.16,21.16,21.17
Arunachal Pradesh,Shi Yomi,,,,,,,,,,,,,,,,,,,,22.29,22.29,22.29,22.29
Arunachal Pradesh,Siang,,,,,,,,,,,,,,,,16.38,17.39,17.84,18.16,18.18,18.26,18.26,18.26
Arunachal Pradesh,Tirap,10.5,17.35,12.56,,12.9,,25.05,,,,,,12.65,,,,,,,,,,
Arunachal Pradesh,Upper Siang,,,,,,4.71,5.0,5.0,8.0,8.5,8.5,8.7,37.54,9.63,11.08,16.53,17.19,17.72,17.93,17.95,18.0,18.0,18.0
Arunachal Pradesh,Upper Subansiri,,13.5,9.53,7.4,28.49,,25.05,25.2,24.96,25.11,32.43,24.84,26.51,27.16,24.59,28.57,28.89,28.89,29.33,29.19,29.35,29.35,29.35
Arunachal Pradesh,West Siang,29.24,29.47,28.43,28.43,5.0,28.49,28.65,28.95,28.97,28.99,29.01,29.22,9.5,29.57,27.76,32.05,31.97,31.97,22.03,22.06,22.36,22.36,22.36
Assam,Baksa,,,,,,37.03,39.64,38.07,38.39,39.11,23.5,29.65,20.98,18.79,24.41,29.51,29.77,28.9,21.68,25.24,21.3,20.89,36.76
Assam,Barpeta,36.9,37.23,36.42,38.59,36.92,37.19,39.64,38.08,38.39,39.11,36.19,37.06,35.61,36.97,36.76,35.24,38.47,37.4,35.06,41.01,35.85,38.97,44.56
Assam,Biswanath,,,,,,,,,,,,,,,,,,,,,33.74,32.96,33.66
Assam,Bongaigaon,36.9,37.23,36.42,38.59,36.92,37.19,39.63,38.08,38.39,39.11,36.19,37.05,35.61,36.97,36.76,35.24,38.47,37.4,35.06,41.01,35.85,38.97,44.57
Assam,Cachar,15.6,36.95,43.8,40.47,36.92,37.91,43.06,43.14,42.74,43.12,41.16,37.05,35.61,33.83,35.42,31.87,32.64,30.8,29.08,41.01,30.9,38.78,44.56
Assam,Charaideo,,,,,,,,,,,,,,,,,,,,,35.84,38.96,44.57
Assam,Chirang,,,,,,37.19,39.64,38.08,38.39,39.11,36.2,37.05,35.61,36.97,36.76,35.25,38.47,37.4,35.06,41.01,35.84,38.96,44.56
Assam,Darrang,30.11,31.62,34.37,40.69,34.61,28.24,31.64,34.7,38.66,39.53,38.43,42.04,40.48,41.77,43.47,40.13,45.92,39.91,40.1,41.1,43.3,39.93,39.74
Assam,Dhemaji,36.89,37.23,36.42,38.59,36.94,37.19,39.63,38.08,38.39,39.11,36.2,37.06,35.61,36.97,36.76,35.25,38.47,37.4,35.06,41.01,35.84,38.97,44.56
Assam,Dhubri,36.9,37.23,36.42,38.58,36.91,37.19,39.64,38.08,38.39,39.11,36.2,37.06,35.61,36.97,36.76,35.24,38.47,37.4,35.06,41.01,35.84,38.97,44.57
Assam,Dibrugarh,36.9,37.23,36.42,38.59,36.91,37.18,39.63,38.67,38.39,39.11,36.2,37.05,35.61,36.97,36.76,35.24,38.47,37.4,35.06,41.01,35.85,38.97,44.56
Assam,Dima Hasao,31.6,33.25,33.91,31.15,32.56,31.91,28.35,29.61,31.47,28.59,35.26,31.39,30.06,36.3,39.49,53.32,50.25,50.24,35.06,50.02,51.46,41.04,35.49
Assam,Goalpara,47.67,37.23,36.42,38.59,36.92,37.19,39.63,38.07,38.39,39.11,36.2,37.06,35.61,36.97,36.76,35.24,38.46,37.4,35.06,41.01,35.84,38.97,44.57
Assam,Golaghat,41.26,36.53,37.52,40.77,40.2,39.12,42.81,36.76,33.3,36.92,33.56,35.83,34.2,35.06,34.09,26.62,26.8,27.34,25.48,25.78,26.6,27.33,50.3
Assam,Hailakandi,47.45,28.8,21.4,19.6,41.4,39.0,39.63,38.08,27.0,39.1,36.2,37.06,35.61,36.97,36.76,35.24,38.46,37.4,35.06,41.01,35.85,38.97,44.57
Assam,Hojai,,,,,,,,,,,,,,,,,,,,,17.43,43.25,43.87
Assam,Jorhat,33.78,34.35,32.95,34.22,32.39,32.51,33.41,33.33,30.89,33.25,27.57,31.92,27.8,28.7,29.67,30.76,33.6,32.94,31.51,32.84,35.85,38.97,44.55
Assam,Kamrup,36.9,43.38,43.43,41.26,40.31,48.43,48.69,34.55,36.5,35.07,38.48,39.55,39.82,40.46,40.51,31.94,27.92,32.44,28.4,29.72,30.43,57.36,79.98
Assam,Kamrup Metro,,,,,,55.03,53.73,38.08,38.38,39.11,36.2,37.06,35.61,36.97,36.76,35.25,38.46,37.41,35.06,41.01,35.84,38.97,44.56
Assam,Karbi Anglong,41.25,44.16,39.38,44.15,41.16,40.58,46.62,47.22,45.8,45.88,36.2,36.18,39.04,39.51,37.72,30.89,40.22,35.32,39.39,44.12,35.85,30.67,44.61
Assam,Karimganj,35.74,44.07,48.21,37.18,45.54,33.43,32.6,23.41,26.19,38.99,28.72,34.87,36.42,35.67,28.97,37.05,36.9,36.3,36.21,35.28,36.31,34.63,34.1
Assam,Kokrajhar,36.88,37.24,36.41,38.6,36.92,37.19,39.64,38.08,38.38,39.11,36.2,37.05,35.61,36.97,36.76,35.25,38.47,37.38,35.06,41.01,35.84,38.97,44.57
Assam,Lakhimpur,35.1,38.56,38.23,33.51,37.66,38.96,38.15,33.4,36.06,37.33,45.85,61.53,49.68,46.75,47.51,44.13,45.39,43.63,35.06,41.01,48.1,47.4,49.41
Assam,Majuli,,,,,,,,,,,,,,,,,,,,,30.45,38.97,34.78
Assam,Marigaon,42.16,39.93,41.16,35.46,37.72,38.28,36.06,36.87,39.49,38.01,37.23,39.97,34.47,33.3,39.88,39.95,37.64,31.51,29.02,35.88,37.21,35.98,52.08
Assam,Nagaon,34.93,34.31,33.28,36.15,33.0,33.6,35.04,35.18,36.53,37.59,35.54,36.73,33.57,35.79,33.54,30.58,35.78,37.31,34.95,39.6,36.62,32.53,50.92
Assam,Nalbari,38.43,37.23,37.68,39.9,38.35,39.34,37.8,38.08,39.06,39.0,39.09,34.28,33.52,34.03,33.57,34.5,35.38,33.47,33.27,32.91,34.37,38.97,44.56
Assam,Sivasagar,36.9,37.23,36.42,38.59,36.92,37.19,39.63,38.07,38.39,39.11,36.21,37.05,35.62,36.98,36.76,35.24,38.47,37.4,35.07,41.01,35.85,38.97,44.56
Assam,Sonitpur,40.13,37.78,38.4,39.12,36.32,38.51,39.09,35.24,35.67,39.03,39.54,42.97,36.43,38.04,38.86,38.15,38.71,36.35,36.5,45.45,33.68,39.5,30.58
Assam,South Salmara Mancachar,,,,,,,,,,,,,,,,,,,,,35.86,38.95,44.58
Assam,Tinsukia,30.78,37.23,36.42,38.59,36.92,37.19,39.63,38.07,38.39,39.11,36.2,37.06,35.61,36.97,36.77,35.25,38.47,37.4,35.06,41.01,35.84,38.97,44.56
Assam,Udalguri,,,,,,42.08,33.22,33.08,46.27,32.02,44.93,39.02,45.09,37.08,39.91,37.96,40.28,39.9,35.21,38.79,36.59,37.06,37.64
Assam,West Karbi Anglong,,,,,,,,,,,,,,,,,,,,,46.08,43.13,50.45
Bihar,Araria,38.92,46.32,41.19,39.7,36.49,,,,,,50.18,,,,,,,,,,,,
Bihar,Arwal,,,,42.15,35.96,26.31,,37.08,35.0,48.78,67.13,,60.47,24.74,113.29,110.5,122.5,40.71,94.47,60.6,54.79,,
Bihar,Aurangabad,45.02,44.49,46.15,42.67,35.96,26.3,,36.52,38.51,48.6,67.12,,60.46,24.73,112.85,101.74,122.5,40.7,94.49,60.67,54.78,57.25,
Bihar,Banka,30.16,48.64,51.0,35.91,41.49,38.5,,49.74,38.36,72.69,71.54,,57.24,73.61,68.55,56.74,69.5,58.78,88.42,67.1,69.97,42.0,51.13
Bihar,Begusarai,40.28,46.38,39.54,43.71,27.04,38.22,,0.64,16.94,32.09,81.49,,90.23,72.39,60.62,59.91,56.9,64.03,61.3,79.04,64.34,41.65,85.35
Bihar,Bhagalpur,35.21,46.91,44.23,49.93,36.11,40.26,,47.9,36.02,39.01,98.58,,68.82,71.83,67.32,56.7,55.52,55.1,56.59,56.61,60.35,41.6,39.53
Bihar,Bhojpur,23.08,39.73,37.03,35.97,41.04,41.89,,38.29,46.2,44.75,45.93,,39.53,52.06,66.64,47.1,54.36,63.81,59.5,61.0,,57.5,69.0
Bihar,Buxar,23.08,37.05,31.94,34.39,41.91,42.11,,51.73,49.3,28.71,24.76,,36.86,58.96,66.64,43.63,53.67,64.44,59.0,60.59,54.86,57.26,73.66
Bihar,Darbhanga,46.91,35.67,35.35,44.42,13.32,29.22,,19.2,35.39,39.05,43.45,,46.5,52.6,41.16,47.8,57.58,59.28,38.38,58.67,19.91,50.71,46.32
Bihar,Gaya,45.02,44.49,46.07,42.01,35.96,26.94,,37.0,35.3,48.75,48.65,,60.86,28.63,79.15,109.07,68.39,54.75,68.36,,,,
Bihar,Gopalganj,42.23,46.43,33.41,39.39,39.71,48.21,,36.26,44.15,46.61,40.0,,49.46,54.4,57.78,56.84,53.7,56.93,56.97,66.35,56.98,75.13,63.33
Bihar,Jamui,46.91,52.23,48.09,46.17,47.17,16.54,,14.23,16.2,37.53,67.61,,65.36,48.66,57.0,66.36,56.66,53.07,45.72,58.68,61.04,42.0,
Bihar,Jehanabad,45.01,44.49,46.15,42.52,35.96,26.31,,37.08,35.0,48.78,86.74,,60.46,24.73,113.28,110.5,122.53,40.69,,60.59,,,
Bihar,Kaimur (Bhabua),23.08,36.48,41.1,35.29,41.91,42.11,,27.03,44.0,28.18,24.76,,48.93,39.15,66.63,43.55,53.68,64.45,59.43,60.58,54.8,57.14,68.96
Bihar,Katihar,42.14,46.0,40.0,39.7,36.49,40.88,,41.54,45.25,43.59,44.84,,56.73,53.14,58.61,51.09,56.05,,56.69,,,,
