State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
Tamil Nadu,Tirunelveli,17.16,,,,,,,16.57,,,,22.73,,,,,,,,,,,
Tamil Nadu,Tirupathur,,,,,,,,,,,,,,,,,,,,,,,20.0
Tamil Nadu,Tiruppur,,,,,,,,,,,,,,,25.5,23.0,18.5,22.5,,,,,
Tamil Nadu,Tiruvannamalai,,,,,,15.0,,,,18.0,,,,22.0,,,,,,22.0,,,
Tamil Nadu,Vellore,,,,,,15.0,15.0,16.8,18.33,18.33,,,,,11.5,,19.0,,,,,,
Tamil Nadu,Virudhunagar,,,,,,,,,,18.33,,,,,,,,,,,,,
Telangana,Adilabad,3.78,,,,,8.5,15.0,,,,,,,,,,10.0,,,,,,
Telangana,Jagitial,,,,,,,,,,,,,,,,,,,,,,24.0,
Telangana,Kamareddy,,,,,,,,,,,,,,,,,,,,,12.0,24.0,
Telangana,Kumuram Bheem Asifabad,,,,,,,,,,,,,,,,,,,,,,,21.0
Telangana,Mahabubnagar,,,,,,8.45,,,,,,10.0,,14.5,13.5,,,,,,,,
Telangana,Medak,3.75,3.53,5.41,8.76,3.07,8.42,15.13,,9.81,12.35,11.61,9.04,,12.96,12.04,11.86,9.69,,18.55,12.5,12.21,12.65,20.75
Telangana,Medchal Malkajgiri,,,,,,,,,,,,,,,,,12.0,,,,,24.0,
Telangana,Nagarkurnool,,,,,,,,,,,,,,,,,10.15,12.0,,,12.0,,21.0
Telangana,Nizamabad,3.8,,,,,,,,,,,,,,,,,,,,,,
Telangana,Rajanna Sircilla,,,,,,,,,,,,,,,,,,,,,,24.0,
Telangana,Ranga Reddy,3.66,3.53,5.41,8.76,3.07,8.42,15.13,,9.81,13.22,11.21,11.29,,16.67,19.22,15.74,11.9,12.0,18.59,12.67,12.14,24.08,18.0
Telangana,Sangareddy,,,,,,,,,,,,,,,,,9.71,13.63,23.52,14.37,11.59,18.94,19.53
