state,district,year,arecanut_whole_year_yield_tonne_per_hectare
,,2008 - 2009,6.73
,,2009 - 2010,6.73
,,2010 - 2011,10.81
,,2011 - 2012,8.1
,,2012 - 2013,8.03
,,2013 - 2014,11.14
,,2014 - 2015,9.25
,,2015 - 2016,9.8
,,2016 - 2017,10.16
,,2017 - 2018,10.85
,,2018 - 2019,8.93
,,2019 - 2020,10.81
,,2020 - 2021,11.26
,,2021 - 2022,8.55
,,2022 - 2023,8.2
,Kolar,2000 - 2001,1.4
,,2001 - 2002,1.4
,,2003 - 2004,1.4
,,2004 - 2005,1.41
,,2005 - 2006,6.74
,,2006 - 2007,1.41
,,2018 - 2019,9.0
,,2019 - 2020,10.75
,,2020 - 2021,11.25
,,2021 - 2022,11.0
,,2022 - 2023,4.93
,Koppal,2020 - 2021,11.25
,,2021 - 2022,11.0
,,2022 - 2023,5.09
,Mandya,2000 - 2001,1.4
,,2001 - 2002,1.4
,,2003 - 2004,1.4
,,2004 - 2005,1.4
,,2005 - 2006,6.73
,,2006 - 2007,1.4
,,2007 - 2008,6.74
,,2008 - 2009,6.74
,,2009 - 2010,6.73
,,2010 - 2011,10.81
,,2011 - 2012,8.1
,,2012 - 2013,8.03
,,2013 - 2014,11.14
,,2014 - 2015,9.25
,,2015 - 2016,9.8
,,2016 - 2017,10.16
,,2017 - 2018,10.85
,,2018 - 2019,8.93
,,2019 - 2020,10.81
,,2020 - 2021,11.26
,,2021 - 2022,11.18
,,2022 - 2023,5.75
,Mysore,2000 - 2001,0.71
,,2001 - 2002,0.71
,,2003 - 2004,0.71
,,2004 - 2005,0.71
,,2005 - 2006,3.51
,,2006 - 2007,0.71
,,2007 - 2008,3.51
,,2008 - 2009,3.51
,,2009 - 2010,3.51
,,2010 - 2011,10.81
,,2011 - 2012,8.1
,,2012 - 2013,8.03
,,2013 - 2014,11.14
,,2014 - 2015,9.25
,,2015 - 2016,9.8
,,2016 - 2017,10.16
,,2017 - 2018,10.85
,,2018 - 2019,8.93
,,2019 - 2020,10.81
,,2020 - 2021,11.26
,,2021 - 2022,11.18
,,2022 - 2023,6.5
,Ramanagara,2007 - 2008,6.74
,,2008 - 2009,6.73
,,2009 - 2010,6.73
,,2010 - 2011,10.81
,,2011 - 2012,8.1
,,2012 - 2013,8.03
,,2013 - 2014,11.14
,,2014 - 2015,9.25
,,2015 - 2016,9.8
,,2016 - 2017,10.16
,,2017 - 2018,10.85
,,2018 - 2019,8.93
,,2019 - 2020,10.81
,,2020 - 2021,11.26
,,2021 - 2022,11.18
,,2022 - 2023,5.05
,Shimoga,2000 - 2001,1.5
,,2001 - 2002,1.5
,,2003 - 2004,1.5
,,2004 - 2005,1.5
,,2005 - 2006,7.15
,,2006 - 2007,1.5
,,2007 - 2008,7.15
,,2008 - 2009,7.15
,,2009 - 2010,7.15
,,2010 - 2011,8.58
,,2011 - 2012,5.36
,,2012 - 2013,5.36
,,2013 - 2014,11.13
,,2014 - 2015,7.48
,,2015 - 2016,9.62
,,2016 - 2017,11.39
,,2017 - 2018,10.97
,,2018 - 2019,9.18
,,2019 - 2020,9.85
,,2020 - 2021,11.79
,,2021 - 2022,10.64
,,2022 - 2023,6.4
,Tumkur,2000 - 2001,1.23
,,2001 - 2002,1.23
,,2003 - 2004,1.23
,,2004 - 2005,1.23
,,2005 - 2006,5.66
,,2006 - 2007,1.23
,,2007 - 2008,5.66
,,2008 - 2009,5.66
,,2009 - 2010,5.66
,,2010 - 2011,8.95
,,2011 - 2012,7.31
,,2012 - 2013,7.31
,,2013 - 2014,8.22
,,2014 - 2015,9.61
,,2015 - 2016,10.12
,,2016 - 2017,7.37
,,2017 - 2018,8.32
,,2018 - 2019,9.09
,,2019 - 2020,10.81
,,2020 - 2021,11.91
,,2021 - 2022,11.62
,,2022 - 2023,6.3
,Udupi,2000 - 2001,1.78
,,2001 - 2002,1.78
,,2003 - 2004,1.78
,,2004 - 2005,1.78
,,2005 - 2006,8.37
,,2006 - 2007,1.78
,,2007 - 2008,8.37
,,2008 - 2009,8.37
,,2009 - 2010,8.37
,,2010 - 2011,12.28
,,2011 - 2012,7.79
,,2012 - 2013,7.79
,,2013 - 2014,7.88
,,2014 - 2015,13.94
,,2015 - 2016,19.21
,,2016 - 2017,10.22
,,2017 - 2018,14.12
,,2018 - 2019,7.47
,,2019 - 2020,8.43
,,2020 - 2021,12.01
,,2021 - 2022,15.61
,,2022 - 2023,8.5
,Uttar kannad,2000 - 2001,1.36
,,2001 - 2002,1.36
,,2003 - 2004,1.36
,,2004 - 2005,1.36
,,2005 - 2006,6.48
,,2006 - 2007,1.36
,,2007 - 2008,6.48
,,2008 - 2009,6.48
,,2009 - 2010,6.48
,,2010 - 2011,13.97
,,2011 - 2012,14.08
,,2012 - 2013,14.08
,,2013 - 2014,11.14
,,2014 - 2015,12.69
,,2015 - 2016,13.21
,,2016 - 2017,13.31
,,2017 - 2018,11.9
,,2018 - 2019,14.08
,,2019 - 2020,14.32
,,2020 - 2021,14.34
,,2021 - 2022,14.5
,,2022 - 2023,12.95
,Vijayanagar,2022 - 2023,8.15
,Yadgir,2021 - 2022,11.0
Kerala,Alappuzha,2000 - 2001,0.42
,,2001 - 2002,0.33
,,2002 - 2003,0.42
,,2003 - 2004,0.4
,,2004 - 2005,0.42
,,2005 - 2006,0.4
,,2006 - 2007,0.33
,,2007 - 2008,0.41
,,2008 - 2009,0.61
,,2009 - 2010,0.59
,,2010 - 2011,0.48
,,2011 - 2012,0.41
,,2012 - 2013,0.49
,,2013 - 2014,0.39
,,2014 - 2015,0.48
,,2015 - 2016,0.35
,,2016 - 2017,0.33
,,2017 - 2018,0.27
,,2018 - 2019,0.28
,,2019 - 2020,0.27
,,2020 - 2021,0.29
,,2021 - 2022,0.29
,,2022 - 2023,0.31
,Ernakulam,2000 - 2001,0.79
,,2001 - 2002,0.77
,,2002 - 2003,0.76
,,2003 - 2004,0.72
,,2004 - 2005,0.75
,,2005 - 2006,1.07
,,2006 - 2007,1.02
,,2007 - 2008,1.23
,,2008 - 2009,1.16
,,2009 - 2010,1.1
,,2010 - 2011,1.07
,,2011 - 2012,0.94
,,2012 - 2013,0.85
,,2013 - 2014,0.88
,,2014 - 2015,1.1
,,2015 - 2016,0.84
,,2016 - 2017,0.76
,,2017 - 2018,0.7
,,2018 - 2019,0.74
,,2019 - 2020,0.72
,,2020 - 2021,0.63
,,2021 - 2022,0.74
,,2022 - 2023,0.7
,Idukki,2000 - 2001,1.03
,,2001 - 2002,0.87
,,2002 - 2003,0.94
,,2003 - 2004,0.95
,,2004 - 2005,1.07
,,2005 - 2006,1.16
,,2006 - 2007,1.48
,,2007 - 2008,1.13
,,2008 - 2009,1.19
,,2009 - 2010,1.14
,,2010 - 2011,0.71
,,2011 - 2012,0.93
,,2012 - 2013,0.93
,,2013 - 2014,0.75
,,2014 - 2015,0.77
,,2015 - 2016,0.71
,,2016 - 2017,0.98
,,2017 - 2018,0.84
,,2018 - 2019,0.78
,,2019 - 2020,0.35
,,2020 - 2021,1.06
,,2021 - 2022,1.0
,,2022 - 2023,0.85
,Kannur,2000 - 2001,0.97
,,2001 - 2002,0.99
,,2002 - 2003,1.04
,,2003 - 2004,1.09
,,2004 - 2005,1.07
,,2005 - 2006,1.17
,,2006 - 2007,1.11
,,2007 - 2008,0.94
,,2008 - 2009,1.27
,,2009 - 2010,1.27
,,2010 - 2011,1.03
,,2011 - 2012,1.3
,,2012 - 2013,1.27
,,2013 - 2014,1.22
,,2014 - 2015,1.16
,,2015 - 2016,1.51
,,2016 - 2017,1.33
,,2017 - 2018,1.27
,,2018 - 2019,1.02
,,2019 - 2020,0.8
,,2020 - 2021,0.84
,,2021 - 2022,0.94
,,2022 - 2023,0.9
,Kasaragod,2000 - 2001,1.95
,,2001 - 2002,1.5
,,2002 - 2003,2.0
,,2003 - 2004,1.87
,,2004 - 2005,1.82
,,2005 - 2006,1.86
,,2006 - 2007,2.37
,,2007 - 2008,2.89
,,2008 - 2009,2.51
,,2009 - 2010,1.81
,,2010 - 2011,1.67
,,2011 - 2012,1.95
,,2012 - 2013,1.94
,,2013 - 2014,1.73
,,2014 - 2015,2.74
,,2015 - 2016,2.7
,,2016 - 2017,2.66
,,2017 - 2018,2.34
,,2018 - 2019,2.15
,,2019 - 2020,2.13
,,2020 - 2021,2.03
,,2021 - 2022,2.51
,,2022 - 2023,2.15
,Kollam,2000 - 2001,0.47
,,2001 - 2002,0.55
,,2002 - 2003,0.68
,,2003 - 2004,0.59
,,2004 - 2005,0.55
,,2005 - 2006,0.72
,,2006 - 2007,0.71
,,2007 - 2008,0.6
,,2008 - 2009,0.75
,,2009 - 2010,0.75
,,2010 - 2011,0.58
,,2011 - 2012,0.82
,,2012 - 2013,0.61
,,2013 - 2014,0.65
,,2014 - 2015,0.76
,,2015 - 2016,0.55
,,2016 - 2017,0.61
,,2017 - 2018,0.65
,,2018 - 2019,0.65
,,2019 - 2020,0.52
,,2020 - 2021,0.67
,,2021 - 2022,0.66
,,2022 - 2023,0.57
,Kottayam,2000 - 2001,0.56
,,2001 - 2002,0.46
,,2002 - 2003,0.61
,,2003 - 2004,0.64
,,2004 - 2005,0.6
,,2005 - 2006,0.58
,,2006 - 2007,0.75
,,2007 - 2008,0.85
,,2008 - 2009,0.73
,,2009 - 2010,0.77
,,2010 - 2011,0.74
,,2011 - 2012,0.73
,,2012 - 2013,0.65
,,2013 - 2014,0.7
,,2014 - 2015,0.77
,,2015 - 2016,0.69
,,2016 - 2017,0.71
,,2017 - 2018,0.76
,,2018 - 2019,0.78
,,2019 - 2020,0.47
,,2020 - 2021,0.79
,,2021 - 2022,0.72
,,2022 - 2023,0.7
,Kozhikode,2000 - 2001,1.43
,,2001 - 2002,1.15
,,2002 - 2003,1.47
,,2003 - 2004,1.24
,,2004 - 2005,1.07
,,2005 - 2006,1.16
,,2006 - 2007,0.97
,,2007 - 2008,1.09
,,2008 - 2009,1.4
,,2009 - 2010,1.26
,,2010 - 2011,0.91
,,2011 - 2012,1.07
,,2012 - 2013,0.96
,,2013 - 2014,0.9
,,2014 - 2015,1.13
,,2015 - 2016,1.02
,,2016 - 2017,0.72
,,2017 - 2018,1.0
,,2018 - 2019,0.84
,,2019 - 2020,0.63
,,2020 - 2021,0.95
,,2021 - 2022,0.81
,,2022 - 2023,0.78
,Malappuram,2000 - 2001,0.61
,,2001 - 2002,0.63
,,2002 - 2003,0.89
,,2003 - 2004,0.78
,,2004 - 2005,0.86
,,2005 - 2006,0.78
,,2006 - 2007,0.95
,,2007 - 2008,1.0
,,2008 - 2009,1.17
,,2009 - 2010,1.28
,,2010 - 2011,0.88
,,2011 - 2012,1.16
,,2012 - 2013,1.4
,,2013 - 2014,1.01
,,2014 - 2015,1.2
,,2015 - 2016,1.31
,,2016 - 2017,0.9
,,2017 - 2018,0.89
,,2018 - 2019,0.81
,,2019 - 2020,0.66
,,2020 - 2021,0.79
,,2021 - 2022,0.96
,,2022 - 2023,0.9
,Palakkad,2000 - 2001,0.67
,,2001 - 2002,1.0
,,2002 - 2003,1.16
,,2003 - 2004,1.11
,,2004 - 2005,0.97
,,2005 - 2006,0.97
,,2006 - 2007,0.72
,,2007 - 2008,0.69
,,2008 - 2009,1.29
,,2009 - 2010,1.13
,,2010 - 2011,0.96
,,2011 - 2012,1.25
,,2012 - 2013,0.93
,,2013 - 2014,0.88
,,2014 - 2015,0.94
,,2015 - 2016,0.99
,,2016 - 2017,0.83
,,2017 - 2018,0.84
,,2018 - 2019,0.8
,,2019 - 2020,0.75
,,2020 - 2021,0.78
,,2021 - 2022,0.7
,,2022 - 2023,0.69
,Pathanamthitta,2000 - 2001,0.84
,,2001 - 2002,0.8
,,2002 - 2003,0.98
,,2003 - 2004,0.87
,,2004 - 2005,0.83
,,2005 - 2006,1.12
,,2006 - 2007,0.75
,,2007 - 2008,0.49
,,2008 - 2009,0.51
,,2009 - 2010,0.56
,,2010 - 2011,0.6
,,2011 - 2012,0.62
,,2012 - 2013,0.64
,,2013 - 2014,0.69
,,2014 - 2015,0.71
,,2015 - 2016,0.63
,,2016 - 2017,0.54
,,2017 - 2018,0.61
,,2018 - 2019,0.63
,,2019 - 2020,0.55
,,2020 - 2021,0.7
,,2021 - 2022,0.7
,,2022 - 2023,0.6
,Thiruvananthapuram,2000 - 2001,0.49
,,2001 - 2002,0.45
,,2002 - 2003,0.43
,,2003 - 2004,0.4
,,2004 - 2005,0.43
,,2005 - 2006,0.55
,,2006 - 2007,0.73
,,2007 - 2008,0.54
,,2008 - 2009,0.6
,,2009 - 2010,0.52
,,2010 - 2011,0.6
,,2011 - 2012,0.51
,,2012 - 2013,0.56
,,2013 - 2014,0.48
,,2014 - 2015,0.58
,,2015 - 2016,0.62
,,2016 - 2017,0.6
,,2017 - 2018,0.56
,,2018 - 2019,0.51
,,2019 - 2020,0.4
,,2020 - 2021,0.36
,,2021 - 2022,0.37
,,2022 - 2023,0.36
,Thrissur,2000 - 2001,0.88
,,2001 - 2002,0.92
,,2002 - 2003,0.92
,,2003 - 2004,0.9
,,2004 - 2005,0.96
,,2005 - 2006,1.31
,,2006 - 2007,0.74
,,2007 - 2008,0.66
,,2008 - 2009,1.0
,,2009 - 2010,0.99
,,2010 - 2011,0.68
,,2011 - 2012,0.67
,,2012 - 2013,0.81
,,2013 - 2014,0.66
,,2014 - 2015,0.77
,,2015 - 2016,0.97
,,2016 - 2017,0.8
,,2017 - 2018,0.78
,,2018 - 2019,0.84
,,2019 - 2020,0.76
,,2020 - 2021,0.75
,,2021 - 2022,0.73
,,2022 - 2023,0.72
,Wayanad,2000 - 2001,0.45
,,2001 - 2002,0.4
,,2002 - 2003,0.45
,,2003 - 2004,0.48
,,2004 - 2005,0.56
,,2005 - 2006,0.57
,,2006 - 2007,0.44
,,2007 - 2008,0.38
,,2008 - 2009,0.47
,,2009 - 2010,0.5
,,2010 - 2011,0.68
,,2011 - 2012,0.52
,,2012 - 2013,0.5
,,2013 - 2014,0.33
,,2014 - 2015,0.52
,,2015 - 2016,0.55
,,2016 - 2017,0.6
,,2017 - 2018,0.4
,,2018 - 2019,0.31
,,2019 - 2020,0.43
,,2020 - 2021,0.93
,,2021 - 2022,0.36
,,2022 - 2023,0.33
Meghalaya,East garo hills,2000 - 2001,1.12
,,2001 - 2002,1.11
,,2003 - 2004,1.12
,,2004 - 2005,1.13
,,2005 - 2006,1.13
,,2006 - 2007,
,,2008 - 2009,1.14
,,2009 - 2010,1.14
,,2010 - 2011,1.13
,,2011 - 2012,1.15
,,2012 - 2013,1.19
,,2013 - 2014,1.19
,,2014 - 2015,1.24
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,East jaintia hills,2000 - 2001,1.99
,,2001 - 2002,2.0
,,2003 - 2004,2.0
,,2004 - 2005,2.0
,,2005 - 2006,2.01
,,2006 - 2007,
,,2008 - 2009,1.75
,,2009 - 2010,1.72
,,2010 - 2011,1.44
,,2011 - 2012,1.46
,,2012 - 2013,1.5
,,2013 - 2014,1.18
,,2014 - 2015,1.17
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,East khasi hills,2000 - 2001,0.98
,,2001 - 2002,1.05
,,2003 - 2004,1.06
,,2004 - 2005,1.05
,,2005 - 2006,1.05
,,2006 - 2007,
,,2008 - 2009,1.05
,,2009 - 2010,1.05
,,2010 - 2011,1.05
,,2011 - 2012,1.07
,,2012 - 2013,1.1
,,2013 - 2014,1.14
,,2014 - 2015,1.18
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,North garo hills,2013 - 2014,1.28
,,2014 - 2015,1.29
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Ri bhoi,2000 - 2001,0.63
,,2001 - 2002,0.49
,,2003 - 2004,0.55
,,2004 - 2005,0.57
,,2005 - 2006,0.56
,,2006 - 2007,
,,2008 - 2009,0.62
,,2009 - 2010,0.62
,,2010 - 2011,0.61
,,2011 - 2012,0.62
,,2012 - 2013,0.62
,,2013 - 2014,0.65
,,2014 - 2015,0.7
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,South garo hills,2000 - 2001,1.37
,,2001 - 2002,1.37
,,2003 - 2004,1.36
,,2004 - 2005,1.07
,,2005 - 2006,1.37
,,2006 - 2007,
,,2008 - 2009,1.37
,,2009 - 2010,1.37
,,2010 - 2011,1.37
,,2011 - 2012,1.43
,,2012 - 2013,1.47
,,2013 - 2014,1.52
,,2014 - 2015,1.8
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,South west garo hills,2013 - 2014,1.93
,,2014 - 2015,1.94
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,South west khasi hills,2013 - 2014,1.02
,,2014 - 2015,1.05
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,West garo hills,2000 - 2001,1.48
,,2001 - 2002,1.48
,,2003 - 2004,1.48
,,2004 - 2005,1.46
,,2005 - 2006,1.8
,,2006 - 2007,
,,2008 - 2009,1.86
,,2009 - 2010,1.91
,,2010 - 2011,1.87
,,2011 - 2012,1.89
,,2012 - 2013,1.95
,,2013 - 2014,2.05
,,2014 - 2015,2.06
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,West jaintia hills,2013 - 2014,1.61
,,2014 - 2015,1.6
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,West khasi hills,2000 - 2001,0.68
,,2001 - 2002,0.8
,,2003 - 2004,0.79
,,2004 - 2005,0.8
,,2005 - 2006,0.8
,,2006 - 2007,
,,2008 - 2009,0.92
,,2009 - 2010,0.93
,,2010 - 2011,0.95
,,2011 - 2012,0.98
,,2012 - 2013,1.01
,,2013 - 2014,1.08
,,2014 - 2015,1.16
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
Puducherry,Mahe,2000 - 2001,2.0
,,2001 - 2002,2.11
,,2003 - 2004,1.2
,,2006 - 2007,1.3
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
Tamil Nadu,Ariyalur,2018 - 2019,2.0
,,2019 - 2020,2.0
,,2022 - 2023,2.25
,Coimbatore,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,1.17
,,2005 - 2006,2.87
,,2006 - 2007,2.39
,,2007 - 2008,1.9
,,2008 - 2009,2.06
,,2009 - 2010,2.01
,,2011 - 2012,1.89
,,2013 - 2014,2.03
,,2014 - 2015,0.44
,,2015 - 2016,1.28
,,2016 - 2017,1.35
,,2017 - 2018,1.79
,,2018 - 2019,2.08
,,2019 - 2020,2.08
,,2020 - 2021,0.84
,,2021 - 2022,1.04
,,2022 - 2023,1.4
,Cuddalore,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,2.0
,,2008 - 2009,2.0
,,2009 - 2010,2.0
,,2011 - 2012,2.0
,,2017 - 2018,2.0
,,2018 - 2019,2.0
,,2019 - 2020,2.0
,,2020 - 2021,2.0
,Dharmapuri,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,1.28
,,2005 - 2006,1.53
,,2006 - 2007,3.02
,,2007 - 2008,2.69
,,2008 - 2009,2.33
,,2009 - 2010,2.29
,,2011 - 2012,3.94
,,2013 - 2014,2.15
,,2014 - 2015,6.78
,,2015 - 2016,5.11
,,2016 - 2017,3.65
,,2017 - 2018,4.95
,,2018 - 2019,1.28
,,2019 - 2020,1.28
,,2020 - 2021,1.16
,,2021 - 2022,1.0
,,2022 - 2023,1.57
,Dindigul,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,2.13
,,2005 - 2006,0.96
,,2006 - 2007,1.08
,,2007 - 2008,2.95
,,2008 - 2009,1.28
,,2009 - 2010,1.34
,,2011 - 2012,1.58
,,2013 - 2014,1.3
,,2014 - 2015,0.44
,,2015 - 2016,0.84
,,2016 - 2017,0.22
,,2017 - 2018,0.81
,,2018 - 2019,2.2
,,2019 - 2020,2.2
,,2020 - 2021,0.65
,,2021 - 2022,0.29
,,2022 - 2023,1.25
,Erode,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,1.17
,,2005 - 2006,2.75
,,2006 - 2007,4.36
,,2007 - 2008,3.31
,,2008 - 2009,3.12
,,2009 - 2010,1.55
,,2011 - 2012,4.3
,,2013 - 2014,2.21
,,2014 - 2015,1.46
,,2015 - 2016,2.15
,,2016 - 2017,1.76
,,2017 - 2018,2.05
,,2018 - 2019,1.36
,,2019 - 2020,1.36
,,2020 - 2021,1.01
,,2021 - 2022,1.35
,,2022 - 2023,2.53
,Kallakurichi,2020 - 2021,2.89
,,2021 - 2022,2.97
,,2022 - 2023,2.58
,Kanniyakumari,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,2.53
,,2005 - 2006,2.23
,,2006 - 2007,2.25
,,2007 - 2008,1.2
,,2008 - 2009,1.54
,,2009 - 2010,1.6
,,2011 - 2012,0.39
,,2013 - 2014,0.81
,,2014 - 2015,1.48
,,2015 - 2016,3.33
,,2016 - 2017,0.12
,,2017 - 2018,3.07
,,2018 - 2019,0.74
,,2019 - 2020,0.74
,,2020 - 2021,0.66
,,2021 - 2022,0.13
,,2022 - 2023,0.43
,Karur,2003 - 2004,0.0
,,2004 - 2005,1.0
,,2005 - 2006,0.5
,,2006 - 2007,1.0
,,2007 - 2008,2.0
,,2008 - 2009,2.0
,,2009 - 2010,2.0
,,2011 - 2012,2.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2018 - 2019,2.0
,,2019 - 2020,2.0
,,2020 - 2021,2.0
,,2021 - 2022,1.0
,,2022 - 2023,2.0
,Krishnagiri,2003 - 2004,0.0
,,2004 - 2005,1.26
,,2005 - 2006,1.74
,,2006 - 2007,1.97
,,2007 - 2008,0.81
,,2008 - 2009,0.29
,,2009 - 2010,0.16
,,2011 - 2012,1.34
,,2013 - 2014,3.0
,,2014 - 2015,2.89
,,2015 - 2016,0.39
,,2016 - 2017,1.11
,,2017 - 2018,4.92
,,2018 - 2019,0.81
,,2019 - 2020,0.81
,,2020 - 2021,0.33
,,2021 - 2022,0.13
,,2022 - 2023,0.43
,Madurai,2008 - 2009,2.0
,,2009 - 2010,2.0
,,2011 - 2012,2.0
,,2015 - 2016,2.0
,,2016 - 2017,2.0
,,2017 - 2018,2.0
,,2022 - 2023,2.0
,Mayiladuthurai,2020 - 2021,2.0
,,2021 - 2022,2.0
,,2022 - 2023,2.0
,Nagapattinam,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,1.5
,,2005 - 2006,0.5
,,2006 - 2007,0.0
,,2007 - 2008,1.0
,,2008 - 2009,2.0
,,2009 - 2010,0.0
,,2011 - 2012,2.0
,,2013 - 2014,1.0
,,2016 - 2017,0.0
,,2017 - 2018,2.0
,,2018 - 2019,2.0
,,2019 - 2020,2.0
,Namakkal,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,1.28
,,2005 - 2006,1.69
,,2006 - 2007,1.8
,,2007 - 2008,3.34
,,2008 - 2009,1.83
,,2009 - 2010,1.84
,,2011 - 2012,3.63
,,2013 - 2014,0.04
,,2014 - 2015,3.2
,,2015 - 2016,2.46
,,2016 - 2017,2.53
,,2017 - 2018,2.09
,,2018 - 2019,2.46
,,2019 - 2020,2.46
,,2020 - 2021,1.44
,,2021 - 2022,1.96
,,2022 - 2023,3.6
,Perambalur,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,1.88
,,2005 - 2006,0.25
,,2006 - 2007,0.77
,,2007 - 2008,0.85
,,2008 - 2009,2.16
,,2009 - 2010,1.91
,,2011 - 2012,2.56
,,2013 - 2014,0.17
,,2014 - 2015,0.11
,,2015 - 2016,0.08
,,2016 - 2017,3.85
,,2017 - 2018,4.36
,,2018 - 2019,3.13
,,2019 - 2020,3.13
,,2020 - 2021,1.46
,,2021 - 2022,0.51
,,2022 - 2023,1.52
,Pudukkottai,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,2.17
,,2018 - 2019,0.0
,,2020 - 2021,2.0
,,2021 - 2022,1.0
,,2022 - 2023,2.4
,Salem,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,1.28
,,2005 - 2006,1.21
,,2006 - 2007,1.87
,,2007 - 2008,2.24
,,2008 - 2009,2.37
,,2009 - 2010,2.43
,,2011 - 2012,2.92
,,2013 - 2014,0.98
,,2014 - 2015,0.55
,,2015 - 2016,1.42
,,2016 - 2017,1.94
,,2017 - 2018,1.92
,,2018 - 2019,1.86
,,2019 - 2020,1.86
,,2020 - 2021,2.78
,,2021 - 2022,2.3
,,2022 - 2023,2.59
,Thanjavur,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,1.88
,,2005 - 2006,0.83
,,2006 - 2007,2.89
,,2007 - 2008,1.75
,,2008 - 2009,0.95
,,2009 - 2010,2.11
,,2011 - 2012,0.83
,,2013 - 2014,0.45
,,2014 - 2015,1.16
,,2015 - 2016,0.39
,,2016 - 2017,0.55
,,2017 - 2018,0.33
,,2018 - 2019,1.87
,,2019 - 2020,1.87
,,2020 - 2021,1.14
,,2021 - 2022,1.2
,,2022 - 2023,1.67
,The nilgiris,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,1.11
,,2005 - 2006,0.64
,,2006 - 2007,2.04
,,2007 - 2008,2.19
,,2008 - 2009,0.2
,,2009 - 2010,0.21
,,2011 - 2012,0.94
,,2013 - 2014,0.54
,,2014 - 2015,2.06
,,2015 - 2016,0.89
,,2016 - 2017,2.07
,,2017 - 2018,2.75
,,2018 - 2019,3.67
,,2019 - 2020,3.67
,,2020 - 2021,1.9
,,2021 - 2022,0.96
,,2022 - 2023,0.94
,Theni,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,2.13
,,2005 - 2006,0.97
,,2006 - 2007,0.76
,,2007 - 2008,1.73
,,2008 - 2009,1.55
,,2009 - 2010,1.6
,,2011 - 2012,1.13
,,2013 - 2014,0.48
,,2014 - 2015,1.44
,,2015 - 2016,0.59
,,2016 - 2017,0.87
,,2017 - 2018,3.13
,,2018 - 2019,2.06
,,2019 - 2020,2.06
,,2020 - 2021,0.89
,,2021 - 2022,0.63
,,2022 - 2023,0.3
,Thenkasi,2020 - 2021,0.12
,,2021 - 2022,0.16
,,2022 - 2023,0.23
,Thiruvarur,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,1.4
,,2005 - 2006,0.83
,,2006 - 2007,1.4
,,2007 - 2008,2.0
,,2008 - 2009,2.0
,,2009 - 2010,2.0
