state,district,year,linseed_rabi_yield_tonne_per_hectare
,,2022 - 2023,0.63
,Dibrugarh,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,1.0
,,2005 - 2006,0.38
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.25
,,2009 - 2010,0.33
,,2010 - 2011,0.38
,,2011 - 2012,0.38
,,2012 - 2013,0.38
,,2020 - 2021,1.0
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Dima hasao,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.33
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,Goalpara,2000 - 2001,0.52
,,2001 - 2002,0.53
,,2002 - 2003,0.54
,,2003 - 2004,0.53
,,2004 - 2005,0.53
,,2005 - 2006,0.53
,,2006 - 2007,0.53
,,2007 - 2008,0.53
,,2008 - 2009,0.59
,,2009 - 2010,0.48
,,2010 - 2011,0.53
,,2011 - 2012,0.59
,,2012 - 2013,0.48
,,2013 - 2014,1.02
,,2014 - 2015,0.67
,,2015 - 2016,0.55
,,2016 - 2017,0.55
,,2017 - 2018,0.6
,,2018 - 2019,0.6
,,2019 - 2020,0.6
,,2020 - 2021,0.61
,,2021 - 2022,0.59
,,2022 - 2023,0.58
,Golaghat,2000 - 2001,0.57
,,2001 - 2002,0.58
,,2002 - 2003,0.58
,,2003 - 2004,0.55
,,2004 - 2005,0.56
,,2005 - 2006,0.5
,,2006 - 2007,0.57
,,2007 - 2008,0.57
,,2008 - 2009,0.5
,,2022 - 2023,0.59
,Hailakandi,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.4
,,2004 - 2005,0.4
,,2005 - 2006,0.4
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.53
,,2009 - 2010,0.5
,,2010 - 2011,0.53
,,2012 - 2013,0.6
,,2013 - 2014,0.6
,,2014 - 2015,0.6
,,2015 - 2016,0.5
,,2016 - 2017,0.6
,,2017 - 2018,0.5
,,2018 - 2019,0.6
,,2019 - 2020,0.6
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,,2022 - 2023,0.67
,Hojai,2020 - 2021,0.51
,,2021 - 2022,0.51
,,2022 - 2023,0.51
,Jorhat,2009 - 2010,0.67
,,2010 - 2011,1.0
,,2011 - 2012,0.67
,,2012 - 2013,0.5
,,2013 - 2014,0.63
,,2014 - 2015,0.6
,,2015 - 2016,1.0
,,2016 - 2017,0.75
,,2017 - 2018,0.67
,,2018 - 2019,1.0
,,2019 - 2020,0.65
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Kamrup,2000 - 2001,0.44
,,2001 - 2002,0.43
,,2002 - 2003,0.45
,,2003 - 2004,0.45
,,2004 - 2005,0.47
,,2005 - 2006,0.48
,,2006 - 2007,0.47
,,2007 - 2008,0.49
,,2008 - 2009,0.48
,,2009 - 2010,0.48
,,2010 - 2011,0.51
,,2011 - 2012,0.53
,,2012 - 2013,0.54
,,2013 - 2014,0.57
,,2014 - 2015,0.64
,,2015 - 2016,0.53
,,2016 - 2017,0.52
,,2017 - 2018,0.51
,,2018 - 2019,0.52
,,2019 - 2020,0.54
,,2020 - 2021,0.54
,,2021 - 2022,0.54
,,2022 - 2023,0.31
,Kamrup metro,2005 - 2006,0.51
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.54
,,2009 - 2010,0.51
,,2010 - 2011,0.52
,,2011 - 2012,0.58
,,2012 - 2013,0.56
,,2013 - 2014,0.57
,,2014 - 2015,0.66
,,2015 - 2016,0.57
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.67
,,2021 - 2022,0.58
,,2022 - 2023,0.5
,Karbi anglong,2000 - 2001,0.43
,,2001 - 2002,0.43
,,2002 - 2003,0.43
,,2003 - 2004,0.43
,,2004 - 2005,0.42
,,2005 - 2006,0.42
,,2006 - 2007,0.42
,,2007 - 2008,0.42
,,2008 - 2009,0.43
,,2009 - 2010,0.43
,,2010 - 2011,0.42
,,2011 - 2012,0.48
,,2012 - 2013,0.48
,,2013 - 2014,0.41
,,2014 - 2015,0.57
,,2015 - 2016,0.41
,,2016 - 2017,0.42
,,2017 - 2018,0.42
,,2018 - 2019,0.45
,,2019 - 2020,0.44
,,2020 - 2021,0.44
,,2021 - 2022,0.45
,,2022 - 2023,0.44
,Karimganj,2000 - 2001,0.4
,,2001 - 2002,0.41
,,2002 - 2003,0.39
,,2003 - 2004,0.4
,,2004 - 2005,0.4
,,2005 - 2006,0.42
,,2006 - 2007,0.4
,,2007 - 2008,0.41
,,2008 - 2009,0.43
,,2009 - 2010,0.43
,,2010 - 2011,0.43
,,2011 - 2012,0.48
,,2012 - 2013,0.52
,,2013 - 2014,0.56
,,2014 - 2015,0.59
,,2015 - 2016,0.56
,,2016 - 2017,0.56
,,2017 - 2018,0.11
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.57
,,2021 - 2022,0.57
,,2022 - 2023,0.46
,Kokrajhar,2000 - 2001,0.5
,,2001 - 2002,0.49
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.49
,,2005 - 2006,0.49
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.43
,,2009 - 2010,0.47
,,2010 - 2011,0.53
,,2011 - 2012,0.54
,,2012 - 2013,0.57
,,2013 - 2014,0.6
,,2014 - 2015,0.68
,,2015 - 2016,0.57
,,2016 - 2017,0.59
,,2017 - 2018,0.58
,,2018 - 2019,0.57
,,2019 - 2020,0.58
,,2020 - 2021,0.59
,,2021 - 2022,0.6
,,2022 - 2023,0.79
,Lakhimpur,2000 - 2001,0.33
,,2001 - 2002,0.32
,,2002 - 2003,0.33
,,2003 - 2004,0.32
,,2004 - 2005,0.37
,,2005 - 2006,0.37
,,2006 - 2007,0.38
,,2007 - 2008,0.4
,,2008 - 2009,0.33
,,2009 - 2010,0.33
,,2010 - 2011,0.35
,,2011 - 2012,0.36
,,2012 - 2013,0.36
,,2013 - 2014,0.5
,,2014 - 2015,0.65
,,2015 - 2016,0.27
,,2017 - 2018,0.6
,,2018 - 2019,0.7
,,2019 - 2020,0.7
,,2020 - 2021,0.62
,,2021 - 2022,0.53
,Majuli,2020 - 2021,0.53
,,2021 - 2022,0.65
,,2022 - 2023,0.55
,Marigaon,2000 - 2001,0.48
,,2001 - 2002,0.47
,,2002 - 2003,0.47
,,2003 - 2004,0.47
,,2004 - 2005,0.47
,,2005 - 2006,0.47
,,2006 - 2007,0.47
,,2007 - 2008,0.47
,,2008 - 2009,0.51
,,2009 - 2010,0.48
,,2010 - 2011,0.49
,,2011 - 2012,0.52
,,2012 - 2013,0.53
,,2013 - 2014,0.55
,,2014 - 2015,0.63
,,2015 - 2016,0.48
,,2016 - 2017,0.48
,,2017 - 2018,0.48
,,2018 - 2019,0.48
,,2019 - 2020,0.41
,,2020 - 2021,0.41
,,2021 - 2022,0.41
,,2022 - 2023,0.24
,Nagaon,2000 - 2001,0.45
,,2001 - 2002,0.45
,,2002 - 2003,0.45
,,2003 - 2004,0.45
,,2004 - 2005,0.45
,,2005 - 2006,0.45
,,2006 - 2007,0.45
,,2007 - 2008,0.45
,,2008 - 2009,0.45
,,2009 - 2010,0.45
,,2010 - 2011,0.45
,,2011 - 2012,0.5
,,2012 - 2013,0.54
,,2013 - 2014,0.6
,,2014 - 2015,0.63
,,2015 - 2016,0.89
,,2016 - 2017,0.78
,,2017 - 2018,0.6
,,2018 - 2019,0.47
,,2019 - 2020,0.48
,,2020 - 2021,0.49
,,2021 - 2022,0.48
,,2022 - 2023,0.47
,Nalbari,2000 - 2001,0.57
,,2001 - 2002,0.58
,,2002 - 2003,0.58
,,2003 - 2004,0.58
,,2004 - 2005,0.58
,,2005 - 2006,0.58
,,2006 - 2007,0.58
,,2007 - 2008,0.58
,,2008 - 2009,0.59
,,2009 - 2010,0.58
,,2010 - 2011,0.58
,,2011 - 2012,0.64
,,2012 - 2013,0.69
,,2013 - 2014,0.65
,,2014 - 2015,0.81
,,2015 - 2016,0.58
,,2016 - 2017,0.68
,,2017 - 2018,0.72
,,2018 - 2019,0.68
,,2019 - 2020,0.69
,,2020 - 2021,0.69
,,2021 - 2022,0.63
,,2022 - 2023,0.64
,Sivasagar,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,0.33
,,2005 - 2006,1.0
,,2007 - 2008,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,Sonitpur,2000 - 2001,0.44
,,2001 - 2002,0.44
,,2002 - 2003,0.44
,,2003 - 2004,0.44
,,2004 - 2005,0.45
,,2005 - 2006,0.45
,,2006 - 2007,0.48
,,2007 - 2008,0.47
,,2008 - 2009,0.48
,,2009 - 2010,0.48
,,2010 - 2011,0.84
,,2011 - 2012,0.53
,,2012 - 2013,0.58
,,2013 - 2014,0.66
,,2014 - 2015,0.68
,,2015 - 2016,0.61
,,2016 - 2017,0.65
,,2017 - 2018,0.46
,,2018 - 2019,0.62
,,2019 - 2020,0.7
,,2020 - 2021,0.65
,,2021 - 2022,0.64
,,2022 - 2023,0.64
,South salmara mancachar,2020 - 2021,0.75
,,2021 - 2022,0.75
,,2022 - 2023,0.43
,Tinsukia,2002 - 2003,0.5
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,0.5
,,2015 - 2016,0.4
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.4
,Udalguri,2005 - 2006,0.4
,,2006 - 2007,0.41
,,2007 - 2008,0.41
,,2008 - 2009,0.46
,,2009 - 2010,0.42
,,2010 - 2011,0.43
,,2011 - 2012,0.46
,,2012 - 2013,0.5
,,2013 - 2014,0.56
,,2014 - 2015,0.58
,,2015 - 2016,0.43
,,2016 - 2017,0.61
,,2017 - 2018,0.65
,,2018 - 2019,0.66
,,2019 - 2020,0.75
,,2020 - 2021,0.73
,,2021 - 2022,0.72
,,2022 - 2023,0.65
,West karbi anglong,2020 - 2021,0.27
,,2021 - 2022,0.4
,,2022 - 2023,0.43
Bihar,Araria,2000 - 2001,0.65
,,2001 - 2002,0.55
,,2002 - 2003,0.76
,,2003 - 2004,0.78
,,2004 - 2005,0.74
,,2005 - 2006,0.86
,,2006 - 2007,0.85
,,2007 - 2008,0.87
,,2008 - 2009,0.85
,,2009 - 2010,0.85
,,2010 - 2011,0.82
,,2011 - 2012,0.87
,,2012 - 2013,0.87
,,2013 - 2014,0.85
,,2016 - 2017,0.83
,Arwal,2003 - 2004,0.78
,,2004 - 2005,0.84
,,2005 - 2006,0.86
,,2007 - 2008,0.83
,,2008 - 2009,0.84
,,2009 - 2010,0.85
,,2010 - 2011,0.82
,,2011 - 2012,0.86
,,2012 - 2013,0.87
,,2013 - 2014,0.85
,,2014 - 2015,0.86
,,2015 - 2016,0.85
,,2016 - 2017,0.83
,,2017 - 2018,0.85
,,2018 - 2019,0.85
,,2019 - 2020,0.84
,,2020 - 2021,0.86
,,2021 - 2022,0.85
,Aurangabad,2000 - 2001,0.63
,,2001 - 2002,0.71
,,2002 - 2003,0.76
,,2003 - 2004,0.78
,,2004 - 2005,0.84
,,2005 - 2006,0.86
,,2006 - 2007,0.85
,,2007 - 2008,0.82
,,2008 - 2009,0.85
,,2009 - 2010,0.85
,,2010 - 2011,0.82
,,2011 - 2012,0.86
,,2012 - 2013,0.87
,,2013 - 2014,0.85
,,2014 - 2015,0.86
,,2015 - 2016,0.85
,,2016 - 2017,0.83
,,2017 - 2018,0.85
,,2018 - 2019,0.84
,,2019 - 2020,0.84
,,2020 - 2021,0.85
,,2021 - 2022,0.85
,,2022 - 2023,0.86
,Banka,2000 - 2001,0.68
,,2001 - 2002,0.71
,,2002 - 2003,0.76
,,2003 - 2004,0.78
,,2004 - 2005,0.84
,,2005 - 2006,0.87
,,2006 - 2007,0.85
,,2007 - 2008,0.83
,,2008 - 2009,0.85
,,2009 - 2010,0.85
,,2010 - 2011,0.82
,,2011 - 2012,0.86
,,2012 - 2013,0.87
,,2013 - 2014,0.85
,,2014 - 2015,0.86
,,2015 - 2016,0.86
,,2016 - 2017,0.83
,,2017 - 2018,0.85
,,2018 - 2019,0.85
,,2019 - 2020,0.84
,,2020 - 2021,0.85
,,2021 - 2022,0.84
,,2022 - 2023,0.86
,Begusarai,2001 - 2002,0.75
,,2003 - 2004,0.78
,,2004 - 2005,0.89
,,2005 - 2006,0.79
,,2006 - 2007,0.8
,,2009 - 2010,0.85
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2022 - 2023,1.0
,Bhagalpur,2000 - 2001,0.68
,,2001 - 2002,0.71
,,2002 - 2003,0.76
,,2003 - 2004,0.78
,,2004 - 2005,0.84
,,2005 - 2006,0.87
,,2006 - 2007,0.85
,,2007 - 2008,0.82
,,2008 - 2009,0.85
,,2009 - 2010,0.85
,,2010 - 2011,0.82
,,2011 - 2012,0.87
,,2012 - 2013,0.87
,,2013 - 2014,0.85
,,2014 - 2015,0.86
,,2015 - 2016,0.86
,,2016 - 2017,0.83
,,2017 - 2018,0.85
,,2018 - 2019,0.85
