state,district,year,linseed_rabi_yield_tonne_per_hectare
,,2015 - 2016,0.86
,,2016 - 2017,0.84
,,2017 - 2018,0.85
,,2018 - 2019,0.85
,,2019 - 2020,0.84
,,2020 - 2021,0.85
,,2021 - 2022,0.84
,,2022 - 2023,0.79
,Madhubani,2000 - 2001,0.83
,,2001 - 2002,0.65
,,2002 - 2003,0.6
,,2003 - 2004,0.78
,,2004 - 2005,0.84
,,2005 - 2006,0.86
,,2006 - 2007,0.85
,,2007 - 2008,0.82
,,2008 - 2009,0.85
,,2009 - 2010,0.85
,,2010 - 2011,0.82
,,2011 - 2012,0.87
,,2012 - 2013,0.87
,,2013 - 2014,0.85
,,2014 - 2015,0.86
,,2015 - 2016,0.86
,,2016 - 2017,0.87
,,2017 - 2018,0.85
,,2018 - 2019,0.85
,,2019 - 2020,0.86
,,2020 - 2021,0.86
,,2021 - 2022,0.86
,,2022 - 2023,0.85
,Munger,2000 - 2001,0.68
,,2001 - 2002,0.7
,,2002 - 2003,0.76
,,2003 - 2004,0.74
,,2004 - 2005,0.84
,,2005 - 2006,0.82
,,2006 - 2007,0.82
,,2007 - 2008,0.82
,,2008 - 2009,0.82
,,2009 - 2010,0.85
,,2010 - 2011,0.82
,,2011 - 2012,0.87
,,2012 - 2013,0.87
,,2013 - 2014,0.85
,,2014 - 2015,0.86
,,2015 - 2016,0.92
,,2016 - 2017,0.78
,,2017 - 2018,0.85
,,2018 - 2019,0.85
,,2019 - 2020,0.83
,,2020 - 2021,0.84
,,2021 - 2022,0.81
,,2022 - 2023,0.98
,Muzaffarpur,2000 - 2001,0.46
,,2001 - 2002,0.71
,,2002 - 2003,0.76
,,2003 - 2004,0.78
,,2004 - 2005,0.84
,,2005 - 2006,0.85
,,2006 - 2007,0.85
,,2007 - 2008,0.84
,,2008 - 2009,0.84
,,2010 - 2011,0.82
,,2011 - 2012,0.87
,,2012 - 2013,0.87
,,2013 - 2014,0.85
,,2014 - 2015,0.87
,,2015 - 2016,0.86
,,2016 - 2017,0.87
,,2017 - 2018,0.84
,,2018 - 2019,0.88
,,2019 - 2020,0.85
,,2020 - 2021,0.85
,,2021 - 2022,0.85
,,2022 - 2023,0.86
,Nalanda,2000 - 2001,0.54
,,2001 - 2002,0.83
,,2002 - 2003,0.82
,,2003 - 2004,0.79
,,2004 - 2005,0.95
,,2005 - 2006,0.85
,,2006 - 2007,0.85
,,2007 - 2008,0.83
,,2008 - 2009,0.86
,,2009 - 2010,0.82
,,2011 - 2012,0.8
,,2013 - 2014,0.82
,,2014 - 2015,0.86
,,2015 - 2016,0.85
,,2016 - 2017,0.83
,,2017 - 2018,0.71
,,2018 - 2019,0.85
,,2019 - 2020,0.85
,,2020 - 2021,0.85
,,2021 - 2022,0.85
,Nawada,2000 - 2001,0.63
,,2001 - 2002,0.71
,,2002 - 2003,0.76
,,2003 - 2004,0.78
,,2004 - 2005,0.84
,,2005 - 2006,0.86
,,2006 - 2007,0.85
,,2007 - 2008,0.83
,,2008 - 2009,0.85
,,2009 - 2010,0.85
,,2010 - 2011,0.82
,,2011 - 2012,0.86
,,2012 - 2013,0.87
,,2013 - 2014,0.85
,,2014 - 2015,0.86
,,2015 - 2016,0.85
,,2016 - 2017,0.83
,,2017 - 2018,0.85
,,2018 - 2019,0.85
,,2019 - 2020,0.84
,,2020 - 2021,0.84
,,2021 - 2022,0.84
,,2022 - 2023,0.86
,Pashchim champaran,2000 - 2001,0.93
,,2001 - 2002,0.71
,,2002 - 2003,0.76
,,2003 - 2004,0.78
,,2004 - 2005,0.84
,,2005 - 2006,0.86
,,2006 - 2007,0.85
,,2007 - 2008,0.84
,,2008 - 2009,0.84
,,2009 - 2010,0.85
,,2010 - 2011,0.82
,,2011 - 2012,0.86
,,2012 - 2013,0.87
,,2013 - 2014,0.85
,,2014 - 2015,0.86
,,2015 - 2016,0.86
,,2016 - 2017,0.88
,,2017 - 2018,0.85
,,2018 - 2019,0.86
,,2019 - 2020,0.86
,,2020 - 2021,0.85
,,2021 - 2022,0.86
,,2022 - 2023,0.86
,Patna,2000 - 2001,0.7
,,2001 - 2002,0.83
,,2002 - 2003,0.59
,,2003 - 2004,0.52
,,2004 - 2005,0.95
,,2005 - 2006,0.85
,,2006 - 2007,0.85
,,2007 - 2008,0.85
,,2008 - 2009,0.85
,,2009 - 2010,0.85
,,2010 - 2011,0.82
,,2011 - 2012,0.86
,,2012 - 2013,0.87
,,2013 - 2014,0.85
,,2014 - 2015,0.86
,,2015 - 2016,0.86
,,2016 - 2017,0.83
,,2017 - 2018,0.86
,,2018 - 2019,0.84
,,2019 - 2020,0.84
,,2020 - 2021,0.85
,,2021 - 2022,0.86
,,2022 - 2023,0.86
,Purbi champaran,2000 - 2001,0.82
,,2001 - 2002,0.71
,,2003 - 2004,0.78
,,2004 - 2005,0.84
,,2005 - 2006,0.86
,,2006 - 2007,0.85
,,2007 - 2008,0.84
,,2008 - 2009,0.84
,,2009 - 2010,0.85
,,2010 - 2011,0.82
,,2011 - 2012,0.87
,,2012 - 2013,0.86
,,2013 - 2014,0.85
,,2014 - 2015,0.86
,,2015 - 2016,0.86
,,2016 - 2017,0.88
,,2017 - 2018,0.84
,,2018 - 2019,0.87
,,2019 - 2020,0.87
,,2020 - 2021,0.86
,,2021 - 2022,0.86
,,2022 - 2023,0.87
,Purnia,2000 - 2001,0.69
,,2001 - 2002,0.31
,,2002 - 2003,0.76
,,2003 - 2004,0.78
,,2004 - 2005,0.74
,,2005 - 2006,0.86
,,2006 - 2007,0.85
,,2007 - 2008,0.79
,,2008 - 2009,0.85
,,2009 - 2010,0.85
,,2010 - 2011,0.82
,,2011 - 2012,0.87
,,2012 - 2013,0.87
,,2013 - 2014,0.85
,,2015 - 2016,0.86
,,2016 - 2017,0.83
,,2017 - 2018,0.85
,,2018 - 2019,0.84
,,2019 - 2020,0.85
,,2020 - 2021,0.82
,,2021 - 2022,0.86
,,2022 - 2023,0.85
,Rohtas,2000 - 2001,0.51
,,2001 - 2002,0.83
,,2002 - 2003,0.86
,,2003 - 2004,0.85
,,2004 - 2005,0.97
,,2005 - 2006,0.85
,,2006 - 2007,0.85
,,2007 - 2008,0.85
,,2008 - 2009,0.85
,,2009 - 2010,0.85
,,2010 - 2011,0.82
,,2011 - 2012,0.86
,,2012 - 2013,0.87
,,2013 - 2014,0.85
,,2014 - 2015,0.86
,,2015 - 2016,0.86
,,2016 - 2017,0.83
,,2017 - 2018,0.86
,,2018 - 2019,0.85
,,2019 - 2020,0.85
,,2020 - 2021,0.86
,,2021 - 2022,0.85
,,2022 - 2023,1.0
,Saharsa,2000 - 2001,0.64
,,2001 - 2002,0.74
,,2002 - 2003,0.74
,,2003 - 2004,0.78
,,2004 - 2005,0.84
,,2005 - 2006,0.87
,,2006 - 2007,0.85
,,2007 - 2008,0.83
,,2008 - 2009,0.85
,,2009 - 2010,0.85
,,2010 - 2011,0.82
,,2011 - 2012,0.87
,,2012 - 2013,0.86
,,2013 - 2014,0.85
,,2014 - 2015,0.86
,,2015 - 2016,0.86
,,2016 - 2017,0.83
,,2017 - 2018,0.85
,,2018 - 2019,0.85
,,2019 - 2020,0.84
,,2020 - 2021,0.85
,,2021 - 2022,0.85
,,2022 - 2023,0.79
,Samastipur,2000 - 2001,0.46
,,2001 - 2002,0.47
,,2002 - 2003,0.6
,,2003 - 2004,0.78
,,2004 - 2005,0.84
,,2005 - 2006,0.86
,,2006 - 2007,0.85
,,2007 - 2008,0.83
,,2008 - 2009,0.85
,,2009 - 2010,0.84
,,2010 - 2011,0.81
,,2011 - 2012,0.87
,,2012 - 2013,0.87
,,2013 - 2014,0.85
,,2014 - 2015,0.86
,,2015 - 2016,0.86
,,2016 - 2017,0.86
,,2017 - 2018,0.85
,,2018 - 2019,0.85
,,2019 - 2020,0.85
,,2020 - 2021,0.85
,,2021 - 2022,0.85
,,2022 - 2023,0.85
,Saran,2000 - 2001,1.0
,,2001 - 2002,0.99
,,2002 - 2003,0.74
,,2003 - 2004,0.78
,,2004 - 2005,0.85
,,2005 - 2006,0.85
,,2006 - 2007,0.84
,,2007 - 2008,0.82
,,2008 - 2009,0.85
,,2009 - 2010,0.86
,,2010 - 2011,0.67
,,2011 - 2012,1.0
,,2014 - 2015,0.88
,,2015 - 2016,1.0
,Sheikhpura,2000 - 2001,0.68
,,2001 - 2002,0.71
,,2002 - 2003,0.76
,,2003 - 2004,0.74
,,2004 - 2005,0.84
,,2005 - 2006,0.82
,,2006 - 2007,0.82
,,2007 - 2008,0.82
,,2008 - 2009,0.82
,,2009 - 2010,0.85
,,2010 - 2011,0.82
,,2011 - 2012,0.87
,,2012 - 2013,0.87
,,2013 - 2014,0.85
,,2014 - 2015,0.86
,,2015 - 2016,0.92
,,2016 - 2017,0.77
,,2017 - 2018,0.86
,Sheohar,2000 - 2001,0.82
,,2001 - 2002,0.71
,,2002 - 2003,0.76
,,2003 - 2004,0.78
,,2004 - 2005,0.84
,,2005 - 2006,0.86
,,2006 - 2007,0.85
,,2007 - 2008,0.84
,,2008 - 2009,0.84
,,2009 - 2010,0.85
,,2010 - 2011,0.81
,,2011 - 2012,0.88
,,2012 - 2013,0.87
,,2013 - 2014,0.85
,,2014 - 2015,0.86
,,2015 - 2016,0.87
,,2016 - 2017,0.87
,,2017 - 2018,0.85
,,2018 - 2019,0.87
,,2019 - 2020,0.86
,,2020 - 2021,0.86
,,2021 - 2022,0.86
,,2022 - 2023,0.86
,Sitamarhi,2000 - 2001,0.82
,,2001 - 2002,0.71
,,2002 - 2003,0.76
,,2003 - 2004,0.78
,,2004 - 2005,0.84
,,2005 - 2006,0.86
,,2006 - 2007,0.85
,,2007 - 2008,0.84
,,2008 - 2009,0.84
,,2009 - 2010,0.85
,,2010 - 2011,0.82
,,2011 - 2012,0.86
,,2012 - 2013,0.86
,,2013 - 2014,0.85
,,2014 - 2015,0.86
,,2015 - 2016,0.86
,,2016 - 2017,0.87
,,2017 - 2018,0.85
,,2018 - 2019,0.86
,,2019 - 2020,0.86
,,2020 - 2021,0.85
,,2021 - 2022,0.85
,,2022 - 2023,0.85
,Siwan,2000 - 2001,0.99
,,2001 - 2002,0.99
,,2002 - 2003,0.74
,,2003 - 2004,0.78
,,2004 - 2005,0.85
,,2005 - 2006,0.86
,,2006 - 2007,0.84
,,2007 - 2008,0.83
,,2008 - 2009,0.85
,,2009 - 2010,0.85
,,2010 - 2011,0.82
,,2011 - 2012,0.91
,,2012 - 2013,0.86
,,2013 - 2014,0.86
,,2014 - 2015,0.86
,,2015 - 2016,0.85
,,2016 - 2017,0.81
,,2017 - 2018,0.86
,,2018 - 2019,0.86
,,2019 - 2020,0.86
,,2020 - 2021,0.86
,,2021 - 2022,0.83
,,2022 - 2023,0.86
,Supaul,2000 - 2001,0.72
,,2001 - 2002,0.74
,,2002 - 2003,0.74
,,2003 - 2004,0.78
,,2004 - 2005,0.84
,,2005 - 2006,0.86
,,2006 - 2007,0.85
,,2007 - 2008,0.82
,,2008 - 2009,0.85
,,2009 - 2010,0.85
,,2010 - 2011,0.82
,,2011 - 2012,0.86
,,2012 - 2013,0.87
,,2013 - 2014,0.85
,,2014 - 2015,0.86
,,2015 - 2016,0.86
,,2016 - 2017,0.83
,,2017 - 2018,0.85
,,2018 - 2019,0.85
,,2019 - 2020,0.84
,,2020 - 2021,0.85
,,2021 - 2022,0.84
,,2022 - 2023,0.79
,Vaishali,2000 - 2001,0.82
,,2001 - 2002,0.71
,,2002 - 2003,0.76
,,2003 - 2004,0.79
,,2004 - 2005,0.84
,,2005 - 2006,0.86
,,2006 - 2007,0.85
,,2007 - 2008,0.83
,,2008 - 2009,0.83
,,2009 - 2010,0.84
,,2010 - 2011,0.81
,,2011 - 2012,0.88
,,2012 - 2013,0.87
,,2014 - 2015,0.85
,,2015 - 2016,0.84
,,2016 - 2017,0.86
,,2017 - 2018,0.86
,,2018 - 2019,0.86
,,2019 - 2020,0.85
,,2020 - 2021,0.83
,,2021 - 2022,0.88
,,2022 - 2023,0.84
Chhattisgarh,Balod,2011 - 2012,0.36
,,2012 - 2013,0.4
,,2013 - 2014,0.3
,,2014 - 2015,0.35
,,2015 - 2016,0.35
,,2017 - 2018,0.25
,,2018 - 2019,0.27
,,2019 - 2020,0.33
,,2020 - 2021,0.31
,,2021 - 2022,0.31
,,2022 - 2023,0.29
,Baloda bazar,2011 - 2012,0.37
,,2012 - 2013,0.48
,,2013 - 2014,0.43
,,2014 - 2015,0.47
,,2015 - 2016,0.45
,,2017 - 2018,0.0
,,2018 - 2019,0.25
,,2019 - 2020,0.35
,,2020 - 2021,0.39
,,2021 - 2022,0.32
,,2022 - 2023,0.32
,Balrampur,2011 - 2012,0.4
,,2012 - 2013,0.4
,,2013 - 2014,0.36
,,2014 - 2015,0.43
,,2015 - 2016,0.44
,,2017 - 2018,0.28
,,2018 - 2019,0.28
,,2019 - 2020,0.42
,,2020 - 2021,0.35
,,2021 - 2022,0.28
,,2022 - 2023,0.25
,Bastar,2000 - 2001,0.25
,,2001 - 2002,0.31
,,2002 - 2003,0.34
,,2003 - 2004,0.36
,,2004 - 2005,0.31
,,2005 - 2006,0.28
,,2006 - 2007,0.3
,,2007 - 2008,0.37
,,2008 - 2009,0.27
,,2009 - 2010,0.34
,,2010 - 2011,0.29
,,2011 - 2012,0.42
,,2012 - 2013,0.52
,,2013 - 2014,0.43
,,2014 - 2015,0.42
,,2015 - 2016,0.45
,,2017 - 2018,0.29
,,2018 - 2019,0.28
,,2019 - 2020,0.38
,,2020 - 2021,0.23
,,2021 - 2022,0.25
,,2022 - 2023,0.25
,Bemetara,2011 - 2012,0.36
,,2012 - 2013,0.38
,,2013 - 2014,0.34
,,2014 - 2015,0.35
,,2015 - 2016,0.38
,,2017 - 2018,0.21
,,2018 - 2019,0.25
,,2019 - 2020,0.35
,,2020 - 2021,0.38
,,2021 - 2022,0.32
,,2022 - 2023,0.31
,Bijapur,2020 - 2021,0.0
,Bilaspur,2000 - 2001,0.19
,,2001 - 2002,0.25
,,2002 - 2003,0.28
,,2003 - 2004,0.3
,,2004 - 2005,0.22
,,2005 - 2006,0.23
,,2006 - 2007,0.25
,,2007 - 2008,0.3
,,2008 - 2009,0.27
,,2009 - 2010,0.32
,,2010 - 2011,0.25
,,2011 - 2012,0.34
,,2012 - 2013,0.43
,,2013 - 2014,0.4
,,2014 - 2015,0.39
,,2015 - 2016,0.39
,,2017 - 2018,0.24
,,2018 - 2019,0.27
,,2019 - 2020,0.31
,,2020 - 2021,0.33
,,2021 - 2022,0.2
,,2022 - 2023,0.29
,Dantewada,2002 - 2003,0.0
,,2014 - 2015,0.0
,,2015 - 2016,0.0
,,2017 - 2018,0.0
,,2018 - 2019,0.0
,,2019 - 2020,0.0
,,2021 - 2022,0.5
,Dhamtari,2000 - 2001,0.27
,,2001 - 2002,0.28
,,2002 - 2003,0.3
,,2003 - 2004,0.32
,,2004 - 2005,0.23
,,2005 - 2006,0.26
,,2006 - 2007,0.27
,,2007 - 2008,0.33
,,2008 - 2009,0.3
,,2009 - 2010,0.36
,,2010 - 2011,0.26
,,2011 - 2012,0.4
,,2012 - 2013,0.46
,,2013 - 2014,0.42
,,2014 - 2015,0.43
,,2015 - 2016,0.43
,,2017 - 2018,0.25
,,2018 - 2019,0.27
,,2019 - 2020,0.33
,,2020 - 2021,0.43
,,2021 - 2022,0.37
,,2022 - 2023,0.29
,Durg,2000 - 2001,0.17
,,2001 - 2002,0.27
,,2002 - 2003,0.27
,,2003 - 2004,0.29
,,2004 - 2005,0.17
,,2005 - 2006,0.23
,,2006 - 2007,0.23
,,2007 - 2008,0.29
,,2008 - 2009,0.24
,,2009 - 2010,0.27
,,2010 - 2011,0.23
,,2011 - 2012,0.36
,,2012 - 2013,0.4
,,2013 - 2014,0.38
,,2014 - 2015,0.39
,,2015 - 2016,0.36
,,2017 - 2018,0.19
,,2018 - 2019,0.2
,,2019 - 2020,0.08
,,2020 - 2021,0.45
,,2021 - 2022,0.29
,,2022 - 2023,0.26
,Gariyaband,2011 - 2012,0.37
,,2012 - 2013,0.4
,,2013 - 2014,0.33
,,2014 - 2015,0.47
,,2015 - 2016,0.42
,,2017 - 2018,0.23
,,2018 - 2019,0.27
,,2019 - 2020,0.14
,,2020 - 2021,0.5
,,2021 - 2022,0.0
,,2022 - 2023,0.0
,Gaurella-pendra-marwahi,2019 - 2020,0.33
,,2020 - 2021,0.29
,,2021 - 2022,0.28
,,2022 - 2023,0.25
,Janjgir-champa,2000 - 2001,0.23
,,2001 - 2002,0.25
,,2002 - 2003,0.28
,,2003 - 2004,0.31
,,2004 - 2005,0.24
,,2005 - 2006,0.27
,,2006 - 2007,0.26
,,2007 - 2008,0.32
,,2008 - 2009,0.29
,,2009 - 2010,0.34
,,2010 - 2011,0.26
,,2011 - 2012,0.38
,,2012 - 2013,0.44
,,2013 - 2014,0.45
,,2014 - 2015,0.4
,,2015 - 2016,0.48
,,2017 - 2018,0.27
,,2018 - 2019,0.32
,,2019 - 2020,0.25
,,2020 - 2021,0.33
,,2021 - 2022,0.25
,,2022 - 2023,0.33
,Jashpur,2000 - 2001,0.26
,,2001 - 2002,0.27
,,2002 - 2003,0.34
,,2003 - 2004,0.3
,,2004 - 2005,0.22
,,2005 - 2006,0.22
,,2006 - 2007,0.25
,,2007 - 2008,0.31
,,2008 - 2009,0.3
,,2009 - 2010,0.32
,,2010 - 2011,0.24
,,2011 - 2012,0.38
,,2012 - 2013,0.44
,,2013 - 2014,0.42
,,2014 - 2015,0.43
,,2015 - 2016,0.36
,,2017 - 2018,0.24
,,2018 - 2019,0.27
,,2019 - 2020,0.3
,,2020 - 2021,0.31
,,2021 - 2022,0.28
,,2022 - 2023,0.29
,Kabirdham,2000 - 2001,0.16
,,2001 - 2002,0.24
,,2002 - 2003,0.41
,,2003 - 2004,0.28
,,2004 - 2005,0.25
,,2005 - 2006,0.22
,,2006 - 2007,0.23
,,2007 - 2008,0.32
,,2008 - 2009,0.26
,,2009 - 2010,0.25
,,2010 - 2011,0.27
,,2011 - 2012,0.42
,,2012 - 2013,0.45
,,2013 - 2014,0.34
,,2014 - 2015,0.42
,,2015 - 2016,0.33
,,2017 - 2018,0.22
,,2018 - 2019,0.15
,,2019 - 2020,0.36
,,2020 - 2021,0.4
,,2021 - 2022,0.22
,,2022 - 2023,0.28
,Kanker,2000 - 2001,0.24
,,2001 - 2002,0.38
,,2002 - 2003,0.19
,,2003 - 2004,0.47
,,2004 - 2005,0.4
,,2005 - 2006,0.35
,,2006 - 2007,0.36
,,2007 - 2008,0.41
,,2008 - 2009,0.29
,,2009 - 2010,0.39
,,2010 - 2011,0.34
,,2011 - 2012,0.48
,,2012 - 2013,0.53
,,2013 - 2014,0.52
,,2014 - 2015,0.51
,,2015 - 2016,0.37
,,2017 - 2018,0.25
,,2018 - 2019,0.3
,,2019 - 2020,0.43
,,2020 - 2021,0.35
,,2021 - 2022,0.31
,,2022 - 2023,0.3
,Khairgarh chhuikhadan gandai,2022 - 2023,0.38
,Kondagaon,2011 - 2012,0.42
,,2012 - 2013,0.46
,,2013 - 2014,0.42
,,2014 - 2015,0.44
,,2015 - 2016,0.52
,,2017 - 2018,0.3
,,2018 - 2019,0.35
,,2019 - 2020,0.48
,,2020 - 2021,0.38
,,2021 - 2022,0.33
,,2022 - 2023,0.32
,Korba,2000 - 2001,0.23
,,2001 - 2002,0.26
,,2002 - 2003,0.27
,,2003 - 2004,0.24
,,2004 - 2005,0.18
,,2005 - 2006,0.2
,,2006 - 2007,0.19
,,2007 - 2008,0.24
,,2008 - 2009,0.28
,,2009 - 2010,0.26
,,2010 - 2011,0.24
,,2011 - 2012,0.36
,,2012 - 2013,0.33
,,2013 - 2014,0.3
,,2014 - 2015,0.37
,,2015 - 2016,0.27
,,2017 - 2018,0.22
,,2018 - 2019,0.21
,,2019 - 2020,0.27
,,2020 - 2021,0.25
,,2021 - 2022,0.23
,,2022 - 2023,0.23
,Korea,2000 - 2001,0.22
,,2001 - 2002,0.28
,,2002 - 2003,0.2
,,2003 - 2004,0.33
,,2004 - 2005,0.22
,,2005 - 2006,0.21
,,2006 - 2007,0.23
,,2007 - 2008,0.26
,,2008 - 2009,0.31
,,2009 - 2010,0.24
,,2010 - 2011,0.23
,,2011 - 2012,0.32
,,2012 - 2013,0.38
,,2013 - 2014,0.34
,,2014 - 2015,0.36
,,2015 - 2016,0.3
,,2017 - 2018,0.2
,,2018 - 2019,0.18
,,2019 - 2020,0.33
,,2020 - 2021,0.24
,,2021 - 2022,0.19
,,2022 - 2023,0.21
,Mahasamund,2000 - 2001,0.27
,,2001 - 2002,0.23
,,2002 - 2003,0.33
,,2003 - 2004,0.27
,,2004 - 2005,0.2
,,2005 - 2006,0.22
,,2006 - 2007,0.25
,,2007 - 2008,0.31
,,2008 - 2009,0.24
,,2009 - 2010,0.27
,,2010 - 2011,0.26
,,2011 - 2012,0.4
,,2012 - 2013,0.45
,,2013 - 2014,0.39
,,2014 - 2015,0.38
,,2015 - 2016,0.38
,,2017 - 2018,0.0
,,2018 - 2019,0.25
,,2019 - 2020,0.29
,,2020 - 2021,0.5
,,2021 - 2022,0.0
,,2022 - 2023,0.35
,Manendragarh chirimiri bharatpur,2022 - 2023,0.21
,Mohla manpur ambagarh chouki,2022 - 2023,0.33
,Mungeli,2011 - 2012,0.34
,,2012 - 2013,0.42
,,2013 - 2014,0.37
,,2014 - 2015,0.4
,,2015 - 2016,0.48
,,2017 - 2018,0.22
,,2018 - 2019,0.26
,,2019 - 2020,0.12
,,2020 - 2021,0.36
,,2021 - 2022,0.4
,,2022 - 2023,0.38
,Narayanpur,2006 - 2007,0.0
,,2007 - 2008,0.4
,,2008 - 2009,0.5
,,2009 - 2010,0.6
,,2010 - 2011,0.2
,,2011 - 2012,0.67
,,2012 - 2013,0.67
,,2013 - 2014,0.5
,,2018 - 2019,1.0
,,2019 - 2020,0.5
,,2020 - 2021,1.0
,,2022 - 2023,0.5
,Raigarh,2000 - 2001,0.24
,,2001 - 2002,0.26
,,2002 - 2003,0.32
,,2003 - 2004,0.31
,,2004 - 2005,0.26
,,2005 - 2006,0.25
,,2006 - 2007,0.26
,,2007 - 2008,0.35
,,2008 - 2009,0.31
,,2009 - 2010,0.28
,,2010 - 2011,0.27
,,2011 - 2012,0.4
,,2012 - 2013,0.5
,,2013 - 2014,0.43
,,2014 - 2015,0.49
,,2015 - 2016,0.46
,,2017 - 2018,0.26
,,2018 - 2019,0.28
,,2019 - 2020,0.36
,,2020 - 2021,0.37
,,2021 - 2022,0.36
,,2022 - 2023,0.32
,Raipur,2000 - 2001,0.2
,,2001 - 2002,0.26
,,2002 - 2003,0.31
,,2003 - 2004,0.29
,,2004 - 2005,0.23
,,2005 - 2006,0.23
,,2006 - 2007,0.24
,,2007 - 2008,0.29
,,2008 - 2009,0.28
,,2009 - 2010,0.31
,,2010 - 2011,0.2
,,2011 - 2012,0.37
,,2012 - 2013,0.46
,,2013 - 2014,0.42
,,2014 - 2015,0.46
,,2015 - 2016,0.41
,,2017 - 2018,0.25
,,2018 - 2019,0.26
,,2019 - 2020,0.27
,,2020 - 2021,0.59
,,2021 - 2022,0.57
,,2022 - 2023,0.51
,Rajnandgaon,2000 - 2001,0.24
,,2001 - 2002,0.27
,,2002 - 2003,0.27
,,2003 - 2004,0.32
,,2004 - 2005,0.27
,,2005 - 2006,0.28
,,2006 - 2007,0.26
,,2007 - 2008,0.32
,,2008 - 2009,0.26
,,2009 - 2010,0.26
,,2010 - 2011,0.27
,,2011 - 2012,0.42
,,2012 - 2013,0.44
,,2013 - 2014,0.39
,,2014 - 2015,0.42
,,2015 - 2016,0.3
,,2017 - 2018,0.26
,,2018 - 2019,0.28
,,2019 - 2020,0.3
,,2020 - 2021,0.4
,,2021 - 2022,0.39
,,2022 - 2023,0.33
,Surajpur,2011 - 2012,0.4
,,2012 - 2013,0.37
,,2013 - 2014,0.47
,,2014 - 2015,0.42
,,2015 - 2016,0.4
,,2017 - 2018,0.32
,,2018 - 2019,0.3
,,2019 - 2020,0.48
,,2020 - 2021,0.41
,,2021 - 2022,0.37
,,2022 - 2023,0.3
,Surguja,2000 - 2001,0.23
,,2001 - 2002,0.27
,,2002 - 2003,0.33
,,2003 - 2004,0.3
,,2004 - 2005,0.23
,,2005 - 2006,0.22
,,2006 - 2007,0.25
,,2007 - 2008,0.29
,,2008 - 2009,0.28
,,2009 - 2010,0.26
,,2010 - 2011,0.27
,,2011 - 2012,0.4
,,2012 - 2013,0.4
,,2013 - 2014,0.36
,,2014 - 2015,0.43
,,2015 - 2016,0.39
,,2017 - 2018,0.24
,,2018 - 2019,0.26
,,2019 - 2020,0.35
,,2020 - 2021,0.48
,,2021 - 2022,0.4
,,2022 - 2023,0.36
Haryana,Panchkula,2020 - 2021,8.0
,Yamunanagar,2020 - 2021,8.0
Himachal Pradesh,Chamba,2000 - 2001,0.11
,,2001 - 2002,0.18
,,2002 - 2003,0.18
,,2005 - 2006,0.09
,,2006 - 2007,0.2
,,2007 - 2008,0.18
,Hamirpur,2001 - 2002,1.0
,,2002 - 2003,0.0
,,2013 - 2014,0.22
,Kangra,2000 - 2001,0.16
,,2001 - 2002,0.28
,,2002 - 2003,0.26
,,2005 - 2006,0.13
,,2006 - 2007,0.26
,,2007 - 2008,0.26
,,2008 - 2009,0.28
,,2009 - 2010,0.23
,,2010 - 2011,0.27
,,2011 - 2012,0.37
,,2012 - 2013,0.37
,,2013 - 2014,0.35
,,2014 - 2015,0.29
,,2015 - 2016,0.3
,,2016 - 2017,0.35
,,2017 - 2018,0.3
,,2018 - 2019,0.31
,,2019 - 2020,0.42
,Kullu,2009 - 2010,0.29
,Mandi,2000 - 2001,0.07
,,2001 - 2002,0.06
,,2002 - 2003,0.1
,,2005 - 2006,0.07
,,2006 - 2007,0.21
,,2007 - 2008,0.21
,,2008 - 2009,0.05
,,2009 - 2010,0.23
,,2010 - 2011,0.28
,,2011 - 2012,0.17
,,2012 - 2013,0.36
,,2013 - 2014,0.02
,,2014 - 2015,0.18
,,2015 - 2016,0.28
,,2016 - 2017,0.04
,,2017 - 2018,0.29
,,2018 - 2019,0.28
,,2019 - 2020,0.41
,,2020 - 2021,0.49
,,2021 - 2022,0.27
,,2022 - 2023,0.27
,Una,2005 - 2006,0.0
,,2009 - 2010,0.27
,,2013 - 2014,0.32
Jammu and Kashmir,Badgam,2003 - 2004,0.88
,,2006 - 2007,0.96
,,2007 - 2008,0.96
,,2011 - 2012,1.2
,,2018 - 2019,1.12
,Bandipora,2007 - 2008,1.0
,,2008 - 2009,0.3
,,2009 - 2010,1.0
,,2010 - 2011,2.0
,Baramulla,2002 - 2003,0.05
,,2003 - 2004,0.8
,,2006 - 2007,1.0
,,2009 - 2010,0.24
,,2010 - 2011,0.44
,Doda,2000 - 2001,0.2
,,2001 - 2002,0.26
,,2012 - 2013,0.35
,,2013 - 2014,0.35
,Jammu,2000 - 2001,0.23
,,2001 - 2002,0.79
,,2002 - 2003,0.68
,,2003 - 2004,0.24
,,2006 - 2007,0.41
,,2007 - 2008,0.41
,,2008 - 2009,1.09
,,2009 - 2010,0.25
,,2010 - 2011,0.95
,,2011 - 2012,0.33
,,2012 - 2013,0.53
,,2013 - 2014,0.53
,,2015 - 2016,0.29
,,2016 - 2017,0.24
,,2017 - 2018,0.6
,,2018 - 2019,1.12
,,2019 - 2020,1.2
,,2020 - 2021,0.86
,,2021 - 2022,1.3
,Kathua,2000 - 2001,0.19
,,2001 - 2002,0.39
,,2002 - 2003,0.31
,,2003 - 2004,0.36
,,2006 - 2007,0.22
,,2007 - 2008,0.22
,,2008 - 2009,0.39
,,2009 - 2010,0.11
,,2010 - 2011,0.19
,,2011 - 2012,0.41
