state,district,year,tobacco_kharif_area_hectare,tobacco_kharif_production_tonne,tobacco_kharif_yield_tonne_per_hectare,tobacco_rabi_area_hectare,tobacco_rabi_production_tonne,tobacco_rabi_yield_tonne_per_hectare,tobacco_whole_year_area_hectare,tobacco_whole_year_production_tonne,tobacco_whole_year_yield_tonne_per_hectare,tobacco_summer_area_hectare,tobacco_summer_production_tonne,tobacco_summer_yield_tonne_per_hectare
,,2015 - 2016,40.0,71.0,1.78,,,,,,,,,
,,2016 - 2017,72.0,120.0,1.67,26.0,43.0,1.65,,,,,,
,,2017 - 2018,49.0,68.0,1.39,,,,,,,,,
,,2018 - 2019,28.0,34.0,1.21,76.0,100.0,1.32,,,,,,
,,2019 - 2020,98.0,322.0,3.29,4.0,8.0,2.0,,,,,,
,,2020 - 2021,,,,73.0,160.0,2.19,,,,,,
,,2021 - 2022,6.0,13.0,2.17,48.0,94.0,1.96,,,,,,
,,2022 - 2023,1.0,2.0,2.0,81.0,150.0,1.85,,,,,,
,Kakinada,2022 - 2023,,,,90.0,174.0,1.93,,,,,,
,Konaseema,2022 - 2023,,,,117.0,303.0,2.59,,,,,,
,Krishna,2000 - 2001,,,,,,,,,2.69,,,
,,2001 - 2002,,,,,,,,,1.73,,,
,,2002 - 2003,,,,,,,,,2.46,,,
,,2003 - 2004,,,,,,,,,1.92,,,
,,2004 - 2005,,,,,,,,,1.88,,,
,,2005 - 2006,,,,,,,,,2.12,,,
,,2006 - 2007,,,,,,,,,2.25,,,
,,2007 - 2008,,,,,,,,,2.4,,,
,,2008 - 2009,,,,,,,,,2.73,,,
,,2009 - 2010,,,,,,,,,2.77,,,
,,2010 - 2011,,,,,,,,,2.48,,,
,,2011 - 2012,,,,,,,,,3.87,,,
,,2012 - 2013,,,,,,,,,4.33,,,
,,2013 - 2014,,,,,,4.7,,,,,,
,,2014 - 2015,,,,,,6.24,,,,,,
,,2015 - 2016,,,,,,5.45,,,,,,
,,2016 - 2017,,,,,,4.57,,,,,,
,,2017 - 2018,,,,,,5.26,,,,,,
,,2018 - 2019,,,,,,5.1,,,,,,
,,2019 - 2020,,,,,,4.91,,,,,,
,,2020 - 2021,,,,,,5.28,,,,,,
,,2021 - 2022,,,,,,5.84,,,,,,
,,2022 - 2023,,,,49.0,127.0,2.59,,,,,,
,Kurnool,2000 - 2001,,,,,,,,,1.27,,,
,,2001 - 2002,,,,,,,,,1.01,,,
,,2002 - 2003,,,,,,,,,0.94,,,
,,2003 - 2004,,,,,,,,,1.26,,,
,,2004 - 2005,,,,,,,,,1.09,,,
,,2005 - 2006,,,,,,,,,1.08,,,
,,2006 - 2007,,,,,,,,,1.13,,,
,,2007 - 2008,,,,,,,,,1.43,,,
,,2008 - 2009,,,,,,,,,1.59,,,
,,2009 - 2010,,,,,,,,,1.69,,,
,,2010 - 2011,,,,,,,,,1.76,,,
,,2011 - 2012,,,,,,,,,1.61,,,
,,2012 - 2013,,,,,,,,,1.29,,,
,,2013 - 2014,294.0,534.0,1.82,,,1.82,,,,,,
,,2014 - 2015,86.0,257.0,2.99,,,2.99,,,,,,
,,2015 - 2016,108.0,192.0,1.78,,,1.77,,,,,,
,,2016 - 2017,804.0,,1.67,,,1.67,,,,,,
