state,district,year,masoor_rabi_area_hectare,masoor_rabi_production_tonne,masoor_rabi_yield_tonne_per_hectare,masoor_kharif_area_hectare,masoor_kharif_production_tonne,masoor_kharif_yield_tonne_per_hectare,masoor_summer_area_hectare,masoor_summer_production_tonne,masoor_summer_yield_tonne_per_hectare,masoor_whole_year_area_hectare,masoor_whole_year_production_tonne,masoor_whole_year_yield_tonne_per_hectare
,,2017 - 2018,47.0,25.0,0.53,,,,,,,,,
,,2018 - 2019,47.0,15.0,0.32,,,,,,,,,
,,2019 - 2020,47.0,16.0,0.34,,,,,,,,,
,,2021 - 2022,47.0,24.0,0.51,,,,,,,,,
,,2022 - 2023,47.0,24.0,0.51,,,,,,,,,
,Papum pare,2016 - 2017,36.0,19.0,0.53,,,,,,,,,
,,2017 - 2018,50.0,26.0,0.52,,,,,,,,,
,,2018 - 2019,50.0,26.0,0.52,,,,,,,,,
,,2019 - 2020,50.0,26.0,0.52,,,,,,,,,
,,2021 - 2022,55.0,38.0,0.69,,,,,,,,,
,,2022 - 2023,55.0,38.0,0.69,,,,,,,,,
,Siang,2016 - 2017,36.0,19.0,0.53,,,,,,,,,
,,2017 - 2018,28.0,18.0,0.64,,,,,,,,,
,,2018 - 2019,28.0,18.0,0.64,,,,,,,,,
,,2019 - 2020,29.0,18.0,0.62,,,,,,,,,
,,2021 - 2022,29.0,23.0,0.79,,,,,,,,,
,,2022 - 2023,30.0,26.0,0.87,,,,,,,,,
,Tirap,2016 - 2017,45.0,16.0,0.36,,,,,,,,,
,,2017 - 2018,35.0,17.0,0.49,,,,,,,,,
,,2018 - 2019,35.0,17.0,0.49,,,,,,,,,
,,2019 - 2020,35.0,17.0,0.49,,,,,,,,,
,,2021 - 2022,35.0,17.0,0.49,,,,,,,,,
,,2022 - 2023,35.0,32.0,0.91,,,,,,,,,
,Upper subansiri,2016 - 2017,47.0,24.0,0.51,,,,,,,,,
,,2017 - 2018,47.0,41.0,0.87,,,,,,,,,
,,2018 - 2019,39.0,31.0,0.79,,,,,,,,,
,,2019 - 2020,39.0,32.0,0.82,,,,,,,,,
,,2021 - 2022,39.0,32.0,0.82,,,,,,,,,
,,2022 - 2023,39.0,32.0,0.82,,,,,,,,,
,West siang,2016 - 2017,40.0,21.0,0.53,,,,,,,,,
,,2017 - 2018,46.0,32.0,0.7,,,,,,,,,
,,2018 - 2019,20.0,20.0,1.0,,,,,,,,,
,,2019 - 2020,15.0,15.0,1.0,,,,,,,,,
,,2021 - 2022,15.0,13.0,0.87,,,,,,,,,
,,2022 - 2023,15.0,13.0,0.87,,,,,,,,,
Assam,Baksa,2005 - 2006,,,0.52,,,,,,,,,
,,2006 - 2007,,983.0,0.52,,,,,,,,,
,,2007 - 2008,,205.0,0.11,,,,,,,,,
,,2008 - 2009,,576.0,0.36,,,,,,,,,
,,2009 - 2010,,594.0,0.33,,,,,,,,,
,,2010 - 2011,,532.0,0.26,,,,,,,,,
,,2011 - 2012,,858.0,0.38,,,,,,,,,
,,2012 - 2013,,973.0,0.43,,,,,,,,,
,,2013 - 2014,,,0.84,,,,,,,,,
,,2014 - 2015,,,0.57,,,,,,,,,
,,2015 - 2016,,,0.88,,,,,,,,,
,,2016 - 2017,,,0.57,,,,,,,,,
,,2017 - 2018,,,0.88,,,,,,,,,
,,2018 - 2019,,,0.65,,,,,,,,,
,,2019 - 2020,,,0.97,,,,,,,,,
,,2020 - 2021,,,0.98,,,,,,,,,
,,2021 - 2022,,,0.98,,,,,,,,,
,,2022 - 2023,,,0.98,,,,,,,,,
,Barpeta,2001 - 2002,,,0.5,,,,,,,,,
,,2002 - 2003,,,0.5,,,,,,,,,
,,2003 - 2004,,,0.5,,,,,,,,,
,,2004 - 2005,,,0.5,,,,,,,,,
,,2005 - 2006,,,0.5,,,,,,,,,
,,2006 - 2007,,,0.5,,,,,,,,,
,,2007 - 2008,,,0.5,,,,,,,,,
,,2008 - 2009,,,0.5,,,,,,,,,
,,2009 - 2010,,,0.5,,,,,,,,,
,,2010 - 2011,,,0.5,,,,,,,,,
,,2011 - 2012,,,0.5,,,,,,,,,
,,2012 - 2013,,,0.55,,,,,,,,,
,,2013 - 2014,,,0.5,,,,,,,,,
,,2014 - 2015,,,0.73,,,,,,,,,
,,2015 - 2016,,,0.8,,,,,,,,,
,,2016 - 2017,,,0.54,,,,,,,,,
,,2017 - 2018,,,0.53,,,,,,,,,
,,2018 - 2019,,,0.54,,,,,,,,,
,,2019 - 2020,,,0.54,,,,,,,,,
,,2020 - 2021,,,0.54,,,,,,,,,
,,2021 - 2022,,,0.61,,,,,,,,,
,,2022 - 2023,,,0.61,,,,,,,,,
,Biswanath,2020 - 2021,683.0,737.0,1.08,,,,,,,,,
,,2021 - 2022,709.0,759.0,1.07,,,,,,,,,
,,2022 - 2023,,,1.08,,,,,,,,,
,Bongaigaon,2001 - 2002,,672.0,0.59,,,,,,,,,
,,2002 - 2003,,,0.67,,,,,,,,,
,,2003 - 2004,,,0.64,,,,,,,,,
,,2004 - 2005,,,0.61,,,,,,,,,
,,2005 - 2006,,805.0,0.55,,,,,,,,,
,,2006 - 2007,,910.0,0.57,,,,,,,,,
,,2007 - 2008,,721.0,0.54,,,,,,,,,
,,2008 - 2009,,686.0,0.53,,,,,,,,,
,,2009 - 2010,,759.0,0.55,,,,,,,,,
,,2010 - 2011,,769.0,0.54,,,,,,,,,
,,2011 - 2012,,821.0,0.61,,,,,,,,,
,,2012 - 2013,,899.0,0.68,,,,,,,,,
,,2013 - 2014,,,0.67,,,,,,,,,
,,2014 - 2015,,,0.9,,,,,,,,,
,,2015 - 2016,,992.0,0.61,,,,,,,,,
,,2016 - 2017,,,0.76,,,,,,,,,
,,2017 - 2018,,,0.66,,,,,,,,,
,,2018 - 2019,,,0.95,,,,,,,,,
,,2019 - 2020,,,0.95,,,,,,,,,
,,2020 - 2021,,986.0,0.88,,,,,,,,,
,,2021 - 2022,,,0.87,,,,,,,,,
,,2022 - 2023,,861.0,0.64,,,,,,,,,
,Cachar,2001 - 2002,13.0,7.0,0.54,,,,,,,,,
,,2002 - 2003,14.0,7.0,0.5,,,,,,,,,
,,2003 - 2004,15.0,8.0,0.53,,,,,,,,,
,,2004 - 2005,19.0,10.0,0.53,,,,,,,,,
,,2005 - 2006,21.0,11.0,0.52,,,,,,,,,
,,2006 - 2007,36.0,19.0,0.53,,,,,,,,,
,,2007 - 2008,26.0,13.0,0.5,,,,,,,,,
,,2008 - 2009,26.0,11.0,0.42,,,,,,,,,
,,2009 - 2010,25.0,12.0,0.48,,,,,,,,,
,,2010 - 2011,26.0,12.0,0.46,,,,,,,,,
,,2011 - 2012,30.0,16.0,0.53,,,,,,,,,
,,2012 - 2013,29.0,15.0,0.52,,,,,,,,,
,,2013 - 2014,30.0,17.0,0.57,,,,,,,,,
,,2014 - 2015,33.0,22.0,0.67,,,,,,,,,
,,2015 - 2016,31.0,21.0,0.68,,,,,,,,,
,,2016 - 2017,32.0,21.0,0.66,,,,,,,,,
,,2017 - 2018,35.0,24.0,0.69,,,,,,,,,
,,2018 - 2019,38.0,25.0,0.66,,,,,,,,,
,,2019 - 2020,41.0,27.0,0.66,,,,,,,,,
,,2020 - 2021,44.0,29.0,0.66,,,,,,,,,
,,2021 - 2022,64.0,42.0,0.66,,,,,,,,,
,,2022 - 2023,530.0,302.0,0.57,,,,,,,,,
,Charaideo,2020 - 2021,10.0,6.0,0.6,,,,,,,,,
,,2021 - 2022,15.0,9.0,0.6,,,,,,,,,
,,2022 - 2023,35.0,21.0,0.6,,,,,,,,,
,Chirang,2005 - 2006,,576.0,0.55,,,,,,,,,
,,2006 - 2007,,694.0,0.55,,,,,,,,,
,,2007 - 2008,,788.0,0.54,,,,,,,,,
,,2008 - 2009,,662.0,0.49,,,,,,,,,
,,2009 - 2010,,715.0,0.53,,,,,,,,,
,,2010 - 2011,,714.0,0.52,,,,,,,,,
,,2011 - 2012,,621.0,0.53,,,,,,,,,
,,2012 - 2013,,,0.59,,,,,,,,,
,,2013 - 2014,,,0.84,,,,,,,,,
,,2014 - 2015,,,0.78,,,,,,,,,
,,2015 - 2016,,,0.54,,,,,,,,,
,,2016 - 2017,,,0.66,,,,,,,,,
,,2017 - 2018,,,0.55,,,,,,,,,
,,2018 - 2019,,974.0,0.5,,,,,,,,,
,,2019 - 2020,,,0.55,,,,,,,,,
,,2020 - 2021,,859.0,0.5,,,,,,,,,
,,2021 - 2022,,,1.01,,,,,,,,,
,,2022 - 2023,,,0.45,,,,,,,,,
,Darrang,2001 - 2002,,820.0,0.7,,,,,,,,,
,,2002 - 2003,915.0,641.0,0.7,,,,,,,,,
,,2003 - 2004,,716.0,0.66,,,,,,,,,
,,2004 - 2005,900.0,622.0,0.69,,,,,,,,,
,,2005 - 2006,391.0,274.0,0.7,,,,,,,,,
,,2006 - 2007,274.0,192.0,0.7,,,,,,,,,
,,2007 - 2008,945.0,662.0,0.7,,,,,,,,,
,,2008 - 2009,845.0,592.0,0.7,,,,,,,,,
,,2009 - 2010,896.0,627.0,0.7,,,,,,,,,
,,2010 - 2011,,726.0,0.7,,,,,,,,,
,,2011 - 2012,,633.0,0.62,,,,,,,,,
,,2012 - 2013,,,0.78,,,,,,,,,
,,2013 - 2014,,,2.4,,,,,,,,,
,,2014 - 2015,,,1.03,,,,,,,,,
,,2015 - 2016,,,0.75,,,,,,,,,
,,2016 - 2017,,,0.75,,,,,,,,,
,,2017 - 2018,,,1.63,,,,,,,,,
,,2018 - 2019,,,1.63,,,,,,,,,
,,2019 - 2020,,,1.25,,,,,,,,,
,,2020 - 2021,,,0.76,,,,,,,,,
,,2021 - 2022,,,1.03,,,,,,,,,
,,2022 - 2023,,,1.15,,,,,,,,,
,Dhemaji,2001 - 2002,315.0,140.0,0.44,,,,,,,,,
,,2002 - 2003,362.0,163.0,0.45,,,,,,,,,
,,2003 - 2004,550.0,256.0,0.47,,,,,,,,,
,,2004 - 2005,126.0,48.0,0.38,,,,,,,,,
,,2005 - 2006,111.0,40.0,0.36,,,,,,,,,
,,2006 - 2007,332.0,149.0,0.45,,,,,,,,,
,,2007 - 2008,130.0,50.0,0.38,,,,,,,,,
,,2008 - 2009,111.0,47.0,0.42,,,,,,,,,
,,2009 - 2010,95.0,38.0,0.4,,,,,,,,,
,,2010 - 2011,92.0,38.0,0.41,,,,,,,,,
,,2011 - 2012,49.0,22.0,0.45,,,,,,,,,
,,2012 - 2013,165.0,87.0,0.53,,,,,,,,,
,,2013 - 2014,154.0,85.0,0.55,,,,,,,,,
,,2014 - 2015,404.0,289.0,0.72,,,,,,,,,
,,2015 - 2016,326.0,233.0,0.71,,,,,,,,,
,,2016 - 2017,230.0,164.0,0.71,,,,,,,,,
,,2017 - 2018,233.0,165.0,0.71,,,,,,,,,
,,2018 - 2019,235.0,188.0,0.8,,,,,,,,,
,,2019 - 2020,232.0,145.0,0.63,,,,,,,,,
,,2020 - 2021,232.0,190.0,0.82,,,,,,,,,
,,2021 - 2022,222.0,120.0,0.54,,,,,,,,,
,,2022 - 2023,262.0,137.0,0.52,,,,,,,,,
,Dhubri,2001 - 2002,,,0.77,,,,,,,,,
,,2002 - 2003,,,0.77,,,,,,,,,
,,2003 - 2004,,,0.77,,,,,,,,,
,,2004 - 2005,,,0.77,,,,,,,,,
,,2005 - 2006,,851.0,0.77,,,,,,,,,
,,2006 - 2007,,900.0,0.77,,,,,,,,,
,,2007 - 2008,,919.0,0.77,,,,,,,,,
,,2008 - 2009,,970.0,0.77,,,,,,,,,
,,2009 - 2010,,925.0,0.77,,,,,,,,,
,,2010 - 2011,,926.0,0.77,,,,,,,,,
,,2011 - 2012,,,0.74,,,,,,,,,
,,2012 - 2013,,973.0,0.8,,,,,,,,,
,,2013 - 2014,,961.0,0.81,,,,,,,,,
,,2014 - 2015,,,1.06,,,,,,,,,
,,2015 - 2016,,,0.99,,,,,,,,,
,,2016 - 2017,,,0.77,,,,,,,,,
,,2017 - 2018,,,0.87,,,,,,,,,
,,2018 - 2019,,,0.8,,,,,,,,,
,,2019 - 2020,,,0.8,,,,,,,,,
,,2020 - 2021,,887.0,0.78,,,,,,,,,
,,2021 - 2022,,887.0,0.78,,,,,,,,,
,,2022 - 2023,,844.0,0.78,,,,,,,,,
,Dibrugarh,2001 - 2002,563.0,251.0,0.45,,,,,,,,,
,,2002 - 2003,121.0,54.0,0.45,,,,,,,,,
,,2003 - 2004,127.0,57.0,0.45,,,,,,,,,
,,2004 - 2005,135.0,60.0,0.44,,,,,,,,,
,,2005 - 2006,39.0,17.0,0.44,,,,,,,,,
,,2006 - 2007,67.0,30.0,0.45,,,,,,,,,
,,2008 - 2009,1.0,1.0,1.0,,,,,,,,,
,,2009 - 2010,36.0,16.0,0.44,,,,,,,,,
,,2010 - 2011,18.0,8.0,0.44,,,,,,,,,
,,2011 - 2012,24.0,11.0,0.46,,,,,,,,,
,,2012 - 2013,25.0,12.0,0.48,,,,,,,,,
,,2013 - 2014,12.0,7.0,0.58,,,,,,,,,
,,2014 - 2015,33.0,22.0,0.67,,,,,,,,,
,,2015 - 2016,23.0,12.0,0.52,,,,,,,,,
,,2016 - 2017,31.0,16.0,0.52,,,,,,,,,
,,2017 - 2018,29.0,15.0,0.52,,,,,,,,,
,,2018 - 2019,39.0,21.0,0.54,,,,,,,,,
