state,district,year,masoor_rabi_area_hectare,masoor_rabi_production_tonne,masoor_rabi_yield_tonne_per_hectare,masoor_kharif_area_hectare,masoor_kharif_production_tonne,masoor_kharif_yield_tonne_per_hectare,masoor_summer_area_hectare,masoor_summer_production_tonne,masoor_summer_yield_tonne_per_hectare,masoor_whole_year_area_hectare,masoor_whole_year_production_tonne,masoor_whole_year_yield_tonne_per_hectare
,,2019 - 2020,260.0,195.0,0.75,,,,,,,,,
,,2020 - 2021,399.0,347.0,0.87,,,,,,,,,
,,2021 - 2022,250.0,223.0,0.89,,,,,,,,,
,,2022 - 2023,850.0,757.0,0.89,,,,,,,,,
,Shajapur,2004 - 2005,,,0.43,,,,,,,,,
,,2005 - 2006,,,0.34,,,,,,,,,
,,2006 - 2007,,,0.44,,,,,,,,,
,,2007 - 2008,,,0.3,,,,,,,,,
,,2008 - 2009,,,0.3,,,,,,,,,
,,2009 - 2010,,,,,,,,,,,,0.44
,,2010 - 2011,,,0.21,,,,,,,,,
,,2011 - 2012,,,0.27,,,,,,,,,
,,2012 - 2013,,,0.42,,,,,,,,,
,,2013 - 2014,,,0.54,,,,,,,,,
,,2014 - 2015,,,0.57,,,,,,,,,
,,2015 - 2016,,,0.78,,,,,,,,,
,,2016 - 2017,,,1.06,,,,,,,,,
,,2017 - 2018,,,1.12,,,,,,,,,
,,2018 - 2019,,,0.47,,,,,,,,,
,,2019 - 2020,,,0.51,,,,,,,,,
,,2020 - 2021,,,1.12,,,,,,,,,
,,2021 - 2022,,,1.5,,,,,,,,,
,,2022 - 2023,,,1.42,,,,,,,,,
,Sheopur,2004 - 2005,,,0.67,,,,,,,,,
,,2005 - 2006,168.0,72.0,0.43,,,,,,,,,
,,2006 - 2007,131.0,44.0,0.34,,,,,,,,,
,,2007 - 2008,108.0,43.0,0.4,,,,,,,,,
,,2008 - 2009,100.0,38.0,0.38,,,,,,,,,
,,2009 - 2010,,,,,,,,,,142.0,52.0,0.37
,,2010 - 2011,124.0,62.0,0.5,,,,,,,,,
,,2011 - 2012,57.0,16.0,0.28,,,,,,,,,
,,2012 - 2013,44.0,45.0,1.02,,,,,,,,,
,,2013 - 2014,53.0,68.0,1.28,,,,,,,,,
,,2017 - 2018,200.0,190.0,0.95,,,,,,,,,
,,2018 - 2019,14.0,21.0,1.5,,,,,,,,,
,,2019 - 2020,5.0,7.0,1.4,,,,,,,,,
,,2020 - 2021,2.0,2.0,1.0,,,,,,,,,
,,2021 - 2022,1.0,1.0,1.0,,,,,,,,,
,,2022 - 2023,80.0,113.0,1.41,,,,,,,,,
,Shivpuri,2004 - 2005,,,0.5,,,,,,,,,
,,2005 - 2006,,,0.5,,,,,,,,,
,,2006 - 2007,,,0.41,,,,,,,,,
,,2007 - 2008,,,0.31,,,,,,,,,
,,2008 - 2009,,,0.45,,,,,,,,,
,,2009 - 2010,,,,,,,,,,,,0.48
,,2010 - 2011,,,0.34,,,,,,,,,
,,2011 - 2012,,,0.35,,,,,,,,,
,,2012 - 2013,,,0.35,,,,,,,,,
,,2013 - 2014,,,0.37,,,,,,,,,
,,2014 - 2015,,,0.33,,,,,,,,,
,,2015 - 2016,,,1.2,,,,,,,,,
,,2016 - 2017,,,1.2,,,,,,,,,
,,2017 - 2018,,,1.05,,,,,,,,,
,,2018 - 2019,,,0.41,,,,,,,,,
,,2019 - 2020,,,0.5,,,,,,,,,
,,2020 - 2021,,,1.2,,,,,,,,,
,,2021 - 2022,,,1.15,,,,,,,,,
,,2022 - 2023,,,1.14,,,,,,,,,
,Sidhi,2004 - 2005,,,0.45,,,,,,,,,
,,2005 - 2006,,,0.4,,,,,,,,,
,,2006 - 2007,,,0.4,,,,,,,,,
,,2007 - 2008,,,0.35,,,,,,,,,
,,2008 - 2009,,,0.44,,,,,,,,,
,,2009 - 2010,,,,,,,,,,,,0.45
,,2010 - 2011,,,0.27,,,,,,,,,
,,2011 - 2012,,,0.39,,,,,,,,,
,,2012 - 2013,,,0.43,,,,,,,,,
,,2013 - 2014,,,0.73,,,,,,,,,
,,2014 - 2015,,,0.78,,,,,,,,,
,,2015 - 2016,,,1.0,,,,,,,,,
,,2016 - 2017,,,0.86,,,,,,,,,
,,2017 - 2018,,,1.24,,,,,,,,,
,,2018 - 2019,,,0.75,,,,,,,,,
,,2019 - 2020,,,0.75,,,,,,,,,
,,2020 - 2021,,,1.28,,,,,,,,,
,,2021 - 2022,894.0,745.0,0.83,,,,,,,,,
,,2022 - 2023,,,0.83,,,,,,,,,
,Singrauli,2008 - 2009,,,0.44,,,,,,,,,
,,2009 - 2010,,,,,,,,,,,,0.59
,,2010 - 2011,,,0.34,,,,,,,,,
,,2011 - 2012,,,0.41,,,,,,,,,
,,2012 - 2013,,,1.45,,,,,,,,,
,,2013 - 2014,,,0.76,,,,,,,,,
,,2014 - 2015,,,0.71,,,,,,,,,
,,2015 - 2016,,,1.2,,,,,,,,,
,,2016 - 2017,,,0.6,,,,,,,,,
,,2017 - 2018,,,0.8,,,,,,,,,
,,2018 - 2019,,,1.11,,,,,,,,,
,,2019 - 2020,,,1.21,,,,,,,,,
,,2020 - 2021,818.0,997.0,1.22,,,,,,,,,
,,2021 - 2022,718.0,856.0,1.19,,,,,,,,,
,,2022 - 2023,,,1.19,,,,,,,,,
,Tikamgarh,2004 - 2005,,,0.48,,,,,,,,,
,,2005 - 2006,,,0.43,,,,,,,,,
,,2006 - 2007,,,0.39,,,,,,,,,
,,2007 - 2008,,433.0,0.31,,,,,,,,,
,,2008 - 2009,,,0.49,,,,,,,,,
,,2009 - 2010,,,,,,,,,,,,0.48
,,2010 - 2011,,,0.2,,,,,,,,,
,,2011 - 2012,,,0.33,,,,,,,,,
,,2012 - 2013,,,0.34,,,,,,,,,
,,2013 - 2014,,622.0,0.16,,,,,,,,,
,,2014 - 2015,,,0.71,,,,,,,,,
,,2015 - 2016,,925.0,0.93,,,,,,,,,
,,2016 - 2017,,,1.0,,,,,,,,,
,,2017 - 2018,,,0.92,,,,,,,,,
,,2018 - 2019,,786.0,0.56,,,,,,,,,
,,2019 - 2020,471.0,314.0,0.67,,,,,,,,,
,,2020 - 2021,,,0.93,,,,,,,,,
,,2021 - 2022,,,0.96,,,,,,,,,
,,2022 - 2023,,,0.96,,,,,,,,,
,Ujjain,2004 - 2005,530.0,224.0,0.42,,,,,,,,,
,,2005 - 2006,228.0,91.0,0.4,,,,,,,,,
,,2006 - 2007,361.0,165.0,0.46,,,,,,,,,
,,2007 - 2008,323.0,134.0,0.41,,,,,,,,,
,,2008 - 2009,223.0,87.0,0.39,,,,,,,,,
,,2009 - 2010,,,,,,,,,,278.0,113.0,0.41
,,2010 - 2011,366.0,121.0,0.33,,,,,,,,,
,,2011 - 2012,289.0,101.0,0.35,,,,,,,,,
,,2012 - 2013,435.0,165.0,0.38,,,,,,,,,
,,2013 - 2014,368.0,199.0,0.54,,,,,,,,,
,,2015 - 2016,,715.0,0.72,,,,,,,,,
,,2017 - 2018,,,0.47,,,,,,,,,
,,2018 - 2019,,636.0,0.32,,,,,,,,,
,,2019 - 2020,740.0,421.0,0.57,,,,,,,,,
,,2020 - 2021,,,0.95,,,,,,,,,
,,2021 - 2022,,,1.15,,,,,,,,,
,,2022 - 2023,,,1.15,,,,,,,,,
,Umaria,2004 - 2005,,,0.5,,,,,,,,,
,,2005 - 2006,,,0.4,,,,,,,,,
,,2006 - 2007,,,0.4,,,,,,,,,
,,2007 - 2008,,,0.4,,,,,,,,,
,,2008 - 2009,,,0.48,,,,,,,,,
,,2009 - 2010,,,,,,,,,,,,0.52
,,2010 - 2011,,,0.16,,,,,,,,,
,,2011 - 2012,,,0.32,,,,,,,,,
,,2012 - 2013,,,0.52,,,,,,,,,
,,2013 - 2014,,,0.72,,,,,,,,,
,,2014 - 2015,,,0.92,,,,,,,,,
,,2015 - 2016,,,1.0,,,,,,,,,
,,2016 - 2017,,,1.0,,,,,,,,,
,,2017 - 2018,,,0.87,,,,,,,,,
,,2018 - 2019,,,0.75,,,,,,,,,
,,2019 - 2020,,,0.69,,,,,,,,,
,,2020 - 2021,,,1.15,,,,,,,,,
,,2021 - 2022,,,0.81,,,,,,,,,
,,2022 - 2023,,,0.81,,,,,,,,,
,Vidisha,2004 - 2005,,,0.62,,,,,,,,,
,,2005 - 2006,,,0.63,,,,,,,,,
,,2006 - 2007,,,0.65,,,,,,,,,
,,2007 - 2008,,,0.51,,,,,,,,,
,,2008 - 2009,,,0.59,,,,,,,,,
,,2009 - 2010,,,,,,,,,,,,0.64
,,2010 - 2011,,,0.44,,,,,,,,,
,,2011 - 2012,,,0.44,,,,,,,,,
,,2012 - 2013,,,0.67,,,,,,,,,
,,2013 - 2014,,,0.53,,,,,,,,,
,,2014 - 2015,,,0.68,,,,,,,,,
,,2015 - 2016,,,1.41,,,,,,,,,
,,2016 - 2017,,,1.38,,,,,,,,,
,,2017 - 2018,,,1.27,,,,,,,,,
,,2018 - 2019,,,0.75,,,,,,,,,
,,2019 - 2020,,,0.63,,,,,,,,,
,,2020 - 2021,,,1.21,,,,,,,,,
,,2021 - 2022,,,1.35,,,,,,,,,
,,2022 - 2023,,,1.22,,,,,,,,,
Manipur,Bishnupur,2008 - 2009,66.0,52.0,0.79,,,,,,,,,
,,2009 - 2010,255.0,243.0,0.95,,,,,,,,,
,,2010 - 2011,70.0,54.7,0.78,,,,,,,,,
,,2011 - 2012,73.0,61.0,0.84,,,,,,,,,
,,2012 - 2013,101.0,81.0,0.8,,,,,,,,,
,,2013 - 2014,97.0,89.0,0.92,,,,,,,,,
,,2014 - 2015,90.0,74.0,0.82,,,,,,,,,
,,2015 - 2016,100.0,94.0,0.94,,,,,,,,,
,,2016 - 2017,105.0,99.0,0.94,,,,,,,,,
,,2017 - 2018,104.0,98.3,0.95,,,,,,,,,
,,2018 - 2019,89.0,84.0,0.94,,,,,,,,,
,Chandel,2008 - 2009,52.0,54.0,1.04,,,,,,,,,
,,2009 - 2010,115.0,84.0,0.73,,,,,,,,,
,,2010 - 2011,54.0,44.8,0.83,,,,,,,,,
,,2011 - 2012,56.0,50.0,0.89,,,,,,,,,
,,2012 - 2013,60.0,48.0,0.8,,,,,,,,,
,,2013 - 2014,60.0,55.0,0.92,,,,,,,,,
,,2014 - 2015,54.0,43.0,0.8,,,,,,,,,
,,2015 - 2016,60.0,58.0,0.97,,,,,,,,,
,,2016 - 2017,62.0,58.7,0.95,,,,,,,,,
,,2017 - 2018,63.0,60.0,0.95,,,,,,,,,
,,2018 - 2019,75.0,63.0,0.84,,,,,,,,,
,Churachandpur,2008 - 2009,57.0,46.0,0.81,,,,,,,,,
,,2009 - 2010,90.0,65.0,0.72,,,,,,,,,
,,2010 - 2011,61.0,45.7,0.75,,,,,,,,,
,,2011 - 2012,63.0,53.2,0.84,,,,,,,,,
,,2012 - 2013,60.0,50.0,0.83,,,,,,,,,
,,2013 - 2014,60.0,55.0,0.92,,,,,,,,,
,,2014 - 2015,53.0,44.0,0.83,,,,,,,,,
,,2015 - 2016,60.0,57.0,0.95,,,,,,,,,
,,2016 - 2017,62.0,59.0,0.95,,,,,,,,,
,,2017 - 2018,65.0,62.2,0.96,,,,,,,,,
,,2018 - 2019,74.0,69.0,0.93,,,,,,,,,
,Imphal east,2008 - 2009,44.0,32.0,0.73,,,,,,,,,
,,2009 - 2010,200.0,186.0,0.93,,,,,,,,,
,,2010 - 2011,45.0,37.3,0.83,,,,,,,,,
,,2011 - 2012,51.0,43.7,0.86,,,,,,,,,
,,2012 - 2013,85.0,75.0,0.88,,,,,,,,,
,,2013 - 2014,85.0,82.0,0.96,,,,,,,,,
,,2014 - 2015,85.0,82.5,0.97,,,,,,,,,
,,2015 - 2016,95.0,90.0,0.95,,,,,,,,,
,,2016 - 2017,97.0,94.1,0.97,,,,,,,,,
,,2017 - 2018,98.0,95.4,0.97,,,,,,,,,
,,2018 - 2019,100.0,96.0,0.96,,,,,,,,,
,Imphal west,2008 - 2009,47.0,36.0,0.77,,,,,,,,,
,,2009 - 2010,189.0,183.0,0.97,,,,,,,,,
,,2010 - 2011,49.0,40.6,0.83,,,,,,,,,
,,2011 - 2012,65.0,60.0,0.92,,,,,,,,,
,,2012 - 2013,72.0,61.0,0.85,,,,,,,,,
,,2013 - 2014,72.0,68.0,0.94,,,,,,,,,
,,2014 - 2015,72.0,63.0,0.88,,,,,,,,,
,,2015 - 2016,85.0,79.0,0.93,,,,,,,,,
,,2016 - 2017,86.0,82.1,0.95,,,,,,,,,
,,2017 - 2018,88.0,83.0,0.94,,,,,,,,,
,,2018 - 2019,95.0,89.0,0.94,,,,,,,,,
,Senapati,2008 - 2009,49.0,34.0,0.69,,,,,,,,,
,,2009 - 2010,115.0,85.0,0.74,,,,,,,,,
,,2010 - 2011,50.0,35.0,0.7,,,,,,,,,
,,2011 - 2012,52.0,40.0,0.77,,,,,,,,,
,,2012 - 2013,52.0,39.0,0.75,,,,,,,,,
,,2013 - 2014,52.0,45.0,0.87,,,,,,,,,
,,2014 - 2015,52.0,39.0,0.75,,,,,,,,,
,,2015 - 2016,56.0,49.0,0.88,,,,,,,,,
,,2016 - 2017,59.0,53.0,0.9,,,,,,,,,
,,2017 - 2018,63.0,56.0,0.89,,,,,,,,,
,,2018 - 2019,70.0,64.0,0.91,,,,,,,,,
,Tamenglong,2008 - 2009,43.0,31.0,0.72,,,,,,,,,
,,2009 - 2010,124.0,78.0,0.63,,,,,,,,,
,,2010 - 2011,45.0,30.8,0.68,,,,,,,,,
,,2011 - 2012,47.0,34.5,0.73,,,,,,,,,
,,2012 - 2013,59.0,47.0,0.8,,,,,,,,,
,,2013 - 2014,59.0,52.0,0.88,,,,,,,,,
,,2014 - 2015,49.0,40.0,0.82,,,,,,,,,
,,2015 - 2016,65.0,59.0,0.91,,,,,,,,,
,,2016 - 2017,71.0,67.0,0.94,,,,,,,,,
,,2017 - 2018,78.0,65.7,0.84,,,,,,,,,
,,2018 - 2019,82.0,74.0,0.9,,,,,,,,,
,Thoubal,2008 - 2009,56.0,40.0,0.71,,,,,,,,,
,,2009 - 2010,200.0,177.0,0.89,,,,,,,,,
,,2010 - 2011,60.0,50.0,0.83,,,,,,,,,
,,2011 - 2012,62.0,53.2,0.86,,,,,,,,,
,,2012 - 2013,87.0,76.0,0.87,,,,,,,,,
,,2013 - 2014,87.0,80.0,0.92,,,,,,,,,
,,2014 - 2015,67.0,56.0,0.84,,,,,,,,,
,,2015 - 2016,80.0,73.0,0.91,,,,,,,,,
,,2016 - 2017,82.0,76.8,0.94,,,,,,,,,
,,2017 - 2018,82.0,73.8,0.9,,,,,,,,,
,,2018 - 2019,86.0,81.0,0.94,,,,,,,,,
,Ukhrul,2008 - 2009,41.0,52.0,1.27,,,,,,,,,
,,2009 - 2010,125.0,94.0,0.75,,,,,,,,,
,,2010 - 2011,46.0,38.7,0.84,,,,,,,,,
,,2011 - 2012,48.0,37.9,0.79,,,,,,,,,
,,2012 - 2013,48.0,37.0,0.77,,,,,,,,,
,,2013 - 2014,48.0,43.0,0.9,,,,,,,,,
,,2014 - 2015,38.0,29.0,0.76,,,,,,,,,
,,2015 - 2016,70.0,64.0,0.91,,,,,,,,,
,,2016 - 2017,75.0,69.0,0.92,,,,,,,,,
,,2017 - 2018,82.0,74.9,0.91,,,,,,,,,
,,2018 - 2019,87.0,80.0,0.92,,,,,,,,,
Meghalaya,East garo hills,2009 - 2010,16.0,8.0,0.5,,,,,,,,,
,,2010 - 2011,17.0,9.0,0.53,,,,,,,,,
,,2011 - 2012,18.0,10.0,0.56,,,,,,,,,
,,2013 - 2014,17.0,24.0,1.41,,,,,,,,,
,,2014 - 2015,17.0,25.0,1.47,,,,,,,,,
,,2015 - 2016,18.0,27.0,1.5,,,,,,,,,
,,2016 - 2017,18.0,28.0,1.56,,,,,,,,,
,,2017 - 2018,18.0,28.0,1.56,,,,,,,,,
,,2018 - 2019,18.0,28.0,1.56,,,,,,,,,
,,2019 - 2020,18.0,28.0,1.56,,,,,,,,,
,,2020 - 2021,18.0,28.0,1.56,,,,,,,,,
,,2022 - 2023,43.0,21.0,0.49,,,,,,,,,
,East jaintia hills,2022 - 2023,3.0,3.0,1.0,,,,,,,,,
,East khasi hills,2009 - 2010,4.0,2.0,0.5,,,,,,,,,
,,2010 - 2011,5.0,3.0,0.6,,,,,,,,,
,,2011 - 2012,6.0,4.0,0.67,,,,,,,,,
,,2013 - 2014,74.0,148.0,2.0,,,,,,,,,
,,2014 - 2015,75.0,153.0,2.04,,,,,,,,,
,,2015 - 2016,76.0,160.0,2.11,,,,,,,,,
,,2016 - 2017,81.0,162.0,2.0,,,,,,,,,
,,2017 - 2018,82.0,164.0,2.0,,,,,,,,,
,,2018 - 2019,82.0,164.0,2.0,,,,,,,,,
,,2019 - 2020,82.0,164.0,2.0,,,,,,,,,
,,2020 - 2021,82.0,164.0,2.0,,,,,,,,,
,,2022 - 2023,83.0,166.0,2.0,,,,,,,,,
,North garo hills,2013 - 2014,24.0,35.0,1.46,,,,,,,,,
,,2014 - 2015,25.0,38.0,1.52,,,,,,,,,
,,2015 - 2016,26.0,44.0,1.69,,,,,,,,,
,,2016 - 2017,26.0,43.0,1.65,,,,,,,,,
,,2017 - 2018,27.0,45.0,1.67,,,,,,,,,
,,2018 - 2019,27.0,45.0,1.67,,,,,,,,,
,,2019 - 2020,27.0,45.0,1.67,,,,,,,,,
,,2020 - 2021,27.0,45.0,1.67,,,,,,,,,
,,2022 - 2023,28.0,47.0,1.68,,,,,,,,,
,Ri bhoi,2015 - 2016,1.0,1.0,1.0,,,,,,,,,
,,2016 - 2017,2.0,1.0,0.5,,,,,,,,,
,,2017 - 2018,2.0,1.0,0.5,,,,,,,,,
,,2018 - 2019,2.0,1.0,0.5,,,,,,,,,
,,2019 - 2020,2.0,1.0,0.5,,,,,,,,,
,,2020 - 2021,2.0,1.0,0.5,,,,,,,,,
,,2022 - 2023,3.0,2.0,0.67,,,,,,,,,
,South garo hills,2009 - 2010,13.0,14.0,1.08,,,,,,,,,
,,2010 - 2011,12.0,13.0,1.08,,,,,,,,,
,,2011 - 2012,12.0,13.0,1.08,,,,,,,,,
,,2013 - 2014,32.0,46.0,1.44,,,,,,,,,
,,2014 - 2015,34.0,51.0,1.5,,,,,,,,,
,,2015 - 2016,35.0,56.0,1.6,,,,,,,,,
,,2016 - 2017,35.0,53.0,1.51,,,,,,,,,
,,2017 - 2018,35.0,53.0,1.51,,,,,,,,,
,,2018 - 2019,35.0,53.0,1.51,,,,,,,,,
,,2019 - 2020,35.0,53.0,1.51,,,,,,,,,
,,2020 - 2021,35.0,53.0,1.51,,,,,,,,,
,,2022 - 2023,59.0,84.0,1.42,,,,,,,,,
,South west garo hills,2013 - 2014,447.0,425.0,0.95,,,,,,,,,
,,2014 - 2015,448.0,432.0,0.96,,,,,,,,,
,,2015 - 2016,449.0,441.0,0.98,,,,,,,,,
,,2016 - 2017,450.0,448.0,1.0,,,,,,,,,
,,2017 - 2018,451.0,450.0,1.0,,,,,,,,,
,,2018 - 2019,452.0,452.0,1.0,,,,,,,,,
,,2019 - 2020,453.0,455.0,1.0,,,,,,,,,
,,2020 - 2021,453.0,455.0,1.0,,,,,,,,,
,,2022 - 2023,454.0,457.0,1.01,,,,,,,,,
,West garo hills,2009 - 2010,299.0,250.0,0.84,,,,,,,,,
,,2010 - 2011,305.0,255.0,0.84,,,,,,,,,
,,2011 - 2012,320.0,269.0,0.84,,,,,,,,,
,,2013 - 2014,633.0,605.0,0.96,,,,,,,,,
,,2014 - 2015,635.0,619.0,0.97,,,,,,,,,
,,2015 - 2016,637.0,641.0,1.01,,,,,,,,,
,,2016 - 2017,640.0,646.0,1.01,,,,,,,,,
,,2017 - 2018,641.0,648.0,1.01,,,,,,,,,
,,2018 - 2019,642.0,650.0,1.01,,,,,,,,,
,,2019 - 2020,643.0,654.0,1.02,,,,,,,,,
,,2020 - 2021,643.0,654.0,1.02,,,,,,,,,
,,2022 - 2023,644.0,656.0,1.02,,,,,,,,,
Mizoram,Aizawl,2000 - 2001,10.0,8.0,0.8,,,,,,,,,
,,2001 - 2002,33.0,48.63,1.47,,,,,,,,,
,Champhai,2002 - 2003,41.0,56.0,1.37,26.0,28.0,1.08,,,,,,
,Kolasib,2001 - 2002,10.0,6.0,0.6,,,,,,,,,
,,2002 - 2003,12.0,7.0,0.58,,,,,,,,,
,,2003 - 2004,6.0,4.0,0.67,,,,,,,,,
,,2004 - 2005,10.0,6.0,0.6,,,,,,,,,
,,2005 - 2006,7.0,5.0,0.71,,,,,,,,,
,Lawngtlai,2004 - 2005,4.0,2.0,0.5,,,,,,,,,
,Lunglei,2001 - 2002,2.0,2.0,1.0,,,,,,,,,
,,2002 - 2003,3.0,2.0,0.67,,,,,,,,,
,,2004 - 2005,,,,0.5,0.2,0.4,,,,,,
,Mamit,2003 - 2004,2.0,2.0,1.0,,,,,,,,,
,,2004 - 2005,2.0,4.0,2.0,,,,,,,,,
,,2005 - 2006,3.0,5.0,1.67,,,,,,,,,
,Saiha,2003 - 2004,3.0,1.5,0.5,,,,,,,,,
Nagaland,Chumoukedima,2022 - 2023,30.0,25.0,0.83,,,,,,,,,
,Dimapur,2003 - 2004,270.0,130.0,0.48,,,,,,,,,
,,2004 - 2005,560.0,210.0,0.38,,,,,,,,,
,,2005 - 2006,650.0,910.0,1.4,,,,,,,,,
,,2006 - 2007,640.0,730.0,1.14,,,,,,,,,
,,2008 - 2009,350.0,220.0,0.63,,,,,,,,,
,,2009 - 2010,450.0,320.0,0.71,,,,,,,,,
,,2010 - 2011,440.0,330.0,0.75,,,,,,,,,
,,2011 - 2012,450.0,340.0,0.76,,,,,,,,,
,,2012 - 2013,460.0,380.0,0.83,,,,,,,,,
,,2013 - 2014,470.0,380.0,0.81,,,,,,,,,
,,2014 - 2015,480.0,400.0,0.83,,,,,,,,,
,,2015 - 2016,480.0,440.0,0.92,,,,,,,,,
,,2016 - 2017,480.0,390.0,0.81,,,,,,,,,
,,2017 - 2018,490.0,400.0,0.82,,,,,,,,,
,,2018 - 2019,490.0,400.0,0.82,,,,,,,,,
,,2019 - 2020,497.0,400.0,0.8,,,,,,,,,
,,2020 - 2021,497.0,400.0,0.8,,,,,,,,,
,,2021 - 2022,95.0,85.0,0.89,,,,,,,,,
,,2022 - 2023,53.0,44.0,0.83,,,,,,,,,
,Kohima,2003 - 2004,120.0,70.0,0.58,,,,,,,,,
,,2004 - 2005,450.0,220.0,0.49,,,,,,,,,
,,2005 - 2006,470.0,710.0,1.51,,,,,,,,,
,,2006 - 2007,490.0,590.0,1.2,,,,,,,,,
,,2008 - 2009,70.0,50.0,0.71,,,,,,,,,
,,2009 - 2010,170.0,120.0,0.71,,,,,,,,,
,,2010 - 2011,180.0,140.0,0.78,,,,,,,,,
,,2011 - 2012,180.0,140.0,0.78,,,,,,,,,
,,2012 - 2013,180.0,150.0,0.83,,,,,,,,,
,,2013 - 2014,180.0,150.0,0.83,,,,,,,,,
,,2014 - 2015,180.0,150.0,0.83,,,,,,,,,
,,2015 - 2016,180.0,150.0,0.83,,,,,,,,,
,,2016 - 2017,170.0,140.0,0.82,,,,,,,,,
,,2017 - 2018,180.0,150.0,0.83,,,,,,,,,
,,2018 - 2019,180.0,150.0,0.83,,,,,,,,,
,,2019 - 2020,182.0,150.0,0.82,,,,,,,,,
,,2020 - 2021,182.0,150.0,0.82,,,,,,,,,
,Mokokchung,2003 - 2004,370.0,180.0,0.49,,,,,,,,,
,,2004 - 2005,220.0,90.0,0.41,,,,,,,,,
,,2005 - 2006,250.0,610.0,2.44,,,,,,,,,
,,2006 - 2007,280.0,330.0,1.18,,,,,,,,,
,,2008 - 2009,130.0,90.0,0.69,,,,,,,,,
,,2009 - 2010,200.0,150.0,0.75,,,,,,,,,
,,2010 - 2011,210.0,170.0,0.81,,,,,,,,,
,,2011 - 2012,210.0,170.0,0.81,,,,,,,,,
,,2012 - 2013,230.0,190.0,0.83,,,,,,,,,
,,2013 - 2014,230.0,190.0,0.83,,,,,,,,,
,,2014 - 2015,240.0,200.0,0.83,,,,,,,,,
,,2015 - 2016,250.0,210.0,0.84,,,,,,,,,
,,2016 - 2017,230.0,190.0,0.83,,,,,,,,,
,,2017 - 2018,240.0,200.0,0.83,,,,,,,,,
,,2018 - 2019,240.0,200.0,0.83,,,,,,,,,
,,2019 - 2020,243.0,200.0,0.82,,,,,,,,,
,,2020 - 2021,243.0,200.0,0.82,,,,,,,,,
,,2021 - 2022,20.0,16.0,0.8,,,,,,,,,
,,2022 - 2023,31.0,24.0,0.77,,,,,,,,,
,Mon,2003 - 2004,350.0,140.0,0.4,,,,,,,,,
,,2004 - 2005,240.0,110.0,0.46,,,,,,,,,
,,2005 - 2006,260.0,670.0,2.58,,,,,,,,,
,,2006 - 2007,270.0,330.0,1.22,,,,,,,,,
,,2008 - 2009,150.0,120.0,0.8,,,,,,,,,
,,2009 - 2010,200.0,140.0,0.7,,,,,,,,,
,,2010 - 2011,210.0,160.0,0.76,,,,,,,,,
,,2011 - 2012,210.0,160.0,0.76,,,,,,,,,
,,2012 - 2013,210.0,170.0,0.81,,,,,,,,,
,,2013 - 2014,210.0,170.0,0.81,,,,,,,,,
,,2014 - 2015,210.0,170.0,0.81,,,,,,,,,
,,2015 - 2016,210.0,170.0,0.81,,,,,,,,,
,,2016 - 2017,200.0,160.0,0.8,,,,,,,,,
,,2017 - 2018,210.0,170.0,0.81,,,,,,,,,
,,2018 - 2019,210.0,170.0,0.81,,,,,,,,,
,,2019 - 2020,213.0,180.0,0.85,,,,,,,,,
,,2020 - 2021,213.0,180.0,0.85,,,,,,,,,
,Nuiland,2022 - 2023,68.0,57.0,0.84,,,,,,,,,
,Peren,2009 - 2010,170.0,130.0,0.76,,,,,,,,,
,,2010 - 2011,180.0,140.0,0.78,,,,,,,,,
,,2011 - 2012,180.0,140.0,0.78,,,,,,,,,
,,2012 - 2013,170.0,140.0,0.82,,,,,,,,,
,,2013 - 2014,170.0,140.0,0.82,,,,,,,,,
,,2014 - 2015,170.0,140.0,0.82,,,,,,,,,
,,2015 - 2016,180.0,150.0,0.83,,,,,,,,,
,,2016 - 2017,170.0,140.0,0.82,,,,,,,,,
,,2017 - 2018,170.0,140.0,0.82,,,,,,,,,
,,2018 - 2019,180.0,150.0,0.83,,,,,,,,,
,,2019 - 2020,182.0,150.0,0.82,,,,,,,,,
,,2020 - 2021,182.0,150.0,0.82,,,,,,,,,
,,2021 - 2022,2.0,1.0,0.5,,,,,,,,,
,,2022 - 2023,4.0,3.0,0.75,,,,,,,,,
,Phek,2003 - 2004,140.0,70.0,0.5,,,,,,,,,
,,2004 - 2005,330.0,160.0,0.48,,,,,,,,,
,,2005 - 2006,360.0,660.0,1.83,,,,,,,,,
,,2006 - 2007,390.0,470.0,1.21,,,,,,,,,
,,2008 - 2009,60.0,40.0,0.67,,,,,,,,,
,,2009 - 2010,160.0,110.0,0.69,,,,,,,,,
,,2010 - 2011,160.0,120.0,0.75,,,,,,,,,
,,2011 - 2012,160.0,120.0,0.75,,,,,,,,,
,,2012 - 2013,160.0,130.0,0.81,,,,,,,,,
,,2013 - 2014,160.0,130.0,0.81,,,,,,,,,
,,2014 - 2015,170.0,140.0,0.82,,,,,,,,,
,,2015 - 2016,170.0,140.0,0.82,,,,,,,,,
,,2016 - 2017,170.0,140.0,0.82,,,,,,,,,
,,2017 - 2018,170.0,140.0,0.82,,,,,,,,,
,,2018 - 2019,180.0,150.0,0.83,,,,,,,,,
,,2019 - 2020,183.0,150.0,0.82,,,,,,,,,
,,2020 - 2021,183.0,150.0,0.82,,,,,,,,,
,Tuensang,2003 - 2004,420.0,170.0,0.4,,,,,,,,,
,,2004 - 2005,210.0,100.0,0.48,,,,,,,,,
