state,district,year,bajra_kharif_area_hectare,bajra_kharif_production_tonne,bajra_kharif_yield_tonne_per_hectare,bajra_rabi_area_hectare,bajra_rabi_production_tonne,bajra_rabi_yield_tonne_per_hectare,bajra_whole_year_area_hectare,bajra_whole_year_production_tonne,bajra_whole_year_yield_tonne_per_hectare,bajra_summer_area_hectare,bajra_summer_production_tonne,bajra_summer_yield_tonne_per_hectare
,,2003 - 2004,319.0,235.0,0.74,,,,,,,,,
,,2004 - 2005,313.0,188.0,0.6,,,,,,,,,
,,2005 - 2006,944.0,566.4,0.6,,,,,,,,,
,,2006 - 2007,,,0.6,,,,,,,,,
,,2007 - 2008,562.0,337.2,0.6,,,,,,,,,
,,2009 - 2010,211.0,126.6,0.6,,,,,,,,,
,,2010 - 2011,298.0,178.8,0.6,,,,,,,,,
,,2011 - 2012,102.0,61.2,0.6,,,,,,,,,
,,2012 - 2013,268.0,160.8,0.6,,,,,,,,,
,,2014 - 2015,,879.6,0.6,,,,,,,,,
,,2015 - 2016,,847.9,0.6,166.0,41.6,0.25,,,,,,
,,2016 - 2017,,880.2,0.6,115.0,28.8,0.25,,,,,,
,,2017 - 2018,,880.2,0.6,167.0,41.8,0.25,,,,,,
,,2018 - 2019,,905.9,0.6,,,,,,,,,
,,2019 - 2020,172.0,103.0,0.6,115.0,28.8,0.25,,,,,,
,,2020 - 2021,,826.9,0.6,,,,,,,,,
Jharkhand,Bokaro,2017 - 2018,40.0,13.0,0.33,,,,,,,,,
,,2018 - 2019,22.0,7.0,0.32,,,,,,,,,
,,2019 - 2020,85.0,77.0,0.91,,,,,,,,,
,,2021 - 2022,8.0,7.0,0.88,,,,,,,,,
,,2022 - 2023,5.0,5.0,1.0,,,,,,,,,
,Deoghar,2021 - 2022,6.0,4.0,0.67,,,,,,,,,
,,2022 - 2023,3.0,2.0,0.67,,,,,,,,,
,Dhanbad,2017 - 2018,14.0,8.0,0.57,,,,,,,,,
,Dumka,2017 - 2018,42.0,32.0,0.76,,,,,,,,,
,,2018 - 2019,36.0,27.0,0.75,,,,,,,,,
,,2019 - 2020,67.0,52.0,0.78,,,,,,,,,
,,2020 - 2021,26.0,20.0,0.77,,,,,,,,,
,East singhbum,2017 - 2018,333.0,180.0,0.54,,,,,,,,,
,,2022 - 2023,2.0,1.0,0.5,,,,,,,,,
,Giridih,2017 - 2018,4.0,4.0,1.0,,,,,,,,,
,,2018 - 2019,7.0,6.0,0.86,,,,,,,,,
,,2019 - 2020,22.0,17.0,0.77,,,,,,,,,
,,2020 - 2021,26.0,21.0,0.81,,,,,,,,,
,,2021 - 2022,17.0,14.0,0.82,,,,,,,,,
,,2022 - 2023,14.0,12.0,0.86,,,,,,,,,
,Godda,2019 - 2020,17.0,9.0,0.53,,,,,,,,,
,,2020 - 2021,10.0,6.0,0.6,,,,,,,,,
,,2021 - 2022,14.0,7.0,0.5,,,,,,,,,
,,2022 - 2023,12.0,5.0,0.42,,,,,,,,,
,Hazaribagh,2019 - 2020,13.0,7.0,0.54,,,,,,,,,
,,2020 - 2021,19.0,9.0,0.47,,,,,,,,,
,,2021 - 2022,31.0,15.0,0.48,,,,,,,,,
,,2022 - 2023,103.0,48.0,0.47,,,,,,,,,
,Jamtara,2019 - 2020,2.0,1.0,0.5,,,,,,,,,
,Khunti,2019 - 2020,20.0,12.0,0.6,,,,,,,,,
,,2021 - 2022,10.0,6.0,0.6,,,,,,,,,
,Koderma,2018 - 2019,5.0,3.0,0.6,,,,,,,,,
,Pakur,2022 - 2023,28.0,22.0,0.79,,,,,,,,,
,Palamu,2019 - 2020,5.0,3.0,0.6,,,,,,,,,
,,2020 - 2021,3.0,2.0,0.67,,,,,,,,,
,,2021 - 2022,4.0,3.0,0.75,,,,,,,,,
,,2022 - 2023,2.0,1.0,0.5,,,,,,,,,
,Ramgarh,2019 - 2020,9.0,5.0,0.56,,,,,,,,,
,,2020 - 2021,10.0,5.0,0.5,,,,,,,,,
,,2021 - 2022,19.0,10.0,0.53,,,,,,,,,
,,2022 - 2023,8.0,4.0,0.5,,,,,,,,,
,Sahebganj,2017 - 2018,13.0,9.0,0.69,,,,,,,,,
,,2018 - 2019,6.0,4.0,0.67,,,,,,,,,
,,2019 - 2020,6.0,4.0,0.67,,,,,,,,,
,,2020 - 2021,15.0,11.0,0.73,,,,,,,,,
,,2021 - 2022,25.0,18.0,0.72,,,,,,,,,
,,2022 - 2023,20.0,14.0,0.7,,,,,,,,,
,Saraikela kharsawan,2017 - 2018,112.0,78.0,0.7,,,,,,,,,
,,2018 - 2019,32.0,16.0,0.5,,,,,,,,,
,,2019 - 2020,19.0,9.0,0.47,,,,,,,,,
,,2020 - 2021,9.0,5.0,0.56,,,,,,,,,
,,2021 - 2022,7.0,4.0,0.57,,,,,,,,,
,Simdega,2017 - 2018,20.0,15.0,0.75,,,,,,,,,
,,2018 - 2019,10.0,7.0,0.7,,,,,,,,,
,,2019 - 2020,2.0,1.0,0.5,,,,,,,,,
,West singhbhum,2017 - 2018,36.0,15.0,0.42,,,,,,,,,
,,2018 - 2019,12.0,5.0,0.42,,,,,,,,,
,,2019 - 2020,21.0,9.0,0.43,,,,,,,,,
,,2020 - 2021,9.0,4.0,0.44,,,,,,,,,
,,2022 - 2023,38.0,21.0,0.55,,,,,,,,,
Karnataka,Bagalkot,2000 - 2001,,,1.0,,,,,,,,,
,,2001 - 2002,,,0.76,,,,,,,,,
,,2002 - 2003,,,0.3,,,,,,,,,
,,2003 - 2004,,,0.53,,,,,,,,,
,,2004 - 2005,,,0.65,,,,,,,,,
,,2005 - 2006,,,1.23,,,,,,,,,
,,2006 - 2007,,,0.34,,,,,,,,,
,,2007 - 2008,,,1.15,,,,,,,,,
,,2008 - 2009,,,1.1,,,,,,,,,
,,2009 - 2010,,,0.4,,,,,,,,,
,,2010 - 2011,,,1.46,,,,,,,,,
,,2011 - 2012,,,1.28,,,,,,,,,
,,2012 - 2013,,,0.95,,,,,,,,,
,,2013 - 2014,,,0.91,,,,,,,,,
,,2014 - 2015,,,1.1,,,,,,,,,
,,2015 - 2016,,,0.55,,,,,,,,,
,,2016 - 2017,,,1.12,,,,,,,,,
,,2017 - 2018,,,1.56,,,,,,,,,
,,2018 - 2019,,,1.53,,,,,,,,,
,,2019 - 2020,,,1.66,,,,,,,219.0,229.0,1.05
,,2020 - 2021,,,1.91,204.0,267.0,1.31,,,,46.0,47.0,1.02
,,2021 - 2022,,,1.43,,,,,,,,,
,,2022 - 2023,,,1.52,,,,,,,,,
,Bangalore rural,2005 - 2006,33.0,19.0,0.58,,,,,,,,,
,,2006 - 2007,6.0,3.0,0.5,,,,,,,,,
,,2007 - 2008,4.0,3.0,0.75,,,,,,,,,
,,2008 - 2009,4.0,2.0,0.5,,,,,,,,,
,,2009 - 2010,4.0,2.0,0.5,,,,,,,,,
,,2010 - 2011,4.0,4.0,1.0,,,,,,,,,
,,2011 - 2012,4.0,3.0,0.75,,,,,,,,,
,,2012 - 2013,5.0,5.0,1.0,,,,,,,,,
,,2015 - 2016,7.0,5.0,0.71,,,,,,,,,
,,2016 - 2017,5.0,5.0,1.0,,,,,,,,,
,,2017 - 2018,1.0,2.0,2.0,,,,,,,,,
,,2018 - 2019,11.0,10.0,0.91,,,,,,,,,
,,2019 - 2020,8.0,9.0,1.13,,,,,,,,,
,,2020 - 2021,18.0,26.0,1.44,,,,,,,,,
,,2021 - 2022,9.0,10.0,1.11,,,,,,,,,
,,2022 - 2023,11.0,16.0,1.45,,,,,,,,,
,Belgaum,2000 - 2001,,,0.43,,,,,,,,,
,,2001 - 2002,,,0.28,,,,,,,,,
,,2002 - 2003,,,0.13,,,,,,,,,
,,2003 - 2004,,,0.18,,,,,,,,,
,,2004 - 2005,,,0.5,,,,,,,,,
,,2005 - 2006,,,0.39,,,,,,,,,
,,2006 - 2007,,,0.32,,,,,,,,,
,,2007 - 2008,,,0.48,,,,,,,,,
,,2008 - 2009,,,0.41,,,,,,,,,
,,2009 - 2010,,,0.26,,,,,,,,,
,,2010 - 2011,,,0.61,,,,,,,,,
,,2011 - 2012,,,0.53,,,,,,,,,
,,2012 - 2013,,,0.35,,,,,,,,,
,,2013 - 2014,,,0.66,,,,,,,,,
,,2014 - 2015,,,0.66,,,,,,,,,
,,2015 - 2016,,,0.36,,,,,,,102.0,113.0,1.11
,,2016 - 2017,,,0.6,,,,,,,51.0,57.0,1.12
,,2017 - 2018,,,1.21,,,,,,,,,
,,2018 - 2019,,,1.1,,,,,,,,,
,,2019 - 2020,,,1.09,,,,,,,217.0,238.0,1.1
,,2020 - 2021,,,1.34,231.0,303.0,1.31,,,,62.0,77.0,1.24
,,2021 - 2022,,,1.15,318.0,416.0,1.31,,,,28.0,34.0,1.21
,,2022 - 2023,,,1.23,179.0,235.0,1.31,,,,23.0,27.0,1.17
,Bellary,2000 - 2001,,,0.82,160.0,129.0,0.81,,,,905.0,989.0,1.09
,,2001 - 2002,,,0.76,207.0,105.0,0.51,,,,850.0,929.0,1.09
,,2002 - 2003,,,0.48,271.0,215.0,0.79,,,,377.0,322.0,0.85
,,2003 - 2004,,,0.67,117.0,105.0,0.9,,,,277.0,250.0,0.9
,,2004 - 2005,,,0.71,222.0,200.0,0.9,,,,,,0.81
,,2005 - 2006,,,0.8,78.0,104.0,1.33,,,,913.0,,1.19
,,2006 - 2007,,,0.47,25.0,28.0,1.12,,,,,,1.19
,,2007 - 2008,,,0.85,435.0,504.0,1.16,,,,,,1.0
,,2008 - 2009,,,0.61,354.0,331.0,0.94,,,,994.0,,1.19
,,2009 - 2010,,,0.61,116.0,132.0,1.14,,,,381.0,428.0,1.12
,,2010 - 2011,,,0.84,84.0,86.0,1.02,,,,358.0,395.0,1.1
,,2011 - 2012,,,0.66,522.0,680.0,1.3,,,,,,1.14
,,2012 - 2013,,,0.81,,,,,,,,,
,,2013 - 2014,,,1.01,,,,,,,,,
,,2014 - 2015,,,1.07,,,,,,,,,
,,2015 - 2016,,,0.92,,,,,,,,,1.26
,,2016 - 2017,,,1.26,,,,,,,274.0,339.0,1.24
,,2017 - 2018,,,1.84,,,,,,,290.0,362.0,1.25
,,2018 - 2019,,,1.14,,,,,,,395.0,493.0,1.25
,,2019 - 2020,,,1.5,,,,,,,,,1.19
,,2020 - 2021,,,1.8,271.0,366.0,1.35,,,,441.0,451.0,1.02
,,2021 - 2022,,,1.58,233.0,291.0,1.25,,,,946.0,,1.11
,,2022 - 2023,,,1.71,627.0,815.0,1.3,,,,929.0,,1.08
,Bengaluru urban,2012 - 2013,2.0,2.0,1.0,,,,,,,,,
,,2013 - 2014,7.0,8.0,1.14,,,,,,,,,
,,2017 - 2018,3.0,5.0,1.67,,,,,,,,,
,,2018 - 2019,9.0,8.0,0.89,,,,,,,,,
,,2019 - 2020,16.0,17.0,1.06,,,,,,,2.0,2.0,1.0
,,2020 - 2021,35.0,50.0,1.43,,,,,,,,,
,,2021 - 2022,2.0,2.0,1.0,,,,,,,,,
,,2022 - 2023,11.0,16.0,1.45,1.0,1.0,1.0,,,,,,
,Bidar,2000 - 2001,,,0.76,,,,,,,,,
,,2001 - 2002,,,0.58,,,,,,,,,
,,2002 - 2003,,,0.75,,,,,,,,,
,,2003 - 2004,,,0.98,,,,,,,,,
,,2004 - 2005,,,0.87,,,,,,,,,
,,2005 - 2006,,,0.63,,,,,,,,,
,,2006 - 2007,,,0.83,,,,,,,,,
,,2007 - 2008,,,1.05,,,,,,,,,
,,2008 - 2009,,,0.98,,,,,,,,,
,,2009 - 2010,,,0.55,,,,,,,,,
,,2010 - 2011,,,0.76,,,,,,,,,
,,2011 - 2012,,,0.91,,,,,,,,,
,,2012 - 2013,,,1.13,,,,,,,,,
,,2013 - 2014,,,1.14,,,,,,,,,
,,2014 - 2015,,,1.01,,,,,,,,,
,,2015 - 2016,,,0.7,,,,,,,,,
,,2016 - 2017,,,0.67,,,,,,,,,
,,2017 - 2018,,,1.45,,,,,,,,,
,,2018 - 2019,409.0,312.0,0.76,,,,,,,,,
,,2019 - 2020,,,0.98,,,,,,,7.0,7.0,1.0
,,2020 - 2021,592.0,562.0,0.95,4.0,5.0,1.25,,,,,,
,,2021 - 2022,43.0,37.0,0.86,13.0,17.0,1.31,,,,3.0,4.0,1.33
,,2022 - 2023,5.0,4.0,0.8,,,,,,,,,
,Bijapur,2000 - 2001,,,0.8,,,,,,,,,
,,2001 - 2002,,,0.53,,,,,,,,,
,,2002 - 2003,,,0.41,,,,,,,,,
,,2003 - 2004,,,0.58,,,,,,,,,
,,2004 - 2005,,,0.66,,,,,,,,,
,,2005 - 2006,,,0.63,,,,,,,,,
,,2006 - 2007,,,0.46,,,,,,,,,
,,2007 - 2008,,,0.64,,,,,,,,,
,,2008 - 2009,,,0.56,,,,,,,,,
,,2009 - 2010,,,0.46,,,,,,,,,
,,2010 - 2011,,,0.7,,,,,,,,,
,,2011 - 2012,,,0.75,,,,,,,,,
,,2012 - 2013,,,0.94,,,,,,,,,
,,2013 - 2014,,,1.08,,,,,,,,,
,,2014 - 2015,,,0.76,,,,,,,,,
,,2015 - 2016,,,0.28,,,,,,,,,
,,2016 - 2017,,,1.14,,,,,,,,,
,,2017 - 2018,,,0.9,,,,,,,,,
,,2018 - 2019,,,0.75,,,,,,,,,
,,2019 - 2020,,,0.63,,,,,,,143.0,149.0,1.04
,,2020 - 2021,,,1.0,277.0,363.0,1.31,,,,,,
,,2021 - 2022,,,0.96,87.0,114.0,1.31,,,,,,
,,2022 - 2023,,,1.15,157.0,205.0,1.31,,,,,,
,Chamarajanagar,2000 - 2001,677.0,510.0,0.75,,,,,,,,,
,,2001 - 2002,323.0,160.0,0.5,,,,,,,,,
,,2002 - 2003,572.0,377.0,0.66,,,,,,,,,
,,2003 - 2004,241.0,160.0,0.66,,,,,,,,,
,,2004 - 2005,619.0,499.0,0.81,,,,,,,,,
,,2005 - 2006,915.0,903.0,0.99,,,,,,,,,
,,2006 - 2007,387.0,244.0,0.63,,,,,,,,,
,,2007 - 2008,782.0,967.0,1.24,,,,,,,,,
,,2008 - 2009,479.0,341.0,0.71,,,,,,,,,
,,2009 - 2010,543.0,302.0,0.56,,,,,,,,,
,,2010 - 2011,305.0,299.0,0.98,,,,,,,,,
,,2011 - 2012,258.0,214.0,0.83,,,,,,,,,
,,2012 - 2013,640.0,,1.97,,,,,,,,,
,,2013 - 2014,915.0,,1.54,,,,,,,,,
,,2014 - 2015,370.0,458.0,1.24,,,,,,,,,
,,2015 - 2016,519.0,659.0,1.27,,,,,,,,,
,,2016 - 2017,53.0,36.0,0.68,,,,,,,,,
,,2017 - 2018,,,1.75,,,,,,,,,
,,2018 - 2019,503.0,,2.04,,,,,,,,,
,,2019 - 2020,885.0,,2.31,,,,,,,3.0,3.0,1.0
,,2020 - 2021,147.0,301.0,2.05,7.0,9.0,1.29,,,,1.0,1.0,1.0
,,2021 - 2022,,,1.28,,,,,,,,,
,,2022 - 2023,288.0,322.0,1.12,3.0,4.0,1.33,,,,,,
,Chikballapur,2010 - 2011,46.0,42.0,0.91,,,,,,,,,
,,2011 - 2012,843.0,,1.19,,,,,,,,,
,,2013 - 2014,2.0,2.0,1.0,,,,,,,,,
,,2015 - 2016,82.0,54.0,0.66,,,,,,,,,
,,2016 - 2017,40.0,42.0,1.05,,,,,,,,,
,,2017 - 2018,106.0,169.0,1.59,,,,,,,,,
,,2018 - 2019,210.0,191.0,0.91,,,,,,,,,
,,2019 - 2020,198.0,215.0,1.09,,,,,,,9.0,9.0,1.0
,,2020 - 2021,171.0,246.0,1.44,15.0,20.0,1.33,,,,14.0,14.0,1.0
,,2021 - 2022,119.0,137.0,1.15,3.0,4.0,1.33,,,,16.0,17.0,1.06
,,2022 - 2023,97.0,140.0,1.44,16.0,21.0,1.31,,,,2.0,2.0,1.0
,Chikmagalur,2012 - 2013,5.0,5.0,1.0,,,,,,,,,
,,2013 - 2014,1.0,1.0,1.0,,,,,,,,,
,,2018 - 2019,34.0,31.0,0.91,,,,,,,,,
,,2019 - 2020,23.0,25.0,1.09,,,,,,,2.0,2.0,1.0
,,2020 - 2021,40.0,58.0,1.45,2.0,3.0,1.5,,,,,,
,,2021 - 2022,7.0,8.0,1.14,,,,,,,,,
,,2022 - 2023,12.0,17.0,1.42,,,,,,,,,
,Chitradurga,2000 - 2001,,,0.76,,,,,,,,,
,,2001 - 2002,,,0.47,,,,,,,,,
,,2002 - 2003,,,0.63,,,,,,,,,
,,2003 - 2004,,,0.39,,,,,,,7.0,6.0,0.86
,,2004 - 2005,,,0.56,,,,,,,12.0,12.0,1.0
,,2005 - 2006,,,0.85,,,,,,,,,
,,2006 - 2007,,544.0,0.51,15.0,11.0,0.73,,,,,,
,,2007 - 2008,,,0.96,,,,,,,,,
,,2008 - 2009,,600.0,0.38,,,,,,,1.0,1.0,1.0
,,2009 - 2010,,694.0,0.54,,,,,,,,,
,,2010 - 2011,,825.0,0.55,,,,,,,,,
,,2011 - 2012,,906.0,0.56,,,,,,,,,
,,2012 - 2013,,699.0,0.53,,,,,,,,,
,,2013 - 2014,,,0.54,,,,,,,,,
,,2014 - 2015,,,0.62,,,,,,,,,
,,2015 - 2016,,,0.65,,,,,,,,,
,,2016 - 2017,,502.0,0.28,,,,,,,,,
,,2017 - 2018,,,1.04,,,,,,,,,
,,2018 - 2019,,783.0,0.41,,,,,,,,,
,,2019 - 2020,,,0.62,,,,,,,80.0,84.0,1.05
,,2020 - 2021,,,0.89,86.0,113.0,1.31,,,,,,
,,2021 - 2022,,692.0,0.66,30.0,40.0,1.33,,,,,,
,,2022 - 2023,886.0,466.0,0.53,58.0,76.0,1.31,,,,2.0,2.0,1.0
,Dakshin kannad,2018 - 2019,4.0,4.0,1.0,,,,,,,,,
,,2019 - 2020,8.0,9.0,1.13,,,,,,,,,
,Davangere,2000 - 2001,633.0,368.0,0.58,,,,,,,,,
,,2001 - 2002,517.0,220.0,0.43,,,,,,,,,
,,2002 - 2003,405.0,142.0,0.35,,,,,,,,,
,,2003 - 2004,905.0,544.0,0.6,,,,,,,,,
,,2004 - 2005,604.0,333.0,0.55,,,,,,,,,
,,2005 - 2006,716.0,436.0,0.61,,,,,,,,,
,,2006 - 2007,494.0,366.0,0.74,,,,,,,,,
,,2007 - 2008,721.0,720.0,1.0,,,,,,,1.0,1.0,1.0
,,2008 - 2009,925.0,582.0,0.63,,,,,,,,,
,,2009 - 2010,958.0,646.0,0.67,8.0,6.0,0.75,,,,,,
,,2010 - 2011,,,1.5,,,,,,,,,
,,2011 - 2012,894.0,582.0,0.65,,,,,,,,,
,,2012 - 2013,882.0,640.0,0.73,,,,,,,,,
,,2013 - 2014,653.0,659.0,1.01,,,,,,,,,
,,2014 - 2015,624.0,620.0,0.99,,,,,,,,,
,,2015 - 2016,720.0,608.0,0.84,,,,,,,,,
,,2016 - 2017,558.0,371.0,0.66,,,,,,,5.0,5.0,1.0
,,2017 - 2018,,,1.49,,,,,,,,,
,,2018 - 2019,470.0,276.0,0.59,,,,,,,,,
,,2019 - 2020,744.0,556.0,0.75,,,,,,,10.0,10.0,1.0
,,2020 - 2021,433.0,478.0,1.1,2.0,3.0,1.5,,,,1.0,1.0,1.0
,,2021 - 2022,238.0,246.0,1.03,7.0,9.0,1.29,,,,1.0,1.0,1.0
,,2022 - 2023,175.0,174.0,0.99,,,,,,,,,
,Dharwad,2000 - 2001,41.0,18.0,0.44,,,,,,,,,
,,2012 - 2013,15.0,16.0,1.07,,,,,,,,,
,,2013 - 2014,8.0,9.0,1.13,,,,,,,,,
,,2014 - 2015,5.0,5.0,1.0,,,,,,,,,
,,2018 - 2019,19.0,17.0,0.89,,,,,,,35.0,38.0,1.09
,,2019 - 2020,42.0,46.0,1.1,,,,,,,33.0,36.0,1.09
,,2020 - 2021,41.0,59.0,1.44,26.0,34.0,1.31,,,,,,
,,2021 - 2022,12.0,14.0,1.17,10.0,11.0,1.1,,,,,,
,,2022 - 2023,15.0,21.0,1.4,,,,,,,,,
,Gadag,2000 - 2001,,945.0,0.51,,,,,,,,,
,,2001 - 2002,,,0.53,,,,,,,,,
,,2002 - 2003,,811.0,0.58,,,,,,,,,
,,2003 - 2004,,693.0,0.46,,,,,,,,,
,,2004 - 2005,,,0.59,,,,,,,,,
,,2005 - 2006,,,0.89,,,,,,,,,
,,2006 - 2007,,890.0,0.44,,,,,,,,,
,,2007 - 2008,,,1.64,,,,,,,,,
,,2008 - 2009,,930.0,0.57,,,,,,,,,
,,2009 - 2010,,913.0,0.51,,,,,,,,,
,,2010 - 2011,,,0.64,,,,,,,,,
,,2011 - 2012,,,0.57,,,,,,,,,
,,2012 - 2013,,,0.78,,,,,,,,,
,,2013 - 2014,,,0.78,,,,,,,,,
,,2014 - 2015,,,0.59,,,,,,,,,
,,2015 - 2016,,409.0,0.38,,,,,,,,,
,,2016 - 2017,,864.0,0.68,,,,,,,,,
,,2017 - 2018,,,1.33,,,,,,,,,
,,2018 - 2019,,,0.46,,,,,,,,,
,,2019 - 2020,,,0.66,,,,,,,215.0,224.0,1.04
,,2020 - 2021,,,0.77,91.0,119.0,1.31,,,,,,
,,2021 - 2022,,,0.84,22.0,28.0,1.27,,,,,,
,,2022 - 2023,425.0,375.0,0.88,230.0,302.0,1.31,,,,,,
,Gulbarga,2000 - 2001,,,0.9,,,,,,,,,
,,2001 - 2002,,,0.7,,,,,,,,,
,,2002 - 2003,,,0.76,,,,,,,,,
,,2003 - 2004,,,0.72,,,,,,,,,
,,2004 - 2005,,,0.79,,,,,,,,,
,,2005 - 2006,,,0.97,,,,,,,,,
,,2006 - 2007,,,0.66,4.0,4.0,1.0,,,,,,
,,2007 - 2008,,,0.78,4.0,2.0,0.5,,,,,,
,,2008 - 2009,,,0.8,,,,,,,81.0,61.0,0.75
,,2009 - 2010,,,0.57,,,,,,,373.0,279.0,0.75
,,2010 - 2011,,,0.73,,,,,,,,,
,,2011 - 2012,,,0.8,,,,,,,,,
,,2012 - 2013,,,1.09,,,,,,,,,
,,2013 - 2014,,,1.33,,,,,,,,,
,,2014 - 2015,,,1.16,,,,,,,,,
,,2015 - 2016,,,0.65,,,,,,,,,
,,2016 - 2017,,,1.46,,,,,,,,,
,,2017 - 2018,,,2.65,,,,,,,,,
,,2018 - 2019,,,1.76,,,,,,,,,
,,2019 - 2020,,,1.69,,,,,,,96.0,100.0,1.04
,,2020 - 2021,,,1.43,124.0,162.0,1.31,,,,71.0,73.0,1.03
,,2021 - 2022,580.0,881.0,1.52,18.0,23.0,1.28,,,,40.0,43.0,1.08
,,2022 - 2023,261.0,395.0,1.51,42.0,55.0,1.31,,,,24.0,25.0,1.04
,Hassan,2012 - 2013,43.0,45.0,1.05,,,,,,,,,
,,2013 - 2014,43.0,51.0,1.19,,,,,,,,,
,,2018 - 2019,96.0,87.0,0.91,,,,,,,,,
,,2019 - 2020,87.0,94.0,1.08,,,,,,,5.0,5.0,1.0
,,2020 - 2021,15.0,22.0,1.47,40.0,52.0,1.3,,,,,,
,,2021 - 2022,22.0,25.0,1.14,1.0,1.0,1.0,,,,,,
,,2022 - 2023,8.0,11.0,1.38,6.0,8.0,1.33,,,,,,
,Haveri,2000 - 2001,382.0,286.0,0.75,,,,,,,8.0,9.0,1.13
,,2001 - 2002,344.0,172.0,0.5,,,,,,,,,
,,2002 - 2003,433.0,157.0,0.36,,,,,,,,,
,,2003 - 2004,43.0,25.0,0.58,,,,,,,,,
,,2004 - 2005,178.0,97.0,0.54,,,,,,,,,
,,2005 - 2006,73.0,62.0,0.85,,,,,,,,,
,,2006 - 2007,69.0,28.0,0.41,,,,,,,,,
,,2007 - 2008,47.0,34.0,0.72,,,,,,,,,
,,2008 - 2009,15.0,8.0,0.53,,,,,,,,,
,,2009 - 2010,1.0,,0.0,,,,,,,,,
,,2011 - 2012,7.0,6.0,0.86,,,,,,,,,
,,2012 - 2013,59.0,61.0,1.03,,,,,,,,,
,,2016 - 2017,5.0,5.0,1.0,,,,,,,,,
,,2018 - 2019,6.0,5.0,0.83,,,,,,,,,
,,2019 - 2020,42.0,46.0,1.1,,,,,,,25.0,26.0,1.04
,,2020 - 2021,36.0,52.0,1.44,15.0,20.0,1.33,,,,7.0,7.0,1.0
,,2021 - 2022,7.0,8.0,1.14,22.0,28.0,1.27,,,,1.0,1.0,1.0
,,2022 - 2023,9.0,13.0,1.44,9.0,12.0,1.33,,,,4.0,4.0,1.0
,Kodagu,2019 - 2020,1.0,1.0,1.0,,,,,,,,,
,,2020 - 2021,4.0,6.0,1.5,,,,,,,,,
,Kolar,2000 - 2001,44.0,19.0,0.43,,,,,,,,,
,,2002 - 2003,378.0,138.0,0.37,,,,,,,,,
,,2003 - 2004,31.0,9.0,0.29,,,,,,,,,
,,2004 - 2005,77.0,29.0,0.38,,,,,,,,,
,,2005 - 2006,93.0,54.0,0.58,,,,,,,,,
,,2006 - 2007,100.0,45.0,0.45,,,,,,,,,
,,2007 - 2008,39.0,27.0,0.69,,,,,,,,,
,,2018 - 2019,98.0,89.0,0.91,,,,,,,,,
,,2019 - 2020,117.0,127.0,1.09,,,,,,,10.0,10.0,1.0
,,2020 - 2021,131.0,188.0,1.44,14.0,18.0,1.29,,,,,,
,,2021 - 2022,87.0,101.0,1.16,1.0,1.0,1.0,,,,1.0,1.0,1.0
,,2022 - 2023,32.0,47.0,1.47,1.0,1.0,1.0,,,,,,
,Koppal,2000 - 2001,,,0.6,,,,,,,,,
,,2001 - 2002,,,0.41,235.0,116.0,0.49,,,,,,
,,2002 - 2003,,,0.12,,,,,,,65.0,59.0,0.91
,,2003 - 2004,,,0.64,,,,,,,2.0,2.0,1.0
,,2004 - 2005,,,0.46,,,,,,,,,
,,2005 - 2006,,,1.07,,,,,,,,,
,,2006 - 2007,,,0.24,,,,,,,,,
,,2007 - 2008,,,0.85,,,,,,,,,
,,2008 - 2009,,,0.55,,,,,,,,,
,,2009 - 2010,,,0.33,,,,,,,,,
,,2010 - 2011,,,1.23,,,,,,,,,
,,2011 - 2012,,,1.15,,,,,,,,,
,,2012 - 2013,,,1.36,,,,,,,,,
,,2013 - 2014,,,1.67,,,,,,,,,
,,2014 - 2015,,,1.73,,,,,,,,,
,,2015 - 2016,,,0.71,,,,,,,,,
,,2016 - 2017,,,0.67,,,,,,,,,
,,2017 - 2018,,,1.82,,,,,,,,,
,,2018 - 2019,,,0.67,,,,,,,,,
,,2019 - 2020,,,0.85,,,,,,,938.0,979.0,1.04
,,2020 - 2021,,,1.26,,,1.31,,,,278.0,284.0,1.02
,,2021 - 2022,,,1.03,461.0,603.0,1.31,,,,123.0,130.0,1.06
,,2022 - 2023,,,1.09,338.0,443.0,1.31,,,,84.0,89.0,1.06
,Mandya,2014 - 2015,35.0,37.0,1.06,,,,,,,,,
,,2018 - 2019,13.0,12.0,0.92,,,,,,,,,
,,2019 - 2020,10.0,11.0,1.1,,,,,,,1.0,1.0,1.0
,,2020 - 2021,10.0,14.0,1.4,1.0,1.0,1.0,,,,1.0,1.0,1.0
,,2021 - 2022,3.0,3.0,1.0,,,,,,,,,
,,2022 - 2023,1.0,1.0,1.0,,,,,,,,,
,Mysore,2000 - 2001,21.0,15.0,0.71,,,,,,,,,
,,2013 - 2014,4.0,5.0,1.25,,,,,,,,,
,,2018 - 2019,18.0,16.0,0.89,,,,,,,,,
,,2019 - 2020,15.0,16.0,1.07,,,,,,,2.0,2.0,1.0
,,2020 - 2021,11.0,16.0,1.45,1.0,1.0,1.0,,,,,,
,,2021 - 2022,10.0,11.0,1.1,,,,,,,,,
,,2022 - 2023,8.0,11.0,1.38,1.0,1.0,1.0,,,,,,
,Raichur,2000 - 2001,,,0.58,,,,,,,,,
,,2001 - 2002,,,0.31,,,,,,,,,
,,2002 - 2003,,,0.29,,,,,,,,,
