state,district,year,bajra_kharif_area_hectare,bajra_kharif_production_tonne,bajra_kharif_yield_tonne_per_hectare,bajra_rabi_area_hectare,bajra_rabi_production_tonne,bajra_rabi_yield_tonne_per_hectare,bajra_whole_year_area_hectare,bajra_whole_year_production_tonne,bajra_whole_year_yield_tonne_per_hectare,bajra_summer_area_hectare,bajra_summer_production_tonne,bajra_summer_yield_tonne_per_hectare
,,2020 - 2021,870.0,995.0,1.14,23.0,26.0,1.13,,,,,,
,,2021 - 2022,986.0,,1.2,6.0,7.0,1.17,,,,,,
,Kadapa,2000 - 2001,,,1.42,,,1.42,,,,,,
,,2001 - 2002,,,1.8,,,1.8,,,,,,
,,2002 - 2003,,,0.98,674.0,661.0,0.98,,,,,,
,,2003 - 2004,,,0.88,992.0,877.0,0.88,,,,,,
,,2004 - 2005,,,1.49,,,1.49,,,,,,
,,2005 - 2006,,,1.07,,,1.07,,,,,,
,,2006 - 2007,,,1.47,,,1.47,,,,,,
,,2007 - 2008,,,2.5,,,1.5,,,,,,
,,2008 - 2009,,,2.71,,,2.71,,,,,,
,,2009 - 2010,,,2.6,,,2.6,,,,,,
,,2010 - 2011,,,2.5,,,2.5,,,,,,
,,2011 - 2012,,,2.59,,,2.59,,,,,,
,,2012 - 2013,,,1.5,,,2.0,,,,,,
,,2013 - 2014,,,1.93,,,1.93,,,,,,
,,2014 - 2015,,,2.57,,,2.57,,,,,,
,,2015 - 2016,,,1.6,,,1.6,,,,,,
,,2016 - 2017,,,1.17,,,1.17,,,,,,
,,2017 - 2018,,,2.09,,,2.08,,,,,,
,,2018 - 2019,845.0,,1.43,,,1.43,,,,,,
,,2019 - 2020,,,2.53,,,2.53,,,,,,
,,2020 - 2021,,,2.51,,,2.51,,,,,,
,,2021 - 2022,,,1.81,,,1.81,,,,,,
,,2022 - 2023,859.0,,2.39,,,1.76,,,,,,
,Krishna,2000 - 2001,1.0,1.0,1.0,,,,,,,,,
,,2003 - 2004,10.0,14.0,1.4,,,,,,,,,
,,2005 - 2006,,,,2.0,2.0,1.0,,,,,,
,,2009 - 2010,1.0,2.0,2.0,,,,,,,,,
,Kurnool,2000 - 2001,,,0.81,504.0,409.0,0.81,,,,,,
,,2001 - 2002,,,0.79,184.0,146.0,0.79,,,,,,
,,2002 - 2003,,,0.66,362.0,240.0,0.66,,,,,,
,,2003 - 2004,,,1.2,236.0,282.0,1.19,,,,,,
,,2004 - 2005,,,0.93,760.0,703.0,0.93,,,,,,
,,2005 - 2006,,,1.22,,,1.22,,,,,,
