state,district,year,groundnut_rabi_area_hectare,groundnut_rabi_production_tonne,groundnut_rabi_yield_tonne_per_hectare,groundnut_kharif_area_hectare,groundnut_kharif_production_tonne,groundnut_kharif_yield_tonne_per_hectare,groundnut_summer_area_hectare,groundnut_summer_production_tonne,groundnut_summer_yield_tonne_per_hectare,groundnut_whole_year_area_hectare,groundnut_whole_year_production_tonne,groundnut_whole_year_yield_tonne_per_hectare,groundnut_autumn_area_hectare,groundnut_autumn_production_tonne,groundnut_autumn_yield_tonne_per_hectare,groundnut_winter_area_hectare,groundnut_winter_production_tonne,groundnut_winter_yield_tonne_per_hectare
Andaman and Nicobar Islands,North and middle andaman,2010 - 2011,4.75,6.8,1.43,,,,,,,,,,,,,,,
,,2011 - 2012,8.1,11.7,1.44,,,,,,,,,,,,,,,
,,2012 - 2013,14.6,3.4,0.23,,,,,,,,,,,,,,,
,,2013 - 2014,0.5,0.5,1.0,,,,,,,,,,,,,,,
,,2014 - 2015,3.1,2.1,0.68,,,,,,,,,,,,,,,
,,2016 - 2017,0.5,0.75,1.5,,,,,,,,,,,,,,,
,,2018 - 2019,2.0,1.2,0.6,,,,,,,,,,,,,,,
,,2019 - 2020,3.0,1.7,0.57,,,,,,,,,,,,,,,
,,2020 - 2021,5.5,3.0,0.55,,,,,,,,,,,,,,,
,,2021 - 2022,5.5,3.1,0.56,,,,,,,,,,,,,,,
,,2022 - 2023,4.5,2.7,0.6,,,,,,,,,,,,,,,
,South andamans,2010 - 2011,15.5,7.6,0.49,,,,,,,,,,,,,,,
,,2011 - 2012,12.2,4.3,0.35,,,,,,,,,,,,,,,
,,2012 - 2013,15.4,23.6,1.53,,,,,,,,,,,,,,,
,,2013 - 2014,1.2,0.9,0.75,,,,,,,,,,,,,,,
,,2014 - 2015,1.4,0.9,0.64,,,,,,,,,,,,,,,
,,2015 - 2016,1.2,0.6,0.5,,,,,,,,,,,,,,,
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,22.0,83.0,3.77,,,1.87,,,,,,,,,,,,
,Anakapalli,2022 - 2023,438.0,662.0,1.51,75.0,232.0,3.09,,,,,,,,,,,,
,Anantapur,2000 - 2001,,,1.03,,,1.12,,,,,,,,,,,,
,,2001 - 2002,,,1.55,,,0.44,,,,,,,,,,,,
,,2002 - 2003,,,1.06,,,0.35,,,,,,,,,,,,
,,2003 - 2004,,,1.32,,,0.28,,,,,,,,,,,,
,,2004 - 2005,,,1.5,,,0.8,,,,,,,,,,,,
,,2005 - 2006,,,1.35,,,0.41,,,,,,,,,,,,
