state,district,year,soyabean_kharif_area_hectare,soyabean_kharif_production_tonne,soyabean_kharif_yield_tonne_per_hectare,soyabean_rabi_area_hectare,soyabean_rabi_production_tonne,soyabean_rabi_yield_tonne_per_hectare,soyabean_whole_year_area_hectare,soyabean_whole_year_production_tonne,soyabean_whole_year_yield_tonne_per_hectare,soyabean_summer_area_hectare,soyabean_summer_production_tonne,soyabean_summer_yield_tonne_per_hectare
,,2011 - 2012,101.0,163.0,1.61,,,,,,,,,
,,2012 - 2013,69.0,125.0,1.81,,,,,,,,,
,,2013 - 2014,50.0,81.0,1.62,20.0,32.0,1.6,,,,,,
,,2014 - 2015,200.0,235.0,1.18,105.0,123.0,1.17,,,,,,
,,2015 - 2016,503.0,723.0,1.44,,,,,,,,,
,,2016 - 2017,593.0,856.0,1.44,,,,,,,,,
,,2017 - 2018,336.0,658.0,1.96,,,,,,,,,
,,2018 - 2019,,,1.96,,,,,,,,,
,,2019 - 2020,,,1.76,23.0,41.0,1.78,,,,,,
,,2020 - 2021,,,1.62,16.0,26.0,1.63,,,,,,
,,2021 - 2022,,,1.84,129.0,237.0,1.84,,,,,,
,,2022 - 2023,116.0,213.0,1.84,4.0,7.0,1.75,,,,,,
,Nandyal,2022 - 2023,,,1.84,397.0,730.0,1.84,,,,,,
,Palnadu,2022 - 2023,309.0,568.0,1.84,17.0,31.0,1.82,,,,,,
,Prakasam,2002 - 2003,12.0,0.0,0.0,,,,,,,,,
,,2003 - 2004,49.0,54.0,1.1,,,,,,,,,
,,2006 - 2007,2.0,2.0,1.0,,,,,,,,,
,,2008 - 2009,21.0,29.0,1.38,,,,,,,,,
,,2010 - 2011,2.0,4.0,2.0,,,,,,,,,
,,2011 - 2012,7.0,11.0,1.57,,,,,,,,,
,,2012 - 2013,3.0,5.0,1.67,65.0,118.0,1.82,,,,,,
,,2013 - 2014,65.0,105.0,1.62,,,,,,,,,
,,2014 - 2015,36.0,82.0,2.28,69.0,158.0,2.29,,,,,,
,,2015 - 2016,53.0,86.0,1.62,66.0,107.0,1.62,,,,,,
,,2016 - 2017,,,,1.0,1.0,1.0,,,,,,
,,2018 - 2019,4.0,8.0,2.0,4.0,8.0,2.0,,,,,,
,,2021 - 2022,,,,7.0,11.0,1.57,,,,,,
,,2022 - 2023,75.0,138.0,1.84,122.0,224.0,1.84,,,,,,
,Spsr nellore,2012 - 2013,,,,10.0,18.0,1.8,,,,,,
,,2013 - 2014,,,,6.0,10.0,1.67,,,,,,
,,2022 - 2023,12.0,22.0,1.83,2.0,4.0,2.0,,,,,,
,Sri sathya sai,2022 - 2023,6.0,11.0,1.83,7.0,13.0,1.86,,,,,,
