state,district,year,soyabean_kharif_area_hectare,soyabean_kharif_production_tonne,soyabean_kharif_yield_tonne_per_hectare,soyabean_rabi_area_hectare,soyabean_rabi_production_tonne,soyabean_rabi_yield_tonne_per_hectare,soyabean_whole_year_area_hectare,soyabean_whole_year_production_tonne,soyabean_whole_year_yield_tonne_per_hectare,soyabean_summer_area_hectare,soyabean_summer_production_tonne,soyabean_summer_yield_tonne_per_hectare
,,2021 - 2022,,,1.26,,,,,,,545.0,817.5,1.5
,,2022 - 2023,,,1.47,,,,,,,43.0,64.5,1.5
,Gadchiroli,2000 - 2001,,,1.0,,,,,,,,,
,,2001 - 2002,,,1.18,,,,,,,,,
,,2002 - 2003,,,0.89,,,,,,,,,
,,2003 - 2004,,,1.33,,,,,,,,,
,,2004 - 2005,,,1.0,,,,,,,,,
,,2005 - 2006,,,0.58,,,,,,,,,
,,2006 - 2007,,,1.24,,,,,,,,,
,,2007 - 2008,,,1.08,,,,,,,,,
,,2008 - 2009,,,0.74,,,,,,,,,
,,2009 - 2010,,,0.36,,,,,,,,,
,,2010 - 2011,,,0.92,,,,,,,,,
,,2011 - 2012,,,1.22,,,,,,,,,
,,2012 - 2013,,,1.21,,,,,,,,,
,,2013 - 2014,,,0.73,,,,,,,,,
,,2014 - 2015,,,0.68,,,,,,,,,
,,2015 - 2016,,,0.43,,,,,,,,,
,,2016 - 2017,,,0.86,,,,,,,,,
,,2017 - 2018,200.0,300.0,1.5,,,,,,,,,
,,2018 - 2019,164.0,376.0,2.29,,,,,,,,,
,,2019 - 2020,104.0,239.0,2.3,,,,,,,,,
,,2020 - 2021,95.27,52.61,0.55,,,,,,,,,
,,2021 - 2022,3.09,4.33,1.4,,,,,,,6.0,3.6,0.6
,,2022 - 2023,15.0,25.0,1.67,,,,,,,0.4,0.24,0.6
,Gondia,2002 - 2003,100.0,100.0,1.0,,,,,,,,,
,,2003 - 2004,100.0,100.0,1.0,,,,,,,,,
,,2004 - 2005,100.0,100.0,1.0,,,,,,,,,
,,2022 - 2023,,,,,,,,,,6.0,3.6,0.6
,Hingoli,2000 - 2001,,,1.2,,,,,,,,,
,,2001 - 2002,,,1.39,,,,,,,,,
,,2002 - 2003,,,1.52,,,,,,,,,
,,2003 - 2004,,,1.58,,,,,,,,,
,,2004 - 2005,,,0.8,,,,,,,,,
,,2005 - 2006,,,1.3,,,,,,,,,
,,2006 - 2007,,,0.87,,,,,,,,,
,,2007 - 2008,,,1.78,,,,,,,,,
,,2008 - 2009,,,0.59,,,,,,,,,
,,2009 - 2010,,,0.9,,,,,,,,,
,,2010 - 2011,,,1.6,,,,,,,,,
,,2011 - 2012,,,1.39,,,,,,,,,
,,2012 - 2013,,,1.9,,,,,,,,,
,,2013 - 2014,,,1.09,,,,,,,,,
,,2014 - 2015,,,0.28,,,,,,,,,
,,2015 - 2016,,,0.48,,,,,,,,,
,,2016 - 2017,,,1.07,,,,,,,,,
,,2017 - 2018,,,1.13,,,,,,,,,
,,2018 - 2019,,,1.39,,,,,,,,,
,,2019 - 2020,,,1.98,,,,,,,,,
,,2020 - 2021,,,1.08,,,,,,,,,
,,2021 - 2022,,,0.96,,,,,,,,,0.52
,,2022 - 2023,,,1.55,,,,,,,,,0.52
,Jalgaon,2000 - 2001,,,1.0,,,,,,,,,
,,2001 - 2002,,,1.39,,,,,,,,,
,,2002 - 2003,,,2.53,,,,,,,,,
,,2003 - 2004,,,2.44,,,,,,,,,
,,2004 - 2005,,,2.12,,,,,,,,,
,,2005 - 2006,,,1.82,,,,,,,,,
,,2006 - 2007,,,1.89,,,,,,,,,
,,2007 - 2008,,,1.83,,,,,,,,,
,,2008 - 2009,,,1.87,,,,,,,,,
,,2009 - 2010,,,2.19,,,,,,,,,
,,2010 - 2011,,,2.03,,,,,,,,,
,,2011 - 2012,,,2.0,,,,,,,,,
,,2012 - 2013,,,1.71,,,,,,,,,
,,2013 - 2014,,,1.77,,,,,,,,,
,,2014 - 2015,,,1.42,,,,,,,,,
,,2015 - 2016,,,0.55,,,,,,,,,
,,2016 - 2017,,,1.88,,,,,,,,,
,,2017 - 2018,,,1.64,,,,,,,,,
,,2018 - 2019,,,1.45,,,,,,,,,
,,2019 - 2020,,,0.55,,,,,,,,,
,,2020 - 2021,,,1.19,,,,,,,,,
,,2021 - 2022,,,0.57,,,,,,,,,1.5
,,2022 - 2023,,,1.46,,,,,,,641.0,961.5,1.5
,Jalna,2000 - 2001,,,0.49,,,,,,,,,
,,2001 - 2002,,,0.76,,,,,,,,,
,,2002 - 2003,,,1.65,,,,,,,,,
,,2003 - 2004,,,1.26,,,,,,,,,
,,2004 - 2005,,,0.94,,,,,,,,,
,,2005 - 2006,,,1.18,,,,,,,,,
,,2006 - 2007,,,1.2,,,,,,,,,
,,2007 - 2008,,,1.3,,,,,,,,,
,,2008 - 2009,,,0.61,,,,,,,,,
,,2009 - 2010,,,1.16,,,,,,,,,
,,2010 - 2011,,,1.62,,,,,,,,,
,,2011 - 2012,,,1.49,,,,,,,,,
,,2012 - 2013,,,0.7,,,,,,,,,
,,2013 - 2014,,,1.66,,,,,,,,,
,,2014 - 2015,,,0.37,,,,,,,,,
,,2015 - 2016,,,0.48,,,,,,,,,
,,2016 - 2017,,,1.52,,,,,,,,,
,,2017 - 2018,,,0.7,,,,,,,,,
,,2018 - 2019,,,0.9,,,,,,,,,
,,2019 - 2020,,,1.71,,,,,,,,,
,,2020 - 2021,,,2.0,,,,,,,,,
,,2021 - 2022,,,1.34,,,,,,,,,1.0
,,2022 - 2023,,,1.72,,,,,,,,,1.0
,Kolhapur,2000 - 2001,,,1.94,,,,,,,,,
,,2001 - 2002,,,1.75,,,,,,,,,
,,2002 - 2003,,,1.94,,,,,,,,,
,,2003 - 2004,,,1.96,,,,,,,,,
,,2004 - 2005,,,1.55,,,,,,,,,
,,2005 - 2006,,,0.96,,,,,,,,,
,,2006 - 2007,,,1.43,,,,,,,,,
,,2007 - 2008,,,2.2,,,,,,,,,
,,2008 - 2009,,,2.19,,,,,,,,,
,,2009 - 2010,,,1.94,,,,,,,,,
,,2010 - 2011,,,2.79,,,,,,,,,
,,2011 - 2012,,,2.54,,,,,,,,,
,,2012 - 2013,,,2.6,,,,,,,,,
,,2013 - 2014,,,2.39,,,,,,,,,
,,2014 - 2015,,,2.16,,,,,,,,,
,,2015 - 2016,,,1.9,,,,,,,,,
,,2016 - 2017,,,2.36,,,,,,,,,
,,2017 - 2018,,,2.14,,,,,,,,,
,,2018 - 2019,,,2.21,,,,,,,,,
,,2019 - 2020,,,2.0,,,,,,,,,
,,2020 - 2021,,,2.34,,,,,,,,,
,,2021 - 2022,,,2.24,,,,,,,,,1.9
,,2022 - 2023,,,2.13,,,,,,,414.0,683.1,1.65
,Latur,2000 - 2001,,,1.2,,,,,,,,,
,,2001 - 2002,,,0.73,,,,,,,,,
,,2002 - 2003,,,1.15,,,,,,,,,
,,2003 - 2004,,,1.08,,,,,,,,,
,,2004 - 2005,,,0.58,,,,,,,,,
,,2005 - 2006,,,1.44,,,,,,,,,
,,2006 - 2007,,,0.28,,,,,,,,,
,,2007 - 2008,,,1.17,,,,,,,,,
,,2008 - 2009,,,0.43,,,,,,,,,
,,2009 - 2010,,,0.66,,,,,,,,,
,,2010 - 2011,,,2.22,,,,,,,,,
,,2011 - 2012,,,1.65,,,,,,,,,
,,2012 - 2013,,,2.36,,,,,,,,,
,,2013 - 2014,,,2.17,,,,,,,,,
,,2014 - 2015,,,0.62,,,,,,,,,
,,2015 - 2016,,,0.32,,,,,,,,,
,,2016 - 2017,,,0.8,,,,,,,,,
,,2017 - 2018,,,1.18,,,,,,,,,
,,2018 - 2019,,,1.02,,,,,,,,,
,,2019 - 2020,,,1.1,,,,,,,,,
,,2020 - 2021,,,1.75,,,,,,,,,
,,2021 - 2022,,,1.23,,,,,,,,,0.52
,,2022 - 2023,,,1.1,,,,,,,174.6,90.79,0.52
,Nagpur,2000 - 2001,,,0.78,,,,,,,,,
,,2001 - 2002,,,1.0,,,,,,,,,
,,2002 - 2003,,,1.08,,,,,,,,,
,,2003 - 2004,,,1.27,,,,,,,,,
,,2004 - 2005,,,0.73,,,,,,,,,
,,2005 - 2006,,,1.05,,,,,,,,,
,,2006 - 2007,,,1.32,,,,,,,,,
,,2007 - 2008,,,1.37,,,,,,,,,
,,2008 - 2009,,,0.85,,,,,,,,,
,,2009 - 2010,,,0.77,,,,,,,,,
,,2010 - 2011,,,1.18,,,,,,,,,
,,2011 - 2012,,,0.65,,,,,,,,,
,,2012 - 2013,,,1.01,,,,,,,,,
,,2013 - 2014,,,0.43,,,,,,,,,
,,2014 - 2015,,,0.36,,,,,,,,,
,,2015 - 2016,,,0.39,,,,,,,,,
,,2016 - 2017,,,1.18,,,,,,,,,
,,2017 - 2018,,,1.14,,,,,,,,,
,,2018 - 2019,,,0.81,,,,,,,,,
,,2019 - 2020,,,1.67,,,,,,,,,
,,2020 - 2021,,,0.4,,,,,,,,,
,,2021 - 2022,,,0.76,,,,,,,703.1,421.86,0.6
,,2022 - 2023,,,1.2,,,,,,,451.7,271.02,0.6
,Nanded,2000 - 2001,,,0.9,,,,,,,,,
,,2001 - 2002,,,1.61,,,,,,,,,
,,2002 - 2003,,,1.38,,,,,,,,,
,,2003 - 2004,,,1.27,,,,,,,,,
,,2004 - 2005,,,0.94,,,,,,,,,
,,2005 - 2006,,,0.92,,,,,,,,,
,,2006 - 2007,,,0.7,,,,,,,,,
,,2007 - 2008,,,1.08,,,,,,,,,
,,2008 - 2009,,,0.8,,,,,,,,,
,,2009 - 2010,,,0.46,,,,,,,,,
,,2010 - 2011,,,1.48,,,,,,,,,
,,2011 - 2012,,,1.28,,,,,,,,,
,,2012 - 2013,,,1.53,,,,,,,,,
,,2013 - 2014,,,1.29,,,,,,,,,
,,2014 - 2015,,,0.29,,,,,,,,,
,,2015 - 2016,,,0.32,,,,,,,,,
,,2016 - 2017,,,0.33,,,,,,,,,
,,2017 - 2018,,,0.7,,,,,,,,,
,,2018 - 2019,,,1.39,,,,,,,,,
,,2019 - 2020,,,1.36,,,,,,,,,
,,2020 - 2021,,,1.38,,,,,,,,,
,,2021 - 2022,,,0.81,,,,,,,,,0.52
,,2022 - 2023,,,1.24,,,,,,,,,0.52
,Nandurbar,2000 - 2001,,,1.1,,,,,,,,,
,,2001 - 2002,,,0.9,,,,,,,,,
,,2002 - 2003,,,1.56,,,,,,,,,
,,2003 - 2004,,,1.5,,,,,,,,,
,,2004 - 2005,,,1.28,,,,,,,,,
,,2005 - 2006,,,1.4,,,,,,,,,
,,2006 - 2007,,,0.92,,,,,,,,,
,,2007 - 2008,,,1.38,,,,,,,,,
,,2008 - 2009,,,1.27,,,,,,,,,
,,2009 - 2010,,,1.33,,,,,,,,,
,,2010 - 2011,,,1.62,,,,,,,,,
,,2011 - 2012,,,1.78,,,,,,,,,
,,2012 - 2013,,,2.02,,,,,,,,,
,,2013 - 2014,,,1.19,,,,,,,,,
,,2014 - 2015,,,0.97,,,,,,,,,
,,2015 - 2016,,,0.95,,,,,,,,,
,,2016 - 2017,,,1.64,,,,,,,,,
,,2017 - 2018,,,1.44,,,,,,,,,
,,2018 - 2019,,,1.26,,,,,,,,,
,,2019 - 2020,,,1.46,,,,,,,,,
,,2020 - 2021,,,1.47,,,,,,,,,
,,2021 - 2022,,,1.26,,,,,,,681.3,,1.5
,,2022 - 2023,,,1.53,,,,,,,15.0,22.5,1.5
,Nashik,2000 - 2001,,,1.17,,,,,,,,,
,,2001 - 2002,,,1.82,,,,,,,,,
,,2002 - 2003,,,1.05,,,,,,,,,
,,2003 - 2004,,,2.25,,,,,,,,,
,,2004 - 2005,,,1.84,,,,,,,,,
,,2005 - 2006,,,2.0,,,,,,,,,
,,2006 - 2007,,,1.5,,,,,,,,,
,,2007 - 2008,,,1.52,,,,,,,,,
,,2008 - 2009,,,1.29,,,,,,,,,
,,2009 - 2010,,,1.19,,,,,,,,,
,,2010 - 2011,,,1.42,,,,,,,,,
,,2011 - 2012,,,1.39,,,,,,,,,
,,2012 - 2013,,,1.56,,,,,,,,,
,,2013 - 2014,,,1.58,,,,,,,,,
,,2014 - 2015,,,1.42,,,,,,,,,
,,2015 - 2016,,,1.16,,,,,,,,,
,,2016 - 2017,,,1.5,,,,,,,,,
,,2017 - 2018,,,2.04,,,,,,,,,
,,2018 - 2019,,,0.92,,,,,,,,,
,,2019 - 2020,,,1.01,,,,,,,,,
,,2020 - 2021,,,1.96,,,,,,,,,
,,2021 - 2022,,,1.81,,,,,,,351.65,527.48,1.5
,,2022 - 2023,,,1.72,,,,,,,29.7,44.55,1.5
,Parbhani,2000 - 2001,,,1.07,,,,,,,,,
,,2001 - 2002,,,1.24,,,,,,,,,
,,2002 - 2003,,,1.74,,,,,,,,,
,,2003 - 2004,,,1.53,,,,,,,,,
,,2004 - 2005,,,0.62,,,,,,,,,
,,2005 - 2006,,,1.02,,,,,,,,,
,,2006 - 2007,,,1.17,,,,,,,,,
,,2007 - 2008,,,1.4,,,,,,,,,
,,2008 - 2009,,,0.87,,,,,,,,,
,,2009 - 2010,,,0.79,,,,,,,,,
,,2010 - 2011,,,1.53,,,,,,,,,
,,2011 - 2012,,,1.19,,,,,,,,,
,,2012 - 2013,,,1.38,,,,,,,,,
,,2013 - 2014,,,1.26,,,,,,,,,
,,2014 - 2015,,,0.32,,,,,,,,,
,,2015 - 2016,,,0.23,,,,,,,,,
,,2016 - 2017,,,1.01,,,,,,,,,
,,2017 - 2018,,,0.88,,,,,,,,,
,,2018 - 2019,,,1.11,,,,,,,,,
,,2019 - 2020,,,1.03,,,,,,,,,
,,2020 - 2021,,,1.38,,,,,,,,,
,,2021 - 2022,,,0.42,,,,,,,,,0.52
,,2022 - 2023,,,1.56,,,,,,,,,0.52
,Pune,2000 - 2001,700.0,600.0,0.86,,,,,,,,,
,,2001 - 2002,400.0,500.0,1.25,,,,,,,,,
,,2002 - 2003,400.0,700.0,1.75,,,,,,,,,
,,2003 - 2004,600.0,,3.33,,,,,,,,,
,,2004 - 2005,,,3.0,,,,,,,,,
,,2005 - 2006,,,2.11,,,,,,,,,
,,2006 - 2007,,,1.89,,,,,,,,,
,,2007 - 2008,,,1.73,,,,,,,,,
,,2008 - 2009,,,1.54,,,,,,,,,
,,2009 - 2010,,,1.42,,,,,,,,,
,,2010 - 2011,,,2.0,,,,,,,,,
,,2011 - 2012,,,2.1,,,,,,,,,
,,2012 - 2013,,,1.93,,,,,,,,,
,,2013 - 2014,,,3.88,,,,,,,,,
,,2014 - 2015,,,1.65,,,,,,,,,
,,2015 - 2016,,,2.92,,,,,,,,,
,,2016 - 2017,,,2.13,,,,,,,,,
,,2017 - 2018,,,2.02,,,,,,,,,
,,2018 - 2019,,,1.6,,,,,,,,,
,,2019 - 2020,,,0.81,,,,,,,,,
,,2020 - 2021,,,2.82,,,,,,,,,
,,2021 - 2022,,,2.61,,,,,,,,,1.5
,,2022 - 2023,,,2.61,,,,,,,163.05,244.58,1.5
,Sangli,2000 - 2001,,,2.64,,,,,,,,,
,,2001 - 2002,,,1.54,,,,,,,,,
,,2002 - 2003,,,1.67,,,,,,,,,
,,2003 - 2004,,,1.96,,,,,,,,,
,,2004 - 2005,,,1.82,,,,,,,,,
,,2005 - 2006,,,1.35,,,,,,,,,
,,2006 - 2007,,,1.48,,,,,,,,,
,,2007 - 2008,,,2.15,,,,,,,,,
,,2008 - 2009,,,2.15,,,,,,,,,
,,2009 - 2010,,,1.52,,,,,,,,,
,,2010 - 2011,,,2.09,,,,,,,,,
,,2011 - 2012,,,1.67,,,,,,,,,
,,2012 - 2013,,,1.6,,,,,,,,,
,,2013 - 2014,,,2.07,,,,,,,,,
,,2014 - 2015,,,1.3,,,,,,,,,
,,2015 - 2016,,,1.54,,,,,,,,,
,,2016 - 2017,,,2.22,,,,,,,,,
,,2017 - 2018,,,1.67,,,,,,,,,
,,2018 - 2019,,,2.16,,,,,,,,,
,,2019 - 2020,,,0.86,,,,,,,,,
,,2020 - 2021,,,2.35,,,,,,,,,
,,2021 - 2022,,,1.69,,,,,,,,,1.5
,,2022 - 2023,,,1.5,,,,,,,24.0,35.88,1.5
,Satara,2000 - 2001,,,2.47,,,,,,,,,
,,2001 - 2002,,,1.91,,,,,,,,,
,,2002 - 2003,,,1.97,,,,,,,,,
,,2003 - 2004,,,1.65,,,,,,,,,
,,2004 - 2005,,,1.84,,,,,,,,,
,,2005 - 2006,,,1.24,,,,,,,,,
,,2006 - 2007,,,1.08,,,,,,,,,
,,2007 - 2008,,,1.76,,,,,,,,,
,,2008 - 2009,,,2.15,,,,,,,,,
,,2009 - 2010,,,2.0,,,,,,,,,
,,2010 - 2011,,,1.63,,,,,,,,,
,,2011 - 2012,,,1.63,,,,,,,,,
,,2012 - 2013,,,1.79,,,,,,,,,
,,2013 - 2014,,,2.05,,,,,,,,,
,,2014 - 2015,,,1.7,,,,,,,,,
,,2015 - 2016,,,1.61,,,,,,,,,
,,2016 - 2017,,,1.81,,,,,,,,,
,,2017 - 2018,,,1.84,,,,,,,,,
,,2018 - 2019,,,1.71,,,,,,,,,
,,2019 - 2020,,,1.44,,,,,,,,,
,,2020 - 2021,,,2.26,,,,,,,,,
,,2021 - 2022,,,2.37,,,,,,,,,1.75
,,2022 - 2023,,,2.15,,,,,,,80.0,117.6,1.47
,Solapur,2000 - 2001,600.0,,1.67,,,,,,,,,
,,2001 - 2002,400.0,500.0,1.25,,,,,,,,,
,,2002 - 2003,700.0,500.0,0.71,,,,,,,,,
,,2003 - 2004,600.0,700.0,1.17,,,,,,,,,
,,2004 - 2005,,,2.24,,,,,,,,,
,,2005 - 2006,,800.0,0.73,,,,,,,,,
,,2006 - 2007,,,1.57,,,,,,,,,
,,2007 - 2008,,,1.39,,,,,,,,,
,,2008 - 2009,,,0.92,,,,,,,,,
,,2009 - 2010,,,0.88,,,,,,,,,
,,2010 - 2011,,,1.23,,,,,,,,,
,,2011 - 2012,,,2.39,,,,,,,,,
,,2012 - 2013,,,2.09,,,,,,,,,
,,2013 - 2014,,,1.8,,,,,,,,,
,,2014 - 2015,,,1.17,,,,,,,,,
,,2015 - 2016,,,0.17,,,,,,,,,
,,2016 - 2017,,,0.37,,,,,,,,,
,,2017 - 2018,,,1.15,,,,,,,,,
,,2018 - 2019,,,0.33,,,,,,,,,
,,2019 - 2020,,,0.64,,,,,,,,,
,,2020 - 2021,,,1.25,,,,,,,,,
,,2021 - 2022,,,1.17,,,,,,,,,1.5
,,2022 - 2023,,,0.93,,,,,,,342.5,513.75,1.5
,Wardha,2000 - 2001,,,1.18,,,,,,,,,
,,2001 - 2002,,,1.3,,,,,,,,,
,,2002 - 2003,,,1.06,,,,,,,,,
,,2003 - 2004,,,1.46,,,,,,,,,
,,2004 - 2005,,,1.03,,,,,,,,,
,,2005 - 2006,,,1.09,,,,,,,,,
,,2006 - 2007,,,1.21,,,,,,,,,
,,2007 - 2008,,,1.33,,,,,,,,,
,,2008 - 2009,,,0.58,,,,,,,,,
,,2009 - 2010,,,0.58,,,,,,,,,
,,2010 - 2011,,,1.1,,,,,,,,,
,,2011 - 2012,,,0.87,,,,,,,,,
,,2012 - 2013,,,1.07,,,,,,,,,
,,2013 - 2014,,,0.66,,,,,,,,,
,,2014 - 2015,,,0.44,,,,,,,,,
,,2015 - 2016,,,0.44,,,,,,,,,
,,2016 - 2017,,,1.18,,,,,,,,,
,,2017 - 2018,,,1.53,,,,,,,,,
,,2018 - 2019,,,1.31,,,,,,,,,
,,2019 - 2020,,,1.3,,,,,,,,,
,,2020 - 2021,,,0.54,,,,,,,,,
,,2021 - 2022,,,1.62,,,,,,,753.1,451.86,0.6
,,2022 - 2023,,,1.19,,,,,,,483.8,290.28,0.6
,Washim,2000 - 2001,,,1.06,,,,,,,,,
,,2001 - 2002,,,1.49,,,,,,,,,
,,2002 - 2003,,,1.29,,,,,,,,,
,,2003 - 2004,,,1.36,,,,,,,,,
,,2004 - 2005,,,0.89,,,,,,,,,
,,2005 - 2006,,,0.95,,,,,,,,,
,,2006 - 2007,,,1.23,,,,,,,,,
,,2007 - 2008,,,1.61,,,,,,,,,
,,2008 - 2009,,,0.34,,,,,,,,,
,,2009 - 2010,,,0.36,,,,,,,,,
,,2010 - 2011,,,1.43,,,,,,,,,
,,2011 - 2012,,,1.33,,,,,,,,,
,,2012 - 2013,,,1.69,,,,,,,,,
,,2013 - 2014,,,0.84,,,,,,,,,
,,2014 - 2015,,,0.41,,,,,,,,,
,,2015 - 2016,,,0.56,,,,,,,,,
,,2016 - 2017,,,1.48,,,,,,,,,
,,2017 - 2018,,,0.76,,,,,,,,,
,,2018 - 2019,,,1.37,,,,,,,,,
,,2019 - 2020,,,1.09,,,,,,,,,
,,2020 - 2021,,,1.75,,,,,,,,,
,,2021 - 2022,,,1.65,,,,,,,,,0.5
,,2022 - 2023,,,1.37,,,,,,,348.4,209.04,0.6
,Yavatmal,2000 - 2001,,,1.19,,,,,,,,,
,,2001 - 2002,,,1.3,,,,,,,,,
,,2002 - 2003,,,1.36,,,,,,,,,
,,2003 - 2004,,,1.45,,,,,,,,,
,,2004 - 2005,,,0.54,,,,,,,,,
,,2005 - 2006,,,1.12,,,,,,,,,
,,2006 - 2007,,,1.09,,,,,,,,,
,,2007 - 2008,,,1.25,,,,,,,,,
,,2008 - 2009,,,0.33,,,,,,,,,
,,2009 - 2010,,,0.41,,,,,,,,,
,,2010 - 2011,,,1.38,,,,,,,,,
,,2011 - 2012,,,1.35,,,,,,,,,
,,2012 - 2013,,,1.64,,,,,,,,,
,,2013 - 2014,,,0.55,,,,,,,,,
,,2014 - 2015,,,0.32,,,,,,,,,
,,2015 - 2016,,,0.48,,,,,,,,,
,,2016 - 2017,,,1.12,,,,,,,,,
,,2017 - 2018,,,0.81,,,,,,,,,
,,2018 - 2019,,,1.18,,,,,,,,,
,,2019 - 2020,,,0.82,,,,,,,,,
,,2020 - 2021,,,1.0,,,,,,,,,
,,2021 - 2022,,,1.01,,,,,,,,,0.5
,,2022 - 2023,,,0.82,,,,,,,,653.45,0.65
Manipur,Bishnupur,2005 - 2006,10.0,10.0,1.0,,,,,,,,,
,,2008 - 2009,678.0,552.0,0.81,,,,,,,,,
,,2009 - 2010,90.0,59.0,0.66,,,,,,,,,
,,2010 - 2011,650.0,540.0,0.83,,,,,,,,,
,,2011 - 2012,680.0,600.0,0.88,,,,,,,,,
,,2012 - 2013,670.0,575.0,0.86,,,,,,,,,
,,2013 - 2014,700.0,632.0,0.9,,,,,,,,,
,,2014 - 2015,700.0,632.0,0.9,,,,,,,,,
,,2015 - 2016,705.0,600.0,0.85,,,,,,,,,
,,2016 - 2017,705.0,608.5,0.86,,,,,,,,,
,,2017 - 2018,705.0,628.0,0.89,,,,,,,,,
,,2018 - 2019,515.0,465.0,0.9,,,,,,,,,
,Chandel,2002 - 2003,140.0,170.0,1.21,,,,,,,,,
,,2003 - 2004,130.0,150.0,1.15,,,,,,,,,
,,2004 - 2005,200.0,240.0,1.2,,,,,,,,,
,,2005 - 2006,140.0,170.0,1.21,,,,,,,,,
,,2006 - 2007,220.0,260.0,1.18,,,,,,,,,
,,2007 - 2008,20.0,20.0,1.0,,,,,,,,,
,,2008 - 2009,355.0,321.0,0.9,,,,,,,,,
,,2009 - 2010,25.0,13.0,0.52,,,,,,,,,
,,2010 - 2011,350.0,300.0,0.86,,,,,,,,,
,,2011 - 2012,380.0,400.0,1.05,,,,,,,,,
,,2012 - 2013,350.0,300.0,0.86,,,,,,,,,
,,2013 - 2014,370.0,320.0,0.86,,,,,,,,,
,,2014 - 2015,370.0,320.0,0.86,,,,,,,,,
,,2015 - 2016,370.0,320.0,0.86,,,,,,,,,
,,2016 - 2017,370.0,320.0,0.86,,,,,,,,,
,,2017 - 2018,365.0,370.0,1.01,,,,,,,,,
,,2018 - 2019,372.0,370.0,0.99,,,,,,,,,
,Churachandpur,2008 - 2009,380.0,259.0,0.68,,,,,,,,,
,,2009 - 2010,45.0,19.0,0.42,,,,,,,,,
,,2010 - 2011,400.0,272.5,0.68,,,,,,,,,
,,2011 - 2012,430.0,380.0,0.88,,,,,,,,,
,,2012 - 2013,390.0,292.5,0.75,,,,,,,,,
,,2013 - 2014,405.0,320.0,0.79,,,,,,,,,
,,2014 - 2015,410.0,315.0,0.77,,,,,,,,,
,,2015 - 2016,410.0,325.0,0.79,,,,,,,,,
,,2016 - 2017,410.0,327.0,0.8,,,,,,,,,
,,2017 - 2018,405.0,360.0,0.89,,,,,,,,,
,,2018 - 2019,412.0,360.0,0.87,,,,,,,,,
,Imphal east,2008 - 2009,750.0,618.0,0.82,,,,,,,,,
,,2009 - 2010,100.0,63.0,0.63,,,,,,,,,
,,2010 - 2011,620.0,525.0,0.85,,,,,,,,,
,,2011 - 2012,690.0,635.0,0.92,,,,,,,,,
,,2012 - 2013,690.0,590.0,0.86,,,,,,,,,
,,2013 - 2014,755.0,693.0,0.92,,,,,,,,,
,,2014 - 2015,755.0,693.0,0.92,,,,,,,,,
,,2015 - 2016,760.0,598.0,0.79,,,,,,,,,
,,2016 - 2017,755.0,590.0,0.78,,,,,,,,,
,,2017 - 2018,755.0,640.0,0.85,,,,,,,,,
,,2018 - 2019,755.0,640.0,0.85,,,,,,,,,
,Imphal west,2008 - 2009,760.0,656.0,0.86,,,,,,,,,
,,2009 - 2010,110.0,74.0,0.67,,,,,,,,,
,,2010 - 2011,710.0,633.0,0.89,,,,,,,,,
,,2011 - 2012,745.0,698.9,0.94,,,,,,,,,
,,2012 - 2013,730.0,659.5,0.9,,,,,,,,,
,,2013 - 2014,730.0,670.0,0.92,,,,,,,,,
,,2014 - 2015,730.0,700.0,0.96,,,,,,,,,
,,2015 - 2016,750.0,640.0,0.85,,,,,,,,,
,,2016 - 2017,750.0,650.0,0.87,,,,,,,,,
,,2017 - 2018,740.0,665.0,0.9,,,,,,,,,
,,2018 - 2019,740.0,665.0,0.9,,,,,,,,,
,Senapati,2002 - 2003,90.0,110.0,1.22,,,,,,,,,
,,2003 - 2004,20.0,20.0,1.0,,,,,,,,,
,,2004 - 2005,20.0,20.0,1.0,,,,,,,,,
,,2005 - 2006,10.0,10.0,1.0,,,,,,,,,
,,2008 - 2009,380.0,243.0,0.64,,,,,,,,,
,,2009 - 2010,35.0,12.0,0.34,,,,,,,,,
,,2010 - 2011,380.0,260.0,0.68,,,,,,,,,
,,2011 - 2012,410.0,310.0,0.76,,,,,,,,,
,,2012 - 2013,385.0,245.0,0.64,,,,,,,,,
,,2013 - 2014,390.0,315.0,0.81,,,,,,,,,
,,2014 - 2015,385.0,315.0,0.82,,,,,,,,,
,,2015 - 2016,390.0,335.0,0.86,,,,,,,,,
,,2016 - 2017,390.0,339.0,0.87,,,,,,,,,
,,2017 - 2018,390.0,370.0,0.95,,,,,,,,,
,,2018 - 2019,390.0,369.0,0.95,,,,,,,,,
,Tamenglong,2003 - 2004,80.0,10.0,0.13,,,,,,,,,
,,2005 - 2006,10.0,10.0,1.0,,,,,,,,,
,,2007 - 2008,20.0,20.0,1.0,,,,,,,,,
,,2008 - 2009,455.0,316.0,0.69,,,,,,,,,
,,2009 - 2010,25.0,13.0,0.52,,,,,,,,,
,,2010 - 2011,450.0,315.0,0.7,,,,,,,,,
,,2011 - 2012,480.0,390.0,0.81,,,,,,,,,
,,2012 - 2013,430.0,352.5,0.82,,,,,,,,,
,,2013 - 2014,460.0,400.0,0.87,,,,,,,,,
,,2014 - 2015,465.0,401.5,0.86,,,,,,,,,
,,2015 - 2016,465.0,385.0,0.83,,,,,,,,,
,,2016 - 2017,465.0,390.0,0.84,,,,,,,,,
,,2017 - 2018,465.0,415.0,0.89,,,,,,,,,
,,2018 - 2019,465.0,416.0,0.89,,,,,,,,,
