state,district,year,sugarcane_whole_year_area_hectare,sugarcane_whole_year_production_tonne,sugarcane_whole_year_yield_tonne_per_hectare,sugarcane_autumn_area_hectare,sugarcane_autumn_production_tonne,sugarcane_autumn_yield_tonne_per_hectare,sugarcane_kharif_area_hectare,sugarcane_kharif_production_tonne,sugarcane_kharif_yield_tonne_per_hectare,sugarcane_winter_area_hectare,sugarcane_winter_production_tonne,sugarcane_winter_yield_tonne_per_hectare,sugarcane_rabi_area_hectare,sugarcane_rabi_production_tonne,sugarcane_rabi_yield_tonne_per_hectare,sugarcane_summer_area_hectare,sugarcane_summer_production_tonne,sugarcane_summer_yield_tonne_per_hectare
,,2019 - 2020,7.0,9.0,1.29,,,,,,,,,,,,,,,
,,2020 - 2021,7.0,9.0,1.29,,,,,,,,,,,,,,,
,,2022 - 2023,7.0,9.0,1.29,,,,,,,,,,,,,,,
,West khasi hills,2000 - 2001,6.0,12.0,2.0,,,,,,,,,,,,,,,
,,2001 - 2002,6.0,12.0,2.0,,,,,,,,,,,,,,,
,,2002 - 2003,5.0,10.0,2.0,,,,,,,,,,,,,,,
,,2003 - 2004,5.0,10.0,2.0,,,,,,,,,,,,,,,
,,2004 - 2005,5.0,10.0,2.0,,,,,,,,,,,,,,,
,,2005 - 2006,5.0,10.0,2.0,,,,,,,,,,,,,,,
,,2006 - 2007,5.0,10.0,2.0,,,,,,,,,,,,,,,
,,2007 - 2008,5.0,10.0,2.0,,,,,,,,,,,,,,,
,,2008 - 2009,6.0,12.0,2.0,,,,,,,,,,,,,,,
,,2009 - 2010,5.0,13.0,2.6,,,,,,,,,,,,,,,
,,2010 - 2011,6.0,13.0,2.17,,,,,,,,,,,,,,,
,,2011 - 2012,7.0,16.0,2.29,,,,,,,,,,,,,,,
,,2012 - 2013,8.0,21.0,2.63,,,,,,,,,,,,,,,
,,2013 - 2014,9.0,24.0,2.67,,,,,,,,,,,,,,,
,,2014 - 2015,10.0,28.0,2.8,,,,,,,,,,,,,,,
,,2015 - 2016,11.0,31.0,2.82,,,,,,,,,,,,,,,
,,2016 - 2017,11.0,31.0,2.82,,,,,,,,,,,,,,,
,,2017 - 2018,11.0,31.0,2.82,,,,,,,,,,,,,,,
,,2018 - 2019,11.0,31.0,2.82,,,,,,,,,,,,,,,
,,2019 - 2020,11.0,31.0,2.82,,,,,,,,,,,,,,,
,,2020 - 2021,11.0,31.0,2.82,,,,,,,,,,,,,,,
Mizoram,Aizawl,2000 - 2001,685.0,,3.21,,,,,,,,,,,,,,,
,,2001 - 2002,,,4.72,,,,,,,,,,,,,,,
,,2002 - 2003,,,3.94,,,,,,,,,,,,,,,
,,2003 - 2004,630.0,,25.02,,,,,,,,,,,,,,,
,,2005 - 2006,704.0,,50.0,,,,,,,,,,,,,,,
,,2006 - 2007,706.0,,3.75,,,,,,,,,,,,,,,
,,2007 - 2008,247.0,405.0,1.64,,,,,,,,,,,,,,,
,,2008 - 2009,339.0,,3.84,,,,,,,,,,,,,,,
,,2009 - 2010,420.0,,3.2,,,,,,,,,,,,,,,
,,2010 - 2011,446.0,815.0,1.83,,,,,,,,,,,,,,,
,,2011 - 2012,422.0,863.0,2.05,,,,,,,,,,,,,,,
,,2012 - 2013,398.0,839.0,2.11,,,,,,,,,,,,,,,
,,2013 - 2014,412.0,860.0,2.09,,,,,,,,,,,,,,,
,,2014 - 2015,413.0,,35.0,,,,,,,,,,,,,,,
,,2015 - 2016,421.0,,36.31,,,,,,,,,,,,,,,
,,2016 - 2017,428.0,,36.52,,,,,,,,,,,,,,,
,,2017 - 2018,439.0,,36.54,,,,,,,,,,,,,,,
,,2018 - 2019,395.0,,37.65,,,,,,,,,,,,,,,
,,2019 - 2020,395.0,,30.5,,,,,,,,,,,,,,,
,,2020 - 2021,365.0,,30.8,,,,,,,,,,,,,,,
,,2021 - 2022,245.0,,32.53,,,,,,,,,,,,,,,
,,2022 - 2023,393.0,,24.57,,,,,,,,,,,,,,,
,Champhai,2000 - 2001,36.0,72.0,2.0,,,,,,,,,,,,,,,
,,2001 - 2002,23.0,35.0,1.52,,,,,,,,,,,,,,,
,,2002 - 2003,26.0,36.0,1.38,,,,,,,,,,,,,,,
,,2003 - 2004,300.0,,25.0,,,,,,,,,,,,,,,
,,2005 - 2006,132.0,,14.48,,,,,,,,,,,,,,,
,,2006 - 2007,136.0,,15.64,,,,,,,,,,,,,,,
,,2007 - 2008,3.0,67.0,22.33,,,,,,,,,,,,,,,
,,2008 - 2009,133.0,,21.0,,,,,,,,,,,,,,,
,,2009 - 2010,126.0,,20.57,,,,,,,,,,,,,,,
,,2010 - 2011,162.0,,16.23,,,,,,,,,,,,,,,
,,2011 - 2012,157.0,,13.64,,,,,,,,,,,,,,,
,,2012 - 2013,165.0,,13.64,,,,,,,,,,,,,,,
,,2013 - 2014,141.0,,12.63,,,,,,,,,,,,,,,
,,2014 - 2015,179.0,,13.2,,,,,,,,,,,,,,,
,,2015 - 2016,182.0,,27.77,,,,,,,,,,,,,,,
,,2016 - 2017,181.0,,15.08,,,,,,,,,,,,,,,
,,2017 - 2018,173.1,861.9,4.98,,,,,,,,,,,,,,,
,,2018 - 2019,106.0,740.0,6.98,,,,,,,,,,,,,,,
,,2019 - 2020,97.0,,32.34,,,,,,,,,,,,,,,
,,2020 - 2021,59.0,,32.15,,,,,,,,,,,,,,,
,,2021 - 2022,74.0,,14.49,,,,,,,,,,,,,,,
,,2022 - 2023,61.0,,40.0,,,,,,,,,,,,,,,
,Hnahthial,2020 - 2021,29.0,158.0,5.45,,,,,,,,,,,,,,,
,,2021 - 2022,13.0,190.0,14.62,,,,,,,,,,,,,,,
,,2022 - 2023,38.0,167.0,4.39,,,,,,,,,,,,,,,
,Khawzawl,2020 - 2021,26.0,360.0,13.85,,,,,,,,,,,,,,,
,,2021 - 2022,3.0,45.0,15.0,,,,,,,,,,,,,,,
,,2022 - 2023,24.0,360.0,15.0,,,,,,,,,,,,,,,
,Kolasib,2000 - 2001,155.0,,23.28,,,,,,,,,,,,,,,
,,2001 - 2002,178.0,,20.8,,,,,,,,,,,,,,,
,,2002 - 2003,181.0,,14.94,,,,,,,,,,,,,,,
,,2003 - 2004,145.0,,45.2,,,,,,,,,,,,,,,
,,2005 - 2006,259.0,,27.74,,,,,,,,,,,,,,,
,,2006 - 2007,237.0,,28.08,,,,,,,,,,,,,,,
,,2007 - 2008,77.0,,0.0,,,,,,,,,,,,,,,
,,2008 - 2009,288.0,,8.14,,,,,,,,,,,,,,,
,,2009 - 2010,241.0,,13.77,,,,,,,,,,,,,,,
,,2010 - 2011,297.0,,12.49,,,,,,,,,,,,,,,
,,2011 - 2012,309.0,,10.07,,,,,,,,,,,,,,,
,,2012 - 2013,171.0,,15.26,,,,,,,,,,,,,,,
,,2013 - 2014,181.0,,15.27,,,,,,,,,,,,,,,
,,2014 - 2015,183.0,,25.0,,,,,,,,,,,,,,,
,,2015 - 2016,189.0,,26.36,,,,,,,,,,,,,,,
,,2016 - 2017,192.0,,26.38,,,,,,,,,,,,,,,
,,2017 - 2018,198.0,,26.38,,,,,,,,,,,,,,,
,,2018 - 2019,198.0,,27.15,,,,,,,,,,,,,,,
,,2019 - 2020,199.0,,30.02,,,,,,,,,,,,,,,
,,2020 - 2021,175.0,,30.25,,,,,,,,,,,,,,,
,,2021 - 2022,146.0,,30.24,,,,,,,,,,,,,,,
,,2022 - 2023,135.0,,27.96,,,,,,,,,,,,,,,
,Lawngtlai,2006 - 2007,5.0,5.0,1.0,,,,,,,,,,,,,,,
,,2008 - 2009,46.0,29.0,0.63,,,,,,,,,,,,,,,
,,2009 - 2010,50.0,500.0,10.0,,,,,,,,,,,,,,,
,,2010 - 2011,38.0,360.0,9.47,,,,,,,,,,,,,,,
,,2011 - 2012,46.0,591.6,12.86,,,,,,,,,,,,,,,
,,2012 - 2013,54.0,691.0,12.8,,,,,,,,,,,,,,,
,,2013 - 2014,59.0,696.0,11.8,,,,,,,,,,,,,,,
,,2014 - 2015,59.0,,20.0,,,,,,,,,,,,,,,
,,2015 - 2016,60.0,,34.92,,,,,,,,,,,,,,,
,,2016 - 2017,71.0,,35.0,,,,,,,,,,,,,,,
,,2017 - 2018,58.0,,34.92,,,,,,,,,,,,,,,
,,2018 - 2019,62.0,,33.5,,,,,,,,,,,,,,,
,,2019 - 2020,64.0,,31.88,,,,,,,,,,,,,,,
,,2020 - 2021,64.0,,31.92,,,,,,,,,,,,,,,
,,2021 - 2022,60.0,,26.62,,,,,,,,,,,,,,,
,,2022 - 2023,76.0,,32.45,,,,,,,,,,,,,,,
,Lunglei,2000 - 2001,76.0,481.0,6.33,,,,,,,,,,,,,,,
,,2001 - 2002,81.0,439.0,5.42,,,,,,,,,,,,,,,
,,2002 - 2003,82.0,440.0,5.37,,,,,,,,,,,,,,,
,,2003 - 2004,183.0,,20.0,,,,,,,,,,,,,,,
,,2005 - 2006,173.0,325.0,1.88,,,,,,,,,,,,,,,
,,2006 - 2007,154.0,568.0,3.69,,,,,,,,,,,,,,,
,,2007 - 2008,484.0,53.0,0.11,,,,,,,,,,,,,,,
,,2008 - 2009,167.0,352.0,2.11,,,,,,,,,,,,,,,
,,2009 - 2010,178.0,539.0,3.03,,,,,,,,,,,,,,,
,,2010 - 2011,84.0,245.0,2.92,,,,,,,,,,,,,,,
,,2011 - 2012,144.0,449.0,3.12,,,,,,,,,,,,,,,
,,2012 - 2013,103.0,79.0,0.77,,,,,,,,,,,,,,,
,,2013 - 2014,105.0,297.0,2.83,,,,,,,,,,,,,,,
,,2014 - 2015,101.0,,30.0,,,,,,,,,,,,,,,
,,2015 - 2016,110.0,,33.0,,,,,,,,,,,,,,,
,,2016 - 2017,110.0,,36.0,,,,,,,,,,,,,,,
,,2017 - 2018,87.9,,22.74,,,,,,,,,,,,,,,
,,2018 - 2019,89.0,,23.51,,,,,,,,,,,,,,,
,,2019 - 2020,91.0,,21.32,,,,,,,,,,,,,,,
,,2020 - 2021,79.0,,22.73,,,,,,,,,,,,,,,
,,2021 - 2022,80.0,987.0,12.34,,,,,,,,,,,,,,,
,,2022 - 2023,95.0,997.0,10.49,,,,,,,,,,,,,,,
,Mamit,2003 - 2004,97.0,,20.0,,,,,,,,,,,,,,,
,,2005 - 2006,90.0,,14.41,,,,,,,,,,,,,,,
,,2006 - 2007,22.0,87.0,3.95,,,,,,,,,,,,,,,
,,2007 - 2008,15.0,4.0,0.27,,,,,,,,,,,,,,,
,,2008 - 2009,83.0,856.0,10.31,,,,,,,,,,,,,,,
,,2009 - 2010,108.0,170.0,1.57,,,,,,,,,,,,,,,
,,2010 - 2011,82.0,118.0,1.44,,,,,,,,,,,,,,,
,,2011 - 2012,63.0,273.0,4.33,,,,,,,,,,,,,,,
,,2012 - 2013,42.0,252.0,6.0,,,,,,,,,,,,,,,
,,2013 - 2014,67.0,501.0,7.48,,,,,,,,,,,,,,,
,,2014 - 2015,56.0,,30.0,,,,,,,,,,,,,,,
,,2015 - 2016,60.0,,33.5,,,,,,,,,,,,,,,
,,2016 - 2017,80.0,,28.0,,,,,,,,,,,,,,,
,,2017 - 2018,83.0,485.0,5.84,,,,,,,,,,,,,,,
,,2018 - 2019,85.0,438.0,5.15,,,,,,,,,,,,,,,
,,2019 - 2020,102.0,,30.11,,,,,,,,,,,,,,,
,,2020 - 2021,33.0,755.0,22.88,,,,,,,,,,,,,,,
,,2021 - 2022,100.0,,12.06,,,,,,,,,,,,,,,
,,2022 - 2023,95.0,,23.95,,,,,,,,,,,,,,,
,Saiha,2003 - 2004,38.0,760.0,20.0,,,,,,,,,,,,,,,
,,2005 - 2006,25.0,36.0,1.44,,,,,,,,,,,,,,,
,,2006 - 2007,35.0,41.0,1.17,,,,,,,,,,,,,,,
,,2007 - 2008,12.0,18.0,1.5,,,,,,,,,,,,,,,
,,2008 - 2009,14.0,308.0,22.0,,,,,,,,,,,,,,,
,,2009 - 2010,6.0,15.0,2.5,,,,,,,,,,,,,,,
,,2010 - 2011,3.0,1.0,0.33,,,,,,,,,,,,,,,
,,2011 - 2012,12.0,7.5,0.63,,,,,,,,,,,,,,,
,,2012 - 2013,14.0,40.0,2.86,,,,,,,,,,,,,,,
,,2013 - 2014,16.0,41.0,2.56,,,,,,,,,,,,,,,
,,2014 - 2015,10.0,350.0,35.0,,,,,,,,,,,,,,,
,,2015 - 2016,10.0,360.0,36.0,,,,,,,,,,,,,,,
,,2016 - 2017,11.0,396.0,36.0,,,,,,,,,,,,,,,
,,2017 - 2018,10.0,355.0,35.5,,,,,,,,,,,,,,,
,,2018 - 2019,7.0,260.0,37.14,,,,,,,,,,,,,,,
,,2020 - 2021,5.0,100.0,20.0,,,,,,,,,,,,,,,
,,2021 - 2022,5.0,80.0,16.0,,,,,,,,,,,,,,,
,Saitual,2020 - 2021,22.0,681.0,30.95,,,,,,,,,,,,,,,
,,2021 - 2022,41.0,908.0,22.15,,,,,,,,,,,,,,,
,,2022 - 2023,27.0,756.0,28.0,,,,,,,,,,,,,,,
,Serchhip,2006 - 2007,45.0,60.0,1.33,,,,,,,,,,,,,,,
,,2007 - 2008,45.0,281.0,6.24,,,,,,,,,,,,,,,
,,2008 - 2009,272.0,,21.0,,,,,,,,,,,,,,,
,,2009 - 2010,305.0,,12.75,,,,,,,,,,,,,,,
,,2010 - 2011,306.0,21.0,0.07,,,,,,,,,,,,,,,
,,2011 - 2012,310.0,18.6,0.06,,,,,,,,,,,,,,,
,,2012 - 2013,376.0,34.0,0.09,,,,,,,,,,,,,,,
,,2013 - 2014,440.0,40.0,0.09,,,,,,,,,,,,,,,
,,2014 - 2015,475.0,,35.0,,,,,,,,,,,,,,,
,,2015 - 2016,510.0,,35.0,,,,,,,,,,,,,,,
,,2016 - 2017,515.0,,35.0,,,,,,,,,,,,,,,
,,2017 - 2018,509.8,,35.0,,,,,,,,,,,,,,,
,,2018 - 2019,520.0,,35.4,,,,,,,,,,,,,,,
,,2019 - 2020,520.0,,35.83,,,,,,,,,,,,,,,
,,2020 - 2021,520.0,,35.83,,,,,,,,,,,,,,,
,,2021 - 2022,520.0,,35.54,,,,,,,,,,,,,,,
,,2022 - 2023,520.0,,35.54,,,,,,,,,,,,,,,
Nagaland,Chumoukedima,2022 - 2023,274.0,,43.78,,,,,,,,,,,,,,,
,Dimapur,2000 - 2001,230.0,,92.65,,,,,,,,,,,,,,,
,,2001 - 2002,250.0,,98.76,,,,,,,,,,,,,,,
,,2002 - 2003,,,21.86,,,,,,,,,,,,,,,
,,2003 - 2004,,,52.06,,,,,,,,,,,,,,,
,,2004 - 2005,,,106.81,,,,,,,,,,,,,,,
,,2005 - 2006,,,75.52,,,,,,,,,,,,,,,
,,2006 - 2007,,,57.58,,,,,,,,,,,,,,,
,,2007 - 2008,,,,,,,,,55.07,,,,,,,,,
,,2008 - 2009,,,,,,,,,43.1,,,,,,,,,
,,2009 - 2010,,,,,,,,,30.09,,,,,,,,,
,,2010 - 2011,,,,,,,,,43.49,,,,,,,,,
,,2011 - 2012,,,,,,,,,43.57,,,,,,,,,
,,2012 - 2013,,,,,,,,,43.54,,,,,,,,,
,,2014 - 2015,,,,,,,,,43.54,,,,,,,,,
,,2015 - 2016,,,,,,,,,43.53,,,,,,,,,
,,2016 - 2017,,,,,,,,,43.53,,,,,,,,,
,,2017 - 2018,,,,,,,,,43.52,,,,,,,,,
,,2018 - 2019,,,,,,,,,43.52,,,,,,,,,
,,2019 - 2020,,,,,,,,,43.62,,,,,,,,,
,,2020 - 2021,,,,,,,,,45.59,,,,,,,,,
,,2021 - 2022,,,40.0,,,,,,,,,,,,,,,
,,2022 - 2023,100.0,,43.74,,,,,,,,,,,,,,,
,Kiphire,2008 - 2009,,,,,,,180.0,,43.06,,,,,,,,,
,,2009 - 2010,,,,,,,230.0,,30.0,,,,,,,,,
,,2010 - 2011,,,,,,,160.0,,43.5,,,,,,,,,
,,2011 - 2012,,,,,,,160.0,,43.5,,,,,,,,,
,,2012 - 2013,,,,,,,160.0,,43.63,,,,,,,,,
,,2014 - 2015,,,,,,,160.0,,43.5,,,,,,,,,
,,2015 - 2016,,,,,,,160.0,,43.5,,,,,,,,,
,,2016 - 2017,,,,,,,160.0,,43.5,,,,,,,,,
,,2017 - 2018,,,,,,,160.0,,43.5,,,,,,,,,
,,2018 - 2019,,,,,,,160.0,,43.5,,,,,,,,,
,,2019 - 2020,,,,,,,162.0,,43.06,,,,,,,,,
,,2020 - 2021,,,,,,,163.0,,45.31,,,,,,,,,
,,2021 - 2022,77.0,,19.82,,,,,,,,,,,,,,,
,,2022 - 2023,53.0,,42.28,,,,,,,,,,,,,,,
,Kohima,2000 - 2001,80.0,,23.25,,,,,,,,,,,,,,,
,,2001 - 2002,170.0,,25.76,,,,,,,,,,,,,,,
,,2002 - 2003,200.0,,51.05,,,,,,,,,,,,,,,
,,2004 - 2005,170.0,,14.12,,,,,,,,,,,,,,,
,,2005 - 2006,340.0,,31.18,,,,,,,,,,,,,,,
,,2006 - 2007,360.0,,51.0,,,,,,,,,,,,,,,
,,2007 - 2008,,,,,,,290.0,,55.1,,,,,,,,,
,,2008 - 2009,,,,,,,200.0,,43.1,,,,,,,,,
,,2009 - 2010,,,,,,,280.0,,30.0,,,,,,,,,
,,2010 - 2011,,,,,,,210.0,,43.57,,,,,,,,,
,,2011 - 2012,,,,,,,210.0,,43.57,,,,,,,,,
,,2012 - 2013,,,,,,,210.0,,43.62,,,,,,,,,
,,2014 - 2015,,,,,,,210.0,,43.52,,,,,,,,,
,,2015 - 2016,,,,,,,210.0,,43.52,,,,,,,,,
,,2016 - 2017,,,,,,,220.0,,43.55,,,,,,,,,
,,2017 - 2018,,,,,,,220.0,,43.5,,,,,,,,,
,,2018 - 2019,,,,,,,230.0,,43.48,,,,,,,,,
,,2019 - 2020,,,,,,,230.0,,43.58,,,,,,,,,
,,2020 - 2021,,,,,,,230.0,,45.56,,,,,,,,,
,,2021 - 2022,160.0,,10.0,,,,,,,,,,,,,,,
,,2022 - 2023,35.0,,43.46,,,,,,,,,,,,,,,
,Longleng,2008 - 2009,,,,,,,140.0,,43.5,,,,,,,,,
,,2009 - 2010,,,,,,,200.0,,30.0,,,,,,,,,
,,2010 - 2011,,,,,,,120.0,,43.67,,,,,,,,,
,,2011 - 2012,,,,,,,120.0,,43.5,,,,,,,,,
,,2012 - 2013,,,,,,,120.0,,43.5,,,,,,,,,
,,2014 - 2015,,,,,,,120.0,,43.5,,,,,,,,,
,,2015 - 2016,,,,,,,120.0,,43.5,,,,,,,,,
,,2016 - 2017,,,,,,,120.0,,47.17,,,,,,,,,
,,2017 - 2018,,,,,,,130.0,,43.46,,,,,,,,,
,,2018 - 2019,,,,,,,130.0,,43.46,,,,,,,,,
,,2019 - 2020,,,,,,,130.0,,43.56,,,,,,,,,
,,2020 - 2021,,,,,,,132.0,,45.55,,,,,,,,,
,,2021 - 2022,45.0,450.0,10.0,,,,,,,,,,,,,,,
,,2022 - 2023,32.0,,43.25,,,,,,,,,,,,,,,
,Mokokchung,2000 - 2001,70.0,,33.14,,,,,,,,,,,,,,,
,,2001 - 2002,120.0,,34.17,,,,,,,,,,,,,,,
,,2002 - 2003,170.0,,71.18,,,,,,,,,,,,,,,
,,2003 - 2004,200.0,,42.6,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,,,,,210.0,,15.95,,,
,,2005 - 2006,,,,,,,,,,,,,270.0,,12.52,,,
,,2006 - 2007,,,,,,,,,,,,,290.0,,16.72,,,
,,2007 - 2008,,,,,,,260.0,,55.08,,,,,,,,,
,,2008 - 2009,,,,,,,320.0,,42.91,,,,,,,,,
,,2009 - 2010,,,,,,,410.0,,30.02,,,,,,,,,
,,2010 - 2011,,,,,,,320.0,,43.5,,,,,,,,,
,,2011 - 2012,,,,,,,330.0,,43.12,,,,,,,,,
,,2012 - 2013,,,,,,,330.0,,43.12,,,,,,,,,
,,2014 - 2015,,,,,,,340.0,,43.5,,,,,,,,,
,,2015 - 2016,,,,,,,340.0,,43.5,,,,,,,,,
,,2016 - 2017,,,,,,,340.0,,43.53,,,,,,,,,
,,2017 - 2018,,,,,,,340.0,,43.5,,,,,,,,,
,,2018 - 2019,,,,,,,340.0,,43.5,,,,,,,,,
,,2019 - 2020,,,,,,,342.0,,43.35,,,,,,,,,
,,2020 - 2021,,,,,,,342.0,,45.45,,,,,,,,,
,,2021 - 2022,233.0,,27.4,,,,,,,,,,,,,,,
,,2022 - 2023,159.0,,43.66,,,,,,,,,,,,,,,
,Mon,2000 - 2001,70.0,,34.71,,,,,,,,,,,,,,,
,,2001 - 2002,110.0,,38.64,,,,,,,,,,,,,,,
,,2002 - 2003,150.0,,94.4,,,,,,,,,,,,,,,
,,2003 - 2004,230.0,,29.43,,,,,,,,,,,,,,,
,,2008 - 2009,,,,,,,530.0,,42.94,,,,,,,,,
,,2009 - 2010,,,,,,,600.0,,30.02,,,,,,,,,
,,2010 - 2011,,,,,,,510.0,,43.59,,,,,,,,,
,,2011 - 2012,,,,,,,510.0,,43.59,,,,,,,,,
,,2012 - 2013,,,,,,,510.0,,43.63,,,,,,,,,
,,2014 - 2015,,,,,,,510.0,,43.55,,,,,,,,,
,,2015 - 2016,,,,,,,510.0,,43.55,,,,,,,,,
,,2016 - 2017,,,,,,,510.0,,43.55,,,,,,,,,
,,2017 - 2018,,,,,,,510.0,,43.51,,,,,,,,,
,,2018 - 2019,,,,,,,510.0,,43.51,,,,,,,,,
,,2019 - 2020,,,,,,,510.0,,43.61,,,,,,,,,
,,2020 - 2021,,,,,,,512.0,,45.55,,,,,,,,,
,,2021 - 2022,309.0,,15.0,,,,,,,,,,,,,,,
,,2022 - 2023,211.0,,43.48,,,,,,,,,,,,,,,
,Noklak,2022 - 2023,95.0,,41.95,,,,,,,,,,,,,,,
,Nuiland,2022 - 2023,538.0,,43.83,,,,,,,,,,,,,,,
,Peren,2008 - 2009,,,,,,,500.0,,43.0,,,,,,,,,
,,2009 - 2010,,,,,,,570.0,,30.04,,,,,,,,,
,,2010 - 2011,,,,,,,490.0,,43.45,,,,,,,,,
,,2011 - 2012,,,,,,,500.0,,43.5,,,,,,,,,
,,2012 - 2013,,,,,,,500.0,,43.5,,,,,,,,,
,,2014 - 2015,,,,,,,510.0,,43.41,,,,,,,,,
,,2015 - 2016,,,,,,,510.0,,43.41,,,,,,,,,
,,2016 - 2017,,,,,,,520.0,,43.27,,,,,,,,,
,,2017 - 2018,,,,,,,520.0,,43.52,,,,,,,,,
,,2018 - 2019,,,,,,,520.0,,43.52,,,,,,,,,
,,2019 - 2020,,,,,,,522.0,,43.45,,,,,,,,,
,,2020 - 2021,,,,,,,523.0,,45.47,,,,,,,,,
,,2021 - 2022,390.0,,25.0,,,,,,,,,,,,,,,
,,2022 - 2023,266.0,,43.76,,,,,,,,,,,,,,,
,Phek,2003 - 2004,130.0,800.0,6.15,,,,,,,,,,,,,,,
,,2007 - 2008,,,,,,,210.0,,55.0,,,,,,,,,
,,2008 - 2009,,,,,,,280.0,,42.82,,,,,,,,,
,,2009 - 2010,,,,,,,350.0,,30.03,,,,,,,,,
,,2010 - 2011,,,,,,,250.0,,43.56,,,,,,,,,
,,2011 - 2012,,,,,,,250.0,,43.56,,,,,,,,,
,,2012 - 2013,,,,,,,250.0,,43.56,,,,,,,,,
,,2014 - 2015,,,,,,,250.0,,43.56,,,,,,,,,
,,2015 - 2016,,,,,,,250.0,,43.56,,,,,,,,,
,,2016 - 2017,,,,,,,260.0,,43.38,,,,,,,,,
,,2017 - 2018,,,,,,,260.0,,43.5,,,,,,,,,
,,2018 - 2019,,,,,,,260.0,,43.5,,,,,,,,,
,,2019 - 2020,,,,,,,260.0,,43.6,,,,,,,,,
,,2020 - 2021,,,,,,,261.0,,45.54,,,,,,,,,
,,2021 - 2022,280.0,,24.0,,,,,,,,,,,,,,,
,,2022 - 2023,141.0,,43.43,,,,,,,,,,,,,,,
,Shamator,2022 - 2023,48.0,,43.58,,,,,,,,,,,,,,,
,Tseminyu,2022 - 2023,34.0,,43.56,,,,,,,,,,,,,,,
,Tuensang,2008 - 2009,,,,,,,350.0,,42.89,,,,,,,,,
,,2009 - 2010,,,,,,,390.0,,30.03,,,,,,,,,
,,2010 - 2011,,,,,,,350.0,,43.46,,,,,,,,,
,,2011 - 2012,,,,,,,350.0,,43.46,,,,,,,,,
,,2012 - 2013,,,,,,,350.0,,43.51,,,,,,,,,
,,2014 - 2015,,,,,,,370.0,,43.57,,,,,,,,,
,,2015 - 2016,,,,,,,370.0,,43.57,,,,,,,,,
,,2016 - 2017,,,,,,,370.0,,43.57,,,,,,,,,
,,2017 - 2018,,,,,,,370.0,,43.51,,,,,,,,,
,,2018 - 2019,,,,,,,370.0,,43.51,,,,,,,,,
,,2019 - 2020,,,,,,,370.0,,43.61,,,,,,,,,
,,2020 - 2021,,,,,,,370.0,,45.52,,,,,,,,,
,,2021 - 2022,350.0,,42.0,,,,,,,,,,,,,,,
,,2022 - 2023,86.0,,43.58,,,,,,,,,,,,,,,
,Wokha,2000 - 2001,140.0,,31.14,,,,,,,,,,,,,,,
,,2001 - 2002,190.0,,28.95,,,,,,,,,,,,,,,
,,2002 - 2003,240.0,,43.5,,,,,,,,,,,,,,,
,,2003 - 2004,380.0,,49.34,,,,,,,,,,,,,,,
,,2004 - 2005,950.0,,6.75,,,,,,,,,,,,,,,
,,2005 - 2006,,,23.21,,,,,,,,,,,,,,,
,,2006 - 2007,,,42.0,,,,,,,,,,,,,,,
,,2007 - 2008,,,,,,,,,55.1,,,,,,,,,
,,2008 - 2009,,,,,,,550.0,,42.96,,,,,,,,,
,,2009 - 2010,,,,,,,600.0,,30.02,,,,,,,,,
,,2010 - 2011,,,,,,,520.0,,43.48,,,,,,,,,
,,2011 - 2012,,,,,,,520.0,,43.56,,,,,,,,,
,,2012 - 2013,,,,,,,520.0,,43.56,,,,,,,,,
,,2014 - 2015,,,,,,,520.0,,43.56,,,,,,,,,
,,2015 - 2016,,,,,,,520.0,,43.56,,,,,,,,,
,,2016 - 2017,,,,,,,520.0,,43.56,,,,,,,,,
,,2017 - 2018,,,,,,,520.0,,43.52,,,,,,,,,
,,2018 - 2019,,,,,,,520.0,,43.52,,,,,,,,,
,,2019 - 2020,,,,,,,523.0,,43.37,,,,,,,,,
,,2020 - 2021,,,,,,,525.0,,45.55,,,,,,,,,
,,2021 - 2022,536.0,,23.1,,,,,,,,,,,,,,,
,,2022 - 2023,316.0,,43.58,,,,,,,,,,,,,,,
,Zunheboto,2000 - 2001,110.0,,24.73,,,,,,,,,,,,,,,
,,2001 - 2002,160.0,,31.75,,,,,,,,,,,,,,,
,,2002 - 2003,200.0,,51.8,,,,,,,,,,,,,,,
,,2003 - 2004,350.0,,44.11,,,,,,,,,,,,,,,
,,2004 - 2005,470.0,,8.3,,,,,,,,,,,,,,,
,,2005 - 2006,600.0,,19.17,,,,,,,,,,,,,,,
,,2006 - 2007,650.0,,42.0,,,,,,,,,,,,,,,
,,2007 - 2008,,,,,,,300.0,,55.1,,,,,,,,,
,,2008 - 2009,,,,,,,250.0,,42.88,,,,,,,,,
,,2009 - 2010,,,,,,,300.0,,30.0,,,,,,,,,
,,2010 - 2011,,,,,,,220.0,,43.55,,,,,,,,,
,,2011 - 2012,,,,,,,220.0,,43.55,,,,,,,,,
,,2012 - 2013,,,,,,,220.0,,43.55,,,,,,,,,
,,2014 - 2015,,,,,,,220.0,,43.55,,,,,,,,,
,,2015 - 2016,,,,,,,220.0,,43.55,,,,,,,,,
,,2016 - 2017,,,,,,,240.0,,42.21,,,,,,,,,
,,2017 - 2018,,,,,,,240.0,,43.5,,,,,,,,,
,,2018 - 2019,,,,,,,240.0,,43.5,,,,,,,,,
