state,district,year,potato_kharif_area_hectare,potato_kharif_production_tonne,potato_kharif_yield_tonne_per_hectare,potato_rabi_area_hectare,potato_rabi_production_tonne,potato_rabi_yield_tonne_per_hectare,potato_whole_year_area_hectare,potato_whole_year_production_tonne,potato_whole_year_yield_tonne_per_hectare,potato_winter_area_hectare,potato_winter_production_tonne,potato_winter_yield_tonne_per_hectare,potato_summer_area_hectare,potato_summer_production_tonne,potato_summer_yield_tonne_per_hectare
,,2012 - 2013,,,,,,,500.0,,22.8,,,,,,
,,2013 - 2014,,,,,,,580.0,,26.56,,,,,,
,,2014 - 2015,,,,,,,841.0,,25.67,,,,,,
,,2015 - 2016,,,,,,,873.0,,25.4,,,,,,
,,2016 - 2017,,,,,,,,,25.66,,,,,,
,,2017 - 2018,,,,,,,630.0,,27.21,,,,,,
,,2018 - 2019,,,,,,,767.0,,24.79,,,,,,
,,2019 - 2020,,,,,,,627.0,,26.31,,,,,,
,,2020 - 2021,,,,,,,830.0,,27.14,,,,,,
,,2021 - 2022,,,,,,,698.0,,26.79,,,,,,
,,2022 - 2023,,,,,,,,,28.43,,,,,,
,Rajkot,2011 - 2012,,,,,,,100.0,,13.0,,,,,,
,,2021 - 2022,,,,,,,1.0,31.0,31.0,,,,,,
,Sabar kantha,2000 - 2001,,,,,,,,,17.81,,,,,,
,,2001 - 2002,,,,,,,,,22.08,,,,,,
,,2002 - 2003,,,,,,,,,17.82,,,,,,
,,2003 - 2004,,,,,,,,,18.53,,,,,,
,,2004 - 2005,,,,,,,,,23.13,,,,,,
,,2005 - 2006,,,,,,,,,25.46,,,,,,
,,2006 - 2007,,,,,,,,,19.18,,,,,,
,,2007 - 2008,,,,,,,,,20.73,,,,,,
,,2008 - 2009,,,,,,,,,17.93,,,,,,
,,2009 - 2010,,,,,,,,,13.07,,,,,,
,,2010 - 2011,,,,,,,,,19.11,,,,,,
,,2011 - 2012,,,,,,,,,19.87,,,,,,
,,2012 - 2013,,,,,,,,,25.75,,,,,,
,,2013 - 2014,,,,,,,,,26.64,,,,,,
,,2014 - 2015,,,,,,,,,22.7,,,,,,
,,2015 - 2016,,,,,,,,,22.44,,,,,,
,,2016 - 2017,,,,,,,,,23.18,,,,,,
,,2017 - 2018,,,,,,,,,28.47,,,,,,
,,2018 - 2019,,,,,,,,,31.83,,,,,,
,,2019 - 2020,,,,,,,,,33.18,,,,,,
,,2020 - 2021,,,,,,,,,31.63,,,,,,
,,2021 - 2022,,,,,,,,,31.06,,,,,,
,,2022 - 2023,,,,,,,,,34.01,,,,,,
,Surat,2011 - 2012,,,,,,,100.0,,14.0,,,,,,
,,2018 - 2019,,,,,,,2.0,60.0,30.0,,,,,,
,Surendranagar,2009 - 2010,,,,,,,100.0,,16.0,,,,,,
,,2012 - 2013,,,,,,,100.0,,20.0,,,,,,
,,2013 - 2014,,,,,,,25.0,664.0,26.56,,,,,,
,,2014 - 2015,,,,,,,60.0,,25.67,,,,,,
,,2015 - 2016,,,,,,,30.0,762.0,25.4,,,,,,
,,2016 - 2017,,,,,,,30.0,770.0,25.67,,,,,,
,,2017 - 2018,,,,,,,10.0,288.0,28.8,,,,,,
,Vadodara,2000 - 2001,,,,,,,500.0,,21.2,,,,,,
,,2001 - 2002,,,,,,,600.0,,21.67,,,,,,
,,2002 - 2003,,,,,,,600.0,,21.0,,,,,,
,,2003 - 2004,,,,,,,700.0,,22.43,,,,,,
,,2004 - 2005,,,,,,,500.0,,29.6,,,,,,
,,2005 - 2006,,,,,,,300.0,,25.67,,,,,,
,,2006 - 2007,,,,,,,400.0,,18.75,,,,,,
,,2007 - 2008,,,,,,,800.0,,26.25,,,,,,
,,2008 - 2009,,,,,,,400.0,,19.5,,,,,,
,,2009 - 2010,,,,,,,300.0,,21.67,,,,,,
,,2010 - 2011,,,,,,,300.0,,21.67,,,,,,
,,2011 - 2012,,,,,,,300.0,,22.67,,,,,,
,,2012 - 2013,,,,,,,300.0,,24.0,,,,,,
,,2013 - 2014,,,,,,,,,26.56,,,,,,
,,2014 - 2015,,,,,,,220.0,,25.67,,,,,,
,,2015 - 2016,,,,,,,250.0,,25.4,,,,,,
,,2016 - 2017,,,,,,,70.0,,25.66,,,,,,
,,2017 - 2018,,,,,,,334.0,,28.78,,,,,,
,,2018 - 2019,,,,,,,247.0,,30.1,,,,,,
,,2019 - 2020,,,,,,,242.0,,30.24,,,,,,
,,2020 - 2021,,,,,,,184.0,,31.21,,,,,,
,,2021 - 2022,,,,,,,197.0,,30.9,,,,,,
,,2022 - 2023,,,,,,,161.0,,31.78,,,,,,
Haryana,Ambala,2000 - 2001,,,,,,,,,15.73,,,,,,
,,2001 - 2002,,,,,,,,,22.08,,,,,,
,,2002 - 2003,,,,,,,,,27.13,,,,,,
,,2003 - 2004,,,,,,,,,27.03,,,,,,
,,2004 - 2005,,,,,,,,,26.99,,,,,,
,,2005 - 2006,,,,,,,,,26.98,,,,,,
,,2006 - 2007,,,,,,,,,26.99,,,,,,
,,2007 - 2008,,,,,,,,,12.38,,,,,,
,,2008 - 2009,,,,,,,,,10.7,,,,,,
,,2009 - 2010,,,,,,,,,15.67,,,,,,
,,2010 - 2011,,,,,,,,,20.1,,,,,,
,,2011 - 2012,,,,,,,,,22.04,,,,,,
,,2012 - 2013,,,,,,,,,24.05,,,,,,
,,2013 - 2014,,,,,,,,,24.26,,,,,,
,,2014 - 2015,,,,,,,,,23.5,,,,,,
,,2015 - 2016,,,,,,,,,23.32,,,,,,
,,2016 - 2017,,,,,,,,,23.56,,,,,,
,,2017 - 2018,,,,,,,,,26.47,,,,,,
,,2018 - 2019,,,,,,,,,28.57,,,,,,
,,2019 - 2020,,,,,,,,,23.51,,,,,,
,,2021 - 2022,,,,,,,,,23.5,,,,,,
,Bhiwani,2000 - 2001,,,,,,,11.0,200.0,18.18,,,,,,
,,2001 - 2002,,,,,,,,,19.35,,,,,,
,,2007 - 2008,,,,,,,2.0,,0.0,,,,,,
,,2013 - 2014,,,,,,,135.0,,23.24,,,,,,
,,2014 - 2015,,,,,,,177.0,,23.98,,,,,,
,,2015 - 2016,,,,,,,223.0,,24.91,,,,,,
,,2016 - 2017,,,,,,,177.0,,23.98,,,,,,
,,2017 - 2018,,,,,,,420.0,,25.85,,,,,,
,,2018 - 2019,,,,,,,210.0,,25.85,,,,,,
,,2019 - 2020,,,,,,,311.0,,25.36,,,,,,
,Charki dadri,2018 - 2019,,,,,,,40.0,,25.85,,,,,,
,,2019 - 2020,,,,,,,15.0,398.0,26.53,,,,,,
,Faridabad,2000 - 2001,,,,,,,66.0,,15.15,,,,,,
,,2001 - 2002,,,,,,,214.0,,20.56,,,,,,
,,2002 - 2003,,,,,,,347.0,,19.02,,,,,,
,,2003 - 2004,,,,,,,251.0,,19.52,,,,,,
,,2004 - 2005,,,,,,,255.0,,18.82,,,,,,
,,2005 - 2006,,,,,,,249.0,,18.88,,,,,,
,,2006 - 2007,,,,,,,183.0,,19.13,,,,,,
,,2008 - 2009,,,,,,,85.0,,22.35,,,,,,
,,2009 - 2010,,,,,,,74.0,,21.62,,,,,,
,,2013 - 2014,,,,,,,200.0,,20.04,,,,,,
,,2014 - 2015,,,,,,,166.0,,23.98,,,,,,
,,2015 - 2016,,,,,,,180.0,,24.91,,,,,,
,,2016 - 2017,,,,,,,465.0,,19.45,,,,,,
,,2017 - 2018,,,,,,,50.0,,25.86,,,,,,
,,2018 - 2019,,,,,,,118.0,,19.5,,,,,,
,,2019 - 2020,,,,,,,244.0,,19.9,,,,,,
,Fatehabad,2000 - 2001,,,,,,,459.0,,15.69,,,,,,
,,2001 - 2002,,,,,,,279.0,,22.58,,,,,,
,,2002 - 2003,,,,,,,255.0,,25.49,,,,,,
,,2003 - 2004,,,,,,,345.0,,25.51,,,,,,
,,2004 - 2005,,,,,,,252.0,,25.79,,,,,,
,,2005 - 2006,,,,,,,363.0,,25.62,,,,,,
,,2006 - 2007,,,,,,,349.0,,25.5,,,,,,
,,2007 - 2008,,,,,,,360.0,,15.83,,,,,,
,,2008 - 2009,,,,,,,129.0,,28.68,,,,,,
,,2009 - 2010,,,,,,,119.0,,23.53,,,,,,
,,2010 - 2011,,,,,,,320.0,,29.38,,,,,,
,,2011 - 2012,,,,,,,197.0,,19.8,,,,,,
,,2012 - 2013,,,,,,,225.0,,20.89,,,,,,
,,2013 - 2014,,,,,,,425.0,,25.13,,,,,,
,,2014 - 2015,,,,,,,423.0,,23.05,,,,,,
,,2015 - 2016,,,,,,,460.0,,26.27,,,,,,
,,2016 - 2017,,,,,,,438.0,,27.0,,,,,,
,,2017 - 2018,,,,,,,475.0,,25.8,,,,,,
,,2018 - 2019,,,,,,,480.0,,27.0,,,,,,
,,2019 - 2020,,,,,,,536.0,,26.55,,,,,,
,,2021 - 2022,,,,,,,,,14.5,,,,,,
,Gurgaon,2000 - 2001,,,,,,,27.0,500.0,18.52,,,,,,
,,2001 - 2002,,,,,,,16.0,400.0,25.0,,,,,,
,,2002 - 2003,,,,,,,8.0,200.0,25.0,,,,,,
,,2006 - 2007,,,,,,,2.0,,0.0,,,,,,
,,2010 - 2011,,,,,,,3.0,100.0,33.33,,,,,,
,,2011 - 2012,,,,,,,12.0,300.0,25.0,,,,,,
,,2013 - 2014,,,,,,,110.0,,23.24,,,,,,
,,2014 - 2015,,,,,,,150.0,,23.98,,,,,,
,,2015 - 2016,,,,,,,160.0,,24.91,,,,,,
,,2016 - 2017,,,,,,,136.0,,23.88,,,,,,
,,2017 - 2018,,,,,,,80.0,,25.85,,,,,,
,,2018 - 2019,,,,,,,70.0,,25.84,,,,,,
,,2019 - 2020,,,,,,,110.0,,24.88,,,,,,
,Hisar,2000 - 2001,,,,,,,272.0,,15.81,,,,,,
,,2001 - 2002,,,,,,,86.0,,18.6,,,,,,
,,2002 - 2003,,,,,,,174.0,,17.24,,,,,,
,,2003 - 2004,,,,,,,254.0,,17.72,,,,,,
,,2004 - 2005,,,,,,,200.0,,17.5,,,,,,
,,2005 - 2006,,,,,,,157.0,,17.2,,,,,,
,,2006 - 2007,,,,,,,216.0,,17.59,,,,,,
,,2007 - 2008,,,,,,,250.0,,16.8,,,,,,
,,2008 - 2009,,,,,,,76.0,,14.47,,,,,,
,,2009 - 2010,,,,,,,173.0,,18.5,,,,,,
,,2010 - 2011,,,,,,,151.0,,16.56,,,,,,
,,2011 - 2012,,,,,,,229.0,,13.97,,,,,,
,,2012 - 2013,,,,,,,145.0,,23.45,,,,,,
,,2013 - 2014,,,,,,,395.0,,24.0,,,,,,
,,2014 - 2015,,,,,,,420.0,,23.98,,,,,,
,,2015 - 2016,,,,,,,500.0,,24.7,,,,,,
,,2016 - 2017,,,,,,,525.0,,25.05,,,,,,
,,2017 - 2018,,,,,,,575.0,,25.85,,,,,,
,,2018 - 2019,,,,,,,590.0,,25.4,,,,,,
,,2019 - 2020,,,,,,,651.0,,25.37,,,,,,
,Jhajjar,2001 - 2002,,,,,,,15.0,300.0,20.0,,,,,,
,,2002 - 2003,,,,,,,21.0,400.0,19.05,,,,,,
,,2003 - 2004,,,,,,,19.0,300.0,15.79,,,,,,
,,2004 - 2005,,,,,,,10.0,200.0,20.0,,,,,,
,,2005 - 2006,,,,,,,6.0,100.0,16.67,,,,,,
,,2006 - 2007,,,,,,,4.0,100.0,25.0,,,,,,
,,2013 - 2014,,,,,,,110.0,,23.24,,,,,,
,,2014 - 2015,,,,,,,112.0,,23.98,,,,,,
,,2015 - 2016,,,,,,,120.0,,24.91,,,,,,
,,2016 - 2017,,,,,,,159.0,,19.6,,,,,,
,,2017 - 2018,,,,,,,125.0,,28.0,,,,,,
,,2018 - 2019,,,,,,,42.0,,25.86,,,,,,
,,2019 - 2020,,,,,,,126.0,,23.48,,,,,,
,,2021 - 2022,,,,,,,18.0,0.0,0.0,,,,,,
,Jind,2005 - 2006,,,,,,,15.0,400.0,26.67,,,,,,
,,2010 - 2011,,,,,,,341.0,,25.81,,,,,,
,,2011 - 2012,,,,,,,252.0,,22.22,,,,,,
,,2012 - 2013,,,,,,,303.0,,22.44,,,,,,
,,2013 - 2014,,,,,,,870.0,,22.68,,,,,,
,,2014 - 2015,,,,,,,900.0,,23.78,,,,,,
,,2015 - 2016,,,,,,,935.0,,26.1,,,,,,
,,2016 - 2017,,,,,,,,,23.54,,,,,,
,,2017 - 2018,,,,,,,,,30.77,,,,,,
,,2018 - 2019,,,,,,,,,27.0,,,,,,
,,2019 - 2020,,,,,,,,,27.07,,,,,,
,,2021 - 2022,,,,,,,157.0,,15.5,,,,,,
,Kaithal,2000 - 2001,,,,,,,197.0,,15.74,,,,,,
,,2001 - 2002,,,,,,,202.0,,17.82,,,,,,
,,2002 - 2003,,,,,,,248.0,,23.79,,,,,,
,,2003 - 2004,,,,,,,197.0,,23.86,,,,,,
,,2004 - 2005,,,,,,,199.0,,23.62,,,,,,
,,2005 - 2006,,,,,,,103.0,,24.27,,,,,,
,,2006 - 2007,,,,,,,180.0,,23.89,,,,,,
,,2007 - 2008,,,,,,,159.0,,16.35,,,,,,
,,2008 - 2009,,,,,,,238.0,,15.97,,,,,,
,,2009 - 2010,,,,,,,223.0,,20.18,,,,,,
,,2010 - 2011,,,,,,,282.0,,21.63,,,,,,
,,2011 - 2012,,,,,,,3.0,100.0,33.33,,,,,,
,,2012 - 2013,,,,,,,348.0,,25.57,,,,,,
,,2013 - 2014,,,,,,,535.0,,24.43,,,,,,
,,2014 - 2015,,,,,,,450.0,,23.98,,,,,,
,,2015 - 2016,,,,,,,500.0,,24.91,,,,,,
,,2016 - 2017,,,,,,,467.0,,24.99,,,,,,
,,2017 - 2018,,,,,,,520.0,,25.85,,,,,,
,,2018 - 2019,,,,,,,530.0,,22.1,,,,,,
,,2019 - 2020,,,,,,,584.0,,24.22,,,,,,
,,2021 - 2022,,,,,,,469.0,,16.5,,,,,,
,Karnal,2000 - 2001,,,,,,,961.0,,18.31,,,,,,
,,2001 - 2002,,,,,,,789.0,,26.62,,,,,,
,,2002 - 2003,,,,,,,917.0,,23.23,,,,,,
,,2003 - 2004,,,,,,,982.0,,23.22,,,,,,
,,2004 - 2005,,,,,,,876.0,,23.29,,,,,,
,,2005 - 2006,,,,,,,762.0,,23.23,,,,,,
,,2006 - 2007,,,,,,,826.0,,23.24,,,,,,
,,2007 - 2008,,,,,,,980.0,,17.14,,,,,,
,,2008 - 2009,,,,,,,961.0,,20.92,,,,,,
,,2009 - 2010,,,,,,,941.0,,16.47,,,,,,
,,2010 - 2011,,,,,,,956.0,,21.23,,,,,,
,,2011 - 2012,,,,,,,997.0,,20.06,,,,,,
,,2012 - 2013,,,,,,,859.0,,24.56,,,,,,
,,2013 - 2014,,,,,,,,,24.18,,,,,,
,,2014 - 2015,,,,,,,,,24.48,,,,,,
,,2015 - 2016,,,,,,,,,25.95,,,,,,
,,2016 - 2017,,,,,,,,,27.68,,,,,,
,,2017 - 2018,,,,,,,,,26.24,,,,,,
,,2018 - 2019,,,,,,,,,24.63,,,,,,
,,2019 - 2020,,,,,,,,,26.55,,,,,,
,,2021 - 2022,,,,,,,,,18.0,,,,,,
,Kurukshetra,2000 - 2001,,,,,,,,,13.46,,,,,,
,,2001 - 2002,,,,,,,,,19.39,,,,,,
,,2002 - 2003,,,,,,,,,25.76,,,,,,
,,2003 - 2004,,,,,,,,,25.75,,,,,,
,,2004 - 2005,,,,,,,,,25.75,,,,,,
,,2005 - 2006,,,,,,,,,25.51,,,,,,
,,2006 - 2007,,,,,,,,,25.74,,,,,,
,,2007 - 2008,,,,,,,,,20.27,,,,,,
,,2008 - 2009,,,,,,,,,26.64,,,,,,
,,2009 - 2010,,,,,,,,,2.69,,,,,,
,,2010 - 2011,,,,,,,,,22.86,,,,,,
,,2011 - 2012,,,,,,,,,23.06,,,,,,
,,2012 - 2013,,,,,,,,,23.07,,,,,,
,,2013 - 2014,,,,,,,,,23.39,,,,,,
,,2014 - 2015,,,,,,,,,24.28,,,,,,
,,2015 - 2016,,,,,,,,,25.07,,,,,,
,,2016 - 2017,,,,,,,,,26.65,,,,,,
,,2017 - 2018,,,,,,,,,26.05,,,,,,
,,2018 - 2019,,,,,,,,,27.42,,,,,,
,,2019 - 2020,,,,,,,,,26.77,,,,,,
,,2021 - 2022,,,,,,,,,19.5,,,,,,
,Mahendragarh,2001 - 2002,,,,,,,1.0,0.0,0.0,,,,,,
,,2002 - 2003,,,,,,,3.0,0.0,0.0,,,,,,
,,2009 - 2010,,,,,,,3.0,,0.0,,,,,,
,,2010 - 2011,,,,,,,2.0,,0.0,,,,,,
,,2011 - 2012,,,,,,,6.0,100.0,16.67,,,,,,
,,2013 - 2014,,,,,,,7.0,163.0,23.29,,,,,,
,,2014 - 2015,,,,,,,4.0,96.0,24.0,,,,,,
,,2015 - 2016,,,,,,,20.0,498.0,24.9,,,,,,
,,2016 - 2017,,,,,,,6.0,139.0,23.17,,,,,,
,,2017 - 2018,,,,,,,20.0,517.0,25.85,,,,,,
,,2018 - 2019,,,,,,,20.0,517.0,25.85,,,,,,
,,2019 - 2020,,,,,,,18.0,451.0,25.06,,,,,,
,Mewat,2013 - 2014,,,,,,,500.0,,23.24,,,,,,
,,2015 - 2016,,,,,,,505.0,,24.91,,,,,,
,,2016 - 2017,,,,,,,300.0,,25.98,,,,,,
,,2017 - 2018,,,,,,,20.0,517.0,25.85,,,,,,
,,2018 - 2019,,,,,,,23.0,594.0,25.83,,,,,,
,,2019 - 2020,,,,,,,132.0,,25.91,,,,,,
,,2021 - 2022,,,,,,,2.0,25.0,12.5,,,,,,
,Palwal,2008 - 2009,,,,,,,25.0,600.0,24.0,,,,,,
,,2009 - 2010,,,,,,,34.0,700.0,20.59,,,,,,
,,2013 - 2014,,,,,,,110.0,,23.24,,,,,,
,,2014 - 2015,,,,,,,110.0,,23.98,,,,,,
,,2015 - 2016,,,,,,,110.0,,24.91,,,,,,
,,2016 - 2017,,,,,,,210.0,,28.7,,,,,,
,,2017 - 2018,,,,,,,75.0,,25.85,,,,,,
,,2018 - 2019,,,,,,,61.0,,25.85,,,,,,
,,2019 - 2020,,,,,,,133.0,,27.56,,,,,,
,,2021 - 2022,,,,,,,1.0,0.0,0.0,,,,,,
,Panchkula,2000 - 2001,,,,,,,22.0,400.0,18.18,,,,,,
,,2001 - 2002,,,,,,,156.0,,22.44,,,,,,
,,2002 - 2003,,,,,,,220.0,,24.09,,,,,,
,,2003 - 2004,,,,,,,371.0,,23.99,,,,,,
,,2004 - 2005,,,,,,,224.0,,24.11,,,,,,
,,2005 - 2006,,,,,,,258.0,,24.03,,,,,,
,,2006 - 2007,,,,,,,244.0,,24.18,,,,,,
,,2007 - 2008,,,,,,,246.0,,19.51,,,,,,
,,2008 - 2009,,,,,,,629.0,,21.14,,,,,,
,,2009 - 2010,,,,,,,622.0,,25.56,,,,,,
,,2010 - 2011,,,,,,,296.0,,25.0,,,,,,
,,2011 - 2012,,,,,,,211.0,,18.96,,,,,,
,,2012 - 2013,,,,,,,195.0,,19.49,,,,,,
,,2013 - 2014,,,,,,,,,20.65,,,,,,
,,2014 - 2015,,,,,,,,,21.73,,,,,,
,,2015 - 2016,,,,,,,,,20.62,,,,,,
,,2016 - 2017,,,,,,,,,21.73,,,,,,
,,2017 - 2018,,,,,,,,,24.01,,,,,,
,,2018 - 2019,,,,,,,,,32.22,,,,,,
,,2019 - 2020,,,,,,,,,25.92,,,,,,
,,2021 - 2022,,,,,,,415.0,,14.0,,,,,,
,Panipat,2000 - 2001,,,,,,,152.0,,21.05,,,,,,
,,2001 - 2002,,,,,,,156.0,,28.21,,,,,,
,,2002 - 2003,,,,,,,195.0,,213.85,,,,,,
,,2003 - 2004,,,,,,,184.0,,23.91,,,,,,
,,2004 - 2005,,,,,,,206.0,,23.79,,,,,,
,,2005 - 2006,,,,,,,208.0,,24.04,,,,,,
,,2006 - 2007,,,,,,,184.0,,23.91,,,,,,
,,2007 - 2008,,,,,,,198.0,,18.18,,,,,,
,,2008 - 2009,,,,,,,148.0,400.0,2.7,,,,,,
,,2009 - 2010,,,,,,,171.0,,17.54,,,,,,
,,2010 - 2011,,,,,,,164.0,,18.9,,,,,,
,,2011 - 2012,,,,,,,151.0,,25.17,,,,,,
,,2012 - 2013,,,,,,,178.0,,20.22,,,,,,
,,2013 - 2014,,,,,,,,,20.83,,,,,,
,,2014 - 2015,,,,,,,,,22.03,,,,,,
,,2015 - 2016,,,,,,,,,23.83,,,,,,
,,2016 - 2017,,,,,,,,,19.22,,,,,,
,,2017 - 2018,,,,,,,,,25.69,,,,,,
,,2018 - 2019,,,,,,,394.0,,25.06,,,,,,
,,2019 - 2020,,,,,,,,,22.94,,,,,,
,,2020 - 2021,,,,,,,210.0,0.0,0.0,,,,,,
,,2021 - 2022,,,,,,,554.0,,16.0,,,,,,
,Rewari,2000 - 2001,,,,,,,3.0,,0.0,,,,,,
,,2001 - 2002,,,,,,,1.0,0.0,0.0,,,,,,
,,2002 - 2003,,,,,,,6.0,200.0,33.33,,,,,,
,,2005 - 2006,,,,,,,5.0,,0.0,,,,,,
,,2011 - 2012,,,,,,,14.0,100.0,7.14,,,,,,
,,2013 - 2014,,,,,,,12.0,279.0,23.25,,,,,,
,,2014 - 2015,,,,,,,25.0,599.0,23.96,,,,,,
,,2015 - 2016,,,,,,,40.0,997.0,24.93,,,,,,
,,2016 - 2017,,,,,,,23.0,519.0,22.57,,,,,,
,,2017 - 2018,,,,,,,40.0,,25.85,,,,,,
,,2018 - 2019,,,,,,,30.0,775.0,25.83,,,,,,
,,2019 - 2020,,,,,,,36.0,894.0,24.83,,,,,,
,,2021 - 2022,,,,,,,1.0,0.0,0.0,,,,,,
,Rohtak,2000 - 2001,,,,,,,249.0,,16.06,,,,,,
,,2001 - 2002,,,,,,,309.0,,18.12,,,,,,
,,2002 - 2003,,,,,,,229.0,,15.72,,,,,,
,,2003 - 2004,,,,,,,228.0,,15.79,,,,,,
,,2012 - 2013,,,,,,,96.0,,22.92,,,,,,
,,2013 - 2014,,,,,,,440.0,,23.24,,,,,,
,,2014 - 2015,,,,,,,336.0,,24.02,,,,,,
,,2015 - 2016,,,,,,,,,24.91,,,,,,
,,2016 - 2017,,,,,,,336.0,,26.49,,,,,,
,,2017 - 2018,,,,,,,850.0,,24.75,,,,,,
,,2018 - 2019,,,,,,,200.0,,30.9,,,,,,
,,2019 - 2020,,,,,,,534.0,,25.98,,,,,,
,Sirsa,2000 - 2001,,,,,,,24.0,400.0,16.67,,,,,,
,,2001 - 2002,,,,,,,20.0,300.0,15.0,,,,,,
,,2003 - 2004,,,,,,,45.0,,26.67,,,,,,
,,2005 - 2006,,,,,,,57.0,,26.32,,,,,,
,,2006 - 2007,,,,,,,80.0,,26.25,,,,,,
,,2007 - 2008,,,,,,,93.0,,10.75,,,,,,
,,2008 - 2009,,,,,,,27.0,500.0,18.52,,,,,,
,,2009 - 2010,,,,,,,53.0,800.0,15.09,,,,,,
,,2010 - 2011,,,,,,,60.0,,18.33,,,,,,
,,2011 - 2012,,,,,,,130.0,,27.69,,,,,,
,,2012 - 2013,,,,,,,76.0,,22.37,,,,,,
,,2013 - 2014,,,,,,,400.0,,22.38,,,,,,
,,2014 - 2015,,,,,,,600.0,,23.98,,,,,,
,,2015 - 2016,,,,,,,875.0,,24.49,,,,,,
,,2016 - 2017,,,,,,,630.0,,44.32,,,,,,
,,2017 - 2018,,,,,,,652.0,,25.85,,,,,,
,,2018 - 2019,,,,,,,,,24.59,,,,,,
,,2019 - 2020,,,,,,,938.0,,29.97,,,,,,
,,2021 - 2022,,,,,,,640.0,,13.0,,,,,,
,Sonipat,2000 - 2001,,,,,,,406.0,,15.52,,,,,,
,,2001 - 2002,,,,,,,329.0,,26.44,,,,,,
,,2002 - 2003,,,,,,,360.0,,26.39,,,,,,
,,2003 - 2004,,,,,,,386.0,,26.42,,,,,,
,,2004 - 2005,,,,,,,387.0,,26.36,,,,,,
,,2005 - 2006,,,,,,,603.0,,26.37,,,,,,
,,2006 - 2007,,,,,,,275.0,,24.0,,,,,,
,,2007 - 2008,,,,,,,281.0,,18.86,,,,,,
,,2008 - 2009,,,,,,,801.0,,22.72,,,,,,
,,2009 - 2010,,,,,,,834.0,,20.14,,,,,,
,,2010 - 2011,,,,,,,221.0,,27.15,,,,,,
,,2011 - 2012,,,,,,,763.0,,19.0,,,,,,
,,2012 - 2013,,,,,,,647.0,,25.66,,,,,,
,,2013 - 2014,,,,,,,,,25.29,,,,,,
,,2014 - 2015,,,,,,,,,23.05,,,,,,
,,2015 - 2016,,,,,,,,,26.05,,,,,,
,,2016 - 2017,,,,,,,,,23.32,,,,,,
,,2017 - 2018,,,,,,,,,26.31,,,,,,
,,2018 - 2019,,,,,,,,,26.3,,,,,,
,,2019 - 2020,,,,,,,,,25.49,,,,,,
,,2021 - 2022,,,,,,,852.0,,13.0,,,,,,
,Yamunanagar,2000 - 2001,,,,,,,,,15.65,,,,,,
,,2001 - 2002,,,,,,,,,21.24,,,,,,
,,2002 - 2003,,,,,,,,,21.31,,,,,,
,,2003 - 2004,,,,,,,,,21.3,,,,,,
,,2004 - 2005,,,,,,,,,21.27,,,,,,
,,2005 - 2006,,,,,,,,,21.22,,,,,,
,,2006 - 2007,,,,,,,,,21.28,,,,,,
,,2007 - 2008,,,,,,,256.0,,20.31,,,,,,
,,2008 - 2009,,,,,,,776.0,,19.33,,,,,,
,,2009 - 2010,,,,,,,,,24.67,,,,,,
,,2010 - 2011,,,,,,,,,23.58,,,,,,
,,2011 - 2012,,,,,,,540.0,,15.0,,,,,,
,,2012 - 2013,,,,,,,937.0,,22.41,,,,,,
,,2013 - 2014,,,,,,,,,22.71,,,,,,
,,2014 - 2015,,,,,,,,,25.32,,,,,,
,,2015 - 2016,,,,,,,,,25.52,,,,,,
,,2016 - 2017,,,,,,,,,20.88,,,,,,
,,2017 - 2018,,,,,,,,,24.69,,,,,,
,,2018 - 2019,,,,,,,,,21.41,,,,,,
,,2019 - 2020,,,,,,,,,24.84,,,,,,
,,2021 - 2022,,,,,,,,,19.0,,,,,,
Himachal Pradesh,Bilaspur,2001 - 2002,,,,,,,9.0,70.0,7.78,,,,,,
,,2002 - 2003,,,,,,,13.0,130.0,10.0,,,,,,
,,2003 - 2004,,,,,,,24.0,277.0,11.54,,,,,,
,,2004 - 2005,,,,,,,19.0,189.0,9.95,,,,,,
,,2005 - 2006,,,,,,,24.0,69.0,2.88,,,,,,
,,2006 - 2007,,,,,,,35.0,151.0,4.31,,,,,,
,,2007 - 2008,31.0,269.0,8.68,,,,,,,,,,,,
,,2008 - 2009,,,,12.0,5.0,0.42,,,,,,,,,
,,2009 - 2010,,,,9.0,3.0,0.33,,,,,,,,,
,,2010 - 2011,,,,10.0,18.0,1.8,,,,,,,,,
,,2011 - 2012,,,,5.0,4.0,0.8,,,,,,,,,
,,2012 - 2013,,,,11.0,19.0,1.73,,,,,,,,,
,,2013 - 2014,,,,16.0,24.0,1.5,,,,,,,,,
,,2014 - 2015,,,,21.0,29.0,1.38,,,,,,,,,
,,2015 - 2016,,,,10.0,13.0,1.3,,,,,,,,,
,,2016 - 2017,,,,8.0,3.0,0.38,,,,,,,,,
,,2017 - 2018,,,,8.0,19.0,2.38,,,,,,,,,
,,2018 - 2019,,,,16.0,38.0,2.38,,,,,,,,,
,,2019 - 2020,,,,18.0,145.0,8.06,,,,,,,,,
,,2020 - 2021,,,,14.0,61.0,4.36,,,,,,,,,
,,2021 - 2022,7.0,31.0,4.43,8.0,35.0,4.38,,,,,,,,,
,Chamba,2001 - 2002,,,,,,,604.0,,10.39,,,,,,
,,2002 - 2003,,,,,,,680.0,,9.67,,,,,,
,,2003 - 2004,,,,,,,684.0,,11.3,,,,,,
