state,district,year,potato_kharif_area_hectare,potato_kharif_production_tonne,potato_kharif_yield_tonne_per_hectare,potato_rabi_area_hectare,potato_rabi_production_tonne,potato_rabi_yield_tonne_per_hectare,potato_whole_year_area_hectare,potato_whole_year_production_tonne,potato_whole_year_yield_tonne_per_hectare,potato_winter_area_hectare,potato_winter_production_tonne,potato_winter_yield_tonne_per_hectare,potato_summer_area_hectare,potato_summer_production_tonne,potato_summer_yield_tonne_per_hectare
,,2018 - 2019,16.0,141.0,8.81,45.0,397.0,8.82,,,,,,,,,
,,2019 - 2020,70.0,605.0,8.64,85.0,734.0,8.64,,,,,,,,,
,,2020 - 2021,12.0,106.0,8.83,54.0,478.0,8.85,,,,,,,,,
,,2021 - 2022,30.0,265.0,8.83,24.0,212.0,8.83,,,,,,,,,
,Vizianagaram,2010 - 2011,,,,,,,2.0,22.0,11.0,,,,,,
,,2012 - 2013,,,,27.0,475.0,17.59,,,,,,,,,
Arunachal Pradesh,Anjaw,2004 - 2005,,,,,,,86.0,688.0,8.0,,,,,,
,,2005 - 2006,,,,,,,90.0,720.0,8.0,,,,,,
,,2006 - 2007,,,,,,,102.0,925.0,9.07,,,,,,
,,2007 - 2008,,,,,,,104.0,847.0,8.14,,,,,,
,,2008 - 2009,,,,,,,115.0,936.0,8.14,,,,,,
,,2009 - 2010,,,,,,,120.0,,9.0,,,,,,
,,2010 - 2011,,,,,,,110.0,935.0,8.5,,,,,,
,,2011 - 2012,,,,,,,117.0,,8.91,,,,,,
,,2012 - 2013,,,,,,,120.0,,8.52,,,,,,
,,2013 - 2014,,,,,,,120.0,,8.52,,,,,,
,,2014 - 2015,,,,,,,33.0,138.0,4.18,,,,,,
,,2015 - 2016,,,,,,,73.0,392.0,5.37,,,,,,
,,2016 - 2017,,,,,,,73.0,392.0,5.37,,,,,,
,,2017 - 2018,,,,,,,78.0,444.0,5.69,,,,,,
,,2018 - 2019,,,,,,,82.0,476.0,5.8,,,,,,
,,2019 - 2020,,,,,,,83.0,484.0,5.83,,,,,,
,,2020 - 2021,,,,,,,83.0,490.0,5.9,,,,,,
,,2021 - 2022,,,,,,,84.0,496.0,5.9,,,,,,
,,2022 - 2023,,,,,,,86.0,508.0,5.91,,,,,,
,Changlang,2000 - 2001,,,,,,,755.0,,4.29,,,,,,
,,2001 - 2002,,,,,,,25.0,133.0,5.32,,,,,,
,,2002 - 2003,,,,,,,50.0,290.0,5.8,,,,,,
,,2003 - 2004,,,,,,,48.0,264.0,5.5,,,,,,
,,2004 - 2005,,,,,,,104.0,959.0,9.22,,,,,,
,,2005 - 2006,,,,,,,60.0,390.0,6.5,,,,,,
,,2006 - 2007,,,,,,,68.0,456.0,6.71,,,,,,
,,2007 - 2008,,,,,,,31.0,180.0,5.81,,,,,,
,,2008 - 2009,,,,,,,20.0,120.0,6.0,,,,,,
,,2009 - 2010,,,,,,,65.0,422.0,6.49,,,,,,
,,2010 - 2011,,,,,,,112.0,709.0,6.33,,,,,,
,,2011 - 2012,,,,,,,119.0,791.0,6.65,,,,,,
,,2012 - 2013,,,,,,,105.0,683.0,6.5,,,,,,
,,2013 - 2014,,,,,,,110.0,715.0,6.5,,,,,,
,,2014 - 2015,,,,,,,129.0,,8.53,,,,,,
,,2015 - 2016,,,,,,,159.0,,6.59,,,,,,
,,2016 - 2017,,,,,,,159.0,,6.59,,,,,,
,,2017 - 2018,,,,,,,164.0,,6.71,,,,,,
,,2018 - 2019,,,,,,,168.0,,6.74,,,,,,
,,2019 - 2020,,,,,,,169.0,,6.75,,,,,,
