state,district,year,dry_chillies_whole_year_area_hectare,dry_chillies_whole_year_production_tonne,dry_chillies_whole_year_yield_tonne_per_hectare,dry_chillies_rabi_area_hectare,dry_chillies_rabi_production_tonne,dry_chillies_rabi_yield_tonne_per_hectare,dry_chillies_kharif_area_hectare,dry_chillies_kharif_production_tonne,dry_chillies_kharif_yield_tonne_per_hectare,dry_chillies_summer_area_hectare,dry_chillies_summer_production_tonne,dry_chillies_summer_yield_tonne_per_hectare,dry_chillies_autumn_area_hectare,dry_chillies_autumn_production_tonne,dry_chillies_autumn_yield_tonne_per_hectare
,,2018 - 2019,280.0,,5.04,,,,,,,,,,,,
,Burhanpur,2003 - 2004,220.0,215.0,0.98,,,,,,,,,,,,
,,2006 - 2007,282.0,316.0,1.12,,,,,,,,,,,,
,,2009 - 2010,168.0,285.0,1.7,,,,,,,,,,,,
,,2010 - 2011,186.0,553.0,2.97,,,,,,,,,,,,
,,2011 - 2012,131.0,261.0,1.99,,,,,,,,,,,,
,,2012 - 2013,184.0,416.0,2.26,,,,,,,,,,,,
,,2013 - 2014,199.0,579.0,2.91,,,,,,,,,,,,
,,2015 - 2016,470.0,,2.5,,,,,,,,,,,,
,,2016 - 2017,480.0,,2.5,,,,,,,,,,,,
,,2017 - 2018,485.0,,2.49,,,,,,,,,,,,
,,2018 - 2019,490.0,,2.49,,,,,,,,,,,,
,Chhatarpur,2000 - 2001,641.0,119.0,0.19,,,,,,,,,,,,
,,2001 - 2002,735.0,197.0,0.27,,,,,,,,,,,,
,,2002 - 2003,762.0,232.0,0.3,,,,,,,,,,,,
,,2003 - 2004,872.0,269.0,0.31,,,,,,,,,,,,
,,2006 - 2007,732.0,229.0,0.31,,,,,,,,,,,,
,,2009 - 2010,845.0,483.0,0.57,,,,,,,,,,,,
,,2010 - 2011,903.0,698.0,0.77,,,,,,,,,,,,
,,2011 - 2012,,418.0,0.38,,,,,,,,,,,,
,,2012 - 2013,,491.0,0.46,,,,,,,,,,,,
,,2013 - 2014,,255.0,0.23,,,,,,,,,,,,
,,2015 - 2016,,,5.15,,,,,,,,,,,,
,,2016 - 2017,,,5.15,,,,,,,,,,,,
,,2017 - 2018,,,5.15,,,,,,,,,,,,
,,2018 - 2019,,,5.07,,,,,,,,,,,,
,Chhindwara,2000 - 2001,,305.0,0.22,,,,,,,,,,,,
,,2001 - 2002,,315.0,0.26,,,,,,,,,,,,
,,2002 - 2003,,578.0,0.36,,,,,,,,,,,,
,,2003 - 2004,,654.0,0.43,,,,,,,,,,,,
,,2006 - 2007,,740.0,0.47,,,,,,,,,,,,
,,2009 - 2010,,,0.95,,,,,,,,,,,,
,,2010 - 2011,,,1.31,,,,,,,,,,,,
,,2011 - 2012,,,0.99,,,,,,,,,,,,
,,2012 - 2013,,,1.23,,,,,,,,,,,,
,,2013 - 2014,,,0.79,,,,,,,,,,,,
,,2015 - 2016,,,14.99,,,,,,,,,,,,
,,2016 - 2017,260.0,,10.0,,,,,,,,,,,,
,,2017 - 2018,260.0,,10.0,,,,,,,,,,,,
,,2018 - 2019,142.0,,8.23,,,,,,,,,,,,
,Damoh,2000 - 2001,290.0,94.0,0.32,,,,,,,,,,,,
,,2001 - 2002,281.0,142.0,0.51,,,,,,,,,,,,
,,2002 - 2003,266.0,98.0,0.37,,,,,,,,,,,,
,,2003 - 2004,257.0,163.0,0.63,,,,,,,,,,,,
,,2006 - 2007,290.0,180.0,0.62,,,,,,,,,,,,
,,2009 - 2010,432.0,764.0,1.77,,,,,,,,,,,,
,,2010 - 2011,395.0,,2.56,,,,,,,,,,,,
,,2011 - 2012,459.0,759.0,1.65,,,,,,,,,,,,
,,2012 - 2013,501.0,,2.09,,,,,,,,,,,,
,,2013 - 2014,368.0,401.0,1.09,,,,,,,,,,,,
,,2015 - 2016,80.0,400.0,5.0,,,,,,,,,,,,
,,2016 - 2017,82.0,410.0,5.0,,,,,,,,,,,,
,,2017 - 2018,85.0,212.5,2.5,,,,,,,,,,,,
,,2018 - 2019,85.0,212.5,2.5,,,,,,,,,,,,
,Datia,2000 - 2001,194.0,56.0,0.29,,,,,,,,,,,,
,,2001 - 2002,172.0,72.0,0.42,,,,,,,,,,,,
,,2002 - 2003,126.0,47.0,0.37,,,,,,,,,,,,
,,2003 - 2004,125.0,52.0,0.42,,,,,,,,,,,,
,,2006 - 2007,50.0,22.0,0.44,,,,,,,,,,,,
,,2009 - 2010,37.0,43.0,1.16,,,,,,,,,,,,
,,2010 - 2011,21.0,32.0,1.52,,,,,,,,,,,,
,,2011 - 2012,63.0,47.0,0.75,,,,,,,,,,,,
,,2012 - 2013,56.0,67.0,1.2,,,,,,,,,,,,
,,2013 - 2014,75.0,51.0,0.68,,,,,,,,,,,,
,,2015 - 2016,310.0,310.0,1.0,,,,,,,,,,,,
,,2016 - 2017,310.0,310.0,1.0,,,,,,,,,,,,
,,2017 - 2018,317.0,317.0,1.0,,,,,,,,,,,,
,,2018 - 2019,318.0,318.0,1.0,,,,,,,,,,,,
,Dewas,2000 - 2001,162.0,44.0,0.27,,,,,,,,,,,,
,,2001 - 2002,175.0,58.0,0.33,,,,,,,,,,,,
,,2002 - 2003,172.0,105.0,0.61,,,,,,,,,,,,
,,2003 - 2004,189.0,115.0,0.61,,,,,,,,,,,,
,,2006 - 2007,166.0,91.0,0.55,,,,,,,,,,,,
,,2009 - 2010,141.0,121.0,0.86,,,,,,,,,,,,
,,2013 - 2014,6.0,6.0,1.0,,,,,,,,,,,,
,Dhar,2000 - 2001,,,0.35,,,,,,,,,,,,
,,2001 - 2002,,,0.59,,,,,,,,,,,,
,,2002 - 2003,,,0.89,,,,,,,,,,,,
,,2003 - 2004,,,0.93,,,,,,,,,,,,
,,2006 - 2007,,,1.04,,,,,,,,,,,,
,,2009 - 2010,,,1.98,,,,,,,,,,,,
,,2010 - 2011,,,3.34,,,,,,,,,,,,
,,2011 - 2012,,,1.76,,,,,,,,,,,,
,,2012 - 2013,,,2.35,,,,,,,,,,,,
,,2013 - 2014,,,1.75,,,,,,,,,,,,
,,2015 - 2016,,,3.0,,,,,,,,,,,,
,,2016 - 2017,,,1.34,,,,,,,,,,,,
,,2017 - 2018,,,1.34,,,,,,,,,,,,
,,2018 - 2019,,,1.35,,,,,,,,,,,,
,Dindori,2000 - 2001,3.0,1.0,0.33,,,,,,,,,,,,
,,2001 - 2002,4.0,2.0,0.5,,,,,,,,,,,,
,,2002 - 2003,5.0,2.0,0.4,,,,,,,,,,,,
,,2003 - 2004,5.0,2.0,0.4,,,,,,,,,,,,
,,2006 - 2007,7.0,5.0,0.71,,,,,,,,,,,,
,,2009 - 2010,2.0,4.0,2.0,,,,,,,,,,,,
,,2010 - 2011,2.0,4.0,2.0,,,,,,,,,,,,
,,2011 - 2012,9.0,10.0,1.11,,,,,,,,,,,,
,,2012 - 2013,12.0,23.0,1.92,,,,,,,,,,,,
,,2013 - 2014,11.0,11.0,1.0,,,,,,,,,,,,
,Guna,2000 - 2001,57.0,15.0,0.26,,,,,,,,,,,,
,,2001 - 2002,33.0,10.0,0.3,,,,,,,,,,,,
,,2002 - 2003,6.0,0.01,0.0,,,,,,,,,,,,
,,2003 - 2004,15.0,6.0,0.4,,,,,,,,,,,,
,,2006 - 2007,30.0,16.0,0.53,,,,,,,,,,,,
,,2009 - 2010,33.0,30.0,0.91,,,,,,,,,,,,
,,2010 - 2011,43.0,56.0,1.3,,,,,,,,,,,,
,,2011 - 2012,30.0,26.0,0.87,,,,,,,,,,,,
,,2012 - 2013,25.0,28.0,1.12,,,,,,,,,,,,
,,2013 - 2014,18.0,11.0,0.61,,,,,,,,,,,,
,Gwalior,2000 - 2001,298.0,175.0,0.59,,,,,,,,,,,,
,,2001 - 2002,227.0,178.0,0.78,,,,,,,,,,,,
,,2002 - 2003,132.0,115.0,0.87,,,,,,,,,,,,
,,2003 - 2004,66.0,61.0,0.92,,,,,,,,,,,,
,,2006 - 2007,68.0,62.0,0.91,,,,,,,,,,,,
,,2009 - 2010,45.0,91.0,2.02,,,,,,,,,,,,
,,2010 - 2011,27.0,73.0,2.7,,,,,,,,,,,,
,,2011 - 2012,23.0,36.0,1.57,,,,,,,,,,,,
,,2012 - 2013,33.0,62.0,1.88,,,,,,,,,,,,
,,2013 - 2014,33.0,33.0,1.0,,,,,,,,,,,,
,,2015 - 2016,,,7.0,,,,,,,,,,,,
,,2016 - 2017,,,7.0,,,,,,,,,,,,
,,2017 - 2018,,,7.0,,,,,,,,,,,,
,,2018 - 2019,,,7.0,,,,,,,,,,,,
,Harda,2000 - 2001,126.0,57.0,0.45,,,,,,,,,,,,
,,2001 - 2002,115.0,67.0,0.58,,,,,,,,,,,,
,,2002 - 2003,134.0,98.0,0.73,,,,,,,,,,,,
,,2003 - 2004,194.0,129.0,0.66,,,,,,,,,,,,
,,2006 - 2007,143.0,125.0,0.87,,,,,,,,,,,,
,,2009 - 2010,103.0,216.0,2.1,,,,,,,,,,,,
,,2010 - 2011,115.0,379.0,3.3,,,,,,,,,,,,
,,2011 - 2012,104.0,197.0,1.89,,,,,,,,,,,,
,,2012 - 2013,160.0,404.0,2.53,,,,,,,,,,,,
,,2013 - 2014,148.0,207.0,1.4,,,,,,,,,,,,
,Hoshangabad,2000 - 2001,492.0,273.0,0.55,,,,,,,,,,,,
,,2001 - 2002,506.0,357.0,0.71,,,,,,,,,,,,
,,2002 - 2003,490.0,404.0,0.82,,,,,,,,,,,,
,,2003 - 2004,442.0,353.0,0.8,,,,,,,,,,,,
,,2006 - 2007,754.0,818.0,1.08,,,,,,,,,,,,
,,2009 - 2010,512.0,,2.06,,,,,,,,,,,,
,,2010 - 2011,496.0,,3.19,,,,,,,,,,,,
,,2011 - 2012,580.0,,2.12,,,,,,,,,,,,
,,2012 - 2013,502.0,,2.75,,,,,,,,,,,,
,,2013 - 2014,376.0,546.0,1.45,,,,,,,,,,,,
,,2015 - 2016,300.0,,9.0,,,,,,,,,,,,
,,2016 - 2017,307.0,921.0,3.0,,,,,,,,,,,,
,,2017 - 2018,307.0,921.0,3.0,,,,,,,,,,,,
,,2018 - 2019,310.5,963.75,3.1,,,,,,,,,,,,
,Indore,2000 - 2001,101.0,29.0,0.29,,,,,,,,,,,,
,,2001 - 2002,81.0,39.0,0.48,,,,,,,,,,,,
,,2002 - 2003,91.0,66.0,0.73,,,,,,,,,,,,
,,2003 - 2004,243.0,144.0,0.59,,,,,,,,,,,,
,,2006 - 2007,100.0,87.0,0.87,,,,,,,,,,,,
,,2009 - 2010,190.0,233.0,1.23,,,,,,,,,,,,
,,2010 - 2011,233.0,589.0,2.53,,,,,,,,,,,,
,,2011 - 2012,140.0,163.0,1.16,,,,,,,,,,,,
,,2012 - 2013,145.0,217.0,1.5,,,,,,,,,,,,
,,2013 - 2014,120.0,98.0,0.82,,,,,,,,,,,,
,Jabalpur,2000 - 2001,192.0,90.0,0.47,,,,,,,,,,,,
,,2001 - 2002,193.0,171.0,0.89,,,,,,,,,,,,
,,2002 - 2003,213.0,217.0,1.02,,,,,,,,,,,,
,,2003 - 2004,177.0,213.0,1.2,,,,,,,,,,,,
,,2006 - 2007,291.0,423.0,1.45,,,,,,,,,,,,
,,2009 - 2010,377.0,764.0,2.03,,,,,,,,,,,,
,,2010 - 2011,276.0,529.0,1.92,,,,,,,,,,,,
,,2011 - 2012,290.0,662.0,2.28,,,,,,,,,,,,
,,2012 - 2013,369.0,939.0,2.54,,,,,,,,,,,,
,,2013 - 2014,445.0,598.0,1.34,,,,,,,,,,,,
,,2015 - 2016,802.0,,6.11,,,,,,,,,,,,
,,2016 - 2017,830.0,,6.11,,,,,,,,,,,,
,,2017 - 2018,840.0,,6.11,,,,,,,,,,,,
,,2018 - 2019,882.0,,6.11,,,,,,,,,,,,
,Jhabua,2000 - 2001,868.0,198.0,0.23,,,,,,,,,,,,
,,2001 - 2002,968.0,467.0,0.48,,,,,,,,,,,,
,,2002 - 2003,944.0,489.0,0.52,,,,,,,,,,,,
,,2003 - 2004,,685.0,0.68,,,,,,,,,,,,
,,2006 - 2007,,,0.84,,,,,,,,,,,,
,,2009 - 2010,,,1.91,,,,,,,,,,,,
,,2010 - 2011,,,2.13,,,,,,,,,,,,
,,2011 - 2012,,,1.63,,,,,,,,,,,,
,,2012 - 2013,,,1.95,,,,,,,,,,,,
,,2013 - 2014,,,1.35,,,,,,,,,,,,
,,2015 - 2016,,,3.0,,,,,,,,,,,,
,,2016 - 2017,883.0,,3.0,,,,,,,,,,,,
,,2017 - 2018,890.0,,3.0,,,,,,,,,,,,
,,2018 - 2019,617.0,,3.0,,,,,,,,,,,,
,Katni,2000 - 2001,189.0,73.0,0.39,,,,,,,,,,,,
,,2001 - 2002,218.0,125.0,0.57,,,,,,,,,,,,
,,2002 - 2003,233.0,145.0,0.62,,,,,,,,,,,,
,,2003 - 2004,206.0,134.0,0.65,,,,,,,,,,,,
,,2006 - 2007,180.0,91.0,0.51,,,,,,,,,,,,
,,2009 - 2010,190.0,212.0,1.12,,,,,,,,,,,,
,,2010 - 2011,202.0,299.0,1.48,,,,,,,,,,,,
,,2011 - 2012,162.0,173.0,1.07,,,,,,,,,,,,
,,2012 - 2013,209.0,260.0,1.24,,,,,,,,,,,,
,,2013 - 2014,308.0,321.0,1.04,,,,,,,,,,,,
,,2015 - 2016,,,3.5,,,,,,,,,,,,
,,2016 - 2017,,,2.76,,,,,,,,,,,,
,,2017 - 2018,,,3.52,,,,,,,,,,,,
,,2018 - 2019,,,3.52,,,,,,,,,,,,
,Khandwa,2000 - 2001,,,0.43,,,,,,,,,,,,
,,2001 - 2002,,,0.61,,,,,,,,,,,,
,,2002 - 2003,,,0.85,,,,,,,,,,,,
,,2003 - 2004,,,0.77,,,,,,,,,,,,
,,2006 - 2007,,,1.13,,,,,,,,,,,,
,,2009 - 2010,,,1.68,,,,,,,,,,,,
,,2010 - 2011,,,2.73,,,,,,,,,,,,
,,2011 - 2012,,,2.06,,,,,,,,,,,,
,,2012 - 2013,,,2.26,,,,,,,,,,,,
,,2013 - 2014,,,2.0,,,,,,,,,,,,
,,2015 - 2016,,,2.72,,,,,,,,,,,,
,,2016 - 2017,,,2.8,,,,,,,,,,,,
,,2017 - 2018,,,2.8,,,,,,,,,,,,
,,2018 - 2019,,,2.8,,,,,,,,,,,,
,Khargone,2000 - 2001,,,0.25,,,,,,,,,,,,
,,2001 - 2002,,,0.63,,,,,,,,,,,,
,,2002 - 2003,,,0.85,,,,,,,,,,,,
,,2003 - 2004,,,0.86,,,,,,,,,,,,
,,2006 - 2007,,,0.9,,,,,,,,,,,,
,,2009 - 2010,,,1.57,,,,,,,,,,,,
,,2010 - 2011,,,2.59,,,,,,,,,,,,
,,2011 - 2012,,,1.74,,,,,,,,,,,,
,,2012 - 2013,,,2.0,,,,,,,,,,,,
,,2013 - 2014,,,1.38,,,,,,,,,,,,
,,2015 - 2016,,,1.7,,,,,,,,,,,,
,,2016 - 2017,,,2.9,,,,,,,,,,,,
,,2017 - 2018,,,2.5,,,,,,,,,,,,
,,2018 - 2019,,,2.5,,,,,,,,,,,,
,Mandla,2000 - 2001,50.0,9.0,0.18,,,,,,,,,,,,
,,2001 - 2002,51.0,17.0,0.33,,,,,,,,,,,,
,,2002 - 2003,56.0,23.0,0.41,,,,,,,,,,,,
,,2003 - 2004,54.0,23.0,0.43,,,,,,,,,,,,
,,2006 - 2007,53.0,27.0,0.51,,,,,,,,,,,,
,,2009 - 2010,52.0,48.0,0.92,,,,,,,,,,,,
,,2010 - 2011,60.0,77.0,1.28,,,,,,,,,,,,
,,2011 - 2012,155.0,109.0,0.7,,,,,,,,,,,,
,,2012 - 2013,82.0,70.0,0.85,,,,,,,,,,,,
,,2013 - 2014,77.0,63.0,0.82,,,,,,,,,,,,
,,2015 - 2016,18.4,62.98,3.42,,,,,,,,,,,,
,,2016 - 2017,22.0,51.93,2.36,,,,,,,,,,,,
,,2017 - 2018,25.45,68.95,2.71,,,,,,,,,,,,
,,2018 - 2019,31.0,84.6,2.73,,,,,,,,,,,,
,Mandsaur,2000 - 2001,847.0,327.0,0.39,,,,,,,,,,,,
,,2001 - 2002,784.0,542.0,0.69,,,,,,,,,,,,
,,2002 - 2003,700.0,442.0,0.63,,,,,,,,,,,,
,,2003 - 2004,767.0,616.0,0.8,,,,,,,,,,,,
,,2006 - 2007,559.0,615.0,1.1,,,,,,,,,,,,
,,2009 - 2010,560.0,,2.13,,,,,,,,,,,,
,,2010 - 2011,580.0,,2.32,,,,,,,,,,,,
,,2011 - 2012,677.0,,1.79,,,,,,,,,,,,
,,2012 - 2013,606.0,,2.71,,,,,,,,,,,,
,,2013 - 2014,658.0,,1.8,,,,,,,,,,,,
,,2015 - 2016,721.0,865.2,1.2,,,,,,,,,,,,
,,2016 - 2017,730.0,876.0,1.2,,,,,,,,,,,,
,,2017 - 2018,723.0,868.0,1.2,,,,,,,,,,,,
,,2018 - 2019,788.0,945.2,1.2,,,,,,,,,,,,
,Morena,2000 - 2001,302.0,146.0,0.48,,,,,,,,,,,,
,,2001 - 2002,194.0,132.0,0.68,,,,,,,,,,,,
,,2002 - 2003,189.0,111.0,0.59,,,,,,,,,,,,
,,2003 - 2004,228.0,186.0,0.82,,,,,,,,,,,,
,,2006 - 2007,220.0,167.0,0.76,,,,,,,,,,,,
,,2009 - 2010,216.0,371.0,1.72,,,,,,,,,,,,
,,2010 - 2011,124.0,303.0,2.44,,,,,,,,,,,,
,,2011 - 2012,137.0,194.0,1.42,,,,,,,,,,,,
,,2012 - 2013,55.0,92.0,1.67,,,,,,,,,,,,
,,2013 - 2014,260.0,257.0,0.99,,,,,,,,,,,,
,,2015 - 2016,52.0,58.0,1.12,,,,,,,,,,,,
,,2016 - 2017,54.0,65.0,1.2,,,,,,,,,,,,
,,2017 - 2018,58.0,71.0,1.22,,,,,,,,,,,,
,,2018 - 2019,60.0,78.0,1.3,,,,,,,,,,,,
,Narsinghpur,2000 - 2001,157.0,94.0,0.6,,,,,,,,,,,,
,,2001 - 2002,162.0,125.0,0.77,,,,,,,,,,,,
,,2002 - 2003,169.0,162.0,0.96,,,,,,,,,,,,
,,2003 - 2004,225.0,209.0,0.93,,,,,,,,,,,,
,,2006 - 2007,169.0,216.0,1.28,,,,,,,,,,,,
,,2009 - 2010,146.0,358.0,2.45,,,,,,,,,,,,
,,2010 - 2011,164.0,641.0,3.91,,,,,,,,,,,,
,,2011 - 2012,150.0,354.0,2.36,,,,,,,,,,,,
,,2012 - 2013,128.0,530.0,4.14,,,,,,,,,,,,
,,2013 - 2014,209.0,451.0,2.16,,,,,,,,,,,,
,,2015 - 2016,531.9,,7.17,,,,,,,,,,,,
,,2016 - 2017,618.0,,2.54,,,,,,,,,,,,
,,2017 - 2018,618.0,,2.54,,,,,,,,,,,,
,,2018 - 2019,591.0,,2.75,,,,,,,,,,,,
,Neemuch,2000 - 2001,183.0,98.0,0.54,,,,,,,,,,,,
,,2001 - 2002,186.0,123.0,0.66,,,,,,,,,,,,
,,2002 - 2003,115.0,66.0,0.57,,,,,,,,,,,,
,,2003 - 2004,141.0,136.0,0.96,,,,,,,,,,,,
,,2006 - 2007,78.0,103.0,1.32,,,,,,,,,,,,
,,2009 - 2010,79.0,155.0,1.96,,,,,,,,,,,,
,,2010 - 2011,103.0,278.0,2.7,,,,,,,,,,,,
,,2011 - 2012,97.0,173.0,1.78,,,,,,,,,,,,
,,2012 - 2013,78.0,225.0,2.88,,,,,,,,,,,,
,,2013 - 2014,85.0,84.0,0.99,,,,,,,,,,,,
,,2015 - 2016,170.0,,16.39,,,,,,,,,,,,
,,2016 - 2017,305.0,,15.0,,,,,,,,,,,,
,,2017 - 2018,59.0,64.9,1.1,,,,,,,,,,,,
,,2018 - 2019,65.0,71.5,1.1,,,,,,,,,,,,
,Panna,2000 - 2001,241.0,29.0,0.12,,,,,,,,,,,,
,,2001 - 2002,256.0,62.0,0.24,,,,,,,,,,,,
,,2002 - 2003,263.0,64.0,0.24,,,,,,,,,,,,
,,2003 - 2004,250.0,71.0,0.28,,,,,,,,,,,,
,,2006 - 2007,236.0,105.0,0.44,,,,,,,,,,,,
,,2009 - 2010,247.0,324.0,1.31,,,,,,,,,,,,
,,2010 - 2011,401.0,488.0,1.22,,,,,,,,,,,,
,,2011 - 2012,777.0,783.0,1.01,,,,,,,,,,,,
,,2012 - 2013,579.0,686.0,1.18,,,,,,,,,,,,
,,2013 - 2014,635.0,967.0,1.52,,,,,,,,,,,,
,,2015 - 2016,540.5,,7.34,,,,,,,,,,,,
,,2016 - 2017,580.0,,5.74,,,,,,,,,,,,
,,2017 - 2018,585.0,,5.74,,,,,,,,,,,,
,,2018 - 2019,585.0,,5.74,,,,,,,,,,,,
,Raisen,2000 - 2001,101.0,32.0,0.32,,,,,,,,,,,,
,,2001 - 2002,102.0,41.0,0.4,,,,,,,,,,,,
,,2002 - 2003,128.0,64.0,0.5,,,,,,,,,,,,
,,2003 - 2004,186.0,102.0,0.55,,,,,,,,,,,,
,,2006 - 2007,192.0,152.0,0.79,,,,,,,,,,,,
,,2009 - 2010,205.0,315.0,1.54,,,,,,,,,,,,
,,2010 - 2011,179.0,315.0,1.76,,,,,,,,,,,,
,,2011 - 2012,255.0,349.0,1.37,,,,,,,,,,,,
,,2012 - 2013,277.0,385.0,1.39,,,,,,,,,,,,
,,2013 - 2014,124.0,90.0,0.73,,,,,,,,,,,,
,,2015 - 2016,80.0,152.0,1.9,,,,,,,,,,,,
,,2016 - 2017,100.0,200.0,2.0,,,,,,,,,,,,
,,2017 - 2018,100.0,200.0,2.0,,,,,,,,,,,,
,,2018 - 2019,112.0,224.0,2.0,,,,,,,,,,,,
,Rajgarh,2000 - 2001,569.0,129.0,0.23,,,,,,,,,,,,
,,2001 - 2002,618.0,219.0,0.35,,,,,,,,,,,,
,,2002 - 2003,522.0,151.0,0.29,,,,,,,,,,,,
,,2003 - 2004,607.0,395.0,0.65,,,,,,,,,,,,
,,2006 - 2007,564.0,414.0,0.73,,,,,,,,,,,,
,,2009 - 2010,526.0,799.0,1.52,,,,,,,,,,,,
,,2010 - 2011,565.0,,2.08,,,,,,,,,,,,
,,2011 - 2012,618.0,891.0,1.44,,,,,,,,,,,,
,,2012 - 2013,627.0,,2.12,,,,,,,,,,,,
,,2013 - 2014,585.0,474.0,0.81,,,,,,,,,,,,
,,2015 - 2016,,666.0,0.6,,,,,,,,,,,,
,,2016 - 2017,,757.25,0.65,,,,,,,,,,,,
,,2017 - 2018,,758.0,0.65,,,,,,,,,,,,
,,2018 - 2019,,761.0,0.65,,,,,,,,,,,,
,Ratlam,2000 - 2001,586.0,226.0,0.39,,,,,,,,,,,,
,,2001 - 2002,573.0,464.0,0.81,,,,,,,,,,,,
,,2002 - 2003,902.0,844.0,0.94,,,,,,,,,,,,
,,2003 - 2004,,,1.13,,,,,,,,,,,,
,,2006 - 2007,,,1.5,,,,,,,,,,,,
,,2009 - 2010,,,2.55,,,,,,,,,,,,
,,2010 - 2011,,,2.11,,,,,,,,,,,,
,,2011 - 2012,,,2.83,,,,,,,,,,,,
,,2012 - 2013,,,3.09,,,,,,,,,,,,
,,2013 - 2014,,,1.83,,,,,,,,,,,,
,,2015 - 2016,,,1.74,,,,,,,,,,,,
,,2016 - 2017,949.0,,1.74,,,,,,,,,,,,
,,2017 - 2018,949.0,,1.74,,,,,,,,,,,,
,,2018 - 2019,967.0,,2.0,,,,,,,,,,,,
,Rewa,2000 - 2001,151.0,41.0,0.27,,,,,,,,,,,,
,,2001 - 2002,191.0,87.0,0.46,,,,,,,,,,,,
,,2002 - 2003,165.0,100.0,0.61,,,,,,,,,,,,
,,2003 - 2004,196.0,115.0,0.59,,,,,,,,,,,,
,,2006 - 2007,240.0,152.0,0.63,,,,,,,,,,,,
,,2009 - 2010,210.0,233.0,1.11,,,,,,,,,,,,
,,2010 - 2011,233.0,448.0,1.92,,,,,,,,,,,,
,,2011 - 2012,277.0,256.0,0.92,,,,,,,,,,,,
,,2012 - 2013,282.0,443.0,1.57,,,,,,,,,,,,
,,2013 - 2014,263.0,168.0,0.64,,,,,,,,,,,,
,,2015 - 2016,,,8.46,,,,,,,,,,,,
,,2016 - 2017,,,4.75,,,,,,,,,,,,
,,2017 - 2018,,,4.75,,,,,,,,,,,,
,,2018 - 2019,,,4.25,,,,,,,,,,,,
,Sagar,2000 - 2001,386.0,131.0,0.34,,,,,,,,,,,,
,,2001 - 2002,388.0,171.0,0.44,,,,,,,,,,,,
,,2002 - 2003,423.0,155.0,0.37,,,,,,,,,,,,
,,2003 - 2004,452.0,265.0,0.59,,,,,,,,,,,,
,,2006 - 2007,504.0,305.0,0.61,,,,,,,,,,,,
,,2009 - 2010,388.0,496.0,1.28,,,,,,,,,,,,
,,2010 - 2011,424.0,976.0,2.3,,,,,,,,,,,,
,,2011 - 2012,423.0,485.0,1.15,,,,,,,,,,,,
,,2012 - 2013,460.0,586.0,1.27,,,,,,,,,,,,
,,2013 - 2014,399.0,388.0,0.97,,,,,,,,,,,,
,Satna,2000 - 2001,294.0,45.0,0.15,,,,,,,,,,,,
,,2001 - 2002,321.0,85.0,0.26,,,,,,,,,,,,
,,2002 - 2003,345.0,111.0,0.32,,,,,,,,,,,,
,,2003 - 2004,385.0,125.0,0.32,,,,,,,,,,,,
,,2006 - 2007,433.0,138.0,0.32,,,,,,,,,,,,
,,2009 - 2010,594.0,453.0,0.76,,,,,,,,,,,,
,,2010 - 2011,647.0,666.0,1.03,,,,,,,,,,,,
,,2011 - 2012,726.0,481.0,0.66,,,,,,,,,,,,
,,2012 - 2013,769.0,586.0,0.76,,,,,,,,,,,,
,,2013 - 2014,773.0,390.0,0.5,,,,,,,,,,,,
,,2015 - 2016,143.3,594.8,4.15,,,,,,,,,,,,
,,2016 - 2017,369.8,,2.97,,,,,,,,,,,,
,,2017 - 2018,196.9,571.5,2.9,,,,,,,,,,,,
,,2018 - 2019,246.5,713.0,2.89,,,,,,,,,,,,
,Sehore,2000 - 2001,201.0,64.0,0.32,,,,,,,,,,,,
,,2001 - 2002,200.0,79.0,0.4,,,,,,,,,,,,
,,2002 - 2003,177.0,85.0,0.48,,,,,,,,,,,,
,,2003 - 2004,188.0,90.0,0.48,,,,,,,,,,,,
,,2006 - 2007,223.0,114.0,0.51,,,,,,,,,,,,
,,2009 - 2010,353.0,561.0,1.59,,,,,,,,,,,,
,,2010 - 2011,328.0,440.0,1.34,,,,,,,,,,,,
,,2011 - 2012,338.0,514.0,1.52,,,,,,,,,,,,
,,2012 - 2013,350.0,664.0,1.9,,,,,,,,,,,,
,,2013 - 2014,371.0,352.0,0.95,,,,,,,,,,,,
,,2015 - 2016,650.0,,12.0,,,,,,,,,,,,
,,2016 - 2017,700.0,,3.03,,,,,,,,,,,,
,,2017 - 2018,750.0,,3.03,,,,,,,,,,,,
,,2018 - 2019,750.0,,3.03,,,,,,,,,,,,
,Seoni,2000 - 2001,243.0,54.0,0.22,,,,,,,,,,,,
,,2001 - 2002,250.0,94.0,0.38,,,,,,,,,,,,
,,2002 - 2003,269.0,87.0,0.32,,,,,,,,,,,,
,,2003 - 2004,249.0,123.0,0.49,,,,,,,,,,,,
,,2006 - 2007,253.0,114.0,0.45,,,,,,,,,,,,
,,2009 - 2010,254.0,224.0,0.88,,,,,,,,,,,,
,,2010 - 2011,234.0,311.0,1.33,,,,,,,,,,,,
,,2011 - 2012,263.0,189.0,0.72,,,,,,,,,,,,
,,2012 - 2013,299.0,433.0,1.45,,,,,,,,,,,,
,,2013 - 2014,296.0,238.0,0.8,,,,,,,,,,,,
,,2015 - 2016,381.0,,6.07,,,,,,,,,,,,
,,2016 - 2017,414.0,,6.01,,,,,,,,,,,,
,,2017 - 2018,410.0,,3.19,,,,,,,,,,,,
