state,district,year,dry_chillies_whole_year_area_hectare,dry_chillies_whole_year_production_tonne,dry_chillies_whole_year_yield_tonne_per_hectare,dry_chillies_rabi_area_hectare,dry_chillies_rabi_production_tonne,dry_chillies_rabi_yield_tonne_per_hectare,dry_chillies_kharif_area_hectare,dry_chillies_kharif_production_tonne,dry_chillies_kharif_yield_tonne_per_hectare,dry_chillies_summer_area_hectare,dry_chillies_summer_production_tonne,dry_chillies_summer_yield_tonne_per_hectare,dry_chillies_autumn_area_hectare,dry_chillies_autumn_production_tonne,dry_chillies_autumn_yield_tonne_per_hectare
,,2018 - 2019,289.0,612.0,2.12,,,,,,,,,,,,
,,2019 - 2020,290.0,619.0,2.13,,,,,,,,,,,,
,,2020 - 2021,290.0,622.0,2.14,,,,,,,,,,,,
,,2021 - 2022,307.0,695.0,2.26,,,,,,,,,,,,
,,2022 - 2023,312.0,707.0,2.27,,,,,,,,,,,,
,Upper subansiri,2000 - 2001,55.0,81.0,1.47,,,,,,,,,,,,
,,2001 - 2002,75.0,100.0,1.33,,,,,,,,,,,,
,,2002 - 2003,80.0,106.0,1.33,,,,,,,,,,,,
,,2003 - 2004,85.0,111.0,1.31,,,,,,,,,,,,
,,2004 - 2005,162.0,252.0,1.56,,,,,,,,,,,,
,,2005 - 2006,306.0,168.0,0.55,,,,,,,,,,,,
,,2006 - 2007,199.0,398.0,2.0,,,,,,,,,,,,
,,2007 - 2008,287.0,508.0,1.77,,,,,,,,,,,,
,,2008 - 2009,309.0,537.0,1.74,,,,,,,,,,,,
,,2009 - 2010,179.0,312.0,1.74,,,,,,,,,,,,
,,2010 - 2011,166.0,266.0,1.6,,,,,,,,,,,,
,,2011 - 2012,187.0,314.0,1.68,,,,,,,,,,,,
,,2012 - 2013,197.0,368.0,1.87,,,,,,,,,,,,
,,2013 - 2014,222.0,440.0,1.98,,,,,,,,,,,,
,,2014 - 2015,233.0,402.0,1.73,,,,,,,,,,,,
,,2015 - 2016,233.0,521.0,2.24,,,,,,,,,,,,
,,2016 - 2017,262.0,602.0,2.3,,,,,,,,,,,,
,,2017 - 2018,265.0,620.0,2.34,,,,,,,,,,,,
,,2018 - 2019,223.0,523.0,2.35,,,,,,,,,,,,
,,2019 - 2020,224.0,530.0,2.37,,,,,,,,,,,,
,,2020 - 2021,224.0,533.0,2.38,,,,,,,,,,,,
,,2021 - 2022,239.0,589.0,2.46,,,,,,,,,,,,
,,2022 - 2023,242.0,597.0,2.47,,,,,,,,,,,,
,West kameng,2000 - 2001,43.0,147.0,3.42,,,,,,,,,,,,
,,2001 - 2002,43.0,146.0,3.4,,,,,,,,,,,,
,,2002 - 2003,43.0,146.0,3.4,,,,,,,,,,,,
,,2003 - 2004,43.0,146.0,3.4,,,,,,,,,,,,
,,2004 - 2005,43.0,146.0,3.4,,,,,,,,,,,,
,,2005 - 2006,43.0,146.0,3.4,,,,,,,,,,,,
,,2006 - 2007,43.0,146.0,3.4,,,,,,,,,,,,
,,2007 - 2008,44.0,153.0,3.48,,,,,,,,,,,,
,,2008 - 2009,52.0,188.0,3.62,,,,,,,,,,,,
,,2009 - 2010,58.0,215.0,3.71,,,,,,,,,,,,
,,2010 - 2011,57.0,210.0,3.68,,,,,,,,,,,,
,,2011 - 2012,64.0,248.0,3.88,,,,,,,,,,,,
,,2013 - 2014,58.0,220.0,3.79,,,,,,,,,,,,
,,2014 - 2015,69.0,182.0,2.64,,,,,,,,,,,,
,,2015 - 2016,69.0,201.0,2.91,,,,,,,,,,,,
,,2016 - 2017,98.0,282.0,2.88,,,,,,,,,,,,
,,2017 - 2018,101.0,300.0,2.97,,,,,,,,,,,,
,,2018 - 2019,101.0,302.0,2.99,,,,,,,,,,,,
,,2019 - 2020,102.0,309.0,3.03,,,,,,,,,,,,
,,2020 - 2021,102.0,312.0,3.06,,,,,,,,,,,,
,,2021 - 2022,108.0,348.0,3.22,,,,,,,,,,,,
,,2022 - 2023,112.0,362.0,3.23,,,,,,,,,,,,
,West siang,2000 - 2001,150.0,200.0,1.33,,,,,,,,,,,,
,,2001 - 2002,240.0,235.0,0.98,,,,,,,,,,,,
,,2002 - 2003,154.0,238.0,1.55,,,,,,,,,,,,
,,2003 - 2004,154.0,238.0,1.55,,,,,,,,,,,,
,,2004 - 2005,220.0,110.0,0.5,,,,,,,,,,,,
,,2005 - 2006,162.0,232.0,1.43,,,,,,,,,,,,
,,2006 - 2007,154.0,238.0,1.55,,,,,,,,,,,,
,,2007 - 2008,157.0,235.0,1.5,,,,,,,,,,,,
,,2008 - 2009,160.0,246.0,1.54,,,,,,,,,,,,
,,2009 - 2010,163.0,260.0,1.6,,,,,,,,,,,,
,,2010 - 2011,166.0,264.0,1.59,,,,,,,,,,,,
,,2011 - 2012,187.0,311.0,1.66,,,,,,,,,,,,
,,2012 - 2013,188.0,305.0,1.62,,,,,,,,,,,,
,,2013 - 2014,190.0,309.0,1.63,,,,,,,,,,,,
,,2014 - 2015,201.0,271.0,1.35,,,,,,,,,,,,
,,2015 - 2016,151.0,393.0,2.6,,,,,,,,,,,,
,,2016 - 2017,180.0,474.0,2.63,,,,,,,,,,,,
,,2017 - 2018,183.0,492.0,2.69,,,,,,,,,,,,
,,2018 - 2019,75.0,204.0,2.72,,,,,,,,,,,,
,,2019 - 2020,40.0,111.0,2.78,,,,,,,,,,,,
,,2020 - 2021,40.0,114.0,2.85,,,,,,,,,,,,
,,2021 - 2022,43.0,141.0,3.28,,,,,,,,,,,,
,,2022 - 2023,45.0,148.0,3.29,,,,,,,,,,,,
Assam,Baksa,2005 - 2006,601.0,443.0,0.74,,,,,,,,,,,,
,,2006 - 2007,681.0,502.0,0.74,,,,,,,,,,,,
,,2007 - 2008,688.0,311.0,0.45,,,,,,,,,,,,
,,2008 - 2009,788.0,506.0,0.64,,,,,,,,,,,,
,,2009 - 2010,719.0,439.0,0.61,,,,,,,,,,,,
,,2010 - 2011,690.0,395.0,0.57,,,,,,,,,,,,
,,2011 - 2012,732.0,353.0,0.48,,,,,,,,,,,,
,,2012 - 2013,750.0,443.0,0.59,,,,,,,,,,,,
,,2013 - 2014,760.0,448.0,0.59,,,,,,,,,,,,
,,2014 - 2015,762.0,484.0,0.64,,,,,,,,,,,,
,,2015 - 2016,760.0,490.0,0.64,,,,,,,,,,,,
,,2016 - 2017,760.0,494.0,0.65,,,,,,,,,,,,
,,2017 - 2018,756.0,586.0,0.78,,,,,,,,,,,,
,,2018 - 2019,750.0,596.0,0.79,,,,,,,,,,,,
,,2019 - 2020,750.0,605.0,0.81,,,,,,,,,,,,
,,2020 - 2021,765.0,617.0,0.81,,,,,,,,,,,,
,Barpeta,2000 - 2001,,,0.8,,,,,,,,,,,,
,,2001 - 2002,,,0.8,,,,,,,,,,,,
,,2002 - 2003,,,0.8,,,,,,,,,,,,
,,2003 - 2004,,,0.8,,,,,,,,,,,,
,,2004 - 2005,,,0.8,,,,,,,,,,,,
,,2005 - 2006,,,0.8,,,,,,,,,,,,
,,2006 - 2007,,,0.8,,,,,,,,,,,,
,,2007 - 2008,,,0.8,,,,,,,,,,,,
,,2008 - 2009,,,0.8,,,,,,,,,,,,
,,2009 - 2010,,,0.8,,,,,,,,,,,,
,,2010 - 2011,,,0.8,,,,,,,,,,,,
,,2011 - 2012,,,0.66,,,,,,,,,,,,
,,2012 - 2013,,,0.91,,,,,,,,,,,,
,,2013 - 2014,,,1.26,,,,,,,,,,,,
,,2014 - 2015,,,1.26,,,,,,,,,,,,
,,2015 - 2016,,,1.26,,,,,,,,,,,,
,,2016 - 2017,,,1.27,,,,,,,,,,,,
,,2017 - 2018,,,1.3,,,,,,,,,,,,
,,2018 - 2019,,,1.3,,,,,,,,,,,,
,,2019 - 2020,,,1.3,,,,,,,,,,,,
,,2020 - 2021,,,1.3,,,,,,,,,,,,
,Biswanath,2020 - 2021,286.0,172.0,0.6,,,,,,,,,,,,
,Bongaigaon,2000 - 2001,679.0,435.0,0.64,,,,,,,,,,,,
,,2001 - 2002,686.0,440.0,0.64,,,,,,,,,,,,
,,2002 - 2003,848.0,554.0,0.65,,,,,,,,,,,,
,,2003 - 2004,850.0,554.0,0.65,,,,,,,,,,,,
,,2004 - 2005,885.0,576.0,0.65,,,,,,,,,,,,
,,2005 - 2006,528.0,336.0,0.64,,,,,,,,,,,,
,,2006 - 2007,577.0,370.0,0.64,,,,,,,,,,,,
,,2007 - 2008,589.0,375.0,0.64,,,,,,,,,,,,
,,2008 - 2009,592.0,377.0,0.64,,,,,,,,,,,,
,,2009 - 2010,598.0,380.0,0.64,,,,,,,,,,,,
,,2010 - 2011,584.0,372.0,0.64,,,,,,,,,,,,
,,2011 - 2012,552.0,366.0,0.66,,,,,,,,,,,,
,,2012 - 2013,532.0,360.0,0.68,,,,,,,,,,,,
,,2013 - 2014,566.0,381.0,0.67,,,,,,,,,,,,
,,2014 - 2015,557.0,379.0,0.68,,,,,,,,,,,,
,,2015 - 2016,565.0,387.0,0.68,,,,,,,,,,,,
,,2016 - 2017,659.0,456.0,0.69,,,,,,,,,,,,
,,2017 - 2018,595.0,432.0,0.73,,,,,,,,,,,,
,,2018 - 2019,607.0,457.0,0.75,,,,,,,,,,,,
,,2019 - 2020,595.0,458.0,0.77,,,,,,,,,,,,
,,2020 - 2021,580.0,446.0,0.77,,,,,,,,,,,,
,Cachar,2000 - 2001,680.0,415.0,0.61,,,,,,,,,,,,
,,2001 - 2002,684.0,417.0,0.61,,,,,,,,,,,,
,,2002 - 2003,694.0,423.0,0.61,,,,,,,,,,,,
,,2003 - 2004,763.0,467.0,0.61,,,,,,,,,,,,
,,2004 - 2005,839.0,536.0,0.64,,,,,,,,,,,,
,,2005 - 2006,939.0,600.0,0.64,,,,,,,,,,,,
,,2006 - 2007,998.0,628.0,0.63,,,,,,,,,,,,
,,2007 - 2008,,636.0,0.64,,,,,,,,,,,,
,,2008 - 2009,995.0,632.0,0.64,,,,,,,,,,,,
,,2009 - 2010,984.0,624.0,0.63,,,,,,,,,,,,
,,2010 - 2011,,671.0,0.64,,,,,,,,,,,,
,,2011 - 2012,,697.0,0.65,,,,,,,,,,,,
,,2012 - 2013,,717.0,0.67,,,,,,,,,,,,
,,2013 - 2014,,733.0,0.67,,,,,,,,,,,,
,,2014 - 2015,,752.0,0.67,,,,,,,,,,,,
,,2015 - 2016,,753.0,0.67,,,,,,,,,,,,
,,2016 - 2017,,687.0,0.68,,,,,,,,,,,,
,,2017 - 2018,,725.0,0.71,,,,,,,,,,,,
,,2018 - 2019,,747.0,0.72,,,,,,,,,,,,
,,2019 - 2020,,766.0,0.74,,,,,,,,,,,,
,,2020 - 2021,,835.0,0.74,,,,,,,,,,,,
