state,district,year,sunflower_rabi_area_hectare,sunflower_rabi_production_tonne,sunflower_rabi_yield_tonne_per_hectare,sunflower_kharif_area_hectare,sunflower_kharif_production_tonne,sunflower_kharif_yield_tonne_per_hectare,sunflower_whole_year_area_hectare,sunflower_whole_year_production_tonne,sunflower_whole_year_yield_tonne_per_hectare,sunflower_summer_area_hectare,sunflower_summer_production_tonne,sunflower_summer_yield_tonne_per_hectare
,,2003 - 2004,,,0.39,,,0.73,,,,,796.0,0.53
,,2004 - 2005,,,0.39,,,0.71,,,,,655.0,0.65
,,2005 - 2006,,,0.43,,,0.46,,,,782.0,374.0,0.48
,,2006 - 2007,,,0.47,,,0.72,,,,,459.0,0.42
,,2007 - 2008,,,0.64,,,0.66,,,,,,0.96
,,2008 - 2009,,,0.61,,,0.72,,,,,,0.71
,,2009 - 2010,,,0.46,,,0.43,,,,,,0.84
,,2010 - 2011,,,0.81,,,0.85,,,,,659.0,0.57
,,2011 - 2012,,,0.65,,,0.97,,,,490.0,518.0,1.06
,,2012 - 2013,,,0.56,,,0.54,,,,474.0,417.0,0.88
,,2013 - 2014,,,0.65,,,0.6,,,,816.0,867.0,1.06
,,2014 - 2015,,,0.61,,,0.69,,,,,764.0,0.73
,,2015 - 2016,,,0.4,,,0.34,,,,914.0,777.0,0.85
,,2016 - 2017,,,0.67,,,0.56,,,,200.0,332.0,1.66
,,2017 - 2018,,,1.1,,,1.27,,,,492.0,610.0,1.24
,,2018 - 2019,,,0.81,,,1.11,,,,483.0,563.0,1.17
,,2019 - 2020,,,0.78,,,0.86,,,,875.0,,1.27
,,2020 - 2021,,,0.99,,,0.86,,,,169.0,220.0,1.3
,,2021 - 2022,,,0.89,,,0.91,,,,258.0,284.0,1.1
,,2022 - 2023,,,0.81,,,1.04,,,,147.0,171.0,1.16
,Bellary,2000 - 2001,,,0.31,,,0.6,,,,,,0.69
,,2001 - 2002,,,0.39,,,0.48,,,,,,0.67
,,2002 - 2003,,,0.26,,,0.44,,,,,,0.6
,,2003 - 2004,,,0.25,,,0.44,,,,,,0.52
,,2004 - 2005,,,0.32,,,0.47,,,,,,0.65
,,2005 - 2006,,,0.29,,,0.41,,,,,,0.77
,,2006 - 2007,,,0.32,,,0.37,,,,,,0.88
,,2007 - 2008,,,0.4,,,0.38,,,,,,1.03
,,2008 - 2009,,,0.34,,,0.43,,,,,,0.83
,,2009 - 2010,,,0.35,,,0.35,,,,,,0.81
,,2010 - 2011,,,0.5,,,0.58,,,,,,0.93
,,2011 - 2012,,,0.48,,,0.34,,,,,,1.08
,,2012 - 2013,,,0.52,,,0.53,,,,,,0.76
,,2013 - 2014,,,0.63,,,0.62,,,,,,1.24
,,2014 - 2015,,,0.59,,,0.61,,,,,,0.71
,,2015 - 2016,,,0.48,,,0.51,,,,945.0,656.0,0.69
,,2016 - 2017,,429.0,0.14,,,0.83,,,,130.0,25.0,0.19
,,2017 - 2018,,,0.92,,,1.44,,,,17.0,19.0,1.12
,,2018 - 2019,,,0.64,,,1.01,,,,10.0,10.0,1.0
,,2019 - 2020,,,0.87,,,1.03,,,,100.0,106.0,1.06
,,2020 - 2021,,,0.87,,,1.16,,,,41.0,49.0,1.2
,,2021 - 2022,,,0.85,,,1.09,,,,42.0,51.0,1.21
,,2022 - 2023,221.0,172.0,0.78,,,1.36,,,,10.0,12.0,1.2
,Bengaluru urban,2000 - 2001,,,,10.0,8.0,0.8,,,,,,
,,2001 - 2002,,,,8.0,7.0,0.88,,,,,,
,,2002 - 2003,,,,7.0,5.0,0.71,,,,1.0,1.0,1.0
,,2003 - 2004,1.0,1.0,1.0,,,,,,,,,
,,2004 - 2005,,,,3.0,2.0,0.67,,,,8.0,5.0,0.63
,,2005 - 2006,1.0,1.0,1.0,12.0,9.0,0.75,,,,1.0,1.0,1.0
,,2006 - 2007,,,,12.0,7.0,0.58,,,,5.0,4.0,0.8
,,2007 - 2008,,,,9.0,7.0,0.78,,,,,,
,,2008 - 2009,,,,6.0,5.0,0.83,,,,,,
,,2009 - 2010,4.0,3.0,0.75,5.0,3.0,0.6,,,,,,
,,2010 - 2011,,,,1.0,1.0,1.0,,,,22.0,22.0,1.0
,,2011 - 2012,,,,,,,,,,6.0,6.0,1.0
,,2012 - 2013,,,,1.0,1.0,1.0,,,,,,
,,2014 - 2015,,,,4.0,2.0,0.5,,,,,,
,,2015 - 2016,,,,8.0,3.0,0.38,,,,,,
,,2016 - 2017,,,,2.0,1.0,0.5,,,,,,
,,2017 - 2018,,,,2.0,2.0,1.0,,,,,,
,,2018 - 2019,,,,1.0,1.0,1.0,,,,,,
,,2019 - 2020,,,,6.0,5.0,0.83,,,,,,
,,2020 - 2021,,,,3.0,3.0,1.0,,,,,,
,,2021 - 2022,,,,5.0,4.0,0.8,,,,,,
,,2022 - 2023,1.0,1.0,1.0,13.0,12.0,0.92,,,,,,
,Bidar,2000 - 2001,,,0.36,,,0.36,,,,100.0,72.0,0.72
,,2001 - 2002,,,0.4,,,0.27,,,,202.0,165.0,0.82
,,2002 - 2003,,,0.53,,,0.35,,,,83.0,50.0,0.6
,,2003 - 2004,,,0.56,,,0.45,,,,39.0,21.0,0.54
,,2004 - 2005,,,0.56,,,0.33,,,,169.0,110.0,0.65
,,2005 - 2006,,,0.57,,,0.34,,,,77.0,60.0,0.78
,,2006 - 2007,,,0.49,,,0.39,,,,63.0,50.0,0.79
,,2007 - 2008,,,0.52,,,0.44,,,,94.0,96.0,1.02
,,2008 - 2009,,,0.48,,,0.37,,,,226.0,180.0,0.8
,,2009 - 2010,,,0.49,,,0.31,,,,191.0,164.0,0.86
,,2010 - 2011,,,0.43,,961.0,0.33,,,,236.0,239.0,1.01
,,2011 - 2012,,,0.39,,997.0,0.36,,,,201.0,205.0,1.02
,,2012 - 2013,,,0.54,,,0.54,,,,294.0,294.0,1.0
,,2013 - 2014,,810.0,0.36,,834.0,0.47,,,,247.0,246.0,1.0
,,2014 - 2015,960.0,378.0,0.39,,412.0,0.41,,,,10.0,9.0,0.9
,,2015 - 2016,614.0,180.0,0.29,527.0,45.0,0.09,,,,,,
,,2016 - 2017,4.0,2.0,0.5,17.0,7.0,0.41,,,,,,
,,2017 - 2018,,,,11.0,5.0,0.45,,,,,,
,,2018 - 2019,,,,23.0,2.0,0.09,,,,,,
,,2019 - 2020,26.0,19.0,0.73,133.0,24.0,0.18,,,,,,
,,2020 - 2021,37.0,34.0,0.92,66.0,1.0,0.02,,,,,,
,,2021 - 2022,92.0,72.0,0.78,43.0,36.0,0.84,,,,196.0,269.0,1.37
,,2022 - 2023,203.0,175.0,0.86,6.0,6.0,1.0,,,,32.0,39.0,1.22
,Bijapur,2000 - 2001,,,0.43,,,0.49,,,,819.0,611.0,0.75
,,2001 - 2002,,,0.37,,,0.46,,,,,942.0,0.55
,,2002 - 2003,,,0.41,,,0.41,,,,,,0.61
,,2003 - 2004,,,0.14,,,0.49,,,,,,0.46
,,2004 - 2005,,,0.29,,,0.35,,,,,862.0,0.39
,,2005 - 2006,,,0.46,,,0.29,,,,,786.0,0.48
,,2006 - 2007,,,0.25,,,0.18,,,,,,0.5
,,2007 - 2008,,,0.35,,,0.39,,,,,,0.71
,,2008 - 2009,,,0.23,,,0.38,,,,,,0.57
,,2009 - 2010,,,0.18,,,0.27,,,,,,0.46
,,2010 - 2011,,,0.34,,,0.33,,,,,,0.63
,,2011 - 2012,,,0.2,,,0.31,,,,,703.0,0.45
,,2012 - 2013,,,0.41,,,0.47,,,,,838.0,0.61
,,2013 - 2014,,,0.53,,,0.52,,,,,966.0,0.69
,,2014 - 2015,,,0.41,,,0.5,,,,,691.0,0.58
,,2015 - 2016,,,0.22,,,0.29,,,,780.0,239.0,0.31
,,2016 - 2017,,,0.5,,,0.86,,,,166.0,116.0,0.7
,,2017 - 2018,72.0,31.0,0.43,,,0.91,,,,,,
,,2018 - 2019,,626.0,0.32,,,0.59,,,,,,
,,2019 - 2020,123.0,60.0,0.49,,,0.51,,,,20.0,18.0,0.9
,,2020 - 2021,411.0,380.0,0.92,,,0.93,,,,257.0,252.0,0.98
,,2021 - 2022,552.0,513.0,0.93,,,0.99,,,,124.0,182.0,1.47
,,2022 - 2023,,794.0,0.71,,,0.81,,,,258.0,204.0,0.79
,Chamarajanagar,2000 - 2001,8.0,6.0,0.75,,,0.44,,,,154.0,110.0,0.71
,,2001 - 2002,2.0,1.0,0.5,,641.0,0.33,,,,225.0,184.0,0.82
,,2002 - 2003,12.0,8.0,0.67,,,0.22,,,,72.0,44.0,0.61
,,2003 - 2004,414.0,317.0,0.77,,502.0,0.16,,,,419.0,221.0,0.53
,,2004 - 2005,249.0,224.0,0.9,,,0.54,,,,189.0,123.0,0.65
,,2005 - 2006,170.0,152.0,0.89,,,0.36,,,,223.0,173.0,0.78
,,2006 - 2007,75.0,61.0,0.81,,,0.52,,,,395.0,313.0,0.79
,,2007 - 2008,368.0,305.0,0.83,,,0.32,,,,871.0,890.0,1.02
,,2008 - 2009,240.0,155.0,0.65,,,0.66,,,,199.0,159.0,0.8
,,2009 - 2010,124.0,49.0,0.4,,,0.21,,,,23.0,20.0,0.87
,,2010 - 2011,28.0,24.0,0.86,,,0.43,,,,75.0,76.0,1.01
,,2011 - 2012,15.0,11.0,0.73,,,0.48,,,,38.0,39.0,1.03
,,2012 - 2013,598.0,297.0,0.5,,,0.12,,,,66.0,66.0,1.0
,,2013 - 2014,56.0,33.0,0.59,,,0.52,,,,70.0,70.0,1.0
,,2014 - 2015,1.0,1.0,1.0,,,0.24,,,,,,
,,2015 - 2016,6.0,2.0,0.33,,,0.31,,,,,,
,,2016 - 2017,23.0,5.0,0.22,,,0.33,,,,38.0,16.0,0.42
,,2017 - 2018,,,,,,0.73,,,,27.0,32.0,1.19
,,2018 - 2019,98.0,51.0,0.52,,,0.97,,,,16.0,14.0,0.88
,,2019 - 2020,595.0,433.0,0.73,,,0.79,,,,30.0,33.0,1.1
,,2020 - 2021,,975.0,0.92,,,1.05,,,,272.0,346.0,1.27
,,2021 - 2022,172.0,135.0,0.78,,,0.97,,,,51.0,70.0,1.37
,,2022 - 2023,404.0,349.0,0.86,,,1.14,,,,384.0,468.0,1.22
,Chikballapur,2007 - 2008,495.0,510.0,1.03,411.0,163.0,0.4,,,,,,1.14
,,2008 - 2009,900.0,,1.18,782.0,392.0,0.5,,,,,,1.06
,,2009 - 2010,385.0,415.0,1.08,460.0,202.0,0.44,,,,,,1.11
,,2010 - 2011,851.0,811.0,0.95,148.0,79.0,0.53,,,,723.0,738.0,1.02
,,2011 - 2012,400.0,267.0,0.67,97.0,60.0,0.62,,,,948.0,,1.35
,,2012 - 2013,498.0,408.0,0.82,42.0,21.0,0.5,,,,405.0,757.0,1.87
,,2013 - 2014,110.0,107.0,0.97,10.0,6.0,0.6,,,,90.0,121.0,1.34
,,2014 - 2015,30.0,36.0,1.2,5.0,3.0,0.6,,,,41.0,62.0,1.51
,,2015 - 2016,39.0,37.0,0.95,9.0,4.0,0.44,,,,30.0,47.0,1.57
,,2016 - 2017,5.0,1.0,0.2,4.0,2.0,0.5,,,,,,
,,2017 - 2018,7.0,23.0,3.29,10.0,10.0,1.0,,,,91.0,82.0,0.9
,,2019 - 2020,48.0,148.0,3.08,3.0,2.0,0.67,,,,,,
,,2020 - 2021,99.0,91.0,0.92,4.0,3.0,0.75,,,,64.0,73.0,1.14
,,2021 - 2022,94.0,74.0,0.79,18.0,15.0,0.83,,,,270.0,517.0,1.91
,,2022 - 2023,772.0,668.0,0.87,135.0,132.0,0.98,,,,564.0,949.0,1.68
,Chikmagalur,2000 - 2001,20.0,8.0,0.4,,,0.72,,,,,,
,,2001 - 2002,283.0,100.0,0.35,,,0.5,,,,,,
,,2002 - 2003,11.0,4.0,0.36,,,0.25,,,,,,
,,2003 - 2004,173.0,31.0,0.18,,,0.2,,,,5.0,3.0,0.6
,,2004 - 2005,722.0,211.0,0.29,,,0.61,,,,40.0,26.0,0.65
,,2005 - 2006,464.0,187.0,0.4,,,0.77,,,,,,
,,2006 - 2007,185.0,51.0,0.28,,,0.4,,,,,,
,,2007 - 2008,100.0,37.0,0.37,,,0.7,,,,,,
,,2008 - 2009,134.0,36.0,0.27,,,0.43,,,,,,
,,2009 - 2010,109.0,43.0,0.39,,,0.46,,,,,,
,,2010 - 2011,45.0,17.0,0.38,,,0.61,,,,,,
,,2011 - 2012,45.0,14.0,0.31,,,0.34,,,,,,
,,2012 - 2013,21.0,6.0,0.29,,,0.29,,,,,,
,,2013 - 2014,10.0,4.0,0.4,,,0.43,,,,,,
,,2014 - 2015,9.0,4.0,0.44,,,0.45,,,,,,
,,2015 - 2016,26.0,12.0,0.46,,,0.31,,,,,,
,,2016 - 2017,,,,,,0.84,,,,,,
,,2017 - 2018,,,,652.0,416.0,0.64,,,,,,
,,2018 - 2019,,,,,,0.72,,,,,,
,,2019 - 2020,,,,328.0,308.0,0.94,,,,,,
,,2020 - 2021,,,,78.0,74.0,0.95,,,,,,
,,2021 - 2022,5.0,4.0,0.8,,874.0,0.8,,,,,,
,,2022 - 2023,,,,,,0.82,,,,,,
,Chitradurga,2000 - 2001,,,0.47,,,0.63,,,,938.0,539.0,0.57
,,2001 - 2002,,,0.51,,,0.72,,,,,,0.82
,,2002 - 2003,,,0.46,,,0.48,,,,,,0.61
,,2003 - 2004,,,0.34,,,0.47,,,,,,0.76
,,2004 - 2005,,,0.52,,,0.58,,,,,,1.01
,,2005 - 2006,,,0.68,,,0.48,,,,,,0.93
,,2006 - 2007,,,0.33,,,0.51,,,,,,1.03
,,2007 - 2008,,,0.47,,,0.54,,,,,,1.2
,,2008 - 2009,,,0.4,,,0.4,,,,752.0,648.0,0.86
,,2009 - 2010,,,0.38,,,0.36,,,,756.0,783.0,1.04
,,2010 - 2011,,,0.47,,,0.57,,,,967.0,,1.14
,,2011 - 2012,,,0.28,,,0.3,,,,469.0,401.0,0.86
,,2012 - 2013,,,0.43,,,0.47,,,,475.0,464.0,0.98
,,2013 - 2014,,,0.59,,,0.48,,,,190.0,203.0,1.07
,,2014 - 2015,,,0.55,,,0.51,,,,341.0,318.0,0.93
,,2015 - 2016,,,0.54,,,0.5,,,,260.0,269.0,1.03
,,2016 - 2017,190.0,42.0,0.22,,,0.26,,,,,,
,,2017 - 2018,,618.0,0.61,550.0,645.0,1.17,,,,13.0,16.0,1.23
,,2018 - 2019,234.0,201.0,0.86,849.0,520.0,0.61,,,,,,
,,2019 - 2020,235.0,186.0,0.79,,,0.53,,,,,,
,,2020 - 2021,349.0,491.0,1.41,,952.0,0.8,,,,90.0,52.0,0.58
,,2021 - 2022,181.0,172.0,0.95,,,0.72,,,,12.0,16.0,1.33
,,2022 - 2023,439.0,394.0,0.9,,,0.9,,,,8.0,10.0,1.25
,Davangere,2000 - 2001,,,0.36,,,0.61,,,,,,1.15
,,2001 - 2002,,,0.31,,,0.5,,,,986.0,964.0,0.98
,,2002 - 2003,,,0.3,,,0.41,,,,,711.0,0.6
,,2003 - 2004,,,0.37,,,0.42,,,,,,0.53
,,2004 - 2005,,,0.45,,,0.55,,,,,,0.75
,,2005 - 2006,,,0.77,,,0.4,,,,,,0.78
,,2006 - 2007,,,0.48,,,0.61,,,,,,0.97
,,2007 - 2008,,,0.5,,,0.52,,,,,,0.74
,,2008 - 2009,,,0.74,,,0.58,,,,,,0.96
,,2009 - 2010,,,0.82,,,0.57,,,,,,1.64
,,2010 - 2011,,,0.98,,,0.59,,,,,,1.21
,,2011 - 2012,,,1.11,,716.0,0.6,,,,,,1.42
,,2012 - 2013,,,0.82,,,0.72,,,,,,1.47
,,2013 - 2014,,,0.83,,594.0,0.5,,,,800.0,961.0,1.2
,,2014 - 2015,,,0.99,,808.0,0.67,,,,,,1.14
,,2015 - 2016,808.0,609.0,0.75,,,0.71,,,,352.0,388.0,1.1
,,2016 - 2017,341.0,341.0,1.0,648.0,345.0,0.53,,,,152.0,66.0,0.43
,,2017 - 2018,715.0,586.0,0.82,,,0.84,,,,45.0,64.0,1.42
,,2018 - 2019,177.0,217.0,1.23,159.0,148.0,0.93,,,,20.0,26.0,1.3
,,2019 - 2020,133.0,130.0,0.98,,655.0,0.65,,,,46.0,82.0,1.78
,,2020 - 2021,433.0,613.0,1.42,250.0,99.0,0.4,,,,96.0,219.0,2.28
,,2021 - 2022,595.0,709.0,1.19,918.0,860.0,0.94,,,,34.0,47.0,1.38
,,2022 - 2023,,,1.27,,,0.88,,,,33.0,35.0,1.06
,Dharwad,2000 - 2001,,892.0,0.58,285.0,94.0,0.33,,,,,,
,,2001 - 2002,,,0.38,218.0,83.0,0.38,,,,,,
,,2002 - 2003,,,0.4,386.0,149.0,0.39,,,,10.0,6.0,0.6
,,2003 - 2004,,,0.14,205.0,93.0,0.45,,,,70.0,37.0,0.53
,,2004 - 2005,,,0.38,,918.0,0.76,,,,63.0,41.0,0.65
,,2005 - 2006,,,0.61,,,0.44,,,,43.0,33.0,0.77
,,2006 - 2007,,,0.43,,619.0,0.56,,,,61.0,48.0,0.79
,,2007 - 2008,,,0.4,428.0,187.0,0.44,,,,30.0,31.0,1.03
,,2008 - 2009,,,0.36,,,0.41,,,,52.0,41.0,0.79
,,2009 - 2010,,,0.45,54.0,13.0,0.24,,,,72.0,62.0,0.86
,,2010 - 2011,,,0.67,22.0,9.0,0.41,,,,71.0,72.0,1.01
,,2011 - 2012,,,0.5,50.0,17.0,0.34,,,,24.0,25.0,1.04
,,2012 - 2013,,,0.22,66.0,33.0,0.5,,,,1.0,1.0,1.0
,,2013 - 2014,,,0.35,7.0,4.0,0.57,,,,1.0,1.0,1.0
,,2014 - 2015,,,0.44,14.0,8.0,0.57,,,,,,
,,2015 - 2016,,544.0,0.18,8.0,3.0,0.38,,,,,,
,,2016 - 2017,494.0,22.0,0.04,,,,,,,,,
,,2017 - 2018,,,0.34,577.0,582.0,1.01,,,,,,
,,2018 - 2019,565.0,194.0,0.34,54.0,46.0,0.85,,,,,,
,,2019 - 2020,697.0,320.0,0.46,287.0,217.0,0.76,,,,,,
,,2020 - 2021,,,0.49,48.0,41.0,0.85,,,,2.0,3.0,1.5
,,2021 - 2022,,,0.72,92.0,78.0,0.85,,,,,,
,,2022 - 2023,,,0.7,12.0,12.0,1.0,,,,,,
,Gadag,2000 - 2001,,,0.39,,,0.51,,,,,,0.57
,,2001 - 2002,,,0.33,,,0.35,,,,,,0.55
,,2002 - 2003,,,0.2,,,0.25,,,,,,0.46
,,2003 - 2004,,,0.17,,,0.47,,,,,,0.76
,,2004 - 2005,,,0.44,,,0.48,,,,,,1.01
,,2005 - 2006,,,0.56,,,0.41,,,,,,0.95
,,2006 - 2007,,,0.22,,,0.22,,,,,,0.61
,,2007 - 2008,,,0.42,,,0.32,,,,,,0.92
,,2008 - 2009,,,0.36,,,0.33,,,,,,0.71
,,2009 - 2010,,,0.25,,,0.27,,,,,,0.69
,,2010 - 2011,,,0.48,,,0.41,,,,,974.0,0.97
,,2011 - 2012,,,0.35,,,0.37,,,,570.0,506.0,0.89
,,2012 - 2013,,,0.42,,,0.44,,,,787.0,552.0,0.7
,,2013 - 2014,,,0.59,,,0.52,,,,,,0.94
,,2014 - 2015,,,0.51,,,0.57,,,,795.0,801.0,1.01
,,2015 - 2016,,,0.31,,,0.32,,,,788.0,765.0,0.97
,,2016 - 2017,,,0.08,,,0.47,,,,215.0,12.0,0.06
,,2017 - 2018,,,0.43,,,0.95,,,,20.0,12.0,0.6
,,2018 - 2019,,,0.31,,,0.38,,,,15.0,6.0,0.4
,,2019 - 2020,,,0.52,,,0.53,,,,225.0,189.0,0.84
,,2020 - 2021,,,0.5,,,0.46,,,,69.0,39.0,0.57
,,2021 - 2022,,,0.58,,,0.59,,,,120.0,121.0,1.01
,,2022 - 2023,,,0.7,,,0.59,,,,284.0,252.0,0.89
,Gulbarga,2000 - 2001,,,0.43,,,0.46,,,,,914.0,0.57
,,2001 - 2002,,,0.44,,,0.42,,,,,,0.82
,,2002 - 2003,,,0.57,,,0.66,,,,,,0.47
,,2003 - 2004,,,0.43,,,0.53,,,,,,0.46
,,2004 - 2005,,,0.43,,,0.37,,,,,591.0,0.44
,,2005 - 2006,,,0.48,,,0.4,,,,,873.0,0.86
,,2006 - 2007,,,0.41,,,0.21,,,,,854.0,0.45
,,2007 - 2008,,,0.44,,,0.45,,,,,,0.69
,,2008 - 2009,,,0.41,,,0.37,,,,,540.0,0.52
,,2009 - 2010,,,0.34,,,0.23,,,,,831.0,0.56
,,2010 - 2011,,,0.48,,,0.37,,,,287.0,165.0,0.57
,,2011 - 2012,,,0.55,,,0.48,,,,174.0,95.0,0.55
,,2012 - 2013,,,0.52,,,0.51,,,,271.0,148.0,0.55
,,2013 - 2014,,,0.62,,,0.59,,,,73.0,62.0,0.85
,,2014 - 2015,,,0.53,,,0.59,,,,257.0,192.0,0.75
,,2015 - 2016,,,0.18,,,0.29,,,,100.0,63.0,0.63
,,2016 - 2017,279.0,192.0,0.69,,,0.44,,,,40.0,34.0,0.85
,,2017 - 2018,469.0,313.0,0.67,,,1.17,,,,150.0,181.0,1.21
,,2018 - 2019,572.0,256.0,0.45,,,1.0,,,,9.0,8.0,0.89
,,2019 - 2020,73.0,31.0,0.42,,,1.05,,,,,,
,,2020 - 2021,71.0,65.0,0.92,,,0.65,,,,12.0,15.0,1.25
,,2021 - 2022,110.0,86.0,0.78,,,0.73,,,,6.0,8.0,1.33
,,2022 - 2023,219.0,189.0,0.86,,,0.78,,,,15.0,18.0,1.2
,Hassan,2000 - 2001,414.0,248.0,0.6,,,0.89,,,,63.0,45.0,0.71
,,2001 - 2002,346.0,214.0,0.62,,,0.95,,,,6.0,5.0,0.83
,,2002 - 2003,187.0,83.0,0.44,,,0.39,,,,21.0,13.0,0.62
,,2003 - 2004,173.0,63.0,0.36,,,0.26,,,,,,
,,2004 - 2005,615.0,216.0,0.35,,,0.87,,,,5.0,3.0,0.6
,,2005 - 2006,,,0.76,,,0.81,,,,15.0,12.0,0.8
,,2006 - 2007,992.0,764.0,0.77,,,0.35,,,,4.0,3.0,0.75
,,2007 - 2008,734.0,551.0,0.75,,,0.59,,,,43.0,44.0,1.02
,,2008 - 2009,736.0,721.0,0.98,,,0.54,,,,18.0,14.0,0.78
,,2009 - 2010,840.0,521.0,0.62,,,0.53,,,,15.0,13.0,0.87
,,2010 - 2011,149.0,111.0,0.74,,,0.83,,,,24.0,24.0,1.0
,,2011 - 2012,11.0,3.0,0.27,,,0.99,,,,,,
,,2012 - 2013,19.0,9.0,0.47,,360.0,0.32,,,,,,
,,2013 - 2014,,,,652.0,274.0,0.42,,,,,,
,,2014 - 2015,,,,908.0,691.0,0.76,,,,,,
,,2015 - 2016,,,,880.0,505.0,0.57,,,,,,
,,2016 - 2017,,,,238.0,98.0,0.41,,,,,,
,,2017 - 2018,,,,457.0,318.0,0.7,,,,,,
,,2018 - 2019,,,,2.0,1.0,0.5,,,,,,
,,2019 - 2020,,,,89.0,67.0,0.75,,,,,,
,,2020 - 2021,,,,64.0,34.0,0.53,,,,,,
,,2021 - 2022,,,,639.0,272.0,0.43,,,,,,
,,2022 - 2023,3.0,3.0,1.0,,,0.78,,,,,,
,Haveri,2000 - 2001,,,0.57,,990.0,0.51,,,,,863.0,0.84
,,2001 - 2002,,957.0,0.61,,491.0,0.46,,,,,,0.98
,,2002 - 2003,,,0.42,,,0.36,,,,,829.0,0.61
,,2003 - 2004,,,0.3,,812.0,0.26,,,,,736.0,0.53
,,2004 - 2005,,,0.75,,,0.51,,,,,,0.64
,,2005 - 2006,,,0.71,,,0.45,,,,,,0.38
,,2006 - 2007,,,0.61,,,0.34,,,,,,0.88
,,2007 - 2008,,,0.74,,,0.5,,,,,,1.07
,,2008 - 2009,,,0.6,,,0.46,,,,,,0.92
,,2009 - 2010,,,0.75,,758.0,0.53,,,,,,1.09
,,2010 - 2011,,,0.74,519.0,225.0,0.43,,,,,,0.98
,,2011 - 2012,,,0.72,209.0,122.0,0.58,,,,751.0,666.0,0.89
,,2012 - 2013,,,0.68,,199.0,0.19,,,,701.0,499.0,0.71
,,2013 - 2014,,,0.81,74.0,37.0,0.5,,,,984.0,732.0,0.74
,,2014 - 2015,,,0.81,89.0,14.0,0.16,,,,,,0.87
,,2015 - 2016,,,0.53,103.0,28.0,0.27,,,,615.0,758.0,1.23
,,2016 - 2017,,,0.72,511.0,300.0,0.59,,,,149.0,176.0,1.18
,,2017 - 2018,,,1.2,355.0,450.0,1.27,,,,125.0,190.0,1.52
,,2018 - 2019,,,1.02,758.0,188.0,0.25,,,,189.0,228.0,1.21
,,2019 - 2020,,,0.94,114.0,52.0,0.46,,,,473.0,555.0,1.17
,,2020 - 2021,,,1.43,98.0,60.0,0.61,,,,703.0,,1.62
,,2021 - 2022,,,0.99,196.0,109.0,0.56,,,,328.0,440.0,1.34
,,2022 - 2023,,,1.25,17.0,8.0,0.47,,,,177.0,156.0,0.88
,Kodagu,2012 - 2013,,,,4.0,2.0,0.5,,,,,,
,Kolar,2000 - 2001,14.0,10.0,0.71,,820.0,0.7,,,,541.0,388.0,0.72
,,2001 - 2002,,,,683.0,514.0,0.75,,,,531.0,434.0,0.82
,,2002 - 2003,,763.0,0.71,889.0,662.0,0.74,,,,408.0,248.0,0.61
,,2003 - 2004,,,0.77,605.0,353.0,0.58,,,,888.0,469.0,0.53
,,2004 - 2005,,,2.28,,,0.68,,,,,655.0,0.65
,,2005 - 2006,,,4.82,671.0,660.0,0.98,,,,,,0.78
,,2006 - 2007,597.0,,2.2,889.0,288.0,0.32,,,,,,1.97
,,2007 - 2008,,,,49.0,37.0,0.76,,,,68.0,69.0,1.01
,,2008 - 2009,,,,40.0,23.0,0.58,,,,10.0,8.0,0.8
,,2009 - 2010,,,,46.0,16.0,0.35,,,,5.0,4.0,0.8
,,2010 - 2011,,,,42.0,18.0,0.43,,,,4.0,4.0,1.0
,,2011 - 2012,,,,8.0,3.0,0.38,,,,4.0,4.0,1.0
,,2012 - 2013,,,,,,,,,,4.0,4.0,1.0
,,2018 - 2019,,,,1.0,1.0,1.0,,,,,,
,,2019 - 2020,1.0,1.0,1.0,4.0,3.0,0.75,,,,,,
,,2020 - 2021,9.0,8.0,0.89,2.0,2.0,1.0,,,,2.0,3.0,1.5
,,2021 - 2022,1.0,1.0,1.0,3.0,2.0,0.67,,,,6.0,8.0,1.33
,,2022 - 2023,,,,6.0,6.0,1.0,,,,2.0,2.0,1.0
,Koppal,2000 - 2001,,,0.31,,,0.5,,,,,,0.62
,,2001 - 2002,,,0.34,,,0.44,,,,,,0.84
,,2002 - 2003,,,0.14,,,0.42,,,,,,0.58
,,2003 - 2004,,,0.14,,,0.39,,,,,,0.4
,,2004 - 2005,,,0.29,,,0.39,,,,,,0.64
,,2005 - 2006,,,0.37,,,0.41,,,,,,0.71
,,2006 - 2007,,,0.11,,,0.16,,,,,,0.54
,,2007 - 2008,,,0.26,,,0.4,,,,,,0.84
,,2008 - 2009,,,0.22,,,0.35,,,,,,0.67
,,2009 - 2010,,,0.2,,,0.22,,,,,,0.83
,,2010 - 2011,,,0.39,,,0.51,,,,,,1.13
,,2011 - 2012,,,0.24,,,0.52,,,,,,1.0
,,2012 - 2013,,,0.71,,,0.84,,,,,,0.97
,,2013 - 2014,,,0.7,,,0.93,,,,,,0.92
,,2014 - 2015,,,0.74,,,0.72,,,,,,0.95
,,2015 - 2016,,,0.36,,,0.45,,,,,,0.83
,,2016 - 2017,,,0.1,,,0.38,,,,,50.0,0.03
,,2017 - 2018,,,0.59,,,1.01,,,,,,1.33
,,2018 - 2019,,,0.32,,,0.62,,,,847.0,413.0,0.49
,,2019 - 2020,,,0.5,,,0.7,,,,,,0.8
,,2020 - 2021,,,0.6,,,0.86,,,,188.0,166.0,0.88
