state,district,year,sunflower_rabi_area_hectare,sunflower_rabi_production_tonne,sunflower_rabi_yield_tonne_per_hectare,sunflower_kharif_area_hectare,sunflower_kharif_production_tonne,sunflower_kharif_yield_tonne_per_hectare,sunflower_whole_year_area_hectare,sunflower_whole_year_production_tonne,sunflower_whole_year_yield_tonne_per_hectare,sunflower_summer_area_hectare,sunflower_summer_production_tonne,sunflower_summer_yield_tonne_per_hectare
,,2004 - 2005,152.0,136.0,0.89,152.0,136.0,0.89,,,,,,
,,2005 - 2006,,,,,,,152.0,173.0,1.14,,,
,,2006 - 2007,,,,,,,136.0,111.0,0.82,,,
,,2008 - 2009,,,,,,,42.0,43.0,1.02,,,
,,2009 - 2010,,,,,,,268.0,261.0,0.97,,,
,,2010 - 2011,,,,,,,76.0,94.0,1.24,,,
,,2011 - 2012,,,,,,,38.0,40.0,1.05,,,
,,2013 - 2014,8.0,9.0,1.13,,,,,,,,,
,,2014 - 2015,15.0,14.0,0.93,,,,,,,,,
,,2015 - 2016,13.0,14.0,1.08,,,,,,,,,
,,2016 - 2017,5.0,4.0,0.8,,,,,,,,,
,,2017 - 2018,4.0,4.0,1.0,,,,,,,,,
,,2018 - 2019,29.0,9.0,0.31,,,,,,,,,
,,2019 - 2020,15.0,15.0,1.0,,,,,,,,,
,,2020 - 2021,9.0,11.0,1.22,,,,,,,,,
,,2021 - 2022,51.0,55.0,1.08,,,,,,,,,
,Kurnool,2000 - 2001,,,,,,0.78,,,,,,
,,2001 - 2002,,,,,,0.8,,,,,,
,,2002 - 2003,,,,,,0.79,,,,,,
,,2003 - 2004,,,,,,0.66,,,,,,
,,2004 - 2005,,,0.57,,,0.53,,,,,,
,,2005 - 2006,,,,,,,,,0.59,,,
,,2006 - 2007,,,,,,,,,0.65,,,
,,2007 - 2008,,,1.06,,,0.61,,,,,,
,,2008 - 2009,,,,,,,,,0.78,,,
,,2009 - 2010,,,,,,,,,0.6,,,
,,2010 - 2011,,,,,,,,,0.81,,,
,,2011 - 2012,,,,,,,,,0.67,,,
,,2012 - 2013,,,0.74,,,0.75,,,,,,
,,2013 - 2014,,,0.91,,,0.77,,,,,,
,,2014 - 2015,,,1.23,,,0.81,,,,,,
,,2015 - 2016,,,0.67,,,1.04,,,,,,
,,2016 - 2017,,,1.16,,,0.81,,,,,,
,,2017 - 2018,548.0,433.0,0.79,,,1.1,,,,,,
,,2018 - 2019,,669.0,0.61,723.0,581.0,0.8,,,,,,
,,2019 - 2020,259.0,272.0,1.05,426.0,213.0,0.5,,,,,,
,,2020 - 2021,826.0,988.0,1.2,190.0,237.0,1.25,,,,,,
,,2021 - 2022,636.0,429.0,0.67,,,0.68,,,,,,
,,2022 - 2023,587.0,598.0,1.02,751.0,662.0,0.88,,,,,,
,Nandyal,2022 - 2023,253.0,295.0,1.17,909.0,924.0,1.02,,,,,,
,Ntr,2022 - 2023,25.0,25.0,1.0,,,,,,,,,
,Palnadu,2022 - 2023,,,,4.0,4.0,1.0,,,,,,
,Parvathipuram manyam,2022 - 2023,14.0,14.0,1.0,,,,,,,,,
,Prakasam,2000 - 2001,,,,,,1.52,,,,,,
,,2001 - 2002,,,,,,1.09,,,,,,
,,2002 - 2003,,,,,,1.08,,,,,,
,,2003 - 2004,,,,,,1.25,,,,,,
,,2004 - 2005,,,1.2,,,1.17,,,,,,
,,2005 - 2006,,,,,,,,,1.42,,,
,,2006 - 2007,,,,,,,,,0.86,,,
,,2007 - 2008,,,1.39,,,0.67,,,,,,
,,2008 - 2009,,,,,,,,,1.02,,,
,,2009 - 2010,,,,,,,,,0.98,,,
,,2010 - 2011,,,,,,,,,1.24,,,
,,2011 - 2012,,,,,,,,,1.1,,,
,,2012 - 2013,,,1.0,,,1.0,,,,,,
,,2013 - 2014,,,1.18,483.0,381.0,0.79,,,,,,
,,2014 - 2015,,,0.95,96.0,116.0,1.21,,,,,,
,,2015 - 2016,,,1.12,215.0,296.0,1.38,,,,,,
