state,district,year,rapeseed_and_mustard_rabi_area_hectare,rapeseed_and_mustard_rabi_production_tonne,rapeseed_and_mustard_rabi_yield_tonne_per_hectare,rapeseed_and_mustard_kharif_area_hectare,rapeseed_and_mustard_kharif_production_tonne,rapeseed_and_mustard_kharif_yield_tonne_per_hectare,rapeseed_and_mustard_winter_area_hectare,rapeseed_and_mustard_winter_production_tonne,rapeseed_and_mustard_winter_yield_tonne_per_hectare,rapeseed_and_mustard_whole_year_area_hectare,rapeseed_and_mustard_whole_year_production_tonne,rapeseed_and_mustard_whole_year_yield_tonne_per_hectare
,,2009 - 2010,,,0.51,,,,,,,,,
,,2010 - 2011,,,0.42,,,,,,,,,
,,2011 - 2012,,,0.49,,,,,,,,,
,,2012 - 2013,,877.0,0.51,,,,,,,,,
,,2013 - 2014,918.0,534.0,0.58,,,,,,,,,
,,2014 - 2015,824.0,435.0,0.53,,,,,,,,,
,,2015 - 2016,749.0,433.0,0.58,,,,,,,,,
,,2016 - 2017,,513.0,0.46,,,,,,,,,
,,2017 - 2018,,956.0,0.45,,,,,,,,,
,,2018 - 2019,,638.0,0.5,,,,,,,,,
,,2019 - 2020,931.0,468.0,0.5,,,,,,,,,
,,2020 - 2021,762.0,404.0,0.53,,,,,,,,,
,,2021 - 2022,,627.0,0.49,,,,,,,,,
,,2022 - 2023,,775.0,0.6,,,,,,,,,
,Durg,2000 - 2001,279.0,58.0,0.21,,,,,,,,,
,,2001 - 2002,419.0,113.0,0.27,,,,,,,,,
,,2002 - 2003,,343.0,0.28,,,,,,,,,
,,2003 - 2004,800.0,290.0,0.36,,,,,,,,,
,,2004 - 2005,,498.0,0.33,,,,,,,,,
,,2005 - 2006,,650.0,0.3,,,,,,,,,
,,2006 - 2007,,754.0,0.36,,,,,,,,,
,,2007 - 2008,,575.0,0.32,,,,,,,,,
,,2008 - 2009,,613.0,0.31,,,,,,,,,
,,2009 - 2010,,924.0,0.42,,,,,,,,,
,,2010 - 2011,,795.0,0.33,,,,,,,,,
,,2011 - 2012,766.0,308.0,0.4,,,,,,,,,
,,2012 - 2013,704.0,308.0,0.44,,,,,,,,,
,,2013 - 2014,810.0,405.0,0.5,,,,,,,,,
,,2014 - 2015,883.0,443.0,0.5,,,,,,,,,
,,2015 - 2016,721.0,506.0,0.7,,,,,,,,,
,,2016 - 2017,736.0,407.0,0.55,,,,,,,,,
,,2017 - 2018,981.0,357.0,0.36,,,,,,,,,
,,2018 - 2019,,826.0,0.44,,,,,,,,,
,,2019 - 2020,,323.0,0.14,,,,,,,,,
,,2020 - 2021,,,0.57,,,,,,,,,
,,2021 - 2022,,,0.55,,,,,,,,,
,,2022 - 2023,,,0.53,,,,,,,,,
,Gariyaband,2011 - 2012,300.0,143.0,0.48,,,,,,,,,
,,2012 - 2013,301.0,143.0,0.48,,,,,,,,,
,,2013 - 2014,313.0,144.0,0.46,,,,,,,,,
,,2014 - 2015,214.0,87.0,0.41,,,,,,,,,
,,2015 - 2016,180.0,97.0,0.54,,,,,,,,,
,,2016 - 2017,49.0,21.0,0.43,,,,,,,,,
,,2017 - 2018,40.0,14.0,0.35,,,,,,,,,
,,2018 - 2019,38.0,15.0,0.39,,,,,,,,,
,,2019 - 2020,60.0,25.0,0.42,,,,,,,,,
,,2020 - 2021,38.0,18.0,0.47,,,,,,,,,
,,2021 - 2022,43.0,31.0,0.72,,,,,,,,,
,,2022 - 2023,32.0,19.0,0.59,,,,,,,,,
,Gaurella-pendra-marwahi,2019 - 2020,291.0,114.0,0.39,,,,,,,,,
,,2020 - 2021,208.0,78.0,0.38,,,,,,,,,
,,2021 - 2022,266.0,122.0,0.46,,,,,,,,,
,,2022 - 2023,229.0,120.0,0.52,,,,,,,,,
,Janjgir-champa,2000 - 2001,247.0,78.0,0.32,,,,,,,,,
,,2001 - 2002,340.0,109.0,0.32,,,,,,,,,
,,2002 - 2003,659.0,167.0,0.25,,,,,,,,,
,,2003 - 2004,,655.0,0.36,,,,,,,,,
,,2004 - 2005,,611.0,0.33,,,,,,,,,
,,2005 - 2006,,765.0,0.3,,,,,,,,,
,,2006 - 2007,,552.0,0.39,,,,,,,,,
,,2007 - 2008,,607.0,0.38,,,,,,,,,
,,2008 - 2009,,458.0,0.34,,,,,,,,,
,,2009 - 2010,,677.0,0.43,,,,,,,,,
,,2010 - 2011,,531.0,0.36,,,,,,,,,
,,2011 - 2012,,711.0,0.42,,,,,,,,,
,,2012 - 2013,,501.0,0.44,,,,,,,,,
,,2013 - 2014,,589.0,0.56,,,,,,,,,
,,2014 - 2015,,516.0,0.44,,,,,,,,,
,,2015 - 2016,,665.0,0.56,,,,,,,,,
,,2016 - 2017,909.0,402.0,0.44,,,,,,,,,
,,2017 - 2018,548.0,222.0,0.41,,,,,,,,,
,,2018 - 2019,396.0,190.0,0.48,,,,,,,,,
,,2019 - 2020,240.0,109.0,0.45,,,,,,,,,
,,2020 - 2021,331.0,220.0,0.66,,,,,,,,,
,,2021 - 2022,286.0,179.0,0.63,,,,,,,,,
,,2022 - 2023,70.0,20.0,0.29,,,,,,,,,
,Jashpur,2000 - 2001,,,0.37,,,,,,,,,
,,2001 - 2002,,,0.35,,,,,,,,,
,,2002 - 2003,,,0.37,,,,,,,,,
,,2003 - 2004,,,0.39,,,,,,,,,
,,2004 - 2005,,,0.36,,,,,,,,,
,,2005 - 2006,,,0.33,,,,,,,,,
,,2006 - 2007,,,0.34,,,,,,,,,
,,2007 - 2008,,,0.4,,,,,,,,,
,,2008 - 2009,,,0.4,,,,,,,,,
,,2009 - 2010,,,0.48,,,,,,,,,
,,2010 - 2011,,,0.37,,,,,,,,,
,,2011 - 2012,,,0.45,,,,,,,,,
,,2012 - 2013,,,0.48,,,,,,,,,
,,2013 - 2014,,,0.57,,,,,,,,,
,,2014 - 2015,,,0.52,,,,,,,,,
,,2015 - 2016,,,0.51,,,,,,,,,
,,2016 - 2017,,,0.44,,,,,,,,,
,,2017 - 2018,,,0.42,,,,,,,,,
,,2018 - 2019,,,0.49,,,,,,,,,
,,2019 - 2020,,,0.41,,,,,,,,,
,,2020 - 2021,,,0.46,,,,,,,,,
,,2021 - 2022,,,0.48,,,,,,,,,
,,2022 - 2023,,,0.51,,,,,,,,,
,Kabirdham,2000 - 2001,,549.0,0.25,,,,,,,,,
,,2001 - 2002,,733.0,0.34,,,,,,,,,
,,2002 - 2003,,486.0,0.34,,,,,,,,,
,,2003 - 2004,,808.0,0.38,,,,,,,,,
,,2004 - 2005,,734.0,0.35,,,,,,,,,
,,2005 - 2006,,612.0,0.28,,,,,,,,,
,,2006 - 2007,,629.0,0.33,,,,,,,,,
,,2007 - 2008,,673.0,0.33,,,,,,,,,
,,2008 - 2009,,651.0,0.31,,,,,,,,,
,,2009 - 2010,,838.0,0.4,,,,,,,,,
,,2010 - 2011,,769.0,0.37,,,,,,,,,
,,2011 - 2012,,837.0,0.44,,,,,,,,,
,,2012 - 2013,,895.0,0.46,,,,,,,,,
,,2013 - 2014,,911.0,0.47,,,,,,,,,
,,2014 - 2015,,881.0,0.47,,,,,,,,,
,,2015 - 2016,,730.0,0.43,,,,,,,,,
,,2016 - 2017,,557.0,0.42,,,,,,,,,
,,2017 - 2018,,721.0,0.37,,,,,,,,,
,,2018 - 2019,,335.0,0.32,,,,,,,,,
,,2019 - 2020,509.0,196.0,0.39,,,,,,,,,
,,2020 - 2021,348.0,137.0,0.39,,,,,,,,,
,,2021 - 2022,376.0,188.0,0.5,,,,,,,,,
,,2022 - 2023,181.0,102.0,0.56,,,,,,,,,
,Kanker,2000 - 2001,,655.0,0.37,,,,,,,,,
,,2001 - 2002,,839.0,0.39,,,,,,,,,
,,2002 - 2003,,210.0,0.18,,,,,,,,,
,,2003 - 2004,,845.0,0.55,,,,,,,,,
,,2004 - 2005,,739.0,0.5,,,,,,,,,
,,2005 - 2006,,602.0,0.41,,,,,,,,,
,,2006 - 2007,,690.0,0.48,,,,,,,,,
,,2007 - 2008,,658.0,0.45,,,,,,,,,
,,2008 - 2009,,614.0,0.42,,,,,,,,,
,,2009 - 2010,,684.0,0.47,,,,,,,,,
,,2010 - 2011,,560.0,0.45,,,,,,,,,
,,2011 - 2012,,623.0,0.52,,,,,,,,,
,,2012 - 2013,,597.0,0.51,,,,,,,,,
,,2013 - 2014,,588.0,0.5,,,,,,,,,
,,2014 - 2015,,644.0,0.57,,,,,,,,,
,,2015 - 2016,984.0,475.0,0.48,,,,,,,,,
,,2016 - 2017,857.0,326.0,0.38,,,,,,,,,
,,2017 - 2018,772.0,290.0,0.38,,,,,,,,,
,,2018 - 2019,254.0,117.0,0.46,,,,,,,,,
,,2019 - 2020,123.0,50.0,0.41,,,,,,,,,
,,2020 - 2021,72.0,31.0,0.43,,,,,,,,,
,,2021 - 2022,40.0,18.0,0.45,,,,,,,,,
,,2022 - 2023,41.0,22.0,0.54,,,,,,,,,
,Khairgarh chhuikhadan gandai,2022 - 2023,35.0,100.0,2.86,,,,,,,,,
,Kondagaon,2011 - 2012,304.0,205.0,0.67,,,,,,,,,
,,2012 - 2013,288.0,180.0,0.63,,,,,,,,,
,,2013 - 2014,241.0,168.0,0.7,,,,,,,,,
,,2014 - 2015,238.0,151.0,0.63,,,,,,,,,
,,2015 - 2016,167.0,109.0,0.65,,,,,,,,,
,,2016 - 2017,113.0,62.0,0.55,,,,,,,,,
,,2017 - 2018,72.0,40.0,0.56,,,,,,,,,
,,2018 - 2019,27.0,17.0,0.63,,,,,,,,,
,,2019 - 2020,22.0,15.0,0.68,,,,,,,,,
,,2020 - 2021,12.0,8.0,0.67,,,,,,,,,
,,2021 - 2022,13.0,8.0,0.62,,,,,,,,,
,,2022 - 2023,19.0,14.0,0.74,,,,,,,,,
,Korba,2000 - 2001,,495.0,0.25,,,,,,,,,
,,2001 - 2002,,701.0,0.32,,,,,,,,,
,,2002 - 2003,,573.0,0.27,,,,,,,,,
,,2003 - 2004,,670.0,0.3,,,,,,,,,
,,2004 - 2005,,610.0,0.28,,,,,,,,,
,,2005 - 2006,,580.0,0.26,,,,,,,,,
,,2006 - 2007,,630.0,0.29,,,,,,,,,
,,2007 - 2008,,698.0,0.31,,,,,,,,,
,,2008 - 2009,,770.0,0.34,,,,,,,,,
,,2009 - 2010,,659.0,0.35,,,,,,,,,
,,2010 - 2011,,811.0,0.36,,,,,,,,,
,,2011 - 2012,,749.0,0.34,,,,,,,,,
,,2012 - 2013,,769.0,0.35,,,,,,,,,
,,2013 - 2014,,875.0,0.4,,,,,,,,,
,,2014 - 2015,,991.0,0.44,,,,,,,,,
,,2015 - 2016,,775.0,0.36,,,,,,,,,
,,2016 - 2017,,767.0,0.38,,,,,,,,,
,,2017 - 2018,,737.0,0.38,,,,,,,,,
,,2018 - 2019,,507.0,0.38,,,,,,,,,
,,2019 - 2020,,410.0,0.37,,,,,,,,,
,,2020 - 2021,653.0,254.0,0.39,,,,,,,,,
,,2021 - 2022,359.0,149.0,0.42,,,,,,,,,
,,2022 - 2023,65.0,30.0,0.46,,,,,,,,,
,Korea,2000 - 2001,,,0.33,,,,,,,,,
,,2001 - 2002,,,0.41,,,,,,,,,
,,2002 - 2003,,769.0,0.24,,,,,,,,,
,,2003 - 2004,,,0.44,,,,,,,,,
,,2004 - 2005,,,0.4,,,,,,,,,
,,2005 - 2006,,,0.29,,,,,,,,,
,,2006 - 2007,,,0.36,,,,,,,,,
,,2007 - 2008,,,0.33,,,,,,,,,
,,2008 - 2009,,,0.41,,,,,,,,,
,,2009 - 2010,,,0.35,,,,,,,,,
,,2010 - 2011,,,0.4,,,,,,,,,
,,2011 - 2012,,,0.45,,,,,,,,,
,,2012 - 2013,,,0.45,,,,,,,,,
,,2013 - 2014,,,0.51,,,,,,,,,
,,2014 - 2015,,,0.49,,,,,,,,,
,,2015 - 2016,,,0.44,,,,,,,,,
,,2016 - 2017,,,0.41,,,,,,,,,
,,2017 - 2018,,,0.39,,,,,,,,,
,,2018 - 2019,,,0.43,,,,,,,,,
,,2019 - 2020,,,0.46,,,,,,,,,
,,2020 - 2021,,944.0,0.43,,,,,,,,,
,,2021 - 2022,,834.0,0.4,,,,,,,,,
,,2022 - 2023,867.0,493.0,0.57,,,,,,,,,
,Mahasamund,2000 - 2001,93.0,40.0,0.43,,,,,,,,,
,,2001 - 2002,128.0,46.0,0.36,,,,,,,,,
,,2002 - 2003,98.0,30.0,0.31,,,,,,,,,
,,2003 - 2004,140.0,47.0,0.34,,,,,,,,,
,,2004 - 2005,104.0,32.0,0.31,,,,,,,,,
,,2005 - 2006,153.0,44.0,0.29,,,,,,,,,
,,2006 - 2007,132.0,47.0,0.36,,,,,,,,,
,,2007 - 2008,130.0,48.0,0.37,,,,,,,,,
,,2008 - 2009,105.0,33.0,0.31,,,,,,,,,
,,2009 - 2010,183.0,77.0,0.42,,,,,,,,,
,,2010 - 2011,145.0,52.0,0.36,,,,,,,,,
,,2011 - 2012,121.0,63.0,0.52,,,,,,,,,
,,2012 - 2013,211.0,117.0,0.55,,,,,,,,,
,,2013 - 2014,197.0,114.0,0.58,,,,,,,,,
,,2014 - 2015,167.0,88.0,0.53,,,,,,,,,
,,2015 - 2016,117.0,67.0,0.57,,,,,,,,,
,,2016 - 2017,90.0,42.0,0.47,,,,,,,,,
,,2017 - 2018,76.0,29.0,0.38,,,,,,,,,
,,2018 - 2019,137.0,68.0,0.5,,,,,,,,,
,,2019 - 2020,248.0,116.0,0.47,,,,,,,,,
,,2020 - 2021,62.0,29.0,0.47,,,,,,,,,
,,2021 - 2022,107.0,51.0,0.48,,,,,,,,,
,,2022 - 2023,116.0,63.0,0.54,,,,,,,,,
,Manendragarh chirimiri bharatpur,2022 - 2023,980.0,556.0,0.57,,,,,,,,,
,Mohla manpur ambagarh chouki,2022 - 2023,167.0,21.0,0.13,,,,,,,,,
,Mungeli,2011 - 2012,54.0,23.0,0.43,,,,,,,,,
,,2012 - 2013,42.0,17.0,0.4,,,,,,,,,
,,2013 - 2014,37.0,18.0,0.49,,,,,,,,,
,,2014 - 2015,29.0,14.0,0.48,,,,,,,,,
,,2015 - 2016,30.0,16.0,0.53,,,,,,,,,
,,2016 - 2017,63.0,29.0,0.46,,,,,,,,,
,,2017 - 2018,5.0,1.0,0.2,,,,,,,,,
,,2018 - 2019,5.0,2.0,0.4,,,,,,,,,
,,2019 - 2020,18.0,4.0,0.22,,,,,,,,,
,,2020 - 2021,8.0,3.0,0.38,,,,,,,,,
,,2021 - 2022,52.0,21.0,0.4,,,,,,,,,
,,2022 - 2023,47.0,21.0,0.45,,,,,,,,,
,Narayanpur,2006 - 2007,585.0,,0.0,,,,,,,,,
,,2007 - 2008,379.0,178.0,0.47,,,,,,,,,
,,2008 - 2009,376.0,134.0,0.36,,,,,,,,,
,,2009 - 2010,229.0,140.0,0.61,,,,,,,,,
,,2010 - 2011,,776.0,0.58,,,,,,,,,
,,2011 - 2012,258.0,174.0,0.67,,,,,,,,,
,,2012 - 2013,198.0,150.0,0.76,,,,,,,,,
,,2013 - 2014,200.0,134.0,0.67,,,,,,,,,
,,2014 - 2015,191.0,121.0,0.63,,,,,,,,,
,,2015 - 2016,102.0,39.0,0.38,,,,,,,,,
,,2016 - 2017,80.0,50.0,0.63,,,,,,,,,
,,2017 - 2018,55.0,31.0,0.56,,,,,,,,,
,,2018 - 2019,71.0,43.0,0.61,,,,,,,,,
,,2019 - 2020,43.0,22.0,0.51,,,,,,,,,
,,2020 - 2021,10.0,5.0,0.5,,,,,,,,,
,,2021 - 2022,8.0,5.0,0.63,,,,,,,,,
,,2022 - 2023,14.0,11.0,0.79,,,,,,,,,
,Raigarh,2000 - 2001,583.0,178.0,0.31,,,,,,,,,
,,2001 - 2002,746.0,255.0,0.34,,,,,,,,,
,,2002 - 2003,,412.0,0.34,,,,,,,,,
,,2003 - 2004,,801.0,0.42,,,,,,,,,
,,2004 - 2005,,476.0,0.38,,,,,,,,,
,,2005 - 2006,,687.0,0.34,,,,,,,,,
,,2006 - 2007,,639.0,0.39,,,,,,,,,
,,2007 - 2008,,738.0,0.44,,,,,,,,,
,,2008 - 2009,,653.0,0.4,,,,,,,,,
,,2009 - 2010,,521.0,0.35,,,,,,,,,
,,2010 - 2011,,606.0,0.4,,,,,,,,,
,,2011 - 2012,,645.0,0.44,,,,,,,,,
,,2012 - 2013,,773.0,0.51,,,,,,,,,
,,2013 - 2014,,842.0,0.56,,,,,,,,,
,,2014 - 2015,,960.0,0.56,,,,,,,,,
,,2015 - 2016,,915.0,0.61,,,,,,,,,
,,2016 - 2017,,597.0,0.48,,,,,,,,,
,,2017 - 2018,,613.0,0.47,,,,,,,,,
,,2018 - 2019,,568.0,0.48,,,,,,,,,
,,2019 - 2020,,491.0,0.42,,,,,,,,,
,,2020 - 2021,,450.0,0.44,,,,,,,,,
,,2021 - 2022,,547.0,0.52,,,,,,,,,
,,2022 - 2023,951.0,557.0,0.59,,,,,,,,,
,Raipur,2000 - 2001,605.0,182.0,0.3,,,,,,,,,
,,2001 - 2002,759.0,251.0,0.33,,,,,,,,,
,,2002 - 2003,784.0,235.0,0.3,,,,,,,,,
,,2003 - 2004,,451.0,0.38,,,,,,,,,
,,2004 - 2005,,467.0,0.35,,,,,,,,,
,,2005 - 2006,,455.0,0.31,,,,,,,,,
,,2006 - 2007,,500.0,0.37,,,,,,,,,
,,2007 - 2008,,458.0,0.37,,,,,,,,,
,,2008 - 2009,,407.0,0.34,,,,,,,,,
,,2009 - 2010,,615.0,0.43,,,,,,,,,
,,2010 - 2011,,494.0,0.35,,,,,,,,,
,,2011 - 2012,651.0,311.0,0.48,,,,,,,,,
,,2012 - 2013,830.0,425.0,0.51,,,,,,,,,
,,2013 - 2014,676.0,422.0,0.62,,,,,,,,,
,,2014 - 2015,,744.0,0.57,,,,,,,,,
,,2015 - 2016,,840.0,0.62,,,,,,,,,
,,2016 - 2017,,540.0,0.53,,,,,,,,,
,,2017 - 2018,,604.0,0.45,,,,,,,,,
,,2018 - 2019,,630.0,0.53,,,,,,,,,
,,2019 - 2020,,,0.39,,,,,,,,,
,,2020 - 2021,,,0.54,,,,,,,,,
,,2021 - 2022,,,0.55,,,,,,,,,
,,2022 - 2023,,,0.62,,,,,,,,,
,Rajnandgaon,2000 - 2001,761.0,196.0,0.26,,,,,,,,,
,,2001 - 2002,648.0,211.0,0.33,,,,,,,,,
,,2002 - 2003,540.0,156.0,0.29,,,,,,,,,
,,2003 - 2004,633.0,238.0,0.38,,,,,,,,,
,,2004 - 2005,563.0,195.0,0.35,,,,,,,,,
,,2005 - 2006,558.0,182.0,0.33,,,,,,,,,
,,2006 - 2007,423.0,162.0,0.38,,,,,,,,,
,,2007 - 2008,443.0,169.0,0.38,,,,,,,,,
,,2008 - 2009,596.0,187.0,0.31,,,,,,,,,
,,2009 - 2010,435.0,175.0,0.4,,,,,,,,,
,,2010 - 2011,456.0,170.0,0.37,,,,,,,,,
,,2011 - 2012,391.0,171.0,0.44,,,,,,,,,
,,2012 - 2013,386.0,162.0,0.42,,,,,,,,,
,,2013 - 2014,331.0,142.0,0.43,,,,,,,,,
,,2014 - 2015,386.0,213.0,0.55,,,,,,,,,
,,2015 - 2016,,847.0,0.47,,,,,,,,,
,,2016 - 2017,,782.0,0.41,,,,,,,,,
,,2017 - 2018,,734.0,0.5,,,,,,,,,
,,2018 - 2019,,975.0,0.52,,,,,,,,,
,,2019 - 2020,396.0,166.0,0.42,,,,,,,,,
,,2020 - 2021,345.0,182.0,0.53,,,,,,,,,
,,2021 - 2022,500.0,268.0,0.54,,,,,,,,,
,,2022 - 2023,399.0,237.0,0.59,,,,,,,,,
,Sakti,2022 - 2023,199.0,173.0,0.87,,,,,,,,,
,Sarangarh bilaigarh,2022 - 2023,543.0,309.0,0.57,,,,,,,,,
,Sukma,2011 - 2012,311.0,151.0,0.49,,,,,,,,,
,,2012 - 2013,302.0,133.0,0.44,,,,,,,,,
,,2013 - 2014,300.0,164.0,0.55,,,,,,,,,
,,2014 - 2015,327.0,138.0,0.42,,,,,,,,,
,,2015 - 2016,267.0,133.0,0.5,,,,,,,,,
,,2016 - 2017,271.0,78.0,0.29,,,,,,,,,
,,2017 - 2018,192.0,81.0,0.42,,,,,,,,,
,,2018 - 2019,190.0,89.0,0.47,,,,,,,,,
,,2019 - 2020,103.0,46.0,0.45,,,,,,,,,
,,2020 - 2021,85.0,30.0,0.35,,,,,,,,,
,,2021 - 2022,51.0,22.0,0.43,,,,,,,,,
,,2022 - 2023,20.0,10.0,0.5,,,,,,,,,
,Surajpur,2011 - 2012,,,0.42,,,,,,,,,
,,2012 - 2013,,,0.52,,,,,,,,,
,,2013 - 2014,,,0.54,,,,,,,,,
,,2014 - 2015,,,0.49,,,,,,,,,
,,2015 - 2016,,,0.54,,,,,,,,,
,,2016 - 2017,,,0.43,,,,,,,,,
,,2017 - 2018,,,0.5,,,,,,,,,
,,2018 - 2019,,,0.5,,,,,,,,,
,,2019 - 2020,,,0.6,,,,,,,,,
,,2020 - 2021,,,0.6,,,,,,,,,
,,2021 - 2022,,,0.59,,,,,,,,,
,,2022 - 2023,,,0.64,,,,,,,,,
,Surguja,2000 - 2001,,,0.35,,,,,,,,,
,,2001 - 2002,,,0.39,,,,,,,,,
,,2002 - 2003,,,0.38,,,,,,,,,
,,2003 - 2004,,,0.44,,,,,,,,,
,,2004 - 2005,,,0.4,,,,,,,,,
,,2005 - 2006,,,0.35,,,,,,,,,
,,2006 - 2007,,,0.44,,,,,,,,,
,,2007 - 2008,,,0.43,,,,,,,,,
,,2008 - 2009,,,0.4,,,,,,,,,
,,2009 - 2010,,,0.37,,,,,,,,,
,,2010 - 2011,,,0.44,,,,,,,,,
,,2011 - 2012,,,0.42,,,,,,,,,
,,2012 - 2013,,,0.55,,,,,,,,,
,,2013 - 2014,,,0.63,,,,,,,,,
,,2014 - 2015,,,0.58,,,,,,,,,
,,2015 - 2016,,,0.69,,,,,,,,,
,,2016 - 2017,,,0.46,,,,,,,,,
,,2017 - 2018,,,0.47,,,,,,,,,
,,2018 - 2019,,,0.54,,,,,,,,,
,,2019 - 2020,,,0.52,,,,,,,,,
,,2020 - 2021,,,0.56,,,,,,,,,
,,2021 - 2022,,,0.56,,,,,,,,,
,,2022 - 2023,,,0.58,,,,,,,,,
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2004 - 2005,,,,,,,1.0,1.0,1.0,,,
,,2005 - 2006,,,,,,,1.0,1.0,1.0,,,
,,2006 - 2007,,,,,,,2.0,2.0,1.0,,,
,,2015 - 2016,,,,11.0,10.0,0.91,,,,,,
,,2016 - 2017,5.0,2.5,0.5,,,,,,,,,
,,2017 - 2018,12.0,10.0,0.83,,,,,,,,,
,,2018 - 2019,5.0,2.5,0.5,,,,,,,,,
,,2019 - 2020,5.0,2.5,0.5,,,,,,,,,
Delhi,Delhi_total,2019 - 2020,,,2.5,,,,,,,,,
Gujarat,Ahmadabad,2000 - 2001,,,1.18,,,,,,,,,
,,2001 - 2002,,,0.95,,,,,,,,,
,,2002 - 2003,,,1.0,,,,,,,,,
,,2003 - 2004,,,1.36,,,,,,,,,
,,2004 - 2005,,,1.5,,,,,,,,,
,,2005 - 2006,,,1.17,,,,,,,,,
,,2006 - 2007,,,0.95,,,,,,,,,
,,2007 - 2008,,,1.33,,,,,,,,,
,,2008 - 2009,,,1.13,,,,,,,,,
,,2009 - 2010,,,1.27,,,,,,,,,
,,2010 - 2011,,,1.58,,,,,,,,,
,,2011 - 2012,,,1.56,,,,,,,,,
,,2012 - 2013,500.0,900.0,1.8,,,,,,,,,
,,2013 - 2014,,,1.76,,,,,,,,,
,,2014 - 2015,593.0,,1.82,,,,,,,,,
,,2015 - 2016,743.0,,1.45,,,,,,,,,
,,2016 - 2017,514.0,910.0,1.77,,,,,,,,,
,,2017 - 2018,474.0,857.0,1.81,,,,,,,,,
,,2018 - 2019,378.0,674.0,1.78,,,,,,,,,
,,2019 - 2020,115.0,222.0,1.93,,,,,,,,,
,,2020 - 2021,251.0,496.0,1.98,,,,,,,,,
,,2021 - 2022,,,2.0,,,,,,,,,
,,2022 - 2023,,,0.55,,,,,,,,,
,Amreli,2000 - 2001,100.0,100.0,1.0,,,,,,,,,
,,2001 - 2002,400.0,500.0,1.25,,,,,,,,,
,,2002 - 2003,400.0,500.0,1.25,,,,,,,,,
,,2003 - 2004,500.0,800.0,1.6,,,,,,,,,
,,2004 - 2005,400.0,500.0,1.25,,,,,,,,,
,,2005 - 2006,300.0,400.0,1.33,,,,,,,,,
,,2006 - 2007,300.0,400.0,1.33,,,,,,,,,
,,2007 - 2008,200.0,400.0,2.0,,,,,,,,,
,,2008 - 2009,100.0,100.0,1.0,,,,,,,,,
,,2009 - 2010,100.0,100.0,1.0,,,,,,,,,
,,2010 - 2011,200.0,300.0,1.5,,,,,,,,,
,,2013 - 2014,8.0,14.0,1.75,,,,,,,,,
,,2014 - 2015,13.0,24.0,1.85,,,,,,,,,
,,2015 - 2016,2.0,3.0,1.5,,,,,,,,,
,,2021 - 2022,6.0,12.0,2.0,,,,,,,,,
,,2022 - 2023,165.0,324.0,1.96,,,,,,,,,
,Anand,2003 - 2004,,,1.46,,,,,,,,,
,,2004 - 2005,,,1.38,,,,,,,,,
,,2005 - 2006,,,1.57,,,,,,,,,
,,2006 - 2007,,,1.21,,,,,,,,,
,,2007 - 2008,,,1.63,,,,,,,,,
,,2008 - 2009,,,1.12,,,,,,,,,
,,2009 - 2010,,,1.61,,,,,,,,,
,,2010 - 2011,,,1.55,,,,,,,,,
,,2011 - 2012,,,1.57,,,,,,,,,
,,2012 - 2013,,,1.67,,,,,,,,,
,,2013 - 2014,,,1.76,,,,,,,,,
,,2014 - 2015,,,1.23,,,,,,,,,
,,2015 - 2016,,,1.45,,,,,,,,,
,,2016 - 2017,,,1.54,,,,,,,,,
,,2017 - 2018,,,1.81,,,,,,,,,
,,2018 - 2019,,,1.78,,,,,,,,,
,,2019 - 2020,972.0,,1.93,,,,,,,,,
,,2020 - 2021,616.0,,1.98,,,,,,,,,
,,2021 - 2022,,,2.0,,,,,,,,,
,,2022 - 2023,,,1.97,,,,,,,,,
,Aravalli,2014 - 2015,,,1.52,,,,,,,,,
,,2015 - 2016,,,1.34,,,,,,,,,
,,2016 - 2017,,,1.55,,,,,,,,,
,,2017 - 2018,,,1.61,,,,,,,,,
,,2018 - 2019,963.0,,1.62,,,,,,,,,
,,2019 - 2020,472.0,824.0,1.75,,,,,,,,,
,,2020 - 2021,798.0,,1.98,,,,,,,,,
,,2021 - 2022,,,2.0,,,,,,,,,
,,2022 - 2023,,,1.97,,,,,,,,,
,Banas kantha,2000 - 2001,,,1.17,,,,,,,,,
,,2001 - 2002,,,1.21,,,,,,,,,
,,2002 - 2003,,,1.02,,,,,,,,,
,,2003 - 2004,,,1.47,,,,,,,,,
,,2004 - 2005,,,1.39,,,,,,,,,
,,2005 - 2006,,,1.61,,,,,,,,,
,,2006 - 2007,,,1.41,,,,,,,,,
,,2007 - 2008,,,1.66,,,,,,,,,
,,2008 - 2009,,,1.14,,,,,,,,,
,,2009 - 2010,,,1.6,,,,,,,,,
,,2010 - 2011,,,1.54,,,,,,,,,
,,2011 - 2012,,,1.56,,,,,,,,,
,,2012 - 2013,,,1.79,,,,,,,,,
,,2013 - 2014,,,1.76,,,,,,,,,
,,2014 - 2015,,,1.92,,,,,,,,,
,,2015 - 2016,,,1.4,,,,,,,,,
,,2016 - 2017,,,1.81,,,,,,,,,
,,2017 - 2018,,,1.89,,,,,,,,,
,,2018 - 2019,,,1.83,,,,,,,,,
,,2019 - 2020,,,2.01,,,,,,,,,
,,2020 - 2021,,,2.02,,,,,,,,,
,,2021 - 2022,,,2.05,,,,,,,,,
,,2022 - 2023,,,2.11,,,,,,,,,
