state,district,year,rapeseed_and_mustard_rabi_area_hectare,rapeseed_and_mustard_rabi_production_tonne,rapeseed_and_mustard_rabi_yield_tonne_per_hectare,rapeseed_and_mustard_kharif_area_hectare,rapeseed_and_mustard_kharif_production_tonne,rapeseed_and_mustard_kharif_yield_tonne_per_hectare,rapeseed_and_mustard_winter_area_hectare,rapeseed_and_mustard_winter_production_tonne,rapeseed_and_mustard_winter_yield_tonne_per_hectare,rapeseed_and_mustard_whole_year_area_hectare,rapeseed_and_mustard_whole_year_production_tonne,rapeseed_and_mustard_whole_year_yield_tonne_per_hectare
,,2015 - 2016,773.0,544.0,0.7,10.0,7.0,0.7,,,,,,
,,2016 - 2017,,,0.42,,,,,,,,,
,,2017 - 2018,,,0.53,,,,,,,,,
,,2018 - 2019,,,0.36,,,,,,,,,
,,2019 - 2020,,832.0,0.51,,,,,,,,,
,,2020 - 2021,644.0,451.0,0.7,,,,,,,,,
,,2021 - 2022,,,0.65,1.0,1.0,1.0,,,,,,
,Nandyal,2022 - 2023,,,0.74,,,,,,,,,
,Prakasam,2000 - 2001,3.0,,0.0,,,,,,,,,
,,2001 - 2002,11.0,3.0,0.27,,,,,,,,,
,,2002 - 2003,22.0,2.0,0.09,,,,,,,,,
,,2003 - 2004,3.0,1.0,0.33,,,,,,,,,
,,2004 - 2005,10.0,1.0,0.1,,,,,,,,,
,,2006 - 2007,7.0,,0.0,,,,,,,,,
,,2009 - 2010,2.0,,0.0,,,,,,,,,
,,2010 - 2011,155.0,376.0,2.43,,,,,,,,,
,,2011 - 2012,5.0,12.0,2.4,,,,,,,,,
,,2014 - 2015,10.0,6.0,0.6,,,,,,,,,
,,2015 - 2016,87.0,47.0,0.54,,,,,,,,,
,,2016 - 2017,40.0,2.0,0.05,,,,,,,,,
,,2017 - 2018,5.0,2.0,0.4,,,,,,,,,
,,2018 - 2019,9.0,3.0,0.33,,,,,,,,,
,,2019 - 2020,5.0,2.0,0.4,,,,,,,,,
,,2020 - 2021,3.0,2.0,0.67,,,,,,,,,
,,2021 - 2022,5.0,3.0,0.6,2.0,1.0,0.5,,,,,,
,,2022 - 2023,1.0,1.0,1.0,,,,,,,,,
,Spsr nellore,2014 - 2015,4.0,2.0,0.5,,,,,,,,,
,,2016 - 2017,70.0,29.0,0.41,,,,,,,,,
,,2019 - 2020,7.0,3.0,0.43,,,,,,,,,
,,2020 - 2021,2.0,1.0,0.5,,,,,,,,,
,,2022 - 2023,3.0,2.0,0.67,,,,,,,,,
,Srikakulam,2022 - 2023,,,,1.0,1.0,1.0,,,,,,
,Visakhapatanam,2000 - 2001,226.0,17.0,0.08,,,,,,,,,
,Vizianagaram,2000 - 2001,2.0,,0.0,,,,,,,,,
,,2010 - 2011,5.0,12.0,2.4,,,,,,,,,
,West godavari,2009 - 2010,65.0,2.0,0.03,,,,,,,,,
,,2011 - 2012,39.0,95.0,2.44,,,,,,,,,
,,2016 - 2017,24.0,10.0,0.42,,,,,,,,,
,,2017 - 2018,24.0,11.0,0.46,,,,,,,,,
,,2019 - 2020,12.0,6.0,0.5,,,,,,,,,
Arunachal Pradesh,Anjaw,2016 - 2017,162.0,200.0,1.23,,,,,,,,,
,,2017 - 2018,182.0,220.0,1.21,,,,,,,,,
,,2018 - 2019,182.0,220.0,1.21,,,,,,,,,
,,2019 - 2020,185.0,223.0,1.21,,,,,,,,,
,,2020 - 2021,185.0,225.0,1.22,,,,,,,,,
,,2021 - 2022,198.0,185.0,0.93,,,,,,,,,
,,2022 - 2023,182.0,187.0,1.03,,,,,,,,,
,Changlang,2016 - 2017,,,0.79,,,,,,,,,
,,2017 - 2018,,,0.79,,,,,,,,,
,,2018 - 2019,,,0.84,,,,,,,,,
,,2019 - 2020,,,0.84,,,,,,,,,
,,2020 - 2021,,,0.85,,,,,,,,,
,,2021 - 2022,,,0.86,,,,,,,,,
,,2022 - 2023,,,0.89,,,,,,,,,
,Dibang valley,2016 - 2017,53.0,96.0,1.81,,,,,,,,,
,,2017 - 2018,53.0,96.0,1.81,,,,,,,,,
,,2018 - 2019,53.0,96.0,1.81,,,,,,,,,
,,2019 - 2020,56.0,99.0,1.77,,,,,,,,,
,,2020 - 2021,57.0,100.0,1.75,,,,,,,,,
,,2021 - 2022,63.0,55.0,0.87,,,,,,,,,
,,2022 - 2023,73.0,57.0,0.78,,,,,,,,,
,East kameng,2016 - 2017,759.0,,1.36,,,,,,,,,
,,2017 - 2018,770.0,,1.36,,,,,,,,,
,,2018 - 2019,770.0,,1.36,,,,,,,,,
,,2019 - 2020,542.0,735.0,1.36,,,,,,,,,
,,2020 - 2021,542.0,740.0,1.37,,,,,,,,,
,,2021 - 2022,557.0,769.0,1.38,,,,,,,,,
,,2022 - 2023,559.0,779.0,1.39,,,,,,,,,
,East siang,2016 - 2017,,,1.11,,,,,,,,,
,,2017 - 2018,,,1.11,,,,,,,,,
,,2018 - 2019,,,0.9,,,,,,,,,
,,2019 - 2020,,,0.9,,,,,,,,,
,,2020 - 2021,,,0.91,,,,,,,,,
,,2021 - 2022,,,0.92,,,,,,,,,
,,2022 - 2023,,,1.0,,,,,,,,,
,Kamle,2018 - 2019,353.0,459.0,1.3,,,,,,,,,
,,2019 - 2020,355.0,462.0,1.3,,,,,,,,,
,,2020 - 2021,356.0,466.0,1.31,,,,,,,,,
,,2021 - 2022,364.0,405.0,1.11,,,,,,,,,
,,2022 - 2023,366.0,415.0,1.13,,,,,,,,,
,Kra daadi,2016 - 2017,28.0,25.0,0.89,,,,,,,,,
,,2017 - 2018,28.0,25.0,0.89,,,,,,,,,
,,2018 - 2019,28.0,25.0,0.89,,,,,,,,,
,,2019 - 2020,30.0,26.0,0.87,,,,,,,,,
,,2020 - 2021,31.0,28.0,0.9,,,,,,,,,
,,2021 - 2022,36.0,35.0,0.97,,,,,,,,,
,,2022 - 2023,28.0,37.0,1.32,,,,,,,,,
,Kurung kumey,2016 - 2017,24.0,21.0,0.88,,,,,,,,,
,,2017 - 2018,24.0,21.0,0.88,,,,,,,,,
,,2018 - 2019,24.0,21.0,0.88,,,,,,,,,
,,2019 - 2020,26.0,23.0,0.88,,,,,,,,,
,,2020 - 2021,27.0,25.0,0.93,,,,,,,,,
,,2021 - 2022,30.0,31.0,1.03,,,,,,,,,
,,2022 - 2023,27.0,33.0,1.22,,,,,,,,,
,Leparada,2019 - 2020,325.0,375.0,1.15,,,,,,,,,
,,2020 - 2021,325.0,379.0,1.17,,,,,,,,,
,,2021 - 2022,340.0,405.0,1.19,,,,,,,,,
,,2022 - 2023,332.0,410.0,1.23,,,,,,,,,
,Lohit,2016 - 2017,,,0.95,,,,,,,,,
,,2017 - 2018,,,0.95,,,,,,,,,
,,2018 - 2019,,,0.95,,,,,,,,,
,,2019 - 2020,,,0.95,,,,,,,,,
,,2020 - 2021,,,0.96,,,,,,,,,
,,2021 - 2022,,,0.97,,,,,,,,,
,,2022 - 2023,,,1.01,,,,,,,,,
,Longding,2016 - 2017,219.0,220.0,1.0,,,,,,,,,
,,2017 - 2018,230.0,231.0,1.0,,,,,,,,,
,,2018 - 2019,230.0,231.0,1.0,,,,,,,,,
,,2019 - 2020,233.0,234.0,1.0,,,,,,,,,
,,2020 - 2021,234.0,236.0,1.01,,,,,,,,,
,,2021 - 2022,244.0,234.0,0.96,,,,,,,,,
,,2022 - 2023,246.0,236.0,0.96,,,,,,,,,
,Lower dibang valley,2016 - 2017,,,1.04,,,,,,,,,
,,2017 - 2018,,,1.04,,,,,,,,,
,,2018 - 2019,,,1.04,,,,,,,,,
,,2019 - 2020,,,1.04,,,,,,,,,
,,2020 - 2021,,,1.05,,,,,,,,,
,,2021 - 2022,,,1.06,,,,,,,,,
,,2022 - 2023,,,1.06,,,,,,,,,
,Lower siang,2018 - 2019,850.0,,2.4,,,,,,,,,
,,2019 - 2020,768.0,,2.4,,,,,,,,,
,,2020 - 2021,770.0,,2.42,,,,,,,,,
,,2021 - 2022,784.0,,2.41,,,,,,,,,
,,2022 - 2023,786.0,,1.58,,,,,,,,,
,Lower subansiri,2016 - 2017,900.0,,1.33,,,,,,,,,
,,2017 - 2018,911.0,,1.33,,,,,,,,,
,,2018 - 2019,586.0,782.0,1.33,,,,,,,,,
,,2019 - 2020,587.0,782.0,1.33,,,,,,,,,
,,2020 - 2021,588.0,787.0,1.34,,,,,,,,,
,,2021 - 2022,602.0,808.0,1.34,,,,,,,,,
,,2022 - 2023,594.0,810.0,1.36,,,,,,,,,
,Namsai,2016 - 2017,,,0.85,,,,,,,,,
,,2017 - 2018,,,0.85,,,,,,,,,
,,2018 - 2019,,,0.85,,,,,,,,,
,,2019 - 2020,,,0.85,,,,,,,,,
,,2020 - 2021,,,0.86,,,,,,,,,
,,2021 - 2022,,,0.87,,,,,,,,,
,,2022 - 2023,,,0.89,,,,,,,,,
,Pakke kessang,2019 - 2020,231.0,315.0,1.36,,,,,,,,,
,,2020 - 2021,231.0,318.0,1.38,,,,,,,,,
,,2021 - 2022,243.0,332.0,1.37,,,,,,,,,
,,2022 - 2023,245.0,337.0,1.38,,,,,,,,,
,Papum pare,2016 - 2017,,,1.47,,,,,,,,,
,,2017 - 2018,,,1.46,,,,,,,,,
,,2018 - 2019,,,1.46,,,,,,,,,
,,2019 - 2020,,,1.46,,,,,,,,,
,,2020 - 2021,,,1.47,,,,,,,,,
,,2021 - 2022,,,1.47,,,,,,,,,
,,2022 - 2023,,,1.47,,,,,,,,,
,Shi yomi,2019 - 2020,213.0,155.0,0.73,,,,,,,,,
,,2020 - 2021,213.0,157.0,0.74,,,,,,,,,
,,2021 - 2022,222.0,167.0,0.75,,,,,,,,,
,,2022 - 2023,222.0,167.0,0.75,,,,,,,,,
,Siang,2016 - 2017,,,0.91,,,,,,,,,
,,2017 - 2018,,,0.91,,,,,,,,,
,,2018 - 2019,,,0.91,,,,,,,,,
,,2019 - 2020,,,0.91,,,,,,,,,
,,2020 - 2021,,,0.92,,,,,,,,,
,,2021 - 2022,,,0.97,,,,,,,,,
,,2022 - 2023,,,0.97,,,,,,,,,
,Tirap,2016 - 2017,165.0,258.0,1.56,,,,,,,,,
,,2017 - 2018,176.0,269.0,1.53,,,,,,,,,
,,2018 - 2019,176.0,269.0,1.53,,,,,,,,,
,,2019 - 2020,179.0,272.0,1.52,,,,,,,,,
,,2020 - 2021,180.0,275.0,1.53,,,,,,,,,
,,2021 - 2022,191.0,228.0,1.19,,,,,,,,,
,,2022 - 2023,193.0,230.0,1.19,,,,,,,,,
,Upper siang,2016 - 2017,73.0,110.0,1.51,,,,,,,,,
,,2017 - 2018,84.0,121.0,1.44,,,,,,,,,
,,2018 - 2019,84.0,121.0,1.44,,,,,,,,,
,,2019 - 2020,85.0,124.0,1.46,,,,,,,,,
,,2020 - 2021,86.0,126.0,1.47,,,,,,,,,
,,2021 - 2022,100.0,147.0,1.47,,,,,,,,,
,,2022 - 2023,106.0,149.0,1.41,,,,,,,,,
,Upper subansiri,2016 - 2017,114.0,175.0,1.54,,,,,,,,,
,,2017 - 2018,125.0,186.0,1.49,,,,,,,,,
,,2018 - 2019,97.0,153.0,1.58,,,,,,,,,
,,2019 - 2020,99.0,155.0,1.57,,,,,,,,,
,,2020 - 2021,100.0,157.0,1.57,,,,,,,,,
