state,district,year,onion_kharif_area_hectare,onion_kharif_production_tonne,onion_kharif_yield_tonne_per_hectare,onion_rabi_area_hectare,onion_rabi_production_tonne,onion_rabi_yield_tonne_per_hectare,onion_whole_year_area_hectare,onion_whole_year_production_tonne,onion_whole_year_yield_tonne_per_hectare,onion_summer_area_hectare,onion_summer_production_tonne,onion_summer_yield_tonne_per_hectare
,,2004 - 2005,114.0,,16.96,305.0,,17.52,,,,,,
,,2005 - 2006,91.0,,18.75,416.0,,19.79,,,,,,
,,2006 - 2007,457.0,,16.77,398.0,,11.93,,,,,,
,,2008 - 2009,215.0,,16.8,321.0,,9.63,,,,,,
,,2009 - 2010,165.0,,16.19,303.0,,25.39,,,,,,
,,2010 - 2011,181.0,,19.86,383.0,,13.06,,,,,,
,,2011 - 2012,120.0,,14.41,233.0,,25.6,,,,,,
,,2013 - 2014,93.0,,18.83,159.0,,18.52,,,,,,
,,2014 - 2015,79.0,,18.37,199.0,,17.67,,,,,,
,,2015 - 2016,68.0,,16.72,168.0,,14.22,,,,,,
,,2016 - 2017,70.0,,23.69,131.0,,22.26,,,,,,
,,2017 - 2018,88.0,,0.0,119.0,,16.39,,,,,,
,,2018 - 2019,60.0,,0.0,75.0,,23.47,,,,,,
,,2019 - 2020,7.0,155.0,22.14,39.0,853.0,21.87,,,,,,
,West godavari,2001 - 2002,,,,1.0,16.0,16.0,,,,,,
,,2015 - 2016,,,,1.0,14.0,14.0,,,,,,
Assam,Baksa,2005 - 2006,,,,,,,279.0,279.0,1.0,,,
,,2006 - 2007,,,,,,,252.0,252.0,1.0,,,
,,2007 - 2008,,,,,,,250.0,250.0,1.0,,,
,,2008 - 2009,,,,,,,233.0,233.0,1.0,,,
,,2009 - 2010,,,,,,,245.0,245.0,1.0,,,
,,2010 - 2011,,,,,,,201.0,201.0,1.0,,,
,,2011 - 2012,,,,,,,226.0,677.0,3.0,,,
,,2012 - 2013,,,,,,,205.0,667.0,3.25,,,
,,2013 - 2014,,,,,,,215.0,700.0,3.26,,,
,,2014 - 2015,,,,,,,210.0,686.0,3.27,,,
,,2015 - 2016,,,,,,,250.0,818.0,3.27,,,
,,2016 - 2017,,,,,,,250.0,901.0,3.6,,,
,,2017 - 2018,,,,,,,243.0,877.0,3.61,,,
,,2018 - 2019,,,,,,,240.0,899.0,3.75,,,
,,2019 - 2020,,,,,,,250.0,,4.22,,,
,,2020 - 2021,,,,,,,232.0,982.0,4.23,,,
,,2021 - 2022,,,,,,,222.0,940.0,4.23,,,
,,2022 - 2023,,,,,,,215.0,943.0,4.39,,,
,Barpeta,2000 - 2001,,,,,,,805.0,,1.5,,,
,,2001 - 2002,,,,,,,810.0,,1.5,,,
,,2002 - 2003,,,,,,,820.0,,1.5,,,
,,2003 - 2004,,,,,,,830.0,,1.5,,,
,,2004 - 2005,,,,,,,805.0,,1.5,,,
,,2005 - 2006,,,,,,,586.0,879.0,1.5,,,
,,2006 - 2007,,,,,,,395.0,593.0,1.5,,,
,,2007 - 2008,,,,,,,399.0,598.0,1.5,,,
,,2008 - 2009,,,,,,,693.0,,1.5,,,
,,2009 - 2010,,,,,,,,,1.5,,,
,,2010 - 2011,,,,,,,,,1.5,,,
,,2011 - 2012,,,,,,,,,3.14,,,
,,2012 - 2013,,,,,,,,,5.36,,,
,,2013 - 2014,,,,,,,,,6.0,,,
,,2014 - 2015,,,,,,,,,6.01,,,
,,2015 - 2016,,,,,,,,,14.87,,,
,,2016 - 2017,,,,,,,,,15.84,,,
,,2017 - 2018,,,,,,,,,15.84,,,
,,2018 - 2019,,,,,,,,,18.54,,,
,,2019 - 2020,,,,,,,,,18.58,,,
,,2020 - 2021,,,,,,,,,18.58,,,
,,2021 - 2022,,,,,,,,,17.58,,,
,,2022 - 2023,,,,,,,,,18.57,,,
,Biswanath,2020 - 2021,,,,,,,75.0,929.0,12.39,,,
,,2021 - 2022,,,,,,,110.0,,12.37,,,
,,2022 - 2023,,,,,,,193.0,,12.39,,,
,Bongaigaon,2000 - 2001,,,,,,,366.0,732.0,2.0,,,
,,2001 - 2002,,,,,,,368.0,736.0,2.0,,,
,,2002 - 2003,,,,,,,353.0,705.0,2.0,,,
,,2003 - 2004,,,,,,,337.0,674.0,2.0,,,
,,2004 - 2005,,,,,,,348.0,696.0,2.0,,,
,,2005 - 2006,,,,,,,259.0,518.0,2.0,,,
,,2006 - 2007,,,,,,,268.0,536.0,2.0,,,
,,2007 - 2008,,,,,,,249.0,498.0,2.0,,,
,,2008 - 2009,,,,,,,259.0,518.0,2.0,,,
,,2009 - 2010,,,,,,,253.0,505.0,2.0,,,
,,2010 - 2011,,,,,,,265.0,530.0,2.0,,,
,,2011 - 2012,,,,,,,260.0,563.0,2.17,,,
,,2012 - 2013,,,,,,,257.0,610.0,2.37,,,
,,2013 - 2014,,,,,,,288.0,684.0,2.38,,,
,,2014 - 2015,,,,,,,292.0,697.0,2.39,,,
,,2015 - 2016,,,,,,,302.0,723.0,2.39,,,
,,2016 - 2017,,,,,,,370.0,,2.71,,,
,,2017 - 2018,,,,,,,324.0,883.0,2.73,,,
,,2018 - 2019,,,,,,,335.0,971.0,2.9,,,
,,2019 - 2020,,,,,,,338.0,,3.35,,,
,,2020 - 2021,,,,,,,334.0,,3.34,,,
,,2021 - 2022,,,,,,,356.0,,4.17,,,
,,2022 - 2023,,,,,,,361.0,,4.2,,,
,Cachar,2000 - 2001,,,,,,,140.0,454.0,3.24,,,
,,2001 - 2002,,,,,,,140.0,454.0,3.24,,,
,,2002 - 2003,,,,,,,145.0,470.0,3.24,,,
,,2003 - 2004,,,,,,,159.0,516.0,3.25,,,
,,2004 - 2005,,,,,,,168.0,546.0,3.25,,,
,,2005 - 2006,,,,,,,176.0,572.0,3.25,,,
,,2006 - 2007,,,,,,,174.0,566.0,3.25,,,
,,2007 - 2008,,,,,,,150.0,487.0,3.25,,,
,,2008 - 2009,,,,,,,87.0,283.0,3.25,,,
,,2009 - 2010,,,,,,,129.0,420.0,3.26,,,
,,2010 - 2011,,,,,,,77.0,250.0,3.25,,,
,,2011 - 2012,,,,,,,82.0,275.0,3.35,,,
,,2012 - 2013,,,,,,,82.0,298.0,3.63,,,
,,2013 - 2014,,,,,,,84.0,290.0,3.45,,,
,,2014 - 2015,,,,,,,94.0,325.0,3.46,,,
,,2015 - 2016,,,,,,,86.0,,13.23,,,
,,2016 - 2017,,,,,,,78.0,,13.31,,,
,,2017 - 2018,,,,,,,72.0,965.0,13.4,,,
