state,district,year,moong_rabi_area_hectare,moong_rabi_production_tonne,moong_rabi_yield_tonne_per_hectare,moong_kharif_area_hectare,moong_kharif_production_tonne,moong_kharif_yield_tonne_per_hectare,moong_summer_area_hectare,moong_summer_production_tonne,moong_summer_yield_tonne_per_hectare,moong_whole_year_area_hectare,moong_whole_year_production_tonne,moong_whole_year_yield_tonne_per_hectare,moong_autumn_area_hectare,moong_autumn_production_tonne,moong_autumn_yield_tonne_per_hectare,moong_winter_area_hectare,moong_winter_production_tonne,moong_winter_yield_tonne_per_hectare
,,2007 - 2008,,,,56.0,,0.0,,,,,,,,,,,,
,,2008 - 2009,,,,7.0,,0.0,,,,,,,,,,,,
,,2009 - 2010,,,,8.0,,0.0,,,,,,,,,,,,
,,2010 - 2011,,,,14.0,,0.0,,,,,,,,,,,,
,,2011 - 2012,,,,3.0,,0.0,,,,,,,,,,,,
,,2012 - 2013,,,,2.0,1.0,0.5,,,,,,,,,,,,
,,2019 - 2020,,,,76.0,38.0,0.5,,,,,,,,,,,,
,,2020 - 2021,,,,76.0,38.0,0.5,,,,,,,,,,,,
,,2021 - 2022,,,,4.0,2.0,0.5,,,,,,,,,,,,
,Karnal,2000 - 2001,,,,23.0,0.0,0.0,,,,,,,,,,,,
,,2001 - 2002,,,,26.0,0.0,0.0,,,,,,,,,,,,
,,2002 - 2003,,,,17.0,0.0,0.0,,,,,,,,,,,,
,,2003 - 2004,,,,20.0,0.0,0.0,,,,,,,,,,,,
,,2004 - 2005,,,,24.0,,0.0,,,,,,,,,,,,
,,2005 - 2006,,,,71.0,,0.0,,,,,,,,,,,,
,,2006 - 2007,,,,51.0,,0.0,,,,,,,,,,,,
,,2007 - 2008,,,,38.0,,0.0,,,,,,,,,,,,
,,2008 - 2009,,,,23.0,,0.0,,,,,,,,,,,,
,,2009 - 2010,,,,38.0,,0.0,,,,,,,,,,,,
,,2010 - 2011,,,,22.0,,0.0,,,,,,,,,,,,
,,2011 - 2012,,,,37.0,,0.0,,,,,,,,,,,,
,,2012 - 2013,,,,36.0,18.0,0.5,,,,,,,,,,,,
,,2018 - 2019,,,,4.0,2.0,0.5,,,,,,,,,,,,
,,2019 - 2020,,,,5.0,3.0,0.6,,,,,,,,,,,,
,,2020 - 2021,,,,5.0,3.0,0.6,,,,,,,,,,,,
,,2021 - 2022,,,,5.0,2.5,0.5,,,,,,,,,,,,
,Kurukshetra,2001 - 2002,,,,6.0,0.0,0.0,,,,,,,,,,,,
,,2002 - 2003,,,,26.0,0.0,0.0,,,,,,,,,,,,
,,2003 - 2004,,,,40.0,0.0,0.0,,,,,,,,,,,,
,,2004 - 2005,,,,6.0,,0.0,,,,,,,,,,,,
,,2005 - 2006,,,,238.0,100.0,0.42,,,,,,,,,,,,
,,2006 - 2007,,,,266.0,100.0,0.38,,,,,,,,,,,,
,,2007 - 2008,,,,48.0,,0.0,,,,,,,,,,,,
,,2008 - 2009,,,,144.0,100.0,0.69,,,,,,,,,,,,
,,2009 - 2010,,,,236.0,100.0,0.42,,,,,,,,,,,,
,,2011 - 2012,,,,707.0,400.0,0.57,,,,,,,,,,,,
,,2012 - 2013,,,,171.0,94.0,0.55,,,,,,,,,,,,
,,2013 - 2014,,,,400.0,200.0,0.5,,,,,,,,,,,,
,,2014 - 2015,,,,200.0,,0.0,,,,,,,,,,,,
,,2015 - 2016,,,,500.0,300.0,0.6,,,,,,,,,,,,
,,2017 - 2018,,,,410.0,270.0,0.66,,,,,,,,,,,,
,,2018 - 2019,,,,388.0,194.0,0.5,,,,,,,,,,,,
,,2019 - 2020,,,,389.0,195.0,0.5,,,,,,,,,,,,
,,2020 - 2021,,,,389.0,195.0,0.5,,,,,,,,,,,,
,Mahendragarh,2000 - 2001,,,,18.0,0.0,0.0,,,,,,,,,,,,
,,2001 - 2002,,,,86.0,0.0,0.0,,,,,,,,,,,,
,,2002 - 2003,,,,355.0,0.0,0.0,,,,,,,,,,,,
,,2003 - 2004,,,,334.0,100.0,0.3,,,,,,,,,,,,
,,2004 - 2005,,,,195.0,100.0,0.51,,,,,,,,,,,,
,,2005 - 2006,,,,97.0,100.0,1.03,,,,,,,,,,,,
,,2006 - 2007,,,,179.0,,0.0,,,,,,,,,,,,
,,2007 - 2008,,,,175.0,100.0,0.57,,,,,,,,,,,,
,,2008 - 2009,,,,194.0,100.0,0.52,,,,,,,,,,,,
,,2009 - 2010,,,,194.0,100.0,0.52,,,,,,,,,,,,
,,2010 - 2011,,,,236.0,100.0,0.42,,,,,,,,,,,,
,,2011 - 2012,,,,215.0,100.0,0.47,,,,,,,,,,,,
,,2013 - 2014,,,,100.0,,0.0,,,,,,,,,,,,
,,2015 - 2016,,,,100.0,60.0,0.6,,,,,,,,,,,,
,,2016 - 2017,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2017 - 2018,,,,170.0,80.0,0.47,,,,,,,,,,,,
,,2018 - 2019,,,,173.0,87.0,0.5,,,,,,,,,,,,
,,2019 - 2020,,,,120.0,60.0,0.5,,,,,,,,,,,,
,,2020 - 2021,,,,120.0,60.0,0.5,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.5,,,,,,,,,,,,
,,2022 - 2023,,,,380.0,210.0,0.55,,,,,,,,,,,,
,Mewat,2005 - 2006,,,,31.0,,0.0,,,,,,,,,,,,
,,2006 - 2007,,,,51.0,,0.0,,,,,,,,,,,,
,,2007 - 2008,,,,32.0,,0.0,,,,,,,,,,,,
,,2008 - 2009,,,,29.0,,0.0,,,,,,,,,,,,
,,2010 - 2011,,,,606.0,100.0,0.17,,,,,,,,,,,,
,,2011 - 2012,,,,39.0,,0.0,,,,,,,,,,,,
,,2012 - 2013,,,,29.0,8.0,0.28,,,,,,,,,,,,
,,2017 - 2018,,,,10.0,,0.0,,,,,,,,,,,,
,,2018 - 2019,,,,5.0,2.0,0.4,,,,,,,,,,,,
,,2019 - 2020,,,,12.0,5.0,0.42,,,,,,,,,,,,
,,2020 - 2021,,,,11.0,4.0,0.36,,,,,,,,,,,,
,,2021 - 2022,,,,105.0,42.0,0.4,,,,,,,,,,,,
,,2022 - 2023,,,,10.0,10.0,1.0,,,,,,,,,,,,
,Palwal,2008 - 2009,,,,248.0,100.0,0.4,,,,,,,,,,,,
,,2009 - 2010,,,,48.0,,0.0,,,,,,,,,,,,
,,2010 - 2011,,,,74.0,,0.0,,,,,,,,,,,,
,,2011 - 2012,,,,249.0,100.0,0.4,,,,,,,,,,,,
,,2012 - 2013,,,,56.0,27.0,0.48,,,,,,,,,,,,
,,2013 - 2014,,,,300.0,100.0,0.33,,,,,,,,,,,,
,,2017 - 2018,,,,10.0,10.0,1.0,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.5,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.5,,,,,,,,,,,,
,,2020 - 2021,,,,4.0,2.0,0.5,,,,,,,,,,,,
,,2021 - 2022,,,,73.0,36.5,0.5,,,,,,,,,,,,
,,2022 - 2023,,,,30.0,10.0,0.33,,,,,,,,,,,,
,Panchkula,2000 - 2001,,,,3.0,0.0,0.0,,,,,,,,,,,,
,,2001 - 2002,,,,1.0,0.0,0.0,,,,,,,,,,,,
,,2006 - 2007,,,,1.0,,0.0,,,,,,,,,,,,
,,2012 - 2013,,,,32.0,9.0,0.28,,,,,,,,,,,,
,,2021 - 2022,,,,3.0,0.0,0.0,,,,,,,,,,,,
,,2022 - 2023,,,,10.0,10.0,1.0,,,,,,,,,,,,
,Panipat,2003 - 2004,,,,2.0,0.0,0.0,,,,,,,,,,,,
,,2004 - 2005,,,,2.0,,0.0,,,,,,,,,,,,
,,2006 - 2007,,,,4.0,,0.0,,,,,,,,,,,,
,,2007 - 2008,,,,13.0,,0.0,,,,,,,,,,,,
,,2008 - 2009,,,,3.0,,0.0,,,,,,,,,,,,
,,2010 - 2011,,,,11.0,,0.0,,,,,,,,,,,,
,,2014 - 2015,,,,200.0,,0.0,,,,,,,,,,,,
,,2018 - 2019,,,,12.0,6.0,0.5,,,,,,,,,,,,
,,2019 - 2020,,,,21.0,11.0,0.52,,,,,,,,,,,,
,,2020 - 2021,,,,12.0,6.0,0.5,,,,,,,,,,,,
,,2021 - 2022,,,,10.0,5.0,0.5,,,,,,,,,,,,
,,2022 - 2023,,,,10.0,10.0,1.0,,,,,,,,,,,,
,Rewari,2000 - 2001,,,,9.0,0.0,0.0,,,,,,,,,,,,
,,2001 - 2002,,,,3.0,0.0,0.0,,,,,,,,,,,,
,,2002 - 2003,,,,57.0,0.0,0.0,,,,,,,,,,,,
,,2003 - 2004,,,,31.0,0.0,0.0,,,,,,,,,,,,
,,2004 - 2005,,,,17.0,,0.0,,,,,,,,,,,,
,,2005 - 2006,,,,6.0,,0.0,,,,,,,,,,,,
,,2006 - 2007,,,,13.0,,0.0,,,,,,,,,,,,
,,2007 - 2008,,,,3.0,,0.0,,,,,,,,,,,,
,,2008 - 2009,,,,6.0,,0.0,,,,,,,,,,,,
,,2009 - 2010,,,,4.0,,0.0,,,,,,,,,,,,
,,2010 - 2011,,,,13.0,,0.0,,,,,,,,,,,,
,,2011 - 2012,,,,24.0,,0.0,,,,,,,,,,,,
,,2012 - 2013,,,,8.0,4.0,0.5,,,,,,,,,,,,
,,2019 - 2020,,,,15.0,8.0,0.53,,,,,,,,,,,,
,,2020 - 2021,,,,7.0,4.0,0.57,,,,,,,,,,,,
,,2021 - 2022,,,,,889.0,0.5,,,,,,,,,,,,
,,2022 - 2023,,,,310.0,70.0,0.23,,,,,,,,,,,,
,Rohtak,2000 - 2001,,,,19.0,0.0,0.0,,,,,,,,,,,,
,,2001 - 2002,,,,13.0,0.0,0.0,,,,,,,,,,,,
,,2002 - 2003,,,,53.0,0.0,0.0,,,,,,,,,,,,
,,2003 - 2004,,,,107.0,0.0,0.0,,,,,,,,,,,,
,,2004 - 2005,,,,214.0,,0.0,,,,,,,,,,,,
,,2005 - 2006,,,,70.0,,0.0,,,,,,,,,,,,
,,2006 - 2007,,,,30.0,,0.0,,,,,,,,,,,,
,,2007 - 2008,,,,57.0,,0.0,,,,,,,,,,,,
,,2009 - 2010,,,,8.0,,0.0,,,,,,,,,,,,
,,2010 - 2011,,,,106.0,,0.0,,,,,,,,,,,,
,,2011 - 2012,,,,52.0,,0.0,,,,,,,,,,,,
,,2012 - 2013,,,,40.0,17.0,0.43,,,,,,,,,,,,
,,2017 - 2018,,,,10.0,,0.0,,,,,,,,,,,,
,,2020 - 2021,,,,9.0,6.0,0.67,,,,,,,,,,,,
,,2021 - 2022,,,,71.0,49.7,0.7,,,,,,,,,,,,
,Sirsa,2000 - 2001,,,,,300.0,0.22,,,,,,,,,,,,
,,2001 - 2002,,,,,500.0,0.25,,,,,,,,,,,,
,,2002 - 2003,,,,,500.0,0.27,,,,,,,,,,,,
,,2003 - 2004,,,,,800.0,0.28,,,,,,,,,,,,
,,2004 - 2005,,,,,600.0,0.41,,,,,,,,,,,,
,,2005 - 2006,,,,,700.0,0.44,,,,,,,,,,,,
,,2006 - 2007,,,,,,0.48,,,,,,,,,,,,
,,2007 - 2008,,,,,,0.48,,,,,,,,,,,,
,,2008 - 2009,,,,,700.0,0.47,,,,,,,,,,,,
,,2009 - 2010,,,,906.0,500.0,0.55,,,,,,,,,,,,
,,2010 - 2011,,,,,,0.54,,,,,,,,,,,,
,,2011 - 2012,,,,,700.0,0.53,,,,,,,,,,,,
,,2012 - 2013,,,,654.0,361.0,0.55,,,,,,,,,,,,
,,2013 - 2014,,,,600.0,300.0,0.5,,,,,,,,,,,,
,,2014 - 2015,,,,300.0,300.0,1.0,,,,,,,,,,,,
,,2015 - 2016,,,,400.0,300.0,0.75,,,,,,,,,,,,
,,2016 - 2017,,,,400.0,300.0,0.75,,,,,,,,,,,,
,,2017 - 2018,,,,220.0,140.0,0.64,,,,,,,,,,,,
,,2018 - 2019,,,,337.0,202.0,0.6,,,,,,,,,,,,
,,2019 - 2020,,,,467.0,280.0,0.6,,,,,,,,,,,,
,,2020 - 2021,,,,,,0.6,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.6,,,,,,,,,,,,
,,2022 - 2023,,,,920.0,740.0,0.8,,,,,,,,,,,,
,Sonipat,2001 - 2002,,,,4.0,0.0,0.0,,,,,,,,,,,,
,,2002 - 2003,,,,63.0,0.0,0.0,,,,,,,,,,,,
,,2003 - 2004,,,,23.0,0.0,0.0,,,,,,,,,,,,
,,2004 - 2005,,,,23.0,,0.0,,,,,,,,,,,,
,,2005 - 2006,,,,172.0,,0.0,,,,,,,,,,,,
,,2006 - 2007,,,,248.0,100.0,0.4,,,,,,,,,,,,
,,2007 - 2008,,,,266.0,100.0,0.38,,,,,,,,,,,,
,,2008 - 2009,,,,26.0,,0.0,,,,,,,,,,,,
,,2009 - 2010,,,,115.0,100.0,0.87,,,,,,,,,,,,
,,2010 - 2011,,,,230.0,100.0,0.43,,,,,,,,,,,,
,,2011 - 2012,,,,28.0,,0.0,,,,,,,,,,,,
,,2012 - 2013,,,,20.0,1.0,0.05,,,,,,,,,,,,
,,2019 - 2020,,,,5.0,3.0,0.6,,,,,,,,,,,,
,,2020 - 2021,,,,30.0,15.0,0.5,,,,,,,,,,,,
,,2021 - 2022,,,,41.0,20.5,0.5,,,,,,,,,,,,
,,2022 - 2023,,,,20.0,10.0,0.5,,,,,,,,,,,,
,Yamunanagar,2000 - 2001,,,,1.0,0.0,0.0,,,,,,,,,,,,
,,2006 - 2007,,,,56.0,,0.0,,,,,,,,,,,,
,,2012 - 2013,,,,130.0,71.0,0.55,,,,,,,,,,,,
,,2017 - 2018,,,,10.0,,0.0,,,,,,,,,,,,
,,2019 - 2020,,,,1.0,1.0,1.0,,,,,,,,,,,,
,,2020 - 2021,,,,1.0,1.0,1.0,,,,,,,,,,,,
,,2021 - 2022,,,,15.0,7.5,0.5,,,,,,,,,,,,
,,2022 - 2023,,,,20.0,10.0,0.5,,,,,,,,,,,,
Himachal Pradesh,Bilaspur,2000 - 2001,,,,27.0,6.0,0.22,,,,,,,,,,,,
,,2001 - 2002,,,,2.0,1.0,0.5,,,,,,,,,,,,
,,2002 - 2003,,,,6.0,,0.0,,,,,,,,,,,,
,,2005 - 2006,,,,48.0,26.0,0.54,,,,,,,,,,,,
,,2006 - 2007,,,,7.0,4.0,0.57,,,,,,,,,,,,
,,2007 - 2008,,,,32.0,16.0,0.5,,,,,,,,,,,,
,,2008 - 2009,,,,10.0,1.0,0.1,,,,,,,,,,,,
,,2009 - 2010,,,,21.0,4.0,0.19,,,,,,,,,,,,
,,2010 - 2011,,,,45.0,22.0,0.49,,,,,,,,,,,,
,,2011 - 2012,,,,16.0,12.0,0.75,,,,,,,,,,,,
,,2012 - 2013,,,,28.0,5.0,0.18,,,,,,,,,,,,
,,2013 - 2014,,,,27.0,14.0,0.52,,,,,,,,,,,,
,,2014 - 2015,,,,26.0,13.0,0.5,,,,,,,,,,,,
,,2015 - 2016,,,,12.0,6.0,0.5,,,,,,,,,,,,
,,2016 - 2017,,,,7.0,1.0,0.14,,,,,,,,,,,,
,,2017 - 2018,,,,12.0,9.0,0.75,,,,,,,,,,,,
,,2018 - 2019,,,,13.0,9.0,0.69,,,,,,,,,,,,
,,2019 - 2020,,,,15.0,12.0,0.8,,,,,,,,,,,,
,,2021 - 2022,,,,1.0,1.0,1.0,,,,,,,,,,,,
,Chamba,2000 - 2001,,,,134.0,38.0,0.28,,,,,,,,,,,,
,,2001 - 2002,,,,4.0,2.0,0.5,,,,,,,,,,,,
,,2002 - 2003,,,,134.0,48.0,0.36,,,,,,,,,,,,
,,2005 - 2006,,,,20.0,4.0,0.2,,,,,,,,,,,,
,,2006 - 2007,,,,24.0,12.0,0.5,,,,,,,,,,,,
,,2007 - 2008,,,,42.0,21.0,0.5,,,,,,,,,,,,
,,2008 - 2009,,,,26.0,10.0,0.38,,,,,,,,,,,,
,,2009 - 2010,,,,54.0,24.0,0.44,,,,,,,,,,,,
,,2010 - 2011,,,,95.0,35.0,0.37,,,,,,,,,,,,
,,2011 - 2012,,,,97.0,42.0,0.43,,,,,,,,,,,,
,,2012 - 2013,,,,63.0,30.0,0.48,,,,,,,,,,,,
,,2013 - 2014,,,,57.0,29.0,0.51,,,,,,,,,,,,
,,2014 - 2015,,,,48.0,25.0,0.52,,,,,,,,,,,,
,,2015 - 2016,,,,37.0,17.0,0.46,,,,,,,,,,,,
,,2016 - 2017,,,,17.0,6.0,0.35,,,,,,,,,,,,
,,2017 - 2018,,,,37.0,22.0,0.59,,,,,,,,,,,,
,,2018 - 2019,,,,27.0,19.0,0.7,,,,,,,,,,,,
,,2019 - 2020,,,,28.0,23.0,0.82,,,,,,,,,,,,
,,2020 - 2021,,,,65.0,32.0,0.49,,,,,,,,,,,,
,,2021 - 2022,,,,32.0,16.0,0.5,,,,,,,,,,,,
,,2022 - 2023,,,,29.0,14.0,0.48,,,,,,,,,,,,
,Hamirpur,2006 - 2007,,,,4.0,2.0,0.5,,,,,,,,,,,,
,Kangra,2002 - 2003,,,,127.0,30.0,0.24,,,,,,,,,,,,
,,2005 - 2006,,,,13.0,5.0,0.38,,,,,,,,,,,,
,,2006 - 2007,,,,3.0,1.0,0.33,,,,,,,,,,,,
,,2007 - 2008,,,,6.0,3.0,0.5,,,,,,,,,,,,
,,2019 - 2020,,,,5.0,2.45,0.49,,,,,,,,,,,,
,Kullu,2000 - 2001,,,,24.0,7.0,0.29,,,,,,,,,,,,
,,2001 - 2002,,,,28.0,11.0,0.39,,,,,,,,,,,,
,,2002 - 2003,,,,97.0,28.0,0.29,,,,,,,,,,,,
,,2005 - 2006,,,,131.0,53.0,0.4,,,,,,,,,,,,
,,2006 - 2007,,,,136.0,47.0,0.35,,,,,,,,,,,,
,,2007 - 2008,,,,132.0,53.0,0.4,,,,,,,,,,,,
,,2008 - 2009,,,,6.0,2.0,0.33,,,,,,,,,,,,
,,2009 - 2010,,,,9.0,4.0,0.44,,,,,,,,,,,,
,,2010 - 2011,,,,7.0,5.0,0.71,,,,,,,,,,,,
,,2011 - 2012,,,,9.0,1.0,0.11,,,,,,,,,,,,
,,2012 - 2013,,,,12.0,5.0,0.42,,,,,,,,,,,,
,,2013 - 2014,,,,23.0,11.0,0.48,,,,,,,,,,,,
,,2014 - 2015,,,,23.0,12.0,0.52,,,,,,,,,,,,
,,2015 - 2016,,,,17.0,8.0,0.47,,,,,,,,,,,,
,,2016 - 2017,,,,3.0,1.0,0.33,,,,,,,,,,,,
,,2017 - 2018,,,,17.0,13.0,0.76,,,,,,,,,,,,
,,2018 - 2019,,,,16.0,12.0,0.75,,,,,,,,,,,,
,,2019 - 2020,,,,15.0,12.0,0.8,,,,,,,,,,,,
,,2020 - 2021,,,,1.0,1.0,1.0,,,,,,,,,,,,
,Mandi,2000 - 2001,,,,7.0,2.0,0.29,,,,,,,,,,,,
,,2001 - 2002,,,,51.0,14.0,0.27,,,,,,,,,,,,
,,2002 - 2003,,,,7.0,3.0,0.43,,,,,,,,,,,,
,,2005 - 2006,,,,31.0,22.0,0.71,,,,,,,,,,,,
,,2006 - 2007,,,,6.0,3.0,0.5,,,,,,,,,,,,
,,2007 - 2008,,,,11.0,5.0,0.45,,,,,,,,,,,,
,,2008 - 2009,,,,21.0,10.0,0.48,,,,,,,,,,,,
,,2009 - 2010,,,,45.0,24.0,0.53,,,,,,,,,,,,
,,2010 - 2011,,,,90.0,50.0,0.56,,,,,,,,,,,,
,,2011 - 2012,,,,35.0,16.0,0.46,,,,,,,,,,,,
,,2012 - 2013,,,,58.0,29.0,0.5,,,,,,,,,,,,
,,2013 - 2014,,,,34.0,18.0,0.53,,,,,,,,,,,,
,,2014 - 2015,,,,24.0,17.0,0.71,,,,,,,,,,,,
,,2015 - 2016,,,,34.0,18.0,0.53,,,,,,,,,,,,
,,2016 - 2017,,,,14.0,6.0,0.43,,,,,,,,,,,,
,,2017 - 2018,,,,34.0,26.0,0.76,,,,,,,,,,,,
,,2018 - 2019,,,,22.0,16.0,0.73,,,,,,,,,,,,
,,2019 - 2020,,,,21.0,16.0,0.76,,,,,,,,,,,,
,,2020 - 2021,,,,10.0,5.0,0.5,,,,,,,,,,,,
,,2021 - 2022,,,,7.0,4.0,0.57,,,,,,,,,,,,
,,2022 - 2023,,,,7.0,4.0,0.57,,,,,,,,,,,,
,Shimla,2000 - 2001,,,,3.0,1.0,0.33,,,,,,,,,,,,
,,2001 - 2002,,,,2.0,1.0,0.5,,,,,,,,,,,,
,,2005 - 2006,,,,118.0,42.0,0.36,,,,,,,,,,,,
,,2006 - 2007,,,,265.0,130.0,0.49,,,,,,,,,,,,
,,2007 - 2008,,,,455.0,223.0,0.49,,,,,,,,,,,,
,,2008 - 2009,,,,31.0,16.0,0.52,,,,,,,,,,,,
,,2009 - 2010,,,,63.0,36.0,0.57,,,,,,,,,,,,
,,2010 - 2011,,,,105.0,52.0,0.5,,,,,,,,,,,,
,,2011 - 2012,,,,59.0,39.0,0.66,,,,,,,,,,,,
,,2012 - 2013,,,,79.0,47.0,0.59,,,,,,,,,,,,
,,2013 - 2014,,,,79.0,33.0,0.42,,,,,,,,,,,,
,,2014 - 2015,,,,39.0,21.0,0.54,,,,,,,,,,,,
,,2015 - 2016,,,,16.0,8.0,0.5,,,,,,,,,,,,
,,2016 - 2017,,,,20.0,8.0,0.4,,,,,,,,,,,,
,,2017 - 2018,,,,16.0,12.0,0.75,,,,,,,,,,,,
,,2018 - 2019,,,,17.0,12.0,0.71,,,,,,,,,,,,
,,2019 - 2020,,,,18.0,13.0,0.72,,,,,,,,,,,,
,,2020 - 2021,,,,102.0,51.0,0.5,,,,,,,,,,,,
,,2021 - 2022,,,,96.0,48.0,0.5,,,,,,,,,,,,
,,2022 - 2023,,,,77.0,39.0,0.51,,,,,,,,,,,,
,Sirmaur,2000 - 2001,,,,6.0,2.0,0.33,,,,,,,,,,,,
,,2005 - 2006,,,,3.0,1.0,0.33,,,,,,,,,,,,
,,2020 - 2021,,,,1.0,1.0,1.0,,,,,,,,,,,,
,,2022 - 2023,,,,28.0,14.0,0.5,,,,,,,,,,,,
,Solan,2000 - 2001,,,,1.0,1.0,1.0,,,,,,,,,,,,
,,2001 - 2002,,,,1.0,1.0,1.0,,,,,,,,,,,,
,,2005 - 2006,,,,3.0,1.0,0.33,,,,,,,,,,,,
,,2006 - 2007,,,,1.0,,0.0,,,,,,,,,,,,
,,2008 - 2009,,,,1.0,,0.0,,,,,,,,,,,,
,,2009 - 2010,,,,3.0,,0.0,,,,,,,,,,,,
,,2010 - 2011,,,,6.0,3.0,0.5,,,,,,,,,,,,
,,2011 - 2012,,,,18.0,7.0,0.39,,,,,,,,,,,,
,,2012 - 2013,,,,4.0,1.0,0.25,,,,,,,,,,,,
,,2013 - 2014,,,,39.0,19.0,0.49,,,,,,,,,,,,
,,2014 - 2015,,,,11.0,6.0,0.55,,,,,,,,,,,,
,,2015 - 2016,,,,5.0,3.0,0.6,,,,,,,,,,,,
,,2016 - 2017,,,,1.0,,0.0,,,,,,,,,,,,
,,2017 - 2018,,,,5.0,4.0,0.8,,,,,,,,,,,,
,,2018 - 2019,,,,4.0,3.0,0.75,,,,,,,,,,,,
,,2019 - 2020,,,,5.0,4.0,0.8,,,,,,,,,,,,
,,2020 - 2021,,,,5.0,3.0,0.6,,,,,,,,,,,,
,,2021 - 2022,,,,4.0,2.0,0.5,,,,,,,,,,,,
,Una,2000 - 2001,,,,86.0,24.0,0.28,,,,,,,,,,,,
,,2001 - 2002,,,,6.0,2.0,0.33,,,,,,,,,,,,
,,2002 - 2003,,,,23.0,3.0,0.13,,,,,,,,,,,,
,,2005 - 2006,,,,14.0,5.0,0.36,,,,,,,,,,,,
,,2006 - 2007,,,,6.0,3.0,0.5,,,,,,,,,,,,
,,2007 - 2008,,,,7.0,3.0,0.43,,,,,,,,,,,,
,,2008 - 2009,,,,14.0,6.0,0.43,,,,,,,,,,,,
,,2009 - 2010,,,,30.0,12.0,0.4,,,,,,,,,,,,
,,2010 - 2011,,,,85.0,35.0,0.41,,,,,,,,,,,,
,,2011 - 2012,,,,22.0,12.0,0.55,,,,,,,,,,,,
,,2012 - 2013,,,,38.0,16.0,0.42,,,,,,,,,,,,
,,2013 - 2014,,,,41.0,18.0,0.44,,,,,,,,,,,,
,,2014 - 2015,,,,51.0,3.0,0.06,,,,,,,,,,,,
,,2015 - 2016,,,,9.0,4.0,0.44,,,,,,,,,,,,
,,2016 - 2017,,,,9.0,3.0,0.33,,,,,,,,,,,,
,,2017 - 2018,,,,9.0,6.0,0.67,,,,,,,,,,,,
,,2018 - 2019,,,,9.0,6.0,0.67,,,,,,,,,,,,
,,2019 - 2020,,,,10.0,8.0,0.8,,,,,,,,,,,,
,,2020 - 2021,,,,12.0,6.0,0.5,,,,,,,,,,,,
,,2021 - 2022,,,,14.0,7.0,0.5,,,,,,,,,,,,
,,2022 - 2023,,,,13.0,6.0,0.46,,,,,,,,,,,,
Jammu and Kashmir,Anantnag,2001 - 2002,,,,686.0,354.0,0.52,,,,,,,,,,,,
,,2002 - 2003,,,,712.0,367.0,0.52,,,,,,,,,,,,
,,2003 - 2004,,,,968.0,500.0,0.52,,,,,,,,,,,,
,,2004 - 2005,,,,999.0,515.0,0.52,,,,,,,,,,,,
,,2005 - 2006,,,,701.0,361.4,0.52,,,,,,,,,,,,
,,2006 - 2007,,,,440.0,226.8,0.52,,,,,,,,,,,,
,,2007 - 2008,,,,114.0,58.8,0.52,,,,,,,,,,,,
,,2009 - 2010,,,,123.0,63.5,0.52,,,,,,,,,,,,
,,2010 - 2011,,,,119.0,61.4,0.52,,,,,,,,,,,,
,,2011 - 2012,,,,154.0,79.5,0.52,,,,,,,,,,,,
,,2012 - 2013,,,,154.0,79.5,0.52,,,,,,,,,,,,
,,2014 - 2015,,,,51.0,6.2,0.12,,,,,,,,,,,,
,,2015 - 2016,,,,53.0,27.3,0.52,,,,,,,,,,,,
,,2016 - 2017,,,,63.0,32.4,0.51,,,,,,,,,,,,
,,2017 - 2018,,,,45.0,23.2,0.52,,,,,,,,,,,,
,,2018 - 2019,,,,57.0,29.4,0.52,,,,,,,,,,,,
,,2019 - 2020,,,,51.0,29.4,0.58,,,,,,,,,,,,
,,2020 - 2021,,,,56.0,32.3,0.58,,,,,,,,,,,,
,Badgam,2001 - 2002,,,,87.0,50.0,0.57,,,,,,,,,,,,
,,2002 - 2003,,,,356.0,204.0,0.57,,,,,,,,,,,,
,,2003 - 2004,,,,236.0,135.0,0.57,,,,,,,,,,,,
,,2004 - 2005,,,,259.0,149.0,0.58,,,,,,,,,,,,
,,2005 - 2006,,,,180.0,103.3,0.57,,,,,,,,,,,,
,,2006 - 2007,,,,234.0,134.3,0.57,,,,,,,,,,,,
,,2007 - 2008,,,,151.0,86.7,0.57,,,,,,,,,,,,
,,2009 - 2010,,,,122.0,70.0,0.57,,,,,,,,,,,,
,,2010 - 2011,17.0,20.4,1.2,117.0,67.2,0.57,,,,,,,,,,,,
,,2011 - 2012,,,,107.0,61.5,0.57,,,,,,,,,,,,
,,2012 - 2013,16.0,19.2,1.2,175.0,100.6,0.57,,,,,,,,,,,,
,,2013 - 2014,16.0,19.2,1.2,,,,,,,,,,,,,,,
,,2014 - 2015,,,,945.0,8.6,0.01,,,,,,,,,,,,
,,2015 - 2016,,,,22.0,12.7,0.58,,,,,,,,,,,,
,,2016 - 2017,,,,17.0,9.8,0.58,,,,,,,,,,,,
,,2017 - 2018,,,,12.0,7.0,0.58,,,,,,,,,,,,
,,2018 - 2019,,,,3.0,1.7,0.57,,,,,,,,,,,,
,,2019 - 2020,,,,10.0,5.7,0.57,,,,,,,,,,,,
,,2020 - 2021,,,,11.0,6.3,0.57,,,,,,,,,,,,
