state,district,year,horse_gram_rabi_area_hectare,horse_gram_rabi_production_tonne,horse_gram_rabi_yield_tonne_per_hectare,horse_gram_kharif_area_hectare,horse_gram_kharif_production_tonne,horse_gram_kharif_yield_tonne_per_hectare,horse_gram_summer_area_hectare,horse_gram_summer_production_tonne,horse_gram_summer_yield_tonne_per_hectare,horse_gram_whole_year_area_hectare,horse_gram_whole_year_production_tonne,horse_gram_whole_year_yield_tonne_per_hectare,horse_gram_winter_area_hectare,horse_gram_winter_production_tonne,horse_gram_winter_yield_tonne_per_hectare
,,2008 - 2009,552.0,208.0,0.38,41.0,23.0,0.56,,,,,,,,,
,,2009 - 2010,167.0,104.0,0.62,128.0,87.0,0.68,,,,,,,,,
,,2010 - 2011,139.0,57.0,0.41,,,,,,,,,,,,
,,2011 - 2012,45.0,19.0,0.42,,,,,,,,,,,,
,,2013 - 2014,116.0,53.0,0.46,5.0,3.0,0.6,,,,,,,,,
,,2014 - 2015,86.0,36.0,0.42,1.0,,0.0,,,,,,,,,
,,2015 - 2016,62.0,34.0,0.55,2.0,1.0,0.5,,,,,,,,,
,,2016 - 2017,17.0,9.0,0.53,,,,,,,,,,,,
,,2017 - 2018,53.0,38.0,0.72,1.0,,0.0,,,,,,,,,
,,2018 - 2019,17.0,11.0,0.65,5.0,1.0,0.2,,,,,,,,,
,,2019 - 2020,24.0,16.0,0.67,2.0,,0.0,,,,,,,,,
,,2020 - 2021,5.0,3.0,0.6,1.0,0.0,0.0,,,,,,,,,
,,2021 - 2022,2.0,1.0,0.5,5.0,1.0,0.2,,,,,,,,,
,,2022 - 2023,4.0,2.0,0.5,,,,,,,,,,,,
,Eluru,2022 - 2023,32.0,19.0,0.59,,,,,,,,,,,,
,Guntur,2000 - 2001,6.0,1.0,0.17,,,,,,,,,,,,
,,2002 - 2003,9.0,3.0,0.33,,,,,,,,,,,,
,,2009 - 2010,78.0,49.0,0.63,,,,,,,,,,,,
,,2018 - 2019,44.0,28.0,0.64,,,,,,,,,,,,
,,2019 - 2020,5.0,3.0,0.6,,,,,,,,,,,,
,,2020 - 2021,2.0,1.0,0.5,1.0,0.0,0.0,,,,,,,,,
,Kadapa,2000 - 2001,363.0,77.0,0.21,394.0,200.0,0.51,,,,,,,,,
,,2001 - 2002,625.0,338.0,0.54,367.0,158.0,0.43,,,,,,,,,
,,2002 - 2003,,,0.37,243.0,118.0,0.49,,,,,,,,,
,,2003 - 2004,569.0,308.0,0.54,180.0,65.0,0.36,,,,,,,,,
,,2004 - 2005,343.0,46.0,0.13,145.0,63.0,0.43,,,,,,,,,
,,2005 - 2006,251.0,95.0,0.38,21.0,8.0,0.38,,,,,,,,,
,,2006 - 2007,735.0,137.0,0.19,6.0,3.0,0.5,,,,,,,,,
,,2007 - 2008,,,0.0,,,,,,,,,,,,
,,2008 - 2009,614.0,205.0,0.33,21.0,12.0,0.57,,,,,,,,,
,,2009 - 2010,687.0,335.0,0.49,277.0,189.0,0.68,,,,,,,,,
,,2010 - 2011,604.0,187.0,0.31,101.0,49.0,0.49,,,,,,,,,
,,2011 - 2012,994.0,380.0,0.38,288.0,153.0,0.53,,,,,,,,,
,,2012 - 2013,,,0.67,,,,,,,,,,,,
,,2013 - 2014,,,0.66,880.0,514.0,0.58,,,,,,,,,
,,2014 - 2015,,,0.47,,790.0,0.45,,,,,,,,,
,,2015 - 2016,,,0.53,,858.0,0.44,,,,,,,,,
,,2016 - 2017,351.0,46.0,0.13,69.0,14.0,0.2,,,,,,,,,
,,2017 - 2018,,,0.7,603.0,289.0,0.48,,,,,,,,,
,,2018 - 2019,,,0.23,222.0,,0.0,,,,,,,,,
,,2019 - 2020,,,0.55,450.0,199.0,0.44,,,,,,,,,
,,2020 - 2021,,700.0,0.41,73.0,27.0,0.37,,,,,,,,,
,,2021 - 2022,,196.0,0.16,130.0,27.0,0.21,,,,,,,,,
,,2022 - 2023,360.0,192.0,0.53,8.0,2.0,0.25,,,,,,,,,
,Krishna,2000 - 2001,640.0,135.0,0.21,,,,,,,,,,,,
,,2001 - 2002,617.0,334.0,0.54,,,,,,,,,,,,
,,2002 - 2003,404.0,149.0,0.37,,,,,,,,,,,,
,,2003 - 2004,635.0,344.0,0.54,79.0,29.0,0.37,,,,,,,,,
,,2004 - 2005,558.0,226.0,0.41,,,,,,,,,,,,
,,2005 - 2006,281.0,101.0,0.36,,,,,,,,,,,,
,,2006 - 2007,375.0,190.0,0.51,,,,,,,,,,,,
,,2008 - 2009,224.0,84.0,0.38,,,,,,,,,,,,
,,2009 - 2010,305.0,190.0,0.62,,,,,,,,,,,,
,,2010 - 2011,201.0,83.0,0.41,,,,,,,,,,,,
