state,district,year,horse_gram_rabi_area_hectare,horse_gram_rabi_production_tonne,horse_gram_rabi_yield_tonne_per_hectare,horse_gram_kharif_area_hectare,horse_gram_kharif_production_tonne,horse_gram_kharif_yield_tonne_per_hectare,horse_gram_summer_area_hectare,horse_gram_summer_production_tonne,horse_gram_summer_yield_tonne_per_hectare,horse_gram_whole_year_area_hectare,horse_gram_whole_year_production_tonne,horse_gram_whole_year_yield_tonne_per_hectare,horse_gram_winter_area_hectare,horse_gram_winter_production_tonne,horse_gram_winter_yield_tonne_per_hectare
,Anuppur,2003 - 2004,,,,125.0,28.0,0.22,,,,,,,,,
,,2004 - 2005,,,,96.0,26.0,0.27,,,,,,,,,
,,2005 - 2006,,,,85.0,25.0,0.29,,,,,,,,,
,,2006 - 2007,,,,87.0,25.0,0.29,,,,,,,,,
,,2007 - 2008,,,,84.0,23.0,0.27,,,,,,,,,
,,2008 - 2009,,,,155.0,38.0,0.25,,,,,,,,,
,,2009 - 2010,,,,89.0,26.0,0.29,,,,,,,,,
,,2010 - 2011,,,,83.0,14.0,0.17,,,,,,,,,
,,2011 - 2012,,,,100.0,20.0,0.2,,,,,,,,,
,,2012 - 2013,4.0,,0.0,101.0,34.0,0.34,,,,,,,,,
,,2013 - 2014,,,,104.0,37.0,0.36,,,,,,,,,
,,2017 - 2018,,,,80.0,30.0,0.38,,,,,,,,,
,,2018 - 2019,,,,4.0,1.0,0.25,,,,,,,,,
,Balaghat,2003 - 2004,149.0,42.0,0.28,979.0,301.0,0.31,,,,,,,,,
,,2004 - 2005,157.0,44.0,0.28,975.0,270.0,0.28,,,,,,,,,
,,2005 - 2006,147.0,42.0,0.29,986.0,273.0,0.28,,,,,,,,,
,,2006 - 2007,209.0,59.0,0.28,951.0,292.0,0.31,,,,,,,,,
,,2007 - 2008,134.0,38.0,0.28,970.0,358.0,0.37,,,,,,,,,
,,2008 - 2009,193.0,54.0,0.28,964.0,355.0,0.37,,,,,,,,,
,,2009 - 2010,160.0,53.0,0.33,,381.0,0.37,,,,,,,,,
,,2010 - 2011,100.0,25.0,0.25,902.0,388.0,0.43,,,,,,,,,
,,2011 - 2012,90.0,22.0,0.24,857.0,264.0,0.31,,,,,,,,,
,,2012 - 2013,71.0,26.0,0.37,874.0,435.0,0.5,,,,,,,,,
,,2013 - 2014,71.0,26.0,0.37,955.0,475.0,0.5,,,,,,,,,
,,2014 - 2015,,,,,,1.0,,,,,,,,,
,,2017 - 2018,,,,430.0,190.0,0.44,,,,,,,,,
,,2018 - 2019,,,,85.0,43.0,0.51,,,,,,,,,
,Barwani,2003 - 2004,,,,,,0.25,,,,,,,,,
,,2004 - 2005,,,,,,0.18,,,,,,,,,
,,2005 - 2006,,,,,805.0,0.12,,,,,,,,,
,,2006 - 2007,,,,,777.0,0.13,,,,,,,,,
,,2007 - 2008,,,,,857.0,0.14,,,,,,,,,
,,2008 - 2009,,,,,628.0,0.1,,,,,,,,,
,,2009 - 2010,,,,,755.0,0.13,,,,,,,,,
,,2010 - 2011,,,,,717.0,0.15,,,,,,,,,
,,2011 - 2012,,,,,399.0,0.1,,,,,,,,,
,,2012 - 2013,,,,,696.0,0.27,,,,,,,,,
,,2013 - 2014,,,,,478.0,0.24,,,,,,,,,
,,2015 - 2016,,,,,102.0,0.03,,,,,,,,,
,,2016 - 2017,,,,,,0.33,,,,,,,,,
,,2017 - 2018,,,,,620.0,0.56,,,,,,,,,
,,2018 - 2019,,,,299.0,87.0,0.29,,,,,,,,,
,Betul,2003 - 2004,,,,360.0,114.0,0.32,,,,,,,,,
,,2004 - 2005,,,,393.0,123.0,0.31,,,,,,,,,
,,2005 - 2006,,,,228.0,79.0,0.35,,,,,,,,,
,,2012 - 2013,,,,97.0,25.0,0.26,,,,,,,,,
,Bhind,2003 - 2004,,,,1.0,0.0,0.0,,,,,,,,,
,,2004 - 2005,,,,3.0,1.0,0.33,,,,,,,,,
,Burhanpur,2003 - 2004,,,,72.0,24.0,0.33,,,,,,,,,
,,2004 - 2005,,,,33.0,9.0,0.27,,,,,,,,,
,,2005 - 2006,,,,30.0,9.0,0.3,,,,,,,,,
,,2006 - 2007,,,,26.0,9.0,0.35,,,,,,,,,
,,2007 - 2008,,,,27.0,9.0,0.33,,,,,,,,,
,,2008 - 2009,,,,36.0,10.0,0.28,,,,,,,,,
,,2009 - 2010,,,,48.0,14.0,0.29,,,,,,,,,
,,2010 - 2011,,,,35.0,8.0,0.23,,,,,,,,,
,,2014 - 2015,,,,,,0.63,,,,,,,,,
,Chhatarpur,2003 - 2004,3.0,1.0,0.33,,,,,,,,,,,,
,,2004 - 2005,,,,5.0,1.0,0.2,,,,,,,,,
,,2005 - 2006,,,,7.0,1.0,0.14,,,,,,,,,
,,2006 - 2007,1.0,,0.0,,,,,,,,,,,,
,,2009 - 2010,3.0,1.0,0.33,,,,,,,,,,,,
,Chhindwara,2003 - 2004,,,,178.0,58.0,0.33,,,,,,,,,
,,2004 - 2005,,,,165.0,58.0,0.35,,,,,,,,,
,,2005 - 2006,,,,146.0,36.0,0.25,,,,,,,,,
,,2006 - 2007,,,,214.0,81.0,0.38,,,,,,,,,
,,2007 - 2008,,,,6.0,2.0,0.33,,,,,,,,,
,,2008 - 2009,,,,91.0,30.0,0.33,,,,,,,,,
,,2009 - 2010,,,,161.0,52.0,0.32,,,,,,,,,
,,2010 - 2011,,,,223.0,85.0,0.38,,,,,,,,,
,,2011 - 2012,,,,258.0,61.0,0.24,,,,,,,,,
,,2012 - 2013,,,,195.0,66.0,0.34,,,,,,,,,
,,2013 - 2014,,,,175.0,40.0,0.23,,,,,,,,,
,,2015 - 2016,,,,,,0.33,,,,,,,,,
,,2016 - 2017,,,,,,0.33,,,,,,,,,
,,2018 - 2019,,,,2.0,,0.0,,,,,,,,,
,Damoh,2003 - 2004,,,,1.0,0.0,0.0,,,,,,,,,
,,2010 - 2011,,,,10.0,2.0,0.2,,,,,,,,,
,,2011 - 2012,27.0,7.0,0.26,,,,,,,,,,,,
,Dhar,2003 - 2004,,,,,,0.33,,,,,,,,,
,,2004 - 2005,,,,,,0.26,,,,,,,,,
,,2005 - 2006,,,,,,0.27,,,,,,,,,
,,2006 - 2007,,,,,,0.28,,,,,,,,,
,,2007 - 2008,,,,,,0.33,,,,,,,,,
,,2008 - 2009,,,,,,0.33,,,,,,,,,
,,2009 - 2010,,,,,,0.31,,,,,,,,,
,,2010 - 2011,,,,,,0.31,,,,,,,,,
,,2011 - 2012,,,,,708.0,0.23,,,,,,,,,
,,2012 - 2013,,,,,798.0,0.31,,,,,,,,,
,,2013 - 2014,,,,,,0.49,,,,,,,,,
,,2014 - 2015,,,,,,0.5,,,,,,,,,
,,2015 - 2016,,,,,,0.33,,,,,,,,,
,,2016 - 2017,,,,,,0.67,,,,,,,,,
,,2017 - 2018,,,,,760.0,0.31,,,,,,,,,
,,2018 - 2019,,,,441.0,114.0,0.26,,,,,,,,,
,Gwalior,2018 - 2019,,,,1.0,,0.0,,,,,,,,,
,Harda,2007 - 2008,2.0,,0.0,,,,,,,,,,,,
,Hoshangabad,2004 - 2005,,,,13.0,4.0,0.31,,,,,,,,,
,,2009 - 2010,6.0,1.0,0.17,,,,,,,,,,,,
,Jabalpur,2015 - 2016,,,,,274.0,0.27,,,,,,,,,
,,2016 - 2017,,,,,420.0,0.42,,,,,,,,,
,Jhabua,2003 - 2004,,,,,,0.34,,,,,,,,,
,,2004 - 2005,,,,,,0.3,,,,,,,,,
,,2005 - 2006,,,,,,0.37,,,,,,,,,
,,2006 - 2007,,,,,,0.37,,,,,,,,,
,,2007 - 2008,,,,,,0.42,,,,,,,,,
,,2008 - 2009,,,,860.0,371.0,0.43,,,,,,,,,
,,2009 - 2010,,,,837.0,277.0,0.33,,,,,,,,,
,,2010 - 2011,,,,765.0,289.0,0.38,,,,,,,,,
,,2011 - 2012,,,,647.0,185.0,0.29,,,,,,,,,
,,2012 - 2013,,,,517.0,228.0,0.44,,,,,,,,,
,,2013 - 2014,,,,525.0,250.0,0.48,,,,,,,,,
,,2014 - 2015,,,,,0.0,0.0,,,,,,,,,
,,2018 - 2019,,,,38.0,10.0,0.26,,,,,,,,,
,Katni,2005 - 2006,5.0,1.0,0.2,,,,,,,,,,,,
,Khandwa,2003 - 2004,,,,805.0,272.0,0.34,,,,,,,,,
,,2004 - 2005,,,,531.0,138.0,0.26,,,,,,,,,
,,2005 - 2006,,,,567.0,150.0,0.26,,,,,,,,,
,,2006 - 2007,,,,387.0,112.0,0.29,,,,,,,,,
,,2007 - 2008,,,,314.0,106.0,0.34,,,,,,,,,
,,2008 - 2009,,,,256.0,87.0,0.34,,,,,,,,,
,,2009 - 2010,2.0,1.0,0.5,222.0,64.0,0.29,,,,,,,,,
,,2010 - 2011,,,,132.0,38.0,0.29,,,,,,,,,
,,2011 - 2012,4.0,1.0,0.25,500.0,101.0,0.2,,,,,,,,,
,,2012 - 2013,,,,80.0,18.0,0.23,,,,,,,,,
,,2013 - 2014,,,,46.0,25.0,0.54,,,,,,,,,
,,2017 - 2018,,,,300.0,90.0,0.3,,,,,,,,,
,,2018 - 2019,,,,1.0,,0.0,,,,,,,,,
,Khargone,2003 - 2004,,,,,565.0,0.27,,,,,,,,,
,,2004 - 2005,,,,,315.0,0.2,,,,,,,,,
,,2005 - 2006,,,,,242.0,0.19,,,,,,,,,
,,2006 - 2007,,,,,359.0,0.3,,,,,,,,,
,,2007 - 2008,,,,,332.0,0.3,,,,,,,,,
,,2008 - 2009,,,,,247.0,0.22,,,,,,,,,
,,2009 - 2010,,,,742.0,181.0,0.24,,,,,,,,,
,,2010 - 2011,,,,727.0,196.0,0.27,,,,,,,,,
,,2011 - 2012,,,,814.0,119.0,0.15,,,,,,,,,
,,2012 - 2013,,,,117.0,27.0,0.23,,,,,,,,,
,,2013 - 2014,,,,193.0,34.0,0.18,,,,,,,,,
,,2014 - 2015,,,,,,0.5,,,,,,,,,
,,2017 - 2018,,,,20.0,,0.0,,,,,,,,,
,,2018 - 2019,,,,1.0,,0.0,,,,,,,,,
,Mandla,2003 - 2004,,,,6.0,2.0,0.33,,,,,,,,,
,,2004 - 2005,,,,6.0,2.0,0.33,,,,,,,,,
,,2005 - 2006,,,,5.0,1.0,0.2,,,,,,,,,
,,2006 - 2007,,,,5.0,1.0,0.2,,,,,,,,,
,,2018 - 2019,,,,3.0,1.0,0.33,,,,,,,,,
,Narsinghpur,2011 - 2012,5.0,1.0,0.2,,,,,,,,,,,,
,Raisen,2003 - 2004,,,,9.0,2.0,0.22,,,,,,,,,
,,2005 - 2006,1.0,,0.0,,,,,,,,,,,,
,,2007 - 2008,29.0,8.0,0.28,,,,,,,,,,,,
,,2013 - 2014,,,,2.0,1.0,0.5,,,,,,,,,
,,2017 - 2018,,,,,,0.35,,,,,,,,,
,Rewa,2011 - 2012,,,,3.0,1.0,0.33,,,,,,,,,
,Sagar,2003 - 2004,,,,1.0,0.0,0.0,,,,,,,,,
,,2004 - 2005,,,,3.0,1.0,0.33,,,,,,,,,
,,2006 - 2007,1.0,,0.0,,,,,,,,,,,,
,,2012 - 2013,2.0,1.0,0.5,,,,,,,,,,,,
,Satna,2005 - 2006,,,,3.0,1.0,0.33,,,,,,,,,
,Sehore,2018 - 2019,,,,4.0,1.0,0.25,,,,,,,,,
,Seoni,2003 - 2004,,,,6.0,3.0,0.5,,,,,,,,,
,,2004 - 2005,,,,15.0,5.0,0.33,,,,,,,,,
,,2005 - 2006,,,,7.0,3.0,0.43,,,,,,,,,
,,2006 - 2007,,,,4.0,2.0,0.5,,,,,,,,,
,,2007 - 2008,,,,3.0,1.0,0.33,,,,,,,,,
,,2008 - 2009,,,,2.0,1.0,0.5,,,,,,,,,
,,2009 - 2010,,,,7.0,3.0,0.43,,,,,,,,,
,,2010 - 2011,,,,11.0,3.0,0.27,,,,,,,,,
,,2011 - 2012,,,,1.0,,0.0,,,,,,,,,
,,2013 - 2014,,,,1.0,,0.0,,,,,,,,,
,Shahdol,2003 - 2004,,,,87.0,21.0,0.24,,,,,,,,,
,,2004 - 2005,,,,63.0,14.0,0.22,,,,,,,,,
,,2005 - 2006,,,,79.0,17.0,0.22,,,,,,,,,
,,2006 - 2007,,,,73.0,21.0,0.29,,,,,,,,,
,,2007 - 2008,,,,88.0,25.0,0.28,,,,,,,,,
,,2008 - 2009,,,,121.0,36.0,0.3,,,,,,,,,
,,2009 - 2010,,,,105.0,30.0,0.29,,,,,,,,,
,,2010 - 2011,,,,70.0,19.0,0.27,,,,,,,,,
,,2011 - 2012,,,,236.0,47.0,0.2,,,,,,,,,
,,2012 - 2013,,,,205.0,124.0,0.6,,,,,,,,,
,,2013 - 2014,,,,135.0,94.0,0.7,,,,,,,,,
,Shivpuri,2004 - 2005,3.0,1.0,0.33,,,,,,,,,,,,
,,2006 - 2007,,,,2.0,,0.0,,,,,,,,,
,,2007 - 2008,,,,1.0,,0.0,,,,,,,,,
,Ujjain,2008 - 2009,,,,6.0,2.0,0.33,,,,,,,,,
Nagaland,Chumoukedima,2022 - 2023,,,,14.0,16.0,1.14,,,,,,,,,
,Dimapur,2010 - 2011,,,,40.0,40.0,1.0,,,,,,,,,
,,2011 - 2012,,,,40.0,40.0,1.0,,,,,,,,,
,,2012 - 2013,,,,50.0,60.0,1.2,,,,,,,,,
,,2014 - 2015,,,,70.0,80.0,1.14,,,,,,,,,
,,2015 - 2016,,,,90.0,100.0,1.11,,,,,,,,,
,,2016 - 2017,,,,90.0,100.0,1.11,,,,,,,,,
,,2017 - 2018,,,,100.0,120.0,1.2,,,,,,,,,
,,2018 - 2019,,,,100.0,120.0,1.2,,,,,,,,,
,,2019 - 2020,,,,100.0,120.0,1.2,,,,,,,,,
,,2022 - 2023,,,,11.0,12.0,1.09,,,,,,,,,
,Kiphire,2010 - 2011,,,,20.0,20.0,1.0,,,,,,,,,
,,2011 - 2012,,,,10.0,10.0,1.0,,,,,,,,,
,,2012 - 2013,,,,20.0,20.0,1.0,,,,,,,,,
,,2014 - 2015,,,,20.0,20.0,1.0,,,,,,,,,
,,2015 - 2016,,,,20.0,20.0,1.0,,,,,,,,,
,,2016 - 2017,,,,20.0,20.0,1.0,,,,,,,,,
,,2017 - 2018,,,,20.0,20.0,1.0,,,,,,,,,
,,2018 - 2019,,,,20.0,20.0,1.0,,,,,,,,,
,,2019 - 2020,,,,20.0,20.0,1.0,,,,,,,,,
,Kohima,2010 - 2011,,,,40.0,50.0,1.25,,,,,,,,,
,,2011 - 2012,,,,40.0,50.0,1.25,,,,,,,,,
,,2012 - 2013,,,,40.0,40.0,1.0,,,,,,,,,
,,2014 - 2015,,,,40.0,40.0,1.0,,,,,,,,,
,,2015 - 2016,,,,40.0,40.0,1.0,,,,,,,,,
,,2016 - 2017,,,,40.0,40.0,1.0,,,,,,,,,
,,2017 - 2018,,,,40.0,40.0,1.0,,,,,,,,,
,,2018 - 2019,,,,40.0,40.0,1.0,,,,,,,,,
,,2019 - 2020,,,,40.0,40.0,1.0,,,,,,,,,
,Longleng,2010 - 2011,,,,10.0,10.0,1.0,,,,,,,,,
,,2011 - 2012,,,,20.0,20.0,1.0,,,,,,,,,
,,2012 - 2013,,,,20.0,20.0,1.0,,,,,,,,,
,,2014 - 2015,,,,20.0,20.0,1.0,,,,,,,,,
,,2015 - 2016,,,,20.0,20.0,1.0,,,,,,,,,
,,2016 - 2017,,,,20.0,20.0,1.0,,,,,,,,,
,,2017 - 2018,,,,20.0,20.0,1.0,,,,,,,,,
,,2018 - 2019,,,,30.0,30.0,1.0,,,,,,,,,
,,2019 - 2020,,,,30.0,30.0,1.0,,,,,,,,,
,Mokokchung,2010 - 2011,,,,30.0,20.0,0.67,,,,,,,,,
,,2011 - 2012,,,,30.0,20.0,0.67,,,,,,,,,
,,2012 - 2013,,,,40.0,40.0,1.0,,,,,,,,,
,,2014 - 2015,,,,40.0,40.0,1.0,,,,,,,,,
,,2015 - 2016,,,,40.0,40.0,1.0,,,,,,,,,
,,2016 - 2017,,,,40.0,40.0,1.0,,,,,,,,,
,,2017 - 2018,,,,40.0,40.0,1.0,,,,,,,,,
,,2018 - 2019,,,,40.0,40.0,1.0,,,,,,,,,
,,2019 - 2020,,,,40.0,40.0,1.0,,,,,,,,,
,Mon,2010 - 2011,,,,30.0,40.0,1.33,,,,,,,,,
,,2011 - 2012,,,,30.0,40.0,1.33,,,,,,,,,
,,2012 - 2013,,,,40.0,40.0,1.0,,,,,,,,,
,,2014 - 2015,,,,40.0,40.0,1.0,,,,,,,,,
,,2015 - 2016,,,,50.0,50.0,1.0,,,,,,,,,
,,2016 - 2017,,,,50.0,50.0,1.0,,,,,,,,,
,,2017 - 2018,,,,50.0,50.0,1.0,,,,,,,,,
,,2018 - 2019,,,,50.0,50.0,1.0,,,,,,,,,
,,2019 - 2020,,,,50.0,50.0,1.0,,,,,,,,,
,Nuiland,2022 - 2023,,,,11.0,13.0,1.18,,,,,,,,,
,Peren,2010 - 2011,,,,20.0,20.0,1.0,,,,,,,,,
,,2011 - 2012,,,,20.0,20.0,1.0,,,,,,,,,
,,2012 - 2013,,,,40.0,40.0,1.0,,,,,,,,,
,,2014 - 2015,,,,40.0,40.0,1.0,,,,,,,,,
,,2015 - 2016,,,,40.0,40.0,1.0,,,,,,,,,
,,2016 - 2017,,,,50.0,50.0,1.0,,,,,,,,,
,,2017 - 2018,,,,60.0,70.0,1.17,,,,,,,,,
,,2018 - 2019,,,,60.0,70.0,1.17,,,,,,,,,
,,2019 - 2020,,,,60.0,70.0,1.17,,,,,,,,,
,,2021 - 2022,,,,61.0,34.0,0.56,,,,,,,,,
,,2022 - 2023,,,,60.0,69.0,1.15,,,,,,,,,
,Phek,2010 - 2011,,,,40.0,30.0,0.75,,,,,,,,,
,,2011 - 2012,,,,40.0,30.0,0.75,,,,,,,,,
,,2012 - 2013,,,,50.0,50.0,1.0,,,,,,,,,
,,2014 - 2015,,,,50.0,60.0,1.2,,,,,,,,,
,,2015 - 2016,,,,60.0,70.0,1.17,,,,,,,,,
,,2016 - 2017,,,,60.0,70.0,1.17,,,,,,,,,
,,2017 - 2018,,,,60.0,70.0,1.17,,,,,,,,,
,,2018 - 2019,,,,60.0,70.0,1.17,,,,,,,,,
,,2019 - 2020,,,,60.0,70.0,1.17,,,,,,,,,
,Tuensang,2010 - 2011,,,,20.0,20.0,1.0,,,,,,,,,
,,2011 - 2012,,,,20.0,20.0,1.0,,,,,,,,,
,,2012 - 2013,,,,30.0,30.0,1.0,,,,,,,,,
,,2014 - 2015,,,,30.0,30.0,1.0,,,,,,,,,
,,2015 - 2016,,,,30.0,30.0,1.0,,,,,,,,,
,,2016 - 2017,,,,30.0,30.0,1.0,,,,,,,,,
,,2017 - 2018,,,,30.0,30.0,1.0,,,,,,,,,
,,2018 - 2019,,,,40.0,30.0,0.75,,,,,,,,,
,,2019 - 2020,,,,40.0,30.0,0.75,,,,,,,,,
,Wokha,2010 - 2011,,,,50.0,40.0,0.8,,,,,,,,,
,,2011 - 2012,,,,50.0,40.0,0.8,,,,,,,,,
,,2012 - 2013,,,,50.0,50.0,1.0,,,,,,,,,
,,2014 - 2015,,,,60.0,70.0,1.17,,,,,,,,,
,,2015 - 2016,,,,60.0,70.0,1.17,,,,,,,,,
,,2016 - 2017,,,,60.0,70.0,1.17,,,,,,,,,
,,2017 - 2018,,,,60.0,70.0,1.17,,,,,,,,,
,,2018 - 2019,,,,60.0,70.0,1.17,,,,,,,,,
,,2019 - 2020,,,,60.0,70.0,1.17,,,,,,,,,
,Zunheboto,2010 - 2011,,,,30.0,40.0,1.33,,,,,,,,,
,,2011 - 2012,,,,30.0,40.0,1.33,,,,,,,,,
,,2012 - 2013,,,,40.0,50.0,1.25,,,,,,,,,
,,2014 - 2015,,,,40.0,40.0,1.0,,,,,,,,,
,,2015 - 2016,,,,40.0,40.0,1.0,,,,,,,,,
,,2016 - 2017,,,,40.0,40.0,1.0,,,,,,,,,
,,2017 - 2018,,,,40.0,40.0,1.0,,,,,,,,,
,,2018 - 2019,,,,40.0,40.0,1.0,,,,,,,,,
,,2019 - 2020,,,,40.0,40.0,1.0,,,,,,,,,
Odisha,Anugul,2000 - 2001,,,,,660.9,0.18,,,,,,,,,
,,2001 - 2002,,,,,,0.28,,,,,,,,,
,,2002 - 2003,,,,,554.5,0.14,,,,,,,,,
,,2003 - 2004,,,,,,0.26,,,,,,,,,
,,2004 - 2005,,,,,,,,,,,,,,,0.25
,,2005 - 2006,,,,,,,,,,,,,,,0.24
,,2006 - 2007,,,,,,,,,,,,,,,0.27
,,2007 - 2008,,,,,,,,,,,,,,767.6,0.24
,,2008 - 2009,,,,,,,,,,,,,,931.7,0.24
,,2009 - 2010,,,,,,,,,,,,,,,0.32
,,2010 - 2011,,,,,,,,,,,,,,,0.29
,,2011 - 2012,,,,,,,,,,,,,,,0.27
,,2012 - 2013,,,,,,,,,,,,,,992.3,0.34
,,2013 - 2014,,,,,,,,,,,,,,722.6,0.34
,,2014 - 2015,,,,,,,,,,,,,,822.5,0.37
,,2015 - 2016,,,,,,,,,,,,,,458.3,0.34
,,2016 - 2017,,,,,,,,,,,,,,492.5,0.41
,,2017 - 2018,,,,,,,,,,,,,,530.2,0.4
,,2018 - 2019,,,,,,,,,,,,,,465.3,0.38
,,2019 - 2020,,,,,,,,,,,,,480.0,186.7,0.39
,,2020 - 2021,,,,,,,,,,,,,569.0,250.9,0.44
,,2021 - 2022,,,,,,,,,,,,,955.0,399.2,0.42
,,2022 - 2023,,,,,,,,,,,,,,482.2,0.43
,Balangir,2000 - 2001,,,,,,0.15,,,,,,,,,
,,2001 - 2002,,,,,,0.27,,,,,,,,,
,,2002 - 2003,,,,,,0.11,,,,,,,,,
,,2003 - 2004,,,,,,0.23,,,,,,,,,
,,2004 - 2005,,,,,,,,,,,,,,,0.25
,,2005 - 2006,,,,,,,,,,,,,,,0.27
,,2006 - 2007,,,,,,,,,,,,,,,0.23
,,2007 - 2008,,,,,,,,,,,,,,,0.22
,,2008 - 2009,,,,,,,,,,,,,,,0.24
,,2009 - 2010,,,,,,,,,,,,,,,0.27
,,2010 - 2011,,,,,,,,,,,,,,,0.36
,,2011 - 2012,,,,,,,,,,,,,,,0.17
,,2012 - 2013,,,,,,,,,,,,,,,0.42
,,2013 - 2014,,,,,,,,,,,,,,,0.42
,,2014 - 2015,,,,,,,,,,,,,,,0.35
,,2015 - 2016,,,,,,,,,,,,,,,0.26
,,2016 - 2017,,,,,,,,,,,,,,,0.47
,,2017 - 2018,,,,,,,,,,,,,,427.7,0.33
,,2018 - 2019,,,,,,,,,,,,,,433.5,0.26
,,2019 - 2020,,,,,,,,,,,,,,542.6,0.28
,,2020 - 2021,,,,,,,,,,,,,,906.7,0.4
,,2021 - 2022,,,,,,,,,,,,,,,0.38
,,2022 - 2023,,,,,,,,,,,,,,,0.38
,Baleshwar,2002 - 2003,,,,2.0,1.0,0.5,,,,,,,,,
,,2004 - 2005,,,,,,,,,,,,,2.0,2.0,1.0
,,2005 - 2006,,,,,,,1.0,0.2,0.2,,,,40.0,16.4,0.41
,,2006 - 2007,,,,,,,1.0,0.2,0.2,,,,2.0,0.7,0.35
,,2007 - 2008,,,,,,,1.0,0.1,0.1,,,,12.0,4.8,0.4
,,2008 - 2009,,,,,,,,,,,,,1.0,0.5,0.5
,,2009 - 2010,,,,,,,,,,,,,7.0,3.6,0.51
,,2010 - 2011,,,,,,,,,,,,,42.0,13.9,0.33
,,2012 - 2013,,,,,,,,,,,,,2.0,1.1,0.55
,,2013 - 2014,,,,,,,,,,,,,1.0,0.2,0.2
,,2014 - 2015,,,,,,,,,,,,,1.0,0.2,0.2
,,2015 - 2016,,,,,,,,,,,,,1.0,2.0,2.0
,Bargarh,2000 - 2001,,,,832.0,111.5,0.13,,,,,,,,,
,,2001 - 2002,,,,,370.2,0.31,,,,,,,,,
,,2002 - 2003,,,,,227.8,0.19,,,,,,,,,
,,2003 - 2004,,,,,460.0,0.34,,,,,,,,,
,,2004 - 2005,,,,,,,,,,,,,,398.7,0.31
,,2005 - 2006,,,,,,,,,,,,,,375.5,0.36
,,2006 - 2007,,,,,,,,,,,,,,333.7,0.31
,,2007 - 2008,,,,,,,,,,,,,,312.5,0.28
,,2008 - 2009,,,,,,,,,,,,,,327.7,0.31
,,2009 - 2010,,,,,,,,,,,,,,531.7,0.35
,,2010 - 2011,,,,,,,,,,,,,,492.0,0.36
,,2011 - 2012,,,,,,,,,,,,,876.0,266.3,0.3
,,2012 - 2013,,,,,,,,,,,,,,412.7,0.33
,,2013 - 2014,,,,,,,,,,,,,,321.0,0.32
,,2014 - 2015,,,,,,,,,,,,,770.0,217.9,0.28
,,2015 - 2016,,,,,,,,,,,,,547.0,151.0,0.28
,,2016 - 2017,,,,,,,,,,,,,331.0,104.6,0.32
,,2017 - 2018,,,,,,,,,,,,,185.0,62.0,0.34
,,2018 - 2019,,,,,,,,,,,,,350.0,117.3,0.34
,,2019 - 2020,,,,,,,,,,,,,300.0,81.0,0.27
,,2020 - 2021,,,,,,,,,,,,,355.0,111.1,0.31
,,2021 - 2022,,,,,,,,,,,,,274.0,72.9,0.27
,,2022 - 2023,,,,,,,,,,,,,357.0,126.7,0.35
,Bhadrak,2000 - 2001,,,,7.0,3.6,0.51,,,,,,,,,
,,2001 - 2002,,,,14.0,3.4,0.24,,,,,,,,,
,,2002 - 2003,,,,33.0,5.3,0.16,,,,,,,,,
,,2003 - 2004,,,,3.0,0.7,0.23,,,,,,,,,
,,2004 - 2005,,,,,,,,,,,,,1.0,0.3,0.3
,,2005 - 2006,,,,,,,,,,,,,3.0,0.8,0.27
,,2006 - 2007,,,,,,,,,,,,,4.0,0.8,0.2
,,2007 - 2008,,,,,,,,,,,,,7.0,1.6,0.23
,,2008 - 2009,,,,,,,,,,,,,4.0,2.0,0.5
,,2009 - 2010,,,,,,,,,,,,,16.0,4.0,0.25
,,2010 - 2011,,,,,,,2.0,0.7,0.35,,,,,,
,,2011 - 2012,,,,,,,,,,,,,46.0,6.5,0.14
,,2013 - 2014,,,,,,,1.0,0.2,0.2,,,,,,
,,2018 - 2019,,,,,,,,,,,,,3.0,2.7,0.9
,,2019 - 2020,,,,,,,,,,,,,8.0,11.0,1.38
,,2020 - 2021,,,,,,,3.0,0.9,0.3,,,,1.0,0.3,0.3
,,2021 - 2022,,,,,,,,,,,,,59.0,27.9,0.47
,Boudh,2000 - 2001,,,,,689.3,0.17,,,,,,,,,
,,2001 - 2002,,,,,907.4,0.25,,,,,,,,,
,,2002 - 2003,,,,,600.2,0.18,,,,,,,,,
,,2003 - 2004,,,,,,0.37,,,,,,,,,
,,2004 - 2005,,,,,,,,,,,,,,,0.28
,,2005 - 2006,,,,,,,6.0,1.3,0.22,,,,,789.2,0.26
,,2006 - 2007,,,,,,,3.0,1.1,0.37,,,,,963.0,0.26
,,2007 - 2008,,,,,,,,,,,,,,880.3,0.26
,,2008 - 2009,,,,,,,,,,,,,,764.3,0.25
,,2009 - 2010,,,,,,,,,,,,,,819.8,0.28
,,2010 - 2011,,,,,,,,,,,,,,791.5,0.21
,,2011 - 2012,,,,,,,,,,,,,,254.1,0.17
,,2012 - 2013,,,,,,,,,,,,,,882.6,0.31
,,2013 - 2014,,,,,,,,,,,,,,409.7,0.24
,,2014 - 2015,,,,,,,,,,,,,,479.6,0.23
,,2015 - 2016,,,,,,,,,,,,,940.0,151.3,0.16
,,2016 - 2017,,,,,,,,,,,,,,683.6,0.32
,,2017 - 2018,,,,,,,,,,,,,,402.2,0.37
,,2018 - 2019,,,,,,,,,,,,,610.0,128.1,0.21
,,2019 - 2020,,,,,,,,,,,,,516.0,117.6,0.23
,,2020 - 2021,,,,,,,,,,,,,669.0,164.6,0.25
