state,district,year,arhar_tur_rabi_area_hectare,arhar_tur_rabi_production_tonne,arhar_tur_rabi_yield_tonne_per_hectare,arhar_tur_kharif_area_hectare,arhar_tur_kharif_production_tonne,arhar_tur_kharif_yield_tonne_per_hectare,arhar_tur_winter_area_hectare,arhar_tur_winter_production_tonne,arhar_tur_winter_yield_tonne_per_hectare,arhar_tur_whole_year_area_hectare,arhar_tur_whole_year_production_tonne,arhar_tur_whole_year_yield_tonne_per_hectare
,,2002 - 2003,126.0,58.0,0.46,,,0.46,,,,,,
,,2003 - 2004,,,,,,0.66,,,,,,
,,2004 - 2005,12.0,7.0,0.58,,,0.56,,,,,,
,,2005 - 2006,,,,,,0.44,,,,,,
,,2006 - 2007,,,,,,0.59,,,,,,
,,2007 - 2008,,,,,,0.75,,,,,,
,,2008 - 2009,,,,,,0.61,,,,,,
,,2009 - 2010,243.0,176.0,0.72,,,0.72,,,,,,
,,2010 - 2011,159.0,72.0,0.45,,,0.45,,,,,,
,,2011 - 2012,1.0,1.0,1.0,,,0.6,,,,,,
,,2012 - 2013,,,,,,0.5,,,,,,
,,2013 - 2014,,,,978.0,577.0,0.59,,,,,,
,,2014 - 2015,,,,607.0,403.0,0.66,,,,,,
,,2015 - 2016,,,,,761.0,0.68,,,,,,
,,2016 - 2017,14.0,14.0,1.0,,,1.0,,,,,,
,,2017 - 2018,,,,,,1.36,,,,,,
,,2018 - 2019,144.0,118.0,0.82,,,0.82,,,,,,
,,2019 - 2020,6.0,3.0,0.5,,485.0,0.48,,,,,,
,,2020 - 2021,,,,379.0,287.0,0.76,,,,,,
,,2021 - 2022,,,,924.0,988.0,1.07,,,,,,
,,2022 - 2023,,,,5.0,2.0,0.4,,,,,,
,Kurnool,2000 - 2001,336.0,150.0,0.45,,,0.45,,,,,,
,,2001 - 2002,958.0,366.0,0.38,,,0.38,,,,,,
,,2002 - 2003,622.0,261.0,0.42,,,0.42,,,,,,
,,2003 - 2004,197.0,80.0,0.41,,,0.41,,,,,,
,,2004 - 2005,318.0,140.0,0.44,,,0.44,,,,,,
,,2005 - 2006,,,,,,0.73,,,,,,
,,2006 - 2007,202.0,60.0,0.3,,,0.3,,,,,,
,,2007 - 2008,,,,,,0.65,,,,,,
,,2008 - 2009,162.0,56.0,0.35,,,0.35,,,,,,
,,2009 - 2010,,,0.51,,,0.51,,,,,,
,,2010 - 2011,,889.0,0.43,,,0.43,,,,,,
,,2011 - 2012,760.0,201.0,0.26,,,0.26,,,,,,
,,2012 - 2013,,,,,,0.5,,,,,,
,,2013 - 2014,531.0,222.0,0.42,,,0.42,,,,,,
,,2014 - 2015,496.0,212.0,0.43,,,0.43,,,,,,
,,2015 - 2016,,896.0,0.35,,,0.35,,,,,,
,,2016 - 2017,,714.0,0.35,,,0.35,,,,,,
,,2017 - 2018,,487.0,0.44,,,0.44,,,,,,
,,2018 - 2019,,403.0,0.17,,,0.17,,,,,,
,,2019 - 2020,,,0.6,,,0.6,,,,,,
,,2020 - 2021,,,0.5,,,0.5,,,,,,
,,2021 - 2022,,402.0,0.3,,,0.3,,,,,,
,,2022 - 2023,94.0,29.0,0.31,,,0.61,,,,,,
,Nandyal,2022 - 2023,,442.0,0.31,,,0.43,,,,,,
,Ntr,2022 - 2023,,,,257.0,287.0,1.12,,,,,,
,Palnadu,2022 - 2023,,482.0,0.36,,,1.02,,,,,,
,Parvathipuram manyam,2022 - 2023,,,,562.0,260.0,0.46,,,,,,
,Prakasam,2000 - 2001,420.0,265.0,0.63,,,0.63,,,,,,
,,2001 - 2002,667.0,321.0,0.48,,,0.48,,,,,,
,,2002 - 2003,650.0,146.0,0.22,,,0.22,,,,,,
,,2003 - 2004,398.0,138.0,0.35,,,0.35,,,,,,
,,2004 - 2005,68.0,39.0,0.57,,,0.57,,,,,,
,,2005 - 2006,,,,,,0.52,,,,,,
,,2006 - 2007,76.0,21.0,0.28,,,0.27,,,,,,
,,2007 - 2008,,,,,,0.78,,,,,,
,,2008 - 2009,5.0,1.0,0.2,,,0.29,,,,,,
,,2009 - 2010,189.0,95.0,0.5,,,0.5,,,,,,
,,2010 - 2011,,,,,,0.34,,,,,,
,,2011 - 2012,,,,,,0.33,,,,,,
,,2012 - 2013,,,,,,0.67,,,,,,
,,2013 - 2014,45.0,41.0,0.91,,,0.91,,,,,,
,,2014 - 2015,10.0,7.0,0.7,,,0.72,,,,,,
,,2015 - 2016,79.0,68.0,0.86,,,0.86,,,,,,
,,2016 - 2017,,903.0,0.44,,,0.44,,,,,,
,,2017 - 2018,299.0,116.0,0.39,,,0.39,,,,,,
,,2018 - 2019,314.0,42.0,0.13,,,0.13,,,,,,
,,2019 - 2020,54.0,27.0,0.5,,,0.5,,,,,,
,,2020 - 2021,990.0,362.0,0.37,,,0.37,,,,,,
,,2021 - 2022,581.0,145.0,0.25,,,0.25,,,,,,
,,2022 - 2023,419.0,150.0,0.36,,,0.15,,,,,,
,Spsr nellore,2000 - 2001,894.0,495.0,0.55,,,0.55,,,,,,
,,2001 - 2002,108.0,63.0,0.58,643.0,375.0,0.58,,,,,,
,,2002 - 2003,579.0,203.0,0.35,402.0,141.0,0.35,,,,,,
,,2003 - 2004,586.0,248.0,0.42,,,0.42,,,,,,
,,2004 - 2005,562.0,372.0,0.66,975.0,645.0,0.66,,,,,,
,,2005 - 2006,,,,,,0.61,,,,,,
,,2006 - 2007,,,,363.0,175.0,0.48,,,,,,
,,2007 - 2008,,,,,,1.0,,,,,,
