state,district,year,arhar_tur_rabi_area_hectare,arhar_tur_rabi_production_tonne,arhar_tur_rabi_yield_tonne_per_hectare,arhar_tur_kharif_area_hectare,arhar_tur_kharif_production_tonne,arhar_tur_kharif_yield_tonne_per_hectare,arhar_tur_winter_area_hectare,arhar_tur_winter_production_tonne,arhar_tur_winter_yield_tonne_per_hectare,arhar_tur_whole_year_area_hectare,arhar_tur_whole_year_production_tonne,arhar_tur_whole_year_yield_tonne_per_hectare
,,2015 - 2016,,,,272.0,197.0,0.72,,,,,,
,,2016 - 2017,,,,941.0,,1.22,,,,,,
,,2017 - 2018,,,,606.0,,1.66,,,,,,
,,2018 - 2019,,,,463.0,345.0,0.75,,,,,,
,,2019 - 2020,,,,743.0,668.0,0.9,,,,,,
,,2020 - 2021,,,,464.0,336.0,0.72,,,,,,
,,2021 - 2022,,,,849.0,758.0,0.89,,,,,,
,,2022 - 2023,,,,571.0,714.0,1.25,,,,,,
,Bahraich,2000 - 2001,,,,,,0.56,,,,,,
,,2001 - 2002,,,,,,0.54,,,,,,
,,2003 - 2004,,,,,,0.62,,,,,,
,,2006 - 2007,,,,,,0.65,,,,,,
,,2007 - 2008,,,,,,0.77,,,,,,
,,2008 - 2009,,,,,,0.66,,,,,,
,,2009 - 2010,,,,,,0.43,,,,,,
,,2010 - 2011,,,,,,0.43,,,,,,
,,2011 - 2012,,,,,,0.4,,,,,,
,,2012 - 2013,,,,,,0.56,,,,,,
,,2013 - 2014,,,,,,0.55,,,,,,
,,2014 - 2015,,,,,,0.47,,,,,,
,,2015 - 2016,,,,,,0.71,,,,,,
,,2016 - 2017,,,,,,0.63,,,,,,
,,2017 - 2018,,,,,,0.64,,,,,,
,,2018 - 2019,,,,,,0.74,,,,,,
,,2019 - 2020,,,,,,0.36,,,,,,
,,2020 - 2021,,,,,,0.63,,,,,,
,,2021 - 2022,,,,,,0.66,,,,,,
,,2022 - 2023,,,,,,0.72,,,,,,
,Ballia,2000 - 2001,,,,,,1.02,,,,,,
,,2001 - 2002,,,,,,1.06,,,,,,
,,2003 - 2004,,,,,,0.65,,,,,,
,,2006 - 2007,,,,,,0.43,,,,,,
,,2007 - 2008,,,,,,0.69,,,,,,
,,2008 - 2009,,,,,879.0,0.2,,,,,,
,,2009 - 2010,,,,,,0.75,,,,,,
,,2010 - 2011,,,,,,1.46,,,,,,
,,2011 - 2012,,,,,,0.57,,,,,,
,,2012 - 2013,,,,,,1.12,,,,,,
,,2013 - 2014,,,,,,0.72,,,,,,
,,2014 - 2015,,,,,,1.1,,,,,,
,,2015 - 2016,,,,,,0.89,,,,,,
,,2016 - 2017,,,,,,1.06,,,,,,
,,2017 - 2018,,,,,,1.17,,,,,,
,,2018 - 2019,,,,,,1.1,,,,,,
,,2019 - 2020,,,,,,0.68,,,,,,
,,2020 - 2021,,,,,,0.93,,,,,,
,,2021 - 2022,,,,,,1.38,,,,,,
,,2022 - 2023,,,,,,1.38,,,,,,
,Balrampur,2000 - 2001,,,,,,0.46,,,,,,
,,2001 - 2002,,,,,,0.48,,,,,,
,,2003 - 2004,,,,,,0.47,,,,,,
,,2006 - 2007,,,,,,0.65,,,,,,
,,2007 - 2008,,,,,,0.77,,,,,,
,,2008 - 2009,,,,,,0.66,,,,,,
,,2009 - 2010,,,,,,0.43,,,,,,
,,2010 - 2011,,,,,,0.4,,,,,,
,,2011 - 2012,,,,,,0.39,,,,,,
,,2012 - 2013,,,,,,0.56,,,,,,
,,2013 - 2014,,,,,,0.54,,,,,,
,,2014 - 2015,,,,,,0.59,,,,,,
,,2015 - 2016,,,,,,0.65,,,,,,
,,2016 - 2017,,,,,,0.62,,,,,,
,,2017 - 2018,,,,,,0.74,,,,,,
,,2018 - 2019,,,,,,0.65,,,,,,
,,2019 - 2020,,,,,,0.42,,,,,,
,,2020 - 2021,,,,,,0.65,,,,,,
,,2021 - 2022,,,,,,0.58,,,,,,
,,2022 - 2023,,,,,,0.72,,,,,,
,Banda,2000 - 2001,,,,,,1.71,,,,,,
,,2001 - 2002,,,,,,1.08,,,,,,
,,2003 - 2004,,,,,,1.94,,,,,,
,,2006 - 2007,,,,,,0.8,,,,,,
,,2007 - 2008,,,,,,0.68,,,,,,
,,2008 - 2009,,,,,,0.93,,,,,,
,,2009 - 2010,,,,,,0.5,,,,,,
,,2010 - 2011,,,,,,0.81,,,,,,
,,2011 - 2012,,,,,,1.38,,,,,,
,,2012 - 2013,,,,,,1.07,,,,,,
,,2013 - 2014,,,,,,0.93,,,,,,
,,2014 - 2015,,,,,,0.2,,,,,,
,,2015 - 2016,,,,,,0.45,,,,,,
,,2016 - 2017,,,,,,1.13,,,,,,
,,2017 - 2018,,,,,,1.51,,,,,,
,,2018 - 2019,,,,,,1.44,,,,,,
,,2019 - 2020,,,,,,1.83,,,,,,
,,2020 - 2021,,,,,,2.08,,,,,,
,,2021 - 2022,,,,,,2.1,,,,,,
,,2022 - 2023,,,,,,1.59,,,,,,
,Barabanki,2000 - 2001,,,,,,1.01,,,,,,
,,2001 - 2002,,,,,,1.05,,,,,,
,,2003 - 2004,,,,,,0.95,,,,,,
,,2006 - 2007,,,,,,0.71,,,,,,
,,2007 - 2008,,,,,,1.16,,,,,,
,,2008 - 2009,,,,,,0.93,,,,,,
,,2009 - 2010,,,,,,1.05,,,,,,
,,2010 - 2011,,,,,,0.9,,,,,,
,,2011 - 2012,,,,,,1.09,,,,,,
,,2012 - 2013,,,,,,1.04,,,,,,
,,2013 - 2014,,,,,,0.77,,,,,,
,,2014 - 2015,,,,,762.0,0.49,,,,,,
,,2015 - 2016,,,,,841.0,0.81,,,,,,
,,2016 - 2017,,,,,,0.84,,,,,,
,,2017 - 2018,,,,,,0.76,,,,,,
,,2018 - 2019,,,,985.0,897.0,0.91,,,,,,
,,2019 - 2020,,,,,,1.19,,,,,,
,,2020 - 2021,,,,,,1.29,,,,,,
,,2021 - 2022,,,,,,1.05,,,,,,
,,2022 - 2023,,,,,,0.83,,,,,,
,Bareilly,2000 - 2001,,,,503.0,434.0,0.86,,,,,,
,,2001 - 2002,,,,454.0,469.0,1.03,,,,,,
,,2003 - 2004,,,,201.0,200.0,1.0,,,,,,
,,2006 - 2007,,,,160.0,135.0,0.84,,,,,,
,,2007 - 2008,,,,198.0,173.0,0.87,,,,,,
,,2008 - 2009,,,,37.0,32.0,0.86,,,,,,
,,2009 - 2010,,,,79.0,63.0,0.8,,,,,,
,,2010 - 2011,,,,75.0,57.0,0.76,,,,,,
,,2011 - 2012,,,,57.0,52.0,0.91,,,,,,
,,2012 - 2013,,,,54.0,53.0,0.98,,,,,,
,,2013 - 2014,,,,42.0,37.0,0.88,,,,,,
,,2014 - 2015,,,,21.0,15.0,0.71,,,,,,
,,2015 - 2016,,,,5.0,3.0,0.6,,,,,,
,,2016 - 2017,,,,,,0.82,,,,,,
,,2017 - 2018,,,,36.0,33.0,0.92,,,,,,
,,2018 - 2019,,,,23.0,18.0,0.78,,,,,,
,,2019 - 2020,,,,335.0,340.0,1.01,,,,,,
,,2020 - 2021,,,,16.0,20.0,1.25,,,,,,
,,2021 - 2022,,,,71.0,92.0,1.3,,,,,,
,,2022 - 2023,,,,123.0,154.0,1.25,,,,,,
,Basti,2000 - 2001,,,,,,0.9,,,,,,
,,2001 - 2002,,,,,,0.61,,,,,,
,,2003 - 2004,,,,,,0.31,,,,,,
,,2006 - 2007,,,,,,0.65,,,,,,
,,2007 - 2008,,,,,,0.76,,,,,,
,,2008 - 2009,,,,,,0.65,,,,,,
,,2009 - 2010,,,,,,0.65,,,,,,
,,2010 - 2011,,,,,,0.63,,,,,,
,,2011 - 2012,,,,,,0.75,,,,,,
,,2012 - 2013,,,,,,0.85,,,,,,
,,2013 - 2014,,,,,,0.87,,,,,,
,,2014 - 2015,,,,,,0.63,,,,,,
,,2015 - 2016,,,,,,0.65,,,,,,
,,2016 - 2017,,,,,,0.75,,,,,,
,,2017 - 2018,,,,,,0.71,,,,,,
,,2018 - 2019,,,,,,0.73,,,,,,
,,2019 - 2020,,,,,,0.59,,,,,,
,,2020 - 2021,,,,,,0.59,,,,,,
,,2021 - 2022,,,,,,0.88,,,,,,
,,2022 - 2023,,,,,,1.25,,,,,,
,Bijnor,2000 - 2001,,,,219.0,243.0,1.11,,,,,,
,,2001 - 2002,,,,174.0,159.0,0.91,,,,,,
,,2003 - 2004,,,,133.0,109.0,0.82,,,,,,
,,2006 - 2007,,,,155.0,103.0,0.66,,,,,,
,,2007 - 2008,,,,51.0,43.0,0.84,,,,,,
,,2008 - 2009,,,,44.0,36.0,0.82,,,,,,
,,2009 - 2010,,,,54.0,36.0,0.67,,,,,,
,,2010 - 2011,,,,10.0,7.0,0.7,,,,,,
,,2011 - 2012,,,,26.0,21.0,0.81,,,,,,
,,2012 - 2013,,,,9.0,8.0,0.89,,,,,,
,,2013 - 2014,,,,6.0,5.0,0.83,,,,,,
,,2014 - 2015,,,,11.0,7.0,0.64,,,,,,
,,2015 - 2016,,,,8.0,5.0,0.63,,,,,,
,,2016 - 2017,,,,25.0,27.0,1.08,,,,,,
,,2017 - 2018,,,,4.0,3.0,0.75,,,,,,
,,2018 - 2019,,,,6.0,9.0,1.5,,,,,,
,,2019 - 2020,,,,8.0,6.0,0.75,,,,,,
,,2020 - 2021,,,,6.0,6.0,1.0,,,,,,
,,2022 - 2023,,,,7.0,9.0,1.29,,,,,,
,Budaun,2000 - 2001,,,,,,0.86,,,,,,
,,2001 - 2002,,,,,,1.03,,,,,,
,,2003 - 2004,,,,,,1.0,,,,,,
,,2006 - 2007,,,,,,0.84,,,,,,
,,2007 - 2008,,,,627.0,547.0,0.87,,,,,,
,,2008 - 2009,,,,,,0.86,,,,,,
,,2009 - 2010,,,,,816.0,0.8,,,,,,
,,2010 - 2011,,,,907.0,683.0,0.75,,,,,,
,,2011 - 2012,,,,624.0,569.0,0.91,,,,,,
,,2012 - 2013,,,,,,0.97,,,,,,
,,2013 - 2014,,,,271.0,237.0,0.87,,,,,,
,,2014 - 2015,,,,353.0,254.0,0.72,,,,,,
,,2015 - 2016,,,,461.0,302.0,0.66,,,,,,
,,2016 - 2017,,,,,,0.82,,,,,,
,,2017 - 2018,,,,109.0,99.0,0.91,,,,,,
,,2019 - 2020,,,,311.0,316.0,1.02,,,,,,
,,2020 - 2021,,,,477.0,423.0,0.89,,,,,,
,,2021 - 2022,,,,622.0,590.0,0.95,,,,,,
,,2022 - 2023,,,,314.0,393.0,1.25,,,,,,
,Bulandshahr,2000 - 2001,,,,,,0.77,,,,,,
,,2001 - 2002,,,,,,0.67,,,,,,
,,2003 - 2004,,,,,,0.84,,,,,,
,,2006 - 2007,,,,,,0.82,,,,,,
,,2007 - 2008,,,,,,0.9,,,,,,
,,2008 - 2009,,,,,,0.76,,,,,,
,,2009 - 2010,,,,,,0.8,,,,,,
,,2010 - 2011,,,,,,0.65,,,,,,
,,2011 - 2012,,,,,,0.69,,,,,,
,,2012 - 2013,,,,,,1.0,,,,,,
,,2013 - 2014,,,,,,0.76,,,,,,
,,2014 - 2015,,,,,,0.81,,,,,,
,,2015 - 2016,,,,,,0.73,,,,,,
,,2016 - 2017,,,,,,0.51,,,,,,
,,2017 - 2018,,,,,,0.73,,,,,,
,,2018 - 2019,,,,,,0.8,,,,,,
,,2019 - 2020,,,,,,0.91,,,,,,
,,2020 - 2021,,,,,,0.73,,,,,,
,,2021 - 2022,,,,,,0.85,,,,,,
,,2022 - 2023,,,,,,1.25,,,,,,
,Chandauli,2000 - 2001,,,,,,1.25,,,,,,
,,2001 - 2002,,,,,,0.92,,,,,,
,,2003 - 2004,,,,,,0.87,,,,,,
,,2006 - 2007,,,,,,0.77,,,,,,
,,2007 - 2008,,,,,,0.92,,,,,,
,,2008 - 2009,,,,,,0.79,,,,,,
,,2009 - 2010,,,,,,0.57,,,,,,
,,2010 - 2011,,,,,,0.77,,,,,,
,,2011 - 2012,,,,,,0.93,,,,,,
,,2012 - 2013,,,,,,1.06,,,,,,
,,2013 - 2014,,,,,,0.96,,,,,,
,,2014 - 2015,,,,,,1.13,,,,,,
,,2015 - 2016,,,,,,0.88,,,,,,
,,2016 - 2017,,,,,,0.75,,,,,,
,,2017 - 2018,,,,,,1.25,,,,,,
,,2018 - 2019,,,,,,1.1,,,,,,
,,2019 - 2020,,,,,,0.86,,,,,,
,,2020 - 2021,,,,,,0.94,,,,,,
,,2021 - 2022,,,,,,1.04,,,,,,
,,2022 - 2023,,,,,,1.04,,,,,,
,Chitrakoot,2000 - 2001,,,,,,1.3,,,,,,
,,2001 - 2002,,,,,,1.6,,,,,,
,,2003 - 2004,,,,,,2.02,,,,,,
,,2006 - 2007,,,,,,0.54,,,,,,
,,2007 - 2008,,,,,,0.65,,,,,,
,,2008 - 2009,,,,,,1.08,,,,,,
,,2009 - 2010,,,,,,0.64,,,,,,
,,2010 - 2011,,,,,,0.68,,,,,,
,,2011 - 2012,,,,,,1.45,,,,,,
,,2012 - 2013,,,,,,0.83,,,,,,
,,2013 - 2014,,,,,,0.45,,,,,,
,,2014 - 2015,,,,,339.0,0.03,,,,,,
,,2015 - 2016,,,,,,0.24,,,,,,
,,2016 - 2017,,,,,,1.11,,,,,,
,,2017 - 2018,,,,,,1.37,,,,,,
,,2018 - 2019,,,,,,1.27,,,,,,
,,2019 - 2020,,,,,,0.89,,,,,,
,,2020 - 2021,,,,,,1.6,,,,,,
,,2021 - 2022,,,,,,1.76,,,,,,
,,2022 - 2023,,,,,,1.65,,,,,,
,Deoria,2000 - 2001,,,,,,0.8,,,,,,
,,2001 - 2002,,,,,,0.58,,,,,,
,,2003 - 2004,,,,,,0.46,,,,,,
,,2006 - 2007,,,,,,0.54,,,,,,
,,2007 - 2008,,,,,,0.6,,,,,,
,,2008 - 2009,,,,,,0.65,,,,,,
,,2009 - 2010,,,,,,0.65,,,,,,
,,2010 - 2011,,,,,,0.73,,,,,,
,,2011 - 2012,,,,,,1.03,,,,,,
,,2012 - 2013,,,,,,0.67,,,,,,
,,2013 - 2014,,,,,,0.92,,,,,,
,,2014 - 2015,,,,,,0.36,,,,,,
,,2015 - 2016,,,,,,0.66,,,,,,
,,2016 - 2017,,,,,,0.93,,,,,,
,,2017 - 2018,,,,,,0.54,,,,,,
,,2018 - 2019,,,,,,0.63,,,,,,
,,2019 - 2020,,,,,962.0,0.22,,,,,,
,,2020 - 2021,,,,,,0.5,,,,,,
,,2021 - 2022,,,,,,0.42,,,,,,
,,2022 - 2023,,,,,,0.56,,,,,,
,Etah,2000 - 2001,,,,,,0.87,,,,,,
,,2001 - 2002,,,,,,0.8,,,,,,
,,2003 - 2004,,,,,,0.65,,,,,,
,,2006 - 2007,,,,,,1.06,,,,,,
,,2007 - 2008,,,,,,0.93,,,,,,
,,2008 - 2009,,,,,,1.09,,,,,,
,,2009 - 2010,,,,,,1.38,,,,,,
,,2010 - 2011,,,,,,1.35,,,,,,
,,2011 - 2012,,,,,,1.22,,,,,,
,,2012 - 2013,,,,,,1.33,,,,,,
,,2013 - 2014,,,,,,1.39,,,,,,
,,2014 - 2015,,,,690.0,799.0,1.16,,,,,,
,,2015 - 2016,,,,,,0.95,,,,,,
,,2016 - 2017,,,,,,0.9,,,,,,
,,2017 - 2018,,,,,,0.76,,,,,,
,,2018 - 2019,,,,,,0.75,,,,,,
,,2019 - 2020,,,,,,0.73,,,,,,
,,2020 - 2021,,,,,,0.72,,,,,,
,,2021 - 2022,,,,,,0.56,,,,,,
,,2022 - 2023,,,,,,0.63,,,,,,
,Etawah,2000 - 2001,,,,,,0.84,,,,,,
,,2001 - 2002,,,,,,1.42,,,,,,
,,2003 - 2004,,,,,,1.52,,,,,,
,,2006 - 2007,,,,,,0.7,,,,,,
,,2007 - 2008,,,,,,2.63,,,,,,
,,2008 - 2009,,,,,,1.55,,,,,,
,,2009 - 2010,,,,,,1.51,,,,,,
,,2010 - 2011,,,,,,1.17,,,,,,
,,2011 - 2012,,,,,,2.22,,,,,,
,,2012 - 2013,,,,,,1.99,,,,,,
,,2013 - 2014,,,,,,1.02,,,,,,
,,2014 - 2015,,,,,835.0,0.49,,,,,,
,,2015 - 2016,,,,,620.0,0.42,,,,,,
,,2016 - 2017,,,,,,2.95,,,,,,
,,2017 - 2018,,,,,,2.43,,,,,,
,,2018 - 2019,,,,,,2.53,,,,,,
,,2019 - 2020,,,,,,1.81,,,,,,
,,2020 - 2021,,,,,,1.21,,,,,,
,,2021 - 2022,,,,,,1.57,,,,,,
,,2022 - 2023,,,,,,1.57,,,,,,
,Faizabad,2000 - 2001,,,,,,1.09,,,,,,
,,2001 - 2002,,,,,,0.92,,,,,,
,,2003 - 2004,,,,,,1.36,,,,,,
,,2006 - 2007,,,,,,0.98,,,,,,
,,2007 - 2008,,,,,,1.16,,,,,,
,,2008 - 2009,,,,,,0.93,,,,,,
,,2009 - 2010,,,,,,1.05,,,,,,
,,2010 - 2011,,,,,,1.63,,,,,,
,,2011 - 2012,,,,,,1.15,,,,,,
,,2012 - 2013,,,,,,1.04,,,,,,
,,2013 - 2014,,,,,,0.77,,,,,,
,,2014 - 2015,,,,,769.0,0.48,,,,,,
,,2015 - 2016,,,,,,0.85,,,,,,
,,2016 - 2017,,,,,,0.84,,,,,,
,,2017 - 2018,,,,,,0.76,,,,,,
,,2018 - 2019,,,,835.0,761.0,0.91,,,,,,
,,2019 - 2020,,,,,,1.39,,,,,,
,,2020 - 2021,,,,,,1.46,,,,,,
,,2021 - 2022,,,,,,1.31,,,,,,
,,2022 - 2023,,,,,,0.83,,,,,,
,Farrukhabad,2000 - 2001,,,,,,1.22,,,,,,
,,2001 - 2002,,,,,,1.26,,,,,,
,,2003 - 2004,,,,,,0.89,,,,,,
,,2006 - 2007,,,,,930.0,0.69,,,,,,
,,2007 - 2008,,,,,,1.03,,,,,,
,,2008 - 2009,,,,,,1.3,,,,,,
,,2009 - 2010,,,,,903.0,0.79,,,,,,
,,2010 - 2011,,,,,,0.94,,,,,,
,,2011 - 2012,,,,,,1.34,,,,,,
,,2012 - 2013,,,,,,1.16,,,,,,
,,2013 - 2014,,,,,,1.02,,,,,,
,,2014 - 2015,,,,,582.0,0.49,,,,,,
,,2015 - 2016,,,,,995.0,0.42,,,,,,
,,2016 - 2017,,,,,,1.42,,,,,,
,,2017 - 2018,,,,,,1.3,,,,,,
,,2018 - 2019,,,,411.0,614.0,1.49,,,,,,
,,2019 - 2020,,,,640.0,,1.81,,,,,,
,,2020 - 2021,,,,,,1.29,,,,,,
,,2021 - 2022,,,,,,1.16,,,,,,
,,2022 - 2023,,,,,,1.61,,,,,,
,Fatehpur,2000 - 2001,,,,,,2.12,,,,,,
,,2001 - 2002,,,,,,2.63,,,,,,
,,2003 - 2004,,,,,,2.19,,,,,,
,,2006 - 2007,,,,,,0.72,,,,,,
,,2007 - 2008,,,,,,0.85,,,,,,
,,2008 - 2009,,,,,,0.86,,,,,,
,,2009 - 2010,,,,,,0.46,,,,,,
,,2010 - 2011,,,,,,0.95,,,,,,
,,2011 - 2012,,,,,,1.05,,,,,,
,,2012 - 2013,,,,,,0.97,,,,,,
,,2013 - 2014,,,,,,0.9,,,,,,
,,2014 - 2015,,,,,,0.2,,,,,,
,,2015 - 2016,,,,,,0.58,,,,,,
,,2016 - 2017,,,,,,1.08,,,,,,
,,2017 - 2018,,,,,,1.17,,,,,,
,,2018 - 2019,,,,,,1.11,,,,,,
,,2019 - 2020,,,,,,1.11,,,,,,
,,2020 - 2021,,,,,,1.36,,,,,,
,,2021 - 2022,,,,,,0.96,,,,,,
,,2022 - 2023,,,,,,1.45,,,,,,
,Firozabad,2000 - 2001,,,,,887.0,0.66,,,,,,
,,2001 - 2002,,,,,,0.71,,,,,,
,,2003 - 2004,,,,675.0,654.0,0.97,,,,,,
,,2006 - 2007,,,,,868.0,0.85,,,,,,
,,2007 - 2008,,,,667.0,648.0,0.97,,,,,,
,,2008 - 2009,,,,,,0.78,,,,,,
,,2009 - 2010,,,,,847.0,0.66,,,,,,
,,2010 - 2011,,,,,894.0,0.68,,,,,,
,,2011 - 2012,,,,,955.0,0.88,,,,,,
,,2012 - 2013,,,,,,1.13,,,,,,
,,2013 - 2014,,,,,,1.26,,,,,,
,,2014 - 2015,,,,,,1.08,,,,,,
,,2015 - 2016,,,,979.0,475.0,0.49,,,,,,
,,2016 - 2017,,,,,,0.9,,,,,,
,,2017 - 2018,,,,536.0,663.0,1.24,,,,,,
,,2018 - 2019,,,,,,1.12,,,,,,
,,2019 - 2020,,,,738.0,794.0,1.08,,,,,,
,,2020 - 2021,,,,,,1.88,,,,,,
,,2021 - 2022,,,,,,1.6,,,,,,
,,2022 - 2023,,,,,,1.5,,,,,,
,Gautam buddha nagar,2000 - 2001,,,,,,0.78,,,,,,
,,2001 - 2002,,,,,,1.09,,,,,,
,,2003 - 2004,,,,,,1.04,,,,,,
,,2006 - 2007,,,,,,1.57,,,,,,
,,2007 - 2008,,,,,975.0,0.56,,,,,,
,,2008 - 2009,,,,,,0.76,,,,,,
,,2009 - 2010,,,,,,0.8,,,,,,
,,2010 - 2011,,,,,,0.74,,,,,,
,,2011 - 2012,,,,,881.0,0.82,,,,,,
,,2012 - 2013,,,,,,0.86,,,,,,
,,2013 - 2014,,,,,,1.13,,,,,,
,,2014 - 2015,,,,932.0,595.0,0.64,,,,,,
,,2015 - 2016,,,,541.0,392.0,0.72,,,,,,
,,2016 - 2017,,,,,,1.22,,,,,,
,,2017 - 2018,,,,,,1.66,,,,,,
,,2018 - 2019,,,,254.0,189.0,0.74,,,,,,
,,2019 - 2020,,,,,,0.9,,,,,,
,,2020 - 2021,,,,,898.0,0.72,,,,,,
,,2021 - 2022,,,,,,0.88,,,,,,
,,2022 - 2023,,,,,,1.25,,,,,,
,Ghaziabad,2000 - 2001,,,,,,0.78,,,,,,
,,2001 - 2002,,,,,,0.76,,,,,,
,,2003 - 2004,,,,,,0.85,,,,,,
,,2006 - 2007,,,,,,0.96,,,,,,
,,2007 - 2008,,,,,,0.85,,,,,,
,,2008 - 2009,,,,,,0.76,,,,,,
,,2009 - 2010,,,,,,0.8,,,,,,
,,2010 - 2011,,,,,,0.66,,,,,,
,,2011 - 2012,,,,,,0.7,,,,,,
,,2012 - 2013,,,,711.0,697.0,0.98,,,,,,
,,2013 - 2014,,,,726.0,507.0,0.7,,,,,,
,,2014 - 2015,,,,479.0,235.0,0.49,,,,,,
,,2015 - 2016,,,,268.0,194.0,0.72,,,,,,
,,2016 - 2017,,,,,,1.22,,,,,,
,,2017 - 2018,,,,687.0,,1.66,,,,,,
,,2018 - 2019,,,,554.0,413.0,0.75,,,,,,
,,2019 - 2020,,,,645.0,579.0,0.9,,,,,,
,,2020 - 2021,,,,674.0,489.0,0.73,,,,,,
,,2021 - 2022,,,,,903.0,0.88,,,,,,
,,2022 - 2023,,,,632.0,791.0,1.25,,,,,,
,Ghazipur,2000 - 2001,,,,,,1.66,,,,,,
,,2001 - 2002,,,,,,1.19,,,,,,
,,2003 - 2004,,,,,,0.93,,,,,,
,,2006 - 2007,,,,,,0.95,,,,,,
,,2007 - 2008,,,,,,1.04,,,,,,
,,2008 - 2009,,,,,,0.79,,,,,,
,,2009 - 2010,,,,,,0.57,,,,,,
,,2010 - 2011,,,,,,0.77,,,,,,
,,2011 - 2012,,,,,,0.93,,,,,,
,,2012 - 2013,,,,,,1.14,,,,,,
,,2013 - 2014,,,,,,0.83,,,,,,
,,2014 - 2015,,,,,,1.1,,,,,,
,,2015 - 2016,,,,,,0.87,,,,,,
,,2016 - 2017,,,,,,0.88,,,,,,
,,2017 - 2018,,,,,,1.27,,,,,,
,,2018 - 2019,,,,,,1.23,,,,,,
,,2019 - 2020,,,,,,1.02,,,,,,
,,2020 - 2021,,,,,,1.47,,,,,,
,,2021 - 2022,,,,,,1.15,,,,,,
,,2022 - 2023,,,,,,1.15,,,,,,
,Gonda,2000 - 2001,,,,,,0.56,,,,,,
,,2001 - 2002,,,,,,0.55,,,,,,
,,2003 - 2004,,,,,,0.42,,,,,,
,,2006 - 2007,,,,,,0.65,,,,,,
,,2007 - 2008,,,,,,0.77,,,,,,
,,2008 - 2009,,,,,,0.66,,,,,,
,,2009 - 2010,,,,,,0.43,,,,,,
,,2010 - 2011,,,,,,0.4,,,,,,
,,2011 - 2012,,,,,,0.39,,,,,,
,,2012 - 2013,,,,,,0.64,,,,,,
,,2013 - 2014,,,,,,0.62,,,,,,
,,2014 - 2015,,,,,,0.59,,,,,,
,,2015 - 2016,,,,,,0.66,,,,,,
,,2016 - 2017,,,,,,0.62,,,,,,
,,2017 - 2018,,,,,,0.74,,,,,,
,,2018 - 2019,,,,,,0.65,,,,,,
,,2019 - 2020,,,,,,0.42,,,,,,
,,2020 - 2021,,,,,,0.65,,,,,,
,,2021 - 2022,,,,,,0.58,,,,,,
,,2022 - 2023,,,,,,0.72,,,,,,
,Gorakhpur,2000 - 2001,,,,,,0.8,,,,,,
,,2001 - 2002,,,,,,0.43,,,,,,
,,2003 - 2004,,,,,,0.57,,,,,,
,,2006 - 2007,,,,,,0.54,,,,,,
,,2007 - 2008,,,,,,0.6,,,,,,
,,2008 - 2009,,,,,,0.65,,,,,,
,,2009 - 2010,,,,,,0.65,,,,,,
,,2010 - 2011,,,,,,0.63,,,,,,
,,2011 - 2012,,,,,,0.82,,,,,,
,,2012 - 2013,,,,,,0.72,,,,,,
,,2013 - 2014,,,,,,0.93,,,,,,
,,2014 - 2015,,,,,,0.36,,,,,,
,,2015 - 2016,,,,,,0.66,,,,,,
,,2016 - 2017,,,,,,0.93,,,,,,
,,2017 - 2018,,,,,,0.54,,,,,,
,,2018 - 2019,,,,,,0.63,,,,,,
,,2019 - 2020,,,,,719.0,0.22,,,,,,
,,2020 - 2021,,,,,,0.72,,,,,,
,,2021 - 2022,,,,,,0.78,,,,,,
,,2022 - 2023,,,,,,0.78,,,,,,
,Hamirpur,2000 - 2001,,,,,,0.9,,,,,,
,,2001 - 2002,,,,,,1.03,,,,,,
,,2003 - 2004,,,,,,1.45,,,,,,
,,2006 - 2007,,,,,,0.63,,,,,,
,,2007 - 2008,,,,,,0.45,,,,,,
,,2008 - 2009,,,,,,0.8,,,,,,
,,2009 - 2010,,,,,,0.62,,,,,,
,,2010 - 2011,,,,,,0.9,,,,,,
,,2011 - 2012,,,,,,1.06,,,,,,
,,2012 - 2013,,,,,,0.96,,,,,,
,,2013 - 2014,,,,,,1.12,,,,,,
,,2014 - 2015,,,,,,0.24,,,,,,
,,2015 - 2016,,,,,,0.46,,,,,,
,,2016 - 2017,,,,,,0.93,,,,,,
,,2017 - 2018,,,,,,1.01,,,,,,
,,2018 - 2019,,,,,,1.23,,,,,,
,,2019 - 2020,,,,,,1.09,,,,,,
,,2020 - 2021,,,,,,1.28,,,,,,
,,2021 - 2022,,,,,,1.33,,,,,,
,,2022 - 2023,,,,,,1.24,,,,,,
,Hapur,2012 - 2013,,,,942.0,924.0,0.98,,,,,,
,,2013 - 2014,,,,,746.0,0.7,,,,,,
,,2014 - 2015,,,,730.0,563.0,0.77,,,,,,
,,2015 - 2016,,,,744.0,538.0,0.72,,,,,,
,,2016 - 2017,,,,,,1.22,,,,,,
,,2017 - 2018,,,,845.0,,1.66,,,,,,
,,2018 - 2019,,,,,846.0,0.75,,,,,,
,,2019 - 2020,,,,673.0,605.0,0.9,,,,,,
,,2020 - 2021,,,,,793.0,0.73,,,,,,
,,2021 - 2022,,,,,903.0,0.88,,,,,,
,,2022 - 2023,,,,,,1.25,,,,,,
,Hardoi,2000 - 2001,,,,,,0.9,,,,,,
,,2001 - 2002,,,,,,1.05,,,,,,
,,2003 - 2004,,,,,,1.13,,,,,,
,,2006 - 2007,,,,,,0.8,,,,,,
,,2007 - 2008,,,,,,1.01,,,,,,
