state,district,year,garlic_whole_year_area_hectare,garlic_whole_year_production_tonne,garlic_whole_year_yield_tonne_per_hectare,garlic_rabi_area_hectare,garlic_rabi_production_tonne,garlic_rabi_yield_tonne_per_hectare,garlic_kharif_area_hectare,garlic_kharif_production_tonne,garlic_kharif_yield_tonne_per_hectare
,,2003 - 2004,16.0,37.0,2.31,,,,,,
,,2004 - 2005,1.0,2.0,2.0,,,,,,
,,2005 - 2006,4.0,11.0,2.75,,,,,,
,,2007 - 2008,1.0,3.0,3.0,,,,,,
,,2008 - 2009,1.0,3.0,3.0,,,,,,
,,2009 - 2010,10.0,28.0,2.8,,,,,,
,,2010 - 2011,1.0,3.0,3.0,,,,,,
,,2011 - 2012,3.0,8.0,2.67,,,,,,
,,2012 - 2013,1.0,3.0,3.0,,,,,,
,,2013 - 2014,5.0,14.0,2.8,,,,,,
,,2015 - 2016,2.0,6.0,3.0,,,,,,
,,2016 - 2017,1.0,3.0,3.0,,,,,,
,Durg,2001 - 2002,1.0,3.0,3.0,,,,,,
,,2002 - 2003,1.0,3.0,3.0,,,,,,
,,2003 - 2004,8.0,27.0,3.38,,,,,,
,,2005 - 2006,8.0,25.0,3.13,,,,,,
,,2009 - 2010,6.0,,0.0,,,,,,
,,2010 - 2011,13.0,39.0,3.0,,,,,,
,,2011 - 2012,108.0,316.0,2.93,,,,,,
,,2012 - 2013,2.0,6.0,3.0,,,,,,
,Gariyaband,2011 - 2012,5.0,12.0,2.4,,,,,,
,,2012 - 2013,5.0,13.0,2.6,,,,,,
,,2013 - 2014,3.0,8.0,2.67,,,,,,
,,2014 - 2015,3.0,8.0,2.67,,,,,,
,,2015 - 2016,3.0,8.0,2.67,,,,,,
,,2016 - 2017,9.0,25.0,2.78,,,,,,
,,2017 - 2018,1.0,3.0,3.0,,,,,,
,,2018 - 2019,1.0,3.0,3.0,,,,,,
,,2019 - 2020,5.0,15.0,3.0,,,,,,
,,2020 - 2021,1.0,4.0,4.0,,,,,,
,Gaurella-pendra-marwahi,2019 - 2020,9.0,37.0,4.11,,,,,,
,,2020 - 2021,2.0,10.0,5.0,,,,,,
,,2021 - 2022,1.0,4.0,4.0,,,,,,
,,2022 - 2023,1.0,4.0,4.0,,,,,,
,Janjgir-champa,2000 - 2001,22.0,77.0,3.5,,,,,,
,,2001 - 2002,22.0,79.0,3.59,,,,,,
,,2002 - 2003,21.0,75.0,3.57,,,,,,
,,2003 - 2004,26.0,98.0,3.77,,,,,,
,,2004 - 2005,18.0,63.0,3.5,,,,,,
,,2005 - 2006,16.0,54.0,3.38,,,,,,
,,2006 - 2007,20.0,71.0,3.55,,,,,,
,,2007 - 2008,18.0,62.0,3.44,,,,,,
,,2008 - 2009,15.0,50.0,3.33,,,,,,
,,2009 - 2010,18.0,69.0,3.83,,,,,,
,,2010 - 2011,19.0,56.0,2.95,,,,,,
,,2011 - 2012,21.0,74.0,3.52,,,,,,
,,2012 - 2013,19.0,67.0,3.53,,,,,,
,,2013 - 2014,18.0,63.0,3.5,,,,,,
,,2014 - 2015,18.0,53.0,2.94,,,,,,
,,2015 - 2016,18.0,63.0,3.5,,,,,,
,,2016 - 2017,16.0,56.0,3.5,,,,,,
,,2017 - 2018,26.0,91.0,3.5,,,,,,
,,2018 - 2019,25.0,88.0,3.52,,,,,,
,,2019 - 2020,4.0,14.0,3.5,,,,,,
,,2020 - 2021,4.0,14.0,3.5,,,,,,
,,2021 - 2022,4.0,15.0,3.75,,,,,,
,Jashpur,2000 - 2001,80.0,239.0,2.99,,,,,,
,,2001 - 2002,77.0,222.0,2.88,,,,,,
,,2002 - 2003,85.0,250.0,2.94,,,,,,
,,2003 - 2004,95.0,270.0,2.84,,,,,,
,,2004 - 2005,98.0,278.0,2.84,,,,,,
,,2005 - 2006,96.0,292.0,3.04,,,,,,
,,2006 - 2007,98.0,278.0,2.84,,,,,,
,,2007 - 2008,111.0,332.0,2.99,,,,,,
,,2008 - 2009,106.0,302.0,2.85,,,,,,
,,2009 - 2010,121.0,339.0,2.8,,,,,,
,,2010 - 2011,137.0,396.0,2.89,,,,,,
,,2011 - 2012,140.0,405.0,2.89,,,,,,
,,2012 - 2013,161.0,466.0,2.89,,,,,,
,,2013 - 2014,161.0,473.0,2.94,,,,,,
,,2014 - 2015,162.0,468.0,2.89,,,,,,
,,2015 - 2016,180.0,520.0,2.89,,,,,,
,,2016 - 2017,193.0,530.0,2.75,,,,,,
,,2017 - 2018,169.0,481.0,2.85,,,,,,
,,2018 - 2019,177.0,504.0,2.85,,,,,,
,,2019 - 2020,185.0,535.0,2.89,,,,,,
,,2020 - 2021,180.0,502.0,2.79,,,,,,
,,2021 - 2022,189.0,528.0,2.79,,,,,,
,,2022 - 2023,188.0,525.0,2.79,,,,,,
,Kabirdham,2010 - 2011,11.0,14.0,1.27,,,,,,
,,2011 - 2012,11.0,26.0,2.36,,,,,,
,Kanker,2000 - 2001,18.0,53.0,2.94,,,,,,
,,2001 - 2002,18.0,62.0,3.44,,,,,,
,,2002 - 2003,12.0,33.0,2.75,,,,,,
,,2003 - 2004,21.0,72.0,3.43,,,,,,
,,2004 - 2005,1.0,3.0,3.0,,,,,,
,,2005 - 2006,10.0,34.0,3.4,,,,,,
,,2006 - 2007,3.0,10.0,3.33,,,,,,
,,2007 - 2008,1.0,3.0,3.0,,,,,,
,,2008 - 2009,1.0,3.0,3.0,,,,,,
,,2009 - 2010,1.0,3.0,3.0,,,,,,
,,2010 - 2011,21.0,63.0,3.0,,,,,,
,,2011 - 2012,16.0,31.0,1.94,,,,,,
,,2012 - 2013,12.0,26.0,2.17,,,,,,
,,2013 - 2014,19.0,40.0,2.11,,,,,,
,,2014 - 2015,23.0,51.0,2.22,,,,,,
,,2015 - 2016,18.0,53.0,2.94,,,,,,
,,2016 - 2017,11.0,30.0,2.73,,,,,,
,,2017 - 2018,8.0,22.0,2.75,,,,,,
,,2018 - 2019,6.0,16.0,2.67,,,,,,
,Khairgarh chhuikhadan gandai,2022 - 2023,2.0,8.0,4.0,,,,,,
,Kondagaon,2011 - 2012,4.0,13.0,3.25,,,,,,
,,2012 - 2013,2.0,5.0,2.5,,,,,,
,,2013 - 2014,2.0,6.0,3.0,,,,,,
,,2014 - 2015,2.0,5.0,2.5,,,,,,
,,2015 - 2016,3.0,9.0,3.0,,,,,,
,,2016 - 2017,11.0,36.0,3.27,,,,,,
,,2017 - 2018,3.0,9.0,3.0,,,,,,
,,2018 - 2019,1.0,3.0,3.0,,,,,,
,,2019 - 2020,1.0,3.0,3.0,,,,,,
,Korba,2000 - 2001,16.0,56.0,3.5,,,,,,
,,2001 - 2002,20.0,70.0,3.5,,,,,,
,,2002 - 2003,17.0,60.0,3.53,,,,,,
,,2003 - 2004,16.0,57.0,3.56,,,,,,
,,2004 - 2005,13.0,43.0,3.31,,,,,,
,,2005 - 2006,10.0,32.0,3.2,,,,,,
,,2006 - 2007,9.0,32.0,3.56,,,,,,
,,2007 - 2008,16.0,55.0,3.44,,,,,,
,,2008 - 2009,17.0,53.0,3.12,,,,,,
,,2009 - 2010,21.0,61.0,2.9,,,,,,
,,2010 - 2011,15.0,44.0,2.93,,,,,,
,,2011 - 2012,18.0,53.0,2.94,,,,,,
,,2012 - 2013,12.0,35.0,2.92,,,,,,
,,2013 - 2014,12.0,42.0,3.5,,,,,,
,,2014 - 2015,15.0,44.0,2.93,,,,,,
,,2015 - 2016,17.0,50.0,2.94,,,,,,
,,2016 - 2017,15.0,53.0,3.53,,,,,,
,,2017 - 2018,13.0,46.0,3.54,,,,,,
,,2018 - 2019,18.0,64.0,3.56,,,,,,
,,2019 - 2020,11.0,37.0,3.36,,,,,,
,,2020 - 2021,8.0,29.0,3.63,,,,,,
,,2021 - 2022,3.0,9.0,3.0,,,,,,
,,2022 - 2023,2.0,6.0,3.0,,,,,,
,Korea,2000 - 2001,45.0,121.0,2.69,,,,,,
,,2001 - 2002,41.0,94.0,2.29,,,,,,
,,2002 - 2003,42.0,114.0,2.71,,,,,,
,,2003 - 2004,41.0,105.0,2.56,,,,,,
,,2004 - 2005,40.0,97.0,2.43,,,,,,
,,2005 - 2006,45.0,104.0,2.31,,,,,,
,,2006 - 2007,45.0,108.0,2.4,,,,,,
,,2007 - 2008,51.0,120.0,2.35,,,,,,
,,2008 - 2009,54.0,134.0,2.48,,,,,,
,,2009 - 2010,54.0,126.0,2.33,,,,,,
,,2010 - 2011,56.0,105.0,1.88,,,,,,
,,2011 - 2012,64.0,189.0,2.95,,,,,,
,,2012 - 2013,69.0,166.0,2.41,,,,,,
,,2013 - 2014,72.0,170.0,2.36,,,,,,
,,2014 - 2015,75.0,177.0,2.36,,,,,,
,,2015 - 2016,77.0,160.0,2.08,,,,,,
,,2016 - 2017,80.0,166.0,2.08,,,,,,
,,2017 - 2018,82.0,198.0,2.41,,,,,,
,,2018 - 2019,76.0,184.0,2.42,,,,,,
,,2019 - 2020,78.0,195.0,2.5,,,,,,
,,2020 - 2021,74.0,184.0,2.49,,,,,,
,,2021 - 2022,77.0,173.0,2.25,,,,,,
,,2022 - 2023,44.0,120.0,2.73,,,,,,
,Mahasamund,2000 - 2001,18.0,50.0,2.78,,,,,,
,,2001 - 2002,20.0,47.0,2.35,,,,,,
,,2002 - 2003,17.0,41.0,2.41,,,,,,
,,2003 - 2004,19.0,38.0,2.0,,,,,,
,,2004 - 2005,13.0,36.0,2.77,,,,,,
,,2005 - 2006,26.0,65.0,2.5,,,,,,
,,2006 - 2007,14.0,40.0,2.86,,,,,,
,,2008 - 2009,5.0,12.0,2.4,,,,,,
,,2009 - 2010,10.0,26.0,2.6,,,,,,
,,2010 - 2011,8.0,19.0,2.38,,,,,,
,,2011 - 2012,5.0,13.0,2.6,,,,,,
,,2012 - 2013,5.0,14.0,2.8,,,,,,
,,2013 - 2014,5.0,14.0,2.8,,,,,,
,,2014 - 2015,6.0,17.0,2.83,,,,,,
,,2015 - 2016,5.0,14.0,2.8,,,,,,
,,2016 - 2017,13.0,35.0,2.69,,,,,,
,,2018 - 2019,2.0,6.0,3.0,,,,,,
,,2019 - 2020,3.0,8.0,2.67,,,,,,
,,2020 - 2021,1.0,4.0,4.0,,,,,,
,,2022 - 2023,1.0,4.0,4.0,,,,,,
,Manendragarh chirimiri bharatpur,2022 - 2023,20.0,55.0,2.75,,,,,,
,Mungeli,2012 - 2013,1.0,4.0,4.0,,,,,,
,,2013 - 2014,1.0,4.0,4.0,,,,,,
,,2016 - 2017,1.0,4.0,4.0,,,,,,
,,2019 - 2020,1.0,5.0,5.0,,,,,,
,,2020 - 2021,1.0,4.0,4.0,,,,,,
,,2021 - 2022,2.0,8.0,4.0,,,,,,
,Raigarh,2000 - 2001,67.0,184.0,2.75,,,,,,
,,2001 - 2002,60.0,176.0,2.93,,,,,,
,,2002 - 2003,61.0,162.0,2.66,,,,,,
,,2003 - 2004,59.0,173.0,2.93,,,,,,
,,2004 - 2005,71.0,185.0,2.61,,,,,,
,,2005 - 2006,75.0,217.0,2.89,,,,,,
,,2006 - 2007,88.0,254.0,2.89,,,,,,
,,2007 - 2008,81.0,234.0,2.89,,,,,,
,,2008 - 2009,87.0,252.0,2.9,,,,,,
,,2009 - 2010,97.0,280.0,2.89,,,,,,
,,2010 - 2011,82.0,237.0,2.89,,,,,,
,,2011 - 2012,90.0,260.0,2.89,,,,,,
,,2012 - 2013,96.0,278.0,2.9,,,,,,
,,2013 - 2014,94.0,294.0,3.13,,,,,,
,,2014 - 2015,106.0,317.0,2.99,,,,,,
,,2015 - 2016,103.0,307.0,2.98,,,,,,
,,2016 - 2017,125.0,362.0,2.9,,,,,,
,,2017 - 2018,79.0,240.0,3.04,,,,,,
,,2018 - 2019,87.0,264.0,3.03,,,,,,
,,2020 - 2021,64.0,185.0,2.89,,,,,,
,,2021 - 2022,44.0,117.0,2.66,,,,,,
,,2022 - 2023,40.0,106.0,2.65,,,,,,
,Raipur,2000 - 2001,5.0,14.0,2.8,,,,,,
,,2001 - 2002,8.0,23.0,2.88,,,,,,
,,2002 - 2003,10.0,29.0,2.9,,,,,,
,,2003 - 2004,7.0,21.0,3.0,,,,,,
,,2004 - 2005,3.0,8.0,2.67,,,,,,
,,2005 - 2006,9.0,25.0,2.78,,,,,,
,,2006 - 2007,15.0,42.0,2.8,,,,,,
,,2007 - 2008,20.0,55.0,2.75,,,,,,
,,2008 - 2009,30.0,83.0,2.77,,,,,,
,,2009 - 2010,15.0,35.0,2.33,,,,,,
,,2010 - 2011,14.0,34.0,2.43,,,,,,
,,2019 - 2020,1.0,4.0,4.0,,,,,,
,,2020 - 2021,1.0,3.0,3.0,,,,,,
,Rajnandgaon,2001 - 2002,21.0,59.0,2.81,,,,,,
,,2002 - 2003,25.0,72.0,2.88,,,,,,
,,2003 - 2004,8.0,24.0,3.0,,,,,,
,,2004 - 2005,8.0,29.0,3.63,,,,,,
,,2005 - 2006,9.0,27.0,3.0,,,,,,
,,2006 - 2007,13.0,35.0,2.69,,,,,,
,,2007 - 2008,6.0,16.0,2.67,,,,,,
,,2008 - 2009,6.0,18.0,3.0,,,,,,
,,2009 - 2010,6.0,17.0,2.83,,,,,,
,,2010 - 2011,41.0,118.0,2.88,,,,,,
,,2011 - 2012,5.0,14.0,2.8,,,,,,
,,2012 - 2013,3.0,8.0,2.67,,,,,,
,,2013 - 2014,2.0,6.0,3.0,,,,,,
,,2014 - 2015,13.0,39.0,3.0,,,,,,
,,2016 - 2017,1.0,3.0,3.0,,,,,,
,,2017 - 2018,1.0,3.0,3.0,,,,,,
,,2018 - 2019,2.0,6.0,3.0,,,,,,
,,2021 - 2022,1.0,4.0,4.0,,,,,,
,Sakti,2022 - 2023,5.0,18.0,3.6,,,,,,
,Sarangarh bilaigarh,2022 - 2023,2.0,8.0,4.0,,,,,,
,Sukma,2015 - 2016,1.0,3.0,3.0,,,,,,
,,2017 - 2018,1.0,3.0,3.0,,,,,,
,,2020 - 2021,1.0,4.0,4.0,,,,,,
,Surajpur,2011 - 2012,269.0,794.0,2.95,,,,,,
,,2012 - 2013,333.0,831.0,2.5,,,,,,
,,2013 - 2014,391.0,975.0,2.49,,,,,,
,,2014 - 2015,203.0,531.0,2.62,,,,,,
,,2015 - 2016,293.0,743.0,2.54,,,,,,
,,2016 - 2017,328.0,750.0,2.29,,,,,,
,,2017 - 2018,293.0,877.0,2.99,,,,,,
,,2018 - 2019,347.0,,2.99,,,,,,
,,2019 - 2020,289.0,720.0,2.49,,,,,,
,,2020 - 2021,304.0,824.0,2.71,,,,,,
,,2021 - 2022,246.0,666.0,2.71,,,,,,
,,2022 - 2023,254.0,762.0,3.0,,,,,,
,Surguja,2000 - 2001,385.0,,2.78,,,,,,
,,2001 - 2002,438.0,,2.7,,,,,,
,,2002 - 2003,466.0,,2.7,,,,,,
,,2003 - 2004,531.0,,2.74,,,,,,
,,2004 - 2005,529.0,,2.58,,,,,,
,,2005 - 2006,528.0,,2.7,,,,,,
,,2006 - 2007,529.0,,2.91,,,,,,
,,2007 - 2008,535.0,,2.7,,,,,,
,,2008 - 2009,561.0,,2.24,,,,,,
,,2009 - 2010,574.0,,2.33,,,,,,
,,2010 - 2011,604.0,,2.08,,,,,,
,,2011 - 2012,216.0,637.0,2.95,,,,,,
,,2012 - 2013,221.0,652.0,2.95,,,,,,
,,2013 - 2014,207.0,533.0,2.57,,,,,,
,,2014 - 2015,240.0,629.0,2.62,,,,,,
,,2015 - 2016,248.0,649.0,2.62,,,,,,
,,2016 - 2017,253.0,610.0,2.41,,,,,,
,,2017 - 2018,250.0,696.0,2.78,,,,,,
,,2018 - 2019,261.0,727.0,2.79,,,,,,
,,2019 - 2020,242.0,604.0,2.5,,,,,,
,,2020 - 2021,254.0,639.0,2.52,,,,,,
,,2021 - 2022,269.0,676.0,2.51,,,,,,
,,2022 - 2023,257.0,679.0,2.64,,,,,,
Gujarat,Ahmadabad,2010 - 2011,200.0,,5.5,,,,,,
,,2016 - 2017,32.0,164.0,5.13,,,,,,
,,2017 - 2018,10.0,70.0,7.0,,,,,,
,,2020 - 2021,23.0,184.0,8.0,,,,,,
,,2021 - 2022,35.0,253.0,7.23,,,,,,
,Amreli,2000 - 2001,100.0,200.0,2.0,,,,,,
,,2001 - 2002,400.0,,6.0,,,,,,
,,2002 - 2003,500.0,,5.4,,,,,,
,,2003 - 2004,,,7.2,,,,,,
,,2004 - 2005,,,5.18,,,,,,
,,2005 - 2006,,,6.68,,,,,,
,,2006 - 2007,,,6.31,,,,,,
,,2007 - 2008,,,5.98,,,,,,
,,2008 - 2009,,,5.08,,,,,,
,,2009 - 2010,,,5.45,,,,,,
,,2010 - 2011,,,5.73,,,,,,
,,2011 - 2012,,,6.1,,,,,,
,,2012 - 2013,700.0,,4.86,,,,,,
,,2013 - 2014,,,4.97,,,,,,
,,2014 - 2015,483.0,,5.53,,,,,,
,,2015 - 2016,,,4.12,,,,,,
,,2016 - 2017,851.0,,6.21,,,,,,
,,2017 - 2018,975.0,,4.34,,,,,,
,,2018 - 2019,377.0,,10.79,,,,,,
,,2019 - 2020,,,7.9,,,,,,
,,2020 - 2021,,,8.02,,,,,,
,,2021 - 2022,,,7.24,,,,,,
,,2022 - 2023,,,6.98,,,,,,
,Anand,2003 - 2004,200.0,,9.5,,,,,,
,,2004 - 2005,500.0,,4.8,,,,,,
,,2005 - 2006,200.0,,6.5,,,,,,
,,2006 - 2007,300.0,,5.0,,,,,,
,,2007 - 2008,200.0,,7.0,,,,,,
,,2008 - 2009,200.0,,5.5,,,,,,
,,2009 - 2010,200.0,800.0,4.0,,,,,,
,,2010 - 2011,100.0,600.0,6.0,,,,,,
,,2011 - 2012,200.0,,6.5,,,,,,
,,2012 - 2013,300.0,,6.0,,,,,,
,,2013 - 2014,408.0,,6.17,,,,,,
,,2014 - 2015,324.0,,5.85,,,,,,
,,2015 - 2016,119.0,663.0,5.57,,,,,,
,,2016 - 2017,548.0,,5.11,,,,,,
,Aravalli,2014 - 2015,110.0,643.0,5.85,,,,,,
,,2015 - 2016,67.0,373.0,5.57,,,,,,
,,2016 - 2017,220.0,,5.11,,,,,,
,,2017 - 2018,450.0,,6.96,,,,,,
,,2018 - 2019,81.0,552.0,6.81,,,,,,
,,2019 - 2020,84.0,603.0,7.18,,,,,,
,,2020 - 2021,20.0,160.0,8.0,,,,,,
,,2021 - 2022,25.0,181.0,7.24,,,,,,
,,2022 - 2023,6.0,42.0,7.0,,,,,,
,Banas kantha,2000 - 2001,100.0,300.0,3.0,,,,,,
,,2001 - 2002,100.0,300.0,3.0,,,,,,
,,2002 - 2003,100.0,300.0,3.0,,,,,,
,,2007 - 2008,100.0,400.0,4.0,,,,,,
,,2008 - 2009,100.0,400.0,4.0,,,,,,
,,2009 - 2010,200.0,,6.5,,,,,,
,,2011 - 2012,100.0,200.0,2.0,,,,,,
,,2013 - 2014,8.0,49.0,6.13,,,,,,
,,2014 - 2015,1.0,6.0,6.0,,,,,,
,,2018 - 2019,47.0,320.0,6.81,,,,,,
,,2019 - 2020,100.0,718.0,7.18,,,,,,
,,2020 - 2021,95.0,762.0,8.02,,,,,,
,,2021 - 2022,96.0,695.0,7.24,,,,,,
,,2022 - 2023,43.0,300.0,6.98,,,,,,
,Bharuch,2012 - 2013,100.0,200.0,2.0,,,,,,
,Bhavnagar,2001 - 2002,400.0,,6.5,,,,,,
,,2002 - 2003,500.0,,5.2,,,,,,
,,2003 - 2004,200.0,,6.0,,,,,,
,,2005 - 2006,100.0,400.0,4.0,,,,,,
,,2006 - 2007,900.0,,6.33,,,,,,
,,2007 - 2008,200.0,,5.5,,,,,,
,,2008 - 2009,600.0,,5.0,,,,,,
,,2010 - 2011,500.0,,6.2,,,,,,
,,2011 - 2012,400.0,,6.75,,,,,,
,,2012 - 2013,100.0,200.0,2.0,,,,,,
,,2013 - 2014,760.0,,6.17,,,,,,
,,2014 - 2015,62.0,363.0,5.85,,,,,,
,,2015 - 2016,53.0,295.0,5.57,,,,,,
,,2016 - 2017,89.0,455.0,5.11,,,,,,
,,2017 - 2018,311.0,,6.95,,,,,,
,,2018 - 2019,33.0,225.0,6.82,,,,,,
,,2019 - 2020,538.0,,7.18,,,,,,
,,2020 - 2021,436.0,,8.02,,,,,,
,,2021 - 2022,598.0,,7.24,,,,,,
,,2022 - 2023,555.0,,6.98,,,,,,
,Botad,2014 - 2015,974.0,,5.85,,,,,,
,,2015 - 2016,937.0,,5.57,,,,,,
,,2016 - 2017,,,5.11,,,,,,
,,2017 - 2018,,,8.7,,,,,,
,,2018 - 2019,,,6.68,,,,,,
,,2019 - 2020,897.0,,6.37,,,,,,
,,2020 - 2021,116.0,930.0,8.02,,,,,,
,,2021 - 2022,150.0,,7.24,,,,,,
,,2022 - 2023,140.0,977.0,6.98,,,,,,
,Chhotaudepur,2014 - 2015,10.0,58.0,5.8,,,,,,
,,2015 - 2016,25.0,139.0,5.56,,,,,,
,Dang,2006 - 2007,100.0,800.0,8.0,,,,,,
,,2007 - 2008,100.0,900.0,9.0,,,,,,
,,2008 - 2009,200.0,,5.0,,,,,,
,,2009 - 2010,200.0,,6.5,,,,,,
,,2010 - 2011,300.0,,5.0,,,,,,
,,2011 - 2012,400.0,,5.75,,,,,,
,,2012 - 2013,100.0,400.0,4.0,,,,,,
,,2020 - 2021,102.0,818.0,8.02,,,,,,
,,2021 - 2022,104.0,753.0,7.24,,,,,,
,,2022 - 2023,53.0,370.0,6.98,,,,,,
,Devbhumi dwarka,2014 - 2015,346.0,,8.64,,,,,,
,,2016 - 2017,70.0,76.0,1.09,,,,,,
,,2017 - 2018,288.0,,6.95,,,,,,
,,2018 - 2019,2.0,14.0,7.0,,,,,,
,,2019 - 2020,10.0,72.0,7.2,,,,,,
,Dohad,2003 - 2004,200.0,,8.0,,,,,,
,,2004 - 2005,300.0,,5.0,,,,,,
,,2005 - 2006,100.0,,10.0,,,,,,
,,2006 - 2007,300.0,,6.0,,,,,,
,,2007 - 2008,800.0,,6.38,,,,,,
,,2008 - 2009,200.0,800.0,4.0,,,,,,
,,2010 - 2011,600.0,,6.0,,,,,,
,,2011 - 2012,,,6.25,,,,,,
,,2012 - 2013,,,4.91,,,,,,
,,2013 - 2014,997.0,,6.17,,,,,,
,,2014 - 2015,,,5.85,,,,,,
,,2015 - 2016,,,5.57,,,,,,
,,2016 - 2017,432.0,,5.11,,,,,,
,,2017 - 2018,634.0,,6.95,,,,,,
,,2018 - 2019,248.0,,6.81,,,,,,
,,2019 - 2020,461.0,,7.18,,,,,,
,,2020 - 2021,265.0,,8.02,,,,,,
,,2021 - 2022,244.0,,7.24,,,,,,
,,2022 - 2023,267.0,,6.98,,,,,,
,Gandhinagar,2021 - 2022,2.0,14.0,7.0,,,,,,
,Gir somnath,2014 - 2015,5.0,29.0,5.8,,,,,,
,,2016 - 2017,10.0,51.0,5.1,,,,,,
,,2017 - 2018,49.0,341.0,6.96,,,,,,
,,2018 - 2019,2.0,14.0,7.0,,,,,,
,,2019 - 2020,13.0,93.0,7.15,,,,,,
,,2020 - 2021,281.0,,6.94,,,,,,
,,2021 - 2022,,,5.88,,,,,,
,,2022 - 2023,859.0,,7.63,,,,,,
,Jamnagar,2000 - 2001,700.0,,5.71,,,,,,
,,2001 - 2002,,,7.62,,,,,,
,,2002 - 2003,900.0,,8.0,,,,,,
,,2003 - 2004,,,8.0,,,,,,
,,2004 - 2005,,,6.75,,,,,,
,,2005 - 2006,,,5.57,,,,,,
,,2006 - 2007,,,5.9,,,,,,
,,2007 - 2008,,,6.66,,,,,,
,,2008 - 2009,,,5.17,,,,,,
,,2009 - 2010,,,5.86,,,,,,
,,2010 - 2011,,,5.93,,,,,,
,,2011 - 2012,,,6.01,,,,,,
,,2012 - 2013,900.0,,4.11,,,,,,
,,2013 - 2014,,,5.72,,,,,,
,,2014 - 2015,605.0,,4.77,,,,,,
,,2015 - 2016,280.0,,5.34,,,,,,
,,2016 - 2017,510.0,,4.7,,,,,,
,,2017 - 2018,762.0,,4.88,,,,,,
,,2018 - 2019,502.0,,4.04,,,,,,
,,2019 - 2020,715.0,,5.84,,,,,,
,,2020 - 2021,,,8.02,,,,,,
,,2021 - 2022,,,5.66,,,,,,
,,2022 - 2023,938.0,,6.98,,,,,,
,Junagadh,2000 - 2001,800.0,,4.5,,,,,,
,,2001 - 2002,,,5.22,,,,,,
,,2002 - 2003,,,4.4,,,,,,
,,2003 - 2004,,,5.3,,,,,,
,,2004 - 2005,,,5.52,,,,,,
,,2005 - 2006,,,9.68,,,,,,
,,2006 - 2007,,,7.79,,,,,,
,,2007 - 2008,,,7.69,,,,,,
,,2008 - 2009,,,5.97,,,,,,
,,2009 - 2010,,,6.41,,,,,,
,,2010 - 2011,,,5.95,,,,,,
,,2011 - 2012,,,6.01,,,,,,
,,2012 - 2013,,,5.67,,,,,,
,,2013 - 2014,,,7.52,,,,,,
,,2014 - 2015,,,6.03,,,,,,
,,2015 - 2016,770.0,,4.81,,,,,,
,,2016 - 2017,,,4.09,,,,,,
,,2017 - 2018,,,6.88,,,,,,
,,2018 - 2019,,,7.2,,,,,,
,,2019 - 2020,,,7.27,,,,,,
,,2020 - 2021,,,5.98,,,,,,
,,2021 - 2022,,,7.11,,,,,,
,,2022 - 2023,,,7.17,,,,,,
,Kachchh,2001 - 2002,200.0,,7.5,,,,,,
,,2002 - 2003,200.0,,5.0,,,,,,
,,2003 - 2004,300.0,,7.33,,,,,,
,,2004 - 2005,300.0,,4.33,,,,,,
,,2005 - 2006,300.0,,7.0,,,,,,
,,2006 - 2007,500.0,,6.2,,,,,,
,,2007 - 2008,600.0,,6.0,,,,,,
,,2008 - 2009,400.0,,5.5,,,,,,
,,2009 - 2010,400.0,,5.25,,,,,,
,,2010 - 2011,500.0,,5.6,,,,,,
,,2011 - 2012,,,6.2,,,,,,
,,2012 - 2013,300.0,,5.67,,,,,,
,,2013 - 2014,,,6.17,,,,,,
,,2014 - 2015,70.0,409.0,5.84,,,,,,
,,2015 - 2016,161.0,897.0,5.57,,,,,,
,,2016 - 2017,66.0,338.0,5.12,,,,,,
,,2017 - 2018,61.0,424.0,6.95,,,,,,
,,2019 - 2020,50.0,359.0,7.18,,,,,,
,,2020 - 2021,120.0,963.0,8.03,,,,,,
,,2021 - 2022,41.0,297.0,7.24,,,,,,
,,2022 - 2023,45.0,314.0,6.98,,,,,,
,Kheda,2000 - 2001,100.0,400.0,4.0,,,,,,
,,2001 - 2002,100.0,600.0,6.0,,,,,,
,,2002 - 2003,100.0,900.0,9.0,,,,,,
,,2003 - 2004,100.0,400.0,4.0,,,,,,
,,2005 - 2006,100.0,900.0,9.0,,,,,,
,,2006 - 2007,100.0,800.0,8.0,,,,,,
,,2007 - 2008,100.0,500.0,5.0,,,,,,
,,2008 - 2009,100.0,300.0,3.0,,,,,,
,,2010 - 2011,100.0,500.0,5.0,,,,,,
,,2011 - 2012,100.0,900.0,9.0,,,,,,
,,2012 - 2013,100.0,200.0,2.0,,,,,,
,,2013 - 2014,70.0,432.0,6.17,,,,,,
,,2014 - 2015,123.0,719.0,5.85,,,,,,
,,2015 - 2016,107.0,596.0,5.57,,,,,,
,,2016 - 2017,34.0,174.0,5.12,,,,,,
,,2017 - 2018,85.0,591.0,6.95,,,,,,
,,2018 - 2019,131.0,892.0,6.81,,,,,,
,,2019 - 2020,80.0,575.0,7.19,,,,,,
,,2020 - 2021,155.0,,8.02,,,,,,
,,2021 - 2022,200.0,,7.24,,,,,,
,,2022 - 2023,77.0,537.0,6.97,,,,,,
,Mahesana,2002 - 2003,100.0,300.0,3.0,,,,,,
,,2005 - 2006,100.0,300.0,3.0,,,,,,
,,2006 - 2007,100.0,400.0,4.0,,,,,,
,,2008 - 2009,100.0,300.0,3.0,,,,,,
