state,district,year,castor_seed_kharif_area_hectare,castor_seed_kharif_production_tonne,castor_seed_kharif_yield_tonne_per_hectare,castor_seed_rabi_area_hectare,castor_seed_rabi_production_tonne,castor_seed_rabi_yield_tonne_per_hectare,castor_seed_whole_year_area_hectare,castor_seed_whole_year_production_tonne,castor_seed_whole_year_yield_tonne_per_hectare
,,2007 - 2008,,,1.0,,,,,,
,,2008 - 2009,,805.0,0.75,,,,,,
,,2009 - 2010,,579.0,0.5,,,,,,
,,2010 - 2011,,906.0,0.88,,,,,,
,,2011 - 2012,,123.0,0.06,,,,,,
,,2012 - 2013,,,0.5,,,,,,
,,2013 - 2014,,514.0,0.47,24.0,11.0,0.46,,,
,,2014 - 2015,686.0,392.0,0.57,25.0,14.0,0.56,,,
,,2015 - 2016,998.0,951.0,0.95,2.0,2.0,1.0,,,
,,2016 - 2017,696.0,451.0,0.65,9.0,6.0,0.67,,,
,,2017 - 2018,680.0,482.0,0.71,3.0,2.0,0.67,,,
,,2018 - 2019,412.0,202.0,0.49,75.0,37.0,0.49,,,
,,2019 - 2020,698.0,545.0,0.78,65.0,51.0,0.78,,,
,,2020 - 2021,671.0,295.0,0.44,21.0,9.0,0.43,,,
,,2021 - 2022,506.0,204.0,0.4,19.0,8.0,0.42,,,
,,2022 - 2023,,196.0,0.19,120.0,37.0,0.31,,,
,Krishna,2000 - 2001,14.0,4.0,0.29,,,,,,
,,2002 - 2003,17.0,4.0,0.24,,,,,,
,,2003 - 2004,18.0,8.0,0.44,,,,,,
,,2013 - 2014,,,,20.0,16.0,0.8,,,
,,2014 - 2015,,,,20.0,,0.0,,,
,,2020 - 2021,8.0,2.0,0.25,,,,,,
,,2021 - 2022,,,,2.0,2.0,1.0,,,
,Kurnool,2000 - 2001,,,0.3,,,,,,
,,2001 - 2002,,,0.28,,,,,,
,,2002 - 2003,,966.0,0.2,,,,,,
,,2003 - 2004,,,0.42,,,,,,
,,2004 - 2005,,,0.58,,,,,,
,,2005 - 2006,,,0.73,,,,,,
,,2006 - 2007,,,0.5,,,,,,
,,2007 - 2008,,,0.71,,,,,,
,,2008 - 2009,,,0.75,,,,,,
,,2009 - 2010,,,0.5,,,,,,
,,2010 - 2011,,,0.88,,,,,,
,,2011 - 2012,,,0.06,,,,,,
,,2012 - 2013,,,0.37,,,,,,
,,2013 - 2014,,,0.47,42.0,20.0,0.48,,,
,,2014 - 2015,,,0.57,366.0,209.0,0.57,,,
,,2015 - 2016,,,0.41,72.0,29.0,0.4,,,
,,2016 - 2017,,,0.54,50.0,27.0,0.54,,,
,,2017 - 2018,,,0.72,97.0,70.0,0.72,,,
,,2018 - 2019,,,0.37,370.0,138.0,0.37,,,
,,2019 - 2020,,,0.97,183.0,177.0,0.97,,,
,,2020 - 2021,,,0.51,78.0,40.0,0.51,,,
,,2021 - 2022,,760.0,0.33,114.0,38.0,0.33,,,
,,2022 - 2023,,,0.53,509.0,157.0,0.31,,,
,Nandyal,2022 - 2023,,,0.3,360.0,111.0,0.31,,,
,Palnadu,2022 - 2023,616.0,198.0,0.32,32.0,10.0,0.31,,,
,Prakasam,2000 - 2001,,,0.31,,,,,,
,,2001 - 2002,,,0.25,,,,,,
,,2002 - 2003,,,0.17,,,,,,
,,2003 - 2004,,,0.3,,,,,,
,,2004 - 2005,,,0.3,,,,,,
,,2005 - 2006,,,0.25,,,,,,
,,2006 - 2007,,,0.42,,,,,,
,,2007 - 2008,,,0.64,,,,,,
,,2008 - 2009,,,0.69,,,,,,
,,2009 - 2010,,,0.51,,,,,,
,,2010 - 2011,,,0.47,,,,,,
,,2011 - 2012,,,0.41,,,,,,
,,2012 - 2013,,,0.92,,,,,,
,,2013 - 2014,,,0.72,,794.0,0.72,,,
,,2014 - 2015,,,0.44,,468.0,0.44,,,
,,2015 - 2016,,,0.55,,711.0,0.54,,,
,,2016 - 2017,,945.0,0.53,413.0,219.0,0.53,,,
,,2017 - 2018,,624.0,0.38,547.0,207.0,0.38,,,
,,2018 - 2019,,607.0,0.29,,325.0,0.29,,,
,,2019 - 2020,,966.0,0.49,671.0,329.0,0.49,,,
,,2020 - 2021,731.0,159.0,0.22,235.0,51.0,0.22,,,
,,2021 - 2022,,651.0,0.31,606.0,187.0,0.31,,,
,,2022 - 2023,,809.0,0.32,,332.0,0.32,,,
,Spsr nellore,2000 - 2001,316.0,96.0,0.3,,,,,,
,,2001 - 2002,17.0,5.0,0.29,,,,,,
,,2002 - 2003,11.0,2.0,0.18,,,,,,
,,2003 - 2004,1.0,,0.0,,,,,,
,,2004 - 2005,8.0,3.0,0.38,,,,,,
,,2008 - 2009,19.0,13.0,0.68,,,,,,
,,2011 - 2012,103.0,55.0,0.53,,,,,,
,,2013 - 2014,6.0,5.0,0.83,12.0,10.0,0.83,,,
,,2017 - 2018,23.0,18.0,0.78,,,,,,
,,2018 - 2019,,,,8.0,2.0,0.25,,,
,,2021 - 2022,9.0,3.0,0.33,21.0,7.0,0.33,,,
,,2022 - 2023,4.0,1.0,0.25,22.0,7.0,0.32,,,
,Sri sathya sai,2022 - 2023,,,0.26,22.0,7.0,0.32,,,
,Srikakulam,2019 - 2020,1.0,1.0,1.0,,,,,,
,Visakhapatanam,2000 - 2001,8.0,2.0,0.25,,,,,,
,,2001 - 2002,6.0,2.0,0.33,,,,,,
,,2002 - 2003,6.0,1.0,0.17,,,,,,
,,2003 - 2004,4.0,2.0,0.5,,,,,,
,,2004 - 2005,4.0,2.0,0.5,,,,,,
,,2005 - 2006,2.0,1.0,0.5,,,,,,
,,2006 - 2007,2.0,1.0,0.5,,,,,,
,,2008 - 2009,2.0,1.0,0.5,,,,,,
,,2009 - 2010,3.0,2.0,0.67,,,,,,
,,2011 - 2012,2.0,1.0,0.5,,,,,,
,,2014 - 2015,3.0,2.0,0.67,,,,,,
,,2015 - 2016,2.0,2.0,1.0,,,,,,
,,2016 - 2017,2.0,1.0,0.5,,,,,,
,Vizianagaram,2000 - 2001,2.0,1.0,0.5,,,,,,
,,2003 - 2004,8.0,3.0,0.38,,,,,,
,,2004 - 2005,4.0,2.0,0.5,,,,,,
,,2005 - 2006,8.0,3.0,0.38,,,,,,
,,2006 - 2007,2.0,1.0,0.5,,,,,,
,,2008 - 2009,2.0,1.0,0.5,,,,,,
