state,district,year,castor_seed_kharif_area_hectare,castor_seed_kharif_production_tonne,castor_seed_kharif_yield_tonne_per_hectare,castor_seed_rabi_area_hectare,castor_seed_rabi_production_tonne,castor_seed_rabi_yield_tonne_per_hectare,castor_seed_whole_year_area_hectare,castor_seed_whole_year_production_tonne,castor_seed_whole_year_yield_tonne_per_hectare
,,2009 - 2010,902.0,583.0,0.65,,,,,,
,,2010 - 2011,,,0.84,,,,,,
,,2011 - 2012,851.0,714.0,0.84,,,,,,
,,2012 - 2013,694.0,433.0,0.62,,,,,,
,,2013 - 2014,452.0,404.0,0.89,,,,,,
,,2014 - 2015,667.0,406.0,0.61,,,,,,
,,2015 - 2016,397.0,209.0,0.53,,,,,,
,,2016 - 2017,367.0,182.0,0.5,,,,,,
,,2017 - 2018,274.0,176.0,0.64,,,,,,
,,2018 - 2019,36.0,21.0,0.58,,,,,,
,,2019 - 2020,33.0,30.0,0.91,,,,,,
,,2020 - 2021,124.0,111.0,0.9,,,,,,
,,2021 - 2022,32.0,30.0,0.94,,,,,,
,,2022 - 2023,7.0,4.0,0.57,,,,,,
,Mysore,2000 - 2001,,,1.61,,,,,,
,,2001 - 2002,,,0.47,,,,,,
,,2002 - 2003,,,0.43,,,,,,
,,2003 - 2004,,699.0,0.38,,,,,,
,,2004 - 2005,,,0.66,,,,,,
,,2005 - 2006,,,0.55,,,,,,
,,2006 - 2007,,,0.67,,,,,,
,,2007 - 2008,,,0.52,,,,,,
,,2008 - 2009,,883.0,0.35,,,,,,
,,2009 - 2010,,906.0,0.33,,,,,,
,,2010 - 2011,,,0.78,,,,,,
,,2011 - 2012,,,0.55,,,,,,
,,2012 - 2013,,,0.5,,,,,,
,,2013 - 2014,,748.0,0.37,,,,,,
,,2014 - 2015,,679.0,0.6,,,,,,
,,2015 - 2016,943.0,515.0,0.55,,,,,,
,,2016 - 2017,796.0,178.0,0.22,,,,,,
,,2017 - 2018,973.0,682.0,0.7,,,,,,
,,2018 - 2019,763.0,437.0,0.57,,,,,,
,,2019 - 2020,188.0,179.0,0.95,,,,,,
,,2020 - 2021,215.0,193.0,0.9,,,,,,
,,2021 - 2022,191.0,175.0,0.92,,,,,,
,,2022 - 2023,84.0,53.0,0.63,,,,,,
,Raichur,2000 - 2001,,,1.28,,,,,,
,,2001 - 2002,,405.0,0.38,,,,,,
,,2002 - 2003,429.0,140.0,0.33,,,,,,
,,2003 - 2004,,437.0,0.38,,,,,,
,,2004 - 2005,,,0.87,,,,,,
,,2005 - 2006,,550.0,0.25,,,,,,
,,2006 - 2007,,209.0,0.13,,,,,,
,,2007 - 2008,,287.0,0.2,,,,,,
,,2008 - 2009,,376.0,0.35,,,,,,
,,2009 - 2010,953.0,249.0,0.26,,,,,,
,,2010 - 2011,,510.0,0.39,,,,,,
,,2011 - 2012,890.0,194.0,0.22,,,,,,
,,2012 - 2013,707.0,185.0,0.26,,,,,,
,,2013 - 2014,,284.0,0.28,,,,,,
,,2014 - 2015,,285.0,0.21,,,,,,
,,2015 - 2016,920.0,214.0,0.23,,,,,,
,,2016 - 2017,,434.0,0.35,,,,,,
,,2018 - 2019,212.0,121.0,0.57,,,,,,
,,2019 - 2020,664.0,612.0,0.92,,,,,,
,,2020 - 2021,499.0,447.0,0.9,,,,,,
,,2021 - 2022,153.0,140.0,0.92,,,,,,
,,2022 - 2023,351.0,221.0,0.63,,,,,,
,Ramanagara,2007 - 2008,,,2.17,,,,,,
,,2008 - 2009,,,2.02,,,,,,
,,2009 - 2010,,,1.09,,,,,,
,,2010 - 2011,,,1.28,,,,,,
,,2011 - 2012,,,2.36,,,,,,
,,2012 - 2013,892.0,,1.62,,,,,,
,,2013 - 2014,,,2.36,,,,,,
,,2014 - 2015,,888.0,0.89,,,,,,
,,2015 - 2016,915.0,710.0,0.78,,,,,,
,,2016 - 2017,,888.0,0.71,,,,,,
,,2017 - 2018,,,0.79,,,,,,
,,2018 - 2019,149.0,93.0,0.62,,,,,,
,,2019 - 2020,216.0,222.0,1.03,,,,,,
,,2020 - 2021,311.0,294.0,0.95,,,,,,
,,2021 - 2022,67.0,48.0,0.72,,,,,,
,,2022 - 2023,14.0,9.0,0.64,,,,,,
,Shimoga,2000 - 2001,111.0,142.0,1.28,,,,,,
,,2001 - 2002,108.0,80.0,0.74,,,,,,
,,2002 - 2003,60.0,55.0,0.92,,,,,,
,,2003 - 2004,34.0,30.0,0.88,,,,,,
,,2004 - 2005,11.0,10.0,0.91,,,,,,
,,2005 - 2006,60.0,62.0,1.03,,,,,,
,,2006 - 2007,52.0,42.0,0.81,,,,,,
,,2007 - 2008,6.0,4.0,0.67,,,,,,
,,2008 - 2009,31.0,29.0,0.94,,,,,,
,,2009 - 2010,22.0,14.0,0.64,,,,,,
,,2010 - 2011,2.0,2.0,1.0,,,,,,
,,2011 - 2012,2.0,2.0,1.0,,,,,,
,,2012 - 2013,103.0,64.0,0.62,,,,,,
,,2013 - 2014,5.0,4.0,0.8,,,,,,
,,2015 - 2016,4.0,2.0,0.5,,,,,,
,,2016 - 2017,6.0,3.0,0.5,,,,,,
,,2017 - 2018,2.0,1.0,0.5,,,,,,
,,2018 - 2019,1.0,1.0,1.0,,,,,,
,,2022 - 2023,1.0,1.0,1.0,,,,,,
,Tumkur,2000 - 2001,,,1.23,,,,,,
,,2001 - 2002,,,0.76,,,,,,
,,2002 - 2003,,,0.92,,,,,,
,,2003 - 2004,,,0.37,,,,,,
,,2004 - 2005,,,0.78,,,,,,
,,2005 - 2006,,,0.85,,,,,,
,,2006 - 2007,,,0.62,,,,,,
,,2007 - 2008,,,0.65,,,,,,
,,2008 - 2009,,,0.97,,,,,,
,,2009 - 2010,,,0.75,,,,,,
,,2010 - 2011,,,0.62,,,,,,
,,2011 - 2012,,,0.63,,,,,,
,,2012 - 2013,,,0.46,,,,,,
,,2013 - 2014,,,0.65,,,,,,
,,2014 - 2015,,,0.56,,,,,,
,,2015 - 2016,,,0.59,,,,,,
,,2016 - 2017,,196.0,0.12,,,,,,
,,2017 - 2018,,470.0,0.31,,,,,,
,,2018 - 2019,553.0,317.0,0.57,,,,,,
,,2019 - 2020,598.0,551.0,0.92,,,,,,
,,2020 - 2021,,,0.9,,,,,,
,,2021 - 2022,758.0,695.0,0.92,,,,,,
,,2022 - 2023,956.0,604.0,0.63,,,,,,
,Vijayanagar,2022 - 2023,44.0,28.0,0.64,,,,,,
,Yadgir,2010 - 2011,23.0,19.0,0.83,,,,,,
,,2011 - 2012,28.0,23.0,0.82,,,,,,
,,2012 - 2013,30.0,19.0,0.63,,,,,,
,,2013 - 2014,157.0,140.0,0.89,,,,,,
,,2014 - 2015,50.0,30.0,0.6,,,,,,
,,2015 - 2016,26.0,14.0,0.54,,,,,,
,,2016 - 2017,23.0,11.0,0.48,,,,,,
,,2017 - 2018,15.0,10.0,0.67,,,,,,
,,2018 - 2019,14.0,8.0,0.57,,,,,,
,,2019 - 2020,130.0,120.0,0.92,,,,,,
,,2020 - 2021,7.0,6.0,0.86,,,,,,
,,2021 - 2022,4.0,4.0,1.0,,,,,,
,,2022 - 2023,6.0,4.0,0.67,,,,,,
Madhya Pradesh,Agar malwa,2018 - 2019,1.0,,0.0,,,,,,
,Alirajpur,2008 - 2009,482.0,202.0,0.42,,,,,,
,,2009 - 2010,,,,,,,429.0,184.0,0.43
,,2010 - 2011,542.0,235.0,0.43,,,,,,
,,2011 - 2012,487.0,139.0,0.29,,,,,,
,,2012 - 2013,570.0,223.0,0.39,,,,,,
,,2013 - 2014,513.0,352.0,0.69,,,,,,
,,2015 - 2016,,,0.5,,,,,,
,,2017 - 2018,,,0.55,,,,,,
,,2018 - 2019,3.0,1.0,0.33,,,,,,
,,2022 - 2023,,,,,,,102.0,29.0,0.28
,Balaghat,2000 - 2001,10.0,3.0,0.3,,,,,,
,,2001 - 2002,81.0,25.0,0.31,,,,,,
,,2002 - 2003,14.0,4.0,0.29,,,,,,
,,2003 - 2004,8.0,2.0,0.25,,,,,,
,,2004 - 2005,47.0,14.0,0.3,,,,,,
,,2005 - 2006,16.0,6.0,0.38,,,,,,
,,2006 - 2007,44.0,13.0,0.3,,,,,,
,,2007 - 2008,19.0,7.0,0.37,,,,,,
,,2008 - 2009,15.0,5.0,0.33,,,,,,
,,2009 - 2010,,,,,,,13.0,4.0,0.31
,,2010 - 2011,24.0,7.0,0.29,,,,,,
,,2011 - 2012,25.0,8.0,0.32,,,,,,
,,2012 - 2013,17.0,5.0,0.29,,,,,,
,,2013 - 2014,17.0,6.0,0.35,,,,,,
,,2017 - 2018,10.0,,0.0,,,,,,
,,2018 - 2019,3.0,1.0,0.33,,,,,,
,Barwani,2000 - 2001,482.0,105.0,0.22,,,,,,
,,2001 - 2002,125.0,36.0,0.29,,,,,,
,,2002 - 2003,119.0,36.0,0.3,,,,,,
,,2003 - 2004,117.0,47.0,0.4,,,,,,
,,2004 - 2005,88.0,34.0,0.39,,,,,,
,,2005 - 2006,214.0,31.0,0.14,,,,,,
,,2006 - 2007,117.0,28.0,0.24,,,,,,
,,2007 - 2008,80.0,18.0,0.23,,,,,,
,,2008 - 2009,95.0,22.0,0.23,,,,,,
,,2009 - 2010,,,,,,,40.0,8.0,0.2
,,2010 - 2011,43.0,11.0,0.26,,,,,,
,,2011 - 2012,65.0,11.0,0.17,,,,,,
,,2012 - 2013,144.0,52.0,0.36,,,,,,
,,2013 - 2014,158.0,53.0,0.34,,,,,,
,,2017 - 2018,680.0,580.0,0.85,,,,,,
,,2018 - 2019,864.0,358.0,0.41,,,,,,
,,2022 - 2023,,,,,,,665.0,348.0,0.52
,Betul,2000 - 2001,6.0,2.0,0.33,,,,,,
,,2007 - 2008,33.0,12.0,0.36,,,,,,
,,2018 - 2019,1.0,,0.0,,,,,,
,Bhind,2003 - 2004,7.0,2.0,0.29,,,,,,
,Burhanpur,2003 - 2004,1.0,0.0,0.0,,,,,,
,,2005 - 2006,17.0,4.0,0.24,,,,,,
,,2006 - 2007,2.0,,0.0,,,,,,
,,2007 - 2008,1.0,,0.0,,,,,,
,,2008 - 2009,7.0,1.0,0.14,,,,,,
,,2009 - 2010,,,,,,,18.0,5.0,0.28
,,2010 - 2011,10.0,2.0,0.2,,,,,,
,,2012 - 2013,13.0,3.0,0.23,,,,,,
,,2013 - 2014,2.0,1.0,0.5,,,,,,
,,2015 - 2016,,,0.5,,,,,,
,,2018 - 2019,10.0,2.0,0.2,,,,,,
,Chhatarpur,2001 - 2002,3.0,1.0,0.33,,,,,,
,,2002 - 2003,14.0,3.0,0.21,,,,,,
,,2003 - 2004,8.0,2.0,0.25,,,,,,
,,2004 - 2005,5.0,1.0,0.2,,,,,,
,,2006 - 2007,11.0,3.0,0.27,,,,,,
,,2022 - 2023,,,,,,,11.0,5.0,0.45
,Chhindwara,2000 - 2001,25.0,8.0,0.32,,,,,,
,,2001 - 2002,131.0,36.0,0.27,,,,,,
,,2002 - 2003,16.0,4.0,0.25,,,,,,
,,2003 - 2004,18.0,5.0,0.28,,,,,,
,,2004 - 2005,29.0,11.0,0.38,,,,,,
,,2005 - 2006,11.0,4.0,0.36,,,,,,
,,2006 - 2007,23.0,9.0,0.39,,,,,,
,,2007 - 2008,9.0,4.0,0.44,,,,,,
,,2008 - 2009,13.0,4.0,0.31,,,,,,
,,2009 - 2010,,,,,,,8.0,3.0,0.38
,,2010 - 2011,6.0,2.0,0.33,,,,,,
,,2011 - 2012,7.0,2.0,0.29,,,,,,
,,2012 - 2013,29.0,11.0,0.38,,,,,,
,,2013 - 2014,48.0,13.0,0.27,,,,,,
,,2018 - 2019,4.0,1.0,0.25,,,,,,
,,2022 - 2023,,,,,,,6.0,2.0,0.33
,Datia,2002 - 2003,1.0,0.01,0.01,,,,,,
,,2003 - 2004,1.0,0.0,0.0,,,,,,
,,2008 - 2009,75.0,25.0,0.33,,,,,,
,,2010 - 2011,,,0.48,,,,,,
,,2011 - 2012,25.0,8.0,0.32,,,,,,
,Dewas,2000 - 2001,11.0,2.0,0.18,,,,,,
,,2001 - 2002,2.0,1.0,0.5,,,,,,
,,2002 - 2003,4.0,1.0,0.25,,,,,,
,,2006 - 2007,2.0,1.0,0.5,,,,,,
,Dhar,2000 - 2001,,268.0,0.22,,,,,,
,,2001 - 2002,327.0,109.0,0.33,,,,,,
,,2002 - 2003,228.0,86.0,0.38,,,,,,
,,2003 - 2004,139.0,53.0,0.38,,,,,,
,,2004 - 2005,222.0,85.0,0.38,,,,,,
,,2005 - 2006,178.0,59.0,0.33,,,,,,
,,2006 - 2007,181.0,70.0,0.39,,,,,,
,,2007 - 2008,153.0,60.0,0.39,,,,,,
,,2008 - 2009,160.0,63.0,0.39,,,,,,
,,2009 - 2010,,,,,,,28.0,11.0,0.39
,,2010 - 2011,55.0,22.0,0.4,,,,,,
,,2011 - 2012,45.0,13.0,0.29,,,,,,
,,2012 - 2013,94.0,40.0,0.43,,,,,,
,,2013 - 2014,121.0,81.0,0.67,,,,,,
,,2018 - 2019,25.0,9.0,0.36,,,,,,
,,2022 - 2023,,,,,,,66.0,34.0,0.52
,Guna,2002 - 2003,2.0,1.0,0.5,,,,,,
,,2006 - 2007,4.0,2.0,0.5,,,,,,
,Harda,2000 - 2001,13.0,4.0,0.31,,,,,,
,,2001 - 2002,15.0,5.0,0.33,,,,,,
,,2002 - 2003,4.0,1.0,0.25,,,,,,
,,2003 - 2004,3.0,1.0,0.33,,,,,,
,,2004 - 2005,1.0,,0.0,,,,,,
,,2005 - 2006,1.0,,0.0,,,,,,
,,2018 - 2019,1.0,,0.0,,,,,,
,Hoshangabad,2000 - 2001,9.0,3.0,0.33,,,,,,
,,2001 - 2002,9.0,3.0,0.33,,,,,,
,,2002 - 2003,17.0,6.0,0.35,,,,,,
,,2003 - 2004,1.0,0.0,0.0,,,,,,
,,2004 - 2005,6.0,2.0,0.33,,,,,,
,,2005 - 2006,1.0,,0.0,,,,,,
,,2006 - 2007,4.0,2.0,0.5,,,,,,
,,2007 - 2008,13.0,5.0,0.38,,,,,,
,,2008 - 2009,11.0,4.0,0.36,,,,,,
,,2009 - 2010,,,,,,,7.0,3.0,0.43
,,2010 - 2011,34.0,17.0,0.5,,,,,,
,,2011 - 2012,8.0,3.0,0.38,,,,,,
,,2013 - 2014,4.0,2.0,0.5,,,,,,
,Indore,2001 - 2002,1.0,0.01,0.01,,,,,,
,,2003 - 2004,1.0,0.0,0.0,,,,,,
,,2005 - 2006,65.0,18.0,0.28,,,,,,
,,2008 - 2009,7.0,2.0,0.29,,,,,,
,Jhabua,2000 - 2001,59.0,8.0,0.14,,,,,,
,,2001 - 2002,,340.0,0.33,,,,,,
,,2002 - 2003,529.0,182.0,0.34,,,,,,
,,2003 - 2004,817.0,314.0,0.38,,,,,,
,,2004 - 2005,837.0,327.0,0.39,,,,,,
,,2005 - 2006,466.0,181.0,0.39,,,,,,
,,2006 - 2007,671.0,286.0,0.43,,,,,,
,,2007 - 2008,910.0,435.0,0.48,,,,,,
,,2008 - 2009,223.0,93.0,0.42,,,,,,
,,2009 - 2010,,,,,,,211.0,89.0,0.42
,,2010 - 2011,251.0,109.0,0.43,,,,,,
,,2011 - 2012,197.0,64.0,0.32,,,,,,
,,2012 - 2013,170.0,88.0,0.52,,,,,,
,,2013 - 2014,163.0,173.0,1.06,,,,,,
,,2022 - 2023,,,,,,,6.0,3.0,0.5
,Katni,2009 - 2010,,,,,,,17.0,5.0,0.29
,,2010 - 2011,5.0,2.0,0.4,,,,,,
,,2011 - 2012,5.0,1.0,0.2,,,,,,
,,2018 - 2019,1.0,,0.0,,,,,,
,Khandwa,2000 - 2001,302.0,64.0,0.21,,,,,,
,,2001 - 2002,229.0,55.0,0.24,,,,,,
,,2002 - 2003,114.0,27.0,0.24,,,,,,
,,2003 - 2004,91.0,24.0,0.26,,,,,,
,,2004 - 2005,110.0,28.0,0.25,,,,,,
,,2005 - 2006,198.0,46.0,0.23,,,,,,
,,2006 - 2007,200.0,47.0,0.24,,,,,,
,,2007 - 2008,123.0,35.0,0.28,,,,,,
,,2008 - 2009,177.0,36.0,0.2,,,,,,
,,2009 - 2010,,,,,,,455.0,118.0,0.26
,,2010 - 2011,184.0,55.0,0.3,,,,,,
,,2011 - 2012,316.0,69.0,0.22,,,,,,
,,2012 - 2013,,231.0,0.23,,,,,,
,,2013 - 2014,332.0,188.0,0.57,,,,,,
,,2017 - 2018,,790.0,0.27,,,,,,
,,2018 - 2019,467.0,144.0,0.31,,,,,,
,,2022 - 2023,,,,,,,20.0,5.0,0.25
,Khargone,2000 - 2001,907.0,197.0,0.22,,,,,,
,,2001 - 2002,506.0,176.0,0.35,,,,,,
,,2002 - 2003,474.0,171.0,0.36,,,,,,
,,2003 - 2004,246.0,100.0,0.41,,,,,,
,,2004 - 2005,343.0,131.0,0.38,,,,,,
,,2005 - 2006,229.0,81.0,0.35,,,,,,
,,2006 - 2007,177.0,76.0,0.43,,,,,,
,,2007 - 2008,202.0,84.0,0.42,,,,,,
,,2008 - 2009,134.0,42.0,0.31,,,,,,
,,2009 - 2010,,,,,,,125.0,49.0,0.39
,,2010 - 2011,203.0,89.0,0.44,,,,,,
,,2011 - 2012,503.0,171.0,0.34,,,,,,
,,2012 - 2013,931.0,404.0,0.43,,,,,,
,,2013 - 2014,,312.0,0.3,,,,,,
,,2017 - 2018,,,0.87,,,,,,
,,2022 - 2023,,,,,,,126.0,43.0,0.34
,Mandsaur,2000 - 2001,4.0,2.0,0.5,,,,,,
,,2001 - 2002,2.0,1.0,0.5,,,,,,
,,2003 - 2004,1.0,0.0,0.0,,,,,,
,,2004 - 2005,2.0,1.0,0.5,,,,,,
,,2005 - 2006,1.0,,0.0,,,,,,
,,2010 - 2011,1.0,,0.0,,,,,,
,,2018 - 2019,1.0,,0.0,,,,,,
,Morena,2000 - 2001,1.0,1.0,1.0,,,,,,
,,2001 - 2002,16.0,7.0,0.44,,,,,,
,,2002 - 2003,8.0,4.0,0.5,,,,,,
,,2004 - 2005,1.0,,0.0,,,,,,
,,2005 - 2006,2.0,1.0,0.5,,,,,,
,,2006 - 2007,1.0,,0.0,,,,,,
,Narsinghpur,2002 - 2003,2.0,1.0,0.5,,,,,,
,,2003 - 2004,5.0,2.0,0.4,,,,,,
,Neemuch,2000 - 2001,1.0,0.1,0.1,,,,,,
,,2018 - 2019,1.0,,0.0,,,,,,
,Panna,2001 - 2002,2.0,1.0,0.5,,,,,,
,,2006 - 2007,1.0,,0.0,,,,,,
,Rajgarh,2005 - 2006,13.0,4.0,0.31,,,,,,
,Ratlam,2000 - 2001,46.0,20.0,0.43,,,,,,
,,2002 - 2003,6.0,2.0,0.33,,,,,,
,,2003 - 2004,3.0,1.0,0.33,,,,,,
,,2004 - 2005,1.0,,0.0,,,,,,
,,2005 - 2006,6.0,2.0,0.33,,,,,,
,,2006 - 2007,19.0,8.0,0.42,,,,,,
,,2007 - 2008,11.0,4.0,0.36,,,,,,
,,2008 - 2009,7.0,2.0,0.29,,,,,,
,,2010 - 2011,1.0,,0.0,,,,,,
,,2011 - 2012,1.0,,0.0,,,,,,
,,2012 - 2013,1.0,,0.0,,,,,,
,,2018 - 2019,3.0,1.0,0.33,,,,,,
,Rewa,2000 - 2001,11.0,5.0,0.45,,,,,,
,,2001 - 2002,12.0,6.0,0.5,,,,,,
,,2002 - 2003,24.0,10.0,0.42,,,,,,
,,2003 - 2004,17.0,6.0,0.35,,,,,,
,,2004 - 2005,16.0,9.0,0.56,,,,,,
,,2005 - 2006,14.0,5.0,0.36,,,,,,
,,2006 - 2007,7.0,4.0,0.57,,,,,,
,,2008 - 2009,4.0,1.0,0.25,,,,,,
,Sagar,2004 - 2005,3.0,1.0,0.33,,,,,,
,,2005 - 2006,1.0,,0.0,,,,,,
,,2006 - 2007,1.0,,0.0,,,,,,
,,2007 - 2008,53.0,10.0,0.19,,,,,,
,,2009 - 2010,,,,,,,1.0,,0.0
,,2010 - 2011,73.0,23.0,0.32,,,,,,
,,2011 - 2012,90.0,21.0,0.23,,,,,,
,,2012 - 2013,25.0,7.0,0.28,,,,,,
,,2013 - 2014,51.0,9.0,0.18,,,,,,
,,2018 - 2019,1.0,,0.0,,,,,,
,Satna,2004 - 2005,6.0,2.0,0.33,,,,,,
,,2005 - 2006,6.0,1.0,0.17,,,,,,
,,2006 - 2007,2.0,1.0,0.5,,,,,,
,,2007 - 2008,1.0,,0.0,,,,,,
,,2008 - 2009,6.0,1.0,0.17,,,,,,
,,2009 - 2010,,,,,,,6.0,1.0,0.17
,,2011 - 2012,4.0,1.0,0.25,,,,,,
,,2013 - 2014,3.0,1.0,0.33,,,,,,
,Sehore,2000 - 2001,5.0,3.0,0.6,,,,,,
,,2004 - 2005,22.0,10.0,0.45,,,,,,
,,2006 - 2007,2.0,1.0,0.5,,,,,,
,,2007 - 2008,2.0,1.0,0.5,,,,,,
,Seoni,2000 - 2001,5.0,2.0,0.4,,,,,,
,,2001 - 2002,5.0,2.0,0.4,,,,,,
,,2002 - 2003,2.0,1.0,0.5,,,,,,
,,2003 - 2004,4.0,1.0,0.25,,,,,,
,,2004 - 2005,2.0,1.0,0.5,,,,,,
,,2005 - 2006,5.0,2.0,0.4,,,,,,
,,2006 - 2007,1.0,,0.0,,,,,,
,,2007 - 2008,11.0,5.0,0.45,,,,,,
,Shajapur,2000 - 2001,1.0,0.1,0.1,,,,,,
,Sheopur,2000 - 2001,176.0,119.0,0.68,,,,,,
,,2003 - 2004,14.0,5.0,0.36,,,,,,
,,2004 - 2005,1.0,1.0,1.0,,,,,,
,Shivpuri,2002 - 2003,13.0,6.0,0.46,,,,,,
,,2003 - 2004,21.0,7.0,0.33,,,,,,
,,2004 - 2005,31.0,13.0,0.42,,,,,,
,,2005 - 2006,54.0,17.0,0.31,,,,,,
,,2006 - 2007,8.0,3.0,0.38,,,,,,
,,2007 - 2008,5.0,2.0,0.4,,,,,,
,,2008 - 2009,4.0,1.0,0.25,,,,,,
,,2009 - 2010,,,,,,,3.0,1.0,0.33
,,2018 - 2019,11.0,4.0,0.36,,,,,,
,Sidhi,2000 - 2001,2.0,1.0,0.5,,,,,,
,,2001 - 2002,5.0,3.0,0.6,,,,,,
,,2006 - 2007,30.0,15.0,0.5,,,,,,
,,2018 - 2019,1.0,1.0,1.0,,,,,,
,Tikamgarh,2018 - 2019,5.0,2.0,0.4,,,,,,
,Ujjain,2000 - 2001,2.0,1.0,0.5,,,,,,
,,2005 - 2006,1.0,,0.0,,,,,,
Maharashtra,Ahilyanagar,2000 - 2001,500.0,200.0,0.4,,,,,,
,,2001 - 2002,200.0,100.0,0.5,,,,,,
,,2002 - 2003,100.0,10.0,0.1,,,,,,
,,2004 - 2005,500.0,200.0,0.4,,,,,,
,,2005 - 2006,400.0,100.0,0.25,,,,,,
,,2007 - 2008,400.0,100.0,0.25,,,,,,
,,2008 - 2009,100.0,,0.0,,,,,,
,,2009 - 2010,100.0,,0.0,,,,,,
,,2011 - 2012,100.0,20.0,0.2,,,,,,
,,2012 - 2013,200.0,20.0,0.1,,,,,,
,,2013 - 2014,400.0,100.0,0.25,,,,,,
,,2014 - 2015,100.0,,0.0,,,,,,
,,2015 - 2016,100.0,30.0,0.3,,,,,,
,,2016 - 2017,30.0,10.0,0.33,,,,,,
,,2017 - 2018,,220.0,0.2,,,,,,
,Akola,2005 - 2006,100.0,100.0,1.0,,,,,,
,,2006 - 2007,300.0,100.0,0.33,,,,,,
,,2007 - 2008,700.0,300.0,0.43,,,,,,
,,2008 - 2009,800.0,200.0,0.25,,,,,,
,,2009 - 2010,200.0,100.0,0.5,,,,,,
,,2010 - 2011,100.0,100.0,1.0,,,,,,
,,2013 - 2014,200.0,100.0,0.5,,,,,,
,Amravati,2000 - 2001,,,0.18,,,,,,
,,2001 - 2002,,400.0,0.17,,,,,,
,,2002 - 2003,,400.0,0.19,,,,,,
,,2004 - 2005,,500.0,0.42,,,,,,
,,2005 - 2006,,,0.46,,,,,,
,,2006 - 2007,,800.0,0.67,,,,,,
,,2007 - 2008,,700.0,0.7,,,,,,
,,2008 - 2009,800.0,300.0,0.38,,,,,,
,,2009 - 2010,300.0,100.0,0.33,,,,,,
,,2010 - 2011,500.0,300.0,0.6,,,,,,
,,2011 - 2012,200.0,100.0,0.5,,,,,,
,,2012 - 2013,,600.0,0.55,,,,,,
,,2013 - 2014,800.0,400.0,0.5,,,,,,
,,2014 - 2015,900.0,400.0,0.44,,,,,,
,,2016 - 2017,100.0,50.0,0.5,,,,,,
,,2017 - 2018,100.0,28.0,0.28,,,,,,
,Beed,2000 - 2001,,300.0,0.21,,,,,,
,,2001 - 2002,,300.0,0.3,,,,,,
,,2002 - 2003,,300.0,0.25,,,,,,
,,2004 - 2005,,200.0,0.18,,,,,,
,,2005 - 2006,,,0.67,,,,,,
,,2006 - 2007,,300.0,0.17,,,,,,
,,2007 - 2008,,500.0,0.38,,,,,,
,,2008 - 2009,,200.0,0.13,,,,,,
,,2009 - 2010,400.0,100.0,0.25,,,,,,
,,2010 - 2011,900.0,400.0,0.44,,,,,,
,,2011 - 2012,,300.0,0.3,,,,,,
,,2012 - 2013,,300.0,0.25,,,,,,
,,2013 - 2014,,600.0,0.6,,,,,,
,,2014 - 2015,,700.0,0.21,,,,,,
,,2016 - 2017,100.0,40.0,0.4,,,,,,
,,2017 - 2018,100.0,10.0,0.1,,,,,,
,,2018 - 2019,576.0,92.0,0.16,,,,,,
,Bhandara,2000 - 2001,100.0,10.0,0.1,,,,,,
,,2001 - 2002,100.0,100.0,1.0,,,,,,
,,2002 - 2003,300.0,100.0,0.33,,,,,,
,,2005 - 2006,100.0,300.0,3.0,,,,,,
,Buldhana,2000 - 2001,500.0,100.0,0.2,,,,,,
,,2001 - 2002,,200.0,0.2,,,,,,
,,2002 - 2003,500.0,100.0,0.2,,,,,,
,,2004 - 2005,400.0,100.0,0.25,,,,,,
,,2005 - 2006,200.0,100.0,0.5,,,,,,
,,2006 - 2007,100.0,,0.0,,,,,,
,,2007 - 2008,100.0,,0.0,,,,,,
,,2008 - 2009,100.0,,0.0,,,,,,
,,2009 - 2010,100.0,,0.0,,,,,,
,,2010 - 2011,400.0,200.0,0.5,,,,,,
,,2012 - 2013,500.0,300.0,0.6,,,,,,
,,2013 - 2014,,500.0,0.5,,,,,,
,,2014 - 2015,600.0,200.0,0.33,,,,,,
,,2015 - 2016,700.0,400.0,0.57,,,,,,
,,2016 - 2017,100.0,100.0,1.0,,,,,,
,,2017 - 2018,120.0,60.0,0.5,,,,,,
,,2018 - 2019,335.0,168.0,0.5,,,,,,
,Chandrapur,2002 - 2003,100.0,10.0,0.1,,,,,,
,,2005 - 2006,200.0,100.0,0.5,,,,,,
,,2006 - 2007,300.0,100.0,0.33,,,,,,
,,2007 - 2008,300.0,100.0,0.33,,,,,,
,,2008 - 2009,100.0,,0.0,,,,,,
,,2010 - 2011,100.0,100.0,1.0,,,,,,
,,2011 - 2012,200.0,100.0,0.5,,,,,,
,,2012 - 2013,200.0,20.0,0.1,,,,,,
,,2015 - 2016,30.0,4.0,0.13,,,,,,
,,2017 - 2018,27.0,11.0,0.41,,,,,,
,Chhatrapati Sambhajinagar,2000 - 2001,,500.0,0.26,,,,,,
,,2001 - 2002,800.0,200.0,0.25,,,,,,
,,2002 - 2003,600.0,100.0,0.17,,,,,,
,,2004 - 2005,600.0,400.0,0.67,,,,,,
,,2005 - 2006,500.0,400.0,0.8,,,,,,
,,2006 - 2007,400.0,100.0,0.25,,,,,,
,,2007 - 2008,300.0,100.0,0.33,,,,,,
,,2008 - 2009,300.0,200.0,0.67,,,,,,
,,2009 - 2010,200.0,100.0,0.5,,,,,,
,,2010 - 2011,100.0,50.0,0.5,,,,,,
,,2012 - 2013,,300.0,0.2,,,,,,
