state,district,year,urad_rabi_area_hectare,urad_rabi_production_tonne,urad_rabi_yield_tonne_per_hectare,urad_kharif_area_hectare,urad_kharif_production_tonne,urad_kharif_yield_tonne_per_hectare,urad_summer_area_hectare,urad_summer_production_tonne,urad_summer_yield_tonne_per_hectare,urad_autumn_area_hectare,urad_autumn_production_tonne,urad_autumn_yield_tonne_per_hectare,urad_whole_year_area_hectare,urad_whole_year_production_tonne,urad_whole_year_yield_tonne_per_hectare,urad_winter_area_hectare,urad_winter_production_tonne,urad_winter_yield_tonne_per_hectare
,,2017 - 2018,,,,,863.0,0.3,,,,,,,,,,,,
,,2018 - 2019,,,,,856.7,0.3,,,,,,,,,,,,
,,2019 - 2020,,,,,761.3,0.3,,,,,,,,,,,,
,,2020 - 2021,,,,,757.4,0.3,,,,,,,,,,,,
,Kishtwar,2007 - 2008,,,,804.0,337.7,0.42,,,,,,,,,,,,
,,2009 - 2010,,,,594.0,249.5,0.42,,,,,,,,,,,,
,,2010 - 2011,,,,667.0,280.2,0.42,,,,,,,,,,,,
,,2011 - 2012,,,,558.0,234.4,0.42,,,,,,,,,,,,
,,2012 - 2013,,,,434.0,182.3,0.42,,,,,,,,,,,,
,,2014 - 2015,,,,675.0,287.3,0.43,,,,,,,,,,,,
,,2015 - 2016,,,,519.0,220.9,0.43,,,,,,,,,,,,
,,2016 - 2017,,,,539.0,229.4,0.43,,,,,,,,,,,,
,,2017 - 2018,,,,539.0,229.5,0.43,,,,,,,,,,,,
,,2018 - 2019,,,,205.0,86.1,0.42,,,,,,,,,,,,
,,2019 - 2020,,,,524.0,220.1,0.42,,,,,,,,,,,,
,,2020 - 2021,,,,565.0,237.3,0.42,,,,,,,,,,,,
,Kulgam,2014 - 2015,,,,111.0,3.8,0.03,,,,,,,,,,,,
,Poonch,2001 - 2002,,,,15.0,8.0,0.53,,,,,,,,,,,,
,,2002 - 2003,,,,15.0,8.0,0.53,,,,,,,,,,,,
,,2003 - 2004,,,,34.0,17.0,0.5,,,,,,,,,,,,
,,2004 - 2005,,,,25.0,15.0,0.6,,,,,,,,,,,,
,,2005 - 2006,,,,27.0,13.5,0.5,,,,,,,,,,,,
,,2006 - 2007,,,,1.0,0.5,0.5,,,,,,,,,,,,
,,2007 - 2008,,,,10.0,5.0,0.5,,,,,,,,,,,,
,,2009 - 2010,,,,7.0,3.5,0.5,,,,,,,,,,,,
,,2010 - 2011,,,,3.0,1.5,0.5,,,,,,,,,,,,
,,2012 - 2013,,,,7.0,3.6,0.51,,,,,,,,,,,,
,,2016 - 2017,,,,6.0,2.0,0.33,,,,,,,,,,,,
,,2017 - 2018,,,,6.0,2.0,0.33,,,,,,,,,,,,
,,2018 - 2019,,,,7.0,2.3,0.33,,,,,,,,,,,,
,,2019 - 2020,,,,7.0,2.3,0.33,,,,,,,,,,,,
,,2020 - 2021,,,,7.0,2.3,0.33,,,,,,,,,,,,
,Pulwama,2001 - 2002,,,,54.0,29.0,0.54,,,,,,,,,,,,
,,2002 - 2003,,,,423.0,226.0,0.53,,,,,,,,,,,,
,,2003 - 2004,,,,31.0,17.0,0.55,,,,,,,,,,,,
,,2004 - 2005,,,,15.0,8.0,0.53,,,,,,,,,,,,
,,2006 - 2007,,,,36.0,19.2,0.53,,,,,,,,,,,,
,,2007 - 2008,,,,18.0,9.6,0.53,,,,,,,,,,,,
,,2009 - 2010,,,,5.0,2.7,0.54,,,,,,,,,,,,
,,2010 - 2011,,,,7.0,3.8,0.54,,,,,,,,,,,,
,,2011 - 2012,,,,9.0,4.9,0.54,,,,,,,,,,,,
,,2012 - 2013,,,,52.0,28.3,0.54,,,,,,,,,,,,
,,2015 - 2016,,,,48.0,26.2,0.55,,,,,,,,,,,,
,,2018 - 2019,,,,110.0,37.7,0.34,,,,,,,,,,,,
,Rajauri,2001 - 2002,,,,519.0,255.0,0.49,,,,,,,,,,,,
,,2002 - 2003,,,,518.0,259.0,0.5,,,,,,,,,,,,
,,2003 - 2004,,,,446.0,223.0,0.5,,,,,,,,,,,,
,,2004 - 2005,,,,422.0,192.0,0.45,,,,,,,,,,,,
,,2005 - 2006,,,,383.0,191.8,0.5,,,,,,,,,,,,
,,2006 - 2007,,,,375.0,187.8,0.5,,,,,,,,,,,,
,,2007 - 2008,,,,352.0,176.3,0.5,,,,,,,,,,,,
,,2009 - 2010,,,,,609.5,0.5,,,,,,,,,,,,
,,2010 - 2011,,,,213.0,106.1,0.5,,,,,,,,,,,,
,,2011 - 2012,,,,228.0,113.6,0.5,,,,,,,,,,,,
,,2012 - 2013,,,,264.0,131.5,0.5,,,,,,,,,,,,
,,2014 - 2015,,,,111.0,55.3,0.5,,,,,,,,,,,,
,,2015 - 2016,2.0,0.9,0.45,233.0,116.1,0.5,,,,,,,,,,,,
,,2016 - 2017,,,,196.0,97.6,0.5,,,,,,,,,,,,
,,2017 - 2018,,,,192.0,95.7,0.5,,,,,,,,,,,,
,,2018 - 2019,,,,448.0,223.3,0.5,,,,,,,,,,,,
,,2019 - 2020,,,,316.0,157.5,0.5,,,,,,,,,,,,
,,2020 - 2021,,,,28.0,11.2,0.4,,,,,,,,,,,,
,Reasi,2007 - 2008,,,,351.0,178.7,0.51,,,,,,,,,,,,
,,2009 - 2010,,,,576.0,293.3,0.51,,,,,,,,,,,,
,,2010 - 2011,,,,276.0,140.5,0.51,,,,,,,,,,,,
,,2011 - 2012,,,,268.0,136.4,0.51,,,,,,,,,,,,
,,2012 - 2013,,,,273.0,138.9,0.51,,,,,,,,,,,,
,,2014 - 2015,,,,185.0,94.1,0.51,,,,,,,,,,,,
,,2015 - 2016,,,,126.0,52.9,0.42,,,,,,,,,,,,
,,2016 - 2017,,,,326.0,136.8,0.42,,,,,,,,,,,,
,,2017 - 2018,,,,68.0,28.6,0.42,,,,,,,,,,,,
,,2018 - 2019,,,,113.0,47.5,0.42,,,,,,,,,,,,
,,2019 - 2020,,,,65.0,27.3,0.42,,,,,,,,,,,,
,,2020 - 2021,,,,28.0,11.8,0.42,,,,,,,,,,,,
,Samba,2007 - 2008,,,,,,0.44,,,,,,,,,,,,
,,2009 - 2010,,,,,119.6,0.04,,,,,,,,,,,,
,,2010 - 2011,,,,,124.8,0.04,,,,,,,,,,,,
,,2011 - 2012,,,,,117.4,0.04,,,,,,,,,,,,
,,2012 - 2013,,,,,798.8,0.3,,,,,,,,,,,,
,,2014 - 2015,,,,,,0.3,,,,,,,,,,,,
,,2015 - 2016,,,,,678.1,0.3,,,,,,,,,,,,
,,2016 - 2017,,,,,647.9,0.3,,,,,,,,,,,,
,,2017 - 2018,,,,,558.0,0.3,,,,,,,,,,,,
,,2018 - 2019,,,,,509.9,0.3,,,,,,,,,,,,
,,2019 - 2020,,,,,597.8,0.3,,,,,,,,,,,,
,,2020 - 2021,,,,870.0,260.0,0.3,,,,,,,,,,,,
,Srinagar,2001 - 2002,,,,140.0,95.0,0.68,,,,,,,,,,,,
,,2002 - 2003,,,,152.0,103.0,0.68,,,,,,,,,,,,
,,2003 - 2004,,,,139.0,95.0,0.68,,,,,,,,,,,,
,,2004 - 2005,,,,142.0,97.0,0.68,,,,,,,,,,,,
,,2005 - 2006,,,,142.0,96.6,0.68,,,,,,,,,,,,
,Udhampur,2001 - 2002,,,,,905.0,0.51,,,,,,,,,,,,
,,2002 - 2003,,,,,,0.51,,,,,,,,,,,,
,,2003 - 2004,,,,,,0.51,,,,,,,,,,,,
,,2004 - 2005,,,,,,0.45,,,,,,,,,,,,
,,2005 - 2006,,,,,,0.51,,,,,,,,,,,,
,,2006 - 2007,,,,,,0.51,,,,,,,,,,,,
,,2007 - 2008,,,,,884.6,0.51,,,,,,,,,,,,
,,2009 - 2010,,,,,,0.51,,,,,,,,,,,,
,,2010 - 2011,,,,,990.5,0.51,,,,,,,,,,,,
,,2011 - 2012,,,,,880.1,0.51,,,,,,,,,,,,
,,2012 - 2013,,,,,933.0,0.51,,,,,,,,,,,,
,,2014 - 2015,,,,,429.6,0.37,,,,,,,,,,,,
,,2015 - 2016,,,,,473.3,0.37,,,,,,,,,,,,
,,2016 - 2017,,,,,530.9,0.37,,,,,,,,,,,,
,,2017 - 2018,,,,,530.9,0.37,,,,,,,,,,,,
,,2018 - 2019,,,,,450.1,0.37,,,,,,,,,,,,
,,2019 - 2020,,,,,530.9,0.37,,,,,,,,,,,,
,,2020 - 2021,,,,,458.9,0.37,,,,,,,,,,,,
Jharkhand,Bokaro,2015 - 2016,,,,,,,,,,62.0,68.0,1.1,,,,,,
,,2016 - 2017,,,,,,,,,,6.0,6.0,1.0,,,,,,
,,2017 - 2018,,,,,,0.47,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.83,,,,,,,,,,,,
,,2019 - 2020,,,,,,1.6,,,,,,,,,,,,
,,2021 - 2022,,,,,,1.75,,,,,,,,,,,,
,,2022 - 2023,,,,,,0.82,,,,,,,,,,,,
,Chatra,2015 - 2016,,,,,,,,,,541.0,439.0,0.81,,,,,,
,,2016 - 2017,,,,,,,,,,502.0,544.0,1.08,,,,,,
,,2017 - 2018,,,,,,1.07,,,,,,,,,,,,
,,2018 - 2019,,,,,,1.1,,,,,,,,,,,,
,,2019 - 2020,,,,,,1.12,,,,,,,,,,,,
,,2020 - 2021,,,,,,1.13,,,,,,,,,,,,
,,2021 - 2022,,,,,,1.13,,,,,,,,,,,,
,,2022 - 2023,,,,,,1.13,,,,,,,,,,,,
,Deoghar,2017 - 2018,,,,,,0.65,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.65,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.83,,,,,,,,,,,,
,,2020 - 2021,,,,,,0.83,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.85,,,,,,,,,,,,
,,2022 - 2023,,,,336.0,286.0,0.85,,,,,,,,,,,,
,Dhanbad,2017 - 2018,,,,,996.0,0.7,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.7,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.7,,,,,,,,,,,,
,,2020 - 2021,,,,,993.0,0.7,,,,,,,,,,,,
,,2021 - 2022,,,,,995.0,0.7,,,,,,,,,,,,
,,2022 - 2023,,,,354.0,248.0,0.7,,,,,,,,,,,,
,Dumka,2015 - 2016,,,,,,,,,,24.0,222.0,9.25,,,,,,
,,2016 - 2017,,,,,,,,,,1.0,2.0,2.0,,,,,,
,,2017 - 2018,,,,,,0.62,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.72,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.95,,,,,,,,,,,,
,,2020 - 2021,,,,,,0.8,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.94,,,,,,,,,,,,
,,2022 - 2023,,,,42.0,34.0,0.81,,,,,,,,,,,,
,East singhbum,2015 - 2016,,,,,,,,,,21.0,113.0,5.38,,,,,,
,,2016 - 2017,,,,,,,,,,24.0,21.0,0.88,,,,,,
,,2017 - 2018,,,,,,0.9,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.6,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.6,,,,,,,,,,,,
,,2020 - 2021,,,,,,0.67,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.68,,,,,,,,,,,,
,,2022 - 2023,,,,,925.0,0.69,,,,,,,,,,,,
,Garhwa,2015 - 2016,,,,,,,,,,604.0,191.0,0.32,,,,,,
,,2016 - 2017,,,,,,,,,,654.0,492.0,0.75,,,,,,
,,2017 - 2018,,,,,,0.53,,,,,,,,,,,,
,,2018 - 2019,,,,,425.0,0.28,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.8,,,,,,,,,,,,
,,2020 - 2021,,,,,,0.82,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.82,,,,,,,,,,,,
,,2022 - 2023,,,,,,0.72,,,,,,,,,,,,
,Giridih,2015 - 2016,,,,,,,,,,49.0,22.0,0.45,,,,,,
,,2016 - 2017,,,,,,,,,,,,0.98,,,,,,
,,2017 - 2018,,,,,,1.01,,,,,,,,,,,,
,,2018 - 2019,,,,,,1.01,,,,,,,,,,,,
,,2019 - 2020,,,,,,1.01,,,,,,,,,,,,
,,2020 - 2021,,,,,,0.92,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.99,,,,,,,,,,,,
,,2022 - 2023,,,,,,1.07,,,,,,,,,,,,
,Godda,2017 - 2018,,,,,,0.76,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.76,,,,,,,,,,,,
,,2019 - 2020,,,,,993.0,0.78,,,,,,,,,,,,
,,2020 - 2021,,,,105.0,80.0,0.76,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.62,,,,,,,,,,,,
,,2022 - 2023,,,,,,0.6,,,,,,,,,,,,
,Gumla,2015 - 2016,,,,,,,,,,,739.0,0.12,,,,,,
,,2016 - 2017,,,,,,,,,,,,1.41,,,,,,
,,2017 - 2018,,,,,,1.01,,,,,,,,,,,,
,,2018 - 2019,,,,,,1.04,,,,,,,,,,,,
,,2019 - 2020,,,,,,1.02,,,,,,,,,,,,
,,2020 - 2021,,,,,,1.02,,,,,,,,,,,,
,,2021 - 2022,,,,,,1.2,,,,,,,,,,,,
,,2022 - 2023,,,,,,1.42,,,,,,,,,,,,
,Hazaribagh,2015 - 2016,,,,,,,,,,943.0,656.0,0.7,,,,,,
,,2016 - 2017,,,,,,,,,,,991.0,0.93,,,,,,
,,2017 - 2018,,,,,,0.76,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.76,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.75,,,,,,,,,,,,
,,2020 - 2021,,,,,,0.76,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.65,,,,,,,,,,,,
,,2022 - 2023,,,,,,0.65,,,,,,,,,,,,
,Jamtara,2017 - 2018,,,,132.0,162.0,1.23,,,,,,,,,,,,
,,2018 - 2019,,,,131.0,118.0,0.9,,,,,,,,,,,,
,,2019 - 2020,,,,357.0,262.0,0.73,,,,,,,,,,,,
,,2020 - 2021,,,,146.0,139.0,0.95,,,,,,,,,,,,
,,2021 - 2022,,,,150.0,143.0,0.95,,,,,,,,,,,,
,,2022 - 2023,,,,,,1.0,,,,,,,,,,,,
,Khunti,2015 - 2016,,,,,,,,,,,,0.75,,,,,,
,,2016 - 2017,,,,,,,,,,,,0.75,,,,,,
,,2017 - 2018,,,,,,1.05,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.96,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.6,,,,,,,,,,,,
,,2020 - 2021,,,,,,0.9,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.9,,,,,,,,,,,,
,,2022 - 2023,,,,,,0.75,,,,,,,,,,,,
,Koderma,2015 - 2016,,,,,,,,,,184.0,220.0,1.2,,,,,,
,,2016 - 2017,,,,,,,,,,180.0,182.0,1.01,,,,,,
,,2017 - 2018,,,,,,0.7,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.8,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.7,,,,,,,,,,,,
,,2020 - 2021,,,,,,0.7,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.9,,,,,,,,,,,,
,,2022 - 2023,,,,,,0.9,,,,,,,,,,,,
,Latehar,2015 - 2016,,,,,,,,,,,991.0,0.57,,,,,,
,,2016 - 2017,,,,,,,,,,,879.0,0.54,,,,,,
,,2017 - 2018,,,,,,0.71,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.71,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.73,,,,,,,,,,,,
,,2020 - 2021,,,,,,0.73,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.72,,,,,,,,,,,,
,,2022 - 2023,,,,,,0.72,,,,,,,,,,,,
,Lohardaga,2015 - 2016,,,,,,,,,,644.0,256.0,0.4,,,,,,
,,2016 - 2017,,,,,,,,,,791.0,827.0,1.05,,,,,,
,,2017 - 2018,,,,,,0.4,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.5,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.5,,,,,,,,,,,,
,,2020 - 2021,,,,,,0.83,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.6,,,,,,,,,,,,
,,2022 - 2023,,,,,,0.5,,,,,,,,,,,,
,Pakur,2016 - 2017,,,,,,,,,,9.0,21.0,2.33,,,,,,
,,2017 - 2018,,,,,,0.77,,,,,,,,,,,,
,,2018 - 2019,,,,,775.0,0.32,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.77,,,,,,,,,,,,
,,2020 - 2021,,,,,,0.77,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.77,,,,,,,,,,,,
,Palamu,2015 - 2016,,,,,,,,,,,,0.62,,,,,,
,,2016 - 2017,,,,,,,,,,,,0.78,,,,,,
,,2017 - 2018,,,,,,0.8,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.43,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.81,,,,,,,,,,,,
,,2020 - 2021,,,,,,0.81,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.86,,,,,,,,,,,,
,,2022 - 2023,,,,,,0.78,,,,,,,,,,,,
,Ramgarh,2017 - 2018,,,,,,0.75,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.75,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.75,,,,,,,,,,,,
,,2020 - 2021,,,,,,0.75,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.68,,,,,,,,,,,,
,,2022 - 2023,,,,,,0.66,,,,,,,,,,,,
,Ranchi,2015 - 2016,,,,,,,,,,,592.0,0.38,,,,,,
,,2016 - 2017,,,,,,,,,,,,0.71,,,,,,
,,2017 - 2018,,,,,,0.85,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.86,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.9,,,,,,,,,,,,
,,2020 - 2021,,,,,,0.9,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.8,,,,,,,,,,,,
,,2022 - 2023,,,,,,0.8,,,,,,,,,,,,
,Sahebganj,2015 - 2016,,,,,,,,,,53.0,96.0,1.81,,,,,,
,,2016 - 2017,,,,,,,,,,,,2.29,,,,,,
,,2017 - 2018,,,,,,1.03,,,,,,,,,,,,
,,2018 - 2019,,,,,,1.15,,,,,,,,,,,,
,,2019 - 2020,,,,,,1.03,,,,,,,,,,,,
,,2020 - 2021,,,,,,1.03,,,,,,,,,,,,
,,2021 - 2022,,,,,,1.03,,,,,,,,,,,,
,,2022 - 2023,,,,,,0.88,,,,,,,,,,,,
,Saraikela kharsawan,2015 - 2016,,,,,,,,,,165.0,100.0,0.61,,,,,,
,,2016 - 2017,,,,,,,,,,137.0,133.0,0.97,,,,,,
,,2017 - 2018,,,,,,1.1,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.7,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.7,,,,,,,,,,,,
,,2020 - 2021,,,,,,0.7,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.7,,,,,,,,,,,,
,,2022 - 2023,,,,,,0.7,,,,,,,,,,,,
,Simdega,2015 - 2016,,,,,,,,,,,,0.56,,,,,,
,,2016 - 2017,,,,,,,,,,,,0.78,,,,,,
,,2017 - 2018,,,,,,1.1,,,,,,,,,,,,
,,2018 - 2019,,,,,,1.1,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.98,,,,,,,,,,,,
,,2020 - 2021,,,,,,0.98,,,,,,,,,,,,
,,2021 - 2022,,,,,,1.05,,,,,,,,,,,,
,,2022 - 2023,,,,,,1.0,,,,,,,,,,,,
,West singhbhum,2016 - 2017,,,,,,,,,,167.0,165.0,0.99,,,,,,
,,2017 - 2018,,,,,,0.85,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.88,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.84,,,,,,,,,,,,
,,2020 - 2021,,,,,,0.87,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.86,,,,,,,,,,,,
,,2022 - 2023,,,,,,0.88,,,,,,,,,,,,
Karnataka,Bagalkot,2005 - 2006,,,,12.0,2.0,0.17,,,,,,,,,,,,
,,2007 - 2008,,,,40.0,14.0,0.35,,,,,,,,,,,,
,,2008 - 2009,,,,34.0,9.0,0.26,,,,,,,,,,,,
,,2009 - 2010,,,,118.0,10.0,0.08,,,,,,,,,,,,
,,2010 - 2011,,,,4.0,1.0,0.25,,,,,,,,,,,,
,,2011 - 2012,,,,32.0,12.0,0.38,,,,,,,,,,,,
,,2014 - 2015,,,,630.0,175.0,0.28,,,,,,,,,,,,
,,2015 - 2016,,,,4.0,1.0,0.25,,,,,,,,,,,,
,,2016 - 2017,,,,176.0,45.0,0.26,,,,,,,,,,,,
,,2017 - 2018,,,,,166.0,0.09,,,,,,,,,,,,
,,2018 - 2019,,,,,883.0,0.51,,,,,,,,,,,,
,,2019 - 2020,15.0,7.0,0.47,796.0,359.0,0.45,5.0,2.0,0.4,,,,,,,,,
,,2020 - 2021,28.0,15.0,0.54,,,0.33,4.0,2.0,0.5,,,,,,,,,
,,2021 - 2022,2.0,1.0,0.5,,491.0,0.31,,,,,,,,,,,,
,,2022 - 2023,,,,,771.0,0.26,,,,,,,,,,,,
,Bangalore rural,2000 - 2001,5.0,2.0,0.4,286.0,111.0,0.39,,,,,,,,,,,,
,,2001 - 2002,1.0,0.1,0.1,81.0,30.0,0.37,,,,,,,,,,,,
,,2002 - 2003,,,,25.0,4.0,0.16,,,,,,,,,,,,
,,2003 - 2004,,,,104.0,26.0,0.25,,,,,,,,,,,,
,,2004 - 2005,,,,75.0,9.0,0.12,,,,,,,,,,,,
,,2005 - 2006,,,,24.0,5.0,0.21,,,,,,,,,,,,
,,2006 - 2007,,,,45.0,6.0,0.13,,,,,,,,,,,,
,,2007 - 2008,,,,4.0,2.0,0.5,,,,,,,,,,,,
,,2008 - 2009,,,,32.0,9.0,0.28,,,,,,,,,,,,
,,2009 - 2010,,,,6.0,1.0,0.17,,,,,,,,,,,,
,,2010 - 2011,,,,25.0,9.0,0.36,,,,,,,,,,,,
,,2011 - 2012,,,,8.0,3.0,0.38,,,,,,,,,,,,
,,2012 - 2013,,,,10.0,5.0,0.5,,,,,,,,,,,,
,,2013 - 2014,,,,5.0,2.0,0.4,,,,,,,,,,,,
,,2014 - 2015,,,,3.0,1.0,0.33,,,,,,,,,,,,
,,2015 - 2016,,,,10.0,3.0,0.3,,,,,,,,,,,,
,,2016 - 2017,,,,2.0,1.0,0.5,,,,,,,,,,,,
,,2018 - 2019,,,,11.0,5.0,0.45,,,,,,,,,,,,
,,2019 - 2020,,,,20.0,9.0,0.45,,,,,,,,,,,,
,,2020 - 2021,2.0,1.0,0.5,2.0,1.0,0.5,,,,,,,,,,,,
,,2021 - 2022,,,,4.0,2.0,0.5,,,,,,,,,,,,
,,2022 - 2023,1.0,1.0,1.0,2.0,1.0,0.5,,,,,,,,,,,,
,Belgaum,2000 - 2001,,,,,936.0,0.39,,,,,,,,,,,,
,,2001 - 2002,,,,,,0.37,,,,,,,,,,,,
,,2002 - 2003,,,,,202.0,0.11,,,,,,,,,,,,
,,2003 - 2004,,,,,237.0,0.22,,,,,,,,,,,,
,,2004 - 2005,,,,,748.0,0.21,,,,,,,,,,,,
,,2005 - 2006,,,,,702.0,0.26,,,,,,,,,,,,
,,2006 - 2007,,,,,723.0,0.17,,,,,,,,,,,,
,,2007 - 2008,,,,,,0.43,,,,,,,,,,,,
,,2008 - 2009,,,,,512.0,0.23,,,,,,,,,,,,
,,2009 - 2010,,,,,574.0,0.18,,,,,,,,,,,,
,,2010 - 2011,,,,,,0.32,,,,,,,,,,,,
,,2011 - 2012,,,,,761.0,0.23,,,,,,,,,,,,
,,2012 - 2013,,,,,314.0,0.26,,,,,,,,,,,,
,,2013 - 2014,299.0,171.0,0.57,,,0.27,,,,,,,,,,,,
,,2014 - 2015,3.0,1.0,0.33,,601.0,0.22,,,,,,,,,,,,
,,2015 - 2016,,,,,493.0,0.13,,,,,,,,,,,,
,,2016 - 2017,,,,,,0.34,,,,,,,,,,,,
,,2017 - 2018,,,,,,0.37,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.55,,,,,,,,,,,,
,,2019 - 2020,5.0,2.0,0.4,,,0.47,4.0,2.0,0.5,,,,,,,,,
,,2020 - 2021,222.0,116.0,0.52,,,0.52,38.0,19.0,0.5,,,,,,,,,
,,2021 - 2022,86.0,46.0,0.53,,,0.49,,,,,,,,,,,,
,,2022 - 2023,289.0,151.0,0.52,,,0.4,,,,,,,,,,,,
,Bellary,2000 - 2001,85.0,30.0,0.35,148.0,57.0,0.39,,,,,,,,,,,,
,,2001 - 2002,184.0,69.0,0.38,67.0,25.0,0.37,,,,,,,,,,,,
,,2002 - 2003,105.0,12.0,0.11,28.0,4.0,0.14,,,,,,,,,,,,
,,2003 - 2004,34.0,18.0,0.53,26.0,7.0,0.27,,,,,,,,,,,,
,,2004 - 2005,53.0,18.0,0.34,8.0,1.0,0.13,,,,,,,,,,,,
,,2005 - 2006,80.0,38.0,0.48,73.0,14.0,0.19,,,,,,,,,,,,
,,2006 - 2007,170.0,89.0,0.52,32.0,4.0,0.13,,,,,,,,,,,,
,,2007 - 2008,115.0,45.0,0.39,68.0,29.0,0.43,,,,,,,,,,,,
,,2008 - 2009,126.0,55.0,0.44,13.0,3.0,0.23,,,,,,,,,,,,
,,2009 - 2010,77.0,30.0,0.39,,,,,,,,,,,,,,,
,,2010 - 2011,64.0,30.0,0.47,3.0,1.0,0.33,,,,,,,,,,,,
,,2011 - 2012,73.0,37.0,0.51,,,,,,,,,,,,,,,
,,2012 - 2013,1.0,1.0,1.0,16.0,8.0,0.5,,,,,,,,,,,,
,,2013 - 2014,23.0,13.0,0.57,,,,,,,,,,,,,,,
,,2014 - 2015,,,,124.0,35.0,0.28,,,,,,,,,,,,
,,2015 - 2016,81.0,31.0,0.38,67.0,17.0,0.25,,541.0,0.5,,,,,,,,,
,,2016 - 2017,106.0,51.0,0.48,242.0,118.0,0.49,32.0,17.0,0.53,,,,,,,,,
,,2017 - 2018,16.0,7.0,0.44,32.0,16.0,0.5,,,,,,,,,,,,
,,2018 - 2019,15.0,8.0,0.53,13.0,6.0,0.46,12.0,6.0,0.5,,,,,,,,,
,,2019 - 2020,41.0,19.0,0.46,13.0,6.0,0.46,7.0,3.0,0.43,,,,,,,,,
,,2020 - 2021,110.0,58.0,0.53,42.0,24.0,0.57,20.0,10.0,0.5,,,,,,,,,
,,2021 - 2022,217.0,115.0,0.53,36.0,18.0,0.5,,,,,,,,,,,,
,,2022 - 2023,81.0,42.0,0.52,13.0,6.0,0.46,,,,,,,,,,,,
,Bengaluru urban,2000 - 2001,,,,134.0,52.0,0.39,,,,,,,,,,,,
,,2001 - 2002,,,,38.0,14.0,0.37,,,,,,,,,,,,
,,2002 - 2003,,,,13.0,2.0,0.15,,,,,,,,,,,,
,,2003 - 2004,,,,21.0,5.0,0.24,,,,,,,,,,,,
,,2004 - 2005,,,,25.0,3.0,0.12,,,,,,,,,,,,
,,2005 - 2006,,,,16.0,3.0,0.19,,,,,,,,,,,,
,,2006 - 2007,,,,23.0,3.0,0.13,,,,,,,,,,,,
,,2007 - 2008,,,,33.0,14.0,0.42,,,,,,,,,,,,
,,2008 - 2009,,,,30.0,8.0,0.27,,,,,,,,,,,,
,,2009 - 2010,,,,69.0,6.0,0.09,,,,,,,,,,,,
,,2010 - 2011,,,,43.0,16.0,0.37,,,,,,,,,,,,
,,2011 - 2012,,,,26.0,10.0,0.38,,,,,,,,,,,,
,,2012 - 2013,,,,28.0,13.0,0.46,,,,,,,,,,,,
,,2013 - 2014,,,,8.0,4.0,0.5,,,,,,,,,,,,
