state,district,year,urad_rabi_area_hectare,urad_rabi_production_tonne,urad_rabi_yield_tonne_per_hectare,urad_kharif_area_hectare,urad_kharif_production_tonne,urad_kharif_yield_tonne_per_hectare,urad_summer_area_hectare,urad_summer_production_tonne,urad_summer_yield_tonne_per_hectare,urad_autumn_area_hectare,urad_autumn_production_tonne,urad_autumn_yield_tonne_per_hectare,urad_whole_year_area_hectare,urad_whole_year_production_tonne,urad_whole_year_yield_tonne_per_hectare,urad_winter_area_hectare,urad_winter_production_tonne,urad_winter_yield_tonne_per_hectare
,,2018 - 2019,,,0.95,610.0,561.0,0.92,,,,,,,,,,,,
,,2019 - 2020,,,1.19,176.0,130.0,0.74,,,,,,,,,,,,
,,2020 - 2021,,,0.97,186.0,147.0,0.79,,,,,,,,,,,,
,,2021 - 2022,,,0.78,150.0,153.0,1.02,,,,,,,,,,,,
,,2022 - 2023,684.0,586.0,0.86,121.0,89.0,0.74,,,,,,,,,,,,
,East godavari,2000 - 2001,,,0.68,196.0,12.0,0.06,,,,,,,,,,,,
,,2001 - 2002,,,0.16,,442.0,0.36,,,,,,,,,,,,
,,2002 - 2003,,,0.07,,206.0,0.05,,,,,,,,,,,,
,,2003 - 2004,,,0.35,,,0.62,,,,,,,,,,,,
,,2004 - 2005,,,0.25,421.0,203.0,0.48,,,,,,,,,,,,
,,2005 - 2006,,,0.18,,496.0,0.34,,,,,,,,,,,,
,,2006 - 2007,,,0.26,,396.0,0.38,,,,,,,,,,,,
,,2007 - 2008,,,0.21,,,0.0,,,,,,,,,,,,
,,2008 - 2009,,,0.27,995.0,361.0,0.36,,,,,,,,,,,,
,,2009 - 2010,,,0.04,,,0.29,,,,,,,,,,,,
,,2010 - 2011,,,0.21,,600.0,0.42,,,,,,,,,,,,
,,2011 - 2012,,,0.1,,,0.5,,,,,,,,,,,,
,,2012 - 2013,,,0.33,,,1.0,,,,,,,,,,,,
,,2013 - 2014,,,0.13,,,0.63,,,,,,,,,,,,
,,2014 - 2015,,,0.41,,,1.02,,,,,,,,,,,,
,,2015 - 2016,,,0.53,,,1.07,,,,,,,,,,,,
,,2016 - 2017,,,0.65,,,0.91,,,,,,,,,,,,
,,2017 - 2018,,,0.79,,,1.2,,,,,,,,,,,,
,,2018 - 2019,,,0.65,,,1.15,,,,,,,,,,,,
,,2019 - 2020,,,0.85,,,1.07,,,,,,,,,,,,
,,2020 - 2021,,,0.93,,,1.2,,,,,,,,,,,,
,,2021 - 2022,,,1.26,,,0.93,,,,,,,,,,,,
,,2022 - 2023,389.0,470.0,1.21,,,1.58,,,,,,,,,,,,
,Eluru,2022 - 2023,,,1.47,,,1.34,,,,,,,,,,,,
,Guntur,2000 - 2001,,,0.78,,550.0,0.06,,,,,,,,,,,,
,,2001 - 2002,,,0.77,,,0.36,,,,,,,,,,,,
,,2002 - 2003,,,0.66,,167.0,0.05,,,,,,,,,,,,
,,2003 - 2004,,,0.26,,995.0,0.62,,,,,,,,,,,,
,,2004 - 2005,,,0.67,,501.0,0.48,,,,,,,,,,,,
,,2005 - 2006,,,0.78,,428.0,0.34,,,,,,,,,,,,
,,2006 - 2007,,,0.94,,531.0,0.48,,,,,,,,,,,,
,,2007 - 2008,,,0.29,,,1.0,,,,,,,,,,,,
,,2008 - 2009,,,0.56,222.0,71.0,0.32,,,,,,,,,,,,
,,2009 - 2010,,,0.58,342.0,320.0,0.94,,,,,,,,,,,,
,,2010 - 2011,,,0.56,277.0,14.0,0.05,,,,,,,,,,,,
,,2011 - 2012,,,1.1,172.0,189.0,1.1,,,,,,,,,,,,
,,2012 - 2013,,,1.06,,,1.0,,,,,,,,,,,,
,,2013 - 2014,,,1.09,223.0,150.0,0.67,,,,,,,,,,,,
,,2014 - 2015,,,1.05,,,1.44,,,,,,,,,,,,
,,2015 - 2016,,,1.08,,,1.47,,,,,,,,,,,,
,,2016 - 2017,,,0.53,,,0.37,,,,,,,,,,,,
,,2017 - 2018,,,1.13,,,0.76,,,,,,,,,,,,
,,2018 - 2019,,,0.99,,,0.45,,,,,,,,,,,,
,,2019 - 2020,,,1.3,,,0.7,,,,,,,,,,,,
,,2020 - 2021,,,1.11,,,0.76,,,,,,,,,,,,
,,2021 - 2022,,,1.0,,,0.48,,,,,,,,,,,,
,,2022 - 2023,,,1.73,,,1.12,,,,,,,,,,,,
,Kadapa,2000 - 2001,558.0,449.0,0.8,346.0,20.0,0.06,,,,,,,,,,,,
,,2001 - 2002,,,0.68,824.0,297.0,0.36,,,,,,,,,,,,
,,2002 - 2003,803.0,465.0,0.58,208.0,11.0,0.05,,,,,,,,,,,,
,,2003 - 2004,60.0,23.0,0.38,11.0,7.0,0.64,,,,,,,,,,,,
,,2004 - 2005,18.0,11.0,0.61,19.0,9.0,0.47,,,,,,,,,,,,
,,2005 - 2006,3.0,2.0,0.67,21.0,7.0,0.33,,,,,,,,,,,,
,,2006 - 2007,638.0,499.0,0.78,,,,,,,,,,,,,,,
,,2008 - 2009,19.0,13.0,0.68,6.0,2.0,0.33,,,,,,,,,,,,
,,2009 - 2010,279.0,206.0,0.74,29.0,9.0,0.31,,,,,,,,,,,,
,,2010 - 2011,,,0.53,756.0,319.0,0.42,,,,,,,,,,,,
,,2011 - 2012,,,0.7,256.0,136.0,0.53,,,,,,,,,,,,
,,2012 - 2013,,,0.8,,,,,,,,,,,,,,,
,,2013 - 2014,,,0.79,70.0,65.0,0.93,,,,,,,,,,,,
,,2014 - 2015,,,0.68,504.0,668.0,1.33,,,,,,,,,,,,
,,2015 - 2016,,,0.86,,,0.5,,,,,,,,,,,,
,,2016 - 2017,,,0.64,,,0.73,,,,,,,,,,,,
,,2017 - 2018,,,1.43,,725.0,0.58,,,,,,,,,,,,
,,2018 - 2019,,,0.44,46.0,20.0,0.43,,,,,,,,,,,,
,,2019 - 2020,,,0.92,91.0,105.0,1.15,,,,,,,,,,,,
,,2020 - 2021,,,0.77,,,0.56,,,,,,,,,,,,
,,2021 - 2022,,,0.83,,,0.67,,,,,,,,,,,,
,,2022 - 2023,,,1.23,,,0.4,,,,,,,,,,,,
,Kakinada,2022 - 2023,,,0.85,931.0,,1.24,,,,,,,,,,,,
,Konaseema,2022 - 2023,735.0,176.0,0.24,2.0,2.0,1.0,,,,,,,,,,,,
,Krishna,2000 - 2001,,,1.08,,267.0,0.06,,,,,,,,,,,,
,,2001 - 2002,,,0.95,,,0.36,,,,,,,,,,,,
,,2002 - 2003,,,0.9,,255.0,0.05,,,,,,,,,,,,
,,2003 - 2004,,,0.4,,,0.62,,,,,,,,,,,,
,,2004 - 2005,,,0.85,,,0.48,,,,,,,,,,,,
,,2005 - 2006,,,0.83,,,0.34,,,,,,,,,,,,
,,2006 - 2007,,,1.06,,,0.36,,,,,,,,,,,,
,,2007 - 2008,,,0.71,,,0.67,,,,,,,,,,,,
,,2008 - 2009,,,0.99,,836.0,0.32,,,,,,,,,,,,
,,2009 - 2010,,,1.31,,693.0,0.21,,,,,,,,,,,,
,,2010 - 2011,,,0.62,,613.0,0.27,,,,,,,,,,,,
,,2011 - 2012,,,0.9,,727.0,0.48,,,,,,,,,,,,
,,2012 - 2013,,,0.98,,,1.0,,,,,,,,,,,,
,,2013 - 2014,,,0.91,,748.0,0.7,,,,,,,,,,,,
,,2014 - 2015,,,1.17,841.0,775.0,0.92,,,,,,,,,,,,
,,2015 - 2016,,,1.26,,,1.18,,,,,,,,,,,,
,,2016 - 2017,,,0.77,,,0.92,,,,,,,,,,,,
,,2017 - 2018,,,1.18,,,1.19,,,,,,,,,,,,
