state,district,year,sesamum_summer_area_hectare,sesamum_summer_production_tonne,sesamum_summer_yield_tonne_per_hectare,sesamum_rabi_area_hectare,sesamum_rabi_production_tonne,sesamum_rabi_yield_tonne_per_hectare,sesamum_kharif_area_hectare,sesamum_kharif_production_tonne,sesamum_kharif_yield_tonne_per_hectare,sesamum_winter_area_hectare,sesamum_winter_production_tonne,sesamum_winter_yield_tonne_per_hectare,sesamum_whole_year_area_hectare,sesamum_whole_year_production_tonne,sesamum_whole_year_yield_tonne_per_hectare,sesamum_autumn_area_hectare,sesamum_autumn_production_tonne,sesamum_autumn_yield_tonne_per_hectare
,,2015 - 2016,,,,,717.0,0.3,254.0,54.0,0.21,,,,,,,,,
,,2016 - 2017,,,,,401.0,0.18,754.0,125.0,0.17,,,,,,,,,
,,2017 - 2018,,,,,315.0,0.14,217.0,41.0,0.19,,,,,,,,,
,,2018 - 2019,,,,,326.0,0.15,161.0,38.0,0.24,,,,,,,,,
,,2019 - 2020,,,,,370.0,0.19,139.0,33.0,0.24,,,,,,,,,
,,2020 - 2021,,,,,338.0,0.23,78.0,18.0,0.23,,,,,,,,,
,,2021 - 2022,,,,,397.0,0.34,252.0,55.0,0.22,,,,,,,,,
,,2022 - 2023,,,,141.0,28.0,0.2,,,,,,,,,,,,
,Eluru,2022 - 2023,,,,15.0,5.0,0.33,1.0,0.18,0.18,,,,,,,,,
,Guntur,2000 - 2001,,,,290.0,61.0,0.21,,,0.23,,,,,,,,,
,,2001 - 2002,,,,100.0,25.0,0.25,,,0.17,,,,,,,,,
,,2002 - 2003,,,,83.0,15.0,0.18,,609.0,0.1,,,,,,,,,
,,2003 - 2004,,,,,262.0,0.21,,,0.29,,,,,,,,,
,,2004 - 2005,,,,805.0,190.0,0.24,,,0.38,,,,,,,,,
,,2005 - 2006,,,,363.0,83.0,0.23,,499.0,0.12,,,,,,,,,
,,2006 - 2007,,,,83.0,16.0,0.19,,568.0,0.28,,,,,,,,,
,,2007 - 2008,,,,,,,,,0.5,,,,,,,,,
,,2008 - 2009,,,,35.0,6.0,0.17,501.0,180.0,0.36,,,,,,,,,
,,2009 - 2010,,,,15.0,3.0,0.2,,,0.55,,,,,,,,,
,,2010 - 2011,,,,621.0,142.0,0.23,,736.0,0.12,,,,,,,,,
,,2011 - 2012,,,,,283.0,0.22,,,0.45,,,,,,,,,
,,2012 - 2013,,,,,,0.0,,,0.5,,,,,,,,,
,,2013 - 2014,,,,,238.0,0.21,,,0.78,,,,,,,,,
,,2014 - 2015,,,,,261.0,0.19,,449.0,0.3,,,,,,,,,
,,2015 - 2016,,,,457.0,140.0,0.31,,479.0,0.15,,,,,,,,,
,,2016 - 2017,,,,40.0,8.0,0.2,,,0.43,,,,,,,,,
,,2017 - 2018,,,,298.0,160.0,0.54,,526.0,0.38,,,,,,,,,
,,2018 - 2019,,,,196.0,52.0,0.27,,840.0,0.44,,,,,,,,,
,,2019 - 2020,,,,144.0,56.0,0.39,571.0,263.0,0.46,,,,,,,,,
,,2020 - 2021,,,,361.0,184.0,0.51,595.0,202.0,0.34,,,,,,,,,
,,2021 - 2022,,,,583.0,286.0,0.49,144.0,42.0,0.29,,,,,,,,,
,,2022 - 2023,,,,9.0,3.0,0.33,2.0,0.35,0.18,,,,,,,,,
,Kadapa,2000 - 2001,,,,,793.0,0.21,390.0,90.0,0.23,,,,,,,,,
,,2001 - 2002,,,,,,0.48,38.0,6.0,0.16,,,,,,,,,
,,2002 - 2003,,,,,973.0,0.32,175.0,17.0,0.1,,,,,,,,,
,,2003 - 2004,,,,,668.0,0.18,355.0,104.0,0.29,,,,,,,,,
,,2004 - 2005,,,,,,0.65,254.0,24.0,0.09,,,,,,,,,
,,2005 - 2006,,,,,,0.67,247.0,41.0,0.17,,,,,,,,,
,,2006 - 2007,,,,,,0.57,123.0,31.0,0.25,,,,,,,,,
,,2007 - 2008,,,,,,0.33,,,,,,,,,,,,
,,2008 - 2009,,,,,,0.43,5.0,1.0,0.2,,,,,,,,,
,,2009 - 2010,,,,,,0.33,133.0,33.0,0.25,,,,,,,,,
,,2010 - 2011,,,,,,0.35,29.0,5.0,0.17,,,,,,,,,
,,2011 - 2012,,,,,,0.51,25.0,6.0,0.24,,,,,,,,,
,,2012 - 2013,,,,,,0.6,,,,,,,,,,,,
,,2013 - 2014,,,,,,0.36,15.0,7.0,0.47,,,,,,,,,
,,2014 - 2015,,,,,,0.72,542.0,148.0,0.27,,,,,,,,,
,,2015 - 2016,,,,,,0.49,463.0,292.0,0.63,,,,,,,,,
,,2016 - 2017,,,,,,0.43,19.0,4.0,0.21,,,,,,,,,
,,2017 - 2018,,,,,,0.51,3.0,1.0,0.33,,,,,,,,,
,,2018 - 2019,,,,,,0.65,28.0,8.0,0.29,,,,,,,,,
,,2019 - 2020,,,,,,0.66,29.0,6.0,0.21,,,,,,,,,
,,2020 - 2021,,,,,,0.46,40.0,8.0,0.2,,,,,,,,,
,,2021 - 2022,,,,,,0.39,8.0,1.0,0.13,,,,,,,,,
,,2022 - 2023,,,,,,0.41,15.0,5.0,0.33,,,,,,,,,
,Kakinada,2022 - 2023,,,,194.0,58.0,0.3,99.0,17.0,0.17,,,,,,,,,
,Konaseema,2022 - 2023,,,,1.0,0.3,0.3,,,,,,,,,,,,
,Krishna,2000 - 2001,,,,470.0,98.0,0.21,,764.0,0.23,,,,,,,,,
,,2001 - 2002,,,,187.0,47.0,0.25,,305.0,0.17,,,,,,,,,
,,2002 - 2003,,,,303.0,55.0,0.18,,134.0,0.1,,,,,,,,,
,,2003 - 2004,,,,,272.0,0.21,,993.0,0.29,,,,,,,,,
,,2004 - 2005,,,,809.0,191.0,0.24,990.0,94.0,0.09,,,,,,,,,
,,2005 - 2006,,,,190.0,44.0,0.23,801.0,135.0,0.17,,,,,,,,,
,,2006 - 2007,,,,158.0,31.0,0.2,442.0,113.0,0.26,,,,,,,,,
,,2008 - 2009,,,,407.0,73.0,0.18,198.0,39.0,0.2,,,,,,,,,
,,2009 - 2010,,,,323.0,64.0,0.2,135.0,34.0,0.25,,,,,,,,,
,,2010 - 2011,,,,285.0,65.0,0.23,414.0,70.0,0.17,,,,,,,,,
,,2011 - 2012,,,,,291.0,0.22,174.0,39.0,0.22,,,,,,,,,
,,2012 - 2013,,,,,,0.0,,,,,,,,,,,,
,,2013 - 2014,,,,860.0,181.0,0.21,217.0,97.0,0.45,,,,,,,,,
,,2014 - 2015,,,,,242.0,0.19,70.0,19.0,0.27,,,,,,,,,
,,2015 - 2016,,,,360.0,166.0,0.46,61.0,11.0,0.18,,,,,,,,,
,,2016 - 2017,,,,189.0,24.0,0.13,60.0,14.0,0.23,,,,,,,,,
,,2017 - 2018,,,,282.0,64.0,0.23,14.0,3.0,0.21,,,,,,,,,
,,2018 - 2019,,,,465.0,79.0,0.17,11.0,3.0,0.27,,,,,,,,,
,,2019 - 2020,,,,506.0,82.0,0.16,,,,,,,,,,,,
,,2020 - 2021,,,,883.0,264.0,0.3,27.0,6.0,0.22,,,,,,,,,
,,2021 - 2022,,,,782.0,179.0,0.23,15.0,3.0,0.2,,,,,,,,,
