state,district,year,sesamum_summer_area_hectare,sesamum_summer_production_tonne,sesamum_summer_yield_tonne_per_hectare,sesamum_rabi_area_hectare,sesamum_rabi_production_tonne,sesamum_rabi_yield_tonne_per_hectare,sesamum_kharif_area_hectare,sesamum_kharif_production_tonne,sesamum_kharif_yield_tonne_per_hectare,sesamum_winter_area_hectare,sesamum_winter_production_tonne,sesamum_winter_yield_tonne_per_hectare,sesamum_whole_year_area_hectare,sesamum_whole_year_production_tonne,sesamum_whole_year_yield_tonne_per_hectare,sesamum_autumn_area_hectare,sesamum_autumn_production_tonne,sesamum_autumn_yield_tonne_per_hectare
,,2004 - 2005,,,,,,,306.0,200.0,0.65,,,,,,,,,
,,2005 - 2006,,,,,,,448.0,200.0,0.45,,,,,,,,,
,,2006 - 2007,,,,,,,439.0,200.0,0.46,,,,,,,,,
,,2007 - 2008,,,,,,,325.0,200.0,0.62,,,,,,,,,
,,2008 - 2009,,,,,,,419.0,200.0,0.48,,,,,,,,,
,,2009 - 2010,,,,,,,226.0,200.0,0.88,,,,,,,,,
,,2010 - 2011,,,,,,,305.0,200.0,0.66,,,,,,,,,
,,2011 - 2012,,,,,,,141.0,100.0,0.71,,,,,,,,,
,,2012 - 2013,,,,,,,63.0,35.0,0.56,,,,,,,,,
,,2013 - 2014,,,,,,,100.0,,0.0,,,,,,,,,
,,2015 - 2016,,,,,,,200.0,100.0,0.5,,,,,,,,,
,,2016 - 2017,,,,,,,200.0,100.0,0.5,,,,,,,,,
,,2017 - 2018,,,,,,,100.0,100.0,1.0,,,,,,,,,
,,2018 - 2019,,,,,,,53.0,32.0,0.6,,,,,,,,,
,,2021 - 2022,,,,,,,100.0,80.0,0.8,,,,,,,,,
,Jhajjar,2000 - 2001,,,,,,,45.0,0.0,0.0,,,,,,,,,
,,2001 - 2002,,,,,,,35.0,0.0,0.0,,,,,,,,,
,,2002 - 2003,,,,,,,87.0,0.0,0.0,,,,,,,,,
,,2003 - 2004,,,,,,,44.0,0.0,0.0,,,,,,,,,
,,2004 - 2005,,,,,,,73.0,,0.0,,,,,,,,,
,,2005 - 2006,,,,,,,26.0,,0.0,,,,,,,,,
,,2006 - 2007,,,,,,,54.0,,0.0,,,,,,,,,
,,2007 - 2008,,,,,,,29.0,,0.0,,,,,,,,,
,,2008 - 2009,,,,,,,31.0,,0.0,,,,,,,,,
,,2009 - 2010,,,,,,,22.0,,0.0,,,,,,,,,
,,2010 - 2011,,,,,,,14.0,,0.0,,,,,,,,,
,,2011 - 2012,,,,,,,38.0,,0.0,,,,,,,,,
,,2012 - 2013,,,,,,,27.0,11.0,0.41,,,,,,,,,
,,2014 - 2015,,,,,,,200.0,100.0,0.5,,,,,,,,,
,,2015 - 2016,,,,,,,300.0,100.0,0.33,,,,,,,,,
,,2016 - 2017,,,,,,,100.0,20.0,0.2,,,,,,,,,
,,2017 - 2018,,,,,,,100.0,,0.0,,,,,,,,,
,,2018 - 2019,,,,,,,115.0,58.0,0.5,,,,,,,,,
,,2021 - 2022,,,,,,,248.0,124.0,0.5,,,,,,,,,
,Jind,2000 - 2001,,,,,,,234.0,0.0,0.0,,,,,,,,,
,,2001 - 2002,,,,,,,224.0,100.0,0.45,,,,,,,,,
,,2002 - 2003,,,,,,,939.0,200.0,0.21,,,,,,,,,
,,2003 - 2004,,,,,,,398.0,100.0,0.25,,,,,,,,,
,,2004 - 2005,,,,,,,371.0,100.0,0.27,,,,,,,,,
,,2005 - 2006,,,,,,,268.0,,0.0,,,,,,,,,
,,2006 - 2007,,,,,,,267.0,100.0,0.37,,,,,,,,,
,,2007 - 2008,,,,,,,234.0,100.0,0.43,,,,,,,,,
,,2008 - 2009,,,,,,,177.0,100.0,0.56,,,,,,,,,
,,2009 - 2010,,,,,,,101.0,,0.0,,,,,,,,,
,,2010 - 2011,,,,,,,102.0,,0.0,,,,,,,,,
,,2011 - 2012,,,,,,,69.0,,0.0,,,,,,,,,
,,2012 - 2013,,,,,,,57.0,24.0,0.42,,,,,,,,,
,,2013 - 2014,,,,,,,100.0,,0.0,,,,,,,,,
,,2018 - 2019,,,,,,,10.0,4.0,0.4,,,,,,,,,
,,2021 - 2022,,,,,,,23.0,11.5,0.5,,,,,,,,,
,Kaithal,2000 - 2001,,,,,,,45.0,0.0,0.0,,,,,,,,,
,,2001 - 2002,,,,,,,60.0,0.0,0.0,,,,,,,,,
,,2002 - 2003,,,,,,,78.0,0.0,0.0,,,,,,,,,
,,2003 - 2004,,,,,,,64.0,0.0,0.0,,,,,,,,,
,,2004 - 2005,,,,,,,80.0,,0.0,,,,,,,,,
,,2005 - 2006,,,,,,,127.0,100.0,0.79,,,,,,,,,
,,2006 - 2007,,,,,,,161.0,100.0,0.62,,,,,,,,,
,,2007 - 2008,,,,,,,135.0,100.0,0.74,,,,,,,,,
,,2008 - 2009,,,,,,,54.0,,0.0,,,,,,,,,
,,2009 - 2010,,,,,,,52.0,,0.0,,,,,,,,,
,,2010 - 2011,,,,,,,22.0,,0.0,,,,,,,,,
,,2011 - 2012,,,,,,,7.0,,0.0,,,,,,,,,
,,2012 - 2013,,,,,,,14.0,6.0,0.43,,,,,,,,,
,,2018 - 2019,,,,,,,8.0,4.0,0.5,,,,,,,,,
,,2021 - 2022,,,,,,,2.0,1.0,0.5,,,,,,,,,
,Karnal,2000 - 2001,,,,,,,23.0,0.0,0.0,,,,,,,,,
,,2001 - 2002,,,,,,,47.0,0.0,0.0,,,,,,,,,
,,2002 - 2003,,,,,,,2.0,0.0,0.0,,,,,,,,,
,,2003 - 2004,,,,,,,13.0,0.0,0.0,,,,,,,,,
,,2004 - 2005,,,,,,,33.0,,0.0,,,,,,,,,
,,2005 - 2006,,,,,,,68.0,,0.0,,,,,,,,,
,,2006 - 2007,,,,,,,64.0,,0.0,,,,,,,,,
,,2007 - 2008,,,,,,,55.0,,0.0,,,,,,,,,
,,2008 - 2009,,,,,,,23.0,,0.0,,,,,,,,,
,,2009 - 2010,,,,,,,105.0,100.0,0.95,,,,,,,,,
,,2010 - 2011,,,,,,,264.0,200.0,0.76,,,,,,,,,
,,2011 - 2012,,,,,,,34.0,,0.0,,,,,,,,,
,,2012 - 2013,,,,,,,34.0,17.0,0.5,,,,,,,,,
,,2018 - 2019,,,,,,,4.0,2.0,0.5,,,,,,,,,
,,2021 - 2022,,,,,,,154.0,92.4,0.6,,,,,,,,,
,Kurukshetra,2001 - 2002,,,,,,,3.0,0.0,0.0,,,,,,,,,
,,2002 - 2003,,,,,,,7.0,0.0,0.0,,,,,,,,,
,,2005 - 2006,,,,,,,1.0,,0.0,,,,,,,,,
,,2006 - 2007,,,,,,,6.0,,0.0,,,,,,,,,
,,2007 - 2008,,,,,,,1.0,,0.0,,,,,,,,,
,,2009 - 2010,,,,,,,1.0,,0.0,,,,,,,,,
,Mahendragarh,2000 - 2001,,,,,,,4.0,0.0,0.0,,,,,,,,,
,,2001 - 2002,,,,,,,4.0,0.0,0.0,,,,,,,,,
,,2002 - 2003,,,,,,,10.0,0.0,0.0,,,,,,,,,
,,2003 - 2004,,,,,,,14.0,0.0,0.0,,,,,,,,,
,,2004 - 2005,,,,,,,6.0,,0.0,,,,,,,,,
,,2005 - 2006,,,,,,,10.0,,0.0,,,,,,,,,
,,2006 - 2007,,,,,,,3.0,,0.0,,,,,,,,,
,,2007 - 2008,,,,,,,6.0,,0.0,,,,,,,,,
,,2008 - 2009,,,,,,,5.0,,0.0,,,,,,,,,
,,2009 - 2010,,,,,,,3.0,,0.0,,,,,,,,,
,,2010 - 2011,,,,,,,34.0,,0.0,,,,,,,,,
,,2011 - 2012,,,,,,,24.0,,0.0,,,,,,,,,
,,2012 - 2013,,,,,,,6.0,2.0,0.33,,,,,,,,,
,,2021 - 2022,,,,,,,79.0,0.0,0.0,,,,,,,,,
,Mewat,2005 - 2006,,,,,,,217.0,,0.0,,,,,,,,,
,,2006 - 2007,,,,,,,284.0,100.0,0.35,,,,,,,,,
,,2007 - 2008,,,,,,,434.0,100.0,0.23,,,,,,,,,
,,2008 - 2009,,,,,,,640.0,200.0,0.31,,,,,,,,,
,,2009 - 2010,,,,,,,435.0,100.0,0.23,,,,,,,,,
,,2010 - 2011,,,,,,,385.0,,0.0,,,,,,,,,
,,2011 - 2012,,,,,,,430.0,100.0,0.23,,,,,,,,,
,,2012 - 2013,,,,,,,288.0,91.0,0.32,,,,,,,,,
,,2013 - 2014,,,,,,,200.0,100.0,0.5,,,,,,,,,
,,2014 - 2015,,,,,,,100.0,,0.0,,,,,,,,,
,,2015 - 2016,,,,,,,500.0,200.0,0.4,,,,,,,,,
,,2016 - 2017,,,,,,,300.0,200.0,0.67,,,,,,,,,
,,2017 - 2018,,,,,,,200.0,100.0,0.5,,,,,,,,,
,,2018 - 2019,,,,,,,203.0,102.0,0.5,,,,,,,,,
,,2021 - 2022,,,,,,,191.0,95.5,0.5,,,,,,,,,
,Palwal,2008 - 2009,,,,,,,273.0,100.0,0.37,,,,,,,,,
,,2009 - 2010,,,,,,,81.0,,0.0,,,,,,,,,
,,2010 - 2011,,,,,,,74.0,,0.0,,,,,,,,,
,,2011 - 2012,,,,,,,93.0,100.0,1.08,,,,,,,,,
,,2012 - 2013,,,,,,,70.0,27.0,0.39,,,,,,,,,
,,2013 - 2014,,,,,,,100.0,100.0,1.0,,,,,,,,,
,,2014 - 2015,,,,,,,300.0,100.0,0.33,,,,,,,,,
,,2015 - 2016,,,,,,,200.0,100.0,0.5,,,,,,,,,
,,2016 - 2017,,,,,,,100.0,100.0,1.0,,,,,,,,,
,,2017 - 2018,,,,,,,100.0,100.0,1.0,,,,,,,,,
,,2018 - 2019,,,,,,,76.0,24.0,0.32,,,,,,,,,
,,2021 - 2022,,,,,,,140.0,70.0,0.5,,,,,,,,,
,Panchkula,2000 - 2001,,,,,,,94.0,0.0,0.0,,,,,,,,,
,,2001 - 2002,,,,,,,49.0,0.0,0.0,,,,,,,,,
,,2002 - 2003,,,,,,,124.0,0.0,0.0,,,,,,,,,
,,2003 - 2004,,,,,,,66.0,0.0,0.0,,,,,,,,,
,,2004 - 2005,,,,,,,47.0,,0.0,,,,,,,,,
,,2005 - 2006,,,,,,,206.0,100.0,0.49,,,,,,,,,
,,2006 - 2007,,,,,,,43.0,,0.0,,,,,,,,,
,,2007 - 2008,,,,,,,42.0,,0.0,,,,,,,,,
,,2008 - 2009,,,,,,,45.0,,0.0,,,,,,,,,
,,2009 - 2010,,,,,,,58.0,,0.0,,,,,,,,,
,,2010 - 2011,,,,,,,33.0,,0.0,,,,,,,,,
,,2011 - 2012,,,,,,,34.0,,0.0,,,,,,,,,
,,2012 - 2013,,,,,,,21.0,5.0,0.24,,,,,,,,,
,,2018 - 2019,,,,,,,13.0,4.0,0.31,,,,,,,,,
,,2019 - 2020,,,,,,,418.0,334.0,0.8,,,,,,,,,
,,2021 - 2022,,,,,,,31.0,15.5,0.5,,,,,,,,,
,Panipat,2002 - 2003,,,,,,,4.0,0.0,0.0,,,,,,,,,
,,2003 - 2004,,,,,,,9.0,0.0,0.0,,,,,,,,,
,,2004 - 2005,,,,,,,3.0,,0.0,,,,,,,,,
,,2005 - 2006,,,,,,,5.0,,0.0,,,,,,,,,
,,2006 - 2007,,,,,,,3.0,,0.0,,,,,,,,,
,,2008 - 2009,,,,,,,2.0,,0.0,,,,,,,,,
,,2009 - 2010,,,,,,,15.0,,0.0,,,,,,,,,
,,2010 - 2011,,,,,,,2.0,,0.0,,,,,,,,,
,,2011 - 2012,,,,,,,2.0,,0.0,,,,,,,,,
,,2012 - 2013,,,,,,,2.0,,0.0,,,,,,,,,
,,2021 - 2022,,,,,,,9.0,4.5,0.5,,,,,,,,,
,Rewari,2000 - 2001,,,,,,,312.0,0.0,0.0,,,,,,,,,
,,2001 - 2002,,,,,,,463.0,100.0,0.22,,,,,,,,,
,,2002 - 2003,,,,,,,657.0,100.0,0.15,,,,,,,,,
,,2003 - 2004,,,,,,,160.0,0.0,0.0,,,,,,,,,
,,2004 - 2005,,,,,,,219.0,,0.0,,,,,,,,,
,,2005 - 2006,,,,,,,329.0,100.0,0.3,,,,,,,,,
,,2006 - 2007,,,,,,,145.0,,0.0,,,,,,,,,
,,2007 - 2008,,,,,,,91.0,,0.0,,,,,,,,,
,,2008 - 2009,,,,,,,153.0,,0.0,,,,,,,,,
,,2009 - 2010,,,,,,,182.0,100.0,0.55,,,,,,,,,
,,2010 - 2011,,,,,,,256.0,100.0,0.39,,,,,,,,,
,,2011 - 2012,,,,,,,251.0,100.0,0.4,,,,,,,,,
,,2012 - 2013,,,,,,,205.0,81.0,0.4,,,,,,,,,
,,2013 - 2014,,,,,,,200.0,100.0,0.5,,,,,,,,,
,,2014 - 2015,,,,,,,200.0,100.0,0.5,,,,,,,,,
,,2015 - 2016,,,,,,,800.0,400.0,0.5,,,,,,,,,
,,2016 - 2017,,,,,,,200.0,400.0,2.0,,,,,,,,,
,,2017 - 2018,,,,,,,200.0,100.0,0.5,,,,,,,,,
,,2018 - 2019,,,,,,,175.0,68.0,0.39,,,,,,,,,
,,2021 - 2022,,,,,,,601.0,300.5,0.5,,,,,,,,,
,Rohtak,2000 - 2001,,,,,,,79.0,0.0,0.0,,,,,,,,,
,,2001 - 2002,,,,,,,83.0,0.0,0.0,,,,,,,,,
,,2002 - 2003,,,,,,,241.0,0.0,0.0,,,,,,,,,
,,2003 - 2004,,,,,,,151.0,0.0,0.0,,,,,,,,,
,,2004 - 2005,,,,,,,73.0,,0.0,,,,,,,,,
,,2005 - 2006,,,,,,,49.0,,0.0,,,,,,,,,
,,2006 - 2007,,,,,,,96.0,,0.0,,,,,,,,,
,,2007 - 2008,,,,,,,68.0,,0.0,,,,,,,,,
,,2008 - 2009,,,,,,,64.0,,0.0,,,,,,,,,
,,2009 - 2010,,,,,,,57.0,,0.0,,,,,,,,,
,,2010 - 2011,,,,,,,90.0,,0.0,,,,,,,,,
,,2011 - 2012,,,,,,,71.0,,0.0,,,,,,,,,
,,2012 - 2013,,,,,,,37.0,11.0,0.3,,,,,,,,,
,,2015 - 2016,,,,,,,100.0,20.0,0.2,,,,,,,,,
,,2018 - 2019,,,,,,,43.0,22.0,0.51,,,,,,,,,
,,2021 - 2022,,,,,,,26.0,13.0,0.5,,,,,,,,,
,Sirsa,2000 - 2001,,,,,,,609.0,500.0,0.82,,,,,,,,,
,,2001 - 2002,,,,,,,781.0,400.0,0.51,,,,,,,,,
,,2002 - 2003,,,,,,,,,0.65,,,,,,,,,
,,2003 - 2004,,,,,,,704.0,400.0,0.57,,,,,,,,,
,,2004 - 2005,,,,,,,858.0,400.0,0.47,,,,,,,,,
,,2005 - 2006,,,,,,,,500.0,0.48,,,,,,,,,
,,2006 - 2007,,,,,,,623.0,300.0,0.48,,,,,,,,,
,,2007 - 2008,,,,,,,373.0,200.0,0.54,,,,,,,,,
,,2008 - 2009,,,,,,,354.0,200.0,0.56,,,,,,,,,
,,2009 - 2010,,,,,,,298.0,200.0,0.67,,,,,,,,,
,,2010 - 2011,,,,,,,244.0,100.0,0.41,,,,,,,,,
,,2011 - 2012,,,,,,,130.0,100.0,0.77,,,,,,,,,
,,2012 - 2013,,,,,,,90.0,49.0,0.54,,,,,,,,,
,,2013 - 2014,,,,,,,100.0,,0.0,,,,,,,,,
,,2014 - 2015,,,,,,,100.0,,0.0,,,,,,,,,
,,2015 - 2016,,,,,,,100.0,100.0,1.0,,,,,,,,,
,,2016 - 2017,,,,,,,100.0,100.0,1.0,,,,,,,,,
,,2017 - 2018,,,,,,,100.0,,0.0,,,,,,,,,
,,2018 - 2019,,,,,,,49.0,39.0,0.8,,,,,,,,,
,,2021 - 2022,,,,,,,167.0,133.6,0.8,,,,,,,,,
,Sonipat,2000 - 2001,,,,,,,9.0,0.0,0.0,,,,,,,,,
,,2001 - 2002,,,,,,,3.0,0.0,0.0,,,,,,,,,
,,2002 - 2003,,,,,,,314.0,100.0,0.32,,,,,,,,,
,,2003 - 2004,,,,,,,21.0,0.0,0.0,,,,,,,,,
,,2004 - 2005,,,,,,,21.0,,0.0,,,,,,,,,
,,2005 - 2006,,,,,,,125.0,100.0,0.8,,,,,,,,,
,,2006 - 2007,,,,,,,105.0,,0.0,,,,,,,,,
,,2007 - 2008,,,,,,,114.0,,0.0,,,,,,,,,
,,2008 - 2009,,,,,,,49.0,,0.0,,,,,,,,,
,,2009 - 2010,,,,,,,27.0,,0.0,,,,,,,,,
,,2010 - 2011,,,,,,,16.0,,0.0,,,,,,,,,
,,2011 - 2012,,,,,,,11.0,,0.0,,,,,,,,,
,,2012 - 2013,,,,,,,4.0,,0.0,,,,,,,,,
,,2018 - 2019,,,,,,,1.0,1.0,1.0,,,,,,,,,
,,2021 - 2022,,,,,,,6.0,3.6,0.6,,,,,,,,,
,Yamunanagar,2000 - 2001,,,,,,,47.0,0.0,0.0,,,,,,,,,
,,2001 - 2002,,,,,,,1.0,0.0,0.0,,,,,,,,,
,,2002 - 2003,,,,,,,24.0,0.0,0.0,,,,,,,,,
,,2003 - 2004,,,,,,,5.0,0.0,0.0,,,,,,,,,
,,2004 - 2005,,,,,,,11.0,,0.0,,,,,,,,,
,,2005 - 2006,,,,,,,10.0,,0.0,,,,,,,,,
,,2006 - 2007,,,,,,,24.0,,0.0,,,,,,,,,
,,2007 - 2008,,,,,,,45.0,,0.0,,,,,,,,,
,,2008 - 2009,,,,,,,77.0,,0.0,,,,,,,,,
,,2009 - 2010,,,,,,,77.0,,0.0,,,,,,,,,
,,2010 - 2011,,,,,,,53.0,,0.0,,,,,,,,,
,,2011 - 2012,,,,,,,35.0,,0.0,,,,,,,,,
,,2012 - 2013,,,,,,,19.0,7.0,0.37,,,,,,,,,
,,2015 - 2016,,,,,,,100.0,100.0,1.0,,,,,,,,,
,,2018 - 2019,,,,,,,17.0,9.0,0.53,,,,,,,,,
,,2019 - 2020,,,,,,,3.0,2.0,0.67,,,,,,,,,
,,2021 - 2022,,,,,,,61.0,30.5,0.5,,,,,,,,,
Himachal Pradesh,Bilaspur,2000 - 2001,,,,,,,159.0,0.0,0.0,,,,,,,,,
,,2001 - 2002,,,,,,,124.0,14.0,0.11,,,,,,,,,
,,2002 - 2003,,,,,,,143.0,66.0,0.46,,,,,,,,,
,,2005 - 2006,,,,,,,86.0,43.0,0.5,,,,,,,,,
,,2006 - 2007,,,,,,,154.0,87.0,0.56,,,,,,,,,
,,2007 - 2008,,,,,,,148.0,71.0,0.48,,,,,,,,,
,,2008 - 2009,,,,,,,109.0,52.0,0.48,,,,,,,,,
,,2009 - 2010,,,,,,,93.0,11.0,0.12,,,,,,,,,
,,2010 - 2011,,,,,,,97.0,42.0,0.43,,,,,,,,,
,,2011 - 2012,,,,,,,97.0,41.0,0.42,,,,,,,,,
,,2012 - 2013,,,,,,,95.0,49.0,0.52,,,,,,,,,
,,2013 - 2014,,,,,,,94.0,40.0,0.43,,,,,,,,,
,,2014 - 2015,,,,,,,93.0,40.0,0.43,,,,,,,,,
,,2015 - 2016,,,,,,,7.0,2.0,0.29,,,,,,,,,
,,2016 - 2017,,,,,,,91.0,39.0,0.43,,,,,,,,,
,,2017 - 2018,,,,,,,7.0,3.0,0.43,,,,,,,,,
,,2018 - 2019,,,,,,,71.0,31.0,0.44,,,,,,,,,
,,2019 - 2020,,,,,,,75.0,42.0,0.56,,,,,,,,,
,,2020 - 2021,,,,,,,28.0,8.0,0.29,,,,,,,,,
,,2021 - 2022,,,,,,,26.0,8.0,0.31,,,,,,,,,
,,2022 - 2023,,,,,,,25.0,7.0,0.28,,,,,,,,,
,Chamba,2000 - 2001,,,,,,,27.0,6.0,0.22,,,,,,,,,
,,2001 - 2002,,,,,,,48.0,17.0,0.35,,,,,,,,,
,,2002 - 2003,,,,,,,49.0,7.0,0.14,,,,,,,,,
,,2005 - 2006,,,,,,,45.0,2.0,0.04,,,,,,,,,
,,2006 - 2007,,,,,,,41.0,23.0,0.56,,,,,,,,,
,,2007 - 2008,,,,,,,45.0,16.0,0.36,,,,,,,,,
,,2008 - 2009,,,,,,,36.0,13.0,0.36,,,,,,,,,
,,2009 - 2010,,,,,,,15.0,2.0,0.13,,,,,,,,,
,,2010 - 2011,,,,,,,16.0,7.0,0.44,,,,,,,,,
,,2011 - 2012,,,,,,,16.0,7.0,0.44,,,,,,,,,
,,2012 - 2013,,,,,,,16.0,9.0,0.56,,,,,,,,,
,,2013 - 2014,,,,,,,15.0,7.0,0.47,,,,,,,,,
,,2014 - 2015,,,,,,,15.0,7.0,0.47,,,,,,,,,
,,2015 - 2016,,,,,,,5.0,1.0,0.2,,,,,,,,,
,,2016 - 2017,,,,,,,15.0,7.0,0.47,,,,,,,,,
,,2017 - 2018,,,,,,,5.0,2.0,0.4,,,,,,,,,
,,2018 - 2019,,,,,,,25.0,10.0,0.4,,,,,,,,,
,,2019 - 2020,,,,,,,30.0,14.0,0.47,,,,,,,,,
,,2020 - 2021,,,,,,,8.0,2.0,0.25,,,,,,,,,
,,2021 - 2022,,,,,,,10.0,3.0,0.3,,,,,,,,,
,,2022 - 2023,,,,,,,9.0,3.0,0.33,,,,,,,,,
,Hamirpur,2000 - 2001,,,,,,,30.0,14.0,0.47,,,,,,,,,
,,2001 - 2002,,,,,,,28.0,14.0,0.5,,,,,,,,,
,,2002 - 2003,,,,,,,31.0,16.0,0.52,,,,,,,,,
,,2005 - 2006,,,,,,,4.0,2.0,0.5,,,,,,,,,
,,2006 - 2007,,,,,,,5.0,3.0,0.6,,,,,,,,,
,,2007 - 2008,,,,,,,12.0,4.0,0.33,,,,,,,,,
,,2008 - 2009,,,,,,,7.0,2.0,0.29,,,,,,,,,
,,2009 - 2010,,,,,,,4.0,,0.0,,,,,,,,,
,,2010 - 2011,,,,,,,4.0,1.0,0.25,,,,,,,,,
,,2011 - 2012,,,,,,,4.0,1.0,0.25,,,,,,,,,
,,2012 - 2013,,,,,,,4.0,2.0,0.5,,,,,,,,,
,,2013 - 2014,,,,,,,4.0,1.0,0.25,,,,,,,,,
,,2014 - 2015,,,,,,,4.0,1.0,0.25,,,,,,,,,
,,2015 - 2016,,,,,,,4.0,1.0,0.25,,,,,,,,,
,,2016 - 2017,,,,,,,4.0,1.0,0.25,,,,,,,,,
,,2017 - 2018,,,,,,,4.0,1.7,0.43,,,,,,,,,
,,2018 - 2019,,,,,,,7.0,3.0,0.43,,,,,,,,,
,,2019 - 2020,,,,,,,10.0,4.0,0.4,,,,,,,,,
,,2020 - 2021,,,,,,,7.0,2.0,0.29,,,,,,,,,
,,2021 - 2022,,,,,,,7.0,2.0,0.29,,,,,,,,,
,,2022 - 2023,,,,,,,3.0,1.0,0.33,,,,,,,,,
,Kangra,2000 - 2001,,,,,,,,,0.46,,,,,,,,,
,,2001 - 2002,,,,,,,,,0.65,,,,,,,,,
,,2002 - 2003,,,,,,,,,0.5,,,,,,,,,
,,2005 - 2006,,,,,,,,,0.43,,,,,,,,,
,,2006 - 2007,,,,,,,,,0.48,,,,,,,,,
,,2007 - 2008,,,,,,,,942.0,0.36,,,,,,,,,
,,2008 - 2009,,,,,,,,923.0,0.36,,,,,,,,,
,,2009 - 2010,,,,,,,,196.0,0.08,,,,,,,,,
,,2010 - 2011,,,,,,,,776.0,0.32,,,,,,,,,
,,2011 - 2012,,,,,,,,772.0,0.32,,,,,,,,,
,,2012 - 2013,,,,,,,,744.0,0.34,,,,,,,,,
,,2013 - 2014,,,,,,,,453.0,0.33,,,,,,,,,
,,2014 - 2015,,,,,,,,512.0,0.33,,,,,,,,,
,,2015 - 2016,,,,,,,33.0,14.0,0.42,,,,,,,,,
,,2016 - 2017,,,,,,,,729.0,0.32,,,,,,,,,
,,2017 - 2018,,,,,,,33.0,18.0,0.55,,,,,,,,,
,,2018 - 2019,,,,,,,72.0,37.0,0.51,,,,,,,,,
,,2019 - 2020,,,,,,,85.0,48.0,0.56,,,,,,,,,
,,2020 - 2021,,,,,,,,496.0,0.29,,,,,,,,,
,,2021 - 2022,,,,,,,,440.0,0.29,,,,,,,,,
,,2022 - 2023,,,,,,,,403.0,0.29,,,,,,,,,
,Kinnaur,2005 - 2006,,,,,,,1.0,,0.0,,,,,,,,,
,Mandi,2000 - 2001,,,,,,,73.0,23.0,0.32,,,,,,,,,
,,2001 - 2002,,,,,,,52.0,16.0,0.31,,,,,,,,,
,,2002 - 2003,,,,,,,80.0,15.0,0.19,,,,,,,,,
,,2005 - 2006,,,,,,,23.0,4.0,0.17,,,,,,,,,
,,2006 - 2007,,,,,,,22.0,4.0,0.18,,,,,,,,,
,,2007 - 2008,,,,,,,18.0,3.0,0.17,,,,,,,,,
,,2008 - 2009,,,,,,,37.0,7.0,0.19,,,,,,,,,
,,2009 - 2010,,,,,,,14.0,1.0,0.07,,,,,,,,,
,,2010 - 2011,,,,,,,15.0,3.0,0.2,,,,,,,,,
,,2011 - 2012,,,,,,,15.0,3.0,0.2,,,,,,,,,
,,2012 - 2013,,,,,,,15.0,6.0,0.4,,,,,,,,,
,,2013 - 2014,,,,,,,14.0,3.0,0.21,,,,,,,,,
,,2014 - 2015,,,,,,,14.0,5.0,0.36,,,,,,,,,
,,2015 - 2016,,,,,,,11.0,5.0,0.45,,,,,,,,,
,,2016 - 2017,,,,,,,14.0,3.0,0.21,,,,,,,,,
,,2017 - 2018,,,,,,,11.0,6.0,0.55,,,,,,,,,
,,2018 - 2019,,,,,,,11.0,6.0,0.55,,,,,,,,,
,,2019 - 2020,,,,,,,18.0,10.0,0.56,,,,,,,,,
,,2020 - 2021,,,,,,,17.0,5.0,0.29,,,,,,,,,
,,2021 - 2022,,,,,,,15.0,4.0,0.27,,,,,,,,,
,,2022 - 2023,,,,,,,14.0,4.0,0.29,,,,,,,,,
,Shimla,2000 - 2001,,,,,,,34.0,7.0,0.21,,,,,,,,,
,,2001 - 2002,,,,,,,52.0,13.0,0.25,,,,,,,,,
,,2002 - 2003,,,,,,,26.0,5.0,0.19,,,,,,,,,
,,2005 - 2006,,,,,,,23.0,4.0,0.17,,,,,,,,,
,,2006 - 2007,,,,,,,30.0,6.0,0.2,,,,,,,,,
,,2007 - 2008,,,,,,,26.0,5.0,0.19,,,,,,,,,
,,2008 - 2009,,,,,,,25.0,5.0,0.2,,,,,,,,,
,,2009 - 2010,,,,,,,10.0,1.0,0.1,,,,,,,,,
,,2010 - 2011,,,,,,,10.0,2.0,0.2,,,,,,,,,
,,2011 - 2012,,,,,,,10.0,2.0,0.2,,,,,,,,,
,,2012 - 2013,,,,,,,10.0,5.0,0.5,,,,,,,,,
,,2013 - 2014,,,,,,,10.0,2.0,0.2,,,,,,,,,
,,2014 - 2015,,,,,,,10.0,3.0,0.3,,,,,,,,,
,,2015 - 2016,,,,,,,9.0,3.0,0.33,,,,,,,,,
,,2016 - 2017,,,,,,,9.0,2.0,0.22,,,,,,,,,
,,2017 - 2018,,,,,,,9.0,4.0,0.44,,,,,,,,,
,,2018 - 2019,,,,,,,8.0,3.0,0.38,,,,,,,,,
,,2019 - 2020,,,,,,,12.0,5.0,0.42,,,,,,,,,
,,2020 - 2021,,,,,,,3.0,1.0,0.33,,,,,,,,,
,,2021 - 2022,,,,,,,1.0,0.3,0.3,,,,,,,,,
,Sirmaur,2000 - 2001,,,,,,,102.0,29.0,0.28,,,,,,,,,
,,2001 - 2002,,,,,,,83.0,35.0,0.42,,,,,,,,,
,,2002 - 2003,,,,,,,89.0,2.0,0.02,,,,,,,,,
,,2005 - 2006,,,,,,,35.0,18.0,0.51,,,,,,,,,
,,2006 - 2007,,,,,,,56.0,28.0,0.5,,,,,,,,,
,,2007 - 2008,,,,,,,48.0,25.0,0.52,,,,,,,,,
,,2008 - 2009,,,,,,,38.0,20.0,0.53,,,,,,,,,
