state,district,year,niger_seed_rabi_area_hectare,niger_seed_rabi_production_tonne,niger_seed_rabi_yield_tonne_per_hectare,niger_seed_kharif_area_hectare,niger_seed_kharif_production_tonne,niger_seed_kharif_yield_tonne_per_hectare,niger_seed_winter_area_hectare,niger_seed_winter_production_tonne,niger_seed_winter_yield_tonne_per_hectare,niger_seed_whole_year_area_hectare,niger_seed_whole_year_production_tonne,niger_seed_whole_year_yield_tonne_per_hectare
,,2020 - 2021,,,,,801.0,0.56,,,,,,
,,2021 - 2022,,,,,839.0,0.6,,,,,,
,,2022 - 2023,,,,,779.0,0.58,,,,,,
,Biswanath,2020 - 2021,,,,33.0,19.0,0.58,,,,,,
,,2021 - 2022,,,,13.0,8.0,0.62,,,,,,
,,2022 - 2023,,,,52.0,28.0,0.54,,,,,,
,Bongaigaon,2000 - 2001,,,,312.0,156.0,0.5,,,,,,
,,2001 - 2002,,,,399.0,200.0,0.5,,,,,,
,,2002 - 2003,,,,451.0,226.0,0.5,,,,,,
,,2003 - 2004,,,,441.0,221.0,0.5,,,,,,
,,2004 - 2005,,,,441.0,221.0,0.5,,,,,,
,,2005 - 2006,,,,262.0,131.0,0.5,,,,,,
,,2006 - 2007,,,,315.0,158.0,0.5,,,,,,
,,2007 - 2008,,,,335.0,169.0,0.5,,,,,,
,,2008 - 2009,,,,330.0,164.0,0.5,,,,,,
,,2009 - 2010,,,,321.0,161.0,0.5,,,,,,
,,2010 - 2011,,,,321.0,161.0,0.5,,,,,,
,,2011 - 2012,,,,218.0,110.0,0.5,,,,,,
,,2012 - 2013,,,,204.0,105.0,0.51,,,,,,
,,2013 - 2014,,,,179.0,94.0,0.53,,,,,,
,,2014 - 2015,,,,189.0,98.0,0.52,,,,,,
,,2015 - 2016,,,,178.0,108.0,0.61,,,,,,
,,2016 - 2017,,,,240.0,90.0,0.38,,,,,,
,,2017 - 2018,,,,202.0,76.0,0.38,,,,,,
,,2018 - 2019,,,,206.0,72.0,0.35,,,,,,
,,2019 - 2020,,,,197.0,68.0,0.35,,,,,,
,,2020 - 2021,,,,166.0,93.0,0.56,,,,,,
,,2021 - 2022,,,,250.0,111.0,0.44,,,,,,
,,2022 - 2023,,,,254.0,91.0,0.36,,,,,,
,Cachar,2000 - 2001,,,,20.0,8.0,0.4,,,,,,
,,2001 - 2002,,,,24.0,10.0,0.42,,,,,,
,,2002 - 2003,,,,24.0,10.0,0.42,,,,,,
,,2003 - 2004,,,,26.0,11.0,0.42,,,,,,
,,2004 - 2005,,,,29.0,15.0,0.52,,,,,,
,,2005 - 2006,,,,30.0,15.0,0.5,,,,,,
,,2006 - 2007,,,,30.0,14.0,0.47,,,,,,
,,2007 - 2008,,,,16.0,7.0,0.44,,,,,,
,,2008 - 2009,,,,15.0,7.0,0.47,,,,,,
,,2009 - 2010,,,,18.0,9.0,0.5,,,,,,
,,2010 - 2011,,,,18.0,8.0,0.44,,,,,,
,,2011 - 2012,,,,18.0,9.0,0.5,,,,,,
,,2012 - 2013,,,,18.0,8.0,0.44,,,,,,
,,2013 - 2014,,,,19.0,10.0,0.53,,,,,,
,,2014 - 2015,,,,19.0,10.0,0.53,,,,,,
,,2015 - 2016,,,,17.0,8.0,0.47,,,,,,
,,2016 - 2017,,,,16.0,7.0,0.44,,,,,,
,,2017 - 2018,,,,14.0,7.0,0.5,,,,,,
,,2018 - 2019,,,,14.0,7.0,0.5,,,,,,
,,2019 - 2020,,,,15.0,7.0,0.47,,,,,,
,,2020 - 2021,,,,16.0,8.0,0.5,,,,,,
,,2021 - 2022,,,,21.0,10.0,0.48,,,,,,
,,2022 - 2023,,,,21.0,6.0,0.29,,,,,,
,Chirang,2005 - 2006,,,,13.0,7.0,0.54,,,,,,
,,2006 - 2007,,,,267.0,134.0,0.5,,,,,,
,,2007 - 2008,,,,191.0,96.0,0.5,,,,,,
,,2008 - 2009,,,,,507.0,0.5,,,,,,
,,2009 - 2010,,,,490.0,249.0,0.51,,,,,,
,,2010 - 2011,,,,371.0,192.0,0.52,,,,,,
,,2011 - 2012,,,,625.0,321.0,0.51,,,,,,
,,2012 - 2013,,,,195.0,103.0,0.53,,,,,,
,,2013 - 2014,,,,195.0,128.0,0.66,,,,,,
,,2014 - 2015,,,,211.0,138.0,0.65,,,,,,
,,2015 - 2016,,,,190.0,121.0,0.64,,,,,,
,,2016 - 2017,,,,213.0,130.0,0.61,,,,,,
,,2017 - 2018,,,,291.0,199.0,0.68,,,,,,
,,2018 - 2019,,,,231.0,127.0,0.55,,,,,,
,,2019 - 2020,,,,241.0,151.0,0.63,,,,,,
,,2020 - 2021,,,,240.0,150.0,0.63,,,,,,
,,2021 - 2022,,,,249.0,145.0,0.58,,,,,,
,,2022 - 2023,,,,274.0,116.0,0.42,,,,,,
,Darrang,2000 - 2001,,,,350.0,175.0,0.5,,,,,,
,,2001 - 2002,,,,315.0,158.0,0.5,,,,,,
,,2002 - 2003,,,,801.0,401.0,0.5,,,,,,
,,2003 - 2004,,,,756.0,392.0,0.52,,,,,,
,,2004 - 2005,,,,808.0,413.0,0.51,,,,,,
,,2005 - 2006,,,,195.0,98.0,0.5,,,,,,
,,2006 - 2007,,,,240.0,120.0,0.5,,,,,,
,,2007 - 2008,,,,204.0,102.0,0.5,,,,,,
,,2008 - 2009,,,,309.0,155.0,0.5,,,,,,
,,2009 - 2010,,,,286.0,143.0,0.5,,,,,,
