state,district,year,guar_seed_rabi_area_hectare,guar_seed_rabi_production_tonne,guar_seed_rabi_yield_tonne_per_hectare,guar_seed_kharif_area_hectare,guar_seed_kharif_production_tonne,guar_seed_kharif_yield_tonne_per_hectare,guar_seed_whole_year_area_hectare,guar_seed_whole_year_production_tonne,guar_seed_whole_year_yield_tonne_per_hectare
,,2020 - 2021,,,,262.0,170.0,0.65,,,
,Gandhinagar,2000 - 2001,,,,,,,,500.0,0.23
,,2001 - 2002,,,,,,,,,0.42
,,2002 - 2003,,,,,,,900.0,300.0,0.33
,,2003 - 2004,,,,,,,,,0.75
,,2004 - 2005,,,,,,,,,0.73
,,2005 - 2006,,,,,,,,,0.57
,,2006 - 2007,,,,,,,,,0.41
,,2007 - 2008,,,,,,,,,0.64
,,2008 - 2009,,,,,,,,,0.34
,,2009 - 2010,,,,,,,,800.0,0.26
,,2010 - 2011,,,,,,,,,0.57
,,2011 - 2012,,,,,,,,,0.57
,,2012 - 2013,,,,,,,,,0.6
,,2013 - 2014,,,,,,,,,0.89
,,2014 - 2015,,,,,,,,,0.77
,,2015 - 2016,,,,,,,,,0.62
,,2016 - 2017,,,,,,,,,0.67
,,2017 - 2018,,,,,,,,,0.67
,,2018 - 2019,,,,,,,,,0.8
,,2019 - 2020,,,,,,0.9,,,
,,2020 - 2021,,,,,,1.12,,,
,,2021 - 2022,,,,,,1.1,,,
,,2022 - 2023,,,,,,1.07,,,
,Gir somnath,2014 - 2015,,,,,,,185.0,143.0,0.77
,,2015 - 2016,,,,,,,48.0,30.0,0.63
,,2017 - 2018,,,,,,,43.0,29.0,0.67
,,2019 - 2020,,,,2.0,1.0,0.5,,,
,,2020 - 2021,,,,8.0,5.0,0.63,,,
,Jamnagar,2000 - 2001,,,,,,,200.0,,0.0
,,2001 - 2002,,,,,,,100.0,100.0,1.0
,,2007 - 2008,,,,,,,,600.0,0.6
,,2012 - 2013,,,,,,,300.0,200.0,0.67
,,2013 - 2014,,,,,,,,,0.89
,,2014 - 2015,,,,,,,,,0.77
,,2015 - 2016,,,,,,,593.0,367.0,0.62
,,2016 - 2017,,,,,,,110.0,73.0,0.66
,,2017 - 2018,,,,,,,40.0,27.0,0.68
,,2018 - 2019,,,,,,,43.0,,0.0
,,2019 - 2020,,,,91.0,66.0,0.73,,,
,,2020 - 2021,,,,40.0,26.0,0.65,,,
,,2021 - 2022,,,,30.0,20.0,0.67,,,
,,2022 - 2023,,,,15.0,11.0,0.73,,,
,Junagadh,2001 - 2002,,,,,,,100.0,,0.0
,,2012 - 2013,,,,,,,300.0,200.0,0.67
,,2013 - 2014,,,,,,,605.0,536.0,0.89
,,2014 - 2015,,,,,,,40.0,31.0,0.78
,,2015 - 2016,,,,,,,270.0,167.0,0.62
,,2020 - 2021,,,,20.0,13.0,0.65,,,
,Kachchh,2000 - 2001,,,,,,,,,0.17
,,2001 - 2002,,,,,,,,,0.29
,,2002 - 2003,,,,,,,,,0.13
,,2003 - 2004,,,,,,,,,0.56
,,2004 - 2005,,,,,,,,,0.48
,,2005 - 2006,,,,,,,,,0.58
,,2006 - 2007,,,,,,,,,0.51
,,2007 - 2008,,,,,,,,,0.57
,,2008 - 2009,,,,,,,,,0.36
,,2009 - 2010,,,,,,,,,0.49
,,2010 - 2011,,,,,,,,,0.48
,,2011 - 2012,,,,,,,,,0.53
,,2012 - 2013,,,,,,,,,0.45
,,2013 - 2014,,,,,,,,,0.56
,,2014 - 2015,,,,,,,,,0.47
,,2015 - 2016,,,,,,,,,0.56
,,2016 - 2017,,,,,,,,,0.51
,,2017 - 2018,,,,,,,,,0.76
,,2018 - 2019,,,,,,,,,0.2
,,2019 - 2020,,,,,,0.58,,,
,,2020 - 2021,,,,,,0.47,,,
,,2021 - 2022,,,,,,0.51,,,
,,2022 - 2023,,,,,,0.6,,,
,Kheda,2000 - 2001,,,,,,,300.0,100.0,0.33
,,2001 - 2002,,,,,,,200.0,100.0,0.5
,,2002 - 2003,,,,,,,,400.0,0.31
,,2003 - 2004,,,,,,,100.0,100.0,1.0
,,2004 - 2005,,,,,,,600.0,500.0,0.83
,,2005 - 2006,,,,,,,400.0,300.0,0.75
,,2006 - 2007,,,,,,,,500.0,0.38
,,2007 - 2008,,,,,,,,,0.69
,,2008 - 2009,,,,,,,700.0,200.0,0.29
,,2009 - 2010,,,,,,,,400.0,0.31
,,2010 - 2011,,,,,,,,,0.58
,,2011 - 2012,,,,,,,900.0,500.0,0.56
,,2012 - 2013,,,,,,,,,0.61
,,2013 - 2014,,,,,,,,,0.89
,,2014 - 2015,,,,,,,,,0.77
,,2015 - 2016,,,,,,,,,0.62
,,2016 - 2017,,,,,,,,,0.67
,,2017 - 2018,,,,,,,,,0.67
,,2018 - 2019,,,,,,,,,0.84
,,2019 - 2020,,,,,,0.72,,,
,,2020 - 2021,,,,,,0.77,,,
,,2021 - 2022,,,,,,0.75,,,
,,2022 - 2023,,,,,,1.15,,,
,Mahesana,2000 - 2001,,,,,,,,,0.52
,,2001 - 2002,,,,,,,,,0.74
,,2002 - 2003,,,,,,,,,0.5
,,2003 - 2004,,,,,,,,,0.98
,,2004 - 2005,,,,,,,,,0.92
,,2005 - 2006,,,,,,,,,0.75
,,2006 - 2007,,,,,,,,,0.51
,,2007 - 2008,,,,,,,,,0.76
,,2008 - 2009,,,,,,,,,0.81
,,2009 - 2010,,,,,,,,,0.28
,,2010 - 2011,,,,,,,,,0.58
,,2011 - 2012,,,,,,,,,0.57
,,2012 - 2013,,,,,,,,,0.6
,,2013 - 2014,,,,,,,,,0.89
,,2014 - 2015,,,,,,,,,0.77
,,2015 - 2016,,,,,,,,,0.62
,,2016 - 2017,,,,,,,,,0.67
,,2017 - 2018,,,,,,,,,0.83
,,2018 - 2019,,,,,,,,,0.7
,,2019 - 2020,,,,,,0.72,,,
,,2020 - 2021,,,,,,0.9,,,
,,2021 - 2022,,,,,,0.81,,,
,,2022 - 2023,,,,,,0.92,,,
,Mahisagar,2014 - 2015,,,,,,,,,0.77
,,2015 - 2016,,,,,,,,,0.62
,,2016 - 2017,,,,,,,815.0,543.0,0.67
,,2017 - 2018,,,,,,,833.0,554.0,0.67
,,2018 - 2019,,,,,,,942.0,659.0,0.7
,,2019 - 2020,,,,305.0,205.0,0.67,,,
,,2020 - 2021,,,,202.0,131.0,0.65,,,
,,2021 - 2022,,,,518.0,339.0,0.65,,,
,,2022 - 2023,,,,365.0,260.0,0.71,,,
,Morbi,2021 - 2022,,,,,936.0,0.65,,,
,,2022 - 2023,,,,940.0,,1.81,,,
,Narmada,2013 - 2014,,,,,,,53.0,47.0,0.89
,,2014 - 2015,,,,,,,38.0,29.0,0.76
,,2015 - 2016,,,,,,,8.0,5.0,0.63
,Navsari,2011 - 2012,,,,,,,100.0,100.0,1.0
,,2012 - 2013,,,,,,,100.0,,40.0
,,2013 - 2014,,,,,,,4.0,4.0,1.0
,,2014 - 2015,,,,,,,6.0,5.0,0.83
,Panch mahals,2000 - 2001,,,,,,,,700.0,0.23
,,2001 - 2002,,,,,,,,,0.42
,,2002 - 2003,,,,,,,,600.0,0.3
,,2003 - 2004,,,,,,,,700.0,0.7
,,2004 - 2005,,,,,,,400.0,300.0,0.75
,,2005 - 2006,,,,,,,700.0,400.0,0.57
,,2006 - 2007,,,,,,,200.0,100.0,0.5
,,2007 - 2008,,,,,,,100.0,100.0,1.0
,,2008 - 2009,,,,,,,400.0,200.0,0.5
,,2009 - 2010,,,,,,,600.0,200.0,0.33
,,2010 - 2011,,,,,,,400.0,300.0,0.75
,,2011 - 2012,,,,,,,800.0,500.0,0.63
,,2012 - 2013,,,,,,,,,0.6
,,2013 - 2014,,,,,,,760.0,673.0,0.89
,,2014 - 2015,,,,,,,604.0,467.0,0.77
,,2015 - 2016,,,,,,,,,0.62
,,2016 - 2017,,,,,,,50.0,33.0,0.66
,,2017 - 2018,,,,,,,,,0.66
,,2018 - 2019,,,,,,,827.0,576.0,0.7
,,2019 - 2020,,,,,,0.98,,,
,,2020 - 2021,,,,54.0,58.0,1.07,,,
,,2021 - 2022,,,,579.0,595.0,1.03,,,
,,2022 - 2023,,,,150.0,107.0,0.71,,,
,Patan,2003 - 2004,,,,,,,,,0.65
,,2004 - 2005,,,,,,,,,0.71
,,2005 - 2006,,,,,,,,,0.7
,,2006 - 2007,,,,,,,,,0.48
,,2007 - 2008,,,,,,,,,0.98
,,2008 - 2009,,,,,,,,,0.6
