state,district,year,linseed_rabi_area_hectare,linseed_rabi_production_tonne,linseed_rabi_yield_tonne_per_hectare,linseed_kharif_area_hectare,linseed_kharif_production_tonne,linseed_kharif_yield_tonne_per_hectare,linseed_whole_year_area_hectare,linseed_whole_year_production_tonne,linseed_whole_year_yield_tonne_per_hectare
,,2019 - 2020,224.0,81.0,0.36,,,,,,
,,2020 - 2021,219.0,110.0,0.5,,,,,,
,,2021 - 2022,242.0,122.0,0.5,,,,,,
,,2022 - 2023,246.0,148.0,0.6,,,,,,
,Cachar,2000 - 2001,38.0,16.0,0.42,,,,,,
,,2001 - 2002,38.0,16.0,0.42,,,,,,
,,2002 - 2003,39.0,17.0,0.44,,,,,,
,,2003 - 2004,40.0,17.0,0.43,,,,,,
,,2004 - 2005,43.0,20.0,0.47,,,,,,
,,2005 - 2006,44.0,20.0,0.45,,,,,,
,,2006 - 2007,46.0,20.0,0.43,,,,,,
,,2007 - 2008,30.0,13.0,0.43,,,,,,
,,2008 - 2009,30.0,14.0,0.47,,,,,,
,,2009 - 2010,31.0,14.0,0.45,,,,,,
,,2010 - 2011,25.0,11.0,0.44,,,,,,
,,2011 - 2012,25.0,14.0,0.56,,,,,,
,,2012 - 2013,26.0,14.0,0.54,,,,,,
,,2013 - 2014,26.0,13.0,0.5,,,,,,
,,2014 - 2015,27.0,17.0,0.63,,,,,,
,,2015 - 2016,25.0,10.0,0.4,,,,,,
,,2016 - 2017,23.0,10.0,0.43,,,,,,
,,2017 - 2018,21.0,8.0,0.38,,,,,,
,,2018 - 2019,23.0,10.0,0.43,,,,,,
,,2019 - 2020,24.0,13.0,0.54,,,,,,
,,2020 - 2021,29.0,16.0,0.55,,,,,,
,,2021 - 2022,34.0,19.0,0.56,,,,,,
,,2022 - 2023,32.0,13.0,0.41,,,,,,
,Chirang,2005 - 2006,247.0,103.0,0.42,,,,,,
,,2006 - 2007,244.0,102.0,0.42,,,,,,
,,2007 - 2008,247.0,105.0,0.43,,,,,,
,,2008 - 2009,238.0,107.0,0.45,,,,,,
,,2009 - 2010,343.0,148.0,0.43,,,,,,
,,2010 - 2011,227.0,100.0,0.44,,,,,,
,,2011 - 2012,269.0,126.0,0.47,,,,,,
,,2012 - 2013,203.0,102.0,0.5,,,,,,
,,2013 - 2014,197.0,131.0,0.66,,,,,,
,,2014 - 2015,189.0,111.0,0.59,,,,,,
,,2015 - 2016,170.0,113.0,0.66,,,,,,
,,2016 - 2017,231.0,154.0,0.67,,,,,,
,,2017 - 2018,172.0,115.0,0.67,,,,,,
,,2018 - 2019,191.0,125.0,0.65,,,,,,
,,2019 - 2020,198.0,140.0,0.71,,,,,,
,,2020 - 2021,200.0,145.0,0.73,,,,,,
,,2021 - 2022,201.0,136.0,0.68,,,,,,
,,2022 - 2023,222.0,131.0,0.59,,,,,,
,Darrang,2000 - 2001,625.0,288.0,0.46,,,,,,
,,2001 - 2002,855.0,367.0,0.43,,,,,,
,,2002 - 2003,835.0,369.0,0.44,,,,,,
,,2003 - 2004,650.0,311.0,0.48,,,,,,
,,2004 - 2005,795.0,357.0,0.45,,,,,,
,,2005 - 2006,266.0,139.0,0.52,,,,,,
,,2006 - 2007,343.0,180.0,0.52,,,,,,
,,2007 - 2008,325.0,170.0,0.52,,,,,,
,,2008 - 2009,523.0,274.0,0.52,,,,,,
,,2009 - 2010,525.0,275.0,0.52,,,,,,
,,2010 - 2011,521.0,273.0,0.52,,,,,,
,,2011 - 2012,500.0,293.0,0.59,,,,,,
,,2012 - 2013,480.0,304.0,0.63,,,,,,
,,2013 - 2014,434.0,423.0,0.97,,,,,,
,,2014 - 2015,417.0,309.0,0.74,,,,,,
,,2015 - 2016,437.0,285.0,0.65,,,,,,
,,2016 - 2017,379.0,229.0,0.6,,,,,,
,,2017 - 2018,411.0,300.0,0.73,,,,,,
,,2018 - 2019,346.0,254.0,0.73,,,,,,
,,2019 - 2020,348.0,255.0,0.73,,,,,,
,,2020 - 2021,345.0,211.0,0.61,,,,,,
,,2021 - 2022,344.0,223.0,0.65,,,,,,
,,2022 - 2023,344.0,262.0,0.76,,,,,,
