state,district,year,linseed_rabi_area_hectare,linseed_rabi_production_tonne,linseed_rabi_yield_tonne_per_hectare,linseed_kharif_area_hectare,linseed_kharif_production_tonne,linseed_kharif_yield_tonne_per_hectare,linseed_whole_year_area_hectare,linseed_whole_year_production_tonne,linseed_whole_year_yield_tonne_per_hectare
,,2021 - 2022,23.0,12.0,0.52,,,,,,
,,2022 - 2023,59.0,41.0,0.69,,,,,,
,Raisen,2000 - 2001,,,0.69,,,,,,
,,2001 - 2002,,,0.72,,,,,,
,,2002 - 2003,,,0.75,,,,,,
,,2003 - 2004,,,0.85,,,,,,
,,2004 - 2005,,,0.87,,,,,,
,,2005 - 2006,,,0.81,,,,,,
,,2006 - 2007,,,0.83,,,,,,
,,2007 - 2008,,,0.75,,,,,,
,,2008 - 2009,,,0.84,,,,,,
,,2009 - 2010,,,,,,,,,0.89
,,2010 - 2011,,885.0,0.71,,,,,,
,,2011 - 2012,635.0,670.0,1.06,,,,,,
,,2012 - 2013,235.0,162.0,0.69,,,,,,
,,2013 - 2014,294.0,221.0,0.75,,,,,,
,,2014 - 2015,,,1.0,,,,,,
,,2015 - 2016,,859.0,0.86,,,,,,
,,2018 - 2019,54.0,39.0,0.72,,,,,,
,,2019 - 2020,141.0,156.0,1.11,,,,,,
,,2020 - 2021,14.0,17.0,1.21,,,,,,
,,2021 - 2022,14.0,10.0,0.71,,,,,,
,,2022 - 2023,1.0,1.0,1.0,,,,,,
,Rajgarh,2000 - 2001,73.0,27.0,0.37,,,,,,
,,2001 - 2002,68.0,30.0,0.44,,,,,,
,,2002 - 2003,34.0,14.0,0.41,,,,,,
,,2003 - 2004,30.0,21.0,0.7,,,,,,
,,2004 - 2005,36.0,21.0,0.58,,,,,,
,,2005 - 2006,26.0,14.0,0.54,,,,,,
,,2006 - 2007,14.0,9.0,0.64,,,,,,
,,2007 - 2008,21.0,13.0,0.62,,,,,,
,,2008 - 2009,1.0,,0.0,,,,,,
,,2009 - 2010,,,,,,,19.0,16.0,0.84
,,2010 - 2011,3.0,1.0,0.33,,,,,,
,,2011 - 2012,6.0,7.0,1.17,,,,,,
,,2017 - 2018,40.0,30.0,0.75,,,,,,
,,2018 - 2019,4.0,4.0,1.0,,,,,,
,,2019 - 2020,13.0,14.0,1.08,,,,,,
,,2020 - 2021,15.0,14.0,0.93,,,,,,
,,2021 - 2022,34.0,29.0,0.85,,,,,,
,,2022 - 2023,68.0,58.0,0.85,,,,,,
,Ratlam,2000 - 2001,190.0,152.0,0.8,,,,,,
,,2001 - 2002,928.0,640.0,0.69,,,,,,
,,2002 - 2003,51.0,29.0,0.57,,,,,,
,,2003 - 2004,911.0,,1.21,,,,,,
,,2004 - 2005,,,1.24,,,,,,
,,2005 - 2006,,,1.15,,,,,,
,,2006 - 2007,,,1.18,,,,,,
,,2007 - 2008,,,1.07,,,,,,
,,2008 - 2009,987.0,,1.19,,,,,,
,,2009 - 2010,,,,,,,,,1.18
,,2010 - 2011,767.0,957.0,1.25,,,,,,
,,2011 - 2012,,,1.84,,,,,,
,,2012 - 2013,,,1.64,,,,,,
,,2013 - 2014,,,1.2,,,,,,
,,2014 - 2015,,,1.0,,,,,,
,,2015 - 2016,,,1.0,,,,,,
,,2016 - 2017,,,1.0,,,,,,
,,2017 - 2018,,,1.2,,,,,,
,,2018 - 2019,,,1.69,,,,,,
,,2019 - 2020,,,1.53,,,,,,
,,2020 - 2021,,,1.62,,,,,,
,,2021 - 2022,,,0.88,,,,,,
,,2022 - 2023,,,0.84,,,,,,
,Rewa,2000 - 2001,,,0.25,,,,,,
,,2001 - 2002,,,0.24,,,,,,
,,2002 - 2003,,,0.24,,,,,,
,,2003 - 2004,,,0.25,,,,,,
,,2004 - 2005,,,0.25,,,,,,
,,2005 - 2006,,,0.22,,,,,,
,,2006 - 2007,,,0.22,,,,,,
,,2007 - 2008,,,0.2,,,,,,
,,2008 - 2009,,,0.31,,,,,,
,,2009 - 2010,,,,,,,,,0.32
,,2010 - 2011,,,0.25,,,,,,
,,2011 - 2012,,,0.32,,,,,,
,,2012 - 2013,,,0.28,,,,,,
,,2013 - 2014,,,0.34,,,,,,
,,2014 - 2015,,,0.43,,,,,,
,,2015 - 2016,,,0.5,,,,,,
,,2016 - 2017,,,0.6,,,,,,
,,2017 - 2018,,,0.36,,,,,,
,,2018 - 2019,,,0.56,,,,,,
,,2019 - 2020,,,1.0,,,,,,
,,2020 - 2021,,,0.68,,,,,,
,,2021 - 2022,,,0.59,,,,,,
,,2022 - 2023,,,0.67,,,,,,
,Sagar,2000 - 2001,,,0.32,,,,,,
,,2001 - 2002,,,0.43,,,,,,
,,2002 - 2003,,,0.37,,,,,,
,,2003 - 2004,,,0.48,,,,,,
,,2004 - 2005,,,0.48,,,,,,
,,2005 - 2006,,,0.5,,,,,,
,,2006 - 2007,,,0.51,,,,,,
,,2007 - 2008,,,0.47,,,,,,
,,2008 - 2009,,,0.57,,,,,,
,,2009 - 2010,,,,,,,,,0.6
,,2010 - 2011,,,0.58,,,,,,
,,2011 - 2012,,,0.69,,,,,,
,,2012 - 2013,,700.0,0.58,,,,,,
,,2013 - 2014,823.0,251.0,0.3,,,,,,
,,2014 - 2015,,,0.5,,,,,,
,,2015 - 2016,,,0.4,,,,,,
,,2016 - 2017,,,0.5,,,,,,
,,2017 - 2018,,780.0,0.43,,,,,,
,,2018 - 2019,286.0,250.0,0.87,,,,,,
,,2019 - 2020,181.0,194.0,1.07,,,,,,
,,2020 - 2021,136.0,95.0,0.7,,,,,,
,,2021 - 2022,361.0,312.0,0.86,,,,,,
,,2022 - 2023,323.0,246.0,0.76,,,,,,
,Satna,2000 - 2001,,,0.19,,,,,,
,,2001 - 2002,,,0.3,,,,,,
,,2002 - 2003,,,0.24,,,,,,
,,2003 - 2004,,,0.33,,,,,,
,,2004 - 2005,,,0.34,,,,,,
,,2005 - 2006,,,0.37,,,,,,
,,2006 - 2007,,,0.26,,,,,,
,,2007 - 2008,,991.0,0.23,,,,,,
,,2008 - 2009,,,0.32,,,,,,
,,2009 - 2010,,,,,,,,,0.48
,,2010 - 2011,,780.0,0.26,,,,,,
,,2011 - 2012,,,0.48,,,,,,
,,2012 - 2013,,770.0,0.31,,,,,,
,,2013 - 2014,,511.0,0.24,,,,,,
,,2014 - 2015,,,0.5,,,,,,
,,2015 - 2016,,,0.75,,,,,,
,,2016 - 2017,,,1.0,,,,,,
,,2017 - 2018,,,0.97,,,,,,
,,2018 - 2019,409.0,142.0,0.35,,,,,,
,,2019 - 2020,433.0,208.0,0.48,,,,,,
,,2020 - 2021,246.0,249.0,1.01,,,,,,
,,2021 - 2022,239.0,101.0,0.42,,,,,,
,,2022 - 2023,285.0,173.0,0.61,,,,,,
,Sehore,2000 - 2001,,,0.52,,,,,,
,,2001 - 2002,,,0.74,,,,,,
,,2002 - 2003,,,0.84,,,,,,
,,2003 - 2004,,,0.88,,,,,,
,,2004 - 2005,267.0,133.0,0.5,,,,,,
,,2005 - 2006,821.0,687.0,0.84,,,,,,
,,2006 - 2007,850.0,726.0,0.85,,,,,,
,,2007 - 2008,561.0,481.0,0.86,,,,,,
,,2008 - 2009,279.0,261.0,0.94,,,,,,
,,2009 - 2010,,,,,,,276.0,337.0,1.22
,,2010 - 2011,382.0,292.0,0.76,,,,,,
,,2011 - 2012,198.0,380.0,1.92,,,,,,
,,2012 - 2013,173.0,174.0,1.01,,,,,,
,,2013 - 2014,103.0,93.0,0.9,,,,,,
,,2017 - 2018,10.0,10.0,1.0,,,,,,
,,2018 - 2019,14.0,18.0,1.29,,,,,,
,,2019 - 2020,7.0,12.0,1.71,,,,,,
,,2020 - 2021,11.0,12.0,1.09,,,,,,
,,2021 - 2022,18.0,19.0,1.06,,,,,,
,,2022 - 2023,12.0,12.0,1.0,,,,,,
,Seoni,2000 - 2001,,,0.26,,,,,,
,,2001 - 2002,,,0.38,,,,,,
,,2002 - 2003,,,0.31,,,,,,
,,2003 - 2004,,,0.42,,,,,,
,,2004 - 2005,,,0.4,,,,,,
,,2005 - 2006,,,0.38,,,,,,
,,2006 - 2007,,,0.37,,,,,,
,,2007 - 2008,,,0.34,,,,,,
,,2008 - 2009,,,0.38,,,,,,
,,2009 - 2010,,,,,,,,,0.4
,,2010 - 2011,,,0.33,,,,,,
,,2011 - 2012,,,0.48,,,,,,
,,2012 - 2013,,,0.42,,,,,,
,,2013 - 2014,,,0.4,,,,,,
,,2014 - 2015,,,0.33,,,,,,
,,2015 - 2016,,,0.29,,,,,,
,,2016 - 2017,,,0.29,,,,,,
,,2017 - 2018,,,0.49,,,,,,
,,2018 - 2019,,,0.41,,,,,,
,,2019 - 2020,,,0.6,,,,,,
,,2020 - 2021,,,0.46,,,,,,
,,2021 - 2022,,,0.05,,,,,,
,,2022 - 2023,,,0.65,,,,,,
,Shahdol,2000 - 2001,,,0.19,,,,,,
,,2001 - 2002,,,0.23,,,,,,
,,2002 - 2003,,,0.24,,,,,,
,,2003 - 2004,,835.0,0.29,,,,,,
,,2004 - 2005,,790.0,0.25,,,,,,
,,2005 - 2006,,864.0,0.26,,,,,,
,,2006 - 2007,,811.0,0.27,,,,,,
,,2007 - 2008,,724.0,0.27,,,,,,
,,2008 - 2009,,819.0,0.3,,,,,,
,,2009 - 2010,,,,,,,,858.0,0.29
,,2010 - 2011,,644.0,0.22,,,,,,
,,2011 - 2012,,921.0,0.36,,,,,,
,,2012 - 2013,,994.0,0.35,,,,,,
,,2013 - 2014,,,0.39,,,,,,
,,2014 - 2015,,,0.5,,,,,,
,,2015 - 2016,,,0.67,,,,,,
,,2016 - 2017,,,0.33,,,,,,
,,2017 - 2018,,,0.4,,,,,,
,,2018 - 2019,490.0,172.0,0.35,,,,,,
,,2019 - 2020,,,0.56,,,,,,
,,2020 - 2021,,,0.83,,,,,,
,,2021 - 2022,,884.0,0.4,,,,,,
,,2022 - 2023,,,0.59,,,,,,
,Shajapur,2000 - 2001,39.0,25.0,0.64,,,,,,
,,2001 - 2002,51.0,30.0,0.59,,,,,,
,,2002 - 2003,26.0,15.0,0.58,,,,,,
,,2003 - 2004,26.0,21.0,0.81,,,,,,
,,2004 - 2005,92.0,78.0,0.85,,,,,,
,,2005 - 2006,15.0,9.0,0.6,,,,,,
,,2006 - 2007,62.0,59.0,0.95,,,,,,
,,2007 - 2008,18.0,12.0,0.67,,,,,,
,,2008 - 2009,20.0,13.0,0.65,,,,,,
,,2009 - 2010,,,,,,,20.0,20.0,1.0
,,2010 - 2011,59.0,34.0,0.58,,,,,,
,,2011 - 2012,46.0,46.0,1.0,,,,,,
,,2012 - 2013,50.0,41.0,0.82,,,,,,
,,2013 - 2014,2.0,2.0,1.0,,,,,,
,,2017 - 2018,50.0,40.0,0.8,,,,,,
,,2018 - 2019,27.0,26.0,0.96,,,,,,
,,2019 - 2020,31.0,45.0,1.45,,,,,,
,,2020 - 2021,19.0,0.0,0.0,,,,,,
,,2021 - 2022,9.0,8.0,0.89,,,,,,
,,2022 - 2023,32.0,24.0,0.75,,,,,,
,Sheopur,2000 - 2001,,947.0,0.39,,,,,,
,,2001 - 2002,929.0,377.0,0.41,,,,,,
,,2002 - 2003,139.0,35.0,0.25,,,,,,
,,2003 - 2004,620.0,415.0,0.67,,,,,,
,,2004 - 2005,833.0,753.0,0.9,,,,,,
,,2005 - 2006,218.0,103.0,0.47,,,,,,
,,2006 - 2007,112.0,61.0,0.54,,,,,,
,,2007 - 2008,66.0,35.0,0.53,,,,,,
,,2008 - 2009,86.0,52.0,0.6,,,,,,
,,2009 - 2010,,,,,,,46.0,28.0,0.61
,,2010 - 2011,88.0,39.0,0.44,,,,,,
,,2011 - 2012,189.0,125.0,0.66,,,,,,
,,2012 - 2013,47.0,61.0,1.3,,,,,,
,,2013 - 2014,14.0,16.0,1.14,,,,,,
,,2017 - 2018,,,1.15,,,,,,
,,2018 - 2019,4.0,7.0,1.75,,,,,,
,,2019 - 2020,4.0,8.0,2.0,,,,,,
,,2021 - 2022,2.0,2.0,1.0,,,,,,
,,2022 - 2023,5.0,0.0,0.0,,,,,,
,Shivpuri,2000 - 2001,,944.0,0.51,,,,,,
,,2001 - 2002,,,0.62,,,,,,
,,2002 - 2003,295.0,91.0,0.31,,,,,,
,,2003 - 2004,335.0,216.0,0.64,,,,,,
,,2004 - 2005,244.0,152.0,0.62,,,,,,
,,2005 - 2006,219.0,163.0,0.74,,,,,,
,,2006 - 2007,273.0,177.0,0.65,,,,,,
,,2007 - 2008,265.0,118.0,0.45,,,,,,
,,2008 - 2009,295.0,222.0,0.75,,,,,,
,,2009 - 2010,,,,,,,113.0,91.0,0.81
,,2010 - 2011,80.0,131.0,1.64,,,,,,
,,2011 - 2012,52.0,130.0,2.5,,,,,,
,,2012 - 2013,65.0,126.0,1.94,,,,,,
,,2013 - 2014,39.0,60.0,1.54,,,,,,
,,2018 - 2019,4.0,10.0,2.5,,,,,,
,,2019 - 2020,4.0,11.0,2.75,,,,,,
,,2020 - 2021,14.0,20.0,1.43,,,,,,
,,2021 - 2022,2.0,2.0,1.0,,,,,,
,,2022 - 2023,23.0,15.0,0.65,,,,,,
,Sidhi,2000 - 2001,,,0.23,,,,,,
,,2001 - 2002,,,0.26,,,,,,
,,2002 - 2003,,,0.26,,,,,,
,,2003 - 2004,,,0.32,,,,,,
,,2004 - 2005,,,0.33,,,,,,
,,2005 - 2006,,,0.27,,,,,,
,,2006 - 2007,,,0.26,,,,,,
,,2007 - 2008,,,0.23,,,,,,
,,2008 - 2009,,,0.3,,,,,,
,,2009 - 2010,,,,,,,,,0.32
,,2010 - 2011,,,0.21,,,,,,
,,2011 - 2012,,,0.46,,,,,,
,,2012 - 2013,,,0.39,,,,,,
,,2013 - 2014,,,0.32,,,,,,
,,2014 - 2015,,,0.2,,,,,,
,,2015 - 2016,,,0.44,,,,,,
,,2016 - 2017,,,0.38,,,,,,
,,2017 - 2018,,,0.45,,,,,,
,,2018 - 2019,,588.0,0.39,,,,,,
,,2019 - 2020,,,0.56,,,,,,
,,2020 - 2021,,,0.88,,,,,,
,,2021 - 2022,,714.0,0.41,,,,,,
,,2022 - 2023,,,0.58,,,,,,
,Singrauli,2008 - 2009,,,0.3,,,,,,
,,2009 - 2010,,,,,,,,,0.43
,,2010 - 2011,,,0.37,,,,,,
,,2011 - 2012,,,0.39,,,,,,
,,2012 - 2013,,,1.75,,,,,,
,,2013 - 2014,,,1.18,,,,,,
,,2014 - 2015,,,1.33,,,,,,
,,2015 - 2016,,,0.5,,,,,,
,,2016 - 2017,,,0.43,,,,,,
,,2017 - 2018,,,0.47,,,,,,
,,2018 - 2019,,,1.27,,,,,,
,,2019 - 2020,,,1.68,,,,,,
,,2020 - 2021,,,0.9,,,,,,
,,2021 - 2022,,,0.76,,,,,,
,,2022 - 2023,,,0.71,,,,,,
,Tikamgarh,2000 - 2001,,745.0,0.42,,,,,,
,,2001 - 2002,,513.0,0.47,,,,,,
,,2002 - 2003,711.0,257.0,0.36,,,,,,
,,2003 - 2004,381.0,173.0,0.45,,,,,,
,,2004 - 2005,452.0,174.0,0.38,,,,,,
,,2005 - 2006,416.0,163.0,0.39,,,,,,
,,2006 - 2007,290.0,102.0,0.35,,,,,,
,,2007 - 2008,144.0,39.0,0.27,,,,,,
,,2008 - 2009,204.0,93.0,0.46,,,,,,
,,2009 - 2010,,,,,,,247.0,119.0,0.48
,,2010 - 2011,161.0,37.0,0.23,,,,,,
,,2011 - 2012,114.0,63.0,0.55,,,,,,
,,2012 - 2013,101.0,36.0,0.36,,,,,,
,,2013 - 2014,37.0,11.0,0.3,,,,,,
,,2017 - 2018,700.0,240.0,0.34,,,,,,
,,2018 - 2019,19.0,10.0,0.53,,,,,,
,,2019 - 2020,5.0,5.0,1.0,,,,,,
,,2020 - 2021,8.0,4.0,0.5,,,,,,
,,2021 - 2022,8.0,4.0,0.5,,,,,,
,,2022 - 2023,6.0,4.0,0.67,,,,,,
,Ujjain,2000 - 2001,127.0,45.0,0.35,,,,,,
,,2001 - 2002,,428.0,0.41,,,,,,
,,2002 - 2003,305.0,126.0,0.41,,,,,,
,,2003 - 2004,,819.0,0.75,,,,,,
,,2004 - 2005,,870.0,0.79,,,,,,
,,2005 - 2006,124.0,67.0,0.54,,,,,,
,,2006 - 2007,175.0,135.0,0.77,,,,,,
,,2007 - 2008,136.0,87.0,0.64,,,,,,
,,2008 - 2009,75.0,52.0,0.69,,,,,,
,,2009 - 2010,,,,,,,238.0,180.0,0.76
,,2010 - 2011,261.0,155.0,0.59,,,,,,
,,2011 - 2012,198.0,202.0,1.02,,,,,,
,,2012 - 2013,50.0,35.0,0.7,,,,,,
,,2013 - 2014,50.0,34.0,0.68,,,,,,
,,2017 - 2018,340.0,260.0,0.76,,,,,,
,,2018 - 2019,129.0,92.0,0.71,,,,,,
,,2019 - 2020,52.0,63.0,1.21,,,,,,
,,2020 - 2021,51.0,41.0,0.8,,,,,,
,,2021 - 2022,56.0,0.0,0.0,,,,,,
,,2022 - 2023,254.0,201.0,0.79,,,,,,
,Umaria,2000 - 2001,,612.0,0.19,,,,,,
,,2001 - 2002,,,0.29,,,,,,
,,2002 - 2003,,865.0,0.24,,,,,,
,,2003 - 2004,,,0.27,,,,,,
,,2004 - 2005,,,0.34,,,,,,
,,2005 - 2006,,,0.34,,,,,,
,,2006 - 2007,,,0.34,,,,,,
,,2007 - 2008,,906.0,0.27,,,,,,
,,2008 - 2009,,,0.33,,,,,,
,,2009 - 2010,,,,,,,,,0.4
,,2010 - 2011,,790.0,0.26,,,,,,
,,2011 - 2012,,,0.4,,,,,,
,,2012 - 2013,,,0.39,,,,,,
,,2013 - 2014,,,0.51,,,,,,
,,2014 - 2015,,,0.8,,,,,,
,,2015 - 2016,,,1.0,,,,,,
,,2016 - 2017,,,0.57,,,,,,
,,2017 - 2018,,,0.61,,,,,,
,,2018 - 2019,928.0,659.0,0.71,,,,,,
,,2019 - 2020,,,0.78,,,,,,
,,2020 - 2021,,,0.65,,,,,,
,,2021 - 2022,,,0.6,,,,,,
,,2022 - 2023,,,0.6,,,,,,
,Vidisha,2000 - 2001,819.0,563.0,0.69,,,,,,
,,2001 - 2002,539.0,401.0,0.74,,,,,,
,,2002 - 2003,,,0.75,,,,,,
,,2003 - 2004,451.0,345.0,0.76,,,,,,
,,2004 - 2005,369.0,326.0,0.88,,,,,,
,,2005 - 2006,329.0,208.0,0.63,,,,,,
,,2006 - 2007,169.0,163.0,0.96,,,,,,
,,2007 - 2008,97.0,69.0,0.71,,,,,,
,,2008 - 2009,106.0,99.0,0.93,,,,,,
,,2009 - 2010,,,,,,,88.0,89.0,1.01
,,2010 - 2011,55.0,40.0,0.73,,,,,,
,,2011 - 2012,18.0,21.0,1.17,,,,,,
,,2012 - 2013,5.0,5.0,1.0,,,,,,
,,2013 - 2014,113.0,78.0,0.69,,,,,,
,,2017 - 2018,20.0,20.0,1.0,,,,,,
,,2018 - 2019,27.0,29.0,1.07,,,,,,
,,2019 - 2020,20.0,21.0,1.05,,,,,,
,,2020 - 2021,10.0,11.0,1.1,,,,,,
,,2021 - 2022,12.0,13.0,1.08,,,,,,
,,2022 - 2023,89.0,93.0,1.04,,,,,,
Maharashtra,Ahilyanagar,2000 - 2001,,300.0,0.25,,,,,,
,,2001 - 2002,,300.0,0.23,,,,,,
,,2002 - 2003,,200.0,0.2,,,,,,
,,2003 - 2004,800.0,200.0,0.25,,,,,,
,,2004 - 2005,,200.0,0.18,,,,,,
,,2005 - 2006,,400.0,0.33,,,,,,
,,2006 - 2007,,300.0,0.3,,,,,,
,,2007 - 2008,,300.0,0.27,,,,,,
,,2008 - 2009,600.0,100.0,0.17,,,,,,
,,2009 - 2010,600.0,100.0,0.17,,,,,,
,,2010 - 2011,500.0,100.0,0.2,,,,,,
,,2011 - 2012,300.0,100.0,0.33,,,,,,
,,2012 - 2013,400.0,40.0,0.1,,,,,,
,,2013 - 2014,200.0,100.0,0.5,,,,,,
,,2014 - 2015,200.0,,0.0,,,,,,
,,2017 - 2018,50.0,17.0,0.34,,,,,,
,,2019 - 2020,22.0,5.0,0.23,,,,,,
,,2020 - 2021,46.42,27.85,0.6,,,,,,
,,2021 - 2022,52.02,49.03,0.94,,,,,,
,,2022 - 2023,39.11,14.76,0.38,,,,,,
,Amravati,2005 - 2006,,700.0,0.27,,,,,,
,Beed,2000 - 2001,,,0.25,,,,,,
,,2001 - 2002,,,0.25,,,,,,
,,2002 - 2003,,,0.26,,,,,,
,,2003 - 2004,,800.0,0.17,,,,,,
,,2004 - 2005,,700.0,0.16,,,,,,
,,2005 - 2006,,,0.33,,,,,,
,,2006 - 2007,,,0.3,,,,,,
,,2007 - 2008,,,0.29,,,,,,
,,2008 - 2009,,500.0,0.21,,,,,,
,,2009 - 2010,,300.0,0.21,,,,,,
,,2010 - 2011,,300.0,0.21,,,,,,
,,2011 - 2012,800.0,200.0,0.25,,,,,,
,,2012 - 2013,700.0,100.0,0.14,,,,,,
,,2013 - 2014,800.0,250.0,0.31,,,,,,
,,2014 - 2015,700.0,100.0,0.14,,,,,,
,,2015 - 2016,700.0,50.0,0.07,,,,,,
,,2016 - 2017,760.0,390.0,0.51,,,,,,
,,2017 - 2018,,380.0,0.33,,,,,,
,,2018 - 2019,5.0,2.0,0.4,,,,,,
,,2019 - 2020,129.0,40.0,0.31,,,,,,
,,2020 - 2021,129.0,77.4,0.6,,,,,,
,,2021 - 2022,129.0,121.58,0.94,,,,,,
,,2022 - 2023,35.0,13.19,0.38,,,,,,
,Bhandara,2000 - 2001,,,0.23,,,,,,
,,2001 - 2002,,900.0,0.18,,,,,,
,,2002 - 2003,,500.0,0.16,,,,,,
,,2003 - 2004,,900.0,0.28,,,,,,
,,2004 - 2005,,200.0,0.13,,,,,,
,,2005 - 2006,,,0.3,,,,,,
,,2006 - 2007,,,0.26,,,,,,
,,2007 - 2008,,,0.3,,,,,,
,,2008 - 2009,,800.0,0.3,,,,,,
,,2009 - 2010,,,0.3,,,,,,
,,2010 - 2011,,,0.35,,,,,,
,,2011 - 2012,,700.0,0.21,,,,,,
,,2012 - 2013,,,0.38,,,,,,
,,2013 - 2014,,,0.25,,,,,,
,,2014 - 2015,,,0.23,,,,,,
,,2015 - 2016,,,0.35,,,,,,
,,2016 - 2017,,700.0,0.16,,,,,,
,,2017 - 2018,,,0.28,,,,,,
,,2018 - 2019,,,0.54,,,,,,
,,2019 - 2020,39.0,12.0,0.31,,,,,,
,,2020 - 2021,,363.31,0.28,,,,,,
,,2021 - 2022,,419.4,0.41,,,,,,
,,2022 - 2023,901.52,337.98,0.37,,,,,,
,Buldhana,2015 - 2016,15.0,4.0,0.27,,,,,,
,Chandrapur,2000 - 2001,,,0.18,,,,,,
,,2001 - 2002,,,0.24,,,,,,
,,2002 - 2003,,,0.22,,,,,,
,,2003 - 2004,,,0.24,,,,,,
,,2004 - 2005,,,0.17,,,,,,
,,2005 - 2006,,,0.33,,,,,,
,,2006 - 2007,,,0.25,,,,,,
,,2007 - 2008,,,0.31,,,,,,
,,2008 - 2009,,,0.23,,,,,,
,,2009 - 2010,,,0.3,,,,,,
,,2010 - 2011,,,0.3,,,,,,
,,2011 - 2012,,,0.31,,,,,,
,,2012 - 2013,,,0.4,,,,,,
,,2014 - 2015,,,0.32,,,,,,
,,2015 - 2016,,400.0,0.2,,,,,,
,,2016 - 2017,900.0,200.0,0.22,,,,,,
,,2017 - 2018,400.0,100.0,0.25,,,,,,
,,2018 - 2019,429.0,100.0,0.23,,,,,,
,,2019 - 2020,,502.0,0.4,,,,,,
,,2020 - 2021,445.85,111.04,0.25,,,,,,
,,2021 - 2022,,532.57,0.5,,,,,,
,,2022 - 2023,,738.07,0.71,,,,,,
,Chhatrapati Sambhajinagar,2000 - 2001,,,0.26,,,,,,
,,2001 - 2002,,900.0,0.2,,,,,,
,,2002 - 2003,,300.0,0.19,,,,,,
,,2003 - 2004,,600.0,0.33,,,,,,
,,2004 - 2005,,400.0,0.2,,,,,,
,,2005 - 2006,,300.0,0.19,,,,,,
,,2006 - 2007,,600.0,0.24,,,,,,
,,2007 - 2008,,500.0,0.29,,,,,,
,,2008 - 2009,,100.0,0.09,,,,,,
,,2009 - 2010,800.0,100.0,0.13,,,,,,
,,2010 - 2011,400.0,100.0,0.25,,,,,,
,,2011 - 2012,100.0,,0.0,,,,,,
,,2016 - 2017,2.0,0.2,0.1,,,,,,
,,2018 - 2019,13.0,5.0,0.38,,,,,,
,,2022 - 2023,18.2,6.89,0.38,,,,,,
,Dharashiv,2000 - 2001,,,0.28,,,,,,
,,2001 - 2002,,,0.5,,,,,,
,,2002 - 2003,,,0.24,,,,,,
,,2003 - 2004,,,0.21,,,,,,
,,2004 - 2005,,,0.45,,,,,,
,,2005 - 2006,,,0.31,,,,,,
,,2006 - 2007,,,0.29,,,,,,
,,2007 - 2008,,,0.3,,,,,,
,,2008 - 2009,,,0.19,,,,,,
,,2009 - 2010,,,0.23,,,,,,
,,2010 - 2011,,,0.2,,,,,,
,,2011 - 2012,,,0.24,,,,,,
,,2012 - 2013,,700.0,0.18,,,,,,
,,2013 - 2014,,,0.24,,,,,,
,,2014 - 2015,,,0.22,,,,,,
,,2015 - 2016,,300.0,0.16,,,,,,
,,2016 - 2017,,,0.32,,,,,,
,,2017 - 2018,,600.0,0.35,,,,,,
,,2018 - 2019,724.0,300.0,0.41,,,,,,
,,2019 - 2020,792.0,389.0,0.49,,,,,,
,,2020 - 2021,852.59,511.56,0.6,,,,,,
,,2021 - 2022,764.97,522.48,0.68,,,,,,
,,2022 - 2023,386.14,180.13,0.47,,,,,,
,Dhule,2015 - 2016,5.0,0.4,0.08,,,,,,
,Gadchiroli,2000 - 2001,,600.0,0.25,,,,,,
,,2001 - 2002,100.0,100.0,1.0,,,,,,
,,2002 - 2003,,300.0,0.2,,,,,,
,,2003 - 2004,,300.0,0.13,,,,,,
,,2004 - 2005,,100.0,0.06,,,,,,
,,2005 - 2006,,600.0,0.19,,,,,,
,,2006 - 2007,,500.0,0.17,,,,,,
,,2007 - 2008,,800.0,0.31,,,,,,
,,2008 - 2009,700.0,100.0,0.14,,,,,,
,,2009 - 2010,,600.0,0.33,,,,,,
,,2010 - 2011,,600.0,0.21,,,,,,
,,2011 - 2012,,600.0,0.29,,,,,,
,,2012 - 2013,,700.0,0.35,,,,,,
,,2014 - 2015,,500.0,0.28,,,,,,
,,2015 - 2016,,300.0,0.21,,,,,,
,,2016 - 2017,,300.0,0.21,,,,,,
,,2017 - 2018,,300.0,0.23,,,,,,
,,2018 - 2019,,300.0,0.28,,,,,,
,,2019 - 2020,404.0,266.0,0.66,,,,,,
,,2020 - 2021,867.48,191.8,0.22,,,,,,
,,2021 - 2022,671.64,180.94,0.27,,,,,,
,,2022 - 2023,833.89,190.54,0.23,,,,,,
,Gondia,2000 - 2001,,900.0,0.15,,,,,,
,,2001 - 2002,,900.0,0.15,,,,,,
,,2002 - 2003,,800.0,0.15,,,,,,
,,2003 - 2004,,900.0,0.15,,,,,,
,,2004 - 2005,,300.0,0.08,,,,,,
,,2005 - 2006,,,0.17,,,,,,
,,2006 - 2007,,,0.14,,,,,,
,,2007 - 2008,,,0.15,,,,,,
,,2008 - 2009,,900.0,0.14,,,,,,
,,2009 - 2010,,,0.18,,,,,,
,,2010 - 2011,,,0.23,,,,,,
,,2011 - 2012,,,0.17,,,,,,
,,2012 - 2013,,,0.18,,,,,,
,,2014 - 2015,,,0.16,,,,,,
,,2015 - 2016,,500.0,0.17,,,,,,
,,2016 - 2017,,500.0,0.19,,,,,,
,,2017 - 2018,,700.0,0.37,,,,,,
,,2018 - 2019,,400.0,0.24,,,,,,
,,2019 - 2020,,347.0,0.26,,,,,,
,,2020 - 2021,,453.43,0.2,,,,,,
