state,district,year,gram_rabi_area_hectare,gram_rabi_production_tonne,gram_rabi_yield_tonne_per_hectare,gram_kharif_area_hectare,gram_kharif_production_tonne,gram_kharif_yield_tonne_per_hectare,gram_winter_area_hectare,gram_winter_production_tonne,gram_winter_yield_tonne_per_hectare,gram_whole_year_area_hectare,gram_whole_year_production_tonne,gram_whole_year_yield_tonne_per_hectare
,,2003 - 2004,,,0.2,,,,,,,,,
,,2004 - 2005,,,0.51,,,,,,,,,
,,2005 - 2006,,,0.7,,,,,,,,,
,,2006 - 2007,,,0.6,,,,,,,,,
,,2007 - 2008,,,0.76,,,,,,,,,
,,2008 - 2009,,,0.7,,,,,,,,,
,,2009 - 2010,,,0.78,,,,,,,,,
,,2010 - 2011,,,0.85,,,,,,,,,
,,2011 - 2012,,,0.7,,,,,,,,,
,,2012 - 2013,,,0.35,,,,,,,,,
,,2013 - 2014,,,0.87,,,,,,,,,
,,2014 - 2015,,,0.43,,,,,,,,,
,,2015 - 2016,,,0.23,,,,,,,,,
,,2016 - 2017,,,0.79,,,,,,,,,
,,2017 - 2018,,,0.77,,,,,,,,,
,,2018 - 2019,,,0.6,,,,,,,,,
,,2019 - 2020,,,0.9,,,,,,,,,
,,2020 - 2021,,,1.17,,,,,,,,,
,,2021 - 2022,,,0.94,,,,,,,,,
,,2022 - 2023,,,0.92,,,,,,,,,
,Dhule,2000 - 2001,,,0.53,,,,,,,,,
,,2001 - 2002,,,0.55,,,,,,,,,
,,2002 - 2003,,,0.66,,,,,,,,,
,,2003 - 2004,,,0.7,,,,,,,,,
,,2004 - 2005,,,0.78,,,,,,,,,
,,2005 - 2006,,,0.57,,,,,,,,,
,,2006 - 2007,,,0.68,,,,,,,,,
,,2007 - 2008,,,1.12,,,,,,,,,
,,2008 - 2009,,,0.79,,,,,,,,,
,,2009 - 2010,,,1.04,,,,,,,,,
,,2010 - 2011,,,0.88,,,,,,,,,
,,2011 - 2012,,,0.91,,,,,,,,,
,,2012 - 2013,,,0.87,,,,,,,,,
,,2013 - 2014,,,1.26,,,,,,,,,
,,2014 - 2015,,,0.8,,,,,,,,,
,,2015 - 2016,,,0.84,,,,,,,,,
,,2016 - 2017,,,2.86,,,,,,,,,
,,2017 - 2018,,,2.15,,,,,,,,,
,,2018 - 2019,,,0.87,,,,,,,,,
,,2019 - 2020,,,1.33,,,,,,,,,
,,2020 - 2021,,,0.96,,,,,,,,,
,,2021 - 2022,,,1.14,,,,,,,,,
,,2022 - 2023,,,0.73,,,,,,,,,
,Gadchiroli,2000 - 2001,,,0.51,,,,,,,,,
,,2001 - 2002,,,0.61,,,,,,,,,
,,2002 - 2003,,900.0,0.41,,,,,,,,,
,,2003 - 2004,,,0.43,,,,,,,,,
,,2004 - 2005,,500.0,0.25,,,,,,,,,
,,2005 - 2006,,,0.39,,,,,,,,,
,,2006 - 2007,,,0.45,,,,,,,,,
,,2007 - 2008,,,0.53,,,,,,,,,
,,2008 - 2009,,700.0,0.5,,,,,,,,,
,,2009 - 2010,,700.0,0.47,,,,,,,,,
,,2010 - 2011,,,0.64,,,,,,,,,
,,2011 - 2012,,,0.5,,,,,,,,,
,,2012 - 2013,,,0.54,,,,,,,,,
,,2013 - 2014,,,0.47,,,,,,,,,
,,2014 - 2015,,,0.61,,,,,,,,,
,,2015 - 2016,,,0.44,,,,,,,,,
,,2016 - 2017,,,0.45,,,,,,,,,
,,2017 - 2018,,,0.53,,,,,,,,,
,,2018 - 2019,,,0.58,,,,,,,,,
,,2019 - 2020,,,0.8,,,,,,,,,
,,2020 - 2021,,,0.51,,,,,,,,,
,,2021 - 2022,,,0.47,,,,,,,,,
,,2022 - 2023,,,0.5,,,,,,,,,
,Gondia,2000 - 2001,,,0.38,,,,,,,,,
,,2001 - 2002,,,0.46,,,,,,,,,
,,2002 - 2003,,,0.39,,,,,,,,,
,,2003 - 2004,,,0.53,,,,,,,,,
,,2004 - 2005,,300.0,0.18,,,,,,,,,
,,2005 - 2006,,,0.47,,,,,,,,,
,,2006 - 2007,,,0.48,,,,,,,,,
,,2007 - 2008,,,0.61,,,,,,,,,
,,2008 - 2009,,,0.44,,,,,,,,,
,,2009 - 2010,,,0.54,,,,,,,,,
,,2010 - 2011,,,0.59,,,,,,,,,
,,2011 - 2012,,,0.53,,,,,,,,,
,,2012 - 2013,,,0.57,,,,,,,,,
,,2013 - 2014,,,0.49,,,,,,,,,
,,2014 - 2015,,,0.65,,,,,,,,,
,,2015 - 2016,,,0.49,,,,,,,,,
,,2016 - 2017,,,0.51,,,,,,,,,
,,2017 - 2018,,,0.68,,,,,,,,,
,,2018 - 2019,,,0.77,,,,,,,,,
,,2019 - 2020,,,0.39,,,,,,,,,
,,2020 - 2021,,,0.71,,,,,,,,,
,,2021 - 2022,,,0.59,,,,,,,,,
,,2022 - 2023,,,0.78,,,,,,,,,
,Hingoli,2000 - 2001,,,0.51,,,,,,,,,
,,2001 - 2002,,,0.57,,,,,,,,,
,,2002 - 2003,,,0.7,,,,,,,,,
,,2003 - 2004,,,0.54,,,,,,,,,
,,2004 - 2005,,,0.51,,,,,,,,,
,,2005 - 2006,,,0.72,,,,,,,,,
,,2006 - 2007,,,0.79,,,,,,,,,
,,2007 - 2008,,,0.85,,,,,,,,,
,,2008 - 2009,,,0.6,,,,,,,,,
,,2009 - 2010,,,0.74,,,,,,,,,
,,2010 - 2011,,,0.66,,,,,,,,,
,,2011 - 2012,,,0.92,,,,,,,,,
,,2012 - 2013,,,0.74,,,,,,,,,
,,2013 - 2014,,,1.06,,,,,,,,,
,,2014 - 2015,,,2.85,,,,,,,,,
,,2015 - 2016,,,0.39,,,,,,,,,
,,2016 - 2017,,,1.13,,,,,,,,,
,,2017 - 2018,,,1.12,,,,,,,,,
,,2018 - 2019,,,0.71,,,,,,,,,
,,2019 - 2020,,,1.04,,,,,,,,,
,,2020 - 2021,,,0.92,,,,,,,,,
,,2021 - 2022,,,1.24,,,,,,,,,
,,2022 - 2023,,,1.24,,,,,,,,,
,Jalgaon,2000 - 2001,,,0.67,,,,,,,,,
,,2001 - 2002,,,0.9,,,,,,,,,
,,2002 - 2003,,,1.02,,,,,,,,,
,,2003 - 2004,,,0.85,,,,,,,,,
,,2004 - 2005,,,0.96,,,,,,,,,
,,2005 - 2006,,,0.87,,,,,,,,,
,,2006 - 2007,,,0.96,,,,,,,,,
,,2007 - 2008,,,1.12,,,,,,,,,
,,2008 - 2009,,,0.99,,,,,,,,,
,,2009 - 2010,,,1.14,,,,,,,,,
,,2010 - 2011,,,1.16,,,,,,,,,
,,2011 - 2012,,,1.3,,,,,,,,,
,,2012 - 2013,,,0.72,,,,,,,,,
,,2013 - 2014,,,1.16,,,,,,,,,
,,2014 - 2015,,,1.05,,,,,,,,,
,,2015 - 2016,,,0.95,,,,,,,,,
,,2016 - 2017,,,1.39,,,,,,,,,
,,2017 - 2018,,,1.28,,,,,,,,,
,,2018 - 2019,,,1.08,,,,,,,,,
,,2019 - 2020,,,1.38,,,,,,,,,
,,2020 - 2021,,,1.14,,,,,,,,,
,,2021 - 2022,,,1.52,,,,,,,,,
,,2022 - 2023,,,1.06,,,,,,,,,
,Jalna,2000 - 2001,,,0.5,,,,,,,,,
,,2001 - 2002,,,0.64,,,,,,,,,
,,2002 - 2003,,,0.76,,,,,,,,,
,,2003 - 2004,,,0.52,,,,,,,,,
,,2004 - 2005,,,0.54,,,,,,,,,
,,2005 - 2006,,,0.67,,,,,,,,,
,,2006 - 2007,,,0.83,,,,,,,,,
,,2007 - 2008,,,0.77,,,,,,,,,
,,2008 - 2009,,,0.62,,,,,,,,,
,,2009 - 2010,,,0.91,,,,,,,,,
,,2010 - 2011,,,0.76,,,,,,,,,
,,2011 - 2012,,,0.61,,,,,,,,,
,,2012 - 2013,,,0.16,,,,,,,,,
,,2013 - 2014,,,0.88,,,,,,,,,
,,2014 - 2015,,,0.25,,,,,,,,,
,,2015 - 2016,,,0.28,,,,,,,,,
,,2016 - 2017,,,1.2,,,,,,,,,
,,2017 - 2018,,,0.73,,,,,,,,,
,,2018 - 2019,,,0.47,,,,,,,,,
,,2019 - 2020,,,1.02,,,,,,,,,
,,2020 - 2021,,,1.25,,,,,,,,,
,,2021 - 2022,,,1.32,,,,,,,,,
,,2022 - 2023,,,1.21,,,,,,,,,
,Kolhapur,2000 - 2001,,,0.68,,,,,,,,,
,,2001 - 2002,,,0.63,,,,,,,,,
,,2002 - 2003,,,0.78,,,,,,,,,
,,2003 - 2004,,,0.79,,,,,,,,,
,,2004 - 2005,,,0.88,,,,,,,,,
,,2005 - 2006,,,0.77,,,,,,,,,
,,2006 - 2007,,,0.75,,,,,,,,,
,,2007 - 2008,,,0.94,,,,,,,,,
,,2008 - 2009,,,0.74,,,,,,,,,
,,2009 - 2010,,,0.88,,,,,,,,,
,,2010 - 2011,,,0.84,,,,,,,,,
,,2011 - 2012,,,1.27,,,,,,,,,
,,2012 - 2013,,,1.1,,,,,,,,,
,,2013 - 2014,,,1.19,,,,,,,,,
,,2014 - 2015,,,0.9,,,,,,,,,
,,2015 - 2016,,,0.83,,,,,,,,,
,,2016 - 2017,,,0.84,,,,,,,,,
,,2017 - 2018,,,0.85,,,,,,,,,
,,2018 - 2019,,,1.18,,,,,,,,,
,,2019 - 2020,,,1.06,,,,,,,,,
,,2020 - 2021,,,0.93,,,,,,,,,
,,2021 - 2022,,,1.01,,,,,,,,,
,,2022 - 2023,,,1.11,,,,,,,,,
,Latur,2000 - 2001,,,0.49,,,,,,,,,
,,2001 - 2002,,,0.46,,,,,,,,,
,,2002 - 2003,,,0.47,,,,,,,,,
,,2003 - 2004,,,0.42,,,,,,,,,
,,2004 - 2005,,,0.45,,,,,,,,,
,,2005 - 2006,,,0.71,,,,,,,,,
,,2006 - 2007,,,0.64,,,,,,,,,
,,2007 - 2008,,,0.68,,,,,,,,,
,,2008 - 2009,,,0.71,,,,,,,,,
,,2009 - 2010,,,0.63,,,,,,,,,
,,2010 - 2011,,,0.82,,,,,,,,,
,,2011 - 2012,,,0.87,,,,,,,,,
,,2012 - 2013,,,0.92,,,,,,,,,
,,2013 - 2014,,,1.49,,,,,,,,,
,,2014 - 2015,,,0.3,,,,,,,,,
,,2015 - 2016,,,0.24,,,,,,,,,
,,2016 - 2017,,,0.98,,,,,,,,,
,,2017 - 2018,,,0.7,,,,,,,,,
,,2018 - 2019,,,0.54,,,,,,,,,
,,2019 - 2020,,,1.12,,,,,,,,,
,,2020 - 2021,,,1.02,,,,,,,,,
,,2021 - 2022,,,1.01,,,,,,,,,
,,2022 - 2023,,,0.86,,,,,,,,,
,Nagpur,2000 - 2001,,,0.48,,,,,,,,,
,,2001 - 2002,,,0.64,,,,,,,,,
,,2002 - 2003,,,0.56,,,,,,,,,
,,2003 - 2004,,,0.64,,,,,,,,,
,,2004 - 2005,,,0.48,,,,,,,,,
,,2005 - 2006,,,0.62,,,,,,,,,
,,2006 - 2007,,,0.6,,,,,,,,,
,,2007 - 2008,,,0.74,,,,,,,,,
,,2008 - 2009,,,0.6,,,,,,,,,
,,2009 - 2010,,,0.8,,,,,,,,,
,,2010 - 2011,,,0.87,,,,,,,,,
,,2011 - 2012,,,0.88,,,,,,,,,
,,2012 - 2013,,,0.85,,,,,,,,,
,,2013 - 2014,,,0.63,,,,,,,,,
,,2014 - 2015,,,0.7,,,,,,,,,
,,2015 - 2016,,,0.76,,,,,,,,,
,,2016 - 2017,,,0.78,,,,,,,,,
,,2017 - 2018,,,1.16,,,,,,,,,
,,2018 - 2019,,,1.11,,,,,,,,,
,,2019 - 2020,,,0.93,,,,,,,,,
,,2020 - 2021,,,1.42,,,,,,,,,
,,2021 - 2022,,,1.77,,,,,,,,,
,,2022 - 2023,,,1.32,,,,,,,,,
,Nanded,2000 - 2001,,,0.34,,,,,,,,,
,,2001 - 2002,,,0.61,,,,,,,,,
,,2002 - 2003,,,0.68,,,,,,,,,
,,2003 - 2004,,,0.69,,,,,,,,,
,,2004 - 2005,,,0.5,,,,,,,,,
,,2005 - 2006,,,0.6,,,,,,,,,
,,2006 - 2007,,,0.58,,,,,,,,,
,,2007 - 2008,,,0.95,,,,,,,,,
,,2008 - 2009,,,0.71,,,,,,,,,
,,2009 - 2010,,,0.72,,,,,,,,,
,,2010 - 2011,,,1.02,,,,,,,,,
,,2011 - 2012,,,0.78,,,,,,,,,
,,2012 - 2013,,,1.21,,,,,,,,,
,,2013 - 2014,,,0.91,,,,,,,,,
,,2014 - 2015,,,0.5,,,,,,,,,
,,2015 - 2016,,,0.33,,,,,,,,,
,,2016 - 2017,,,1.59,,,,,,,,,
,,2017 - 2018,,,1.26,,,,,,,,,
,,2018 - 2019,,,1.25,,,,,,,,,
,,2019 - 2020,,,1.51,,,,,,,,,
,,2020 - 2021,,,1.09,,,,,,,,,
,,2021 - 2022,,,0.92,,,,,,,,,
,,2022 - 2023,,,1.05,,,,,,,,,
,Nandurbar,2000 - 2001,,,0.34,,,,,,,,,
,,2001 - 2002,,,0.46,,,,,,,,,
,,2002 - 2003,,,0.64,,,,,,,,,
,,2003 - 2004,,,0.73,,,,,,,,,
,,2004 - 2005,,,0.6,,,,,,,,,
,,2005 - 2006,,,0.72,,,,,,,,,
,,2006 - 2007,,,0.69,,,,,,,,,
,,2007 - 2008,,,1.06,,,,,,,,,
,,2008 - 2009,,,0.88,,,,,,,,,
,,2009 - 2010,,,0.98,,,,,,,,,
,,2010 - 2011,,,1.11,,,,,,,,,
,,2011 - 2012,,,1.06,,,,,,,,,
,,2012 - 2013,,,0.81,,,,,,,,,
,,2013 - 2014,,,0.86,,,,,,,,,
,,2014 - 2015,,,0.71,,,,,,,,,
,,2015 - 2016,,,0.82,,,,,,,,,
,,2016 - 2017,,,1.07,,,,,,,,,
,,2017 - 2018,,,1.21,,,,,,,,,
,,2018 - 2019,,,0.95,,,,,,,,,
,,2019 - 2020,,,0.98,,,,,,,,,
,,2020 - 2021,,,0.98,,,,,,,,,
,,2021 - 2022,,,1.23,,,,,,,,,
,,2022 - 2023,,,1.12,,,,,,,,,
,Nashik,2000 - 2001,,,0.45,,,,,,,,,
,,2001 - 2002,,,0.5,,,,,,,,,
,,2002 - 2003,,,0.55,,,,,,,,,
,,2003 - 2004,,,0.54,,,,,,,,,
,,2004 - 2005,,,0.63,,,,,,,,,
,,2005 - 2006,,,0.7,,,,,,,,,
,,2006 - 2007,,,0.67,,,,,,,,,
,,2007 - 2008,,,0.75,,,,,,,,,
,,2008 - 2009,,,0.59,,,,,,,,,
,,2009 - 2010,,,0.7,,,,,,,,,
,,2010 - 2011,,,0.77,,,,,,,,,
,,2011 - 2012,,,0.71,,,,,,,,,
,,2012 - 2013,,,0.69,,,,,,,,,
,,2013 - 2014,,,0.66,,,,,,,,,
,,2014 - 2015,,,0.7,,,,,,,,,
,,2015 - 2016,,,0.67,,,,,,,,,
,,2016 - 2017,,,0.71,,,,,,,,,
,,2017 - 2018,,,0.85,,,,,,,,,
,,2018 - 2019,,,0.75,,,,,,,,,
,,2019 - 2020,,,0.83,,,,,,,,,
,,2020 - 2021,,,0.84,,,,,,,,,
,,2021 - 2022,,,0.92,,,,,,,,,
,,2022 - 2023,,,0.98,,,,,,,,,
,Palghar,2014 - 2015,,900.0,0.75,,,,,,,,,
,,2015 - 2016,,,0.67,,,,,,,,,
,,2016 - 2017,,,0.95,,,,,,,,,
,,2017 - 2018,,,0.89,,,,,,,,,
,,2018 - 2019,,900.0,0.9,,,,,,,,,
,,2019 - 2020,997.0,726.0,0.73,,,,,,,,,
,,2020 - 2021,,924.63,0.92,,,,,,,,,
,,2021 - 2022,,926.69,0.92,,,,,,,,,
,,2022 - 2023,,,0.87,,,,,,,,,
,Parbhani,2000 - 2001,,,0.48,,,,,,,,,
,,2001 - 2002,,,0.54,,,,,,,,,
,,2002 - 2003,,,0.57,,,,,,,,,
,,2003 - 2004,,,0.51,,,,,,,,,
,,2004 - 2005,,,0.31,,,,,,,,,
,,2005 - 2006,,,0.55,,,,,,,,,
,,2006 - 2007,,,0.7,,,,,,,,,
,,2007 - 2008,,,0.71,,,,,,,,,
,,2008 - 2009,,,0.58,,,,,,,,,
,,2009 - 2010,,,0.62,,,,,,,,,
,,2010 - 2011,,,0.65,,,,,,,,,
,,2011 - 2012,,,0.69,,,,,,,,,
,,2012 - 2013,,,0.58,,,,,,,,,
,,2013 - 2014,,,0.71,,,,,,,,,
,,2014 - 2015,,,0.62,,,,,,,,,
,,2015 - 2016,,,0.21,,,,,,,,,
,,2016 - 2017,,,0.84,,,,,,,,,
,,2017 - 2018,,,0.62,,,,,,,,,
,,2018 - 2019,,,0.72,,,,,,,,,
,,2019 - 2020,,,0.89,,,,,,,,,
,,2020 - 2021,,,0.9,,,,,,,,,
,,2021 - 2022,,,1.22,,,,,,,,,
,,2022 - 2023,,,1.22,,,,,,,,,
,Pune,2000 - 2001,,,0.6,,,,,,,,,
,,2001 - 2002,,,0.62,,,,,,,,,
,,2002 - 2003,,,0.51,,,,,,,,,
,,2003 - 2004,,,0.51,,,,,,,,,
,,2004 - 2005,,,0.65,,,,,,,,,
,,2005 - 2006,,,0.68,,,,,,,,,
,,2006 - 2007,,,0.7,,,,,,,,,
,,2007 - 2008,,,0.68,,,,,,,,,
,,2008 - 2009,,,0.75,,,,,,,,,
,,2009 - 2010,,,0.79,,,,,,,,,
,,2010 - 2011,,,0.95,,,,,,,,,
,,2011 - 2012,,,0.93,,,,,,,,,
,,2012 - 2013,,,0.71,,,,,,,,,
,,2013 - 2014,,,0.81,,,,,,,,,
,,2014 - 2015,,,0.86,,,,,,,,,
,,2015 - 2016,,,0.86,,,,,,,,,
,,2016 - 2017,,,1.07,,,,,,,,,
,,2017 - 2018,,,1.14,,,,,,,,,
,,2018 - 2019,,,0.74,,,,,,,,,
,,2019 - 2020,,,1.07,,,,,,,,,
,,2020 - 2021,,,0.85,,,,,,,,,
,,2021 - 2022,,,1.06,,,,,,,,,
,,2022 - 2023,,,1.1,,,,,,,,,
,Raigad,2000 - 2001,,,0.55,,,,,,,,,
,,2001 - 2002,,,0.5,,,,,,,,,
,,2002 - 2003,,900.0,0.64,,,,,,,,,
,,2003 - 2004,,900.0,0.69,,,,,,,,,
,,2004 - 2005,,800.0,0.67,,,,,,,,,
,,2005 - 2006,,,0.67,,,,,,,,,
,,2006 - 2007,,,0.76,,,,,,,,,
,,2007 - 2008,,,0.79,,,,,,,,,
,,2008 - 2009,,,0.7,,,,,,,,,
,,2009 - 2010,,,0.65,,,,,,,,,
,,2010 - 2011,,,0.89,,,,,,,,,
,,2011 - 2012,,,0.89,,,,,,,,,
,,2015 - 2016,900.0,600.0,0.67,,,,,,,,,
,,2016 - 2017,900.0,800.0,0.89,,,,,,,,,
,,2017 - 2018,7.0,,0.0,,,,,,,,,
,,2019 - 2020,,539.0,0.42,,,,,,,,,
,,2020 - 2021,,,0.92,,,,,,,,,
,,2021 - 2022,985.16,905.07,0.92,,,,,,,,,
,,2022 - 2023,966.98,837.43,0.87,,,,,,,,,
,Ratnagiri,2015 - 2016,20.0,10.0,0.5,,,,,,,,,
,,2019 - 2020,211.0,101.0,0.48,,,,,,,,,
,,2020 - 2021,66.66,61.1,0.92,,,,,,,,,
,,2021 - 2022,24.9,22.88,0.92,,,,,,,,,
,Sangli,2000 - 2001,,,0.77,,,,,,,,,
,,2001 - 2002,,,0.74,,,,,,,,,
,,2002 - 2003,,,0.55,,,,,,,,,
,,2003 - 2004,,,0.6,,,,,,,,,
,,2004 - 2005,,,0.63,,,,,,,,,
,,2005 - 2006,,,0.69,,,,,,,,,
,,2006 - 2007,,,0.65,,,,,,,,,
,,2007 - 2008,,,0.92,,,,,,,,,
,,2008 - 2009,,,0.64,,,,,,,,,
,,2009 - 2010,,,0.83,,,,,,,,,
,,2010 - 2011,,,0.92,,,,,,,,,
,,2011 - 2012,,,0.77,,,,,,,,,
,,2012 - 2013,,,0.6,,,,,,,,,
,,2013 - 2014,,,0.74,,,,,,,,,
,,2014 - 2015,,,0.98,,,,,,,,,
,,2015 - 2016,,,0.63,,,,,,,,,
,,2016 - 2017,,,0.83,,,,,,,,,
,,2017 - 2018,,,0.91,,,,,,,,,
,,2018 - 2019,,,0.69,,,,,,,,,
,,2019 - 2020,,,0.88,,,,,,,,,
,,2020 - 2021,,,1.18,,,,,,,,,
,,2021 - 2022,,,1.15,,,,,,,,,
,,2022 - 2023,,,1.06,,,,,,,,,
,Satara,2000 - 2001,,,0.51,,,,,,,,,
,,2001 - 2002,,,0.61,,,,,,,,,
,,2002 - 2003,,,0.3,,,,,,,,,
,,2003 - 2004,,,0.57,,,,,,,,,
,,2004 - 2005,,,0.83,,,,,,,,,
,,2005 - 2006,,,0.69,,,,,,,,,
,,2006 - 2007,,,0.62,,,,,,,,,
,,2007 - 2008,,,0.67,,,,,,,,,
,,2008 - 2009,,,0.73,,,,,,,,,
,,2009 - 2010,,,0.6,,,,,,,,,
,,2010 - 2011,,,0.81,,,,,,,,,
,,2011 - 2012,,,0.66,,,,,,,,,
,,2012 - 2013,,,0.56,,,,,,,,,
,,2013 - 2014,,,0.8,,,,,,,,,
,,2014 - 2015,,,0.76,,,,,,,,,
,,2015 - 2016,,,0.78,,,,,,,,,
,,2016 - 2017,,,0.8,,,,,,,,,
,,2017 - 2018,,,0.93,,,,,,,,,
,,2018 - 2019,,,0.9,,,,,,,,,
,,2019 - 2020,,,0.97,,,,,,,,,
,,2020 - 2021,,,0.95,,,,,,,,,
,,2021 - 2022,,,1.15,,,,,,,,,
,,2022 - 2023,,,0.96,,,,,,,,,
,Solapur,2000 - 2001,,,0.56,,,,,,,,,
,,2001 - 2002,,,0.55,,,,,,,,,
,,2002 - 2003,,,0.43,,,,,,,,,
,,2003 - 2004,,,0.18,,,,,,,,,
,,2004 - 2005,,,0.49,,,,,,,,,
,,2005 - 2006,,,0.76,,,,,,,,,
,,2006 - 2007,,,0.61,,,,,,,,,
,,2007 - 2008,,,0.77,,,,,,,,,
,,2008 - 2009,,,0.73,,,,,,,,,
,,2009 - 2010,,,0.78,,,,,,,,,
,,2010 - 2011,,,0.66,,,,,,,,,
,,2011 - 2012,,,0.66,,,,,,,,,
,,2012 - 2013,,,0.42,,,,,,,,,
,,2013 - 2014,,,0.56,,,,,,,,,
,,2014 - 2015,,,0.75,,,,,,,,,
,,2015 - 2016,,,0.29,,,,,,,,,
,,2016 - 2017,,,0.67,,,,,,,,,
,,2017 - 2018,,,0.68,,,,,,,,,
,,2018 - 2019,,,0.55,,,,,,,,,
,,2019 - 2020,,,0.81,,,,,,,,,
,,2020 - 2021,,,0.84,,,,,,,,,
,,2021 - 2022,,,0.8,,,,,,,,,
,,2022 - 2023,,,0.71,,,,,,,,,
,Thane,2000 - 2001,,,0.53,,,,,,,,,
,,2001 - 2002,,,0.5,,,,,,,,,
,,2002 - 2003,,,0.66,,,,,,,,,
,,2003 - 2004,,,0.68,,,,,,,,,
,,2004 - 2005,,,0.66,,,,,,,,,
,,2005 - 2006,,,0.66,,,,,,,,,
,,2006 - 2007,,,0.73,,,,,,,,,
,,2007 - 2008,,,0.8,,,,,,,,,
,,2008 - 2009,,,0.7,,,,,,,,,
,,2009 - 2010,,,0.66,,,,,,,,,
,,2010 - 2011,,,0.86,,,,,,,,,
,,2011 - 2012,,,0.88,,,,,,,,,
,,2012 - 2013,,,0.68,,,,,,,,,
,,2013 - 2014,,,1.18,,,,,,,,,
,,2014 - 2015,,,0.85,,,,,,,,,
,,2015 - 2016,,900.0,0.69,,,,,,,,,
,,2016 - 2017,,,0.93,,,,,,,,,
,,2017 - 2018,,,0.86,,,,,,,,,
,,2018 - 2019,,,0.9,,,,,,,,,
,,2019 - 2020,,894.0,0.7,,,,,,,,,
,,2020 - 2021,,,0.92,,,,,,,,,
,,2021 - 2022,,,0.92,,,,,,,,,
,,2022 - 2023,,,0.87,,,,,,,,,
,Wardha,2000 - 2001,,,0.54,,,,,,,,,
,,2001 - 2002,,,0.62,,,,,,,,,
,,2002 - 2003,,,0.48,,,,,,,,,
,,2003 - 2004,,,0.63,,,,,,,,,
,,2004 - 2005,,,0.52,,,,,,,,,
,,2005 - 2006,,,0.53,,,,,,,,,
,,2006 - 2007,,,0.55,,,,,,,,,
,,2007 - 2008,,,0.71,,,,,,,,,
,,2008 - 2009,,,0.54,,,,,,,,,
,,2009 - 2010,,,0.53,,,,,,,,,
,,2010 - 2011,,,0.77,,,,,,,,,
,,2011 - 2012,,,0.71,,,,,,,,,
,,2012 - 2013,,,0.93,,,,,,,,,
,,2013 - 2014,,,0.76,,,,,,,,,
,,2014 - 2015,,,0.79,,,,,,,,,
,,2015 - 2016,,,0.78,,,,,,,,,
,,2016 - 2017,,,1.14,,,,,,,,,
,,2017 - 2018,,,1.17,,,,,,,,,
,,2018 - 2019,,,1.36,,,,,,,,,
,,2019 - 2020,,,1.01,,,,,,,,,
,,2020 - 2021,,,1.69,,,,,,,,,
,,2021 - 2022,,,1.52,,,,,,,,,
,,2022 - 2023,,,1.38,,,,,,,,,
,Washim,2000 - 2001,,,0.41,,,,,,,,,
,,2001 - 2002,,,0.74,,,,,,,,,
,,2002 - 2003,,,0.69,,,,,,,,,
,,2003 - 2004,,,0.66,,,,,,,,,
,,2004 - 2005,,,0.36,,,,,,,,,
,,2005 - 2006,,,0.6,,,,,,,,,
,,2006 - 2007,,,0.75,,,,,,,,,
,,2007 - 2008,,,0.77,,,,,,,,,
,,2008 - 2009,,,0.75,,,,,,,,,
,,2009 - 2010,,,1.35,,,,,,,,,
,,2010 - 2011,,,1.0,,,,,,,,,
,,2011 - 2012,,,0.78,,,,,,,,,
,,2012 - 2013,,,1.02,,,,,,,,,
,,2013 - 2014,,,1.07,,,,,,,,,
,,2014 - 2015,,,0.53,,,,,,,,,
,,2015 - 2016,,,0.37,,,,,,,,,
,,2016 - 2017,,,0.9,,,,,,,,,
,,2017 - 2018,,,0.71,,,,,,,,,
,,2018 - 2019,,,0.87,,,,,,,,,
,,2019 - 2020,,,0.92,,,,,,,,,
,,2020 - 2021,,,1.58,,,,,,,,,
,,2021 - 2022,,,1.27,,,,,,,,,
,,2022 - 2023,,,1.16,,,,,,,,,
,Yavatmal,2000 - 2001,,,0.54,,,,,,,,,
,,2001 - 2002,,,0.63,,,,,,,,,
,,2002 - 2003,,,0.52,,,,,,,,,
,,2003 - 2004,,,0.69,,,,,,,,,
,,2004 - 2005,,,0.5,,,,,,,,,
,,2005 - 2006,,,0.61,,,,,,,,,
,,2006 - 2007,,,0.83,,,,,,,,,
,,2007 - 2008,,,0.85,,,,,,,,,
,,2008 - 2009,,,0.74,,,,,,,,,
,,2009 - 2010,,,0.64,,,,,,,,,
,,2010 - 2011,,,1.16,,,,,,,,,
,,2011 - 2012,,,1.29,,,,,,,,,
,,2012 - 2013,,,1.19,,,,,,,,,
,,2013 - 2014,,,0.81,,,,,,,,,
,,2014 - 2015,,,0.85,,,,,,,,,
,,2015 - 2016,,,0.74,,,,,,,,,
,,2016 - 2017,,,0.74,,,,,,,,,
,,2017 - 2018,,,0.8,,,,,,,,,
,,2018 - 2019,,,1.13,,,,,,,,,
,,2019 - 2020,,,1.43,,,,,,,,,
,,2020 - 2021,,,1.15,,,,,,,,,
,,2021 - 2022,,,1.03,,,,,,,,,
,,2022 - 2023,,,0.68,,,,,,,,,
Manipur,Bishnupur,2008 - 2009,78.0,61.0,0.78,,,,,,,,,
,,2009 - 2010,350.0,336.0,0.96,,,,,,,,,
,,2010 - 2011,82.0,65.6,0.8,,,,,,,,,
,,2011 - 2012,75.0,64.1,0.85,,,,,,,,,
,,2012 - 2013,102.0,86.0,0.84,,,,,,,,,
,,2013 - 2014,97.0,89.0,0.92,,,,,,,,,
