state,district,year,turmeric_whole_year_area_hectare,turmeric_whole_year_production_tonne,turmeric_whole_year_yield_tonne_per_hectare,turmeric_rabi_area_hectare,turmeric_rabi_production_tonne,turmeric_rabi_yield_tonne_per_hectare,turmeric_kharif_area_hectare,turmeric_kharif_production_tonne,turmeric_kharif_yield_tonne_per_hectare,turmeric_summer_area_hectare,turmeric_summer_production_tonne,turmeric_summer_yield_tonne_per_hectare
,,2005 - 2006,,,6.54,,,,,,,,,
,,2006 - 2007,,,5.98,,,,,,,,,
,,2008 - 2009,,,6.91,,,,,,,,,
,,2009 - 2010,,,5.17,,,,,,,,,
,,2010 - 2011,,,6.47,,,,,,,,,
,,2011 - 2012,,,7.82,,,,,,,,,
,,2012 - 2013,,,,,,,,,6.52,,,
,,2013 - 2014,,,,,,,,,6.99,,,
,,2014 - 2015,,,,,,,,,8.0,,,
,,2015 - 2016,,,,,,,,,6.39,,,
,,2016 - 2017,,,,,,,,,4.57,,,
,,2017 - 2018,,,,,,,,,12.0,,,
,,2018 - 2019,,,,,,,,,12.06,,,
,,2019 - 2020,,,,,,,,,12.0,,,
,Kadapa,2000 - 2001,,,6.96,,,,,,,,,
,,2001 - 2002,,,4.94,,,,,,,,,
,,2002 - 2003,,,3.24,,,,,,,,,
,,2003 - 2004,,,6.96,,,,,,,,,
,,2004 - 2005,,,9.03,,,,,,,,,
,,2005 - 2006,,,7.58,,,,,,,,,
,,2006 - 2007,,,7.84,,,,,,,,,
,,2008 - 2009,,,10.09,,,,,,,,,
,,2009 - 2010,,,12.11,,,,,,,,,
,,2010 - 2011,,,7.87,,,,,,,,,
,,2011 - 2012,,,8.24,,,,,,,,,
,,2012 - 2013,,,,31.0,120.0,3.87,,,3.89,,,
,,2013 - 2014,,,,8.0,78.0,9.75,,,9.72,,,
,,2014 - 2015,,,,,,,,,8.13,,,
,,2015 - 2016,,,,,,,,,5.49,,,
,,2016 - 2017,,,,,,,,,3.3,,,
,,2017 - 2018,,,,,,,,,12.0,,,
,,2018 - 2019,,,,,,,,,14.16,,,
,,2019 - 2020,,,,,,,,,12.0,,,
,Krishna,2000 - 2001,,,4.49,,,,,,,,,
,,2001 - 2002,,,3.83,,,,,,,,,
,,2002 - 2003,,,4.76,,,,,,,,,
,,2003 - 2004,,,8.68,,,,,,,,,
,,2004 - 2005,,,13.88,,,,,,,,,
,,2005 - 2006,,,7.78,,,,,,,,,
,,2006 - 2007,,,8.26,,,,,,,,,
,,2008 - 2009,,,10.71,,,,,,,,,
,,2009 - 2010,,,11.57,,,,,,,,,
,,2010 - 2011,,,8.57,,,,,,,,,
,,2011 - 2012,,,10.69,,,,,,,,,
,,2012 - 2013,,,,,,,,,10.9,,,
,,2013 - 2014,,,,,,,,,11.09,,,
,,2014 - 2015,,,,,,,,,11.97,,,
,,2015 - 2016,,,,,,,,,10.08,,,
,,2016 - 2017,,,,,,,,,6.01,,,
,,2017 - 2018,,,,,,,,,12.0,,,
,,2018 - 2019,,,,,,,,,15.85,,,
,,2019 - 2020,,,,,,,,,12.0,,,
,Kurnool,2000 - 2001,,,6.96,,,,,,,,,
,,2001 - 2002,878.0,,4.94,,,,,,,,,
,,2002 - 2003,878.0,,3.24,,,,,,,,,
,,2003 - 2004,691.0,,6.96,,,,,,,,,
,,2004 - 2005,,,9.02,,,,,,,,,
,,2005 - 2006,978.0,,7.58,,,,,,,,,
,,2006 - 2007,,,7.84,,,,,,,,,
,,2008 - 2009,941.0,,10.09,,,,,,,,,
,,2009 - 2010,995.0,,12.11,,,,,,,,,
,,2010 - 2011,,,7.87,,,,,,,,,
,,2011 - 2012,,,8.24,,,,,,,,,
,,2012 - 2013,,,,,,,,,24.73,,,
,,2013 - 2014,,,,1.0,18.0,18.0,,,18.24,,,
,,2014 - 2015,,,,,,,,,17.53,,,
,,2015 - 2016,,,,,,,,,13.17,,,
,,2016 - 2017,,,,2.0,12.0,6.0,,,5.97,,,
,,2017 - 2018,,,,,,,,,12.0,,,
,,2018 - 2019,,,,,,,,,17.69,,,
,,2019 - 2020,,,,,,,,,12.0,,,
,Prakasam,2000 - 2001,246.0,,4.49,,,,,,,,,
,,2001 - 2002,314.0,,4.32,,,,,,,,,
,,2002 - 2003,183.0,981.0,5.36,,,,,,,,,
,,2003 - 2004,172.0,,6.17,,,,,,,,,
,,2004 - 2005,89.0,719.0,8.08,,,,,,,,,
,,2005 - 2006,149.0,934.0,6.27,,,,,,,,,
,,2006 - 2007,176.0,,5.88,,,,,,,,,
,,2008 - 2009,329.0,,6.87,,,,,,,,,
,,2009 - 2010,281.0,,6.23,,,,,,,,,
,,2010 - 2011,532.0,,6.11,,,,,,,,,
,,2011 - 2012,,,7.51,,,,,,,,,
,,2012 - 2013,,,,25.0,166.0,6.64,557.0,,6.62,,,
,,2013 - 2014,,,,34.0,226.0,6.65,728.0,,6.66,,,
,,2014 - 2015,,,,2.0,14.0,7.0,698.0,,7.2,,,
,,2015 - 2016,,,,1.0,7.0,7.0,637.0,,6.62,,,
,,2016 - 2017,,,,3.0,9.0,3.0,399.0,,3.1,,,
,,2017 - 2018,,,,,,,672.0,,12.0,,,
,,2018 - 2019,,,,,,,726.0,,11.98,,,
,,2019 - 2020,,,,,,,502.0,,12.0,,,
,Spsr nellore,2000 - 2001,137.0,615.0,4.49,,,,,,,,,
,,2001 - 2002,107.0,462.0,4.32,,,,,,,,,
,,2002 - 2003,175.0,938.0,5.36,,,,,,,,,
,,2003 - 2004,91.0,561.0,6.16,,,,,,,,,
,,2004 - 2005,118.0,954.0,8.08,,,,,,,,,
,,2005 - 2006,165.0,,6.27,,,,,,,,,
,,2006 - 2007,213.0,,5.88,,,,,,,,,
,,2008 - 2009,98.0,673.0,6.87,,,,,,,,,
,,2009 - 2010,111.0,692.0,6.23,,,,,,,,,
,,2010 - 2011,153.0,934.0,6.1,,,,,,,,,
,,2011 - 2012,280.0,,7.51,,,,,,,,,
,,2012 - 2013,,,,,,,99.0,656.0,6.63,,,
,,2013 - 2014,,,,,,,167.0,,6.66,,,
,,2014 - 2015,,,,,,,174.0,,7.2,,,
,,2015 - 2016,,,,,,,115.0,777.0,6.76,,,
,,2016 - 2017,,,,,,,144.0,608.0,4.22,,,
,,2017 - 2018,,,,,,,180.0,,12.0,,,
,,2018 - 2019,,,,,,,106.0,,20.38,,,
,,2019 - 2020,,,,,,,182.0,,12.0,,,
,Srikakulam,2000 - 2001,265.0,,4.49,,,,,,,,,
,,2001 - 2002,235.0,,4.32,,,,,,,,,
,,2002 - 2003,229.0,,5.36,,,,,,,,,
,,2003 - 2004,246.0,,6.17,,,,,,,,,
,,2004 - 2005,265.0,,8.08,,,,,,,,,
,,2005 - 2006,261.0,,6.27,,,,,,,,,
,,2006 - 2007,267.0,,5.88,,,,,,,,,
,,2008 - 2009,251.0,,6.87,,,,,,,,,
,,2009 - 2010,231.0,,6.23,,,,,,,,,
,,2010 - 2011,200.0,,6.11,,,,,,,,,
,,2011 - 2012,227.0,,7.51,,,,,,,,,
,,2012 - 2013,,,,,,,219.0,,6.63,,,
,,2013 - 2014,,,,,,,214.0,,6.66,,,
,,2014 - 2015,,,,,,,214.0,,7.2,,,
,,2015 - 2016,,,,,,,215.0,,6.75,,,
,,2016 - 2017,,,,,,,204.0,861.0,4.22,,,
,,2017 - 2018,,,,,,,253.0,,12.0,,,
,,2018 - 2019,,,,,,,204.0,,15.24,,,
,,2019 - 2020,,,,,,,253.0,,12.0,,,
,Visakhapatanam,2000 - 2001,,,2.07,,,,,,,,,
