state,district,year,turmeric_whole_year_area_hectare,turmeric_whole_year_production_tonne,turmeric_whole_year_yield_tonne_per_hectare,turmeric_rabi_area_hectare,turmeric_rabi_production_tonne,turmeric_rabi_yield_tonne_per_hectare,turmeric_kharif_area_hectare,turmeric_kharif_production_tonne,turmeric_kharif_yield_tonne_per_hectare,turmeric_summer_area_hectare,turmeric_summer_production_tonne,turmeric_summer_yield_tonne_per_hectare
,,2012 - 2013,93.0,202.0,2.17,,,,,,,,,
,,2013 - 2014,87.0,218.0,2.51,,,,,,,,,
,,2014 - 2015,132.0,338.0,2.56,,,,,,,,,
,,2015 - 2016,96.89,247.36,2.55,,,,,,,,,
,,2016 - 2017,103.0,246.0,2.39,,,,,,,,,
,,2017 - 2018,104.0,262.0,2.52,,,,,,,,,
,,2018 - 2019,108.52,290.0,2.67,,,,,,,,,
,,2019 - 2020,108.0,290.0,2.69,,,,,,,,,
,,2020 - 2021,102.86,331.88,3.23,,,,,,,,,
,,2021 - 2022,115.0,430.0,3.74,,,,,,,,,
,,2022 - 2023,117.15,405.58,3.46,,,,,,,,,
,Kozhikode,2000 - 2001,728.0,,2.13,,,,,,,,,
,,2001 - 2002,424.0,964.0,2.27,,,,,,,,,
,,2002 - 2003,305.0,723.0,2.37,,,,,,,,,
,,2003 - 2004,366.0,851.0,2.33,,,,,,,,,
,,2004 - 2005,359.0,886.0,2.47,,,,,,,,,
,,2005 - 2006,234.0,466.0,1.99,,,,,,,,,
,,2006 - 2007,407.0,,2.57,,,,,,,,,
,,2007 - 2008,370.0,981.0,2.65,,,,,,,,,
,,2008 - 2009,349.0,811.0,2.32,,,,,,,,,
,,2009 - 2010,295.0,721.0,2.44,,,,,,,,,
,,2010 - 2011,283.16,737.09,2.6,,,,,,,,,
,,2011 - 2012,302.31,731.76,2.42,,,,,,,,,
,,2012 - 2013,328.0,867.0,2.64,,,,,,,,,
,,2013 - 2014,301.0,729.0,2.42,,,,,,,,,
,,2014 - 2015,264.0,820.0,3.11,,,,,,,,,
,,2015 - 2016,285.94,858.56,3.0,,,,,,,,,
,,2016 - 2017,272.0,681.0,2.5,,,,,,,,,
,,2017 - 2018,353.0,,3.22,,,,,,,,,
,,2018 - 2019,292.78,812.0,2.77,,,,,,,,,
,,2019 - 2020,251.0,769.0,3.06,,,,,,,,,
,,2020 - 2021,244.91,959.49,3.92,,,,,,,,,
,,2021 - 2022,218.0,880.0,4.04,,,,,,,,,
,,2022 - 2023,213.03,681.52,3.2,,,,,,,,,
,Malappuram,2000 - 2001,355.0,700.0,1.97,,,,,,,,,
,,2001 - 2002,241.0,348.0,1.44,,,,,,,,,
,,2002 - 2003,339.0,576.0,1.7,,,,,,,,,
,,2003 - 2004,268.0,474.0,1.77,,,,,,,,,
,,2004 - 2005,222.0,347.0,1.56,,,,,,,,,
,,2005 - 2006,285.0,462.0,1.62,,,,,,,,,
,,2006 - 2007,321.0,459.0,1.43,,,,,,,,,
,,2007 - 2008,356.0,631.0,1.77,,,,,,,,,
,,2008 - 2009,342.0,639.0,1.87,,,,,,,,,
,,2009 - 2010,240.0,469.0,1.95,,,,,,,,,
,,2010 - 2011,266.33,485.76,1.82,,,,,,,,,
,,2011 - 2012,282.5,532.91,1.89,,,,,,,,,
,,2012 - 2013,258.0,483.0,1.87,,,,,,,,,
,,2013 - 2014,254.0,503.0,1.98,,,,,,,,,
,,2014 - 2015,284.0,621.0,2.19,,,,,,,,,
,,2015 - 2016,325.93,777.86,2.39,,,,,,,,,
,,2016 - 2017,354.0,733.0,2.07,,,,,,,,,
,,2017 - 2018,312.0,949.0,3.04,,,,,,,,,
,,2018 - 2019,292.63,649.0,2.22,,,,,,,,,
,,2019 - 2020,264.0,724.0,2.74,,,,,,,,,
,,2020 - 2021,223.91,653.43,2.92,,,,,,,,,
,,2021 - 2022,203.0,837.0,4.12,,,,,,,,,
,,2022 - 2023,191.19,481.55,2.52,,,,,,,,,
,Palakkad,2000 - 2001,778.0,,2.55,,,,,,,,,
,,2001 - 2002,799.0,,2.69,,,,,,,,,
,,2002 - 2003,698.0,,2.5,,,,,,,,,
,,2003 - 2004,548.0,933.0,1.7,,,,,,,,,
,,2004 - 2005,532.0,,2.42,,,,,,,,,
,,2005 - 2006,799.0,,3.13,,,,,,,,,
,,2006 - 2007,923.0,,3.09,,,,,,,,,
,,2007 - 2008,716.0,,2.77,,,,,,,,,
,,2008 - 2009,528.0,,2.64,,,,,,,,,
,,2009 - 2010,487.0,,2.94,,,,,,,,,
,,2010 - 2011,515.13,,3.14,,,,,,,,,
,,2011 - 2012,960.57,,3.01,,,,,,,,,
,,2012 - 2013,660.0,,2.9,,,,,,,,,
,,2013 - 2014,656.0,,2.89,,,,,,,,,
,,2014 - 2015,591.0,,2.76,,,,,,,,,
,,2015 - 2016,576.39,,2.93,,,,,,,,,
,,2016 - 2017,594.0,,2.63,,,,,,,,,
,,2017 - 2018,655.0,,3.61,,,,,,,,,
,,2018 - 2019,474.86,,3.01,,,,,,,,,
,,2019 - 2020,391.0,,3.13,,,,,,,,,
,,2020 - 2021,335.83,,3.76,,,,,,,,,
,,2021 - 2022,343.0,,3.58,,,,,,,,,
,,2022 - 2023,378.58,,3.23,,,,,,,,,
,Pathanamthitta,2000 - 2001,72.0,109.0,1.51,,,,,,,,,
,,2001 - 2002,69.0,117.0,1.7,,,,,,,,,
,,2002 - 2003,102.0,144.0,1.41,,,,,,,,,
,,2003 - 2004,95.0,159.0,1.67,,,,,,,,,
,,2004 - 2005,126.0,234.0,1.86,,,,,,,,,
,,2005 - 2006,137.0,263.0,1.92,,,,,,,,,
,,2006 - 2007,103.0,174.0,1.69,,,,,,,,,
,,2007 - 2008,92.0,167.0,1.82,,,,,,,,,
,,2008 - 2009,43.0,83.0,1.93,,,,,,,,,
,,2009 - 2010,77.0,125.0,1.62,,,,,,,,,
,,2010 - 2011,91.6,171.8,1.88,,,,,,,,,
,,2011 - 2012,91.16,189.39,2.08,,,,,,,,,
,,2012 - 2013,73.0,135.0,1.85,,,,,,,,,
,,2013 - 2014,73.0,130.0,1.78,,,,,,,,,
,,2014 - 2015,76.0,170.0,2.24,,,,,,,,,
,,2015 - 2016,82.5,183.32,2.22,,,,,,,,,
,,2016 - 2017,89.0,180.0,2.02,,,,,,,,,
,,2017 - 2018,99.0,376.0,3.8,,,,,,,,,
,,2018 - 2019,103.22,295.0,2.86,,,,,,,,,
,,2019 - 2020,110.0,396.0,3.6,,,,,,,,,
,,2020 - 2021,159.38,633.47,3.97,,,,,,,,,
,,2021 - 2022,180.0,629.0,3.49,,,,,,,,,
,,2022 - 2023,204.18,700.32,3.43,,,,,,,,,
,Thiruvananthapuram,2000 - 2001,32.0,40.0,1.25,,,,,,,,,
,,2001 - 2002,30.0,60.0,2.0,,,,,,,,,
,,2002 - 2003,45.0,72.0,1.6,,,,,,,,,
,,2003 - 2004,38.0,82.0,2.16,,,,,,,,,
,,2004 - 2005,59.0,85.0,1.44,,,,,,,,,
,,2005 - 2006,65.0,134.0,2.06,,,,,,,,,
,,2006 - 2007,28.0,51.0,1.82,,,,,,,,,
,,2007 - 2008,53.0,97.0,1.83,,,,,,,,,
,,2008 - 2009,58.0,124.0,2.14,,,,,,,,,
,,2009 - 2010,46.0,84.0,1.83,,,,,,,,,
,,2010 - 2011,51.34,86.57,1.69,,,,,,,,,
,,2011 - 2012,51.12,88.18,1.73,,,,,,,,,
,,2012 - 2013,51.0,84.0,1.65,,,,,,,,,
,,2013 - 2014,56.0,89.0,1.59,,,,,,,,,
,,2014 - 2015,65.0,122.0,1.88,,,,,,,,,
,,2015 - 2016,73.42,185.18,2.52,,,,,,,,,
,,2016 - 2017,72.0,156.0,2.17,,,,,,,,,
,,2017 - 2018,70.0,150.0,2.14,,,,,,,,,
,,2018 - 2019,64.8,128.0,1.98,,,,,,,,,
,,2019 - 2020,61.0,129.0,2.11,,,,,,,,,
,,2020 - 2021,83.54,211.06,2.53,,,,,,,,,
,,2021 - 2022,82.0,191.0,2.33,,,,,,,,,
,,2022 - 2023,87.7,240.92,2.75,,,,,,,,,
,Thrissur,2000 - 2001,142.0,174.0,1.23,,,,,,,,,
,,2001 - 2002,97.0,225.0,2.32,,,,,,,,,
,,2002 - 2003,125.0,219.0,1.75,,,,,,,,,
,,2003 - 2004,97.0,129.0,1.33,,,,,,,,,
,,2004 - 2005,117.0,203.0,1.74,,,,,,,,,
,,2005 - 2006,126.0,290.0,2.3,,,,,,,,,
,,2006 - 2007,141.0,206.0,1.46,,,,,,,,,
,,2007 - 2008,81.0,125.0,1.54,,,,,,,,,
,,2008 - 2009,90.0,141.0,1.57,,,,,,,,,
,,2009 - 2010,111.0,177.0,1.59,,,,,,,,,
,,2010 - 2011,66.26,126.1,1.9,,,,,,,,,
,,2011 - 2012,71.97,151.53,2.11,,,,,,,,,
,,2012 - 2013,81.0,183.0,2.26,,,,,,,,,
,,2013 - 2014,68.0,141.0,2.07,,,,,,,,,
,,2014 - 2015,69.0,140.0,2.03,,,,,,,,,
,,2015 - 2016,77.45,164.18,2.12,,,,,,,,,
,,2016 - 2017,69.0,144.0,2.09,,,,,,,,,
,,2017 - 2018,75.0,178.0,2.37,,,,,,,,,
,,2018 - 2019,77.76,177.0,2.28,,,,,,,,,
,,2019 - 2020,66.0,149.0,2.26,,,,,,,,,
,,2020 - 2021,77.44,193.62,2.5,,,,,,,,,
,,2021 - 2022,104.0,242.0,2.33,,,,,,,,,
,,2022 - 2023,76.68,167.56,2.19,,,,,,,,,
,Wayanad,2000 - 2001,139.0,262.0,1.88,,,,,,,,,
,,2001 - 2002,137.0,244.0,1.78,,,,,,,,,
,,2002 - 2003,127.0,270.0,2.13,,,,,,,,,
,,2003 - 2004,121.0,276.0,2.28,,,,,,,,,
,,2004 - 2005,139.0,367.0,2.64,,,,,,,,,
,,2005 - 2006,251.0,621.0,2.47,,,,,,,,,
,,2006 - 2007,369.0,996.0,2.7,,,,,,,,,
,,2007 - 2008,270.0,561.0,2.08,,,,,,,,,
,,2008 - 2009,232.0,508.0,2.19,,,,,,,,,
,,2009 - 2010,189.0,672.0,3.56,,,,,,,,,
,,2010 - 2011,160.81,516.14,3.21,,,,,,,,,
,,2011 - 2012,184.47,639.72,3.47,,,,,,,,,
,,2012 - 2013,179.0,525.0,2.93,,,,,,,,,
,,2013 - 2014,168.0,503.0,2.99,,,,,,,,,
,,2014 - 2015,161.0,481.0,2.99,,,,,,,,,
,,2015 - 2016,192.07,577.12,3.0,,,,,,,,,
,,2016 - 2017,167.0,385.0,2.31,,,,,,,,,
,,2017 - 2018,147.0,343.0,2.33,,,,,,,,,
,,2018 - 2019,147.22,369.0,2.51,,,,,,,,,
,,2019 - 2020,108.0,257.0,2.38,,,,,,,,,
,,2020 - 2021,107.53,281.44,2.62,,,,,,,,,
,,2021 - 2022,114.0,317.0,2.78,,,,,,,,,
,,2022 - 2023,116.69,325.58,2.79,,,,,,,,,
Madhya Pradesh,Agar malwa,2015 - 2016,48.9,987.62,20.2,,,,,,,,,
,,2016 - 2017,59.4,,20.2,,,,,,,,,
,,2017 - 2018,59.4,,20.2,,,,,,,,,
,,2018 - 2019,63.25,,20.2,,,,,,,,,
,,2019 - 2020,70.0,,20.2,,,,,,,,,
,Alirajpur,2008 - 2009,2.0,2.0,1.0,,,,,,,,,
,,2009 - 2010,2.0,2.0,1.0,,,,,,,,,
,,2010 - 2011,2.0,2.0,1.0,,,,,,,,,
,,2011 - 2012,2.0,2.0,1.0,,,,,,,,,
,,2012 - 2013,24.0,22.0,0.92,,,,,,,,,
,,2013 - 2014,81.0,70.0,0.86,,,,,,,,,
,,2015 - 2016,268.0,,25.0,,,,,,,,,
,,2016 - 2017,285.0,,27.0,,,,,,,,,
,,2017 - 2018,308.0,,29.3,,,,,,,,,
,,2018 - 2019,318.0,,29.32,,,,,,,,,
,,2019 - 2020,410.0,,19.34,,,,,,,,,
,Anuppur,2004 - 2005,10.0,8.0,0.8,,,,,,,,,
,,2007 - 2008,12.0,10.0,0.83,,,,,,,,,
,,2008 - 2009,5.0,4.0,0.8,,,,,,,,,
,,2009 - 2010,5.0,4.0,0.8,,,,,,,,,
,,2010 - 2011,13.0,7.0,0.54,,,,,,,,,
,,2011 - 2012,3.0,2.0,0.67,,,,,,,,,
,,2012 - 2013,10.0,10.0,1.0,,,,,,,,,
,,2013 - 2014,5.0,5.0,1.0,,,,,,,,,
,,2015 - 2016,266.0,,18.5,,,,,,,,,
,,2016 - 2017,377.0,,19.3,,,,,,,,,
,,2017 - 2018,415.0,,19.4,,,,,,,,,
,,2018 - 2019,456.0,,19.5,,,,,,,,,
,,2019 - 2020,703.23,,19.75,,,,,,,,,
,Ashoknagar,2015 - 2016,95.0,,16.0,,,,,,,,,
,,2016 - 2017,96.0,,16.0,,,,,,,,,
,,2017 - 2018,96.0,,16.0,,,,,,,,,
,,2018 - 2019,96.0,,16.06,,,,,,,,,
,,2019 - 2020,96.0,,16.06,,,,,,,,,
,Balaghat,2000 - 2001,23.0,20.0,0.87,,,,,,,,,
,,2001 - 2002,28.0,24.0,0.86,,,,,,,,,
,,2003 - 2004,43.0,37.0,0.86,,,,,,,,,
,,2004 - 2005,41.0,36.0,0.88,,,,,,,,,
,,2006 - 2007,83.0,60.0,0.72,,,,,,,,,
,,2007 - 2008,70.0,50.0,0.71,,,,,,,,,
,,2008 - 2009,86.0,79.0,0.92,,,,,,,,,
,,2009 - 2010,77.0,56.0,0.73,,,,,,,,,
,,2010 - 2011,90.0,43.0,0.48,,,,,,,,,
,,2011 - 2012,66.0,44.0,0.67,,,,,,,,,
,,2012 - 2013,93.0,66.0,0.71,,,,,,,,,
,,2013 - 2014,90.0,65.0,0.72,,,,,,,,,
,,2015 - 2016,236.0,,19.98,,,,,,,,,
,,2016 - 2017,252.0,,19.25,,,,,,,,,
,,2017 - 2018,299.0,,21.12,,,,,,,,,
,,2018 - 2019,321.0,,21.27,,,,,,,,,
,,2019 - 2020,336.0,,21.33,,,,,,,,,
,Barwani,2000 - 2001,50.0,37.0,0.74,,,,,,,,,
,,2001 - 2002,27.0,30.0,1.11,,,,,,,,,
,,2002 - 2003,,,0.5,,,,,,,,,
,,2003 - 2004,49.0,56.0,1.14,,,,,,,,,
,,2004 - 2005,63.0,70.0,1.11,,,,,,,,,
,,2006 - 2007,71.0,58.0,0.82,,,,,,,,,
,,2007 - 2008,59.0,45.0,0.76,,,,,,,,,
,,2008 - 2009,57.0,49.0,0.86,,,,,,,,,
,,2009 - 2010,71.0,62.0,0.87,,,,,,,,,
,,2010 - 2011,70.0,47.0,0.67,,,,,,,,,
,,2011 - 2012,77.0,48.0,0.62,,,,,,,,,
,,2012 - 2013,181.0,337.0,1.86,,,,,,,,,
,,2013 - 2014,168.0,295.0,1.76,,,,,,,,,
,,2015 - 2016,184.0,,22.5,,,,,,,,,
,,2016 - 2017,192.0,,26.5,,,,,,,,,
,,2017 - 2018,258.5,,22.0,,,,,,,,,
,,2018 - 2019,270.5,,22.0,,,,,,,,,
,,2019 - 2020,310.5,,22.0,,,,,,,,,
,Betul,2000 - 2001,17.0,15.0,0.88,,,,,,,,,
,,2001 - 2002,4.0,4.0,1.0,,,,,,,,,
,,2002 - 2003,,500.0,0.44,,,,,,,,,
,,2011 - 2012,3.0,3.0,1.0,,,,,,,,,
,,2012 - 2013,4.0,4.0,1.0,,,,,,,,,
,,2015 - 2016,30.0,360.0,12.0,,,,,,,,,
,,2016 - 2017,33.0,396.0,12.0,,,,,,,,,
,,2017 - 2018,34.0,416.0,12.24,,,,,,,,,
,,2018 - 2019,37.0,424.0,11.46,,,,,,,,,
,,2019 - 2020,39.5,454.0,11.49,,,,,,,,,
,Bhind,2003 - 2004,2.0,2.0,1.0,,,,,,,,,
,,2015 - 2016,31.0,,43.87,,,,,,,,,
,,2016 - 2017,15.0,180.0,12.0,,,,,,,,,
,,2017 - 2018,16.0,195.0,12.19,,,,,,,,,
,,2018 - 2019,16.0,195.0,12.19,,,,,,,,,
,,2019 - 2020,16.0,195.0,12.19,,,,,,,,,
,Bhopal,2015 - 2016,31.0,,32.48,,,,,,,,,
,,2016 - 2017,38.8,982.8,25.33,,,,,,,,,
,,2017 - 2018,43.8,,26.0,,,,,,,,,
,,2018 - 2019,242.0,,26.0,,,,,,,,,
,,2019 - 2020,242.0,,21.04,,,,,,,,,
,Burhanpur,2003 - 2004,1.0,1.0,1.0,,,,,,,,,
,,2009 - 2010,1.0,1.0,1.0,,,,,,,,,
,,2010 - 2011,4.0,3.0,0.75,,,,,,,,,
,,2011 - 2012,3.0,2.0,0.67,,,,,,,,,
,,2012 - 2013,25.0,25.0,1.0,,,,,,,,,
,,2013 - 2014,38.0,29.0,0.76,,,,,,,,,
,,2015 - 2016,264.0,,25.0,,,,,,,,,
,,2016 - 2017,335.0,,30.0,,,,,,,,,
,,2017 - 2018,335.0,,30.0,,,,,,,,,
,,2018 - 2019,349.0,,30.0,,,,,,,,,
,,2019 - 2020,638.0,,26.07,,,,,,,,,
,Chhatarpur,2000 - 2001,27.0,18.0,0.67,,,,,,,,,
,,2001 - 2002,43.0,29.0,0.67,,,,,,,,,
,,2003 - 2004,77.0,57.0,0.74,,,,,,,,,
,,2004 - 2005,58.0,43.0,0.74,,,,,,,,,
,,2006 - 2007,89.0,61.0,0.69,,,,,,,,,
,,2007 - 2008,77.0,47.0,0.61,,,,,,,,,
,,2008 - 2009,149.0,91.0,0.61,,,,,,,,,
,,2009 - 2010,106.0,64.0,0.6,,,,,,,,,
,,2010 - 2011,129.0,45.0,0.35,,,,,,,,,
,,2011 - 2012,111.0,43.0,0.39,,,,,,,,,
,,2012 - 2013,120.0,83.0,0.69,,,,,,,,,
,,2013 - 2014,102.0,75.0,0.74,,,,,,,,,
,,2015 - 2016,,,16.01,,,,,,,,,
,,2016 - 2017,,,16.03,,,,,,,,,
,,2017 - 2018,511.0,,10.0,,,,,,,,,
,,2018 - 2019,718.0,,8.11,,,,,,,,,
,,2019 - 2020,718.0,,15.11,,,,,,,,,
,Chhindwara,2000 - 2001,8.0,7.0,0.88,,,,,,,,,
,,2001 - 2002,3.0,3.0,1.0,,,,,,,,,
,,2002 - 2003,,,1.41,,,,,,,,,
,,2003 - 2004,3.0,3.0,1.0,,,,,,,,,
,,2004 - 2005,3.0,3.0,1.0,,,,,,,,,
,,2006 - 2007,4.0,4.0,1.0,,,,,,,,,
,,2007 - 2008,4.0,3.0,0.75,,,,,,,,,
,,2008 - 2009,3.0,3.0,1.0,,,,,,,,,
,,2009 - 2010,5.0,5.0,1.0,,,,,,,,,
,,2010 - 2011,6.0,5.0,0.83,,,,,,,,,
,,2011 - 2012,10.0,9.0,0.9,,,,,,,,,
,,2012 - 2013,28.0,32.0,1.14,,,,,,,,,
,,2013 - 2014,9.0,11.0,1.22,,,,,,,,,
,,2015 - 2016,8.0,160.0,20.0,,,,,,,,,
,,2016 - 2017,12.0,240.0,20.0,,,,,,,,,
,,2017 - 2018,12.0,240.0,20.0,,,,,,,,,
,,2018 - 2019,12.0,264.0,22.0,,,,,,,,,
,,2019 - 2020,12.0,264.0,22.0,,,,,,,,,
,Damoh,2000 - 2001,10.0,6.0,0.6,,,,,,,,,
,,2001 - 2002,6.0,5.0,0.83,,,,,,,,,
,,2003 - 2004,4.0,4.0,1.0,,,,,,,,,
,,2004 - 2005,6.0,5.0,0.83,,,,,,,,,
,,2006 - 2007,3.0,2.0,0.67,,,,,,,,,
,,2007 - 2008,3.0,2.0,0.67,,,,,,,,,
,,2008 - 2009,12.0,12.0,1.0,,,,,,,,,
,,2009 - 2010,5.0,3.0,0.6,,,,,,,,,
,,2010 - 2011,13.0,9.0,0.69,,,,,,,,,
,,2011 - 2012,7.0,5.0,0.71,,,,,,,,,
,,2012 - 2013,13.0,16.0,1.23,,,,,,,,,
,,2013 - 2014,12.0,16.0,1.33,,,,,,,,,
,,2015 - 2016,55.0,,25.0,,,,,,,,,
,,2016 - 2017,65.0,,25.0,,,,,,,,,
,,2017 - 2018,70.0,,25.0,,,,,,,,,
,,2018 - 2019,86.0,,25.0,,,,,,,,,
,,2019 - 2020,102.0,,25.0,,,,,,,,,
,Datia,2002 - 2003,1.0,0.01,0.01,,,,,,,,,
,,2004 - 2005,4.0,2.0,0.5,,,,,,,,,
,,2013 - 2014,4.0,3.0,0.75,,,,,,,,,
,,2015 - 2016,20.0,460.0,23.0,,,,,,,,,
,,2016 - 2017,72.0,,23.0,,,,,,,,,
,,2017 - 2018,76.0,,23.0,,,,,,,,,
,,2018 - 2019,77.0,,23.0,,,,,,,,,
,,2019 - 2020,77.0,,23.0,,,,,,,,,
,Dewas,2002 - 2003,,,0.69,,,,,,,,,
,,2010 - 2011,1.0,1.0,1.0,,,,,,,,,
,,2011 - 2012,86.0,69.0,0.8,,,,,,,,,
,,2012 - 2013,96.0,86.0,0.9,,,,,,,,,
,,2013 - 2014,5.0,4.0,0.8,,,,,,,,,
,,2015 - 2016,140.0,,19.25,,,,,,,,,
,,2016 - 2017,140.0,,19.25,,,,,,,,,
,,2017 - 2018,148.0,,19.37,,,,,,,,,
,,2018 - 2019,166.0,,19.48,,,,,,,,,
,,2019 - 2020,180.0,,19.48,,,,,,,,,
,Dhar,2000 - 2001,10.0,5.0,0.5,,,,,,,,,
,,2001 - 2002,2.0,1.0,0.5,,,,,,,,,
,,2002 - 2003,,,0.8,,,,,,,,,
,,2003 - 2004,73.0,55.0,0.75,,,,,,,,,
,,2004 - 2005,85.0,76.0,0.89,,,,,,,,,
,,2006 - 2007,46.0,43.0,0.93,,,,,,,,,
,,2007 - 2008,31.0,29.0,0.94,,,,,,,,,
,,2008 - 2009,22.0,19.0,0.86,,,,,,,,,
,,2009 - 2010,24.0,21.0,0.88,,,,,,,,,
,,2010 - 2011,13.0,10.0,0.77,,,,,,,,,
,,2011 - 2012,58.0,44.0,0.76,,,,,,,,,
,,2012 - 2013,86.0,86.0,1.0,,,,,,,,,
,,2013 - 2014,43.0,40.0,0.93,,,,,,,,,
,,2015 - 2016,208.8,,16.0,,,,,,,,,
,,2016 - 2017,431.0,,30.84,,,,,,,,,
,,2017 - 2018,457.0,,30.85,,,,,,,,,
,,2018 - 2019,457.0,,30.85,,,,,,,,,
,,2019 - 2020,470.0,,26.27,,,,,,,,,
,Dindori,2015 - 2016,110.0,1.5,0.01,,,,,,,,,
,,2016 - 2017,115.0,,16.75,,,,,,,,,
,,2017 - 2018,118.0,,16.5,,,,,,,,,
,,2018 - 2019,183.9,,16.5,,,,,,,,,
,,2019 - 2020,210.0,,16.49,,,,,,,,,
,Guna,2015 - 2016,5.0,75.0,15.0,,,,,,,,,
,,2016 - 2017,233.0,,15.0,,,,,,,,,
,,2017 - 2018,248.0,,15.0,,,,,,,,,
,,2018 - 2019,259.0,,15.0,,,,,,,,,
,,2019 - 2020,287.0,,15.0,,,,,,,,,
,Gwalior,2015 - 2016,20.0,500.0,25.0,,,,,,,,,
,,2016 - 2017,23.0,575.0,25.0,,,,,,,,,
,,2017 - 2018,24.0,600.0,25.0,,,,,,,,,
,,2018 - 2019,27.0,675.0,25.0,,,,,,,,,
,,2019 - 2020,35.0,875.0,25.0,,,,,,,,,
,Harda,2001 - 2002,1.0,1.0,1.0,,,,,,,,,
,,2002 - 2003,,678.0,0.51,,,,,,,,,
,,2003 - 2004,3.0,4.0,1.33,,,,,,,,,
,,2004 - 2005,3.0,4.0,1.33,,,,,,,,,
,,2009 - 2010,15.0,16.0,1.07,,,,,,,,,
,,2010 - 2011,8.0,7.0,0.88,,,,,,,,,
,,2011 - 2012,6.0,6.0,1.0,,,,,,,,,
,,2012 - 2013,15.0,15.0,1.0,,,,,,,,,
,,2013 - 2014,11.0,12.0,1.09,,,,,,,,,
,,2015 - 2016,160.0,,24.0,,,,,,,,,
,,2016 - 2017,165.0,,24.0,,,,,,,,,
,,2017 - 2018,168.0,,24.02,,,,,,,,,
,,2018 - 2019,140.0,,24.0,,,,,,,,,
,,2019 - 2020,140.0,,24.0,,,,,,,,,
,Hoshangabad,2000 - 2001,6.0,8.0,1.33,,,,,,,,,
,,2001 - 2002,9.0,13.0,1.44,,,,,,,,,
,,2002 - 2003,24.0,12.0,0.5,,,,,,,,,
,,2003 - 2004,7.0,10.0,1.43,,,,,,,,,
,,2004 - 2005,4.0,6.0,1.5,,,,,,,,,
,,2006 - 2007,14.0,20.0,1.43,,,,,,,,,
,,2007 - 2008,13.0,17.0,1.31,,,,,,,,,
,,2008 - 2009,13.0,19.0,1.46,,,,,,,,,
,,2009 - 2010,15.0,22.0,1.47,,,,,,,,,
,,2010 - 2011,14.0,17.0,1.21,,,,,,,,,
,,2011 - 2012,24.0,32.0,1.33,,,,,,,,,
,,2012 - 2013,24.0,32.0,1.33,,,,,,,,,
,,2013 - 2014,20.0,28.0,1.4,,,,,,,,,
,,2015 - 2016,65.0,,21.0,,,,,,,,,
,,2016 - 2017,68.0,,20.5,,,,,,,,,
,,2017 - 2018,78.0,,20.5,,,,,,,,,
,,2018 - 2019,72.0,,20.03,,,,,,,,,
,,2019 - 2020,72.0,,20.03,,,,,,,,,
,Indore,2000 - 2001,2.0,1.0,0.5,,,,,,,,,
,,2001 - 2002,1.0,1.0,1.0,,,,,,,,,
,,2002 - 2003,20.0,9.0,0.45,,,,,,,,,
,,2003 - 2004,1.0,1.0,1.0,,,,,,,,,
,,2004 - 2005,1.0,1.0,1.0,,,,,,,,,
,,2008 - 2009,4.0,4.0,1.0,,,,,,,,,
,,2010 - 2011,9.0,6.0,0.67,,,,,,,,,
,,2012 - 2013,2.0,2.0,1.0,,,,,,,,,
,,2017 - 2018,20.0,500.0,25.0,,,,,,,,,
,,2018 - 2019,35.0,,30.0,,,,,,,,,
,,2019 - 2020,40.0,740.0,18.5,,,,,,,,,
,Jabalpur,2001 - 2002,2.0,2.0,1.0,,,,,,,,,
,,2003 - 2004,32.0,46.0,1.44,,,,,,,,,
,,2004 - 2005,2.0,3.0,1.5,,,,,,,,,
,,2006 - 2007,7.0,16.0,2.29,,,,,,,,,
,,2007 - 2008,14.0,17.0,1.21,,,,,,,,,
,,2009 - 2010,5.0,9.0,1.8,,,,,,,,,
,,2010 - 2011,4.0,5.0,1.25,,,,,,,,,
,,2011 - 2012,1.0,1.0,1.0,,,,,,,,,
,,2012 - 2013,17.0,28.0,1.65,,,,,,,,,
,,2013 - 2014,10.0,17.0,1.7,,,,,,,,,
,,2015 - 2016,577.5,,13.87,,,,,,,,,
,,2016 - 2017,583.0,,13.87,,,,,,,,,
,,2017 - 2018,641.0,,16.51,,,,,,,,,
,,2018 - 2019,673.05,,16.51,,,,,,,,,
,,2019 - 2020,675.05,,16.51,,,,,,,,,
,Jhabua,2001 - 2002,2.0,2.0,1.0,,,,,,,,,
,,2002 - 2003,,,0.43,,,,,,,,,
,,2003 - 2004,1.0,1.0,1.0,,,,,,,,,
,,2004 - 2005,4.0,4.0,1.0,,,,,,,,,
,,2006 - 2007,4.0,4.0,1.0,,,,,,,,,
,,2007 - 2008,2.0,2.0,1.0,,,,,,,,,
,,2008 - 2009,2.0,2.0,1.0,,,,,,,,,
,,2009 - 2010,1.0,1.0,1.0,,,,,,,,,
,,2010 - 2011,5.0,4.0,0.8,,,,,,,,,
,,2011 - 2012,15.0,11.0,0.73,,,,,,,,,
,,2012 - 2013,17.0,22.0,1.29,,,,,,,,,
,,2013 - 2014,15.0,18.0,1.2,,,,,,,,,
,,2015 - 2016,94.0,,20.0,,,,,,,,,
,,2016 - 2017,130.0,650.0,5.0,,,,,,,,,
,,2017 - 2018,138.0,,20.0,,,,,,,,,
,,2018 - 2019,140.0,,20.0,,,,,,,,,
,,2019 - 2020,125.0,,20.0,,,,,,,,,
