state,district,year,wheat_rabi_area_hectare,wheat_rabi_production_tonne,wheat_rabi_yield_tonne_per_hectare,wheat_kharif_area_hectare,wheat_kharif_production_tonne,wheat_kharif_yield_tonne_per_hectare,wheat_winter_area_hectare,wheat_winter_production_tonne,wheat_winter_yield_tonne_per_hectare,wheat_whole_year_area_hectare,wheat_whole_year_production_tonne,wheat_whole_year_yield_tonne_per_hectare,wheat_summer_area_hectare,wheat_summer_production_tonne,wheat_summer_yield_tonne_per_hectare
,,2016 - 2017,,,1.56,,,,,,,,,,,,
,,2017 - 2018,,,1.5,,,,,,,,,,,,
,,2018 - 2019,,,1.78,,,,,,,,,,,,
,,2019 - 2020,,,1.36,,,,,,,,,,,,
,,2020 - 2021,,,1.8,,,,,,,,,,,,
,,2021 - 2022,,,1.38,,,,,,,,,,,,
,,2022 - 2023,,,1.52,,,,,,,,,,,,
,Surguja,2000 - 2001,,,1.48,,,,,,,,,,,,
,,2001 - 2002,,,1.32,,,,,,,,,,,,
,,2002 - 2003,,,1.36,,,,,,,,,,,,
,,2003 - 2004,,,1.22,,,,,,,,,,,,
,,2004 - 2005,,,1.05,,,,,,,,,,,,
,,2005 - 2006,,,1.02,,,,,,,,,,,,
,,2006 - 2007,,,1.24,,,,,,,,,,,,
,,2007 - 2008,,,1.29,,,,,,,,,,,,
,,2008 - 2009,,,1.2,,,,,,,,,,,,
,,2009 - 2010,,,1.12,,,,,,,,,,,,
,,2010 - 2011,,,1.18,,,,,,,,,,,,
,,2011 - 2012,,,1.23,,,,,,,,,,,,
,,2012 - 2013,,,1.56,,,,,,,,,,,,
,,2013 - 2014,,,1.6,,,,,,,,,,,,
,,2014 - 2015,,,1.83,,,,,,,,,,,,
,,2015 - 2016,,,1.43,,,,,,,,,,,,
,,2016 - 2017,,,1.42,,,,,,,,,,,,
,,2017 - 2018,,,1.52,,,,,,,,,,,,
,,2018 - 2019,,,1.8,,,,,,,,,,,,
,,2019 - 2020,,,1.28,,,,,,,,,,,,
,,2020 - 2021,,,2.36,,,,,,,,,,,,
,,2021 - 2022,,,1.88,,,,,,,,,,,,
,,2022 - 2023,,,2.1,,,,,,,,,,,,
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2000 - 2001,,,,,,,710.0,,2.11,,,,,,
,,2001 - 2002,,,,,,,735.0,,1.96,,,,,,
,,2002 - 2003,,,,,,,750.0,,1.96,,,,,,
,,2003 - 2004,,,,,,,750.0,,1.96,,,,,,
,,2004 - 2005,,,,,,,750.0,,1.96,,,,,,
,,2005 - 2006,,,,,,,750.0,,2.0,,,,,,
,,2006 - 2007,,,,,,,750.0,,2.07,,,,,,
,,2007 - 2008,,,,,,,600.0,,1.83,,,,,,
,,2008 - 2009,,,,,,,600.0,,1.83,,,,,,
,,2009 - 2010,,,,,,,700.0,,1.43,,,,,,
,,2010 - 2011,,,,,,,130.0,290.0,2.23,,,,,,
,,2011 - 2012,,,,,,,137.0,274.0,2.0,,,,,,
,,2012 - 2013,,,,,,,131.0,262.0,2.0,,,,,,
,,2013 - 2014,,,,,,,131.0,262.0,2.0,,,,,,
,,2014 - 2015,,,,,,,139.0,289.0,2.08,,,,,,
,,2015 - 2016,,,,,,,141.0,302.0,2.14,,,,,,
,,2016 - 2017,40.0,92.0,2.3,,,,,,,,,,,,
,,2017 - 2018,,,,,,,139.0,309.0,2.22,,,,,,
,,2019 - 2020,50.0,120.0,2.4,,,,,,,,,,,,
Delhi,Delhi_total,2008 - 2009,,,4.36,,,,,,,,,,,,
,,2009 - 2010,,,4.34,,,,,,,,,,,,
,,2010 - 2011,,,4.34,,,,,,,,,,,,
,,2011 - 2012,,,4.34,,,,,,,,,,,,
,,2012 - 2013,,,4.36,,,,,,,,,,,,
,,2013 - 2014,,,4.45,,,,,,,,,,,,
,,2014 - 2015,,,4.42,,,,,,,,,,,,
,,2015 - 2016,,,4.38,,,,,,,,,,,,
,,2016 - 2017,,,4.44,,,,,,,,,,,,
,,2017 - 2018,,,4.24,,,,,,,,,,,,
,,2018 - 2019,,,4.31,,,,,,,,,,,,
,,2019 - 2020,,,4.31,,,,,,,,,,,,
Gujarat,Ahmadabad,2000 - 2001,,,1.61,,,,,,,,,,,,
,,2001 - 2002,,,1.28,,,,,,,,,,,,
,,2002 - 2003,,,1.35,,,,,,,,,,,,
,,2003 - 2004,,,1.64,,,,,,,,,,,,
,,2004 - 2005,,,1.75,,,,,,,,,,,,
,,2005 - 2006,,,1.78,,,,,,,,,,,,
,,2006 - 2007,,,1.73,,,,,,,,,,,,
,,2007 - 2008,,,1.83,,,,,,,,,,,,
,,2008 - 2009,,,1.38,,,,,,,,,,,,
,,2009 - 2010,,,2.29,,,,,,,,,,,,
,,2010 - 2011,,,2.38,,,,,,,,,,,,
,,2011 - 2012,,,2.5,,,,,,,,,,,,
,,2012 - 2013,,,2.52,,,,,,,,,,,,
,,2013 - 2014,,,2.28,,,,,,,,,,,,
,,2014 - 2015,,,1.95,,,,,,,,,,,,
,,2015 - 2016,,,2.4,,,,,,,,,,,,
,,2016 - 2017,,,2.25,,,,,,,,,,,,
,,2017 - 2018,,,2.16,,,,,,,,,,,,
,,2018 - 2019,,,2.57,,,,,,,,,,,,
,,2019 - 2020,,,2.69,,,,,,,,,,,,
,,2020 - 2021,,,2.61,,,,,,,,,,,,
,,2021 - 2022,,,2.54,,,,,,,,,,,,
,,2022 - 2023,,,2.35,,,,,,,,,,,,
,Amreli,2000 - 2001,,,2.27,,,,,,,,,,,,
,,2001 - 2002,,,2.69,,,,,,,,,,,,
,,2002 - 2003,,,2.46,,,,,,,,,,,,
,,2003 - 2004,,,3.27,,,,,,,,,,,,
,,2004 - 2005,,,3.19,,,,,,,,,,,,
,,2005 - 2006,,,3.27,,,,,,,,,,,,
,,2006 - 2007,,,3.33,,,,,,,,,,,,
,,2007 - 2008,,,3.89,,,,,,,,,,,,
,,2008 - 2009,,,2.85,,,,,,,,,,,,
,,2009 - 2010,,,3.0,,,,,,,,,,,,
,,2010 - 2011,,,3.79,,,,,,,,,,,,
,,2011 - 2012,,,3.59,,,,,,,,,,,,
,,2012 - 2013,,,2.85,,,,,,,,,,,,
,,2013 - 2014,,,3.93,,,,,,,,,,,,
,,2014 - 2015,,,3.35,,,,,,,,,,,,
,,2015 - 2016,,,3.11,,,,,,,,,,,,
,,2016 - 2017,,,3.41,,,,,,,,,,,,
,,2017 - 2018,,,3.84,,,,,,,,,,,,
,,2018 - 2019,,,3.35,,,,,,,,,,,,
,,2019 - 2020,,,4.05,,,,,,,,,,,,
,,2020 - 2021,,,3.71,,,,,,,,,,,,
,,2021 - 2022,,,3.82,,,,,,,,,,,,
,,2022 - 2023,,,3.74,,,,,,,,,,,,
,Anand,2003 - 2004,,,2.13,,,,,,,,,,,,
,,2004 - 2005,,,1.88,,,,,,,,,,,,
,,2005 - 2006,,,2.17,,,,,,,,,,,,
,,2006 - 2007,,,1.57,,,,,,,,,,,,
,,2007 - 2008,,,2.43,,,,,,,,,,,,
,,2008 - 2009,,,2.27,,,,,,,,,,,,
,,2009 - 2010,,,2.22,,,,,,,,,,,,
,,2010 - 2011,,,2.65,,,,,,,,,,,,
,,2011 - 2012,,,2.56,,,,,,,,,,,,
,,2012 - 2013,,,2.82,,,,,,,,,,,,
,,2013 - 2014,,,2.6,,,,,,,,,,,,
,,2014 - 2015,,,2.84,,,,,,,,,,,,
,,2015 - 2016,,,3.04,,,,,,,,,,,,
,,2016 - 2017,,,3.19,,,,,,,,,,,,
,,2017 - 2018,,,3.02,,,,,,,,,,,,
,,2018 - 2019,,,3.07,,,,,,,,,,,,
,,2019 - 2020,,,3.1,,,,,,,,,,,,
,,2020 - 2021,,,2.99,,,,,,,,,,,,
,,2021 - 2022,,,3.11,,,,,,,,,,,,
,,2022 - 2023,,,3.07,,,,,,,,,,,,
,Aravalli,2014 - 2015,,,2.23,,,,,,,,,,,,
,,2015 - 2016,,,2.22,,,,,,,,,,,,
,,2016 - 2017,,,2.38,,,,,,,,,,,,
,,2017 - 2018,,,2.43,,,,,,,,,,,,
,,2018 - 2019,,,2.77,,,,,,,,,,,,
,,2019 - 2020,,,2.97,,,,,,,,,,,,
,,2020 - 2021,,,2.57,,,,,,,,,,,,
,,2021 - 2022,,,2.96,,,,,,,,,,,,
,,2022 - 2023,,,2.88,,,,,,,,,,,,
,Banas kantha,2000 - 2001,,,2.52,,,,,,,,,,,,
,,2001 - 2002,,,2.7,,,,,,,,,,,,
,,2002 - 2003,,,2.13,,,,,,,,,,,,
,,2003 - 2004,,,2.72,,,,,,,,,,,,
,,2004 - 2005,,,2.43,,,,,,,,,,,,
,,2005 - 2006,,,2.66,,,,,,,,,,,,
,,2006 - 2007,,,2.5,,,,,,,,,,,,
,,2007 - 2008,,,2.86,,,,,,,,,,,,
,,2008 - 2009,,,2.1,,,,,,,,,,,,
,,2009 - 2010,,,2.75,,,,,,,,,,,,
,,2010 - 2011,,,3.02,,,,,,,,,,,,
,,2011 - 2012,,,2.72,,,,,,,,,,,,
,,2012 - 2013,,,2.91,,,,,,,,,,,,
,,2013 - 2014,,,3.12,,,,,,,,,,,,
,,2014 - 2015,,,3.1,,,,,,,,,,,,
,,2015 - 2016,,,2.96,,,,,,,,,,,,
,,2016 - 2017,,,2.99,,,,,,,,,,,,
,,2017 - 2018,,,3.03,,,,,,,,,,,,
,,2018 - 2019,,,3.1,,,,,,,,,,,,
,,2019 - 2020,,,3.14,,,,,,,,,,,,
,,2020 - 2021,,,3.1,,,,,,,,,,,,
,,2021 - 2022,,,3.1,,,,,,,,,,,,
,,2022 - 2023,,,3.07,,,,,,,,,,,,
,Bharuch,2000 - 2001,,,2.07,,,,,,,,,,,,
,,2001 - 2002,,,1.83,,,,,,,,,,,,
,,2002 - 2003,,,1.36,,,,,,,,,,,,
,,2003 - 2004,,,1.18,,,,,,,,,,,,
,,2004 - 2005,,,1.33,,,,,,,,,,,,
,,2005 - 2006,,,1.46,,,,,,,,,,,,
,,2006 - 2007,,,1.1,,,,,,,,,,,,
,,2007 - 2008,,,1.93,,,,,,,,,,,,
,,2008 - 2009,,,1.37,,,,,,,,,,,,
,,2009 - 2010,,,1.56,,,,,,,,,,,,
,,2010 - 2011,,,2.01,,,,,,,,,,,,
,,2011 - 2012,,,2.08,,,,,,,,,,,,
,,2012 - 2013,,,1.88,,,,,,,,,,,,
,,2013 - 2014,,,1.68,,,,,,,,,,,,
,,2014 - 2015,,,1.61,,,,,,,,,,,,
,,2015 - 2016,,,1.77,,,,,,,,,,,,
,,2016 - 2017,,,1.42,,,,,,,,,,,,
,,2017 - 2018,,,1.9,,,,,,,,,,,,
,,2018 - 2019,,,1.92,,,,,,,,,,,,
,,2019 - 2020,,,1.99,,,,,,,,,,,,
,,2020 - 2021,,,1.96,,,,,,,,,,,,
,,2021 - 2022,,,2.03,,,,,,,,,,,,
,,2022 - 2023,,,2.0,,,,,,,,,,,,
,Bhavnagar,2000 - 2001,,,2.3,,,,,,,,,,,,
,,2001 - 2002,,,1.98,,,,,,,,,,,,
,,2002 - 2003,,,2.28,,,,,,,,,,,,
,,2003 - 2004,,,2.54,,,,,,,,,,,,
,,2004 - 2005,,,2.83,,,,,,,,,,,,
,,2005 - 2006,,,2.87,,,,,,,,,,,,
,,2006 - 2007,,,2.79,,,,,,,,,,,,
,,2007 - 2008,,,3.23,,,,,,,,,,,,
,,2008 - 2009,,,2.6,,,,,,,,,,,,
,,2009 - 2010,,,2.5,,,,,,,,,,,,
,,2010 - 2011,,,2.93,,,,,,,,,,,,
,,2011 - 2012,,,2.96,,,,,,,,,,,,
,,2012 - 2013,,,3.29,,,,,,,,,,,,
,,2013 - 2014,,,3.5,,,,,,,,,,,,
,,2014 - 2015,,,2.87,,,,,,,,,,,,
,,2015 - 2016,,,3.16,,,,,,,,,,,,
,,2016 - 2017,,,3.22,,,,,,,,,,,,
,,2017 - 2018,,,3.24,,,,,,,,,,,,
,,2018 - 2019,,,3.11,,,,,,,,,,,,
,,2019 - 2020,,,3.31,,,,,,,,,,,,
,,2020 - 2021,,,3.23,,,,,,,,,,,,
,,2021 - 2022,,,3.24,,,,,,,,,,,,
,,2022 - 2023,,,3.08,,,,,,,,,,,,
,Botad,2014 - 2015,,,4.19,,,,,,,,,,,,
,,2015 - 2016,,,3.54,,,,,,,,,,,,
,,2016 - 2017,,,3.45,,,,,,,,,,,,
,,2017 - 2018,,,3.3,,,,,,,,,,,,
,,2018 - 2019,,,3.02,,,,,,,,,,,,
,,2019 - 2020,,,3.1,,,,,,,,,,,,
,,2020 - 2021,,,3.0,,,,,,,,,,,,
,,2021 - 2022,,,3.59,,,,,,,,,,,,
,,2022 - 2023,,,3.66,,,,,,,,,,,,
,Chhotaudepur,2014 - 2015,661.0,,3.18,,,,,,,,,,,,
,,2015 - 2016,655.0,,3.56,,,,,,,,,,,,
,,2016 - 2017,565.0,,3.3,,,,,,,,,,,,
,,2017 - 2018,494.0,,3.08,,,,,,,,,,,,
,,2018 - 2019,401.0,,3.47,,,,,,,,,,,,
,,2019 - 2020,,,3.13,,,,,,,,,,,,
,,2020 - 2021,,,3.27,,,,,,,,,,,,
,,2021 - 2022,980.0,,3.31,,,,,,,,,,,,
,,2022 - 2023,897.0,,3.29,,,,,,,,,,,,
,Dang,2000 - 2001,100.0,300.0,3.0,,,,,,,,,,,,
,,2001 - 2002,100.0,400.0,4.0,,,,,,,,,,,,
,,2002 - 2003,100.0,300.0,3.0,,,,,,,,,,,,
,,2004 - 2005,100.0,400.0,4.0,,,,,,,,,,,,
,,2005 - 2006,200.0,500.0,2.5,,,,,,,,,,,,
,,2006 - 2007,300.0,900.0,3.0,,,,,,,,,,,,
,,2007 - 2008,400.0,,3.5,,,,,,,,,,,,
,,2008 - 2009,700.0,,2.43,,,,,,,,,,,,
,,2009 - 2010,800.0,,2.75,,,,,,,,,,,,
,,2010 - 2011,,,3.38,,,,,,,,,,,,
,,2011 - 2012,,,3.16,,,,,,,,,,,,
,,2012 - 2013,,,2.97,,,,,,,,,,,,
,,2013 - 2014,,,3.29,,,,,,,,,,,,
,,2014 - 2015,,,1.56,,,,,,,,,,,,
,,2015 - 2016,,,1.48,,,,,,,,,,,,
,,2016 - 2017,,,1.49,,,,,,,,,,,,
,,2017 - 2018,,,0.8,,,,,,,,,,,,
,,2018 - 2019,175.0,270.0,1.54,,,,,,,,,,,,
,,2019 - 2020,255.0,281.0,1.1,,,,,,,,,,,,
,,2020 - 2021,310.0,,3.27,,,,,,,,,,,,
,,2021 - 2022,304.0,989.0,3.25,,,,,,,,,,,,
,,2022 - 2023,35.0,113.0,3.23,,,,,,,,,,,,
,Devbhumi dwarka,2014 - 2015,,,4.11,,,,,,,,,,,,
,,2015 - 2016,320.0,854.0,2.67,,,,,,,,,,,,
,,2016 - 2017,527.0,,3.0,,,,,,,,,,,,
,,2017 - 2018,,,3.52,,,,,,,,,,,,
,,2018 - 2019,114.0,386.0,3.39,,,,,,,,,,,,
,,2019 - 2020,,,4.31,,,,,,,,,,,,
,,2020 - 2021,,,4.34,,,,,,,,,,,,
,,2021 - 2022,,,4.49,,,,,,,,,,,,
,,2022 - 2023,,,4.03,,,,,,,,,,,,
,Dohad,2003 - 2004,,,2.02,,,,,,,,,,,,
,,2004 - 2005,,,1.98,,,,,,,,,,,,
,,2005 - 2006,,,2.14,,,,,,,,,,,,
,,2006 - 2007,,,2.04,,,,,,,,,,,,
,,2007 - 2008,,,2.24,,,,,,,,,,,,
,,2008 - 2009,,,1.65,,,,,,,,,,,,
,,2009 - 2010,,,1.85,,,,,,,,,,,,
,,2010 - 2011,,,1.98,,,,,,,,,,,,
,,2011 - 2012,,,2.38,,,,,,,,,,,,
,,2012 - 2013,,,3.11,,,,,,,,,,,,
,,2013 - 2014,,,1.88,,,,,,,,,,,,
,,2014 - 2015,,,1.9,,,,,,,,,,,,
,,2015 - 2016,,,1.51,,,,,,,,,,,,
,,2016 - 2017,,,1.73,,,,,,,,,,,,
,,2017 - 2018,,,2.45,,,,,,,,,,,,
,,2018 - 2019,,,2.42,,,,,,,,,,,,
,,2019 - 2020,,,2.14,,,,,,,,,,,,
,,2020 - 2021,,,2.38,,,,,,,,,,,,
,,2021 - 2022,,,2.35,,,,,,,,,,,,
,,2022 - 2023,,,2.7,,,,,,,,,,,,
,Gandhinagar,2000 - 2001,,,3.24,,,,,,,,,,,,
,,2001 - 2002,,,3.39,,,,,,,,,,,,
,,2002 - 2003,,,2.65,,,,,,,,,,,,
,,2003 - 2004,,,3.03,,,,,,,,,,,,
,,2004 - 2005,,,2.98,,,,,,,,,,,,
,,2005 - 2006,,,3.08,,,,,,,,,,,,
,,2006 - 2007,,,2.94,,,,,,,,,,,,
,,2007 - 2008,,,3.24,,,,,,,,,,,,
,,2008 - 2009,,,2.54,,,,,,,,,,,,
,,2009 - 2010,,,2.99,,,,,,,,,,,,
,,2010 - 2011,,,3.26,,,,,,,,,,,,
,,2011 - 2012,,,3.31,,,,,,,,,,,,
,,2012 - 2013,,,3.25,,,,,,,,,,,,
,,2013 - 2014,,,3.45,,,,,,,,,,,,
,,2014 - 2015,,,3.5,,,,,,,,,,,,
,,2015 - 2016,,,3.29,,,,,,,,,,,,
,,2016 - 2017,,,3.33,,,,,,,,,,,,
,,2017 - 2018,,,3.49,,,,,,,,,,,,
,,2018 - 2019,,,3.49,,,,,,,,,,,,
,,2019 - 2020,,,3.53,,,,,,,,,,,,
,,2020 - 2021,,,3.5,,,,,,,,,,,,
,,2021 - 2022,,,3.64,,,,,,,,,,,,
,,2022 - 2023,,,3.67,,,,,,,,,,,,
,Gir somnath,2014 - 2015,,,1.65,,,,,,,,,,,,
,,2015 - 2016,,,2.4,,,,,,,,,,,,
,,2016 - 2017,,,2.58,,,,,,,,,,,,
,,2017 - 2018,,,3.03,,,,,,,,,,,,
,,2018 - 2019,,,3.57,,,,,,,,,,,,
,,2019 - 2020,,,3.88,,,,,,,,,,,,
,,2020 - 2021,,,3.53,,,,,,,,,,,,
,,2021 - 2022,,,4.39,,,,,,,,,,,,
,,2022 - 2023,,,4.04,,,,,,,,,,,,
,Jamnagar,2000 - 2001,,,2.31,,,,,,,,,,,,
,,2001 - 2002,,,2.84,,,,,,,,,,,,
,,2002 - 2003,,,2.4,,,,,,,,,,,,
,,2003 - 2004,,,3.55,,,,,,,,,,,,
,,2004 - 2005,,,3.2,,,,,,,,,,,,
,,2005 - 2006,,,2.73,,,,,,,,,,,,
,,2006 - 2007,,,2.94,,,,,,,,,,,,
,,2007 - 2008,,,3.73,,,,,,,,,,,,
,,2008 - 2009,,,3.29,,,,,,,,,,,,
,,2009 - 2010,,,3.29,,,,,,,,,,,,
,,2010 - 2011,,,3.64,,,,,,,,,,,,
,,2011 - 2012,,,3.59,,,,,,,,,,,,
,,2012 - 2013,,,2.44,,,,,,,,,,,,
,,2013 - 2014,,,4.1,,,,,,,,,,,,
,,2014 - 2015,,,2.98,,,,,,,,,,,,
,,2015 - 2016,802.0,,2.83,,,,,,,,,,,,
,,2016 - 2017,,,2.83,,,,,,,,,,,,
,,2017 - 2018,,,3.68,,,,,,,,,,,,
,,2018 - 2019,,,3.49,,,,,,,,,,,,
,,2019 - 2020,,,3.97,,,,,,,,,,,,
,,2020 - 2021,,,3.78,,,,,,,,,,,,
,,2021 - 2022,,,3.88,,,,,,,,,,,,
,,2022 - 2023,,,4.25,,,,,,,,,,,,
,Junagadh,2000 - 2001,,,2.36,,,,,,,,,,,,
,,2001 - 2002,,,3.39,,,,,,,,,,,,
,,2002 - 2003,,,3.07,,,,,,,,,,,,
,,2003 - 2004,,,3.7,,,,,,,,,,,,
,,2004 - 2005,,,3.58,,,,,,,,,,,,
,,2005 - 2006,,,3.8,,,,,,,,,,,,
,,2006 - 2007,,,3.66,,,,,,,,,,,,
,,2007 - 2008,,,4.23,,,,,,,,,,,,
,,2008 - 2009,,,2.93,,,,,,,,,,,,
,,2009 - 2010,,,3.42,,,,,,,,,,,,
,,2010 - 2011,,,4.31,,,,,,,,,,,,
,,2011 - 2012,,,3.84,,,,,,,,,,,,
,,2012 - 2013,,,3.09,,,,,,,,,,,,
,,2013 - 2014,,,4.49,,,,,,,,,,,,
,,2014 - 2015,,,4.16,,,,,,,,,,,,
,,2015 - 2016,,,3.71,,,,,,,,,,,,
,,2016 - 2017,,,3.55,,,,,,,,,,,,
,,2017 - 2018,,,3.82,,,,,,,,,,,,
,,2018 - 2019,,,4.56,,,,,,,,,,,,
,,2019 - 2020,,,4.77,,,,,,,,,,,,
,,2020 - 2021,,,4.39,,,,,,,,,,,,
,,2021 - 2022,,,4.02,,,,,,,,,,,,
,,2022 - 2023,,,4.0,,,,,,,,,,,,
,Kachchh,2000 - 2001,,,2.45,,,,,,,,,,,,
,,2001 - 2002,,,2.64,,,,,,,,,,,,
,,2002 - 2003,,,2.44,,,,,,,,,,,,
,,2003 - 2004,,,2.77,,,,,,,,,,,,
,,2004 - 2005,,,2.52,,,,,,,,,,,,
,,2005 - 2006,,,2.57,,,,,,,,,,,,
,,2006 - 2007,,,2.6,,,,,,,,,,,,
,,2007 - 2008,,,2.79,,,,,,,,,,,,
,,2008 - 2009,,,2.75,,,,,,,,,,,,
,,2009 - 2010,,,2.84,,,,,,,,,,,,
,,2010 - 2011,,,2.79,,,,,,,,,,,,
,,2011 - 2012,,,2.93,,,,,,,,,,,,
,,2012 - 2013,,,3.06,,,,,,,,,,,,
,,2013 - 2014,,,3.29,,,,,,,,,,,,
,,2014 - 2015,,,3.01,,,,,,,,,,,,
,,2015 - 2016,,,2.86,,,,,,,,,,,,
,,2016 - 2017,,,2.82,,,,,,,,,,,,
,,2017 - 2018,,,2.9,,,,,,,,,,,,
,,2018 - 2019,,,2.65,,,,,,,,,,,,
,,2019 - 2020,,,2.92,,,,,,,,,,,,
,,2020 - 2021,,,2.91,,,,,,,,,,,,
,,2021 - 2022,,,2.97,,,,,,,,,,,,
,,2022 - 2023,,,2.71,,,,,,,,,,,,
,Kheda,2000 - 2001,,,2.37,,,,,,,,,,,,
,,2001 - 2002,,,2.41,,,,,,,,,,,,
,,2002 - 2003,,,1.94,,,,,,,,,,,,
,,2003 - 2004,,,2.67,,,,,,,,,,,,
,,2004 - 2005,,,2.61,,,,,,,,,,,,
,,2005 - 2006,,,2.5,,,,,,,,,,,,
,,2006 - 2007,,,2.43,,,,,,,,,,,,
,,2007 - 2008,,,3.08,,,,,,,,,,,,
,,2008 - 2009,,,2.0,,,,,,,,,,,,
,,2009 - 2010,,,2.45,,,,,,,,,,,,
,,2010 - 2011,,,2.7,,,,,,,,,,,,
,,2011 - 2012,,,2.9,,,,,,,,,,,,
,,2012 - 2013,,,2.6,,,,,,,,,,,,
,,2013 - 2014,,,2.71,,,,,,,,,,,,
,,2014 - 2015,,,2.57,,,,,,,,,,,,
,,2015 - 2016,,,2.64,,,,,,,,,,,,
,,2016 - 2017,,,2.75,,,,,,,,,,,,
,,2017 - 2018,,,2.84,,,,,,,,,,,,
,,2018 - 2019,,,3.24,,,,,,,,,,,,
,,2019 - 2020,,,3.35,,,,,,,,,,,,
,,2020 - 2021,,,3.03,,,,,,,,,,,,
,,2021 - 2022,,,2.97,,,,,,,,,,,,
,,2022 - 2023,,,3.05,,,,,,,,,,,,
,Mahesana,2000 - 2001,,,2.54,,,,,,,,,,,,
,,2001 - 2002,,,2.83,,,,,,,,,,,,
,,2002 - 2003,,,2.37,,,,,,,,,,,,
,,2003 - 2004,,,2.72,,,,,,,,,,,,
,,2004 - 2005,,,2.66,,,,,,,,,,,,
,,2005 - 2006,,,2.93,,,,,,,,,,,,
,,2006 - 2007,,,2.85,,,,,,,,,,,,
,,2007 - 2008,,,3.15,,,,,,,,,,,,
,,2008 - 2009,,,2.31,,,,,,,,,,,,
,,2009 - 2010,,,2.91,,,,,,,,,,,,
,,2010 - 2011,,,3.05,,,,,,,,,,,,
,,2011 - 2012,,,3.15,,,,,,,,,,,,
,,2012 - 2013,,,2.97,,,,,,,,,,,,
,,2013 - 2014,,,3.11,,,,,,,,,,,,
,,2014 - 2015,,,2.95,,,,,,,,,,,,
,,2015 - 2016,,,2.96,,,,,,,,,,,,
,,2016 - 2017,,,3.08,,,,,,,,,,,,
,,2017 - 2018,,,3.33,,,,,,,,,,,,
,,2018 - 2019,,,3.38,,,,,,,,,,,,
,,2019 - 2020,,,3.47,,,,,,,,,,,,
,,2020 - 2021,,,3.39,,,,,,,,,,,,
,,2021 - 2022,,,3.29,,,,,,,,,,,,
,,2022 - 2023,,,3.17,,,,,,,,,,,,
,Mahisagar,2014 - 2015,,,2.68,,,,,,,,,,,,
,,2015 - 2016,,,2.04,,,,,,,,,,,,
,,2016 - 2017,,,2.29,,,,,,,,,,,,
,,2017 - 2018,,,2.29,,,,,,,,,,,,
,,2018 - 2019,,,2.73,,,,,,,,,,,,
,,2019 - 2020,,,2.76,,,,,,,,,,,,
,,2020 - 2021,,,2.52,,,,,,,,,,,,
,,2021 - 2022,,,2.82,,,,,,,,,,,,
,,2022 - 2023,,,3.02,,,,,,,,,,,,
,Morbi,2014 - 2015,,,3.92,,,,,,,,,,,,
,,2015 - 2016,,,3.88,,,,,,,,,,,,
,,2016 - 2017,,,3.78,,,,,,,,,,,,
,,2017 - 2018,,,3.79,,,,,,,,,,,,
,,2018 - 2019,,,4.1,,,,,,,,,,,,
,,2019 - 2020,,,4.18,,,,,,,,,,,,
,,2020 - 2021,,,4.25,,,,,,,,,,,,
,,2021 - 2022,,,3.58,,,,,,,,,,,,
,,2022 - 2023,,,3.51,,,,,,,,,,,,
,Narmada,2003 - 2004,,,2.88,,,,,,,,,,,,
,,2004 - 2005,,,2.72,,,,,,,,,,,,
,,2005 - 2006,,,2.16,,,,,,,,,,,,
,,2006 - 2007,,,2.89,,,,,,,,,,,,
,,2007 - 2008,,,3.19,,,,,,,,,,,,
,,2008 - 2009,,,2.53,,,,,,,,,,,,
,,2009 - 2010,,,2.73,,,,,,,,,,,,
,,2010 - 2011,,,3.3,,,,,,,,,,,,
,,2011 - 2012,,,3.19,,,,,,,,,,,,
,,2012 - 2013,,,3.0,,,,,,,,,,,,
,,2013 - 2014,,,3.24,,,,,,,,,,,,
,,2014 - 2015,,,1.8,,,,,,,,,,,,
,,2015 - 2016,,,1.75,,,,,,,,,,,,
,,2016 - 2017,,,1.88,,,,,,,,,,,,
,,2017 - 2018,,,2.82,,,,,,,,,,,,
,,2018 - 2019,,,3.08,,,,,,,,,,,,
,,2019 - 2020,,,3.34,,,,,,,,,,,,
,,2020 - 2021,,,2.8,,,,,,,,,,,,
,,2021 - 2022,,,2.81,,,,,,,,,,,,
,,2022 - 2023,,,2.76,,,,,,,,,,,,
,Navsari,2003 - 2004,300.0,900.0,3.0,,,,,,,,,,,,
,,2004 - 2005,300.0,900.0,3.0,,,,,,,,,,,,
,,2005 - 2006,500.0,,2.8,,,,,,,,,,,,
,,2006 - 2007,300.0,900.0,3.0,,,,,,,,,,,,
,,2007 - 2008,300.0,900.0,3.0,,,,,,,,,,,,
,,2008 - 2009,300.0,600.0,2.0,,,,,,,,,,,,
,,2009 - 2010,700.0,,2.57,,,,,,,,,,,,
,,2010 - 2011,600.0,,3.17,,,,,,,,,,,,
,,2011 - 2012,300.0,,3.33,,,,,,,,,,,,
,,2012 - 2013,500.0,,2.8,,,,,,,,,,,,
,,2013 - 2014,304.0,,3.29,,,,,,,,,,,,
,,2014 - 2015,313.0,872.0,2.79,,,,,,,,,,,,
,,2015 - 2016,173.0,430.0,2.49,,,,,,,,,,,,
,,2016 - 2017,155.0,423.0,2.73,,,,,,,,,,,,
,,2017 - 2018,189.0,582.0,3.08,,,,,,,,,,,,
,,2018 - 2019,173.0,533.0,3.08,,,,,,,,,,,,
