state,district,year,jowar_kharif_area_hectare,jowar_kharif_production_tonne,jowar_kharif_yield_tonne_per_hectare,jowar_rabi_area_hectare,jowar_rabi_production_tonne,jowar_rabi_yield_tonne_per_hectare,jowar_whole_year_area_hectare,jowar_whole_year_production_tonne,jowar_whole_year_yield_tonne_per_hectare,jowar_summer_area_hectare,jowar_summer_production_tonne,jowar_summer_yield_tonne_per_hectare,jowar_autumn_area_hectare,jowar_autumn_production_tonne,jowar_autumn_yield_tonne_per_hectare
,,2004 - 2005,,,1.52,,,0.66,,,,75.0,60.0,0.8,,,
,,2005 - 2006,,,1.33,,,0.68,,,,195.0,213.0,1.09,,,
,,2006 - 2007,,,1.34,,,0.74,,,,261.0,315.0,1.21,,,
,,2007 - 2008,,,1.98,,,0.82,,,,388.0,761.0,1.96,,,
,,2008 - 2009,,,1.59,,,0.93,,,,320.0,624.0,1.95,,,
,,2009 - 2010,,,1.25,,,1.08,,,,181.0,172.0,0.95,,,
,,2010 - 2011,,,1.98,,,0.98,,,,122.0,255.0,2.09,,,
,,2011 - 2012,,,1.59,,,0.84,,,,75.0,137.0,1.83,,,
,,2012 - 2013,,,1.12,,,0.78,,,,11.0,18.0,1.64,,,
,,2013 - 2014,,,1.19,,,0.92,,,,157.0,255.0,1.62,,,
,,2014 - 2015,,,1.37,,,1.1,,,,64.0,135.0,2.11,,,
,,2015 - 2016,,,0.76,,,0.57,,,,59.0,117.0,1.98,,,
,,2016 - 2017,,,1.46,,,0.75,,,,48.0,66.0,1.38,,,
,,2017 - 2018,,,2.34,,,1.16,,,,34.0,71.0,2.09,,,
,,2018 - 2019,,,2.1,,,1.18,,,,46.0,83.0,1.8,,,
,,2019 - 2020,,,1.63,,,1.03,,,,,,1.74,,,
,,2020 - 2021,,,2.28,,,1.21,,,,,,1.97,,,
,,2021 - 2022,,,1.95,,,1.25,,,,,,,,,
,,2022 - 2023,,,1.83,,,1.22,,,,,,,,,
,Bellary,2000 - 2001,,,1.87,,,0.85,,,,714.0,,2.03,,,
,,2001 - 2002,,,1.47,,,1.2,,,,844.0,,1.96,,,
,,2002 - 2003,,,1.0,,,0.5,,,,,,1.91,,,
,,2003 - 2004,,,1.41,,,1.07,,,,876.0,,2.85,,,
,,2004 - 2005,,,1.76,,,0.65,,,,,,0.79,,,
,,2005 - 2006,,,2.13,,,1.05,,,,886.0,,2.37,,,
,,2006 - 2007,,,1.14,,,1.0,,,,947.0,,2.23,,,
,,2007 - 2008,,,1.63,,,1.66,,,,967.0,,2.38,,,
,,2008 - 2009,,,1.1,,,1.27,,,,,,2.28,,,
,,2009 - 2010,,,0.93,,,1.11,,,,727.0,,3.04,,,
,,2010 - 2011,,,1.42,,,1.4,,,,386.0,,4.19,,,
,,2011 - 2012,,,1.18,,,1.96,,,,,,1.83,,,
,,2012 - 2013,,,1.28,,,1.21,,,,,,1.59,,,
,,2013 - 2014,,,1.77,,,1.21,,,,,,1.62,,,
,,2014 - 2015,,,1.89,,,1.47,,,,897.0,,1.79,,,
,,2015 - 2016,,,1.64,,,1.71,,,,,,2.62,,,
,,2016 - 2017,,,2.04,,,0.59,,,,430.0,623.0,1.45,,,
,,2017 - 2018,,,2.52,,,2.08,,,,182.0,378.0,2.08,,,
,,2018 - 2019,,,2.17,,,2.02,,,,447.0,915.0,2.05,,,
,,2019 - 2020,,,2.61,,,2.24,,,,186.0,328.0,1.76,,,
,,2020 - 2021,,,3.2,,,2.38,,,,,,2.06,,,
,,2021 - 2022,,,2.94,,,2.54,,,,,,,,,
,,2022 - 2023,,,3.08,,,2.7,,,,,,,,,
,Bengaluru urban,2003 - 2004,253.0,268.0,1.06,,,,,,,,,,,,
,,2012 - 2013,750.0,918.0,1.22,1.0,1.0,1.0,,,,14.0,23.0,1.64,,,
,,2013 - 2014,852.0,,1.42,21.0,23.0,1.1,,,,12.0,20.0,1.67,,,
,,2014 - 2015,538.0,744.0,1.38,42.0,46.0,1.1,,,,3.0,6.0,2.0,,,
,,2018 - 2019,365.0,501.0,1.37,,,,,,,,,,,,
,,2019 - 2020,,,1.32,48.0,53.0,1.1,,,,,,,,,
,,2020 - 2021,,,2.01,11.0,12.0,1.09,,,,,,,,,
,,2021 - 2022,923.0,,1.62,14.0,16.0,1.14,,,,,,,,,
,,2022 - 2023,712.0,,1.61,35.0,43.0,1.23,,,,,,,,,
,Bidar,2000 - 2001,,,1.47,,,0.42,,,,13.0,24.0,1.85,,,
,,2001 - 2002,,,1.41,,,0.49,,,,,,,,,
,,2002 - 2003,,,1.57,,,0.43,,,,,,,,,
,,2003 - 2004,,,1.43,,,0.29,,,,,,,,,
,,2004 - 2005,,,1.24,,,0.38,,,,,,,,,
,,2005 - 2006,,,1.16,,,0.34,,,,,,,,,
,,2006 - 2007,,,1.43,,,0.49,,,,,,,,,
,,2007 - 2008,,,1.91,,,0.48,,,,,,,,,
,,2008 - 2009,,,1.56,,,0.55,,,,,,,,,
,,2009 - 2010,,,0.82,,,0.52,,,,,,,,,
,,2010 - 2011,,,1.38,,,0.37,,,,,,,,,
,,2011 - 2012,,,1.68,,,0.71,,,,,,,,,
,,2012 - 2013,,,1.87,,,0.82,,,,44.0,72.0,1.64,,,
,,2013 - 2014,,,1.4,,,0.81,,,,,,,,,
,,2014 - 2015,,,1.21,,,0.69,,,,,,,,,
,,2015 - 2016,,,1.16,,,0.32,,,,,,,,,
,,2016 - 2017,,,0.65,,,0.94,,,,,,,,,
,,2017 - 2018,,,1.98,,,0.98,,,,,,,,,
,,2018 - 2019,,,1.06,,,0.65,,,,,,,,,
,,2019 - 2020,,,1.3,,,0.83,,,,,,,,,
,,2020 - 2021,,,1.33,,,0.95,,,,,,,,,
,,2021 - 2022,,,1.0,,,0.92,,,,,,,,,
,,2022 - 2023,161.0,145.0,0.9,,,1.06,,,,,,,,,
,Bijapur,2000 - 2001,,,2.45,,,0.66,,,,22.0,45.0,2.05,,,
,,2001 - 2002,265.0,339.0,1.28,,,0.74,,,,104.0,204.0,1.96,,,
,,2002 - 2003,238.0,457.0,1.92,,,0.67,,,,2.0,3.0,1.5,,,
,,2003 - 2004,103.0,183.0,1.78,,,0.46,,,,16.0,43.0,2.69,,,
,,2004 - 2005,246.0,495.0,2.01,,,0.6,,,,,,,,,
,,2005 - 2006,146.0,264.0,1.81,,,0.85,,,,,,,,,
,,2006 - 2007,58.0,134.0,2.31,,,0.87,,,,,,,,,
,,2007 - 2008,487.0,995.0,2.04,,,1.14,,,,,,,,,
,,2008 - 2009,343.0,715.0,2.08,,,1.03,,,,,,,,,
,,2009 - 2010,43.0,45.0,1.05,,,0.81,,,,,,,,,
,,2010 - 2011,,,,,,1.0,,,,,,,,,
,,2011 - 2012,,,,,,0.6,,,,,,,,,
,,2012 - 2013,,,,,,1.1,,,,,,,,,
,,2013 - 2014,,,,,,1.2,,,,,,,,,
,,2014 - 2015,,,,,,0.93,,,,,,,,,
,,2015 - 2016,,,,,,0.55,,,,,,,,,
,,2016 - 2017,,,,,,0.96,,,,,,,,,
,,2017 - 2018,,,,,,0.96,,,,,,,,,
,,2018 - 2019,,,,,,0.65,,,,,,,,,
,,2019 - 2020,,,1.32,,,0.69,,,,,,,,,
,,2020 - 2021,19.0,38.0,2.0,,,0.73,,,,,,,,,
,,2021 - 2022,,,,,,0.76,,,,,,,,,
,,2022 - 2023,22.0,35.0,1.59,,,0.95,,,,,,,,,
,Chamarajanagar,2000 - 2001,,,0.68,,,,,,,100.0,203.0,2.03,,,
,,2001 - 2002,,,0.49,,,,,,,266.0,522.0,1.96,,,
,,2002 - 2003,,,0.21,121.0,85.0,0.7,,,,372.0,615.0,1.65,,,
,,2003 - 2004,,,0.13,194.0,121.0,0.62,,,,280.0,745.0,2.66,,,
,,2004 - 2005,,,1.21,,,,,,,287.0,228.0,0.79,,,
,,2005 - 2006,,,0.53,100.0,61.0,0.61,,,,230.0,218.0,0.95,,,
,,2006 - 2007,,,0.67,,,,,,,83.0,154.0,1.86,,,
,,2007 - 2008,,,0.75,25.0,51.0,2.04,,,,137.0,269.0,1.96,,,
,,2008 - 2009,,,0.54,50.0,62.0,1.24,,,,173.0,394.0,2.28,,,
,,2009 - 2010,,,0.51,41.0,65.0,1.59,,,,160.0,236.0,1.48,,,
,,2010 - 2011,,,0.82,,,,,,,,,,,,
,,2011 - 2012,,,0.61,,,,,,,,,,,,
,,2012 - 2013,,,0.41,,,,,,,,,,,,
,,2013 - 2014,,,0.81,,,,,,,,,,,,
,,2014 - 2015,,,0.43,,,,,,,,,,,,
,,2015 - 2016,,,0.63,,,,,,,,,,,,
,,2016 - 2017,,,0.72,,,,,,,,,,,,
,,2017 - 2018,,,0.8,40.0,45.0,1.13,,,,,,,,,
,,2018 - 2019,,,1.01,,,,,,,,,,,,
,,2019 - 2020,,,0.97,,,1.1,,,,2.0,3.0,1.5,,,
,,2020 - 2021,,,1.35,54.0,58.0,1.07,,,,28.0,49.0,1.75,,,
,,2021 - 2022,,,1.15,142.0,161.0,1.13,,,,,,,,,
,,2022 - 2023,,,1.0,287.0,346.0,1.21,,,,,,,,,
,Chikballapur,2010 - 2011,,,1.62,,,,,,,,,,,,
,,2012 - 2013,,,1.22,,,,,,,,,,,,
,,2013 - 2014,,,1.42,,,,,,,,,,,,
,,2014 - 2015,833.0,,1.38,,,,,,,,,,,,
,,2015 - 2016,,,1.14,,,,,,,,,,,,
,,2016 - 2017,,,1.16,,,,,,,,,,,,
,,2018 - 2019,,,1.37,,,,,,,,,,,,
,,2019 - 2020,,,1.32,518.0,569.0,1.1,,,,67.0,112.0,1.67,,,
,,2020 - 2021,,,2.01,253.0,274.0,1.08,,,,65.0,114.0,1.75,,,
,,2021 - 2022,,,1.62,762.0,862.0,1.13,,,,,,,,,
,,2022 - 2023,868.0,,1.6,873.0,,1.21,,,,,,,,,
,Chikmagalur,2000 - 2001,,,1.08,,,0.92,,,,,,,,,
,,2001 - 2002,,,0.69,,,0.87,,,,,,,,,
,,2002 - 2003,,,0.67,,,0.65,,,,,,,,,
,,2003 - 2004,,,0.41,,,0.4,,,,,,,,,
,,2004 - 2005,,,0.98,,,0.63,,,,,,,,,
,,2005 - 2006,,,1.16,,,0.79,,,,,,,,,
,,2006 - 2007,,,0.67,,,0.72,,,,,,,,,
,,2007 - 2008,,,1.24,,,1.19,,,,,,,,,
,,2008 - 2009,,,0.84,,,0.75,,,,,,,,,
,,2009 - 2010,,,0.92,,,0.71,,,,,,,,,
,,2010 - 2011,,,1.25,,,0.91,,,,,,,,,
,,2011 - 2012,,635.0,0.63,,,0.88,,,,,,,,,
,,2012 - 2013,,,0.56,,,0.56,,,,,,,,,
,,2013 - 2014,,,0.81,,,0.73,,,,,,,,,
,,2014 - 2015,,,0.87,,,0.85,,,,,,,,,
,,2015 - 2016,,932.0,0.7,,,0.96,,,,,,,,,
,,2016 - 2017,745.0,148.0,0.2,,,0.58,,,,,,,,,
,,2017 - 2018,477.0,397.0,0.83,,,0.88,,,,,,,,,
,,2018 - 2019,,,1.02,,,0.86,,,,,,,,,
,,2019 - 2020,214.0,175.0,0.82,,,0.82,,,,,,,,,
,,2020 - 2021,49.0,56.0,1.14,,,1.09,,,,,,,,,
,,2021 - 2022,,825.0,0.49,,,1.08,,,,,,,,,
,,2022 - 2023,,705.0,0.52,,,1.13,,,,,,,,,
,Chitradurga,2000 - 2001,,,1.72,,,0.65,,,,941.0,,2.03,,,
,,2001 - 2002,,,1.44,,,0.4,,,,,,1.96,,,
,,2002 - 2003,,,1.12,,,0.45,,,,953.0,,1.65,,,
,,2003 - 2004,,,1.41,,,0.24,,,,947.0,,2.66,,,
,,2004 - 2005,,,1.35,,,0.14,,,,598.0,475.0,0.79,,,
,,2005 - 2006,,,1.65,,,0.6,,,,906.0,,1.66,,,
,,2006 - 2007,,,0.87,,,0.33,,,,592.0,844.0,1.43,,,
,,2007 - 2008,,,1.26,,,0.83,,,,652.0,,1.96,,,
,,2008 - 2009,,,0.94,,,0.65,,,,586.0,,2.27,,,
,,2009 - 2010,,,1.11,,,0.64,,,,563.0,549.0,0.98,,,
,,2010 - 2011,,,1.51,,,0.88,,,,482.0,,2.71,,,
,,2011 - 2012,,,1.17,,,0.55,,,,933.0,,1.92,,,
,,2012 - 2013,,,1.28,,,0.7,,,,153.0,146.0,0.95,,,
,,2013 - 2014,,,1.27,,,0.51,,,,241.0,334.0,1.39,,,
,,2014 - 2015,,,1.39,,,0.74,,,,447.0,945.0,2.11,,,
,,2015 - 2016,,,1.25,,,0.7,,,,331.0,591.0,1.79,,,
,,2016 - 2017,,,0.75,,122.0,0.1,,,,125.0,176.0,1.41,,,
,,2017 - 2018,,,1.25,,,0.6,,,,226.0,469.0,2.08,,,
,,2018 - 2019,,,0.88,,818.0,0.42,,,,199.0,349.0,1.75,,,
,,2019 - 2020,,,1.02,,,0.61,,,,181.0,347.0,1.92,,,
,,2020 - 2021,,,1.94,,,0.54,,,,458.0,923.0,2.02,,,
,,2021 - 2022,,,1.83,,,0.58,,,,,,,,,
,,2022 - 2023,,,1.75,,,0.73,,,,,,,,,
,Dakshin kannad,2019 - 2020,,,,1.0,1.0,1.0,,,,,,,,,
,Davangere,2000 - 2001,,,1.97,,,0.59,,,,976.0,,2.03,,,
,,2001 - 2002,,,1.6,,,0.51,,,,,,1.96,,,
,,2002 - 2003,,,1.61,,,0.53,,,,,,1.52,,,
,,2003 - 2004,,,0.96,,,0.82,,,,,,2.66,,,
,,2004 - 2005,,,1.76,,,0.61,,,,420.0,334.0,0.8,,,
,,2005 - 2006,,,2.27,,,0.8,,,,748.0,,1.52,,,
,,2006 - 2007,,,1.53,,,0.67,,,,980.0,810.0,0.83,,,
,,2007 - 2008,,,2.48,,,1.22,,,,,,2.17,,,
,,2008 - 2009,,,1.89,,,1.36,,,,,,2.94,,,
,,2009 - 2010,,,2.09,,,1.18,,,,720.0,,2.12,,,
,,2010 - 2011,,,2.42,,,1.13,,,,,,2.34,,,
,,2011 - 2012,,,1.98,,,1.62,,,,,,1.96,,,
,,2012 - 2013,,,1.73,,,1.09,,,,,,2.16,,,
,,2013 - 2014,,,2.28,,,1.13,,,,511.0,,2.11,,,
,,2014 - 2015,,,2.49,,,1.35,,,,592.0,,2.75,,,
,,2015 - 2016,,,2.03,,,1.23,,,,998.0,,1.53,,,
,,2016 - 2017,,,1.79,,,1.39,,,,733.0,,2.21,,,
,,2017 - 2018,,,1.88,,,1.15,,,,488.0,,2.95,,,
,,2018 - 2019,,,2.06,,,1.22,,,,10.0,22.0,2.2,,,
,,2019 - 2020,715.0,,2.23,,,1.35,,,,177.0,436.0,2.46,,,
,,2020 - 2021,798.0,,3.12,,,1.41,,,,150.0,402.0,2.68,,,
,,2021 - 2022,303.0,715.0,2.36,,,1.26,,,,,,,,,
,,2022 - 2023,268.0,481.0,1.79,,,1.67,,,,,,,,,
,Dharwad,2000 - 2001,,,1.11,,,0.67,,,,,,,,,
,,2001 - 2002,,,0.57,,,0.33,,,,,,,,,
,,2002 - 2003,,,0.8,,,0.33,,,,,,,,,
,,2003 - 2004,,,0.39,,,0.04,,,,,,,,,
,,2004 - 2005,,,0.7,,,0.74,,,,,,,,,
,,2005 - 2006,,,0.83,,,0.67,,,,,,,,,
,,2006 - 2007,,,0.67,,,0.65,,,,,,,,,
,,2007 - 2008,,,1.08,,,0.75,,,,,,,,,
,,2008 - 2009,,,0.82,,,0.79,,,,,,,,,
,,2009 - 2010,,,0.79,,,0.63,,,,,,,,,
,,2010 - 2011,,,0.93,,,0.64,,,,,,,,,
,,2011 - 2012,,,0.66,,,0.57,,,,15.0,27.0,1.8,,,
,,2012 - 2013,,,0.59,,,0.43,,,,,,,,,
,,2013 - 2014,,,0.84,,,0.75,,,,20.0,33.0,1.65,,,
,,2014 - 2015,,,0.8,,,1.01,,,,18.0,38.0,2.11,,,
,,2015 - 2016,,323.0,0.29,,,0.37,,,,8.0,16.0,2.0,,,
,,2016 - 2017,,268.0,0.2,,,0.27,,,,7.0,10.0,1.43,,,
,,2017 - 2018,,,0.64,,,0.73,,,,10.0,21.0,2.1,,,
,,2018 - 2019,,353.0,0.25,,,0.6,,,,10.0,18.0,1.8,,,
,,2019 - 2020,973.0,557.0,0.57,,,0.87,,,,197.0,342.0,1.74,,,
,,2020 - 2021,597.0,382.0,0.64,,,0.8,,,,40.0,79.0,1.98,,,
,,2021 - 2022,167.0,53.0,0.32,,,0.98,,,,,,,,,
,,2022 - 2023,108.0,173.0,1.6,,,1.06,,,,,,,,,
,Gadag,2000 - 2001,,,1.24,,,0.48,,,,25.0,51.0,2.04,,,
,,2001 - 2002,,,1.16,,,0.43,,,,5.0,10.0,2.0,,,
,,2002 - 2003,,,0.63,,,0.28,,,,1.0,2.0,2.0,,,
,,2003 - 2004,,,0.63,,,0.08,,,,217.0,577.0,2.66,,,
,,2004 - 2005,,,1.08,,,0.59,,,,9.0,7.0,0.78,,,
,,2005 - 2006,,,1.64,,,0.61,,,,3.0,5.0,1.67,,,
,,2006 - 2007,,,0.66,,,0.34,,,,43.0,47.0,1.09,,,
,,2007 - 2008,,,1.55,,,0.93,,,,15.0,29.0,1.93,,,
,,2008 - 2009,,,1.04,,,0.96,,,,19.0,43.0,2.26,,,
,,2009 - 2010,,,0.72,,,0.67,,,,12.0,18.0,1.5,,,
,,2010 - 2011,,,1.38,,,0.69,,,,,,,,,
,,2011 - 2012,,,1.52,,,0.48,,,,190.0,348.0,1.83,,,
,,2012 - 2013,,,1.08,,,0.62,,,,12.0,20.0,1.67,,,
,,2013 - 2014,,,1.32,,,0.76,,,,3.0,5.0,1.67,,,
,,2014 - 2015,,,1.57,,,0.95,,,,,,,,,
,,2015 - 2016,,,0.9,,,0.48,,,,9.0,18.0,2.0,,,
,,2016 - 2017,,,1.18,,,0.26,,,,6.0,8.0,1.33,,,
,,2017 - 2018,,,1.81,,,0.67,,,,,,,,,
,,2018 - 2019,,,0.81,,,0.37,,,,,,,,,
,,2019 - 2020,,,1.28,,,0.81,,,,,,,,,
,,2020 - 2021,,,1.37,,,0.73,,,,,,,,,
,,2021 - 2022,483.0,756.0,1.57,,,0.87,,,,,,,,,
,,2022 - 2023,128.0,224.0,1.75,,,0.85,,,,,,,,,
,Gulbarga,2000 - 2001,,,0.98,,,0.71,,,,416.0,845.0,2.03,,,
,,2001 - 2002,,,0.92,,,0.76,,,,105.0,206.0,1.96,,,
,,2002 - 2003,,,0.95,,,0.78,,,,30.0,33.0,1.1,,,
,,2003 - 2004,,,1.02,,,0.58,,,,21.0,56.0,2.67,,,
,,2004 - 2005,,,0.93,,,0.72,,,,123.0,98.0,0.8,,,
,,2005 - 2006,,,1.07,,,0.91,,,,95.0,158.0,1.66,,,
,,2006 - 2007,,,0.91,,,0.79,,,,60.0,86.0,1.43,,,
,,2007 - 2008,,,1.16,,,1.0,,,,15.0,29.0,1.93,,,
,,2008 - 2009,,,1.53,,,1.01,,,,44.0,100.0,2.27,,,
,,2009 - 2010,,,0.77,,,0.99,,,,345.0,510.0,1.48,,,
,,2010 - 2011,,,0.84,,,0.83,,,,,,,,,
,,2011 - 2012,,,1.28,,,0.93,,,,,,,,,
,,2012 - 2013,,,1.36,,,1.1,,,,,,,,,
,,2013 - 2014,,,1.23,,,1.27,,,,,,,,,
,,2014 - 2015,,,1.1,,,1.14,,,,,,,,,
,,2015 - 2016,,,0.9,,,0.6,,,,,,,,,
,,2016 - 2017,,,1.25,,,1.52,,,,,,,,,
,,2017 - 2018,611.0,,2.83,,,1.31,,,,,,,,,
,,2018 - 2019,,,,,,0.93,,,,,,,,,
,,2019 - 2020,,,1.19,,,1.35,,,,43.0,72.0,1.67,,,
,,2020 - 2021,757.0,,1.4,,,1.26,,,,820.0,,1.76,,,
,,2021 - 2022,445.0,879.0,1.98,,,1.19,,,,,,,,,
,,2022 - 2023,144.0,231.0,1.6,,,1.3,,,,,,,,,
,Hassan,2000 - 2001,,,1.58,380.0,353.0,0.93,,,,,,,,,
,,2001 - 2002,,,1.62,,663.0,0.62,,,,,,,,,
,,2002 - 2003,,,0.71,,,0.65,,,,,,,,,
,,2003 - 2004,,,0.6,,,0.39,,,,,,,,,
,,2004 - 2005,,,1.13,,900.0,0.59,,,,,,,,,
,,2005 - 2006,,,1.47,772.0,423.0,0.55,,,,,,,,,
,,2006 - 2007,,,0.73,,824.0,0.47,,,,,,,,,
,,2007 - 2008,,,1.11,432.0,269.0,0.62,,,,,,,,,
,,2008 - 2009,,,1.12,521.0,501.0,0.96,,,,,,,,,
,,2009 - 2010,,,1.24,701.0,601.0,0.86,,,,,,,,,
,,2010 - 2011,,,1.99,430.0,510.0,1.19,,,,,,,,,
,,2011 - 2012,,,0.79,439.0,300.0,0.68,,,,,,,,,
,,2012 - 2013,,,0.48,185.0,89.0,0.48,,,,,,,,,
,,2013 - 2014,,,0.67,313.0,209.0,0.67,,,,,,,,,
,,2014 - 2015,,960.0,0.85,,,,,,,,,,,,
,,2015 - 2016,963.0,576.0,0.6,38.0,26.0,0.68,,,,,,,,,
,,2016 - 2017,449.0,74.0,0.16,29.0,25.0,0.86,,,,,,,,,
,,2017 - 2018,,,1.66,426.0,417.0,0.98,,,,,,,,,
,,2018 - 2019,,,0.4,510.0,193.0,0.38,,,,,,,,,
,,2019 - 2020,,,0.99,477.0,442.0,0.93,,,,46.0,77.0,1.67,,,
,,2020 - 2021,,,1.56,155.0,71.0,0.46,,,,,,,,,
,,2021 - 2022,,,1.01,106.0,56.0,0.53,,,,,,,,,
,,2022 - 2023,,,1.09,,534.0,0.4,,,,,,,,,
,Haveri,2000 - 2001,,,2.18,,,0.61,,,,409.0,830.0,2.03,,,
,,2001 - 2002,,,1.42,,,0.23,,,,474.0,930.0,1.96,,,
,,2002 - 2003,,,1.26,,,0.15,,,,397.0,656.0,1.65,,,
,,2003 - 2004,,,0.55,,,0.18,,,,466.0,,2.66,,,
,,2004 - 2005,,,1.69,,,0.74,,,,234.0,186.0,0.79,,,
,,2005 - 2006,,,1.73,,,0.74,,,,273.0,467.0,1.71,,,
,,2006 - 2007,,,1.6,,,0.77,,,,303.0,533.0,1.76,,,
,,2007 - 2008,,,1.74,,,0.92,,,,323.0,611.0,1.89,,,
,,2008 - 2009,,,1.47,,,0.81,,,,369.0,842.0,2.28,,,
,,2009 - 2010,,,0.89,,,0.72,,,,350.0,616.0,1.76,,,
,,2010 - 2011,,,1.93,,,1.08,,,,836.0,,2.22,,,
,,2011 - 2012,,,1.75,,,0.6,,,,,,1.93,,,
,,2012 - 2013,,,1.03,,,0.6,,,,929.0,,1.23,,,
,,2013 - 2014,,,1.99,,,0.92,,,,398.0,278.0,0.7,,,
,,2014 - 2015,,,1.46,,,1.07,,,,525.0,,1.95,,,
,,2015 - 2016,,,0.89,,,0.69,,,,,,1.72,,,
,,2016 - 2017,,,0.83,,,0.26,,,,935.0,785.0,0.84,,,
,,2017 - 2018,403.0,558.0,1.38,,,0.71,,,,623.0,866.0,1.39,,,
,,2018 - 2019,940.0,984.0,1.05,,,0.72,,,,444.0,585.0,1.32,,,
,,2019 - 2020,356.0,339.0,0.95,,,0.68,,,,932.0,,1.18,,,
,,2020 - 2021,327.0,540.0,1.65,,,0.89,,,,,,1.36,,,
,,2021 - 2022,98.0,97.0,0.99,,,0.81,,,,,,,,,
,,2022 - 2023,79.0,55.0,0.7,,,0.83,,,,,,,,,
,Kodagu,2012 - 2013,1.0,1.0,1.0,,,,,,,,,,,,
,,2019 - 2020,339.0,447.0,1.32,,,,,,,,,,,,
,,2021 - 2022,1.0,2.0,2.0,,,,,,,,,,,,
,,2022 - 2023,172.0,277.0,1.61,,,,,,,,,,,,
,Kolar,2018 - 2019,,,1.37,,,,,,,,,,,,
,,2019 - 2020,,,1.32,378.0,415.0,1.1,,,,86.0,143.0,1.66,,,
,,2020 - 2021,,,2.01,270.0,292.0,1.08,,,,75.0,132.0,1.76,,,
,,2021 - 2022,,,1.62,200.0,226.0,1.13,,,,,,,,,
,,2022 - 2023,779.0,,1.6,259.0,312.0,1.2,,,,,,,,,
,Koppal,2000 - 2001,,,1.09,,,0.52,,,,612.0,,2.03,,,
,,2001 - 2002,,,1.59,,,0.45,,,,453.0,889.0,1.96,,,
,,2002 - 2003,,,0.62,,,0.15,,,,608.0,,1.65,,,
,,2003 - 2004,,,0.67,,,0.15,,,,439.0,,2.66,,,
,,2004 - 2005,,,0.74,,,0.37,,,,,,0.79,,,
,,2005 - 2006,,,1.42,,,0.56,,,,126.0,138.0,1.1,,,
,,2006 - 2007,,,0.65,,,0.1,,,,285.0,298.0,1.05,,,
,,2007 - 2008,,,1.12,,,1.15,,,,382.0,899.0,2.35,,,
,,2008 - 2009,,,0.97,,,0.59,,,,622.0,769.0,1.24,,,
,,2009 - 2010,,,0.71,,,0.5,,,,,,1.11,,,
,,2010 - 2011,,,1.66,,,0.67,,,,,,1.24,,,
,,2011 - 2012,,,1.25,,,0.24,,,,,,1.51,,,
,,2012 - 2013,,,1.45,,,0.97,,,,,,1.25,,,
,,2013 - 2014,,,2.3,,,0.82,,,,490.0,,2.04,,,
,,2014 - 2015,,,1.85,,,1.29,,,,472.0,998.0,2.11,,,
,,2015 - 2016,,,1.04,,,0.48,,,,592.0,746.0,1.26,,,
,,2016 - 2017,,,0.95,,,0.24,,,,525.0,561.0,1.07,,,
,,2017 - 2018,,,2.31,,,0.59,,,,415.0,861.0,2.07,,,
,,2018 - 2019,,,1.62,,,0.42,,,,702.0,,1.47,,,
,,2019 - 2020,,,1.86,,,0.55,,,,558.0,858.0,1.54,,,
,,2020 - 2021,,,2.18,,,0.79,,,,340.0,606.0,1.78,,,
,,2021 - 2022,,,1.75,,,0.73,,,,,,,,,
,,2022 - 2023,,,1.85,,,0.69,,,,,,,,,
,Mandya,2000 - 2001,,,0.95,,,,,,,,,,,,
,,2001 - 2002,,,0.67,,,,,,,,,,,,
,,2002 - 2003,871.0,503.0,0.58,240.0,100.0,0.42,,,,15.0,25.0,1.67,,,
,,2003 - 2004,535.0,286.0,0.53,145.0,18.0,0.12,,,,,,,,,
,,2004 - 2005,,952.0,0.76,25.0,14.0,0.56,,,,,,,,,
,,2005 - 2006,,813.0,0.5,10.0,6.0,0.6,,,,,,,,,
,,2006 - 2007,115.0,202.0,1.76,,,,,,,,,,,,
,,2007 - 2008,238.0,201.0,0.84,,,,,,,,,,,,
,,2010 - 2011,10.0,16.0,1.6,,,,,,,,,,,,
,,2011 - 2012,32.0,47.0,1.47,,,,,,,,,,,,
,,2012 - 2013,840.0,,1.23,,,,,,,2.0,3.0,1.5,,,
,,2013 - 2014,870.0,,1.42,,,,,,,7.0,11.0,1.57,,,
,,2014 - 2015,,,1.38,1.0,1.0,1.0,,,,,,,,,
,,2015 - 2016,,,1.14,17.0,11.0,0.65,,,,,,,,,
,,2018 - 2019,,,1.37,,,,,,,,,,,,
,,2019 - 2020,,,1.32,609.0,669.0,1.1,,,,12.0,20.0,1.67,,,
,,2020 - 2021,,,,8.0,9.0,1.13,,,,,,,,,
,,2021 - 2022,,,,2.0,2.0,1.0,,,,,,,,,
,,2022 - 2023,,,,24.0,28.0,1.17,,,,,,,,,
,Mysore,2000 - 2001,,,0.88,,899.0,0.77,,,,286.0,581.0,2.03,,,
,,2001 - 2002,,,0.67,991.0,747.0,0.75,,,,,,,,,
,,2002 - 2003,,,0.43,,,0.72,,,,92.0,127.0,1.38,,,
,,2003 - 2004,,,0.45,,567.0,0.38,,,,80.0,190.0,2.38,,,
,,2004 - 2005,,,1.7,739.0,369.0,0.5,,,,1.0,1.0,1.0,,,
,,2005 - 2006,,,1.29,380.0,220.0,0.58,,,,412.0,587.0,1.42,,,
,,2006 - 2007,,,1.47,430.0,218.0,0.51,,,,10.0,15.0,1.5,,,
