state,district,year,jowar_kharif_area_hectare,jowar_kharif_production_tonne,jowar_kharif_yield_tonne_per_hectare,jowar_rabi_area_hectare,jowar_rabi_production_tonne,jowar_rabi_yield_tonne_per_hectare,jowar_whole_year_area_hectare,jowar_whole_year_production_tonne,jowar_whole_year_yield_tonne_per_hectare,jowar_summer_area_hectare,jowar_summer_production_tonne,jowar_summer_yield_tonne_per_hectare,jowar_autumn_area_hectare,jowar_autumn_production_tonne,jowar_autumn_yield_tonne_per_hectare
,,2009 - 2010,180.0,212.0,1.18,,,5.92,,,,,,,,,
,,2010 - 2011,61.0,88.0,1.44,,,6.09,,,,,,,,,
,,2011 - 2012,,,,,,5.98,,,,,,,,,
,,2012 - 2013,,,,,,5.32,,,,,,,,,
,,2013 - 2014,205.0,358.0,1.75,,,6.05,,,,,,,,,
,,2014 - 2015,32.0,48.0,1.5,,,6.89,,,,,,,,,
,,2015 - 2016,65.0,72.0,1.11,,,6.61,,,,,,,,,
,,2016 - 2017,45.0,65.0,1.44,,,5.97,,,,,,,,,
,,2017 - 2018,73.0,74.0,1.01,,,5.66,,,,,,,,,
,,2018 - 2019,40.0,5.0,0.13,,,4.65,,,,,,,,,
,,2019 - 2020,,,,,,5.96,,,,,,,,,
,,2020 - 2021,33.0,45.0,1.36,,,5.98,,,,,,,,,
,,2021 - 2022,11.0,12.0,1.09,,,5.53,,,,,,,,,
,,2022 - 2023,2.0,2.0,1.0,,,7.92,,,,,,,,,
,Kadapa,2000 - 2001,,,1.68,,,1.2,,,,,,,,,
,,2001 - 2002,,,0.52,,690.0,0.46,,,,,,,,,
,,2002 - 2003,882.0,361.0,0.41,,,0.25,,,,,,,,,
,,2003 - 2004,,997.0,0.24,,,0.5,,,,,,,,,
,,2004 - 2005,,922.0,0.46,,632.0,0.34,,,,,,,,,
,,2005 - 2006,,,1.75,,,1.2,,,,,,,,,
,,2006 - 2007,,,1.12,,,0.74,,,,,,,,,
,,2007 - 2008,,,2.0,,,1.2,,,,,,,,,
,,2008 - 2009,643.0,,2.49,,,0.77,,,,,,,,,
,,2009 - 2010,,,2.01,,,0.93,,,,,,,,,
,,2010 - 2011,,,1.45,,,1.52,,,,,,,,,
,,2011 - 2012,,,0.63,,,0.33,,,,,,,,,
,,2012 - 2013,,,2.33,,,1.46,,,,,,,,,
,,2013 - 2014,,,2.1,,,1.28,,,,,,,,,
,,2014 - 2015,,,1.28,,,1.58,,,,,,,,,
,,2015 - 2016,,,1.37,,,2.0,,,,,,,,,
,,2016 - 2017,,,0.96,,,1.08,,,,,,,,,
,,2017 - 2018,,,1.21,,,0.63,,,,,,,,,
,,2018 - 2019,533.0,419.0,0.79,,,0.63,,,,,,,,,
,,2019 - 2020,,,2.15,,,1.03,,,,,,,,,
,,2020 - 2021,807.0,,2.6,,,0.73,,,,,,,,,
,,2021 - 2022,207.0,386.0,1.86,,,0.91,,,,,,,,,
,,2022 - 2023,522.0,,2.78,,,1.61,,,,,,,,,
,Kakinada,2022 - 2023,,,,1.0,7.0,7.0,,,,,,,,,
,Krishna,2000 - 2001,2.0,1.0,0.5,65.0,27.0,0.42,,,,,,,,,
,,2001 - 2002,123.0,70.0,0.57,730.0,539.0,0.74,,,,,,,,,
,,2002 - 2003,81.0,27.0,0.33,866.0,695.0,0.8,,,,,,,,,
,,2003 - 2004,147.0,435.0,2.96,,,1.88,,,,,,,,,
,,2004 - 2005,455.0,243.0,0.53,506.0,950.0,1.88,,,,,,,,,
