state,district,year,peas_and_beans_rabi_yield_tonne_per_hectare
,,2018 - 2019,0.73
,,2019 - 2020,1.35
,,2020 - 2021,0.69
,,2021 - 2022,0.69
,,2022 - 2023,0.75
,Cachar,2001 - 2002,0.53
,,2002 - 2003,0.53
,,2003 - 2004,0.52
,,2004 - 2005,0.6
,,2005 - 2006,0.6
,,2006 - 2007,0.57
,,2007 - 2008,0.58
,,2008 - 2009,0.59
,,2009 - 2010,0.58
,,2010 - 2011,0.59
,,2011 - 2012,0.6
,,2012 - 2013,0.61
,,2013 - 2014,0.67
,,2014 - 2015,0.84
,,2015 - 2016,0.75
,,2016 - 2017,0.75
,,2017 - 2018,0.76
,,2018 - 2019,0.78
,,2019 - 2020,1.17
,,2020 - 2021,0.23
,,2021 - 2022,0.36
,,2022 - 2023,0.35
,Charaideo,2020 - 2021,0.65
,,2021 - 2022,0.65
,,2022 - 2023,0.65
,Chirang,2005 - 2006,0.74
,,2006 - 2007,0.74
,,2007 - 2008,0.76
,,2008 - 2009,0.75
,,2009 - 2010,0.75
,,2010 - 2011,0.76
,,2011 - 2012,0.77
,,2012 - 2013,0.8
,,2013 - 2014,0.69
,,2014 - 2015,1.09
,,2015 - 2016,0.92
,,2016 - 2017,1.01
,,2017 - 2018,0.63
,,2018 - 2019,0.63
,,2019 - 2020,1.16
,,2020 - 2021,0.69
,,2021 - 2022,0.93
,,2022 - 2023,1.2
,Darrang,2001 - 2002,0.58
,,2002 - 2003,0.59
,,2003 - 2004,0.6
,,2004 - 2005,0.62
,,2005 - 2006,0.71
,,2006 - 2007,0.71
,,2007 - 2008,0.71
,,2008 - 2009,0.71
,,2009 - 2010,0.71
,,2010 - 2011,0.71
,,2011 - 2012,0.74
,,2012 - 2013,0.77
,,2013 - 2014,2.55
,,2014 - 2015,1.05
,,2015 - 2016,1.19
,,2016 - 2017,1.2
,,2017 - 2018,1.23
,,2018 - 2019,1.23
,,2019 - 2020,0.77
,,2020 - 2021,1.23
,,2021 - 2022,1.18
,,2022 - 2023,1.3
,Dhemaji,2001 - 2002,0.64
,,2002 - 2003,0.64
,,2003 - 2004,0.63
,,2004 - 2005,0.64
,,2005 - 2006,0.63
,,2006 - 2007,0.63
,,2007 - 2008,0.65
,,2008 - 2009,0.66
,,2009 - 2010,0.6
,,2010 - 2011,0.64
,,2011 - 2012,0.63
,,2012 - 2013,0.6
,,2013 - 2014,0.69
