state,district,year,peas_and_beans_rabi_yield_tonne_per_hectare
,,2003 - 2004,0.93
,,2004 - 2005,0.88
,,2005 - 2006,0.92
,,2006 - 2007,0.93
,,2007 - 2008,1.08
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.04
,,2011 - 2012,1.03
,,2012 - 2013,1.04
,,2013 - 2014,1.25
,,2014 - 2015,1.25
,,2015 - 2016,0.82
,,2016 - 2017,1.11
,,2017 - 2018,1.03
,,2018 - 2019,0.98
,,2019 - 2020,1.04
,,2020 - 2021,1.02
,,2021 - 2022,1.02
,,2022 - 2023,1.03
,Jamui,2000 - 2001,0.8
,,2001 - 2002,0.98
,,2002 - 2003,0.9
,,2003 - 2004,0.93
,,2004 - 2005,0.88
,,2005 - 2006,0.96
,,2006 - 2007,0.91
,,2007 - 2008,1.0
,,2008 - 2009,0.96
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.05
,,2014 - 2015,1.0
,,2015 - 2016,1.17
,,2016 - 2017,0.97
,,2017 - 2018,1.18
,,2021 - 2022,1.11
,Jehanabad,2000 - 2001,0.97
,,2001 - 2002,0.98
,,2002 - 2003,0.89
,,2003 - 2004,0.94
,,2004 - 2005,0.88
,,2005 - 2006,0.92
,,2006 - 2007,0.93
,,2007 - 2008,1.08
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.03
,,2011 - 2012,1.03
,,2012 - 2013,1.04
,,2013 - 2014,0.75
,,2014 - 2015,1.01
,,2015 - 2016,1.0
,,2016 - 2017,0.92
,,2017 - 2018,0.82
,,2018 - 2019,0.91
,,2019 - 2020,0.88
,,2020 - 2021,0.87
,,2021 - 2022,0.99
,,2022 - 2023,0.91
,Kaimur (bhabua),2000 - 2001,0.96
,,2001 - 2002,0.98
,,2002 - 2003,0.92
,,2003 - 2004,1.15
,,2004 - 2005,0.96
,,2005 - 2006,0.91
,,2006 - 2007,0.93
,,2007 - 2008,0.93
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.04
,,2011 - 2012,1.03
,,2012 - 2013,1.04
,,2013 - 2014,1.25
,,2014 - 2015,1.01
,,2015 - 2016,1.05
,,2016 - 2017,1.1
,,2017 - 2018,1.03
,,2018 - 2019,1.06
,,2019 - 2020,1.07
,,2020 - 2021,1.05
,,2021 - 2022,1.06
,,2022 - 2023,1.06
,Katihar,2000 - 2001,1.11
,,2001 - 2002,1.01
,,2002 - 2003,0.89
,,2003 - 2004,0.94
,,2004 - 2005,0.88
,,2005 - 2006,0.92
,,2006 - 2007,0.93
,,2007 - 2008,1.73
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.04
,,2011 - 2012,1.03
,,2012 - 2013,1.04
,,2013 - 2014,1.06
,,2014 - 2015,1.01
,,2015 - 2016,1.06
,,2016 - 2017,1.03
,,2017 - 2018,1.06
,,2018 - 2019,1.04
,,2019 - 2020,1.04
,,2020 - 2021,1.04
,,2021 - 2022,1.01
,,2022 - 2023,1.03
,Khagaria,2000 - 2001,0.79
,,2001 - 2002,0.98
,,2002 - 2003,0.89
,,2003 - 2004,0.93
,,2004 - 2005,0.88
,,2005 - 2006,0.97
,,2006 - 2007,0.93
,,2007 - 2008,0.99
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.04
,,2011 - 2012,1.03
,,2012 - 2013,1.04
,,2013 - 2014,1.06
,,2014 - 2015,1.01
,,2015 - 2016,1.17
,,2016 - 2017,0.97
,,2017 - 2018,1.18
,,2018 - 2019,1.11
,,2019 - 2020,1.08
,,2020 - 2021,1.12
,,2021 - 2022,1.1
,,2022 - 2023,1.49
,Kishanganj,2001 - 2002,1.0
,,2002 - 2003,0.92
,,2003 - 2004,0.94
,,2004 - 2005,0.87
,,2005 - 2006,0.92
,,2006 - 2007,0.93
,,2007 - 2008,1.73
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.03
,,2011 - 2012,1.03
,,2012 - 2013,1.04
,,2013 - 2014,1.06
,,2014 - 2015,1.01
,,2015 - 2016,1.05
,,2016 - 2017,1.03
,,2017 - 2018,1.03
,Lakhisarai,2000 - 2001,0.78
,,2001 - 2002,0.98
,,2002 - 2003,0.89
,,2003 - 2004,0.93
,,2004 - 2005,0.88
,,2005 - 2006,0.97
,,2006 - 2007,0.93
,,2007 - 2008,0.99
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.03
,,2011 - 2012,1.03
,,2012 - 2013,1.04
,,2013 - 2014,1.06
,,2014 - 2015,1.01
,,2015 - 2016,1.17
,,2016 - 2017,0.97
,,2017 - 2018,1.18
,,2018 - 2019,1.11
,,2019 - 2020,1.08
,,2020 - 2021,1.12
,,2021 - 2022,1.1
,,2022 - 2023,0.99
,Madhepura,2000 - 2001,1.04
,,2001 - 2002,0.99
,,2002 - 2003,0.86
,,2003 - 2004,0.93
,,2004 - 2005,0.88
,,2005 - 2006,0.92
,,2006 - 2007,0.93
,,2007 - 2008,1.08
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.03
,,2011 - 2012,1.03
,,2012 - 2013,1.04
,,2013 - 2014,1.06
,,2014 - 2015,1.01
,,2015 - 2016,1.01
,,2016 - 2017,1.03
,,2017 - 2018,1.03
,,2018 - 2019,1.02
,,2019 - 2020,1.03
,,2020 - 2021,1.03
,,2021 - 2022,1.04
,,2022 - 2023,1.03
,Madhubani,2000 - 2001,0.96
,,2001 - 2002,0.6
,,2002 - 2003,0.9
,,2003 - 2004,0.88
,,2004 - 2005,1.05
,,2005 - 2006,0.92
,,2006 - 2007,0.93
,,2007 - 2008,1.08
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.03
,,2011 - 2012,1.03
,,2012 - 2013,1.04
,,2013 - 2014,1.06
,,2014 - 2015,1.0
,,2015 - 2016,1.05
,,2016 - 2017,1.05
,,2017 - 2018,1.02
,,2018 - 2019,1.05
,,2019 - 2020,1.04
,,2020 - 2021,1.03
,,2021 - 2022,1.03
,,2022 - 2023,1.03
,Munger,2000 - 2001,0.79
,,2001 - 2002,1.02
,,2002 - 2003,0.89
,,2003 - 2004,0.93
,,2004 - 2005,0.88
,,2005 - 2006,0.97
,,2006 - 2007,0.93
,,2007 - 2008,0.99
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.03
,,2011 - 2012,1.03
,,2012 - 2013,1.04
,,2013 - 2014,1.06
,,2014 - 2015,1.01
,,2015 - 2016,1.17
,,2016 - 2017,0.97
,,2017 - 2018,1.18
,,2018 - 2019,1.1
,,2019 - 2020,1.08
,,2020 - 2021,1.12
,,2021 - 2022,1.1
,,2022 - 2023,1.19
,Muzaffarpur,2000 - 2001,0.96
,,2001 - 2002,0.98
,,2002 - 2003,0.89
,,2003 - 2004,0.93
,,2004 - 2005,0.88
,,2005 - 2006,0.92
,,2006 - 2007,0.94
,,2007 - 2008,0.96
,,2008 - 2009,0.99
,,2009 - 2010,1.0
,,2010 - 2011,1.04
,,2011 - 2012,1.03
,,2012 - 2013,1.05
,,2013 - 2014,1.06
,,2014 - 2015,0.77
,,2015 - 2016,1.05
,,2016 - 2017,0.96
,,2017 - 2018,0.93
,,2018 - 2019,0.98
,,2019 - 2020,0.95
,,2020 - 2021,0.96
,,2021 - 2022,0.96
,,2022 - 2023,0.96
,Nalanda,2000 - 2001,0.62
,,2001 - 2002,0.98
,,2002 - 2003,0.87
,,2003 - 2004,0.94
,,2004 - 2005,0.86
,,2005 - 2006,0.91
,,2006 - 2007,0.92
,,2007 - 2008,0.93
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.03
,,2011 - 2012,1.03
,,2012 - 2013,1.04
,,2013 - 2014,1.25
,,2014 - 2015,1.01
,,2015 - 2016,1.05
,,2016 - 2017,1.1
,,2017 - 2018,1.03
,,2018 - 2019,1.06
,,2019 - 2020,1.07
,,2020 - 2021,1.05
,,2021 - 2022,1.06
,,2022 - 2023,1.06
,Nawada,2000 - 2001,0.97
,,2001 - 2002,0.97
,,2002 - 2003,0.89
,,2003 - 2004,0.94
,,2004 - 2005,0.88
,,2005 - 2006,0.92
,,2006 - 2007,0.93
,,2007 - 2008,1.08
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.04
,,2011 - 2012,1.03
,,2012 - 2013,1.04
,,2013 - 2014,0.75
,,2014 - 2015,1.01
,,2015 - 2016,1.0
,,2016 - 2017,0.92
,,2017 - 2018,0.82
,,2018 - 2019,0.92
,,2019 - 2020,0.89
,,2020 - 2021,0.87
,,2021 - 2022,0.99
,,2022 - 2023,0.92
,Pashchim champaran,2000 - 2001,0.97
,,2001 - 2002,0.98
,,2002 - 2003,0.89
,,2003 - 2004,0.93
,,2004 - 2005,0.88
,,2005 - 2006,0.92
,,2006 - 2007,0.94
,,2007 - 2008,1.0
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.03
,,2011 - 2012,1.03
,,2012 - 2013,1.04
,,2013 - 2014,1.06
,,2014 - 2015,0.78
,,2015 - 2016,1.05
,,2016 - 2017,0.96
,,2017 - 2018,0.93
,,2018 - 2019,0.98
,,2019 - 2020,0.96
,,2020 - 2021,0.96
,,2021 - 2022,0.96
,,2022 - 2023,0.96
,Patna,2000 - 2001,0.96
,,2001 - 2002,0.98
,,2002 - 2003,0.81
,,2003 - 2004,0.85
,,2004 - 2005,0.86
,,2005 - 2006,0.91
,,2006 - 2007,0.93
,,2007 - 2008,0.93
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.04
,,2011 - 2012,1.03
,,2012 - 2013,1.04
,,2013 - 2014,1.25
,,2014 - 2015,1.01
,,2015 - 2016,1.05
,,2016 - 2017,1.1
,,2017 - 2018,1.03
,,2018 - 2019,1.06
,,2019 - 2020,1.07
,,2020 - 2021,1.05
,,2021 - 2022,1.06
,,2022 - 2023,1.06
,Purbi champaran,2000 - 2001,0.96
,,2001 - 2002,0.98
,,2002 - 2003,0.89
,,2003 - 2004,0.93
,,2004 - 2005,0.88
,,2005 - 2006,0.92
,,2006 - 2007,0.94
,,2007 - 2008,0.99
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.04
,,2011 - 2012,1.03
,,2012 - 2013,1.04
,,2013 - 2014,1.05
,,2014 - 2015,0.78
,,2015 - 2016,1.05
,,2016 - 2017,0.96
,,2017 - 2018,0.94
,,2018 - 2019,0.97
,,2019 - 2020,0.97
,,2020 - 2021,0.97
,,2021 - 2022,0.97
,,2022 - 2023,0.97
,Purnia,2000 - 2001,1.11
,,2001 - 2002,1.01
,,2002 - 2003,0.89
,,2003 - 2004,0.93
,,2004 - 2005,0.88
,,2005 - 2006,0.92
,,2006 - 2007,0.93
,,2007 - 2008,1.73
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.04
,,2011 - 2012,1.03
,,2012 - 2013,1.04
,,2013 - 2014,1.06
,,2014 - 2015,1.01
,,2015 - 2016,1.05
,,2016 - 2017,1.03
,,2017 - 2018,1.03
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Rohtas,2000 - 2001,1.05
,,2001 - 2002,0.98
,,2002 - 2003,0.87
,,2003 - 2004,0.94
,,2004 - 2005,0.78
,,2005 - 2006,0.91
,,2006 - 2007,0.93
,,2007 - 2008,0.93
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.04
,,2011 - 2012,1.03
,,2012 - 2013,1.04
,,2013 - 2014,1.25
,,2014 - 2015,1.01
,,2015 - 2016,1.05
,,2016 - 2017,1.1
,,2017 - 2018,1.03
,,2018 - 2019,1.06
,,2019 - 2020,1.07
,,2020 - 2021,1.05
,,2021 - 2022,1.06
,,2022 - 2023,1.07
,Saharsa,2000 - 2001,1.04
,,2001 - 2002,0.99
,,2002 - 2003,0.87
,,2003 - 2004,0.93
,,2004 - 2005,0.88
,,2005 - 2006,0.92
,,2006 - 2007,0.93
,,2007 - 2008,1.08
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.04
,,2011 - 2012,1.03
,,2012 - 2013,1.04
,,2013 - 2014,1.06
,,2014 - 2015,1.01
,,2015 - 2016,1.01
,,2016 - 2017,1.03
,,2017 - 2018,1.03
,,2018 - 2019,1.03
,,2019 - 2020,1.03
,,2020 - 2021,1.03
,,2021 - 2022,1.04
,,2022 - 2023,1.03
,Samastipur,2000 - 2001,0.97
,,2001 - 2002,0.84
,,2002 - 2003,0.9
,,2003 - 2004,0.88
,,2004 - 2005,1.05
,,2005 - 2006,0.92
,,2006 - 2007,0.93
,,2007 - 2008,1.08
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.04
,,2011 - 2012,1.03
,,2012 - 2013,1.04
,,2013 - 2014,1.06
,,2014 - 2015,1.01
,,2015 - 2016,1.05
,,2016 - 2017,1.04
,,2017 - 2018,1.03
,,2018 - 2019,1.04
,,2019 - 2020,1.04
,,2020 - 2021,1.04
,,2021 - 2022,1.04
,,2022 - 2023,1.04
,Saran,2000 - 2001,0.99
,,2001 - 2002,0.99
,,2002 - 2003,0.99
,,2003 - 2004,0.93
,,2004 - 2005,0.88
,,2005 - 2006,0.92
,,2006 - 2007,0.93
,,2007 - 2008,1.08
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.03
,,2011 - 2012,1.03
,,2012 - 2013,1.04
,,2013 - 2014,1.25
,,2014 - 2015,1.25
,,2015 - 2016,0.82
,,2016 - 2017,1.11
,,2017 - 2018,1.03
,,2018 - 2019,0.98
,,2019 - 2020,1.04
,,2020 - 2021,1.02
,,2021 - 2022,1.03
,,2022 - 2023,1.02
,Sheikhpura,2000 - 2001,0.86
,,2005 - 2006,0.97
,,2006 - 2007,0.93
,,2007 - 2008,0.99
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.03
,,2011 - 2012,1.04
,,2012 - 2013,1.05
,,2013 - 2014,1.06
,,2014 - 2015,1.01
,,2015 - 2016,1.17
,,2016 - 2017,0.96
,,2017 - 2018,1.18
,,2018 - 2019,1.11
,,2019 - 2020,1.08
,,2020 - 2021,1.12
,,2021 - 2022,1.1
,,2022 - 2023,1.34
,Sheohar,2000 - 2001,0.96
,,2005 - 2006,1.0
,,2006 - 2007,0.92
,,2009 - 2010,1.0
,,2010 - 2011,1.04
,,2011 - 2012,1.03
,,2012 - 2013,1.04
,,2013 - 2014,1.06
,,2014 - 2015,0.77
,,2015 - 2016,1.05
,,2016 - 2017,0.97
,,2017 - 2018,0.94
,,2018 - 2019,0.98
,,2019 - 2020,0.95
,,2020 - 2021,0.95
,,2021 - 2022,0.96
,,2022 - 2023,0.95
,Sitamarhi,2000 - 2001,0.96
,,2001 - 2002,0.98
,,2002 - 2003,0.89
,,2003 - 2004,0.93
,,2004 - 2005,0.88
,,2005 - 2006,0.92
,,2006 - 2007,0.94
,,2007 - 2008,0.99
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.04
,,2011 - 2012,1.0
,,2012 - 2013,1.06
,,2013 - 2014,1.06
,,2014 - 2015,0.8
,,2015 - 2016,1.07
,,2016 - 2017,0.94
,,2017 - 2018,0.94
,,2018 - 2019,1.0
,,2019 - 2020,0.94
,,2020 - 2021,0.94
,,2021 - 2022,0.94
,,2022 - 2023,0.93
,Siwan,2000 - 2001,0.99
,,2001 - 2002,0.99
,,2002 - 2003,0.99
,,2003 - 2004,0.93
,,2004 - 2005,0.88
,,2005 - 2006,0.92
,,2006 - 2007,0.93
,,2007 - 2008,1.08
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.03
,,2011 - 2012,1.03
,,2012 - 2013,1.04
,,2013 - 2014,1.25
,,2014 - 2015,1.25
,,2015 - 2016,0.82
,,2016 - 2017,1.11
,,2017 - 2018,1.03
,,2018 - 2019,0.98
,,2019 - 2020,1.04
,,2020 - 2021,1.02
,,2021 - 2022,1.02
,,2022 - 2023,1.03
,Supaul,2000 - 2001,1.04
,,2001 - 2002,0.99
,,2002 - 2003,0.87
,,2003 - 2004,0.93
,,2004 - 2005,0.88
,,2005 - 2006,0.92
,,2006 - 2007,0.93
,,2007 - 2008,1.08
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.03
,,2011 - 2012,1.03
,,2012 - 2013,1.04
,,2013 - 2014,1.06
,,2014 - 2015,1.01
,,2015 - 2016,1.01
,,2016 - 2017,1.03
,,2017 - 2018,1.03
,,2018 - 2019,1.02
,,2019 - 2020,1.03
,,2020 - 2021,1.03
,,2021 - 2022,1.04
,,2022 - 2023,1.03
,Vaishali,2000 - 2001,0.97
,,2001 - 2002,1.0
,,2002 - 2003,0.89
,,2003 - 2004,0.93
,,2004 - 2005,0.89
,,2005 - 2006,0.93
,,2006 - 2007,0.93
,,2007 - 2008,0.82
,,2008 - 2009,0.84
,,2009 - 2010,1.0
,,2010 - 2011,1.03
,,2011 - 2012,1.05
,,2012 - 2013,1.04
,,2013 - 2014,1.09
,,2014 - 2015,0.79
,,2016 - 2017,1.0
Chhattisgarh,Balod,2011 - 2012,0.33
,,2012 - 2013,0.29
,,2013 - 2014,0.29
,,2014 - 2015,0.33
,,2015 - 2016,0.27
,,2016 - 2017,0.33
,,2017 - 2018,0.35
,,2018 - 2019,0.36
,,2019 - 2020,0.36
,,2020 - 2021,0.38
,,2021 - 2022,0.33
,,2022 - 2023,0.38
,Baloda bazar,2011 - 2012,0.35
,,2012 - 2013,0.42
,,2013 - 2014,0.39
,,2014 - 2015,0.46
,,2015 - 2016,0.36
,,2016 - 2017,0.49
,,2017 - 2018,0.33
,,2018 - 2019,0.33
,,2019 - 2020,0.34
,,2020 - 2021,0.4
,,2021 - 2022,0.34
,,2022 - 2023,0.41
,Balrampur,2011 - 2012,0.36
,,2012 - 2013,0.54
,,2013 - 2014,0.35
,,2014 - 2015,0.43
,,2015 - 2016,0.4
,,2016 - 2017,0.44
,,2017 - 2018,0.45
,,2018 - 2019,0.4
,,2019 - 2020,0.45
,,2020 - 2021,0.49
,,2021 - 2022,0.44
,,2022 - 2023,0.41
,Bastar,2000 - 2001,0.29
,,2001 - 2002,0.32
,,2002 - 2003,0.28
,,2003 - 2004,0.29
,,2004 - 2005,0.3
,,2005 - 2006,0.22
,,2006 - 2007,0.32
,,2007 - 2008,0.29
,,2008 - 2009,0.29
,,2009 - 2010,0.28
,,2010 - 2011,0.33
,,2011 - 2012,0.26
,,2012 - 2013,0.29
,,2013 - 2014,0.28
,,2014 - 2015,0.28
,,2015 - 2016,0.15
,,2016 - 2017,0.34
,,2017 - 2018,0.31
,,2018 - 2019,0.33
,,2019 - 2020,0.33
,,2020 - 2021,0.34
,,2021 - 2022,0.33
,,2022 - 2023,0.36
,Bemetara,2011 - 2012,0.33
,,2012 - 2013,0.33
,,2013 - 2014,0.31
,,2014 - 2015,0.3
,,2015 - 2016,0.36
,,2016 - 2017,0.38
,,2017 - 2018,0.38
,,2018 - 2019,0.41
,,2019 - 2020,0.4
,,2020 - 2021,0.53
,,2021 - 2022,0.38
,,2022 - 2023,0.49
,Bilaspur,2000 - 2001,0.31
,,2001 - 2002,0.34
,,2002 - 2003,0.32
,,2003 - 2004,0.35
,,2004 - 2005,0.3
,,2005 - 2006,0.34
,,2006 - 2007,0.34
,,2007 - 2008,0.34
,,2008 - 2009,0.35
,,2009 - 2010,0.33
,,2010 - 2011,0.36
,,2011 - 2012,0.36
,,2012 - 2013,0.37
,,2013 - 2014,0.39
,,2014 - 2015,0.39
,,2015 - 2016,0.36
,,2016 - 2017,0.36
,,2017 - 2018,0.3
,,2018 - 2019,0.39
,,2019 - 2020,0.36
,,2020 - 2021,0.48
,,2021 - 2022,0.36
,,2022 - 2023,0.48
,Dantewada,2001 - 2002,0.0
,,2002 - 2003,0.25
,,2003 - 2004,0.33
,,2004 - 2005,0.0
,,2006 - 2007,0.5
,,2009 - 2010,0.0
,,2012 - 2013,0.0
,,2013 - 2014,0.0
,,2014 - 2015,0.17
,,2015 - 2016,0.11
,,2016 - 2017,0.33
,,2017 - 2018,0.17
,,2018 - 2019,0.33
,,2019 - 2020,0.0
,,2020 - 2021,0.0
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Dhamtari,2000 - 2001,0.39
,,2001 - 2002,0.39
,,2002 - 2003,0.39
,,2003 - 2004,0.39
,,2004 - 2005,0.33
,,2005 - 2006,0.39
,,2006 - 2007,0.39
,,2007 - 2008,0.39
,,2008 - 2009,0.39
,,2009 - 2010,0.39
,,2010 - 2011,0.39
,,2011 - 2012,0.39
,,2012 - 2013,0.39
,,2013 - 2014,0.39
,,2014 - 2015,0.39
,,2015 - 2016,0.41
,,2016 - 2017,0.41
,,2017 - 2018,0.41
,,2018 - 2019,0.41
,,2019 - 2020,0.43
,,2020 - 2021,0.46
,,2021 - 2022,0.44
,,2022 - 2023,0.44
,Durg,2000 - 2001,0.24
,,2001 - 2002,0.29
,,2002 - 2003,0.3
,,2003 - 2004,0.31
,,2004 - 2005,0.23
,,2005 - 2006,0.33
,,2006 - 2007,0.33
,,2007 - 2008,0.35
,,2008 - 2009,0.34
,,2009 - 2010,0.29
,,2010 - 2011,0.32
,,2011 - 2012,0.33
,,2012 - 2013,0.33
,,2013 - 2014,0.24
,,2014 - 2015,0.33
,,2015 - 2016,0.34
,,2016 - 2017,0.39
,,2017 - 2018,0.33
,,2018 - 2019,0.35
,,2019 - 2020,0.27
,,2020 - 2021,0.51
,,2021 - 2022,0.35
,,2022 - 2023,0.47
,Gariyaband,2011 - 2012,0.35
,,2012 - 2013,0.36
,,2013 - 2014,0.32
,,2014 - 2015,0.46
,,2015 - 2016,0.39
,,2016 - 2017,0.39
,,2017 - 2018,0.36
,,2018 - 2019,0.34
,,2019 - 2020,0.36
,,2020 - 2021,0.45
,,2021 - 2022,0.39
,,2022 - 2023,0.45
,Gaurella-pendra-marwahi,2019 - 2020,0.36
,,2020 - 2021,0.5
,,2021 - 2022,0.4
,,2022 - 2023,0.51
,Janjgir-champa,2000 - 2001,0.35
,,2001 - 2002,0.32
,,2002 - 2003,0.33
,,2003 - 2004,0.36
,,2004 - 2005,0.33
,,2005 - 2006,0.39
,,2006 - 2007,0.36
,,2007 - 2008,0.37
,,2008 - 2009,0.36
,,2009 - 2010,0.33
,,2010 - 2011,0.35
,,2011 - 2012,0.37
,,2012 - 2013,0.39
,,2013 - 2014,0.41
,,2014 - 2015,0.36
,,2015 - 2016,0.41
,,2016 - 2017,0.41
,,2017 - 2018,0.38
,,2018 - 2019,0.42
,,2019 - 2020,0.38
,,2020 - 2021,0.76
,,2021 - 2022,0.37
,,2022 - 2023,0.71
,Jashpur,2000 - 2001,0.34
,,2001 - 2002,0.34
,,2002 - 2003,0.33
,,2003 - 2004,0.35
,,2004 - 2005,0.34
,,2005 - 2006,0.31
,,2006 - 2007,0.34
,,2007 - 2008,0.33
,,2008 - 2009,0.34
,,2009 - 2010,0.36
,,2010 - 2011,0.34
,,2011 - 2012,0.36
,,2012 - 2013,0.35
,,2013 - 2014,0.36
,,2014 - 2015,0.36
,,2015 - 2016,0.39
,,2016 - 2017,0.38
,,2017 - 2018,0.36
,,2018 - 2019,0.34
,,2019 - 2020,0.34
,,2020 - 2021,0.36
,,2021 - 2022,0.37
,,2022 - 2023,0.38
,Kabirdham,2000 - 2001,0.13
,,2001 - 2002,0.31
,,2002 - 2003,0.29
,,2003 - 2004,0.28
,,2004 - 2005,0.24
,,2005 - 2006,0.27
,,2006 - 2007,0.27
,,2007 - 2008,0.27
,,2008 - 2009,0.27
,,2009 - 2010,0.27
,,2010 - 2011,0.32
,,2011 - 2012,0.33
,,2012 - 2013,0.35
,,2013 - 2014,0.35
,,2014 - 2015,0.32
,,2015 - 2016,0.32
,,2016 - 2017,0.41
,,2017 - 2018,0.32
,,2018 - 2019,0.33
,,2019 - 2020,0.35
,,2020 - 2021,0.26
,,2021 - 2022,0.35
,,2022 - 2023,0.37
,Kanker,2000 - 2001,0.25
,,2001 - 2002,0.28
,,2002 - 2003,0.23
,,2003 - 2004,0.38
,,2004 - 2005,0.28
,,2005 - 2006,0.31
,,2006 - 2007,0.33
,,2007 - 2008,0.33
,,2008 - 2009,0.29
,,2009 - 2010,0.28
,,2010 - 2011,0.33
,,2011 - 2012,0.27
,,2012 - 2013,0.26
,,2013 - 2014,0.24
,,2014 - 2015,0.26
,,2015 - 2016,0.26
,,2016 - 2017,0.29
,,2017 - 2018,0.24
,,2018 - 2019,0.27
,,2019 - 2020,0.26
,,2020 - 2021,0.34
,,2021 - 2022,0.28
,,2022 - 2023,0.31
,Khairgarh chhuikhadan gandai,2022 - 2023,1.1
,Kondagaon,2011 - 2012,0.27
,,2012 - 2013,0.28
,,2013 - 2014,0.27
,,2014 - 2015,0.28
,,2015 - 2016,0.31
,,2016 - 2017,0.31
,,2017 - 2018,0.28
,,2018 - 2019,0.36
,,2019 - 2020,0.34
,,2020 - 2021,0.49
,,2021 - 2022,0.3
,,2022 - 2023,0.49
,Korba,2000 - 2001,0.3
,,2001 - 2002,0.36
,,2002 - 2003,0.29
,,2003 - 2004,0.3
,,2004 - 2005,0.25
,,2005 - 2006,0.29
,,2006 - 2007,0.25
,,2007 - 2008,0.27
,,2008 - 2009,0.36
,,2009 - 2010,0.33
,,2010 - 2011,0.33
,,2011 - 2012,0.3
,,2012 - 2013,0.33
,,2013 - 2014,0.3
,,2014 - 2015,0.36
,,2015 - 2016,0.27
,,2016 - 2017,0.36
,,2017 - 2018,0.36
,,2018 - 2019,0.33
,,2019 - 2020,0.36
,,2020 - 2021,0.34
,,2021 - 2022,0.34
,,2022 - 2023,0.33
,Korea,2000 - 2001,0.44
,,2001 - 2002,0.4
,,2002 - 2003,0.26
,,2003 - 2004,0.39
,,2004 - 2005,0.34
,,2005 - 2006,0.36
,,2006 - 2007,0.35
,,2007 - 2008,0.33
,,2008 - 2009,0.44
,,2009 - 2010,0.36
,,2010 - 2011,0.29
,,2011 - 2012,0.43
,,2012 - 2013,0.38
,,2014 - 2015,0.4
,,2015 - 2016,0.33
,,2016 - 2017,0.43
,,2017 - 2018,0.4
,,2018 - 2019,0.25
,,2019 - 2020,0.43
,,2020 - 2021,0.39
,,2021 - 2022,0.37
,,2022 - 2023,0.4
,Mahasamund,2000 - 2001,0.4
,,2001 - 2002,0.4
,,2002 - 2003,0.32
,,2003 - 2004,0.33
,,2004 - 2005,0.31
,,2005 - 2006,0.33
,,2006 - 2007,0.33
,,2007 - 2008,0.34
,,2008 - 2009,0.33
,,2009 - 2010,0.44
,,2010 - 2011,0.49
,,2011 - 2012,0.49
,,2012 - 2013,0.53
,,2013 - 2014,0.53
,,2014 - 2015,0.53
,,2015 - 2016,0.52
,,2016 - 2017,0.49
,,2017 - 2018,0.53
,,2018 - 2019,0.56
,,2019 - 2020,0.45
,,2020 - 2021,0.57
,,2021 - 2022,0.73
,,2022 - 2023,0.58
,Manendragarh chirimiri bharatpur,2022 - 2023,0.41
,Mohla manpur ambagarh chouki,2022 - 2023,0.47
,Mungeli,2011 - 2012,0.36
,,2012 - 2013,0.39
,,2013 - 2014,0.39
,,2014 - 2015,0.37
,,2015 - 2016,0.4
,,2016 - 2017,0.39
,,2017 - 2018,0.3
,,2018 - 2019,0.36
,,2019 - 2020,0.36
,,2020 - 2021,0.37
,,2021 - 2022,0.36
,,2022 - 2023,0.37
,Narayanpur,2006 - 2007,0.0
,,2007 - 2008,0.29
,,2008 - 2009,0.29
